# _root_ It points to the pernicious impact of local government regulation , particularly zoning and building fees , which pushes the price of housing out of the reach of low- and middle-income people .
#goldHeads=2,0,2,6,6,3,6,10,10,7,10,13,10,13,16,14,10,19,10,21,19,21,22,19,24,27,25,27,32,29,30,28,2,
#predictedHeads=2,0,2,6,6,3,6,10,10,7,6,13,10,13,16,14,10,19,13,21,19,21,22,19,24,27,25,27,32,29,30,28,2,
(15,27),-2.46934 # DEPENDENCYPART_ARC
(15,28),-5.68723 # DEPENDENCYPART_ARC
(15,29),-2.80473 # DEPENDENCYPART_ARC
(15,30),-1.83018 # DEPENDENCYPART_ARC
(15,31),-2.90672 # DEPENDENCYPART_ARC
(15,32),-1.89443 # DEPENDENCYPART_ARC
(15,33),-0.539827 # DEPENDENCYPART_ARC
(16,1),-2.04507 # DEPENDENCYPART_ARC
(16,2),-1.03068 # DEPENDENCYPART_ARC
(16,3),-1.63758 # DEPENDENCYPART_ARC
(16,4),0.148051 # DEPENDENCYPART_ARC
(16,5),0.941193 # DEPENDENCYPART_ARC
(16,6),-0.187218 # DEPENDENCYPART_ARC
(16,7),-1.13581 # DEPENDENCYPART_ARC
(16,8),2.10912 # DEPENDENCYPART_ARC
(16,9),2.62482 # DEPENDENCYPART_ARC
(16,10),0.0607877 # DEPENDENCYPART_ARC
(16,11),-0.083108 # DEPENDENCYPART_ARC
(16,12),0.667331 # DEPENDENCYPART_ARC
(16,13),1.56094 # DEPENDENCYPART_ARC
(16,14),0.732394 # DEPENDENCYPART_ARC
(16,15),4.25881 # DEPENDENCYPART_ARC
(16,17),1.99914 # DEPENDENCYPART_ARC
(16,18),-0.883308 # DEPENDENCYPART_ARC
(16,19),0.531333 # DEPENDENCYPART_ARC
(16,20),-0.437029 # DEPENDENCYPART_ARC
(16,21),-0.427568 # DEPENDENCYPART_ARC
(16,22),-0.534887 # DEPENDENCYPART_ARC
(16,23),-0.246938 # DEPENDENCYPART_ARC
(16,24),-1.19528 # DEPENDENCYPART_ARC
(16,25),-2.18751 # DEPENDENCYPART_ARC
(16,26),-1.16647 # DEPENDENCYPART_ARC
(16,27),-1.29533 # DEPENDENCYPART_ARC
(16,28),-3.44891 # DEPENDENCYPART_ARC
(16,29),-1.72626 # DEPENDENCYPART_ARC
(16,30),-0.981006 # DEPENDENCYPART_ARC
(16,31),-1.94639 # DEPENDENCYPART_ARC
(16,32),-1.54495 # DEPENDENCYPART_ARC
(16,33),0.746997 # DEPENDENCYPART_ARC
(17,1),-3.29343 # DEPENDENCYPART_ARC
(17,2),-2.97806 # DEPENDENCYPART_ARC
(17,3),-2.84947 # DEPENDENCYPART_ARC
(17,4),-2.53424 # DEPENDENCYPART_ARC
(17,5),-2.78165 # DEPENDENCYPART_ARC
(17,6),-2.32053 # DEPENDENCYPART_ARC
(17,7),-2.37922 # DEPENDENCYPART_ARC
(17,8),-2.41353 # DEPENDENCYPART_ARC
(17,9),-2.13019 # DEPENDENCYPART_ARC
(17,10),-2.05779 # DEPENDENCYPART_ARC
(17,11),-0.565041 # DEPENDENCYPART_ARC
(17,12),-2.43904 # DEPENDENCYPART_ARC
(17,13),-1.7827 # DEPENDENCYPART_ARC
(17,14),-1.81011 # DEPENDENCYPART_ARC
(17,15),-1.80082 # DEPENDENCYPART_ARC
(17,16),-1.52074 # DEPENDENCYPART_ARC
(17,18),-1.05351 # DEPENDENCYPART_ARC
(17,19),-0.793031 # DEPENDENCYPART_ARC
(17,20),-1.76802 # DEPENDENCYPART_ARC
(17,21),-2.09892 # DEPENDENCYPART_ARC
(17,22),-1.71386 # DEPENDENCYPART_ARC
(17,23),-2.52438 # DEPENDENCYPART_ARC
(17,24),-1.71849 # DEPENDENCYPART_ARC
(17,25),-1.88821 # DEPENDENCYPART_ARC
(17,26),-2.52516 # DEPENDENCYPART_ARC
(17,27),-3.04341 # DEPENDENCYPART_ARC
(17,28),-2.02281 # DEPENDENCYPART_ARC
(17,29),-3.01017 # DEPENDENCYPART_ARC
(17,30),-2.54972 # DEPENDENCYPART_ARC
(17,31),-3.19397 # DEPENDENCYPART_ARC
(17,32),-3.44052 # DEPENDENCYPART_ARC
(17,33),-2.48656 # DEPENDENCYPART_ARC
(18,1),-2.84967 # DEPENDENCYPART_ARC
(18,2),-2.60063 # DEPENDENCYPART_ARC
(18,3),-2.40541 # DEPENDENCYPART_ARC
(18,4),-1.89548 # DEPENDENCYPART_ARC
(18,5),-2.10609 # DEPENDENCYPART_ARC
(18,6),-2.46031 # DEPENDENCYPART_ARC
(18,7),-1.69728 # DEPENDENCYPART_ARC
(18,8),-1.69903 # DEPENDENCYPART_ARC
(18,9),-1.99291 # DEPENDENCYPART_ARC
(18,10),-1.92128 # DEPENDENCYPART_ARC
(18,11),-1.56283 # DEPENDENCYPART_ARC
(18,12),-1.50874 # DEPENDENCYPART_ARC
(18,13),-1.37313 # DEPENDENCYPART_ARC
(18,14),-1.40517 # DEPENDENCYPART_ARC
(18,15),-0.797716 # DEPENDENCYPART_ARC
(18,16),-0.810749 # DEPENDENCYPART_ARC
(18,17),0.20538 # DEPENDENCYPART_ARC
(18,19),0.636167 # DEPENDENCYPART_ARC
(18,20),-0.820846 # DEPENDENCYPART_ARC
(18,21),-0.342269 # DEPENDENCYPART_ARC
(18,22),-0.817575 # DEPENDENCYPART_ARC
(18,23),-0.784774 # DEPENDENCYPART_ARC
(18,24),-1.25478 # DEPENDENCYPART_ARC
(18,25),-1.14461 # DEPENDENCYPART_ARC
(18,26),-2.00513 # DEPENDENCYPART_ARC
(18,27),-1.48026 # DEPENDENCYPART_ARC
(18,28),-1.47126 # DEPENDENCYPART_ARC
(18,29),-2.27554 # DEPENDENCYPART_ARC
(18,30),-1.76414 # DEPENDENCYPART_ARC
(18,31),-2.48721 # DEPENDENCYPART_ARC
(18,32),-2.60372 # DEPENDENCYPART_ARC
(18,33),-1.7483 # DEPENDENCYPART_ARC
(19,1),-2.25946 # DEPENDENCYPART_ARC
(19,2),-1.02906 # DEPENDENCYPART_ARC
(19,3),-1.35119 # DEPENDENCYPART_ARC
(19,4),-2.72739 # DEPENDENCYPART_ARC
(19,5),-1.07337 # DEPENDENCYPART_ARC
(19,6),-0.755657 # DEPENDENCYPART_ARC
(19,7),-1.56743 # DEPENDENCYPART_ARC
(19,8),-0.83433 # DEPENDENCYPART_ARC
(19,9),-0.822689 # DEPENDENCYPART_ARC
(19,10),-1.53996 # DEPENDENCYPART_ARC
(19,11),-0.529033 # DEPENDENCYPART_ARC
(19,12),-0.166358 # DEPENDENCYPART_ARC
(19,13),-0.460058 # DEPENDENCYPART_ARC
(19,14),-0.913604 # DEPENDENCYPART_ARC
(19,15),0.258705 # DEPENDENCYPART_ARC
(19,16),-0.735356 # DEPENDENCYPART_ARC
(19,17),1.417 # DEPENDENCYPART_ARC
(19,18),3.91498 # DEPENDENCYPART_ARC
(19,20),1.26913 # DEPENDENCYPART_ARC
(19,21),3.09229 # DEPENDENCYPART_ARC
(19,22),1.62235 # DEPENDENCYPART_ARC
(19,23),1.7397 # DEPENDENCYPART_ARC
(19,24),2.06354 # DEPENDENCYPART_ARC
(19,25),0.209146 # DEPENDENCYPART_ARC
(19,26),-0.746891 # DEPENDENCYPART_ARC
(19,27),-0.225496 # DEPENDENCYPART_ARC
(19,28),-0.0592303 # DEPENDENCYPART_ARC
(19,29),-0.802078 # DEPENDENCYPART_ARC
(19,30),1.7654 # DEPENDENCYPART_ARC
(19,31),-1.19118 # DEPENDENCYPART_ARC
(19,32),-0.567256 # DEPENDENCYPART_ARC
(19,33),3.37669 # DEPENDENCYPART_ARC
(20,1),-3.72779 # DEPENDENCYPART_ARC
(20,2),-3.8731 # DEPENDENCYPART_ARC
(20,3),-3.64193 # DEPENDENCYPART_ARC
(20,4),-3.29507 # DEPENDENCYPART_ARC
(20,5),-3.56412 # DEPENDENCYPART_ARC
(20,6),-3.95488 # DEPENDENCYPART_ARC
(20,7),-3.1761 # DEPENDENCYPART_ARC
(20,8),-3.2534 # DEPENDENCYPART_ARC
(20,9),-3.60081 # DEPENDENCYPART_ARC
(20,10),-3.34641 # DEPENDENCYPART_ARC
(20,11),-2.81436 # DEPENDENCYPART_ARC
(20,12),-2.95879 # DEPENDENCYPART_ARC
(20,13),-2.98801 # DEPENDENCYPART_ARC
(20,14),-2.93081 # DEPENDENCYPART_ARC
(20,15),-2.56079 # DEPENDENCYPART_ARC
(20,16),-2.27542 # DEPENDENCYPART_ARC
(20,17),-1.5951 # DEPENDENCYPART_ARC
(20,18),-0.492453 # DEPENDENCYPART_ARC
(20,19),-1.11125 # DEPENDENCYPART_ARC
(20,21),-0.261418 # DEPENDENCYPART_ARC
(20,22),-0.903227 # DEPENDENCYPART_ARC
(20,23),-1.26261 # DEPENDENCYPART_ARC
(20,24),-1.9696 # DEPENDENCYPART_ARC
(20,25),-1.59556 # DEPENDENCYPART_ARC
(20,26),-2.50679 # DEPENDENCYPART_ARC
(20,27),-2.15184 # DEPENDENCYPART_ARC
(20,28),-2.1818 # DEPENDENCYPART_ARC
(20,29),-2.43824 # DEPENDENCYPART_ARC
(20,30),-1.3807 # DEPENDENCYPART_ARC
(20,31),-2.76624 # DEPENDENCYPART_ARC
(20,32),-2.92555 # DEPENDENCYPART_ARC
(20,33),-1.65938 # DEPENDENCYPART_ARC
(21,1),-2.25613 # DEPENDENCYPART_ARC
(21,2),-2.3608 # DEPENDENCYPART_ARC
(21,3),-4.19668 # DEPENDENCYPART_ARC
(21,4),-2.11358 # DEPENDENCYPART_ARC
(21,5),-1.76779 # DEPENDENCYPART_ARC
(21,6),-3.44846 # DEPENDENCYPART_ARC
(21,7),-2.21287 # DEPENDENCYPART_ARC
(21,8),-1.22739 # DEPENDENCYPART_ARC
(21,9),-1.93715 # DEPENDENCYPART_ARC
(21,10),-3.33276 # DEPENDENCYPART_ARC
(21,11),-1.33902 # DEPENDENCYPART_ARC
(21,12),-2.32446 # DEPENDENCYPART_ARC
(21,13),-1.94792 # DEPENDENCYPART_ARC
(21,14),-1.206 # DEPENDENCYPART_ARC
(21,15),-0.617013 # DEPENDENCYPART_ARC
(21,16),-1.05053 # DEPENDENCYPART_ARC
(21,17),-0.411328 # DEPENDENCYPART_ARC
(21,18),-0.00583709 # DEPENDENCYPART_ARC
(21,19),-0.124785 # DEPENDENCYPART_ARC
(21,20),4.41129 # DEPENDENCYPART_ARC
(21,22),3.72063 # DEPENDENCYPART_ARC
(21,23),1.35599 # DEPENDENCYPART_ARC
(21,24),2.00815 # DEPENDENCYPART_ARC
(21,25),0.503863 # DEPENDENCYPART_ARC
(21,26),0.129706 # DEPENDENCYPART_ARC
(21,27),0.539759 # DEPENDENCYPART_ARC
(21,28),0.215073 # DEPENDENCYPART_ARC
(21,29),-0.6414 # DEPENDENCYPART_ARC
(21,30),1.21632 # DEPENDENCYPART_ARC
(21,31),-0.402657 # DEPENDENCYPART_ARC
(21,32),-0.189696 # DEPENDENCYPART_ARC
(21,33),1.30828 # DEPENDENCYPART_ARC
(22,1),-2.82846 # DEPENDENCYPART_ARC
(22,2),-2.58659 # DEPENDENCYPART_ARC
(22,3),-2.03119 # DEPENDENCYPART_ARC
(22,4),-2.78927 # DEPENDENCYPART_ARC
(22,5),-2.19806 # DEPENDENCYPART_ARC
(22,6),-2.7811 # DEPENDENCYPART_ARC
(22,7),-2.24663 # DEPENDENCYPART_ARC
(22,8),-1.82856 # DEPENDENCYPART_ARC
(22,9),-2.65041 # DEPENDENCYPART_ARC
(22,10),-2.81779 # DEPENDENCYPART_ARC
(22,11),-1.75388 # DEPENDENCYPART_ARC
(22,12),-0.660172 # DEPENDENCYPART_ARC
(22,13),-1.12784 # DEPENDENCYPART_ARC
(22,14),-1.50256 # DEPENDENCYPART_ARC
(22,15),-1.0847 # DEPENDENCYPART_ARC
(22,16),-1.2457 # DEPENDENCYPART_ARC
(22,17),-0.864486 # DEPENDENCYPART_ARC
(22,18),0.722887 # DEPENDENCYPART_ARC
(22,19),-0.167986 # DEPENDENCYPART_ARC
(22,20),0.0542394 # DEPENDENCYPART_ARC
(22,21),0.782108 # DEPENDENCYPART_ARC
(22,23),3.78782 # DEPENDENCYPART_ARC
(22,24),0.869842 # DEPENDENCYPART_ARC
(22,25),1.04006 # DEPENDENCYPART_ARC
(22,26),-1.31946 # DEPENDENCYPART_ARC
(22,27),-0.559005 # DEPENDENCYPART_ARC
(22,28),-0.0162948 # DEPENDENCYPART_ARC
(22,29),-0.924619 # DEPENDENCYPART_ARC
(22,30),-0.4104 # DEPENDENCYPART_ARC
(22,31),-1.66142 # DEPENDENCYPART_ARC
(22,32),-2.66413 # DEPENDENCYPART_ARC
(22,33),0.325707 # DEPENDENCYPART_ARC
(23,1),-3.10298 # DEPENDENCYPART_ARC
(23,2),-3.27155 # DEPENDENCYPART_ARC
(23,3),-5.22994 # DEPENDENCYPART_ARC
(23,4),-4.74745 # DEPENDENCYPART_ARC
(23,5),-2.90266 # DEPENDENCYPART_ARC
(23,6),-4.83497 # DEPENDENCYPART_ARC
(23,7),-2.93129 # DEPENDENCYPART_ARC
(23,8),-2.70431 # DEPENDENCYPART_ARC
(23,9),-3.42451 # DEPENDENCYPART_ARC
(23,10),-4.81867 # DEPENDENCYPART_ARC
(23,11),-2.39346 # DEPENDENCYPART_ARC
(23,12),-3.6473 # DEPENDENCYPART_ARC
(23,13),-3.46457 # DEPENDENCYPART_ARC
(23,14),-2.2017 # DEPENDENCYPART_ARC
(23,15),-2.30504 # DEPENDENCYPART_ARC
(23,16),-2.22938 # DEPENDENCYPART_ARC
(23,17),-2.11092 # DEPENDENCYPART_ARC
(23,18),-1.02564 # DEPENDENCYPART_ARC
(23,19),-1.55741 # DEPENDENCYPART_ARC
(23,20),1.07897 # DEPENDENCYPART_ARC
(23,21),0.228343 # DEPENDENCYPART_ARC
(23,22),0.558403 # DEPENDENCYPART_ARC
(23,24),1.70966 # DEPENDENCYPART_ARC
(23,25),1.13016 # DEPENDENCYPART_ARC
(23,26),0.000256714 # DEPENDENCYPART_ARC
(23,27),0.490349 # DEPENDENCYPART_ARC
(23,28),0.0675292 # DEPENDENCYPART_ARC
(23,29),-0.356494 # DEPENDENCYPART_ARC
(23,30),1.57201 # DEPENDENCYPART_ARC
(23,31),-0.473445 # DEPENDENCYPART_ARC
(23,32),0.382664 # DEPENDENCYPART_ARC
(23,33),0.494514 # DEPENDENCYPART_ARC
(24,1),-2.70492 # DEPENDENCYPART_ARC
(24,2),-2.35799 # DEPENDENCYPART_ARC
(24,3),-1.85605 # DEPENDENCYPART_ARC
(24,4),-2.03439 # DEPENDENCYPART_ARC
(24,5),-1.78306 # DEPENDENCYPART_ARC
(24,6),-2.36167 # DEPENDENCYPART_ARC
(24,7),-2.20966 # DEPENDENCYPART_ARC
(24,8),-1.41728 # DEPENDENCYPART_ARC
(24,9),-2.42209 # DEPENDENCYPART_ARC
(24,10),-2.57857 # DEPENDENCYPART_ARC
(24,11),-1.39149 # DEPENDENCYPART_ARC
(24,12),-0.645355 # DEPENDENCYPART_ARC
(24,13),-1.35541 # DEPENDENCYPART_ARC
(24,14),-1.20856 # DEPENDENCYPART_ARC
(24,15),-0.990109 # DEPENDENCYPART_ARC
(24,16),-0.98639 # DEPENDENCYPART_ARC
(24,17),-0.710461 # DEPENDENCYPART_ARC
(24,18),0.728011 # DEPENDENCYPART_ARC
(24,19),-0.433725 # DEPENDENCYPART_ARC
(24,20),0.375759 # DEPENDENCYPART_ARC
(24,21),0.460058 # DEPENDENCYPART_ARC
(24,22),0.860858 # DEPENDENCYPART_ARC
(24,23),0.879992 # DEPENDENCYPART_ARC
(24,25),3.52987 # DEPENDENCYPART_ARC
(24,26),-0.228342 # DEPENDENCYPART_ARC
(24,27),1.37791 # DEPENDENCYPART_ARC
(24,28),1.49087 # DEPENDENCYPART_ARC
(24,29),0.105169 # DEPENDENCYPART_ARC
(24,30),0.763012 # DEPENDENCYPART_ARC
(24,31),-0.828928 # DEPENDENCYPART_ARC
(24,32),-1.22677 # DEPENDENCYPART_ARC
(24,33),0.76447 # DEPENDENCYPART_ARC
(25,1),-3.50425 # DEPENDENCYPART_ARC
(25,2),-3.2269 # DEPENDENCYPART_ARC
(25,3),-2.64357 # DEPENDENCYPART_ARC
(25,4),-3.64843 # DEPENDENCYPART_ARC
(25,5),-2.89696 # DEPENDENCYPART_ARC
(25,6),-3.2837 # DEPENDENCYPART_ARC
(25,7),-3.07466 # DEPENDENCYPART_ARC
(25,8),-2.52628 # DEPENDENCYPART_ARC
(25,9),-3.21147 # DEPENDENCYPART_ARC
(25,10),-3.32412 # DEPENDENCYPART_ARC
(25,11),-2.40066 # DEPENDENCYPART_ARC
(25,12),-1.47706 # DEPENDENCYPART_ARC
(25,13),-2.08644 # DEPENDENCYPART_ARC
(25,14),-2.36182 # DEPENDENCYPART_ARC
(25,15),-1.67131 # DEPENDENCYPART_ARC
(25,16),-1.97223 # DEPENDENCYPART_ARC
(25,17),-1.63614 # DEPENDENCYPART_ARC
(25,18),0.0552723 # DEPENDENCYPART_ARC
(25,19),-1.0237 # DEPENDENCYPART_ARC
(25,20),-0.920482 # DEPENDENCYPART_ARC
(25,21),-0.338864 # DEPENDENCYPART_ARC
(25,22),-0.255361 # DEPENDENCYPART_ARC
(25,23),-0.289201 # DEPENDENCYPART_ARC
(25,24),0.985669 # DEPENDENCYPART_ARC
(25,26),0.420066 # DEPENDENCYPART_ARC
(25,27),3.09835 # DEPENDENCYPART_ARC
(25,28),0.648063 # DEPENDENCYPART_ARC
(25,29),0.335048 # DEPENDENCYPART_ARC
(25,30),-0.580929 # DEPENDENCYPART_ARC
(25,31),-0.767372 # DEPENDENCYPART_ARC
(25,32),0.48032 # DEPENDENCYPART_ARC
(25,33),0.473566 # DEPENDENCYPART_ARC
(26,1),-4.14362 # DEPENDENCYPART_ARC
(26,2),-4.43888 # DEPENDENCYPART_ARC
(26,3),-4.22254 # DEPENDENCYPART_ARC
(26,4),-3.90216 # DEPENDENCYPART_ARC
(26,5),-4.16571 # DEPENDENCYPART_ARC
(26,6),-4.56954 # DEPENDENCYPART_ARC
(26,7),-3.74103 # DEPENDENCYPART_ARC
(26,8),-3.75358 # DEPENDENCYPART_ARC
(26,9),-4.18051 # DEPENDENCYPART_ARC
(26,10),-4.11822 # DEPENDENCYPART_ARC
(26,11),-3.34011 # DEPENDENCYPART_ARC
(26,12),-3.57632 # DEPENDENCYPART_ARC
(26,13),-3.73007 # DEPENDENCYPART_ARC
(26,14),-3.49571 # DEPENDENCYPART_ARC
(26,15),-3.54837 # DEPENDENCYPART_ARC
(26,16),-3.06702 # DEPENDENCYPART_ARC
(26,17),-2.72012 # DEPENDENCYPART_ARC
(26,18),-1.87455 # DEPENDENCYPART_ARC
(26,19),-2.63622 # DEPENDENCYPART_ARC
(26,20),-1.84622 # DEPENDENCYPART_ARC
(26,21),-2.55266 # DEPENDENCYPART_ARC
(26,22),-1.69342 # DEPENDENCYPART_ARC
(26,23),-1.95532 # DEPENDENCYPART_ARC
(26,24),-1.15869 # DEPENDENCYPART_ARC
(26,25),-0.155933 # DEPENDENCYPART_ARC
(26,27),0.0650103 # DEPENDENCYPART_ARC
(26,28),-0.704203 # DEPENDENCYPART_ARC
(26,29),-1.41579 # DEPENDENCYPART_ARC
(26,30),-0.994495 # DEPENDENCYPART_ARC
(26,31),-1.73546 # DEPENDENCYPART_ARC
(26,32),-2.19646 # DEPENDENCYPART_ARC
(26,33),-1.55659 # DEPENDENCYPART_ARC
(27,1),-3.27921 # DEPENDENCYPART_ARC
(27,2),-3.0541 # DEPENDENCYPART_ARC
(27,3),-5.56661 # DEPENDENCYPART_ARC
(27,4),-7.66859 # DEPENDENCYPART_ARC
(27,5),-4.76849 # DEPENDENCYPART_ARC
(27,6),-6.90847 # DEPENDENCYPART_ARC
(27,7),-2.65148 # DEPENDENCYPART_ARC
(27,8),-4.15177 # DEPENDENCYPART_ARC
(27,9),-5.29254 # DEPENDENCYPART_ARC
(27,10),-6.59223 # DEPENDENCYPART_ARC
(27,11),-2.84398 # DEPENDENCYPART_ARC
(27,12),-4.79497 # DEPENDENCYPART_ARC
(27,13),-5.54135 # DEPENDENCYPART_ARC
(27,14),-1.78557 # DEPENDENCYPART_ARC
(27,15),-4.39094 # DEPENDENCYPART_ARC
(27,16),-3.11443 # DEPENDENCYPART_ARC
(27,17),-2.4097 # DEPENDENCYPART_ARC
(27,18),-1.89104 # DEPENDENCYPART_ARC
(27,19),-2.03193 # DEPENDENCYPART_ARC
(27,20),-2.10724 # DEPENDENCYPART_ARC
(27,21),-3.19392 # DEPENDENCYPART_ARC
(27,22),-0.672898 # DEPENDENCYPART_ARC
(27,23),-1.29585 # DEPENDENCYPART_ARC
(27,24),0.104477 # DEPENDENCYPART_ARC
(27,25),1.02151 # DEPENDENCYPART_ARC
(27,26),4.6449 # DEPENDENCYPART_ARC
(27,28),3.42602 # DEPENDENCYPART_ARC
(27,29),0.539506 # DEPENDENCYPART_ARC
(27,30),1.70821 # DEPENDENCYPART_ARC
(27,31),0.261096 # DEPENDENCYPART_ARC
(27,32),0.416551 # DEPENDENCYPART_ARC
(27,33),0.874796 # DEPENDENCYPART_ARC
(28,1),-3.85258 # DEPENDENCYPART_ARC
(28,2),-3.76532 # DEPENDENCYPART_ARC
(28,3),-3.16211 # DEPENDENCYPART_ARC
(28,4),-4.26268 # DEPENDENCYPART_ARC
(28,5),-3.55388 # DEPENDENCYPART_ARC
(28,6),-3.87844 # DEPENDENCYPART_ARC
(28,7),-3.57772 # DEPENDENCYPART_ARC
(28,8),-3.08481 # DEPENDENCYPART_ARC
(28,9),-3.74725 # DEPENDENCYPART_ARC
(28,10),-3.80811 # DEPENDENCYPART_ARC
(28,11),-2.88943 # DEPENDENCYPART_ARC
(28,12),-2.02064 # DEPENDENCYPART_ARC
(28,13),-2.5719 # DEPENDENCYPART_ARC
(28,14),-3.00921 # DEPENDENCYPART_ARC
(28,15),-2.4487 # DEPENDENCYPART_ARC
(28,16),-2.73344 # DEPENDENCYPART_ARC
(28,17),-2.30348 # DEPENDENCYPART_ARC
(28,18),-0.21863 # DEPENDENCYPART_ARC
(28,19),-1.6971 # DEPENDENCYPART_ARC
(28,20),-1.6987 # DEPENDENCYPART_ARC
(28,21),-1.35576 # DEPENDENCYPART_ARC
(28,22),-0.682914 # DEPENDENCYPART_ARC
(28,23),-0.86926 # DEPENDENCYPART_ARC
(28,24),0.322177 # DEPENDENCYPART_ARC
(28,25),-0.389379 # DEPENDENCYPART_ARC
(28,26),-0.439067 # DEPENDENCYPART_ARC
(28,27),0.228519 # DEPENDENCYPART_ARC
(28,29),2.19343 # DEPENDENCYPART_ARC
(28,30),-0.115752 # DEPENDENCYPART_ARC
(28,31),0.300926 # DEPENDENCYPART_ARC
(28,32),3.33309 # DEPENDENCYPART_ARC
(28,33),-0.0170142 # DEPENDENCYPART_ARC
(29,1),-3.76318 # DEPENDENCYPART_ARC
(29,2),-3.35308 # DEPENDENCYPART_ARC
(29,3),-1.4243 # DEPENDENCYPART_ARC
(29,4),-2.56486 # DEPENDENCYPART_ARC
(29,5),-3.36861 # DEPENDENCYPART_ARC
(29,6),-1.94078 # DEPENDENCYPART_ARC
(29,7),-3.25024 # DEPENDENCYPART_ARC
(29,8),-2.98366 # DEPENDENCYPART_ARC
(29,9),-1.68395 # DEPENDENCYPART_ARC
(29,10),-1.78855 # DEPENDENCYPART_ARC
(29,11),-2.01017 # DEPENDENCYPART_ARC
(29,12),-2.43594 # DEPENDENCYPART_ARC
(29,13),-1.42833 # DEPENDENCYPART_ARC
(29,14),-2.48314 # DEPENDENCYPART_ARC
(29,15),-1.39865 # DEPENDENCYPART_ARC
(29,16),-2.00436 # DEPENDENCYPART_ARC
(29,17),-1.58924 # DEPENDENCYPART_ARC
(29,18),-0.817432 # DEPENDENCYPART_ARC
(29,19),-1.7036 # DEPENDENCYPART_ARC
(29,20),-0.270676 # DEPENDENCYPART_ARC
(29,21),-0.576837 # DEPENDENCYPART_ARC
(29,22),-0.843361 # DEPENDENCYPART_ARC
(29,23),-0.572894 # DEPENDENCYPART_ARC
(29,24),-0.39063 # DEPENDENCYPART_ARC
(29,25),-0.0175065 # DEPENDENCYPART_ARC
(29,26),1.36781 # DEPENDENCYPART_ARC
(29,27),0.606699 # DEPENDENCYPART_ARC
(29,28),0.965713 # DEPENDENCYPART_ARC
(29,30),4.61163 # DEPENDENCYPART_ARC
(29,31),1.36402 # DEPENDENCYPART_ARC
(29,32),1.22968 # DEPENDENCYPART_ARC
(29,33),0.643604 # DEPENDENCYPART_ARC
(30,1),-3.48914 # DEPENDENCYPART_ARC
(30,2),-2.92576 # DEPENDENCYPART_ARC
(30,3),-2.95001 # DEPENDENCYPART_ARC
(30,4),-3.0882 # DEPENDENCYPART_ARC
(30,5),-3.10451 # DEPENDENCYPART_ARC
(30,6),-3.09198 # DEPENDENCYPART_ARC
(30,7),-2.0501 # DEPENDENCYPART_ARC
(30,8),-2.8017 # DEPENDENCYPART_ARC
(30,9),-2.6355 # DEPENDENCYPART_ARC
(30,10),-2.2115 # DEPENDENCYPART_ARC
(30,11),-2.59794 # DEPENDENCYPART_ARC
(30,12),-2.71039 # DEPENDENCYPART_ARC
(30,13),-2.12909 # DEPENDENCYPART_ARC
(30,14),-2.35045 # DEPENDENCYPART_ARC
(30,15),-1.77577 # DEPENDENCYPART_ARC
(30,16),-1.65438 # DEPENDENCYPART_ARC
(30,17),-1.92651 # DEPENDENCYPART_ARC
(30,18),-1.21801 # DEPENDENCYPART_ARC
(30,19),-1.32432 # DEPENDENCYPART_ARC
(30,20),-1.12167 # DEPENDENCYPART_ARC
(30,21),-1.29955 # DEPENDENCYPART_ARC
(30,22),-0.694459 # DEPENDENCYPART_ARC
(30,23),-0.973853 # DEPENDENCYPART_ARC
(30,24),-0.52709 # DEPENDENCYPART_ARC
(30,25),-0.656454 # DEPENDENCYPART_ARC
(30,26),-0.306422 # DEPENDENCYPART_ARC
(30,27),-0.0711007 # DEPENDENCYPART_ARC
(30,28),-0.165398 # DEPENDENCYPART_ARC
(30,29),0.206924 # DEPENDENCYPART_ARC
(30,31),4.20251 # DEPENDENCYPART_ARC
(30,32),2.35491 # DEPENDENCYPART_ARC
(30,33),0.284471 # DEPENDENCYPART_ARC
(31,1),-4.69698 # DEPENDENCYPART_ARC
(31,2),-4.41066 # DEPENDENCYPART_ARC
(31,3),-2.38826 # DEPENDENCYPART_ARC
(31,4),-3.9989 # DEPENDENCYPART_ARC
(31,5),-4.21013 # DEPENDENCYPART_ARC
(31,6),-2.91037 # DEPENDENCYPART_ARC
(31,7),-4.36386 # DEPENDENCYPART_ARC
(31,8),-3.90378 # DEPENDENCYPART_ARC
(31,9),-2.92682 # DEPENDENCYPART_ARC
(31,10),-3.12211 # DEPENDENCYPART_ARC
(31,11),-3.06281 # DEPENDENCYPART_ARC
(31,12),-3.79251 # DEPENDENCYPART_ARC
(31,13),-2.56281 # DEPENDENCYPART_ARC
(31,14),-3.70758 # DEPENDENCYPART_ARC
(31,15),-2.55239 # DEPENDENCYPART_ARC
(31,16),-3.10789 # DEPENDENCYPART_ARC
(31,17),-2.61231 # DEPENDENCYPART_ARC
(31,18),-1.89206 # DEPENDENCYPART_ARC
(31,19),-2.87562 # DEPENDENCYPART_ARC
(31,20),-1.90787 # DEPENDENCYPART_ARC
(31,21),-1.66249 # DEPENDENCYPART_ARC
(31,22),-1.96833 # DEPENDENCYPART_ARC
(31,23),-1.69434 # DEPENDENCYPART_ARC
(31,24),-1.5534 # DEPENDENCYPART_ARC
(31,25),-1.22652 # DEPENDENCYPART_ARC
(31,26),-0.440869 # DEPENDENCYPART_ARC
(31,27),-0.830105 # DEPENDENCYPART_ARC
