# _root_ But in another dramatic burst , the Dow tacked on 42 points in five minutes , and at 10:25 the index showed a gain of 5.74 .
#goldHeads=9,9,5,5,2,9,8,9,0,9,12,10,9,15,13,9,9,22,18,21,22,17,24,22,24,25,9,
#predictedHeads=9,9,5,5,2,9,8,9,0,9,12,9,9,15,13,9,9,22,18,21,22,17,24,22,24,25,9,
(19,15),-1.07114 # DEPENDENCYPART_ARC
(19,16),-0.304968 # DEPENDENCYPART_ARC
(19,17),-0.561175 # DEPENDENCYPART_ARC
(19,18),0.994939 # DEPENDENCYPART_ARC
(19,20),1.00726 # DEPENDENCYPART_ARC
(19,21),1.33428 # DEPENDENCYPART_ARC
(19,22),1.1935 # DEPENDENCYPART_ARC
(19,23),-0.324758 # DEPENDENCYPART_ARC
(19,24),0.261064 # DEPENDENCYPART_ARC
(19,25),-0.162361 # DEPENDENCYPART_ARC
(19,26),-0.471101 # DEPENDENCYPART_ARC
(19,27),0.139029 # DEPENDENCYPART_ARC
(20,1),-4.14585 # DEPENDENCYPART_ARC
(20,2),-3.30084 # DEPENDENCYPART_ARC
(20,3),-3.17818 # DEPENDENCYPART_ARC
(20,4),-3.41774 # DEPENDENCYPART_ARC
(20,5),-3.80678 # DEPENDENCYPART_ARC
(20,6),-3.10541 # DEPENDENCYPART_ARC
(20,7),-2.70444 # DEPENDENCYPART_ARC
(20,8),-3.13257 # DEPENDENCYPART_ARC
(20,9),-2.81438 # DEPENDENCYPART_ARC
(20,10),-2.72684 # DEPENDENCYPART_ARC
(20,11),-2.42337 # DEPENDENCYPART_ARC
(20,12),-2.71174 # DEPENDENCYPART_ARC
(20,13),-1.88465 # DEPENDENCYPART_ARC
(20,14),-2.07331 # DEPENDENCYPART_ARC
(20,15),-2.27147 # DEPENDENCYPART_ARC
(20,16),-1.6927 # DEPENDENCYPART_ARC
(20,17),-1.96768 # DEPENDENCYPART_ARC
(20,18),-0.747816 # DEPENDENCYPART_ARC
(20,19),-0.519542 # DEPENDENCYPART_ARC
(20,21),-0.23369 # DEPENDENCYPART_ARC
(20,22),-0.248678 # DEPENDENCYPART_ARC
(20,23),-2.19598 # DEPENDENCYPART_ARC
(20,24),-1.54205 # DEPENDENCYPART_ARC
(20,25),-1.46735 # DEPENDENCYPART_ARC
(20,26),-2.17653 # DEPENDENCYPART_ARC
(20,27),-1.75967 # DEPENDENCYPART_ARC
(21,1),-2.78467 # DEPENDENCYPART_ARC
(21,2),-2.7069 # DEPENDENCYPART_ARC
(21,3),-3.54216 # DEPENDENCYPART_ARC
(21,4),-3.10767 # DEPENDENCYPART_ARC
(21,5),-6.14618 # DEPENDENCYPART_ARC
(21,6),-2.13843 # DEPENDENCYPART_ARC
(21,7),-2.97856 # DEPENDENCYPART_ARC
(21,8),-4.2265 # DEPENDENCYPART_ARC
(21,9),-1.27337 # DEPENDENCYPART_ARC
(21,10),-1.36268 # DEPENDENCYPART_ARC
(21,11),-2.367 # DEPENDENCYPART_ARC
(21,12),-1.58044 # DEPENDENCYPART_ARC
(21,13),-1.2108 # DEPENDENCYPART_ARC
(21,14),-1.73307 # DEPENDENCYPART_ARC
(21,15),-1.55788 # DEPENDENCYPART_ARC
(21,16),-0.622019 # DEPENDENCYPART_ARC
(21,17),-0.334235 # DEPENDENCYPART_ARC
(21,18),0.932263 # DEPENDENCYPART_ARC
(21,19),0.778702 # DEPENDENCYPART_ARC
(21,20),5.09546 # DEPENDENCYPART_ARC
(21,22),-0.228465 # DEPENDENCYPART_ARC
(21,23),-1.22845 # DEPENDENCYPART_ARC
(21,24),-1.39059 # DEPENDENCYPART_ARC
(21,25),-0.246506 # DEPENDENCYPART_ARC
(21,26),-1.56035 # DEPENDENCYPART_ARC
(21,27),-0.962643 # DEPENDENCYPART_ARC
(22,1),1.54622 # DEPENDENCYPART_ARC
(22,2),0.933478 # DEPENDENCYPART_ARC
(22,3),-1.53385 # DEPENDENCYPART_ARC
(22,4),-0.219248 # DEPENDENCYPART_ARC
(22,5),-0.275887 # DEPENDENCYPART_ARC
(22,6),1.78021 # DEPENDENCYPART_ARC
(22,7),-0.94083 # DEPENDENCYPART_ARC
(22,8),-0.101688 # DEPENDENCYPART_ARC
(22,9),0.36494 # DEPENDENCYPART_ARC
(22,10),0.0935235 # DEPENDENCYPART_ARC
(22,11),0.326795 # DEPENDENCYPART_ARC
(22,12),0.653208 # DEPENDENCYPART_ARC
(22,13),0.666119 # DEPENDENCYPART_ARC
(22,14),0.410206 # DEPENDENCYPART_ARC
(22,15),0.843459 # DEPENDENCYPART_ARC
(22,16),0.417928 # DEPENDENCYPART_ARC
(22,17),-0.134409 # DEPENDENCYPART_ARC
(22,18),2.36548 # DEPENDENCYPART_ARC
(22,19),1.25176 # DEPENDENCYPART_ARC
(22,20),1.21009 # DEPENDENCYPART_ARC
(22,21),3.38511 # DEPENDENCYPART_ARC
(22,23),1.15166 # DEPENDENCYPART_ARC
(22,24),2.53948 # DEPENDENCYPART_ARC
(22,25),1.47159 # DEPENDENCYPART_ARC
(22,26),0.596342 # DEPENDENCYPART_ARC
(22,27),4.0184 # DEPENDENCYPART_ARC
(23,1),-3.72229 # DEPENDENCYPART_ARC
(23,2),-2.86461 # DEPENDENCYPART_ARC
(23,3),-2.69286 # DEPENDENCYPART_ARC
(23,4),-3.10604 # DEPENDENCYPART_ARC
(23,5),-3.3765 # DEPENDENCYPART_ARC
(23,6),-2.84282 # DEPENDENCYPART_ARC
(23,7),-2.01664 # DEPENDENCYPART_ARC
(23,8),-2.87784 # DEPENDENCYPART_ARC
(23,9),-2.54426 # DEPENDENCYPART_ARC
(23,10),-2.46904 # DEPENDENCYPART_ARC
(23,11),-2.1893 # DEPENDENCYPART_ARC
(23,12),-2.46185 # DEPENDENCYPART_ARC
(23,13),-1.27076 # DEPENDENCYPART_ARC
(23,14),-1.84174 # DEPENDENCYPART_ARC
(23,15),-2.08494 # DEPENDENCYPART_ARC
(23,16),-1.75595 # DEPENDENCYPART_ARC
(23,17),-2.08996 # DEPENDENCYPART_ARC
(23,18),-0.351103 # DEPENDENCYPART_ARC
(23,19),-1.01416 # DEPENDENCYPART_ARC
(23,20),-0.00752811 # DEPENDENCYPART_ARC
(23,21),-1.10715 # DEPENDENCYPART_ARC
(23,22),-0.229262 # DEPENDENCYPART_ARC
(23,24),0.418666 # DEPENDENCYPART_ARC
(23,25),0.267422 # DEPENDENCYPART_ARC
(23,26),-0.168339 # DEPENDENCYPART_ARC
(23,27),-1.00139 # DEPENDENCYPART_ARC
(24,1),-3.34597 # DEPENDENCYPART_ARC
(24,2),-2.44736 # DEPENDENCYPART_ARC
(24,3),-5.31003 # DEPENDENCYPART_ARC
(24,4),-4.4041 # DEPENDENCYPART_ARC
(24,5),-7.67311 # DEPENDENCYPART_ARC
(24,6),-2.69172 # DEPENDENCYPART_ARC
(24,7),-5.30503 # DEPENDENCYPART_ARC
(24,8),-7.30192 # DEPENDENCYPART_ARC
(24,9),-1.68179 # DEPENDENCYPART_ARC
(24,10),-1.98802 # DEPENDENCYPART_ARC
(24,11),-4.16228 # DEPENDENCYPART_ARC
(24,12),-2.1274 # DEPENDENCYPART_ARC
(24,13),-1.57671 # DEPENDENCYPART_ARC
(24,14),-3.44047 # DEPENDENCYPART_ARC
(24,15),-2.13994 # DEPENDENCYPART_ARC
(24,16),-1.86698 # DEPENDENCYPART_ARC
(24,17),-1.24416 # DEPENDENCYPART_ARC
(24,18),0.0495182 # DEPENDENCYPART_ARC
(24,19),-1.58025 # DEPENDENCYPART_ARC
(24,20),1.09548 # DEPENDENCYPART_ARC
(24,21),-0.391525 # DEPENDENCYPART_ARC
(24,22),0.0480706 # DEPENDENCYPART_ARC
(24,23),4.38751 # DEPENDENCYPART_ARC
(24,25),4.09574 # DEPENDENCYPART_ARC
(24,26),1.79591 # DEPENDENCYPART_ARC
(24,27),1.19111 # DEPENDENCYPART_ARC
(25,1),-4.52154 # DEPENDENCYPART_ARC
(25,2),-4.95212 # DEPENDENCYPART_ARC
(25,3),-4.02377 # DEPENDENCYPART_ARC
(25,4),-3.51002 # DEPENDENCYPART_ARC
(25,5),-4.61199 # DEPENDENCYPART_ARC
(25,6),-3.26601 # DEPENDENCYPART_ARC
(25,7),-3.23607 # DEPENDENCYPART_ARC
(25,8),-2.84701 # DEPENDENCYPART_ARC
(25,9),-2.94879 # DEPENDENCYPART_ARC
(25,10),-2.80144 # DEPENDENCYPART_ARC
(25,11),-2.3214 # DEPENDENCYPART_ARC
(25,12),-2.89128 # DEPENDENCYPART_ARC
(25,13),-2.67856 # DEPENDENCYPART_ARC
(25,14),-2.13808 # DEPENDENCYPART_ARC
(25,15),-2.25996 # DEPENDENCYPART_ARC
(25,16),-1.90436 # DEPENDENCYPART_ARC
(25,17),-1.95329 # DEPENDENCYPART_ARC
(25,18),-1.36488 # DEPENDENCYPART_ARC
(25,19),-1.51171 # DEPENDENCYPART_ARC
(25,20),-1.31814 # DEPENDENCYPART_ARC
(25,21),-1.02019 # DEPENDENCYPART_ARC
(25,22),-1.15031 # DEPENDENCYPART_ARC
(25,23),-0.62027 # DEPENDENCYPART_ARC
(25,24),-0.057333 # DEPENDENCYPART_ARC
(25,26),3.54319 # DEPENDENCYPART_ARC
(25,27),0.0583603 # DEPENDENCYPART_ARC
(26,1),-3.84951 # DEPENDENCYPART_ARC
(26,2),-5.22921 # DEPENDENCYPART_ARC
(26,3),-2.91655 # DEPENDENCYPART_ARC
(26,4),-2.60952 # DEPENDENCYPART_ARC
(26,5),-4.05268 # DEPENDENCYPART_ARC
(26,6),-2.38492 # DEPENDENCYPART_ARC
(26,7),-2.43676 # DEPENDENCYPART_ARC
(26,8),-3.07943 # DEPENDENCYPART_ARC
(26,9),-2.8906 # DEPENDENCYPART_ARC
(26,10),-2.49329 # DEPENDENCYPART_ARC
(26,11),-2.1837 # DEPENDENCYPART_ARC
(26,12),-2.61821 # DEPENDENCYPART_ARC
(26,13),-3.4381 # DEPENDENCYPART_ARC
(26,14),-1.35586 # DEPENDENCYPART_ARC
(26,15),-2.23489 # DEPENDENCYPART_ARC
(26,16),-1.4351 # DEPENDENCYPART_ARC
(26,17),-2.35491 # DEPENDENCYPART_ARC
(26,18),-2.38624 # DEPENDENCYPART_ARC
(26,19),-0.985388 # DEPENDENCYPART_ARC
(26,20),-0.154338 # DEPENDENCYPART_ARC
(26,21),-1.33343 # DEPENDENCYPART_ARC
(26,22),-1.14449 # DEPENDENCYPART_ARC
(26,23),0.554734 # DEPENDENCYPART_ARC
(26,24),-0.443665 # DEPENDENCYPART_ARC
(26,25),0.385004 # DEPENDENCYPART_ARC
(26,27),0.150872 # DEPENDENCYPART_ARC
(27,1),-1.79693 # DEPENDENCYPART_ARC
(27,2),-3.76877 # DEPENDENCYPART_ARC
(27,3),-2.85814 # DEPENDENCYPART_ARC
(27,4),-3.23006 # DEPENDENCYPART_ARC
(27,5),-2.82795 # DEPENDENCYPART_ARC
(27,6),-1.5886 # DEPENDENCYPART_ARC
(27,7),-2.36923 # DEPENDENCYPART_ARC
(27,8),-2.74232 # DEPENDENCYPART_ARC
(27,9),-1.62214 # DEPENDENCYPART_ARC
(27,10),-2.15556 # DEPENDENCYPART_ARC
(27,11),-2.49767 # DEPENDENCYPART_ARC
(27,12),-1.04265 # DEPENDENCYPART_ARC
(27,13),-2.33877 # DEPENDENCYPART_ARC
(27,14),-2.18272 # DEPENDENCYPART_ARC
(27,15),-1.23381 # DEPENDENCYPART_ARC
(27,16),-0.663246 # DEPENDENCYPART_ARC
(27,17),-1.40709 # DEPENDENCYPART_ARC
(27,18),-1.70058 # DEPENDENCYPART_ARC
(27,19),-1.7484 # DEPENDENCYPART_ARC
(27,20),-0.821416 # DEPENDENCYPART_ARC
(27,21),-1.24957 # DEPENDENCYPART_ARC
(27,22),-1.14491 # DEPENDENCYPART_ARC
(27,23),-0.692739 # DEPENDENCYPART_ARC
(27,24),-1.08768 # DEPENDENCYPART_ARC
(27,25),-1.17147 # DEPENDENCYPART_ARC
(27,26),-0.899734 # DEPENDENCYPART_ARC
