# _root_ The French group has an agreement giving it the right to buy all the shares outstanding , and this could be completed within a few months , a BSN spokeswoman said .
#goldHeads=3,3,4,31,6,4,6,7,10,7,10,11,15,15,12,15,4,4,20,18,20,21,22,26,26,23,4,30,30,31,0,31,
#predictedHeads=3,3,4,31,6,4,6,7,10,7,10,11,15,15,12,15,4,4,20,18,20,21,22,26,26,23,31,30,30,31,0,31,
(16,12),-0.774733 # DEPENDENCYPART_ARC
(16,13),-0.0595507 # DEPENDENCYPART_ARC
(16,14),0.820042 # DEPENDENCYPART_ARC
(16,15),0.0676887 # DEPENDENCYPART_ARC
(16,17),0.512536 # DEPENDENCYPART_ARC
(16,18),-0.0876816 # DEPENDENCYPART_ARC
(16,19),-0.894396 # DEPENDENCYPART_ARC
(16,20),-0.310363 # DEPENDENCYPART_ARC
(16,21),-0.893845 # DEPENDENCYPART_ARC
(16,22),-0.55494 # DEPENDENCYPART_ARC
(16,23),-1.21228 # DEPENDENCYPART_ARC
(16,24),-1.64846 # DEPENDENCYPART_ARC
(16,25),-1.02272 # DEPENDENCYPART_ARC
(16,26),-1.08454 # DEPENDENCYPART_ARC
(16,27),-0.293492 # DEPENDENCYPART_ARC
(16,28),-2.15025 # DEPENDENCYPART_ARC
(16,29),-1.80137 # DEPENDENCYPART_ARC
(16,30),-1.66933 # DEPENDENCYPART_ARC
(16,31),-1.52084 # DEPENDENCYPART_ARC
(16,32),-0.628466 # DEPENDENCYPART_ARC
(17,1),-2.21124 # DEPENDENCYPART_ARC
(17,2),-2.46466 # DEPENDENCYPART_ARC
(17,3),-1.78038 # DEPENDENCYPART_ARC
(17,4),-2.07357 # DEPENDENCYPART_ARC
(17,5),-1.79971 # DEPENDENCYPART_ARC
(17,6),-1.57043 # DEPENDENCYPART_ARC
(17,7),-1.19999 # DEPENDENCYPART_ARC
(17,8),-1.9224 # DEPENDENCYPART_ARC
(17,9),-1.20642 # DEPENDENCYPART_ARC
(17,10),-1.2293 # DEPENDENCYPART_ARC
(17,11),-0.78566 # DEPENDENCYPART_ARC
(17,12),-1.47305 # DEPENDENCYPART_ARC
(17,13),-0.719333 # DEPENDENCYPART_ARC
(17,14),-0.339975 # DEPENDENCYPART_ARC
(17,15),-1.18244 # DEPENDENCYPART_ARC
(17,16),-0.374444 # DEPENDENCYPART_ARC
(17,18),-0.116589 # DEPENDENCYPART_ARC
(17,19),-0.728255 # DEPENDENCYPART_ARC
(17,20),-0.648408 # DEPENDENCYPART_ARC
(17,21),-0.757445 # DEPENDENCYPART_ARC
(17,22),-1.25829 # DEPENDENCYPART_ARC
(17,23),-1.13839 # DEPENDENCYPART_ARC
(17,24),-1.62039 # DEPENDENCYPART_ARC
(17,25),-1.83748 # DEPENDENCYPART_ARC
(17,26),-2.10831 # DEPENDENCYPART_ARC
(17,27),0.429193 # DEPENDENCYPART_ARC
(17,28),-2.08012 # DEPENDENCYPART_ARC
(17,29),-2.21821 # DEPENDENCYPART_ARC
(17,30),-2.69271 # DEPENDENCYPART_ARC
(17,31),-1.83311 # DEPENDENCYPART_ARC
(17,32),-1.65787 # DEPENDENCYPART_ARC
(18,1),-2.24646 # DEPENDENCYPART_ARC
(18,2),-2.32645 # DEPENDENCYPART_ARC
(18,3),-1.99143 # DEPENDENCYPART_ARC
(18,4),-1.79807 # DEPENDENCYPART_ARC
(18,5),-1.80647 # DEPENDENCYPART_ARC
(18,6),-1.59791 # DEPENDENCYPART_ARC
(18,7),-0.808516 # DEPENDENCYPART_ARC
(18,8),-1.78648 # DEPENDENCYPART_ARC
(18,9),-1.16286 # DEPENDENCYPART_ARC
(18,10),-0.983803 # DEPENDENCYPART_ARC
(18,11),-1.16527 # DEPENDENCYPART_ARC
(18,12),-1.0815 # DEPENDENCYPART_ARC
(18,13),-0.678982 # DEPENDENCYPART_ARC
(18,14),-0.426233 # DEPENDENCYPART_ARC
(18,15),-0.252698 # DEPENDENCYPART_ARC
(18,16),-0.568283 # DEPENDENCYPART_ARC
(18,17),-0.152659 # DEPENDENCYPART_ARC
(18,19),0.950457 # DEPENDENCYPART_ARC
(18,20),3.67711 # DEPENDENCYPART_ARC
(18,21),1.56934 # DEPENDENCYPART_ARC
(18,22),0.988069 # DEPENDENCYPART_ARC
(18,23),-0.0672964 # DEPENDENCYPART_ARC
(18,24),-0.647383 # DEPENDENCYPART_ARC
(18,25),-1.21101 # DEPENDENCYPART_ARC
(18,26),-0.767754 # DEPENDENCYPART_ARC
(18,27),-0.0778966 # DEPENDENCYPART_ARC
(18,28),-0.742381 # DEPENDENCYPART_ARC
(18,29),-3.70212 # DEPENDENCYPART_ARC
(18,30),-2.01512 # DEPENDENCYPART_ARC
(18,31),1.53785 # DEPENDENCYPART_ARC
(18,32),-0.0492449 # DEPENDENCYPART_ARC
(19,1),-2.74739 # DEPENDENCYPART_ARC
(19,2),-3.29694 # DEPENDENCYPART_ARC
(19,3),-3.69443 # DEPENDENCYPART_ARC
(19,4),-3.15293 # DEPENDENCYPART_ARC
(19,5),-2.38908 # DEPENDENCYPART_ARC
(19,6),-3.35603 # DEPENDENCYPART_ARC
(19,7),-2.73647 # DEPENDENCYPART_ARC
(19,8),-2.34865 # DEPENDENCYPART_ARC
(19,9),-1.64928 # DEPENDENCYPART_ARC
(19,10),-2.81724 # DEPENDENCYPART_ARC
(19,11),-2.30755 # DEPENDENCYPART_ARC
(19,12),-1.92544 # DEPENDENCYPART_ARC
(19,13),-0.693429 # DEPENDENCYPART_ARC
(19,14),-0.901082 # DEPENDENCYPART_ARC
(19,15),-1.78204 # DEPENDENCYPART_ARC
(19,16),-1.17315 # DEPENDENCYPART_ARC
(19,17),-0.993168 # DEPENDENCYPART_ARC
(19,18),-0.571504 # DEPENDENCYPART_ARC
(19,20),0.403564 # DEPENDENCYPART_ARC
(19,21),0.200597 # DEPENDENCYPART_ARC
(19,22),-0.155165 # DEPENDENCYPART_ARC
(19,23),-0.863362 # DEPENDENCYPART_ARC
(19,24),-1.75164 # DEPENDENCYPART_ARC
(19,25),-1.26473 # DEPENDENCYPART_ARC
(19,26),-1.21308 # DEPENDENCYPART_ARC
(19,27),-0.505333 # DEPENDENCYPART_ARC
(19,28),-2.0508 # DEPENDENCYPART_ARC
(19,29),-1.95588 # DEPENDENCYPART_ARC
(19,30),-1.7166 # DEPENDENCYPART_ARC
(19,31),-1.84836 # DEPENDENCYPART_ARC
(19,32),-0.154102 # DEPENDENCYPART_ARC
(20,1),-0.636432 # DEPENDENCYPART_ARC
(20,2),-0.258176 # DEPENDENCYPART_ARC
(20,3),0.251153 # DEPENDENCYPART_ARC
(20,4),-0.541535 # DEPENDENCYPART_ARC
(20,5),-0.200743 # DEPENDENCYPART_ARC
(20,6),0.799076 # DEPENDENCYPART_ARC
(20,7),0.900248 # DEPENDENCYPART_ARC
(20,8),-0.256887 # DEPENDENCYPART_ARC
(20,9),-0.00881019 # DEPENDENCYPART_ARC
(20,10),1.27594 # DEPENDENCYPART_ARC
(20,11),-0.262363 # DEPENDENCYPART_ARC
(20,12),-0.0392493 # DEPENDENCYPART_ARC
(20,13),0.767001 # DEPENDENCYPART_ARC
(20,14),0.659167 # DEPENDENCYPART_ARC
(20,15),1.15451 # DEPENDENCYPART_ARC
(20,16),0.505564 # DEPENDENCYPART_ARC
(20,17),0.542402 # DEPENDENCYPART_ARC
(20,18),1.22816 # DEPENDENCYPART_ARC
(20,19),3.32663 # DEPENDENCYPART_ARC
(20,21),3.80353 # DEPENDENCYPART_ARC
(20,22),1.35061 # DEPENDENCYPART_ARC
(20,23),1.05325 # DEPENDENCYPART_ARC
(20,24),-0.472456 # DEPENDENCYPART_ARC
(20,25),-0.478433 # DEPENDENCYPART_ARC
(20,26),-0.255974 # DEPENDENCYPART_ARC
(20,27),0.721515 # DEPENDENCYPART_ARC
(20,28),-0.851085 # DEPENDENCYPART_ARC
(20,29),-0.698808 # DEPENDENCYPART_ARC
(20,30),-0.703471 # DEPENDENCYPART_ARC
(20,31),0.196482 # DEPENDENCYPART_ARC
(20,32),3.323 # DEPENDENCYPART_ARC
(21,1),-1.98388 # DEPENDENCYPART_ARC
(21,2),-1.58448 # DEPENDENCYPART_ARC
(21,3),-1.16643 # DEPENDENCYPART_ARC
(21,4),-2.32627 # DEPENDENCYPART_ARC
(21,5),-1.43938 # DEPENDENCYPART_ARC
(21,6),-1.0473 # DEPENDENCYPART_ARC
(21,7),-0.598954 # DEPENDENCYPART_ARC
(21,8),-1.28842 # DEPENDENCYPART_ARC
(21,9),-1.069 # DEPENDENCYPART_ARC
(21,10),-0.705751 # DEPENDENCYPART_ARC
(21,11),-0.980461 # DEPENDENCYPART_ARC
(21,12),-0.606813 # DEPENDENCYPART_ARC
(21,13),-0.472135 # DEPENDENCYPART_ARC
(21,14),-0.290526 # DEPENDENCYPART_ARC
(21,15),-0.155492 # DEPENDENCYPART_ARC
(21,16),-0.0820566 # DEPENDENCYPART_ARC
(21,17),-0.20827 # DEPENDENCYPART_ARC
(21,18),-0.317672 # DEPENDENCYPART_ARC
(21,19),0.412723 # DEPENDENCYPART_ARC
(21,20),1.39467 # DEPENDENCYPART_ARC
(21,22),3.79337 # DEPENDENCYPART_ARC
(21,23),1.07535 # DEPENDENCYPART_ARC
(21,24),-1.05104 # DEPENDENCYPART_ARC
(21,25),-0.389361 # DEPENDENCYPART_ARC
(21,26),0.124002 # DEPENDENCYPART_ARC
(21,27),0.314296 # DEPENDENCYPART_ARC
(21,28),-1.34566 # DEPENDENCYPART_ARC
(21,29),-0.92454 # DEPENDENCYPART_ARC
(21,30),-2.2159 # DEPENDENCYPART_ARC
(21,31),-0.788943 # DEPENDENCYPART_ARC
(21,32),0.3211 # DEPENDENCYPART_ARC
(22,1),-1.72908 # DEPENDENCYPART_ARC
(22,2),-1.30666 # DEPENDENCYPART_ARC
(22,3),-2.06104 # DEPENDENCYPART_ARC
(22,4),-1.44187 # DEPENDENCYPART_ARC
(22,5),-1.50674 # DEPENDENCYPART_ARC
(22,6),-2.10653 # DEPENDENCYPART_ARC
(22,7),-1.21014 # DEPENDENCYPART_ARC
(22,8),-0.793041 # DEPENDENCYPART_ARC
(22,9),-0.921601 # DEPENDENCYPART_ARC
(22,10),-1.51741 # DEPENDENCYPART_ARC
(22,11),-0.661904 # DEPENDENCYPART_ARC
(22,12),-1.1915 # DEPENDENCYPART_ARC
(22,13),-0.223101 # DEPENDENCYPART_ARC
(22,14),-0.214039 # DEPENDENCYPART_ARC
(22,15),-0.411367 # DEPENDENCYPART_ARC
(22,16),-0.143511 # DEPENDENCYPART_ARC
(22,17),-0.10217 # DEPENDENCYPART_ARC
(22,18),-0.682452 # DEPENDENCYPART_ARC
(22,19),0.573013 # DEPENDENCYPART_ARC
(22,20),0.0479003 # DEPENDENCYPART_ARC
(22,21),0.53908 # DEPENDENCYPART_ARC
(22,23),3.30537 # DEPENDENCYPART_ARC
(22,24),0.42914 # DEPENDENCYPART_ARC
(22,25),0.350515 # DEPENDENCYPART_ARC
(22,26),0.964117 # DEPENDENCYPART_ARC
(22,27),1.15742 # DEPENDENCYPART_ARC
(22,28),-0.211288 # DEPENDENCYPART_ARC
(22,29),-0.404863 # DEPENDENCYPART_ARC
(22,30),-0.27029 # DEPENDENCYPART_ARC
(22,31),0.147941 # DEPENDENCYPART_ARC
(22,32),0.616926 # DEPENDENCYPART_ARC
(23,1),-2.7509 # DEPENDENCYPART_ARC
(23,2),-2.59364 # DEPENDENCYPART_ARC
(23,3),-3.53167 # DEPENDENCYPART_ARC
(23,4),-2.22367 # DEPENDENCYPART_ARC
(23,5),-2.15018 # DEPENDENCYPART_ARC
(23,6),-2.72795 # DEPENDENCYPART_ARC
(23,7),-2.34601 # DEPENDENCYPART_ARC
(23,8),-2.07432 # DEPENDENCYPART_ARC
(23,9),-1.82888 # DEPENDENCYPART_ARC
(23,10),-1.87017 # DEPENDENCYPART_ARC
(23,11),-1.50045 # DEPENDENCYPART_ARC
(23,12),-1.4169 # DEPENDENCYPART_ARC
(23,13),-0.525977 # DEPENDENCYPART_ARC
(23,14),-0.808753 # DEPENDENCYPART_ARC
(23,15),-0.894512 # DEPENDENCYPART_ARC
(23,16),-0.594944 # DEPENDENCYPART_ARC
(23,17),-0.344166 # DEPENDENCYPART_ARC
(23,18),-0.555561 # DEPENDENCYPART_ARC
(23,19),-0.25676 # DEPENDENCYPART_ARC
(23,20),-0.642577 # DEPENDENCYPART_ARC
(23,21),0.0547224 # DEPENDENCYPART_ARC
(23,22),0.546723 # DEPENDENCYPART_ARC
(23,24),0.70953 # DEPENDENCYPART_ARC
(23,25),1.71208 # DEPENDENCYPART_ARC
(23,26),3.59251 # DEPENDENCYPART_ARC
(23,27),0.721909 # DEPENDENCYPART_ARC
(23,28),-1.27904 # DEPENDENCYPART_ARC
(23,29),-0.941836 # DEPENDENCYPART_ARC
(23,30),0.352285 # DEPENDENCYPART_ARC
(23,31),0.0617619 # DEPENDENCYPART_ARC
(23,32),0.57097 # DEPENDENCYPART_ARC
(24,1),-3.47389 # DEPENDENCYPART_ARC
(24,2),-3.86016 # DEPENDENCYPART_ARC
(24,3),-4.34713 # DEPENDENCYPART_ARC
(24,4),-3.77005 # DEPENDENCYPART_ARC
(24,5),-3.15451 # DEPENDENCYPART_ARC
(24,6),-3.86766 # DEPENDENCYPART_ARC
(24,7),-3.29217 # DEPENDENCYPART_ARC
(24,8),-3.02565 # DEPENDENCYPART_ARC
(24,9),-2.65344 # DEPENDENCYPART_ARC
(24,10),-3.51981 # DEPENDENCYPART_ARC
(24,11),-2.80166 # DEPENDENCYPART_ARC
(24,12),-2.43378 # DEPENDENCYPART_ARC
(24,13),-2.20352 # DEPENDENCYPART_ARC
(24,14),-1.88685 # DEPENDENCYPART_ARC
(24,15),-2.59133 # DEPENDENCYPART_ARC
(24,16),-2.32505 # DEPENDENCYPART_ARC
(24,17),-2.20227 # DEPENDENCYPART_ARC
(24,18),-2.56937 # DEPENDENCYPART_ARC
(24,19),-1.3372 # DEPENDENCYPART_ARC
(24,20),-1.93486 # DEPENDENCYPART_ARC
(24,21),-1.07557 # DEPENDENCYPART_ARC
(24,22),-1.21136 # DEPENDENCYPART_ARC
(24,23),-0.0404236 # DEPENDENCYPART_ARC
(24,25),0.273843 # DEPENDENCYPART_ARC
(24,26),-0.532971 # DEPENDENCYPART_ARC
(24,27),-0.408675 # DEPENDENCYPART_ARC
(24,28),-1.86789 # DEPENDENCYPART_ARC
(24,29),-1.29876 # DEPENDENCYPART_ARC
(24,30),-1.14188 # DEPENDENCYPART_ARC
(24,31),-1.45254 # DEPENDENCYPART_ARC
(24,32),-1.34045 # DEPENDENCYPART_ARC
(25,1),-3.01524 # DEPENDENCYPART_ARC
(25,2),-3.29204 # DEPENDENCYPART_ARC
(25,3),-3.04293 # DEPENDENCYPART_ARC
(25,4),-3.2155 # DEPENDENCYPART_ARC
(25,5),-2.29709 # DEPENDENCYPART_ARC
(25,6),-2.75871 # DEPENDENCYPART_ARC
(25,7),-2.69759 # DEPENDENCYPART_ARC
(25,8),-2.98912 # DEPENDENCYPART_ARC
(25,9),-1.95666 # DEPENDENCYPART_ARC
(25,10),-2.4318 # DEPENDENCYPART_ARC
(25,11),-1.02954 # DEPENDENCYPART_ARC
(25,12),-2.00738 # DEPENDENCYPART_ARC
(25,13),-1.68894 # DEPENDENCYPART_ARC
(25,14),-1.30498 # DEPENDENCYPART_ARC
(25,15),-1.94923 # DEPENDENCYPART_ARC
(25,16),-1.18068 # DEPENDENCYPART_ARC
(25,17),-1.23478 # DEPENDENCYPART_ARC
(25,18),-2.00546 # DEPENDENCYPART_ARC
(25,19),-0.60945 # DEPENDENCYPART_ARC
(25,20),-1.3949 # DEPENDENCYPART_ARC
(25,21),-0.762975 # DEPENDENCYPART_ARC
(25,22),-0.597385 # DEPENDENCYPART_ARC
(25,23),0.807276 # DEPENDENCYPART_ARC
(25,24),2.58797 # DEPENDENCYPART_ARC
(25,26),0.784206 # DEPENDENCYPART_ARC
(25,27),-0.00274903 # DEPENDENCYPART_ARC
(25,28),-0.768159 # DEPENDENCYPART_ARC
(25,29),-0.44491 # DEPENDENCYPART_ARC
(25,30),-0.684802 # DEPENDENCYPART_ARC
(25,31),-0.587228 # DEPENDENCYPART_ARC
(25,32),-0.501648 # DEPENDENCYPART_ARC
(26,1),-7.42774 # DEPENDENCYPART_ARC
(26,2),-6.20125 # DEPENDENCYPART_ARC
(26,3),-5.80715 # DEPENDENCYPART_ARC
(26,4),-1.59904 # DEPENDENCYPART_ARC
(26,5),-5.39246 # DEPENDENCYPART_ARC
(26,6),-5.22314 # DEPENDENCYPART_ARC
(26,7),-2.6259 # DEPENDENCYPART_ARC
(26,8),-2.41434 # DEPENDENCYPART_ARC
(26,9),-4.70492 # DEPENDENCYPART_ARC
(26,10),-4.77327 # DEPENDENCYPART_ARC
(26,11),-2.09611 # DEPENDENCYPART_ARC
(26,12),-1.31783 # DEPENDENCYPART_ARC
(26,13),-1.58856 # DEPENDENCYPART_ARC
(26,14),-2.13643 # DEPENDENCYPART_ARC
(26,15),-2.20068 # DEPENDENCYPART_ARC
(26,16),-1.39693 # DEPENDENCYPART_ARC
(26,17),-0.266111 # DEPENDENCYPART_ARC
(26,18),-0.738177 # DEPENDENCYPART_ARC
(26,19),-1.06718 # DEPENDENCYPART_ARC
(26,20),-0.723803 # DEPENDENCYPART_ARC
(26,21),0.102882 # DEPENDENCYPART_ARC
(26,22),0.378335 # DEPENDENCYPART_ARC
(26,23),0.567445 # DEPENDENCYPART_ARC
(26,24),4.39837 # DEPENDENCYPART_ARC
(26,25),4.61643 # DEPENDENCYPART_ARC
(26,27),0.898455 # DEPENDENCYPART_ARC
(26,28),0.472358 # DEPENDENCYPART_ARC
(26,29),0.271028 # DEPENDENCYPART_ARC
(26,30),0.03709 # DEPENDENCYPART_ARC
(26,31),0.613355 # DEPENDENCYPART_ARC
(26,32),-0.121497 # DEPENDENCYPART_ARC
(27,1),-3.67627 # DEPENDENCYPART_ARC
(27,2),-3.86044 # DEPENDENCYPART_ARC
(27,3),-2.94298 # DEPENDENCYPART_ARC
(27,4),-3.55352 # DEPENDENCYPART_ARC
(27,5),-3.20694 # DEPENDENCYPART_ARC
(27,6),-2.67636 # DEPENDENCYPART_ARC
(27,7),-2.37594 # DEPENDENCYPART_ARC
(27,8),-3.31233 # DEPENDENCYPART_ARC
(27,9),-2.7561 # DEPENDENCYPART_ARC
(27,10),-2.2525 # DEPENDENCYPART_ARC
(27,11),-1.78149 # DEPENDENCYPART_ARC
(27,12),-2.72762 # DEPENDENCYPART_ARC
(27,13),-2.43875 # DEPENDENCYPART_ARC
(27,14),-2.24483 # DEPENDENCYPART_ARC
(27,15),-2.3716 # DEPENDENCYPART_ARC
(27,16),-2.42387 # DEPENDENCYPART_ARC
(27,17),-0.436494 # DEPENDENCYPART_ARC
(27,18),-2.36528 # DEPENDENCYPART_ARC
(27,19),-1.57594 # DEPENDENCYPART_ARC
(27,20),-2.12026 # DEPENDENCYPART_ARC
(27,21),-1.72007 # DEPENDENCYPART_ARC
(27,22),-1.49131 # DEPENDENCYPART_ARC
(27,23),-1.49087 # DEPENDENCYPART_ARC
(27,24),-0.723132 # DEPENDENCYPART_ARC
(27,25),-1.33457 # DEPENDENCYPART_ARC
(27,26),-1.269 # DEPENDENCYPART_ARC
(27,28),-0.509193 # DEPENDENCYPART_ARC
(27,29),-0.808161 # DEPENDENCYPART_ARC
(27,30),-1.52723 # DEPENDENCYPART_ARC
(27,31),-1.12737 # DEPENDENCYPART_ARC
(27,32),-1.52274 # DEPENDENCYPART_ARC
(28,1),-3.47308 # DEPENDENCYPART_ARC
(28,2),-4.06714 # DEPENDENCYPART_ARC
(28,3),-4.40733 # DEPENDENCYPART_ARC
(28,4),-3.87352 # DEPENDENCYPART_ARC
(28,5),-3.38193 # DEPENDENCYPART_ARC
(28,6),-4.10682 # DEPENDENCYPART_ARC
(28,7),-3.43589 # DEPENDENCYPART_ARC
(28,8),-3.17681 # DEPENDENCYPART_ARC
(28,9),-2.80211 # DEPENDENCYPART_ARC
(28,10),-3.59422 # DEPENDENCYPART_ARC
(28,11),-2.98043 # DEPENDENCYPART_ARC
(28,12),-2.73997 # DEPENDENCYPART_ARC
(28,13),-2.33414 # DEPENDENCYPART_ARC
(28,14),-2.3349 # DEPENDENCYPART_ARC
(28,15),-2.82926 # DEPENDENCYPART_ARC
(28,16),-2.57573 # DEPENDENCYPART_ARC
(28,17),-2.41049 # DEPENDENCYPART_ARC
(28,18),-2.76682 # DEPENDENCYPART_ARC
(28,19),-1.7062 # DEPENDENCYPART_ARC
(28,20),-2.3508 # DEPENDENCYPART_ARC
(28,21),-1.74011 # DEPENDENCYPART_ARC
(28,22),-1.88203 # DEPENDENCYPART_ARC
(28,23),-1.04244 # DEPENDENCYPART_ARC
(28,24),-0.67696 # DEPENDENCYPART_ARC
(28,25),-0.968588 # DEPENDENCYPART_ARC
(28,26),-1.13188 # DEPENDENCYPART_ARC
(28,27),-0.161505 # DEPENDENCYPART_ARC
(28,29),0.637864 # DEPENDENCYPART_ARC
(28,30),0.514255 # DEPENDENCYPART_ARC
(28,31),0.897941 # DEPENDENCYPART_ARC
(28,32),-0.64133 # DEPENDENCYPART_ARC
(29,1),-8.83131 # DEPENDENCYPART_ARC
(29,2),-6.11532 # DEPENDENCYPART_ARC
(29,3),-8.19947 # DEPENDENCYPART_ARC
(29,4),-4.62023 # DEPENDENCYPART_ARC
(29,5),-6.61881 # DEPENDENCYPART_ARC
(29,6),-7.85525 # DEPENDENCYPART_ARC
(29,7),-4.7213 # DEPENDENCYPART_ARC
(29,8),-4.49477 # DEPENDENCYPART_ARC
(29,9),-7.08057 # DEPENDENCYPART_ARC
(29,10),-7.21574 # DEPENDENCYPART_ARC
(29,11),-4.53714 # DEPENDENCYPART_ARC
(29,12),-4.0572 # DEPENDENCYPART_ARC
(29,13),-5.19903 # DEPENDENCYPART_ARC
(29,14),-5.45298 # DEPENDENCYPART_ARC
(29,15),-4.75413 # DEPENDENCYPART_ARC
(29,16),-4.74701 # DEPENDENCYPART_ARC
(29,17),-3.09553 # DEPENDENCYPART_ARC
(29,18),-3.76686 # DEPENDENCYPART_ARC
(29,19),-3.1007 # DEPENDENCYPART_ARC
(29,20),-3.24721 # DEPENDENCYPART_ARC
(29,21),-2.69717 # DEPENDENCYPART_ARC
(29,22),-2.89805 # DEPENDENCYPART_ARC
(29,23),-1.9946 # DEPENDENCYPART_ARC
(29,24),-0.648295 # DEPENDENCYPART_ARC
(29,25),-0.959431 # DEPENDENCYPART_ARC
(29,26),-1.73733 # DEPENDENCYPART_ARC
(29,27),-0.457114 # DEPENDENCYPART_ARC
(29,28),1.18529 # DEPENDENCYPART_ARC
(29,30),0.685794 # DEPENDENCYPART_ARC
(29,31),0.0334156 # DEPENDENCYPART_ARC
(29,32),-0.475748 # DEPENDENCYPART_ARC
(30,1),-12.4798 # DEPENDENCYPART_ARC
(30,2),-7.23731 # DEPENDENCYPART_ARC
(30,3),-9.6838 # DEPENDENCYPART_ARC
(30,4),-3.23935 # DEPENDENCYPART_ARC
(30,5),-6.96768 # DEPENDENCYPART_ARC
(30,6),-9.03689 # DEPENDENCYPART_ARC
(30,7),-2.24596 # DEPENDENCYPART_ARC
(30,8),-2.6362 # DEPENDENCYPART_ARC
(30,9),-8.74516 # DEPENDENCYPART_ARC
(30,10),-7.72667 # DEPENDENCYPART_ARC
(30,11),-2.53239 # DEPENDENCYPART_ARC
(30,12),-2.41755 # DEPENDENCYPART_ARC
(30,13),-4.72168 # DEPENDENCYPART_ARC
(30,14),-4.91981 # DEPENDENCYPART_ARC
(30,15),-2.17025 # DEPENDENCYPART_ARC
(30,16),-3.41032 # DEPENDENCYPART_ARC
(30,17),-0.72821 # DEPENDENCYPART_ARC
(30,18),-0.494397 # DEPENDENCYPART_ARC
(30,19),-2.72705 # DEPENDENCYPART_ARC
(30,20),-1.27981 # DEPENDENCYPART_ARC
(30,21),-1.09704 # DEPENDENCYPART_ARC
(30,22),-1.04817 # DEPENDENCYPART_ARC
(30,23),-0.301774 # DEPENDENCYPART_ARC
(30,24),1.73823 # DEPENDENCYPART_ARC
(30,25),1.37024 # DEPENDENCYPART_ARC
(30,26),-0.096246 # DEPENDENCYPART_ARC
(30,27),0.411117 # DEPENDENCYPART_ARC
(30,28),4.15108 # DEPENDENCYPART_ARC
(30,29),4.32953 # DEPENDENCYPART_ARC
(30,31),0.849734 # DEPENDENCYPART_ARC
(30,32),0.249222 # DEPENDENCYPART_ARC
(31,1),-5.15791 # DEPENDENCYPART_ARC
(31,2),-1.9173 # DEPENDENCYPART_ARC
(31,3),-2.94043 # DEPENDENCYPART_ARC
(31,4),2.13844 # DEPENDENCYPART_ARC
(31,5),-3.94697 # DEPENDENCYPART_ARC
(31,6),-2.17432 # DEPENDENCYPART_ARC
(31,7),-1.12132 # DEPENDENCYPART_ARC
(31,8),-2.42883 # DEPENDENCYPART_ARC
(31,9),-3.62365 # DEPENDENCYPART_ARC
(31,10),-1.67179 # DEPENDENCYPART_ARC
(31,11),-2.7566 # DEPENDENCYPART_ARC
(31,12),-0.214998 # DEPENDENCYPART_ARC
(31,13),-1.92686 # DEPENDENCYPART_ARC
(31,14),-2.55292 # DEPENDENCYPART_ARC
(31,15),-0.404157 # DEPENDENCYPART_ARC
(31,16),-0.920997 # DEPENDENCYPART_ARC
(31,17),-0.930824 # DEPENDENCYPART_ARC
(31,18),-0.225428 # DEPENDENCYPART_ARC
(31,19),-1.15514 # DEPENDENCYPART_ARC
(31,20),1.59539 # DEPENDENCYPART_ARC
(31,21),0.0172077 # DEPENDENCYPART_ARC
(31,22),0.429244 # DEPENDENCYPART_ARC
(31,23),0.235325 # DEPENDENCYPART_ARC
(31,24),-0.49753 # DEPENDENCYPART_ARC
(31,25),0.235383 # DEPENDENCYPART_ARC
(31,26),-0.603143 # DEPENDENCYPART_ARC
(31,27),4.43506 # DEPENDENCYPART_ARC
(31,28),0.935585 # DEPENDENCYPART_ARC
(31,29),1.37862 # DEPENDENCYPART_ARC
(31,30),3.31162 # DEPENDENCYPART_ARC
(31,32),7.39207 # DEPENDENCYPART_ARC
(32,1),-4.18596 # DEPENDENCYPART_ARC
(32,2),-4.14947 # DEPENDENCYPART_ARC
(32,3),-3.17653 # DEPENDENCYPART_ARC
(32,4),-4.56549 # DEPENDENCYPART_ARC
(32,5),-3.49664 # DEPENDENCYPART_ARC
(32,6),-3.38114 # DEPENDENCYPART_ARC
(32,7),-2.2727 # DEPENDENCYPART_ARC
(32,8),-1.41375 # DEPENDENCYPART_ARC
(32,9),-3.23669 # DEPENDENCYPART_ARC
(32,10),-3.22698 # DEPENDENCYPART_ARC
(32,11),-3.2054 # DEPENDENCYPART_ARC
(32,12),-3.1083 # DEPENDENCYPART_ARC
(32,13),-2.75945 # DEPENDENCYPART_ARC
(32,14),-2.57946 # DEPENDENCYPART_ARC
(32,15),-2.78148 # DEPENDENCYPART_ARC
(32,16),-2.87542 # DEPENDENCYPART_ARC
(32,17),-1.55998 # DEPENDENCYPART_ARC
(32,18),-2.4264 # DEPENDENCYPART_ARC
(32,19),-2.07296 # DEPENDENCYPART_ARC
(32,20),-1.85525 # DEPENDENCYPART_ARC
(32,21),-2.13937 # DEPENDENCYPART_ARC
(32,22),-1.86558 # DEPENDENCYPART_ARC
(32,23),-2.1104 # DEPENDENCYPART_ARC
(32,24),-1.62158 # DEPENDENCYPART_ARC
(32,25),-1.9235 # DEPENDENCYPART_ARC
(32,26),-1.90015 # DEPENDENCYPART_ARC
(32,27),-0.792959 # DEPENDENCYPART_ARC
(32,28),-1.18681 # DEPENDENCYPART_ARC
(32,29),-1.24271 # DEPENDENCYPART_ARC
