# _root_ The market seems to be straightening out ; we 're taking a wait-and-see attitude , '' says Cathleen B. Stewart , executive vice president of marketing .
#goldHeads=2,3,17,3,4,5,6,3,10,3,10,14,14,11,17,17,0,20,20,17,20,24,24,20,24,25,17,
#predictedHeads=2,3,17,3,4,5,6,3,10,6,10,14,14,11,17,17,0,20,20,17,20,24,24,20,24,25,17,
(19,15),-1.95274 # DEPENDENCYPART_ARC
(19,16),-1.29626 # DEPENDENCYPART_ARC
(19,17),-1.13597 # DEPENDENCYPART_ARC
(19,18),2.64579 # DEPENDENCYPART_ARC
(19,20),1.68875 # DEPENDENCYPART_ARC
(19,21),0.968407 # DEPENDENCYPART_ARC
(19,22),-0.190265 # DEPENDENCYPART_ARC
(19,23),0.102325 # DEPENDENCYPART_ARC
(19,24),0.628337 # DEPENDENCYPART_ARC
(19,25),-0.666293 # DEPENDENCYPART_ARC
(19,26),-1.28243 # DEPENDENCYPART_ARC
(19,27),-0.0585583 # DEPENDENCYPART_ARC
(20,1),-1.16218 # DEPENDENCYPART_ARC
(20,2),-2.20156 # DEPENDENCYPART_ARC
(20,3),-1.82285 # DEPENDENCYPART_ARC
(20,4),-1.68742 # DEPENDENCYPART_ARC
(20,5),-0.980773 # DEPENDENCYPART_ARC
(20,6),-0.574951 # DEPENDENCYPART_ARC
(20,7),-0.666645 # DEPENDENCYPART_ARC
(20,8),-0.558254 # DEPENDENCYPART_ARC
(20,9),-0.35216 # DEPENDENCYPART_ARC
(20,10),-0.603874 # DEPENDENCYPART_ARC
(20,11),0.3758 # DEPENDENCYPART_ARC
(20,12),1.71742 # DEPENDENCYPART_ARC
(20,13),1.70229 # DEPENDENCYPART_ARC
(20,14),-0.860357 # DEPENDENCYPART_ARC
(20,15),0.367414 # DEPENDENCYPART_ARC
(20,16),1.02434 # DEPENDENCYPART_ARC
(20,17),0.788423 # DEPENDENCYPART_ARC
(20,18),5.43567 # DEPENDENCYPART_ARC
(20,19),5.05157 # DEPENDENCYPART_ARC
(20,21),3.25575 # DEPENDENCYPART_ARC
(20,22),1.66479 # DEPENDENCYPART_ARC
(20,23),1.77269 # DEPENDENCYPART_ARC
(20,24),2.52154 # DEPENDENCYPART_ARC
(20,25),0.915379 # DEPENDENCYPART_ARC
(20,26),0.088602 # DEPENDENCYPART_ARC
(20,27),1.30398 # DEPENDENCYPART_ARC
(21,1),-3.11782 # DEPENDENCYPART_ARC
(21,2),-3.06538 # DEPENDENCYPART_ARC
(21,3),-3.03478 # DEPENDENCYPART_ARC
(21,4),-2.51118 # DEPENDENCYPART_ARC
(21,5),-2.9017 # DEPENDENCYPART_ARC
(21,6),-2.47585 # DEPENDENCYPART_ARC
(21,7),-2.74401 # DEPENDENCYPART_ARC
(21,8),-2.10891 # DEPENDENCYPART_ARC
(21,9),-2.67291 # DEPENDENCYPART_ARC
(21,10),-2.73404 # DEPENDENCYPART_ARC
(21,11),-1.90913 # DEPENDENCYPART_ARC
(21,12),-1.74574 # DEPENDENCYPART_ARC
(21,13),-2.11824 # DEPENDENCYPART_ARC
(21,14),-1.92883 # DEPENDENCYPART_ARC
(21,15),-0.630633 # DEPENDENCYPART_ARC
(21,16),-1.83643 # DEPENDENCYPART_ARC
(21,17),-1.73491 # DEPENDENCYPART_ARC
(21,18),-1.61117 # DEPENDENCYPART_ARC
(21,19),-1.75534 # DEPENDENCYPART_ARC
(21,20),-1.1643 # DEPENDENCYPART_ARC
(21,22),-0.677146 # DEPENDENCYPART_ARC
(21,23),-1.44393 # DEPENDENCYPART_ARC
(21,24),-1.93711 # DEPENDENCYPART_ARC
(21,25),-1.5832 # DEPENDENCYPART_ARC
(21,26),-2.27545 # DEPENDENCYPART_ARC
(21,27),-1.67512 # DEPENDENCYPART_ARC
(22,1),-2.37631 # DEPENDENCYPART_ARC
(22,2),-2.69952 # DEPENDENCYPART_ARC
(22,3),-2.64466 # DEPENDENCYPART_ARC
(22,4),-1.88277 # DEPENDENCYPART_ARC
(22,5),-2.2562 # DEPENDENCYPART_ARC
(22,6),-2.23902 # DEPENDENCYPART_ARC
(22,7),-2.05307 # DEPENDENCYPART_ARC
(22,8),-1.70311 # DEPENDENCYPART_ARC
(22,9),-2.26554 # DEPENDENCYPART_ARC
(22,10),-2.00862 # DEPENDENCYPART_ARC
(22,11),-1.72507 # DEPENDENCYPART_ARC
(22,12),0.2581 # DEPENDENCYPART_ARC
(22,13),-0.274707 # DEPENDENCYPART_ARC
(22,14),-1.66281 # DEPENDENCYPART_ARC
(22,15),-0.952543 # DEPENDENCYPART_ARC
(22,16),-1.06382 # DEPENDENCYPART_ARC
(22,17),-1.02837 # DEPENDENCYPART_ARC
(22,18),1.26044 # DEPENDENCYPART_ARC
(22,19),1.00689 # DEPENDENCYPART_ARC
(22,20),0.864108 # DEPENDENCYPART_ARC
(22,21),1.33012 # DEPENDENCYPART_ARC
(22,23),1.69678 # DEPENDENCYPART_ARC
(22,24),0.433617 # DEPENDENCYPART_ARC
(22,25),0.546639 # DEPENDENCYPART_ARC
(22,26),-0.459677 # DEPENDENCYPART_ARC
(22,27),-0.335952 # DEPENDENCYPART_ARC
(23,1),-4.85559 # DEPENDENCYPART_ARC
(23,2),-6.21476 # DEPENDENCYPART_ARC
(23,3),-3.35564 # DEPENDENCYPART_ARC
(23,4),-3.6329 # DEPENDENCYPART_ARC
(23,5),-2.62889 # DEPENDENCYPART_ARC
(23,6),-1.88985 # DEPENDENCYPART_ARC
(23,7),-2.61998 # DEPENDENCYPART_ARC
(23,8),-2.8581 # DEPENDENCYPART_ARC
(23,9),-2.04104 # DEPENDENCYPART_ARC
(23,10),-2.78557 # DEPENDENCYPART_ARC
(23,11),-1.7496 # DEPENDENCYPART_ARC
(23,12),0.344345 # DEPENDENCYPART_ARC
(23,13),-0.068515 # DEPENDENCYPART_ARC
(23,14),-2.25134 # DEPENDENCYPART_ARC
(23,15),-1.05521 # DEPENDENCYPART_ARC
(23,16),-1.03067 # DEPENDENCYPART_ARC
(23,17),-1.47235 # DEPENDENCYPART_ARC
(23,18),0.916508 # DEPENDENCYPART_ARC
(23,19),0.760773 # DEPENDENCYPART_ARC
(23,20),-0.103556 # DEPENDENCYPART_ARC
(23,21),0.517302 # DEPENDENCYPART_ARC
(23,22),1.81828 # DEPENDENCYPART_ARC
(23,24),1.10724 # DEPENDENCYPART_ARC
(23,25),0.842834 # DEPENDENCYPART_ARC
(23,26),-0.608978 # DEPENDENCYPART_ARC
(23,27),-0.513627 # DEPENDENCYPART_ARC
(24,1),-4.15967 # DEPENDENCYPART_ARC
(24,2),-4.30292 # DEPENDENCYPART_ARC
(24,3),-2.4556 # DEPENDENCYPART_ARC
(24,4),-3.24986 # DEPENDENCYPART_ARC
(24,5),-1.93445 # DEPENDENCYPART_ARC
(24,6),-0.706135 # DEPENDENCYPART_ARC
(24,7),-1.62281 # DEPENDENCYPART_ARC
(24,8),-1.87004 # DEPENDENCYPART_ARC
(24,9),-1.07548 # DEPENDENCYPART_ARC
(24,10),-1.94913 # DEPENDENCYPART_ARC
(24,11),-0.683153 # DEPENDENCYPART_ARC
(24,12),1.63386 # DEPENDENCYPART_ARC
(24,13),0.974553 # DEPENDENCYPART_ARC
(24,14),-0.68359 # DEPENDENCYPART_ARC
(24,15),-0.546092 # DEPENDENCYPART_ARC
(24,16),0.097663 # DEPENDENCYPART_ARC
(24,17),-0.619202 # DEPENDENCYPART_ARC
(24,18),1.02636 # DEPENDENCYPART_ARC
(24,19),1.24802 # DEPENDENCYPART_ARC
(24,20),0.438634 # DEPENDENCYPART_ARC
(24,21),1.05453 # DEPENDENCYPART_ARC
(24,22),3.87299 # DEPENDENCYPART_ARC
(24,23),4.3797 # DEPENDENCYPART_ARC
(24,25),4.0564 # DEPENDENCYPART_ARC
(24,26),1.26325 # DEPENDENCYPART_ARC
(24,27),1.46878 # DEPENDENCYPART_ARC
(25,1),-3.99774 # DEPENDENCYPART_ARC
(25,2),-3.97164 # DEPENDENCYPART_ARC
(25,3),-2.72907 # DEPENDENCYPART_ARC
(25,4),-3.02599 # DEPENDENCYPART_ARC
(25,5),-2.93024 # DEPENDENCYPART_ARC
(25,6),-3.1695 # DEPENDENCYPART_ARC
(25,7),-2.33895 # DEPENDENCYPART_ARC
(25,8),-1.85239 # DEPENDENCYPART_ARC
(25,9),-2.83308 # DEPENDENCYPART_ARC
(25,10),-2.60448 # DEPENDENCYPART_ARC
(25,11),-2.67895 # DEPENDENCYPART_ARC
(25,12),-2.49294 # DEPENDENCYPART_ARC
(25,13),-2.20654 # DEPENDENCYPART_ARC
(25,14),-2.98554 # DEPENDENCYPART_ARC
(25,15),-1.88713 # DEPENDENCYPART_ARC
(25,16),-1.72978 # DEPENDENCYPART_ARC
(25,17),-1.40782 # DEPENDENCYPART_ARC
(25,18),-1.1244 # DEPENDENCYPART_ARC
(25,19),-1.1189 # DEPENDENCYPART_ARC
(25,20),-1.22415 # DEPENDENCYPART_ARC
(25,21),-1.01976 # DEPENDENCYPART_ARC
(25,22),-0.536069 # DEPENDENCYPART_ARC
(25,23),-0.68253 # DEPENDENCYPART_ARC
(25,24),-0.0753792 # DEPENDENCYPART_ARC
(25,26),4.09333 # DEPENDENCYPART_ARC
(25,27),-0.499318 # DEPENDENCYPART_ARC
(26,1),-5.9928 # DEPENDENCYPART_ARC
(26,2),-6.27505 # DEPENDENCYPART_ARC
(26,3),-3.21707 # DEPENDENCYPART_ARC
(26,4),-4.37248 # DEPENDENCYPART_ARC
(26,5),-3.09785 # DEPENDENCYPART_ARC
(26,6),-1.75149 # DEPENDENCYPART_ARC
(26,7),-2.57575 # DEPENDENCYPART_ARC
(26,8),-3.01624 # DEPENDENCYPART_ARC
(26,9),-2.20901 # DEPENDENCYPART_ARC
(26,10),-2.80913 # DEPENDENCYPART_ARC
(26,11),-1.61356 # DEPENDENCYPART_ARC
(26,12),-0.149647 # DEPENDENCYPART_ARC
(26,13),-0.552678 # DEPENDENCYPART_ARC
(26,14),-2.24865 # DEPENDENCYPART_ARC
(26,15),-0.988144 # DEPENDENCYPART_ARC
(26,16),-0.670442 # DEPENDENCYPART_ARC
(26,17),-1.43052 # DEPENDENCYPART_ARC
(26,18),-0.00111659 # DEPENDENCYPART_ARC
(26,19),-0.243787 # DEPENDENCYPART_ARC
(26,20),-0.88896 # DEPENDENCYPART_ARC
(26,21),0.292055 # DEPENDENCYPART_ARC
(26,22),0.592189 # DEPENDENCYPART_ARC
(26,23),1.40451 # DEPENDENCYPART_ARC
(26,24),0.216821 # DEPENDENCYPART_ARC
(26,25),1.7648 # DEPENDENCYPART_ARC
(26,27),-0.481716 # DEPENDENCYPART_ARC
(27,1),-2.91333 # DEPENDENCYPART_ARC
(27,2),-2.88675 # DEPENDENCYPART_ARC
(27,3),-2.87373 # DEPENDENCYPART_ARC
(27,4),-2.87906 # DEPENDENCYPART_ARC
(27,5),-2.60439 # DEPENDENCYPART_ARC
(27,6),-1.83893 # DEPENDENCYPART_ARC
(27,7),-2.4504 # DEPENDENCYPART_ARC
(27,8),-1.06052 # DEPENDENCYPART_ARC
(27,9),-1.6281 # DEPENDENCYPART_ARC
(27,10),-1.55213 # DEPENDENCYPART_ARC
(27,11),-1.28761 # DEPENDENCYPART_ARC
(27,12),-2.03849 # DEPENDENCYPART_ARC
(27,13),-2.12706 # DEPENDENCYPART_ARC
(27,14),-1.74181 # DEPENDENCYPART_ARC
(27,15),-0.59601 # DEPENDENCYPART_ARC
(27,16),-1.49333 # DEPENDENCYPART_ARC
(27,17),-0.790287 # DEPENDENCYPART_ARC
(27,18),-1.1489 # DEPENDENCYPART_ARC
(27,19),-1.1354 # DEPENDENCYPART_ARC
(27,20),-1.20167 # DEPENDENCYPART_ARC
(27,21),0.00366628 # DEPENDENCYPART_ARC
(27,22),-1.38741 # DEPENDENCYPART_ARC
(27,23),-1.02111 # DEPENDENCYPART_ARC
(27,24),-0.837413 # DEPENDENCYPART_ARC
(27,25),-1.32512 # DEPENDENCYPART_ARC
(27,26),-1.36807 # DEPENDENCYPART_ARC
