# _root_ `` It further reinforces the concept that Blue Arrow is a thing of the past , '' said Doug Arthur , an analyst at Kidder Peabody & Co. in New York .
#goldHeads=4,4,4,18,6,4,6,9,10,7,12,10,12,15,13,4,4,0,20,18,20,23,20,23,26,24,26,27,26,31,29,18,
#predictedHeads=18,4,4,18,6,4,6,9,10,7,12,10,12,15,13,18,18,0,20,18,20,23,20,23,26,24,26,27,26,31,29,18,
(16,9),-1.99913 # DEPENDENCYPART_ARC
(16,10),-1.55463 # DEPENDENCYPART_ARC
(16,11),-1.14951 # DEPENDENCYPART_ARC
(16,12),-1.45825 # DEPENDENCYPART_ARC
(16,13),-0.979906 # DEPENDENCYPART_ARC
(16,14),-0.609616 # DEPENDENCYPART_ARC
(16,15),-1.06883 # DEPENDENCYPART_ARC
(16,17),0.461647 # DEPENDENCYPART_ARC
(16,18),-0.0231732 # DEPENDENCYPART_ARC
(16,19),-0.584986 # DEPENDENCYPART_ARC
(16,20),-0.881026 # DEPENDENCYPART_ARC
(16,21),0.433925 # DEPENDENCYPART_ARC
(16,22),-1.37871 # DEPENDENCYPART_ARC
(16,23),-1.88897 # DEPENDENCYPART_ARC
(16,24),-1.20293 # DEPENDENCYPART_ARC
(16,25),-1.8046 # DEPENDENCYPART_ARC
(16,26),-1.92531 # DEPENDENCYPART_ARC
(16,27),-1.50641 # DEPENDENCYPART_ARC
(16,28),-2.2021 # DEPENDENCYPART_ARC
(16,29),-1.77716 # DEPENDENCYPART_ARC
(16,30),-2.39828 # DEPENDENCYPART_ARC
(16,31),-2.49886 # DEPENDENCYPART_ARC
(16,32),-1.65613 # DEPENDENCYPART_ARC
(17,1),-0.0020772 # DEPENDENCYPART_ARC
(17,2),-2.44223 # DEPENDENCYPART_ARC
(17,3),-2.23166 # DEPENDENCYPART_ARC
(17,4),-1.32216 # DEPENDENCYPART_ARC
(17,5),-1.39466 # DEPENDENCYPART_ARC
(17,6),-2.37041 # DEPENDENCYPART_ARC
(17,7),-1.65547 # DEPENDENCYPART_ARC
(17,8),-1.77689 # DEPENDENCYPART_ARC
(17,9),-1.67551 # DEPENDENCYPART_ARC
(17,10),-0.478164 # DEPENDENCYPART_ARC
(17,11),-0.598055 # DEPENDENCYPART_ARC
(17,12),-1.46152 # DEPENDENCYPART_ARC
(17,13),-0.835772 # DEPENDENCYPART_ARC
(17,14),0.466655 # DEPENDENCYPART_ARC
(17,15),-1.03081 # DEPENDENCYPART_ARC
(17,16),0.657708 # DEPENDENCYPART_ARC
(17,18),0.108293 # DEPENDENCYPART_ARC
(17,19),-0.931661 # DEPENDENCYPART_ARC
(17,20),-1.29694 # DEPENDENCYPART_ARC
(17,21),-1.06658 # DEPENDENCYPART_ARC
(17,22),-2.07909 # DEPENDENCYPART_ARC
(17,23),-1.88833 # DEPENDENCYPART_ARC
(17,24),-1.65954 # DEPENDENCYPART_ARC
(17,25),-2.41394 # DEPENDENCYPART_ARC
(17,26),-2.50798 # DEPENDENCYPART_ARC
(17,27),-1.88049 # DEPENDENCYPART_ARC
(17,28),-2.73799 # DEPENDENCYPART_ARC
(17,29),-2.08282 # DEPENDENCYPART_ARC
(17,30),-2.98146 # DEPENDENCYPART_ARC
(17,31),-3.12142 # DEPENDENCYPART_ARC
(17,32),-1.85211 # DEPENDENCYPART_ARC
(18,1),4.88643 # DEPENDENCYPART_ARC
(18,2),-1.02431 # DEPENDENCYPART_ARC
(18,3),-0.53778 # DEPENDENCYPART_ARC
(18,4),1.07142 # DEPENDENCYPART_ARC
(18,5),-2.08839 # DEPENDENCYPART_ARC
(18,6),-0.721592 # DEPENDENCYPART_ARC
(18,7),-1.43437 # DEPENDENCYPART_ARC
(18,8),0.0433783 # DEPENDENCYPART_ARC
(18,9),0.27333 # DEPENDENCYPART_ARC
(18,10),0.898649 # DEPENDENCYPART_ARC
(18,11),-0.440655 # DEPENDENCYPART_ARC
(18,12),-0.129535 # DEPENDENCYPART_ARC
(18,13),-1.45533 # DEPENDENCYPART_ARC
(18,14),-0.113823 # DEPENDENCYPART_ARC
(18,15),0.0388617 # DEPENDENCYPART_ARC
(18,16),3.47693 # DEPENDENCYPART_ARC
(18,17),3.84163 # DEPENDENCYPART_ARC
(18,19),1.26539 # DEPENDENCYPART_ARC
(18,20),2.64133 # DEPENDENCYPART_ARC
(18,21),1.32732 # DEPENDENCYPART_ARC
(18,22),-0.651139 # DEPENDENCYPART_ARC
(18,23),-0.162736 # DEPENDENCYPART_ARC
(18,24),0.0721946 # DEPENDENCYPART_ARC
(18,25),-1.25649 # DEPENDENCYPART_ARC
(18,26),-0.400697 # DEPENDENCYPART_ARC
(18,27),-0.224935 # DEPENDENCYPART_ARC
(18,28),-0.979442 # DEPENDENCYPART_ARC
(18,29),0.237637 # DEPENDENCYPART_ARC
(18,30),-1.90859 # DEPENDENCYPART_ARC
(18,31),-0.723953 # DEPENDENCYPART_ARC
(18,32),8.26746 # DEPENDENCYPART_ARC
(19,1),-3.08712 # DEPENDENCYPART_ARC
(19,2),-3.87399 # DEPENDENCYPART_ARC
(19,3),-4.00698 # DEPENDENCYPART_ARC
(19,4),-3.97556 # DEPENDENCYPART_ARC
(19,5),-4.52838 # DEPENDENCYPART_ARC
(19,6),-5.34923 # DEPENDENCYPART_ARC
(19,7),-4.522 # DEPENDENCYPART_ARC
(19,8),-4.62721 # DEPENDENCYPART_ARC
(19,9),-5.10048 # DEPENDENCYPART_ARC
(19,10),-2.88342 # DEPENDENCYPART_ARC
(19,11),-2.71529 # DEPENDENCYPART_ARC
(19,12),-3.89265 # DEPENDENCYPART_ARC
(19,13),-2.07577 # DEPENDENCYPART_ARC
(19,14),-0.239632 # DEPENDENCYPART_ARC
(19,15),-2.20035 # DEPENDENCYPART_ARC
(19,16),-1.4211 # DEPENDENCYPART_ARC
(19,17),-0.657364 # DEPENDENCYPART_ARC
(19,18),-0.320512 # DEPENDENCYPART_ARC
(19,20),1.82402 # DEPENDENCYPART_ARC
(19,21),1.27017 # DEPENDENCYPART_ARC
(19,22),-0.332593 # DEPENDENCYPART_ARC
(19,23),1.00066 # DEPENDENCYPART_ARC
(19,24),-0.685218 # DEPENDENCYPART_ARC
(19,25),-1.03556 # DEPENDENCYPART_ARC
(19,26),-0.742534 # DEPENDENCYPART_ARC
(19,27),1.03775 # DEPENDENCYPART_ARC
(19,28),-1.37285 # DEPENDENCYPART_ARC
(19,29),-0.482391 # DEPENDENCYPART_ARC
(19,30),-2.05679 # DEPENDENCYPART_ARC
(19,31),-0.55514 # DEPENDENCYPART_ARC
(19,32),0.577793 # DEPENDENCYPART_ARC
(20,1),-1.65667 # DEPENDENCYPART_ARC
(20,2),-2.52789 # DEPENDENCYPART_ARC
(20,3),-2.68196 # DEPENDENCYPART_ARC
(20,4),-2.95135 # DEPENDENCYPART_ARC
(20,5),-2.85142 # DEPENDENCYPART_ARC
(20,6),-4.41506 # DEPENDENCYPART_ARC
(20,7),-3.36542 # DEPENDENCYPART_ARC
(20,8),-2.28006 # DEPENDENCYPART_ARC
(20,9),-4.13772 # DEPENDENCYPART_ARC
(20,10),-1.90566 # DEPENDENCYPART_ARC
(20,11),-1.09443 # DEPENDENCYPART_ARC
(20,12),-2.98379 # DEPENDENCYPART_ARC
(20,13),-0.859623 # DEPENDENCYPART_ARC
(20,14),0.81344 # DEPENDENCYPART_ARC
(20,15),-1.68632 # DEPENDENCYPART_ARC
(20,16),-0.522596 # DEPENDENCYPART_ARC
(20,17),0.110367 # DEPENDENCYPART_ARC
(20,18),0.269297 # DEPENDENCYPART_ARC
(20,19),4.8539 # DEPENDENCYPART_ARC
(20,21),3.50189 # DEPENDENCYPART_ARC
(20,22),0.77943 # DEPENDENCYPART_ARC
(20,23),2.79211 # DEPENDENCYPART_ARC
(20,24),0.450852 # DEPENDENCYPART_ARC
(20,25),0.156228 # DEPENDENCYPART_ARC
(20,26),1.04417 # DEPENDENCYPART_ARC
(20,27),1.89859 # DEPENDENCYPART_ARC
(20,28),-0.311528 # DEPENDENCYPART_ARC
(20,29),0.574382 # DEPENDENCYPART_ARC
(20,30),-1.26057 # DEPENDENCYPART_ARC
(20,31),0.569632 # DEPENDENCYPART_ARC
(20,32),1.14821 # DEPENDENCYPART_ARC
(21,1),-2.94434 # DEPENDENCYPART_ARC
(21,2),-3.31944 # DEPENDENCYPART_ARC
(21,3),-3.12397 # DEPENDENCYPART_ARC
(21,4),-2.88961 # DEPENDENCYPART_ARC
(21,5),-2.59264 # DEPENDENCYPART_ARC
(21,6),-2.53721 # DEPENDENCYPART_ARC
(21,7),-2.52383 # DEPENDENCYPART_ARC
(21,8),-2.86857 # DEPENDENCYPART_ARC
(21,9),-2.83548 # DEPENDENCYPART_ARC
(21,10),-2.28068 # DEPENDENCYPART_ARC
(21,11),-1.75909 # DEPENDENCYPART_ARC
(21,12),-1.96459 # DEPENDENCYPART_ARC
(21,13),-1.8482 # DEPENDENCYPART_ARC
(21,14),-1.44722 # DEPENDENCYPART_ARC
(21,15),-1.7541 # DEPENDENCYPART_ARC
(21,16),-0.636359 # DEPENDENCYPART_ARC
(21,17),-1.53161 # DEPENDENCYPART_ARC
(21,18),-1.2705 # DEPENDENCYPART_ARC
(21,19),-1.6443 # DEPENDENCYPART_ARC
(21,20),-1.091 # DEPENDENCYPART_ARC
(21,22),-0.317029 # DEPENDENCYPART_ARC
(21,23),-1.10974 # DEPENDENCYPART_ARC
(21,24),-0.839028 # DEPENDENCYPART_ARC
(21,25),-1.14188 # DEPENDENCYPART_ARC
(21,26),-1.33651 # DEPENDENCYPART_ARC
(21,27),-1.20059 # DEPENDENCYPART_ARC
(21,28),-1.8725 # DEPENDENCYPART_ARC
(21,29),-1.61454 # DEPENDENCYPART_ARC
(21,30),-2.09468 # DEPENDENCYPART_ARC
(21,31),-2.22552 # DEPENDENCYPART_ARC
(21,32),-1.41568 # DEPENDENCYPART_ARC
(22,1),-3.73604 # DEPENDENCYPART_ARC
(22,2),-3.29996 # DEPENDENCYPART_ARC
(22,3),-3.08577 # DEPENDENCYPART_ARC
(22,4),-3.36385 # DEPENDENCYPART_ARC
(22,5),-2.82155 # DEPENDENCYPART_ARC
(22,6),-3.6884 # DEPENDENCYPART_ARC
(22,7),-2.96533 # DEPENDENCYPART_ARC
(22,8),-3.10955 # DEPENDENCYPART_ARC
(22,9),-2.96416 # DEPENDENCYPART_ARC
(22,10),-2.79418 # DEPENDENCYPART_ARC
(22,11),-2.24501 # DEPENDENCYPART_ARC
(22,12),-2.88384 # DEPENDENCYPART_ARC
(22,13),-2.09781 # DEPENDENCYPART_ARC
(22,14),-1.57738 # DEPENDENCYPART_ARC
(22,15),-2.55591 # DEPENDENCYPART_ARC
(22,16),-1.94333 # DEPENDENCYPART_ARC
(22,17),-1.95261 # DEPENDENCYPART_ARC
(22,18),-1.73368 # DEPENDENCYPART_ARC
(22,19),-1.31725 # DEPENDENCYPART_ARC
(22,20),-1.19619 # DEPENDENCYPART_ARC
(22,21),-0.292916 # DEPENDENCYPART_ARC
(22,23),0.447102 # DEPENDENCYPART_ARC
(22,24),-0.687002 # DEPENDENCYPART_ARC
(22,25),-0.584239 # DEPENDENCYPART_ARC
(22,26),-0.800462 # DEPENDENCYPART_ARC
(22,27),-0.554475 # DEPENDENCYPART_ARC
(22,28),-1.35803 # DEPENDENCYPART_ARC
(22,29),-1.33601 # DEPENDENCYPART_ARC
(22,30),-1.55938 # DEPENDENCYPART_ARC
(22,31),-1.57505 # DEPENDENCYPART_ARC
(22,32),-1.43188 # DEPENDENCYPART_ARC
(23,1),-2.56839 # DEPENDENCYPART_ARC
(23,2),-2.91482 # DEPENDENCYPART_ARC
(23,3),-3.56709 # DEPENDENCYPART_ARC
(23,4),-3.1248 # DEPENDENCYPART_ARC
(23,5),-5.79561 # DEPENDENCYPART_ARC
(23,6),-6.76516 # DEPENDENCYPART_ARC
(23,7),-3.39408 # DEPENDENCYPART_ARC
(23,8),-6.105 # DEPENDENCYPART_ARC
(23,9),-6.91242 # DEPENDENCYPART_ARC
(23,10),-2.55271 # DEPENDENCYPART_ARC
(23,11),-1.68553 # DEPENDENCYPART_ARC
(23,12),-4.39019 # DEPENDENCYPART_ARC
(23,13),-1.07334 # DEPENDENCYPART_ARC
(23,14),0.61544 # DEPENDENCYPART_ARC
(23,15),-2.67096 # DEPENDENCYPART_ARC
(23,16),-0.829461 # DEPENDENCYPART_ARC
(23,17),-0.635787 # DEPENDENCYPART_ARC
(23,18),-0.837004 # DEPENDENCYPART_ARC
(23,19),0.218433 # DEPENDENCYPART_ARC
(23,20),-0.697461 # DEPENDENCYPART_ARC
(23,21),0.352704 # DEPENDENCYPART_ARC
(23,22),3.94283 # DEPENDENCYPART_ARC
(23,24),2.96366 # DEPENDENCYPART_ARC
(23,25),0.76298 # DEPENDENCYPART_ARC
(23,26),0.90018 # DEPENDENCYPART_ARC
(23,27),1.22403 # DEPENDENCYPART_ARC
(23,28),0.297677 # DEPENDENCYPART_ARC
(23,29),0.459801 # DEPENDENCYPART_ARC
(23,30),-0.306183 # DEPENDENCYPART_ARC
(23,31),-0.350662 # DEPENDENCYPART_ARC
(23,32),0.730922 # DEPENDENCYPART_ARC
(24,1),-1.20261 # DEPENDENCYPART_ARC
(24,2),-2.78562 # DEPENDENCYPART_ARC
(24,3),-2.49644 # DEPENDENCYPART_ARC
(24,4),-2.33801 # DEPENDENCYPART_ARC
(24,5),-2.45065 # DEPENDENCYPART_ARC
(24,6),-2.69051 # DEPENDENCYPART_ARC
(24,7),-1.11085 # DEPENDENCYPART_ARC
(24,8),-2.18583 # DEPENDENCYPART_ARC
(24,9),-2.34593 # DEPENDENCYPART_ARC
(24,10),-1.4757 # DEPENDENCYPART_ARC
(24,11),-1.75639 # DEPENDENCYPART_ARC
(24,12),-2.10277 # DEPENDENCYPART_ARC
(24,13),-1.77495 # DEPENDENCYPART_ARC
(24,14),-0.981135 # DEPENDENCYPART_ARC
(24,15),-1.8702 # DEPENDENCYPART_ARC
(24,16),-0.683869 # DEPENDENCYPART_ARC
(24,17),-1.12566 # DEPENDENCYPART_ARC
(24,18),-0.83184 # DEPENDENCYPART_ARC
(24,19),-0.814807 # DEPENDENCYPART_ARC
(24,20),-0.832929 # DEPENDENCYPART_ARC
(24,21),0.292585 # DEPENDENCYPART_ARC
(24,22),0.399206 # DEPENDENCYPART_ARC
(24,23),0.908756 # DEPENDENCYPART_ARC
(24,25),2.52043 # DEPENDENCYPART_ARC
(24,26),2.8221 # DEPENDENCYPART_ARC
(24,27),0.614445 # DEPENDENCYPART_ARC
(24,28),0.0669537 # DEPENDENCYPART_ARC
(24,29),-0.76909 # DEPENDENCYPART_ARC
(24,30),-0.429025 # DEPENDENCYPART_ARC
(24,31),0.240837 # DEPENDENCYPART_ARC
(24,32),0.0592148 # DEPENDENCYPART_ARC
(25,1),-4.67174 # DEPENDENCYPART_ARC
(25,2),-5.51424 # DEPENDENCYPART_ARC
(25,3),-5.63916 # DEPENDENCYPART_ARC
(25,4),-5.81505 # DEPENDENCYPART_ARC
(25,5),-7.3022 # DEPENDENCYPART_ARC
(25,6),-7.9524 # DEPENDENCYPART_ARC
(25,7),-6.56287 # DEPENDENCYPART_ARC
(25,8),-7.82466 # DEPENDENCYPART_ARC
(25,9),-8.96436 # DEPENDENCYPART_ARC
(25,10),-5.16556 # DEPENDENCYPART_ARC
(25,11),-5.75324 # DEPENDENCYPART_ARC
(25,12),-6.99048 # DEPENDENCYPART_ARC
(25,13),-4.11376 # DEPENDENCYPART_ARC
(25,14),-4.45945 # DEPENDENCYPART_ARC
(25,15),-5.65435 # DEPENDENCYPART_ARC
(25,16),-4.5984 # DEPENDENCYPART_ARC
(25,17),-3.90851 # DEPENDENCYPART_ARC
(25,18),-3.80581 # DEPENDENCYPART_ARC
(25,19),-2.9649 # DEPENDENCYPART_ARC
(25,20),-3.06116 # DEPENDENCYPART_ARC
(25,21),-2.44798 # DEPENDENCYPART_ARC
(25,22),-1.48283 # DEPENDENCYPART_ARC
(25,23),-2.15841 # DEPENDENCYPART_ARC
(25,24),-1.21171 # DEPENDENCYPART_ARC
(25,26),1.9953 # DEPENDENCYPART_ARC
(25,27),2.47838 # DEPENDENCYPART_ARC
(25,28),0.0551228 # DEPENDENCYPART_ARC
(25,29),0.602791 # DEPENDENCYPART_ARC
(25,30),-1.36589 # DEPENDENCYPART_ARC
(25,31),-0.413825 # DEPENDENCYPART_ARC
(25,32),-0.342586 # DEPENDENCYPART_ARC
(26,1),-2.48958 # DEPENDENCYPART_ARC
(26,2),-3.13966 # DEPENDENCYPART_ARC
(26,3),-3.39441 # DEPENDENCYPART_ARC
(26,4),-3.60287 # DEPENDENCYPART_ARC
(26,5),-4.64215 # DEPENDENCYPART_ARC
(26,6),-5.79036 # DEPENDENCYPART_ARC
(26,7),-4.70366 # DEPENDENCYPART_ARC
(26,8),-4.88447 # DEPENDENCYPART_ARC
(26,9),-6.67612 # DEPENDENCYPART_ARC
(26,10),-3.08413 # DEPENDENCYPART_ARC
(26,11),-3.05427 # DEPENDENCYPART_ARC
(26,12),-4.88242 # DEPENDENCYPART_ARC
(26,13),-1.94556 # DEPENDENCYPART_ARC
(26,14),-1.50535 # DEPENDENCYPART_ARC
(26,15),-4.08689 # DEPENDENCYPART_ARC
(26,16),-2.60164 # DEPENDENCYPART_ARC
(26,17),-1.54474 # DEPENDENCYPART_ARC
(26,18),-1.62568 # DEPENDENCYPART_ARC
(26,19),-0.27121 # DEPENDENCYPART_ARC
(26,20),-1.92571 # DEPENDENCYPART_ARC
(26,21),-0.3839 # DEPENDENCYPART_ARC
(26,22),1.07172 # DEPENDENCYPART_ARC
(26,23),-0.0994104 # DEPENDENCYPART_ARC
(26,24),0.182559 # DEPENDENCYPART_ARC
(26,25),5.04045 # DEPENDENCYPART_ARC
(26,27),4.20073 # DEPENDENCYPART_ARC
(26,28),2.41963 # DEPENDENCYPART_ARC
(26,29),2.23474 # DEPENDENCYPART_ARC
(26,30),0.193177 # DEPENDENCYPART_ARC
(26,31),1.51305 # DEPENDENCYPART_ARC
(26,32),1.17774 # DEPENDENCYPART_ARC
(27,1),-2.40028 # DEPENDENCYPART_ARC
(27,2),-2.4368 # DEPENDENCYPART_ARC
(27,3),-2.41389 # DEPENDENCYPART_ARC
(27,4),-1.94548 # DEPENDENCYPART_ARC
(27,5),-1.86459 # DEPENDENCYPART_ARC
(27,6),-2.62836 # DEPENDENCYPART_ARC
(27,7),-1.77767 # DEPENDENCYPART_ARC
(27,8),-1.74591 # DEPENDENCYPART_ARC
(27,9),-1.73941 # DEPENDENCYPART_ARC
(27,10),-1.28114 # DEPENDENCYPART_ARC
(27,11),-1.30243 # DEPENDENCYPART_ARC
(27,12),-1.75929 # DEPENDENCYPART_ARC
(27,13),-1.04058 # DEPENDENCYPART_ARC
(27,14),-0.969755 # DEPENDENCYPART_ARC
(27,15),-1.32581 # DEPENDENCYPART_ARC
(27,16),-1.07304 # DEPENDENCYPART_ARC
(27,17),-1.14246 # DEPENDENCYPART_ARC
(27,18),-0.10725 # DEPENDENCYPART_ARC
(27,19),-0.120905 # DEPENDENCYPART_ARC
(27,20),-0.113998 # DEPENDENCYPART_ARC
(27,21),-0.47943 # DEPENDENCYPART_ARC
(27,22),0.165549 # DEPENDENCYPART_ARC
(27,23),-0.0884828 # DEPENDENCYPART_ARC
(27,24),0.335216 # DEPENDENCYPART_ARC
(27,25),0.600045 # DEPENDENCYPART_ARC
(27,26),1.13181 # DEPENDENCYPART_ARC
(27,28),4.35201 # DEPENDENCYPART_ARC
(27,29),0.923097 # DEPENDENCYPART_ARC
(27,30),1.53288 # DEPENDENCYPART_ARC
(27,31),1.55047 # DEPENDENCYPART_ARC
(27,32),0.680783 # DEPENDENCYPART_ARC
(28,1),-4.55056 # DEPENDENCYPART_ARC
(28,2),-5.53828 # DEPENDENCYPART_ARC
(28,3),-5.73371 # DEPENDENCYPART_ARC
(28,4),-6.22934 # DEPENDENCYPART_ARC
(28,5),-7.28987 # DEPENDENCYPART_ARC
(28,6),-8.365 # DEPENDENCYPART_ARC
(28,7),-7.22263 # DEPENDENCYPART_ARC
(28,8),-8.35215 # DEPENDENCYPART_ARC
(28,9),-9.705 # DEPENDENCYPART_ARC
(28,10),-5.58222 # DEPENDENCYPART_ARC
(28,11),-5.58144 # DEPENDENCYPART_ARC
(28,12),-7.29472 # DEPENDENCYPART_ARC
(28,13),-4.40829 # DEPENDENCYPART_ARC
(28,14),-4.32859 # DEPENDENCYPART_ARC
(28,15),-6.33012 # DEPENDENCYPART_ARC
(28,16),-4.99592 # DEPENDENCYPART_ARC
(28,17),-4.29448 # DEPENDENCYPART_ARC
(28,18),-4.11343 # DEPENDENCYPART_ARC
(28,19),-3.92403 # DEPENDENCYPART_ARC
(28,20),-5.04258 # DEPENDENCYPART_ARC
(28,21),-3.43657 # DEPENDENCYPART_ARC
(28,22),-2.22337 # DEPENDENCYPART_ARC
(28,23),-2.71616 # DEPENDENCYPART_ARC
(28,24),-2.87162 # DEPENDENCYPART_ARC
(28,25),-1.16358 # DEPENDENCYPART_ARC
(28,26),-1.83242 # DEPENDENCYPART_ARC
(28,27),-0.851448 # DEPENDENCYPART_ARC
(28,29),-0.0401915 # DEPENDENCYPART_ARC
(28,30),0.233878 # DEPENDENCYPART_ARC
(28,31),0.342736 # DEPENDENCYPART_ARC
(28,32),-0.118498 # DEPENDENCYPART_ARC
(29,1),-1.19608 # DEPENDENCYPART_ARC
(29,2),-3.30655 # DEPENDENCYPART_ARC
(29,3),-3.00508 # DEPENDENCYPART_ARC
(29,4),-2.80147 # DEPENDENCYPART_ARC
(29,5),-2.46172 # DEPENDENCYPART_ARC
(29,6),-2.87849 # DEPENDENCYPART_ARC
(29,7),-1.99011 # DEPENDENCYPART_ARC
(29,8),-2.7137 # DEPENDENCYPART_ARC
(29,9),-2.85322 # DEPENDENCYPART_ARC
(29,10),-2.04405 # DEPENDENCYPART_ARC
(29,11),-1.79331 # DEPENDENCYPART_ARC
(29,12),-2.23278 # DEPENDENCYPART_ARC
(29,13),-3.08147 # DEPENDENCYPART_ARC
(29,14),-1.52621 # DEPENDENCYPART_ARC
(29,15),-2.15438 # DEPENDENCYPART_ARC
(29,16),-1.11004 # DEPENDENCYPART_ARC
(29,17),-1.73821 # DEPENDENCYPART_ARC
(29,18),-1.47171 # DEPENDENCYPART_ARC
(29,19),-1.14377 # DEPENDENCYPART_ARC
(29,20),-1.37278 # DEPENDENCYPART_ARC
(29,21),-0.541736 # DEPENDENCYPART_ARC
(29,22),-0.292498 # DEPENDENCYPART_ARC
(29,23),-0.282618 # DEPENDENCYPART_ARC
(29,24),-0.277114 # DEPENDENCYPART_ARC
(29,25),-0.266038 # DEPENDENCYPART_ARC
(29,26),-0.243857 # DEPENDENCYPART_ARC
(29,27),0.0126833 # DEPENDENCYPART_ARC
(29,28),0.417969 # DEPENDENCYPART_ARC
(29,30),2.5967 # DEPENDENCYPART_ARC
(29,31),3.27656 # DEPENDENCYPART_ARC
(29,32),0.0744061 # DEPENDENCYPART_ARC
(30,1),-4.96535 # DEPENDENCYPART_ARC
(30,2),-5.99706 # DEPENDENCYPART_ARC
(30,3),-6.22459 # DEPENDENCYPART_ARC
(30,4),-6.72332 # DEPENDENCYPART_ARC
(30,5),-8.64125 # DEPENDENCYPART_ARC
(30,6),-9.35536 # DEPENDENCYPART_ARC
(30,7),-8.27952 # DEPENDENCYPART_ARC
(30,8),-10.2882 # DEPENDENCYPART_ARC
(30,9),-11.5255 # DEPENDENCYPART_ARC
(30,10),-6.22258 # DEPENDENCYPART_ARC
(30,11),-6.6869 # DEPENDENCYPART_ARC
(30,12),-8.25038 # DEPENDENCYPART_ARC
(30,13),-5.12076 # DEPENDENCYPART_ARC
(30,14),-5.813 # DEPENDENCYPART_ARC
(30,15),-7.29061 # DEPENDENCYPART_ARC
(30,16),-6.24338 # DEPENDENCYPART_ARC
(30,17),-4.8745 # DEPENDENCYPART_ARC
(30,18),-4.89919 # DEPENDENCYPART_ARC
(30,19),-5.88309 # DEPENDENCYPART_ARC
(30,20),-5.95195 # DEPENDENCYPART_ARC
(30,21),-4.51465 # DEPENDENCYPART_ARC
(30,22),-3.49602 # DEPENDENCYPART_ARC
(30,23),-4.51923 # DEPENDENCYPART_ARC
(30,24),-4.35959 # DEPENDENCYPART_ARC
(30,25),-2.18868 # DEPENDENCYPART_ARC
(30,26),-2.6265 # DEPENDENCYPART_ARC
(30,27),-2.71446 # DEPENDENCYPART_ARC
(30,28),-0.620172 # DEPENDENCYPART_ARC
(30,29),-1.33565 # DEPENDENCYPART_ARC
(30,31),1.60587 # DEPENDENCYPART_ARC
(30,32),-1.48411 # DEPENDENCYPART_ARC
(31,1),-2.97487 # DEPENDENCYPART_ARC
(31,2),-3.79579 # DEPENDENCYPART_ARC
(31,3),-4.10992 # DEPENDENCYPART_ARC
(31,4),-4.65936 # DEPENDENCYPART_ARC
(31,5),-6.65694 # DEPENDENCYPART_ARC
(31,6),-7.29983 # DEPENDENCYPART_ARC
(31,7),-6.28702 # DEPENDENCYPART_ARC
(31,8),-8.90891 # DEPENDENCYPART_ARC
(31,9),-10.1442 # DEPENDENCYPART_ARC
(31,10),-4.23682 # DEPENDENCYPART_ARC
(31,11),-3.67065 # DEPENDENCYPART_ARC
(31,12),-6.35984 # DEPENDENCYPART_ARC
(31,13),-2.96785 # DEPENDENCYPART_ARC
(31,14),-3.63725 # DEPENDENCYPART_ARC
(31,15),-5.49571 # DEPENDENCYPART_ARC
(31,16),-4.73884 # DEPENDENCYPART_ARC
(31,17),-2.84291 # DEPENDENCYPART_ARC
(31,18),-2.85796 # DEPENDENCYPART_ARC
(31,19),-3.79906 # DEPENDENCYPART_ARC
(31,20),-4.75029 # DEPENDENCYPART_ARC
(31,21),-2.45896 # DEPENDENCYPART_ARC
(31,22),-0.796404 # DEPENDENCYPART_ARC
(31,23),-2.49889 # DEPENDENCYPART_ARC
(31,24),-2.31795 # DEPENDENCYPART_ARC
(31,25),-0.512856 # DEPENDENCYPART_ARC
(31,26),-0.523727 # DEPENDENCYPART_ARC
(31,27),-0.851007 # DEPENDENCYPART_ARC
(31,28),2.05001 # DEPENDENCYPART_ARC
(31,29),0.731221 # DEPENDENCYPART_ARC
(31,30),4.61844 # DEPENDENCYPART_ARC
(31,32),0.21649 # DEPENDENCYPART_ARC
(32,1),-3.6248 # DEPENDENCYPART_ARC
(32,2),-1.53206 # DEPENDENCYPART_ARC
(32,3),-3.72732 # DEPENDENCYPART_ARC
(32,4),-2.79262 # DEPENDENCYPART_ARC
(32,5),-3.17614 # DEPENDENCYPART_ARC
(32,6),-2.9556 # DEPENDENCYPART_ARC
(32,7),-3.32654 # DEPENDENCYPART_ARC
(32,8),-3.00535 # DEPENDENCYPART_ARC
(32,9),-3.08542 # DEPENDENCYPART_ARC
(32,10),-2.60972 # DEPENDENCYPART_ARC
(32,11),-3.04111 # DEPENDENCYPART_ARC
(32,12),-2.60305 # DEPENDENCYPART_ARC
(32,13),-2.62793 # DEPENDENCYPART_ARC
(32,14),-2.27846 # DEPENDENCYPART_ARC
(32,15),-2.39088 # DEPENDENCYPART_ARC
(32,16),-1.99136 # DEPENDENCYPART_ARC
(32,17),-2.14733 # DEPENDENCYPART_ARC
(32,18),-2.17151 # DEPENDENCYPART_ARC
(32,19),-1.79072 # DEPENDENCYPART_ARC
(32,20),-2.05616 # DEPENDENCYPART_ARC
(32,21),-1.15668 # DEPENDENCYPART_ARC
(32,22),-1.31796 # DEPENDENCYPART_ARC
(32,23),-1.74561 # DEPENDENCYPART_ARC
(32,24),-1.26962 # DEPENDENCYPART_ARC
(32,25),-1.29956 # DEPENDENCYPART_ARC
