# _root_ But with so many shares now held in the U.S. , Blue Arrow reports its earnings two ways , based on both U.K. and U.S. accounting standards .
#goldHeads=14,14,4,5,2,7,5,7,10,8,14,13,14,0,16,14,18,14,14,14,20,23,21,23,27,27,24,14,
#predictedHeads=14,14,4,5,2,7,5,7,10,8,14,13,14,0,16,14,18,14,18,18,20,23,21,23,27,27,24,14,
(18,23),1.02888 # DEPENDENCYPART_ARC
(18,24),0.979889 # DEPENDENCYPART_ARC
(18,25),0.719735 # DEPENDENCYPART_ARC
(18,26),0.740179 # DEPENDENCYPART_ARC
(18,27),0.611041 # DEPENDENCYPART_ARC
(18,28),0.6736 # DEPENDENCYPART_ARC
(19,1),-2.98912 # DEPENDENCYPART_ARC
(19,2),-2.6176 # DEPENDENCYPART_ARC
(19,3),-3.18391 # DEPENDENCYPART_ARC
(19,4),-2.63888 # DEPENDENCYPART_ARC
(19,5),-2.86582 # DEPENDENCYPART_ARC
(19,6),-2.83059 # DEPENDENCYPART_ARC
(19,7),-1.46115 # DEPENDENCYPART_ARC
(19,8),-2.04865 # DEPENDENCYPART_ARC
(19,9),-1.59111 # DEPENDENCYPART_ARC
(19,10),-2.25315 # DEPENDENCYPART_ARC
(19,11),-0.353953 # DEPENDENCYPART_ARC
(19,12),-1.93274 # DEPENDENCYPART_ARC
(19,13),-1.81033 # DEPENDENCYPART_ARC
(19,14),-1.71628 # DEPENDENCYPART_ARC
(19,15),-0.765449 # DEPENDENCYPART_ARC
(19,16),-1.4603 # DEPENDENCYPART_ARC
(19,17),-1.09628 # DEPENDENCYPART_ARC
(19,18),-0.955535 # DEPENDENCYPART_ARC
(19,20),-0.726543 # DEPENDENCYPART_ARC
(19,21),-1.51212 # DEPENDENCYPART_ARC
(19,22),-1.90328 # DEPENDENCYPART_ARC
(19,23),-1.73962 # DEPENDENCYPART_ARC
(19,24),-2.01659 # DEPENDENCYPART_ARC
(19,25),-2.3286 # DEPENDENCYPART_ARC
(19,26),-2.70303 # DEPENDENCYPART_ARC
(19,27),-2.78326 # DEPENDENCYPART_ARC
(19,28),-2.01159 # DEPENDENCYPART_ARC
(20,1),-0.951572 # DEPENDENCYPART_ARC
(20,2),-2.18643 # DEPENDENCYPART_ARC
(20,3),-0.755194 # DEPENDENCYPART_ARC
(20,4),-0.969755 # DEPENDENCYPART_ARC
(20,5),-1.0963 # DEPENDENCYPART_ARC
(20,6),-0.248485 # DEPENDENCYPART_ARC
(20,7),-1.14458 # DEPENDENCYPART_ARC
(20,8),-1.1153 # DEPENDENCYPART_ARC
(20,9),-0.57597 # DEPENDENCYPART_ARC
(20,10),-0.610943 # DEPENDENCYPART_ARC
(20,11),0.401733 # DEPENDENCYPART_ARC
(20,12),-0.403576 # DEPENDENCYPART_ARC
(20,13),-0.2294 # DEPENDENCYPART_ARC
(20,14),-0.00629795 # DEPENDENCYPART_ARC
(20,15),0.461295 # DEPENDENCYPART_ARC
(20,16),0.152716 # DEPENDENCYPART_ARC
(20,17),0.179735 # DEPENDENCYPART_ARC
(20,18),-0.26526 # DEPENDENCYPART_ARC
(20,19),0.765335 # DEPENDENCYPART_ARC
(20,21),4.13487 # DEPENDENCYPART_ARC
(20,22),0.309134 # DEPENDENCYPART_ARC
(20,23),0.721604 # DEPENDENCYPART_ARC
(20,24),1.41526 # DEPENDENCYPART_ARC
(20,25),0.395535 # DEPENDENCYPART_ARC
(20,26),-0.0142142 # DEPENDENCYPART_ARC
(20,27),-0.0928781 # DEPENDENCYPART_ARC
(20,28),1.27438 # DEPENDENCYPART_ARC
(21,1),-2.86491 # DEPENDENCYPART_ARC
(21,2),-2.4019 # DEPENDENCYPART_ARC
(21,3),-3.00253 # DEPENDENCYPART_ARC
(21,4),-1.59886 # DEPENDENCYPART_ARC
(21,5),-2.35186 # DEPENDENCYPART_ARC
(21,6),-2.58135 # DEPENDENCYPART_ARC
(21,7),-1.91794 # DEPENDENCYPART_ARC
(21,8),-2.12895 # DEPENDENCYPART_ARC
(21,9),-1.79504 # DEPENDENCYPART_ARC
(21,10),-1.53478 # DEPENDENCYPART_ARC
(21,11),-1.51411 # DEPENDENCYPART_ARC
(21,12),-1.05159 # DEPENDENCYPART_ARC
(21,13),-1.20363 # DEPENDENCYPART_ARC
(21,14),-0.866339 # DEPENDENCYPART_ARC
(21,15),-0.323412 # DEPENDENCYPART_ARC
(21,16),-0.823301 # DEPENDENCYPART_ARC
(21,17),-0.433335 # DEPENDENCYPART_ARC
(21,18),-0.380095 # DEPENDENCYPART_ARC
(21,19),-0.390212 # DEPENDENCYPART_ARC
(21,20),0.236286 # DEPENDENCYPART_ARC
(21,22),0.737556 # DEPENDENCYPART_ARC
(21,23),3.05688 # DEPENDENCYPART_ARC
(21,24),1.1784 # DEPENDENCYPART_ARC
(21,25),0.343254 # DEPENDENCYPART_ARC
(21,26),1.80957 # DEPENDENCYPART_ARC
(21,27),1.66741 # DEPENDENCYPART_ARC
(21,28),0.373247 # DEPENDENCYPART_ARC
(22,1),-4.22143 # DEPENDENCYPART_ARC
(22,2),-3.21758 # DEPENDENCYPART_ARC
(22,3),-3.63879 # DEPENDENCYPART_ARC
(22,4),-3.46849 # DEPENDENCYPART_ARC
(22,5),-3.5716 # DEPENDENCYPART_ARC
(22,6),-3.39922 # DEPENDENCYPART_ARC
(22,7),-3.14759 # DEPENDENCYPART_ARC
(22,8),-2.87707 # DEPENDENCYPART_ARC
(22,9),-2.47999 # DEPENDENCYPART_ARC
(22,10),-3.02306 # DEPENDENCYPART_ARC
(22,11),-2.63009 # DEPENDENCYPART_ARC
(22,12),-2.66134 # DEPENDENCYPART_ARC
(22,13),-2.57338 # DEPENDENCYPART_ARC
(22,14),-2.49109 # DEPENDENCYPART_ARC
(22,15),-1.71143 # DEPENDENCYPART_ARC
(22,16),-2.27464 # DEPENDENCYPART_ARC
(22,17),-1.58646 # DEPENDENCYPART_ARC
(22,18),-1.90781 # DEPENDENCYPART_ARC
(22,19),-1.24009 # DEPENDENCYPART_ARC
(22,20),-1.24118 # DEPENDENCYPART_ARC
(22,21),-0.0479948 # DEPENDENCYPART_ARC
(22,23),0.520328 # DEPENDENCYPART_ARC
(22,24),0.50144 # DEPENDENCYPART_ARC
(22,25),-0.131132 # DEPENDENCYPART_ARC
(22,26),0.212262 # DEPENDENCYPART_ARC
(22,27),-0.342553 # DEPENDENCYPART_ARC
(22,28),-0.0157832 # DEPENDENCYPART_ARC
(23,1),-3.3661 # DEPENDENCYPART_ARC
(23,2),-3.31932 # DEPENDENCYPART_ARC
(23,3),-3.00038 # DEPENDENCYPART_ARC
(23,4),-3.86587 # DEPENDENCYPART_ARC
(23,5),-3.38891 # DEPENDENCYPART_ARC
(23,6),-3.38877 # DEPENDENCYPART_ARC
(23,7),-2.10699 # DEPENDENCYPART_ARC
(23,8),-1.9741 # DEPENDENCYPART_ARC
(23,9),-1.65606 # DEPENDENCYPART_ARC
(23,10),-4.01667 # DEPENDENCYPART_ARC
(23,11),-2.26612 # DEPENDENCYPART_ARC
(23,12),-1.88052 # DEPENDENCYPART_ARC
(23,13),-2.07962 # DEPENDENCYPART_ARC
(23,14),-1.14764 # DEPENDENCYPART_ARC
(23,15),0.201664 # DEPENDENCYPART_ARC
(23,16),-0.927414 # DEPENDENCYPART_ARC
(23,17),-0.343638 # DEPENDENCYPART_ARC
(23,18),-0.696459 # DEPENDENCYPART_ARC
(23,19),-0.552325 # DEPENDENCYPART_ARC
(23,20),-0.160081 # DEPENDENCYPART_ARC
(23,21),0.98759 # DEPENDENCYPART_ARC
(23,22),3.89225 # DEPENDENCYPART_ARC
(23,24),4.51858 # DEPENDENCYPART_ARC
(23,25),1.15435 # DEPENDENCYPART_ARC
(23,26),1.60398 # DEPENDENCYPART_ARC
(23,27),1.30732 # DEPENDENCYPART_ARC
(23,28),0.979834 # DEPENDENCYPART_ARC
(24,1),-3.35037 # DEPENDENCYPART_ARC
(24,2),-2.66555 # DEPENDENCYPART_ARC
(24,3),-3.40264 # DEPENDENCYPART_ARC
(24,4),-3.02308 # DEPENDENCYPART_ARC
(24,5),-2.46737 # DEPENDENCYPART_ARC
(24,6),-3.13585 # DEPENDENCYPART_ARC
(24,7),-2.56728 # DEPENDENCYPART_ARC
(24,8),-2.58515 # DEPENDENCYPART_ARC
(24,9),-2.26943 # DEPENDENCYPART_ARC
(24,10),-1.41647 # DEPENDENCYPART_ARC
(24,11),-2.30504 # DEPENDENCYPART_ARC
(24,12),-0.659408 # DEPENDENCYPART_ARC
(24,13),-1.07367 # DEPENDENCYPART_ARC
(24,14),-1.47359 # DEPENDENCYPART_ARC
(24,15),-1.15887 # DEPENDENCYPART_ARC
(24,16),-1.29459 # DEPENDENCYPART_ARC
(24,17),-1.62289 # DEPENDENCYPART_ARC
(24,18),-1.17078 # DEPENDENCYPART_ARC
(24,19),-1.46267 # DEPENDENCYPART_ARC
(24,20),-1.21489 # DEPENDENCYPART_ARC
(24,21),-0.603912 # DEPENDENCYPART_ARC
(24,22),-0.377382 # DEPENDENCYPART_ARC
(24,23),0.534205 # DEPENDENCYPART_ARC
(24,25),2.77771 # DEPENDENCYPART_ARC
(24,26),2.7614 # DEPENDENCYPART_ARC
(24,27),2.29845 # DEPENDENCYPART_ARC
(24,28),0.0643624 # DEPENDENCYPART_ARC
(25,1),-6.84273 # DEPENDENCYPART_ARC
(25,2),-6.3704 # DEPENDENCYPART_ARC
(25,3),-5.97615 # DEPENDENCYPART_ARC
(25,4),-7.39033 # DEPENDENCYPART_ARC
(25,5),-7.31781 # DEPENDENCYPART_ARC
(25,6),-6.48543 # DEPENDENCYPART_ARC
(25,7),-4.62155 # DEPENDENCYPART_ARC
(25,8),-4.76696 # DEPENDENCYPART_ARC
(25,9),-5.53548 # DEPENDENCYPART_ARC
(25,10),-7.79866 # DEPENDENCYPART_ARC
(25,11),-4.34611 # DEPENDENCYPART_ARC
(25,12),-6.78254 # DEPENDENCYPART_ARC
(25,13),-7.37722 # DEPENDENCYPART_ARC
(25,14),-4.7991 # DEPENDENCYPART_ARC
(25,15),-2.9607 # DEPENDENCYPART_ARC
(25,16),-4.36243 # DEPENDENCYPART_ARC
(25,17),-3.66792 # DEPENDENCYPART_ARC
(25,18),-4.61211 # DEPENDENCYPART_ARC
(25,19),-3.80594 # DEPENDENCYPART_ARC
(25,20),-3.18484 # DEPENDENCYPART_ARC
(25,21),-2.69697 # DEPENDENCYPART_ARC
(25,22),-1.22758 # DEPENDENCYPART_ARC
(25,23),-1.54969 # DEPENDENCYPART_ARC
(25,24),-1.5986 # DEPENDENCYPART_ARC
(25,26),0.300135 # DEPENDENCYPART_ARC
(25,27),-1.00047 # DEPENDENCYPART_ARC
(25,28),-0.730323 # DEPENDENCYPART_ARC
(26,1),-4.56314 # DEPENDENCYPART_ARC
(26,2),-5.34851 # DEPENDENCYPART_ARC
(26,3),-7.55902 # DEPENDENCYPART_ARC
(26,4),-6.11719 # DEPENDENCYPART_ARC
(26,5),-5.36455 # DEPENDENCYPART_ARC
(26,6),-7.59674 # DEPENDENCYPART_ARC
(26,7),-4.28172 # DEPENDENCYPART_ARC
(26,8),-3.69043 # DEPENDENCYPART_ARC
(26,9),-4.74962 # DEPENDENCYPART_ARC
(26,10),-6.63704 # DEPENDENCYPART_ARC
(26,11),-3.60345 # DEPENDENCYPART_ARC
(26,12),-4.96897 # DEPENDENCYPART_ARC
(26,13),-6.0013 # DEPENDENCYPART_ARC
(26,14),-3.40075 # DEPENDENCYPART_ARC
(26,15),-2.44677 # DEPENDENCYPART_ARC
(26,16),-2.67854 # DEPENDENCYPART_ARC
(26,17),-2.41363 # DEPENDENCYPART_ARC
(26,18),-3.39605 # DEPENDENCYPART_ARC
(26,19),-2.98949 # DEPENDENCYPART_ARC
(26,20),-2.5031 # DEPENDENCYPART_ARC
(26,21),-1.29514 # DEPENDENCYPART_ARC
(26,22),0.0168209 # DEPENDENCYPART_ARC
(26,23),-0.137286 # DEPENDENCYPART_ARC
(26,24),-0.973035 # DEPENDENCYPART_ARC
(26,25),2.13656 # DEPENDENCYPART_ARC
(26,27),1.27222 # DEPENDENCYPART_ARC
(26,28),-0.403075 # DEPENDENCYPART_ARC
(27,1),-1.94207 # DEPENDENCYPART_ARC
(27,2),-0.812961 # DEPENDENCYPART_ARC
(27,3),-1.65385 # DEPENDENCYPART_ARC
(27,4),-1.54916 # DEPENDENCYPART_ARC
(27,5),-3.46673 # DEPENDENCYPART_ARC
(27,6),-3.15965 # DEPENDENCYPART_ARC
(27,7),-1.89865 # DEPENDENCYPART_ARC
(27,8),-0.485121 # DEPENDENCYPART_ARC
(27,9),-1.22514 # DEPENDENCYPART_ARC
(27,10),-2.57649 # DEPENDENCYPART_ARC
(27,11),-0.230583 # DEPENDENCYPART_ARC
(27,12),-1.31515 # DEPENDENCYPART_ARC
(27,13),-2.18901 # DEPENDENCYPART_ARC
(27,14),-0.875284 # DEPENDENCYPART_ARC
(27,15),0.199616 # DEPENDENCYPART_ARC
(27,16),-0.855588 # DEPENDENCYPART_ARC
(27,17),0.518314 # DEPENDENCYPART_ARC
(27,18),-0.621683 # DEPENDENCYPART_ARC
(27,19),0.287852 # DEPENDENCYPART_ARC
(27,20),0.503974 # DEPENDENCYPART_ARC
(27,21),0.664638 # DEPENDENCYPART_ARC
(27,22),2.69065 # DEPENDENCYPART_ARC
(27,23),1.75659 # DEPENDENCYPART_ARC
(27,24),0.836049 # DEPENDENCYPART_ARC
(27,25),4.78763 # DEPENDENCYPART_ARC
(27,26),4.9409 # DEPENDENCYPART_ARC
(27,28),0.85029 # DEPENDENCYPART_ARC
(28,1),-2.66324 # DEPENDENCYPART_ARC
(28,2),-3.75168 # DEPENDENCYPART_ARC
(28,3),-2.70065 # DEPENDENCYPART_ARC
(28,4),-3.49034 # DEPENDENCYPART_ARC
(28,5),-3.12517 # DEPENDENCYPART_ARC
(28,6),-2.43123 # DEPENDENCYPART_ARC
(28,7),-2.50991 # DEPENDENCYPART_ARC
(28,8),-2.86616 # DEPENDENCYPART_ARC
(28,9),-2.41691 # DEPENDENCYPART_ARC
(28,10),-2.55389 # DEPENDENCYPART_ARC
(28,11),-1.47117 # DEPENDENCYPART_ARC
(28,12),-2.392 # DEPENDENCYPART_ARC
(28,13),-2.36104 # DEPENDENCYPART_ARC
(28,14),-1.76809 # DEPENDENCYPART_ARC
(28,15),-1.43774 # DEPENDENCYPART_ARC
(28,16),-1.95231 # DEPENDENCYPART_ARC
(28,17),-2.12522 # DEPENDENCYPART_ARC
(28,18),-2.06169 # DEPENDENCYPART_ARC
(28,19),-0.975646 # DEPENDENCYPART_ARC
(28,20),-1.3607 # DEPENDENCYPART_ARC
(28,21),-1.40055 # DEPENDENCYPART_ARC
(28,22),-0.871382 # DEPENDENCYPART_ARC
(28,23),-1.61595 # DEPENDENCYPART_ARC
(28,24),-1.39242 # DEPENDENCYPART_ARC
(28,25),-0.936898 # DEPENDENCYPART_ARC
(28,26),-1.67913 # DEPENDENCYPART_ARC
(28,27),-1.49836 # DEPENDENCYPART_ARC
