# _root_ So any bearish indicator , such as Friday 's precipitous drop in the stock market , sends shivers through the oil markets as well .
#goldHeads=17,4,4,17,4,7,4,11,8,11,7,11,15,15,12,4,0,17,17,22,22,19,17,23,17,
#predictedHeads=17,4,4,1,4,7,4,11,8,11,7,11,15,15,12,11,0,17,17,22,22,19,17,23,17,
(21,6),-6.0159 # DEPENDENCYPART_ARC
(21,7),-4.11951 # DEPENDENCYPART_ARC
(21,8),-5.39959 # DEPENDENCYPART_ARC
(21,9),-3.51821 # DEPENDENCYPART_ARC
(21,10),-5.46294 # DEPENDENCYPART_ARC
(21,11),-6.4761 # DEPENDENCYPART_ARC
(21,12),-2.57821 # DEPENDENCYPART_ARC
(21,13),-3.39381 # DEPENDENCYPART_ARC
(21,14),-3.89892 # DEPENDENCYPART_ARC
(21,15),-5.17463 # DEPENDENCYPART_ARC
(21,16),-2.33585 # DEPENDENCYPART_ARC
(21,17),-2.56838 # DEPENDENCYPART_ARC
(21,18),-2.30519 # DEPENDENCYPART_ARC
(21,19),-0.745943 # DEPENDENCYPART_ARC
(21,20),2.39384 # DEPENDENCYPART_ARC
(21,22),0.846177 # DEPENDENCYPART_ARC
(21,23),0.217138 # DEPENDENCYPART_ARC
(21,24),0.14968 # DEPENDENCYPART_ARC
(21,25),-0.145798 # DEPENDENCYPART_ARC
(22,1),-1.73545 # DEPENDENCYPART_ARC
(22,2),-3.28705 # DEPENDENCYPART_ARC
(22,3),-3.17565 # DEPENDENCYPART_ARC
(22,4),-3.03721 # DEPENDENCYPART_ARC
(22,5),-0.784295 # DEPENDENCYPART_ARC
(22,6),-4.29379 # DEPENDENCYPART_ARC
(22,7),-1.22712 # DEPENDENCYPART_ARC
(22,8),-1.19369 # DEPENDENCYPART_ARC
(22,9),-0.932635 # DEPENDENCYPART_ARC
(22,10),-2.04712 # DEPENDENCYPART_ARC
(22,11),-2.7831 # DEPENDENCYPART_ARC
(22,12),-1.08432 # DEPENDENCYPART_ARC
(22,13),-0.00182739 # DEPENDENCYPART_ARC
(22,14),0.234394 # DEPENDENCYPART_ARC
(22,15),-1.52596 # DEPENDENCYPART_ARC
(22,16),-0.15196 # DEPENDENCYPART_ARC
(22,17),0.0156553 # DEPENDENCYPART_ARC
(22,18),0.517305 # DEPENDENCYPART_ARC
(22,19),1.01629 # DEPENDENCYPART_ARC
(22,20),4.72706 # DEPENDENCYPART_ARC
(22,21),4.49947 # DEPENDENCYPART_ARC
(22,23),1.35604 # DEPENDENCYPART_ARC
(22,24),1.09061 # DEPENDENCYPART_ARC
(22,25),1.13148 # DEPENDENCYPART_ARC
(23,1),-2.79996 # DEPENDENCYPART_ARC
(23,2),-1.55936 # DEPENDENCYPART_ARC
(23,3),-1.54358 # DEPENDENCYPART_ARC
(23,4),-3.02058 # DEPENDENCYPART_ARC
(23,5),-1.36632 # DEPENDENCYPART_ARC
(23,6),-0.815299 # DEPENDENCYPART_ARC
(23,7),-1.86087 # DEPENDENCYPART_ARC
(23,8),-1.79388 # DEPENDENCYPART_ARC
(23,9),-1.71032 # DEPENDENCYPART_ARC
(23,10),-0.953882 # DEPENDENCYPART_ARC
(23,11),-2.2742 # DEPENDENCYPART_ARC
(23,12),-2.11455 # DEPENDENCYPART_ARC
(23,13),-0.216701 # DEPENDENCYPART_ARC
(23,14),-1.55892 # DEPENDENCYPART_ARC
(23,15),-1.7898 # DEPENDENCYPART_ARC
(23,16),-0.315584 # DEPENDENCYPART_ARC
(23,17),-0.929686 # DEPENDENCYPART_ARC
(23,18),-0.803849 # DEPENDENCYPART_ARC
(23,19),-0.412297 # DEPENDENCYPART_ARC
(23,20),0.731098 # DEPENDENCYPART_ARC
(23,21),-0.102135 # DEPENDENCYPART_ARC
(23,22),-0.0550554 # DEPENDENCYPART_ARC
(23,24),3.51218 # DEPENDENCYPART_ARC
(23,25),0.975378 # DEPENDENCYPART_ARC
(24,1),-2.32767 # DEPENDENCYPART_ARC
(24,2),-1.55978 # DEPENDENCYPART_ARC
(24,3),-1.37346 # DEPENDENCYPART_ARC
(24,4),-3.31416 # DEPENDENCYPART_ARC
(24,5),-1.77399 # DEPENDENCYPART_ARC
(24,6),-0.924135 # DEPENDENCYPART_ARC
(24,7),-0.855046 # DEPENDENCYPART_ARC
(24,8),-2.40625 # DEPENDENCYPART_ARC
(24,9),-2.01435 # DEPENDENCYPART_ARC
(24,10),-0.954578 # DEPENDENCYPART_ARC
(24,11),-2.59408 # DEPENDENCYPART_ARC
(24,12),-1.3207 # DEPENDENCYPART_ARC
(24,13),-0.636437 # DEPENDENCYPART_ARC
(24,14),-1.73647 # DEPENDENCYPART_ARC
(24,15),-2.12222 # DEPENDENCYPART_ARC
(24,16),-1.10705 # DEPENDENCYPART_ARC
(24,17),-1.28941 # DEPENDENCYPART_ARC
(24,18),-0.840082 # DEPENDENCYPART_ARC
(24,19),-0.0324885 # DEPENDENCYPART_ARC
(24,20),0.328189 # DEPENDENCYPART_ARC
(24,21),-0.40017 # DEPENDENCYPART_ARC
(24,22),-0.278245 # DEPENDENCYPART_ARC
(24,23),0.669827 # DEPENDENCYPART_ARC
(24,25),0.480429 # DEPENDENCYPART_ARC
(25,1),-4.09285 # DEPENDENCYPART_ARC
(25,2),-3.09333 # DEPENDENCYPART_ARC
(25,3),-3.32951 # DEPENDENCYPART_ARC
(25,4),-2.45175 # DEPENDENCYPART_ARC
(25,5),-1.26755 # DEPENDENCYPART_ARC
(25,6),-3.0021 # DEPENDENCYPART_ARC
(25,7),-2.28123 # DEPENDENCYPART_ARC
(25,8),-2.66449 # DEPENDENCYPART_ARC
(25,9),-2.68823 # DEPENDENCYPART_ARC
(25,10),-2.59387 # DEPENDENCYPART_ARC
(25,11),-1.60661 # DEPENDENCYPART_ARC
(25,12),-2.53489 # DEPENDENCYPART_ARC
(25,13),-1.86678 # DEPENDENCYPART_ARC
(25,14),-1.72685 # DEPENDENCYPART_ARC
(25,15),-1.51516 # DEPENDENCYPART_ARC
(25,16),-0.469328 # DEPENDENCYPART_ARC
(25,17),-1.41196 # DEPENDENCYPART_ARC
(25,18),-1.51776 # DEPENDENCYPART_ARC
(25,19),-1.52831 # DEPENDENCYPART_ARC
(25,20),-1.2198 # DEPENDENCYPART_ARC
(25,21),-1.46514 # DEPENDENCYPART_ARC
(25,22),-1.44185 # DEPENDENCYPART_ARC
(25,23),-1.4078 # DEPENDENCYPART_ARC
(25,24),-1.19057 # DEPENDENCYPART_ARC
