# _root_ `` The first thing that caught my eye that was encouraging was Treasury bonds were off , '' says Austin George , head of stock trading at T. Rowe Price .
#goldHeads=12,4,4,12,6,4,8,6,10,4,10,19,14,15,12,15,12,12,0,21,19,21,21,23,24,25,23,30,30,27,19,
#predictedHeads=19,4,4,12,6,4,8,6,10,4,10,15,14,15,19,15,19,19,0,21,19,21,21,23,24,25,26,30,30,27,19,
(16,29),-1.45704 # DEPENDENCYPART_ARC
(16,30),-1.43298 # DEPENDENCYPART_ARC
(16,31),-1.17223 # DEPENDENCYPART_ARC
(17,1),-2.80143 # DEPENDENCYPART_ARC
(17,2),-2.81533 # DEPENDENCYPART_ARC
(17,3),-3.0592 # DEPENDENCYPART_ARC
(17,4),-3.16923 # DEPENDENCYPART_ARC
(17,5),-2.26019 # DEPENDENCYPART_ARC
(17,6),-2.42017 # DEPENDENCYPART_ARC
(17,7),-1.94665 # DEPENDENCYPART_ARC
(17,8),-2.62858 # DEPENDENCYPART_ARC
(17,9),-1.81805 # DEPENDENCYPART_ARC
(17,10),-1.97121 # DEPENDENCYPART_ARC
(17,11),-1.7348 # DEPENDENCYPART_ARC
(17,12),-2.10376 # DEPENDENCYPART_ARC
(17,13),-2.16507 # DEPENDENCYPART_ARC
(17,14),-1.87778 # DEPENDENCYPART_ARC
(17,15),-1.74987 # DEPENDENCYPART_ARC
(17,16),-1.22112 # DEPENDENCYPART_ARC
(17,18),-0.00325752 # DEPENDENCYPART_ARC
(17,19),-0.403738 # DEPENDENCYPART_ARC
(17,20),-0.957757 # DEPENDENCYPART_ARC
(17,21),-1.2694 # DEPENDENCYPART_ARC
(17,22),0.344311 # DEPENDENCYPART_ARC
(17,23),-2.13493 # DEPENDENCYPART_ARC
(17,24),-1.3507 # DEPENDENCYPART_ARC
(17,25),-2.29273 # DEPENDENCYPART_ARC
(17,26),-1.80459 # DEPENDENCYPART_ARC
(17,27),-1.60998 # DEPENDENCYPART_ARC
(17,28),-2.40711 # DEPENDENCYPART_ARC
(17,29),-2.56903 # DEPENDENCYPART_ARC
(17,30),-2.66459 # DEPENDENCYPART_ARC
(17,31),-1.79897 # DEPENDENCYPART_ARC
(18,1),-0.257504 # DEPENDENCYPART_ARC
(18,2),-2.06531 # DEPENDENCYPART_ARC
(18,3),-2.74762 # DEPENDENCYPART_ARC
(18,4),-2.90394 # DEPENDENCYPART_ARC
(18,5),-1.86785 # DEPENDENCYPART_ARC
(18,6),-2.10873 # DEPENDENCYPART_ARC
(18,7),-1.57811 # DEPENDENCYPART_ARC
(18,8),-2.29359 # DEPENDENCYPART_ARC
(18,9),-1.40461 # DEPENDENCYPART_ARC
(18,10),-1.71093 # DEPENDENCYPART_ARC
(18,11),-1.45254 # DEPENDENCYPART_ARC
(18,12),-1.42495 # DEPENDENCYPART_ARC
(18,13),-1.50381 # DEPENDENCYPART_ARC
(18,14),-1.23692 # DEPENDENCYPART_ARC
(18,15),-0.949805 # DEPENDENCYPART_ARC
(18,16),-0.695922 # DEPENDENCYPART_ARC
(18,17),0.412665 # DEPENDENCYPART_ARC
(18,19),-0.103264 # DEPENDENCYPART_ARC
(18,20),-1.21019 # DEPENDENCYPART_ARC
(18,21),-1.56016 # DEPENDENCYPART_ARC
(18,22),-1.36041 # DEPENDENCYPART_ARC
(18,23),-1.88817 # DEPENDENCYPART_ARC
(18,24),-1.91217 # DEPENDENCYPART_ARC
(18,25),-2.27689 # DEPENDENCYPART_ARC
(18,26),-2.19884 # DEPENDENCYPART_ARC
(18,27),-2.1685 # DEPENDENCYPART_ARC
(18,28),-2.86517 # DEPENDENCYPART_ARC
(18,29),-3.02325 # DEPENDENCYPART_ARC
(18,30),-3.1691 # DEPENDENCYPART_ARC
(18,31),-1.95971 # DEPENDENCYPART_ARC
(19,1),3.72019 # DEPENDENCYPART_ARC
(19,2),-2.50397 # DEPENDENCYPART_ARC
(19,3),-1.67614 # DEPENDENCYPART_ARC
(19,4),-1.33482 # DEPENDENCYPART_ARC
(19,5),-1.10051 # DEPENDENCYPART_ARC
(19,6),1.24864 # DEPENDENCYPART_ARC
(19,7),-0.706013 # DEPENDENCYPART_ARC
(19,8),-0.881752 # DEPENDENCYPART_ARC
(19,9),-0.0436319 # DEPENDENCYPART_ARC
(19,10),1.49533 # DEPENDENCYPART_ARC
(19,11),-0.102577 # DEPENDENCYPART_ARC
(19,12),1.37744 # DEPENDENCYPART_ARC
(19,13),0.372117 # DEPENDENCYPART_ARC
(19,14),-0.871686 # DEPENDENCYPART_ARC
(19,15),1.6031 # DEPENDENCYPART_ARC
(19,16),-0.289701 # DEPENDENCYPART_ARC
(19,17),3.67786 # DEPENDENCYPART_ARC
(19,18),3.81188 # DEPENDENCYPART_ARC
(19,20),1.69461 # DEPENDENCYPART_ARC
(19,21),2.92296 # DEPENDENCYPART_ARC
(19,22),1.1428 # DEPENDENCYPART_ARC
(19,23),0.394346 # DEPENDENCYPART_ARC
(19,24),-0.534663 # DEPENDENCYPART_ARC
(19,25),-0.300758 # DEPENDENCYPART_ARC
(19,26),1.44999 # DEPENDENCYPART_ARC
(19,27),-0.874157 # DEPENDENCYPART_ARC
(19,28),-1.32978 # DEPENDENCYPART_ARC
(19,29),-0.707074 # DEPENDENCYPART_ARC
(19,30),-0.536814 # DEPENDENCYPART_ARC
(19,31),7.84873 # DEPENDENCYPART_ARC
(20,1),-3.43884 # DEPENDENCYPART_ARC
(20,2),-4.33607 # DEPENDENCYPART_ARC
(20,3),-4.307 # DEPENDENCYPART_ARC
(20,4),-5.22076 # DEPENDENCYPART_ARC
(20,5),-4.6937 # DEPENDENCYPART_ARC
(20,6),-4.09431 # DEPENDENCYPART_ARC
(20,7),-2.2277 # DEPENDENCYPART_ARC
(20,8),-4.45689 # DEPENDENCYPART_ARC
(20,9),-4.23301 # DEPENDENCYPART_ARC
(20,10),-3.31978 # DEPENDENCYPART_ARC
(20,11),-2.66916 # DEPENDENCYPART_ARC
(20,12),-3.05801 # DEPENDENCYPART_ARC
(20,13),-3.16259 # DEPENDENCYPART_ARC
(20,14),-2.68117 # DEPENDENCYPART_ARC
(20,15),-2.34384 # DEPENDENCYPART_ARC
(20,16),-1.86389 # DEPENDENCYPART_ARC
(20,17),-1.54127 # DEPENDENCYPART_ARC
(20,18),-0.919925 # DEPENDENCYPART_ARC
(20,19),-0.638039 # DEPENDENCYPART_ARC
(20,21),1.82251 # DEPENDENCYPART_ARC
(20,22),1.07076 # DEPENDENCYPART_ARC
(20,23),1.00826 # DEPENDENCYPART_ARC
(20,24),0.066075 # DEPENDENCYPART_ARC
(20,25),-0.671009 # DEPENDENCYPART_ARC
(20,26),-0.262383 # DEPENDENCYPART_ARC
(20,27),-0.498104 # DEPENDENCYPART_ARC
(20,28),-1.75949 # DEPENDENCYPART_ARC
(20,29),-1.17838 # DEPENDENCYPART_ARC
(20,30),-1.41273 # DEPENDENCYPART_ARC
(20,31),0.365317 # DEPENDENCYPART_ARC
(21,1),-0.949799 # DEPENDENCYPART_ARC
(21,2),-1.54037 # DEPENDENCYPART_ARC
(21,3),-1.49838 # DEPENDENCYPART_ARC
(21,4),-3.01271 # DEPENDENCYPART_ARC
(21,5),-2.63199 # DEPENDENCYPART_ARC
(21,6),-1.85083 # DEPENDENCYPART_ARC
(21,7),0.0521391 # DEPENDENCYPART_ARC
(21,8),-2.14439 # DEPENDENCYPART_ARC
(21,9),-2.17485 # DEPENDENCYPART_ARC
(21,10),-1.45136 # DEPENDENCYPART_ARC
(21,11),-0.324834 # DEPENDENCYPART_ARC
(21,12),-0.886631 # DEPENDENCYPART_ARC
(21,13),0.0429812 # DEPENDENCYPART_ARC
(21,14),-0.337996 # DEPENDENCYPART_ARC
(21,15),-0.504698 # DEPENDENCYPART_ARC
(21,16),-0.0225922 # DEPENDENCYPART_ARC
(21,17),0.261722 # DEPENDENCYPART_ARC
(21,18),0.787256 # DEPENDENCYPART_ARC
(21,19),0.808036 # DEPENDENCYPART_ARC
(21,20),5.44198 # DEPENDENCYPART_ARC
(21,22),3.23543 # DEPENDENCYPART_ARC
(21,23),2.84125 # DEPENDENCYPART_ARC
(21,24),1.24591 # DEPENDENCYPART_ARC
(21,25),0.489045 # DEPENDENCYPART_ARC
(21,26),0.73895 # DEPENDENCYPART_ARC
(21,27),0.4737 # DEPENDENCYPART_ARC
(21,28),-1.03342 # DEPENDENCYPART_ARC
(21,29),-0.459669 # DEPENDENCYPART_ARC
(21,30),-0.291136 # DEPENDENCYPART_ARC
(21,31),0.500574 # DEPENDENCYPART_ARC
(22,1),-3.00878 # DEPENDENCYPART_ARC
(22,2),-3.10818 # DEPENDENCYPART_ARC
(22,3),-3.28285 # DEPENDENCYPART_ARC
(22,4),-3.34027 # DEPENDENCYPART_ARC
(22,5),-2.52033 # DEPENDENCYPART_ARC
(22,6),-2.67352 # DEPENDENCYPART_ARC
(22,7),-2.28596 # DEPENDENCYPART_ARC
(22,8),-2.93681 # DEPENDENCYPART_ARC
(22,9),-2.0857 # DEPENDENCYPART_ARC
(22,10),-2.19283 # DEPENDENCYPART_ARC
(22,11),-2.15372 # DEPENDENCYPART_ARC
(22,12),-2.02658 # DEPENDENCYPART_ARC
(22,13),-2.45989 # DEPENDENCYPART_ARC
(22,14),-2.43912 # DEPENDENCYPART_ARC
(22,15),-1.77659 # DEPENDENCYPART_ARC
(22,16),-2.35994 # DEPENDENCYPART_ARC
(22,17),-0.836433 # DEPENDENCYPART_ARC
(22,18),-1.59527 # DEPENDENCYPART_ARC
(22,19),-1.38136 # DEPENDENCYPART_ARC
(22,20),-1.70796 # DEPENDENCYPART_ARC
(22,21),-1.15466 # DEPENDENCYPART_ARC
(22,23),-0.763687 # DEPENDENCYPART_ARC
(22,24),-1.18013 # DEPENDENCYPART_ARC
(22,25),-1.61411 # DEPENDENCYPART_ARC
(22,26),-1.61242 # DEPENDENCYPART_ARC
(22,27),-1.56891 # DEPENDENCYPART_ARC
(22,28),-2.09839 # DEPENDENCYPART_ARC
(22,29),-2.22881 # DEPENDENCYPART_ARC
(22,30),-2.39687 # DEPENDENCYPART_ARC
(22,31),-1.7899 # DEPENDENCYPART_ARC
(23,1),-1.86314 # DEPENDENCYPART_ARC
(23,2),-3.04687 # DEPENDENCYPART_ARC
(23,3),-1.5867 # DEPENDENCYPART_ARC
(23,4),-4.58649 # DEPENDENCYPART_ARC
(23,5),-2.14441 # DEPENDENCYPART_ARC
(23,6),-2.07209 # DEPENDENCYPART_ARC
(23,7),-0.27768 # DEPENDENCYPART_ARC
(23,8),-3.07459 # DEPENDENCYPART_ARC
(23,9),-1.4032 # DEPENDENCYPART_ARC
(23,10),-1.59947 # DEPENDENCYPART_ARC
(23,11),-0.821621 # DEPENDENCYPART_ARC
(23,12),-1.33666 # DEPENDENCYPART_ARC
(23,13),-0.981904 # DEPENDENCYPART_ARC
(23,14),-0.725987 # DEPENDENCYPART_ARC
(23,15),-0.948421 # DEPENDENCYPART_ARC
(23,16),-2.24365 # DEPENDENCYPART_ARC
(23,17),-0.396361 # DEPENDENCYPART_ARC
(23,18),0.568124 # DEPENDENCYPART_ARC
(23,19),-0.0948001 # DEPENDENCYPART_ARC
(23,20),2.24779 # DEPENDENCYPART_ARC
(23,21),1.14103 # DEPENDENCYPART_ARC
(23,22),0.832268 # DEPENDENCYPART_ARC
(23,24),3.93708 # DEPENDENCYPART_ARC
(23,25),1.32811 # DEPENDENCYPART_ARC
(23,26),1.45548 # DEPENDENCYPART_ARC
(23,27),2.06642 # DEPENDENCYPART_ARC
(23,28),0.176186 # DEPENDENCYPART_ARC
(23,29),0.206342 # DEPENDENCYPART_ARC
(23,30),0.128124 # DEPENDENCYPART_ARC
(23,31),1.21484 # DEPENDENCYPART_ARC
(24,1),-2.04166 # DEPENDENCYPART_ARC
(24,2),-3.25431 # DEPENDENCYPART_ARC
(24,3),-3.26995 # DEPENDENCYPART_ARC
(24,4),-3.7515 # DEPENDENCYPART_ARC
(24,5),-0.822771 # DEPENDENCYPART_ARC
(24,6),-2.59187 # DEPENDENCYPART_ARC
(24,7),-1.9284 # DEPENDENCYPART_ARC
(24,8),-3.14077 # DEPENDENCYPART_ARC
(24,9),-0.538562 # DEPENDENCYPART_ARC
(24,10),-2.17419 # DEPENDENCYPART_ARC
(24,11),-2.38702 # DEPENDENCYPART_ARC
(24,12),-1.91903 # DEPENDENCYPART_ARC
(24,13),-1.77235 # DEPENDENCYPART_ARC
(24,14),-2.18728 # DEPENDENCYPART_ARC
(24,15),-1.4172 # DEPENDENCYPART_ARC
(24,16),-1.7754 # DEPENDENCYPART_ARC
(24,17),-1.35165 # DEPENDENCYPART_ARC
(24,18),-1.25618 # DEPENDENCYPART_ARC
(24,19),-0.965388 # DEPENDENCYPART_ARC
(24,20),-0.611922 # DEPENDENCYPART_ARC
(24,21),-0.481957 # DEPENDENCYPART_ARC
(24,22),-0.306513 # DEPENDENCYPART_ARC
(24,23),0.633905 # DEPENDENCYPART_ARC
(24,25),3.8157 # DEPENDENCYPART_ARC
(24,26),1.27384 # DEPENDENCYPART_ARC
(24,27),0.110465 # DEPENDENCYPART_ARC
(24,28),-0.0816811 # DEPENDENCYPART_ARC
(24,29),0.497727 # DEPENDENCYPART_ARC
(24,30),0.225082 # DEPENDENCYPART_ARC
(24,31),-1.17176 # DEPENDENCYPART_ARC
(25,1),-3.24715 # DEPENDENCYPART_ARC
(25,2),-5.44033 # DEPENDENCYPART_ARC
(25,3),-3.52955 # DEPENDENCYPART_ARC
(25,4),-6.77234 # DEPENDENCYPART_ARC
(25,5),-3.75638 # DEPENDENCYPART_ARC
(25,6),-3.27491 # DEPENDENCYPART_ARC
(25,7),-2.04804 # DEPENDENCYPART_ARC
(25,8),-4.95089 # DEPENDENCYPART_ARC
(25,9),-2.91132 # DEPENDENCYPART_ARC
(25,10),-2.78638 # DEPENDENCYPART_ARC
(25,11),-2.15507 # DEPENDENCYPART_ARC
(25,12),-2.46503 # DEPENDENCYPART_ARC
(25,13),-3.01223 # DEPENDENCYPART_ARC
(25,14),-2.07441 # DEPENDENCYPART_ARC
(25,15),-2.08688 # DEPENDENCYPART_ARC
(25,16),-3.48706 # DEPENDENCYPART_ARC
(25,17),-1.32765 # DEPENDENCYPART_ARC
(25,18),-0.936447 # DEPENDENCYPART_ARC
(25,19),-1.58399 # DEPENDENCYPART_ARC
(25,20),0.52306 # DEPENDENCYPART_ARC
(25,21),-0.458104 # DEPENDENCYPART_ARC
(25,22),-0.22431 # DEPENDENCYPART_ARC
(25,23),0.248616 # DEPENDENCYPART_ARC
(25,24),1.06219 # DEPENDENCYPART_ARC
(25,26),1.71505 # DEPENDENCYPART_ARC
(25,27),0.276904 # DEPENDENCYPART_ARC
(25,28),-0.0929878 # DEPENDENCYPART_ARC
(25,29),-0.348256 # DEPENDENCYPART_ARC
(25,30),-0.488989 # DEPENDENCYPART_ARC
(25,31),-0.170656 # DEPENDENCYPART_ARC
(26,1),-2.00049 # DEPENDENCYPART_ARC
(26,2),-2.4391 # DEPENDENCYPART_ARC
(26,3),-2.59178 # DEPENDENCYPART_ARC
(26,4),-2.638 # DEPENDENCYPART_ARC
(26,5),0.801958 # DEPENDENCYPART_ARC
(26,6),-1.05154 # DEPENDENCYPART_ARC
(26,7),-0.831889 # DEPENDENCYPART_ARC
(26,8),-1.75421 # DEPENDENCYPART_ARC
(26,9),1.25183 # DEPENDENCYPART_ARC
(26,10),-0.474331 # DEPENDENCYPART_ARC
(26,11),-1.2256 # DEPENDENCYPART_ARC
(26,12),-0.262961 # DEPENDENCYPART_ARC
(26,13),-0.474553 # DEPENDENCYPART_ARC
(26,14),-0.869709 # DEPENDENCYPART_ARC
(26,15),-0.445727 # DEPENDENCYPART_ARC
(26,16),-1.46471 # DEPENDENCYPART_ARC
(26,17),-0.472182 # DEPENDENCYPART_ARC
(26,18),-0.852745 # DEPENDENCYPART_ARC
(26,19),-0.420841 # DEPENDENCYPART_ARC
(26,20),0.259194 # DEPENDENCYPART_ARC
(26,21),-0.125726 # DEPENDENCYPART_ARC
(26,22),0.48097 # DEPENDENCYPART_ARC
(26,23),1.31337 # DEPENDENCYPART_ARC
(26,24),0.866395 # DEPENDENCYPART_ARC
(26,25),2.14855 # DEPENDENCYPART_ARC
(26,27),2.56144 # DEPENDENCYPART_ARC
(26,28),0.314071 # DEPENDENCYPART_ARC
(26,29),0.27586 # DEPENDENCYPART_ARC
(26,30),0.346512 # DEPENDENCYPART_ARC
(26,31),-0.880341 # DEPENDENCYPART_ARC
(27,1),-1.7021 # DEPENDENCYPART_ARC
(27,2),-2.87529 # DEPENDENCYPART_ARC
(27,3),-2.99032 # DEPENDENCYPART_ARC
(27,4),-3.97773 # DEPENDENCYPART_ARC
(27,5),-0.435527 # DEPENDENCYPART_ARC
(27,6),-2.60114 # DEPENDENCYPART_ARC
(27,7),-1.90762 # DEPENDENCYPART_ARC
(27,8),-3.21327 # DEPENDENCYPART_ARC
(27,9),-0.173756 # DEPENDENCYPART_ARC
(27,10),-2.09172 # DEPENDENCYPART_ARC
(27,11),-2.39754 # DEPENDENCYPART_ARC
(27,12),-1.872 # DEPENDENCYPART_ARC
(27,13),-2.02931 # DEPENDENCYPART_ARC
(27,14),-2.37121 # DEPENDENCYPART_ARC
(27,15),-1.52889 # DEPENDENCYPART_ARC
(27,16),-1.9928 # DEPENDENCYPART_ARC
(27,17),-0.816653 # DEPENDENCYPART_ARC
(27,18),-1.29323 # DEPENDENCYPART_ARC
(27,19),-0.843495 # DEPENDENCYPART_ARC
(27,20),-0.928972 # DEPENDENCYPART_ARC
(27,21),-1.02011 # DEPENDENCYPART_ARC
(27,22),-0.11614 # DEPENDENCYPART_ARC
(27,23),-0.205803 # DEPENDENCYPART_ARC
(27,24),0.321198 # DEPENDENCYPART_ARC
(27,25),-0.334289 # DEPENDENCYPART_ARC
(27,26),0.19637 # DEPENDENCYPART_ARC
(27,28),3.03305 # DEPENDENCYPART_ARC
(27,29),2.88723 # DEPENDENCYPART_ARC
(27,30),3.21595 # DEPENDENCYPART_ARC
(27,31),0.185138 # DEPENDENCYPART_ARC
(28,1),-5.26538 # DEPENDENCYPART_ARC
(28,2),-7.65831 # DEPENDENCYPART_ARC
(28,3),-7.45508 # DEPENDENCYPART_ARC
(28,4),-8.62798 # DEPENDENCYPART_ARC
(28,5),-7.3075 # DEPENDENCYPART_ARC
(28,6),-6.16529 # DEPENDENCYPART_ARC
(28,7),-4.25113 # DEPENDENCYPART_ARC
(28,8),-7.59789 # DEPENDENCYPART_ARC
(28,9),-6.75109 # DEPENDENCYPART_ARC
(28,10),-5.80758 # DEPENDENCYPART_ARC
(28,11),-5.0178 # DEPENDENCYPART_ARC
(28,12),-5.55605 # DEPENDENCYPART_ARC
(28,13),-7.82533 # DEPENDENCYPART_ARC
(28,14),-5.58898 # DEPENDENCYPART_ARC
(28,15),-5.20915 # DEPENDENCYPART_ARC
(28,16),-5.7031 # DEPENDENCYPART_ARC
(28,17),-5.76917 # DEPENDENCYPART_ARC
(28,18),-4.53896 # DEPENDENCYPART_ARC
(28,19),-4.86835 # DEPENDENCYPART_ARC
(28,20),-4.03437 # DEPENDENCYPART_ARC
(28,21),-4.80488 # DEPENDENCYPART_ARC
(28,22),-4.1772 # DEPENDENCYPART_ARC
(28,23),-3.86012 # DEPENDENCYPART_ARC
(28,24),-2.89476 # DEPENDENCYPART_ARC
(28,25),-2.19329 # DEPENDENCYPART_ARC
(28,26),-1.95589 # DEPENDENCYPART_ARC
(28,27),-1.65748 # DEPENDENCYPART_ARC
(28,29),0.945498 # DEPENDENCYPART_ARC
(28,30),0.423243 # DEPENDENCYPART_ARC
(28,31),-0.823637 # DEPENDENCYPART_ARC
(29,1),-3.60529 # DEPENDENCYPART_ARC
(29,2),-5.8018 # DEPENDENCYPART_ARC
(29,3),-5.62607 # DEPENDENCYPART_ARC
(29,4),-6.87116 # DEPENDENCYPART_ARC
(29,5),-5.83969 # DEPENDENCYPART_ARC
(29,6),-4.53816 # DEPENDENCYPART_ARC
(29,7),-2.33697 # DEPENDENCYPART_ARC
(29,8),-6.008 # DEPENDENCYPART_ARC
(29,9),-5.32058 # DEPENDENCYPART_ARC
(29,10),-4.11 # DEPENDENCYPART_ARC
(29,11),-3.20728 # DEPENDENCYPART_ARC
(29,12),-3.77254 # DEPENDENCYPART_ARC
(29,13),-5.51592 # DEPENDENCYPART_ARC
(29,14),-3.61028 # DEPENDENCYPART_ARC
(29,15),-3.51795 # DEPENDENCYPART_ARC
(29,16),-4.1178 # DEPENDENCYPART_ARC
(29,17),-4.11002 # DEPENDENCYPART_ARC
(29,18),-3.26557 # DEPENDENCYPART_ARC
(29,19),-3.36203 # DEPENDENCYPART_ARC
(29,20),-1.9163 # DEPENDENCYPART_ARC
(29,21),-3.00312 # DEPENDENCYPART_ARC
(29,22),-2.43258 # DEPENDENCYPART_ARC
(29,23),-2.94507 # DEPENDENCYPART_ARC
(29,24),-1.65149 # DEPENDENCYPART_ARC
(29,25),-0.477339 # DEPENDENCYPART_ARC
(29,26),-0.848237 # DEPENDENCYPART_ARC
(29,27),-0.931644 # DEPENDENCYPART_ARC
(29,28),3.55212 # DEPENDENCYPART_ARC
(29,30),2.0625 # DEPENDENCYPART_ARC
(29,31),0.121275 # DEPENDENCYPART_ARC
(30,1),-2.9683 # DEPENDENCYPART_ARC
(30,2),-2.91523 # DEPENDENCYPART_ARC
(30,3),-3.31603 # DEPENDENCYPART_ARC
(30,4),-4.57857 # DEPENDENCYPART_ARC
(30,5),-4.00372 # DEPENDENCYPART_ARC
(30,6),-2.69866 # DEPENDENCYPART_ARC
(30,7),-0.46587 # DEPENDENCYPART_ARC
(30,8),-3.80068 # DEPENDENCYPART_ARC
(30,9),-3.62916 # DEPENDENCYPART_ARC
(30,10),-2.32573 # DEPENDENCYPART_ARC
(30,11),-1.25078 # DEPENDENCYPART_ARC
(30,12),-1.99049 # DEPENDENCYPART_ARC
(30,13),-3.03603 # DEPENDENCYPART_ARC
(30,14),-1.57338 # DEPENDENCYPART_ARC
(30,15),-1.65269 # DEPENDENCYPART_ARC
(30,16),-2.3061 # DEPENDENCYPART_ARC
(30,17),-2.40753 # DEPENDENCYPART_ARC
(30,18),-1.50553 # DEPENDENCYPART_ARC
(30,19),-1.95825 # DEPENDENCYPART_ARC
(30,20),0.533293 # DEPENDENCYPART_ARC
(30,21),-0.688952 # DEPENDENCYPART_ARC
(30,22),-0.758134 # DEPENDENCYPART_ARC
(30,23),-0.798473 # DEPENDENCYPART_ARC
(30,24),-0.0591966 # DEPENDENCYPART_ARC
(30,25),1.5717 # DEPENDENCYPART_ARC
(30,26),0.851127 # DEPENDENCYPART_ARC
(30,27),0.72125 # DEPENDENCYPART_ARC
(30,28),4.85268 # DEPENDENCYPART_ARC
(30,29),4.36993 # DEPENDENCYPART_ARC
(30,31),1.0472 # DEPENDENCYPART_ARC
(31,1),-3.05744 # DEPENDENCYPART_ARC
(31,2),-3.29351 # DEPENDENCYPART_ARC
(31,3),-3.2274 # DEPENDENCYPART_ARC
(31,4),-2.79651 # DEPENDENCYPART_ARC
(31,5),-2.6894 # DEPENDENCYPART_ARC
(31,6),-2.95921 # DEPENDENCYPART_ARC
(31,7),-2.58348 # DEPENDENCYPART_ARC
(31,8),-2.57706 # DEPENDENCYPART_ARC
(31,9),-2.22007 # DEPENDENCYPART_ARC
(31,10),-2.94993 # DEPENDENCYPART_ARC
(31,11),-1.97528 # DEPENDENCYPART_ARC
(31,12),-2.77669 # DEPENDENCYPART_ARC
(31,13),-2.22216 # DEPENDENCYPART_ARC
(31,14),-2.5153 # DEPENDENCYPART_ARC
(31,15),-2.1664 # DEPENDENCYPART_ARC
(31,16),-2.28154 # DEPENDENCYPART_ARC
(31,17),-1.05273 # DEPENDENCYPART_ARC
(31,18),-1.81505 # DEPENDENCYPART_ARC
(31,19),-0.901781 # DEPENDENCYPART_ARC
(31,20),-1.52606 # DEPENDENCYPART_ARC
(31,21),-1.66766 # DEPENDENCYPART_ARC
(31,22),-0.772589 # DEPENDENCYPART_ARC
(31,23),-1.20531 # DEPENDENCYPART_ARC
(31,24),-1.26103 # DEPENDENCYPART_ARC
(31,25),-1.11794 # DEPENDENCYPART_ARC
(31,26),-1.1362 # DEPENDENCYPART_ARC
(31,27),-1.05774 # DEPENDENCYPART_ARC
(31,28),-0.808284 # DEPENDENCYPART_ARC
(31,29),-1.29375 # DEPENDENCYPART_ARC
(31,30),-1.2263 # DEPENDENCYPART_ARC
