# _root_ Emanuel Goldman , a PaineWebber Inc. analyst , predicts Kentucky Fried Chicken will post an 11 % drop in 1989 net income .
#goldHeads=2,9,2,7,7,7,2,2,0,12,12,13,9,13,18,17,18,14,18,22,22,19,9,
#predictedHeads=2,9,2,7,7,7,2,2,0,12,12,13,9,13,18,17,18,14,18,22,22,19,9,
(23,4),-2.76533 # DEPENDENCYPART_ARC
(23,5),-2.17068 # DEPENDENCYPART_ARC
(23,6),-2.16946 # DEPENDENCYPART_ARC
(23,7),-2.28666 # DEPENDENCYPART_ARC
(23,8),-1.53264 # DEPENDENCYPART_ARC
(23,9),-1.68509 # DEPENDENCYPART_ARC
(23,10),-1.88488 # DEPENDENCYPART_ARC
(23,11),-1.88994 # DEPENDENCYPART_ARC
(23,12),-1.91969 # DEPENDENCYPART_ARC
(23,13),-1.4964 # DEPENDENCYPART_ARC
(23,14),-1.69167 # DEPENDENCYPART_ARC
(23,15),-1.1744 # DEPENDENCYPART_ARC
(23,16),-1.74055 # DEPENDENCYPART_ARC
(23,17),-1.43673 # DEPENDENCYPART_ARC
(23,18),-1.85119 # DEPENDENCYPART_ARC
(23,19),-1.40761 # DEPENDENCYPART_ARC
(23,20),-1.17867 # DEPENDENCYPART_ARC
(23,21),-1.53618 # DEPENDENCYPART_ARC
(23,22),-1.67512 # DEPENDENCYPART_ARC
