# _root_ Now in its 13th day , the strike has idled about 55,000 machinists and has started to delay delivery of some jetliners .
#goldHeads=2,9,5,5,2,9,8,9,0,9,13,11,10,9,14,15,16,17,18,19,22,20,9,
#predictedHeads=9,9,5,5,2,9,8,9,0,9,13,11,10,9,14,15,16,17,18,19,22,20,9,
(23,5),-1.88437 # DEPENDENCYPART_ARC
(23,6),-1.06914 # DEPENDENCYPART_ARC
(23,7),-2.08303 # DEPENDENCYPART_ARC
(23,8),-2.03937 # DEPENDENCYPART_ARC
(23,9),-2.20661 # DEPENDENCYPART_ARC
(23,10),-1.72136 # DEPENDENCYPART_ARC
(23,11),-1.7758 # DEPENDENCYPART_ARC
(23,12),-2.10884 # DEPENDENCYPART_ARC
(23,13),-1.81526 # DEPENDENCYPART_ARC
(23,14),-1.61676 # DEPENDENCYPART_ARC
(23,15),-1.47389 # DEPENDENCYPART_ARC
(23,16),-1.23896 # DEPENDENCYPART_ARC
(23,17),-1.27646 # DEPENDENCYPART_ARC
(23,18),-1.57383 # DEPENDENCYPART_ARC
(23,19),-1.12777 # DEPENDENCYPART_ARC
(23,20),-1.00005 # DEPENDENCYPART_ARC
(23,21),-0.801477 # DEPENDENCYPART_ARC
(23,22),-1.47643 # DEPENDENCYPART_ARC
