# _root_ But prices of junk bonds , which were battered Friday in near standstill trading , rebounded to post small gains after a volatile trading session .
#goldHeads=16,16,2,5,3,5,8,5,8,9,9,13,14,11,5,0,16,17,20,18,18,25,25,25,21,16,
#predictedHeads=16,16,2,5,3,5,8,5,8,9,9,14,14,11,5,0,16,17,20,18,16,25,25,25,21,16,
(20,10),-2.53476 # DEPENDENCYPART_ARC
(20,11),-1.16033 # DEPENDENCYPART_ARC
(20,12),0.539517 # DEPENDENCYPART_ARC
(20,13),0.200374 # DEPENDENCYPART_ARC
(20,14),-1.41593 # DEPENDENCYPART_ARC
(20,15),-0.486145 # DEPENDENCYPART_ARC
(20,16),-0.101179 # DEPENDENCYPART_ARC
(20,17),0.288769 # DEPENDENCYPART_ARC
(20,18),1.41067 # DEPENDENCYPART_ARC
(20,19),4.64105 # DEPENDENCYPART_ARC
(20,21),1.89978 # DEPENDENCYPART_ARC
(20,22),0.0986943 # DEPENDENCYPART_ARC
(20,23),0.221497 # DEPENDENCYPART_ARC
(20,24),0.769526 # DEPENDENCYPART_ARC
(20,25),0.254167 # DEPENDENCYPART_ARC
(20,26),0.16725 # DEPENDENCYPART_ARC
(21,1),-3.39452 # DEPENDENCYPART_ARC
(21,2),-1.19246 # DEPENDENCYPART_ARC
(21,3),-2.40696 # DEPENDENCYPART_ARC
(21,4),-2.87229 # DEPENDENCYPART_ARC
(21,5),-1.26048 # DEPENDENCYPART_ARC
(21,6),-2.40096 # DEPENDENCYPART_ARC
(21,7),-0.340674 # DEPENDENCYPART_ARC
(21,8),-1.55366 # DEPENDENCYPART_ARC
(21,9),-1.27414 # DEPENDENCYPART_ARC
(21,10),-1.81016 # DEPENDENCYPART_ARC
(21,11),-0.790374 # DEPENDENCYPART_ARC
(21,12),-0.703619 # DEPENDENCYPART_ARC
(21,13),-0.624294 # DEPENDENCYPART_ARC
(21,14),-1.78001 # DEPENDENCYPART_ARC
(21,15),-0.915795 # DEPENDENCYPART_ARC
(21,16),-0.786778 # DEPENDENCYPART_ARC
(21,17),-0.377874 # DEPENDENCYPART_ARC
(21,18),0.00520493 # DEPENDENCYPART_ARC
(21,19),0.194833 # DEPENDENCYPART_ARC
(21,20),1.31154 # DEPENDENCYPART_ARC
(21,22),0.627433 # DEPENDENCYPART_ARC
(21,23),1.2462 # DEPENDENCYPART_ARC
(21,24),1.33192 # DEPENDENCYPART_ARC
(21,25),2.46316 # DEPENDENCYPART_ARC
(21,26),-0.902973 # DEPENDENCYPART_ARC
(22,1),-4.11858 # DEPENDENCYPART_ARC
(22,2),-3.82069 # DEPENDENCYPART_ARC
(22,3),-2.96759 # DEPENDENCYPART_ARC
(22,4),-3.82329 # DEPENDENCYPART_ARC
(22,5),-3.49911 # DEPENDENCYPART_ARC
(22,6),-3.07105 # DEPENDENCYPART_ARC
(22,7),-2.30732 # DEPENDENCYPART_ARC
(22,8),-2.94416 # DEPENDENCYPART_ARC
(22,9),-2.82964 # DEPENDENCYPART_ARC
(22,10),-2.9569 # DEPENDENCYPART_ARC
(22,11),-2.23958 # DEPENDENCYPART_ARC
(22,12),-2.46808 # DEPENDENCYPART_ARC
(22,13),-2.36847 # DEPENDENCYPART_ARC
(22,14),-2.68672 # DEPENDENCYPART_ARC
(22,15),-2.14331 # DEPENDENCYPART_ARC
(22,16),-2.00472 # DEPENDENCYPART_ARC
(22,17),-1.954 # DEPENDENCYPART_ARC
(22,18),-1.37977 # DEPENDENCYPART_ARC
(22,19),-1.17939 # DEPENDENCYPART_ARC
(22,20),-1.29964 # DEPENDENCYPART_ARC
(22,21),-0.0295384 # DEPENDENCYPART_ARC
(22,23),0.743987 # DEPENDENCYPART_ARC
(22,24),0.146328 # DEPENDENCYPART_ARC
(22,25),-0.0904143 # DEPENDENCYPART_ARC
(22,26),-1.22967 # DEPENDENCYPART_ARC
(23,1),-4.2409 # DEPENDENCYPART_ARC
(23,2),-3.58849 # DEPENDENCYPART_ARC
(23,3),-2.99484 # DEPENDENCYPART_ARC
(23,4),-3.02864 # DEPENDENCYPART_ARC
(23,5),-3.1677 # DEPENDENCYPART_ARC
(23,6),-2.33789 # DEPENDENCYPART_ARC
(23,7),-1.92844 # DEPENDENCYPART_ARC
(23,8),-3.02308 # DEPENDENCYPART_ARC
(23,9),-2.62459 # DEPENDENCYPART_ARC
(23,10),-2.89942 # DEPENDENCYPART_ARC
(23,11),-2.36624 # DEPENDENCYPART_ARC
(23,12),-1.27597 # DEPENDENCYPART_ARC
(23,13),-1.26092 # DEPENDENCYPART_ARC
(23,14),-1.80869 # DEPENDENCYPART_ARC
(23,15),-1.60751 # DEPENDENCYPART_ARC
(23,16),-2.05547 # DEPENDENCYPART_ARC
(23,17),-0.792744 # DEPENDENCYPART_ARC
(23,18),-1.06933 # DEPENDENCYPART_ARC
(23,19),0.0259572 # DEPENDENCYPART_ARC
(23,20),-0.68505 # DEPENDENCYPART_ARC
(23,21),-0.00354394 # DEPENDENCYPART_ARC
(23,22),1.72676 # DEPENDENCYPART_ARC
(23,24),1.02029 # DEPENDENCYPART_ARC
(23,25),-0.0221982 # DEPENDENCYPART_ARC
(23,26),-0.571813 # DEPENDENCYPART_ARC
(24,1),-5.00148 # DEPENDENCYPART_ARC
(24,2),-5.73635 # DEPENDENCYPART_ARC
(24,3),-3.9685 # DEPENDENCYPART_ARC
(24,4),-6.19789 # DEPENDENCYPART_ARC
(24,5),-4.86936 # DEPENDENCYPART_ARC
(24,6),-4.18034 # DEPENDENCYPART_ARC
(24,7),-3.73176 # DEPENDENCYPART_ARC
(24,8),-3.21641 # DEPENDENCYPART_ARC
(24,9),-3.8945 # DEPENDENCYPART_ARC
(24,10),-6.40368 # DEPENDENCYPART_ARC
(24,11),-3.39052 # DEPENDENCYPART_ARC
(24,12),-3.06949 # DEPENDENCYPART_ARC
(24,13),-3.53182 # DEPENDENCYPART_ARC
(24,14),-5.09356 # DEPENDENCYPART_ARC
(24,15),-2.78783 # DEPENDENCYPART_ARC
(24,16),-1.67312 # DEPENDENCYPART_ARC
(24,17),-2.67123 # DEPENDENCYPART_ARC
(24,18),-1.87965 # DEPENDENCYPART_ARC
(24,19),-1.24558 # DEPENDENCYPART_ARC
(24,20),-1.85087 # DEPENDENCYPART_ARC
(24,21),-0.849044 # DEPENDENCYPART_ARC
(24,22),2.36312 # DEPENDENCYPART_ARC
(24,23),2.46115 # DEPENDENCYPART_ARC
(24,25),0.809006 # DEPENDENCYPART_ARC
(24,26),-0.836273 # DEPENDENCYPART_ARC
(25,1),-2.43735 # DEPENDENCYPART_ARC
(25,2),-3.07435 # DEPENDENCYPART_ARC
(25,3),-1.84727 # DEPENDENCYPART_ARC
(25,4),-3.12608 # DEPENDENCYPART_ARC
(25,5),-2.28885 # DEPENDENCYPART_ARC
(25,6),-1.51702 # DEPENDENCYPART_ARC
(25,7),-1.17706 # DEPENDENCYPART_ARC
(25,8),-1.03256 # DEPENDENCYPART_ARC
(25,9),-1.01835 # DEPENDENCYPART_ARC
(25,10),-3.11186 # DEPENDENCYPART_ARC
(25,11),-1.09597 # DEPENDENCYPART_ARC
(25,12),-0.449728 # DEPENDENCYPART_ARC
(25,13),-0.506421 # DEPENDENCYPART_ARC
(25,14),-2.33467 # DEPENDENCYPART_ARC
(25,15),-0.28584 # DEPENDENCYPART_ARC
(25,16),0.476274 # DEPENDENCYPART_ARC
(25,17),-0.929827 # DEPENDENCYPART_ARC
(25,18),0.0886436 # DEPENDENCYPART_ARC
(25,19),1.08891 # DEPENDENCYPART_ARC
(25,20),0.830752 # DEPENDENCYPART_ARC
(25,21),1.27981 # DEPENDENCYPART_ARC
(25,22),4.95533 # DEPENDENCYPART_ARC
(25,23),4.43277 # DEPENDENCYPART_ARC
(25,24),4.79812 # DEPENDENCYPART_ARC
(25,26),0.583142 # DEPENDENCYPART_ARC
(26,1),-1.7816 # DEPENDENCYPART_ARC
(26,2),-3.75554 # DEPENDENCYPART_ARC
(26,3),-3.59807 # DEPENDENCYPART_ARC
(26,4),-3.05607 # DEPENDENCYPART_ARC
(26,5),-3.01473 # DEPENDENCYPART_ARC
(26,6),-1.92963 # DEPENDENCYPART_ARC
(26,7),-1.96925 # DEPENDENCYPART_ARC
(26,8),-1.25243 # DEPENDENCYPART_ARC
(26,9),-2.0269 # DEPENDENCYPART_ARC
(26,10),-2.39746 # DEPENDENCYPART_ARC
(26,11),-2.41044 # DEPENDENCYPART_ARC
(26,12),-2.28699 # DEPENDENCYPART_ARC
(26,13),-2.12742 # DEPENDENCYPART_ARC
(26,14),-1.85176 # DEPENDENCYPART_ARC
(26,15),-0.621436 # DEPENDENCYPART_ARC
(26,16),-0.745752 # DEPENDENCYPART_ARC
(26,17),-1.60595 # DEPENDENCYPART_ARC
(26,18),-1.50058 # DEPENDENCYPART_ARC
(26,19),-1.51274 # DEPENDENCYPART_ARC
(26,20),-1.34691 # DEPENDENCYPART_ARC
(26,21),-1.73886 # DEPENDENCYPART_ARC
(26,22),-0.840208 # DEPENDENCYPART_ARC
(26,23),-0.987667 # DEPENDENCYPART_ARC
(26,24),-1.65372 # DEPENDENCYPART_ARC
(26,25),-1.77722 # DEPENDENCYPART_ARC
