# _root_ En aquests moments hi ha una discriminació de la balança fiscal envers Catalunya i l' Estat , per moltes voltes que hi vulgui donar , no ens deixarà a tots contents .
#goldHeads=5,3,1,5,0,7,5,7,10,8,10,7,12,13,16,13,18,5,20,18,23,23,20,23,5,28,28,5,28,29,28,5,
#predictedHeads=5,3,1,5,0,7,5,7,10,8,10,10,12,7,16,13,18,23,20,18,23,23,28,23,18,28,28,16,28,29,30,5,
(21,12),-2.16858 # DEPENDENCYPART_ARC
(21,15),-3.88455 # DEPENDENCYPART_ARC
(21,18),-0.876993 # DEPENDENCYPART_ARC
(21,19),-1.27653 # DEPENDENCYPART_ARC
(21,20),-1.4581 # DEPENDENCYPART_ARC
(21,23),1.24076 # DEPENDENCYPART_ARC
(21,24),0.315943 # DEPENDENCYPART_ARC
(21,28),-1.37185 # DEPENDENCYPART_ARC
(21,29),-2.4129 # DEPENDENCYPART_ARC
(21,31),-2.19577 # DEPENDENCYPART_ARC
(22,1),-3.78072 # DEPENDENCYPART_ARC
(22,3),-4.1687 # DEPENDENCYPART_ARC
(22,6),-6.17333 # DEPENDENCYPART_ARC
(22,7),-4.23058 # DEPENDENCYPART_ARC
(22,8),-2.47298 # DEPENDENCYPART_ARC
(22,10),-4.14558 # DEPENDENCYPART_ARC
(22,11),-3.60245 # DEPENDENCYPART_ARC
(22,12),-2.59648 # DEPENDENCYPART_ARC
(22,13),-3.07955 # DEPENDENCYPART_ARC
(22,14),-2.3927 # DEPENDENCYPART_ARC
(22,16),-3.02999 # DEPENDENCYPART_ARC
(22,17),-2.0165 # DEPENDENCYPART_ARC
(22,18),-1.60831 # DEPENDENCYPART_ARC
(22,19),-2.53935 # DEPENDENCYPART_ARC
(22,20),-2.48893 # DEPENDENCYPART_ARC
(22,23),0.113154 # DEPENDENCYPART_ARC
(22,24),-0.87133 # DEPENDENCYPART_ARC
(22,25),-1.22951 # DEPENDENCYPART_ARC
(22,26),-1.62831 # DEPENDENCYPART_ARC
(22,28),-3.30881 # DEPENDENCYPART_ARC
(22,29),-2.98652 # DEPENDENCYPART_ARC
(22,30),-2.11515 # DEPENDENCYPART_ARC
(22,31),-2.88634 # DEPENDENCYPART_ARC
(22,32),-0.499739 # DEPENDENCYPART_ARC
(23,1),0.293688 # DEPENDENCYPART_ARC
(23,2),-2.82899 # DEPENDENCYPART_ARC
(23,3),-1.42174 # DEPENDENCYPART_ARC
(23,4),-1.28425 # DEPENDENCYPART_ARC
(23,5),-2.08192 # DEPENDENCYPART_ARC
(23,7),-0.0279827 # DEPENDENCYPART_ARC
(23,8),-2.13588 # DEPENDENCYPART_ARC
(23,9),-1.46596 # DEPENDENCYPART_ARC
(23,10),-0.118242 # DEPENDENCYPART_ARC
(23,11),-0.742902 # DEPENDENCYPART_ARC
(23,12),-0.0832766 # DEPENDENCYPART_ARC
(23,13),-0.257782 # DEPENDENCYPART_ARC
(23,14),-0.427767 # DEPENDENCYPART_ARC
(23,15),-0.952421 # DEPENDENCYPART_ARC
(23,16),-0.0690572 # DEPENDENCYPART_ARC
(23,17),1.50998 # DEPENDENCYPART_ARC
(23,18),1.20042 # DEPENDENCYPART_ARC
(23,20),0.592887 # DEPENDENCYPART_ARC
(23,21),4.13849 # DEPENDENCYPART_ARC
(23,22),4.59264 # DEPENDENCYPART_ARC
(23,24),3.74593 # DEPENDENCYPART_ARC
(23,25),1.21662 # DEPENDENCYPART_ARC
(23,26),0.0289245 # DEPENDENCYPART_ARC
(23,27),-1.25011 # DEPENDENCYPART_ARC
(23,28),0.35076 # DEPENDENCYPART_ARC
(23,29),0.671184 # DEPENDENCYPART_ARC
(23,30),-0.284117 # DEPENDENCYPART_ARC
(23,31),-0.332157 # DEPENDENCYPART_ARC
(23,32),3.07771 # DEPENDENCYPART_ARC
(24,1),-0.601936 # DEPENDENCYPART_ARC
(24,2),-3.18622 # DEPENDENCYPART_ARC
(24,3),-1.71186 # DEPENDENCYPART_ARC
(24,4),-2.21776 # DEPENDENCYPART_ARC
(24,5),-3.67026 # DEPENDENCYPART_ARC
(24,7),-1.39079 # DEPENDENCYPART_ARC
(24,8),-3.40442 # DEPENDENCYPART_ARC
(24,9),-2.47702 # DEPENDENCYPART_ARC
(24,10),-1.21677 # DEPENDENCYPART_ARC
(24,11),-1.88961 # DEPENDENCYPART_ARC
(24,12),-1.5969 # DEPENDENCYPART_ARC
(24,13),-1.34474 # DEPENDENCYPART_ARC
(24,14),-1.13558 # DEPENDENCYPART_ARC
(24,15),-2.19931 # DEPENDENCYPART_ARC
(24,16),-0.915796 # DEPENDENCYPART_ARC
(24,17),-0.367836 # DEPENDENCYPART_ARC
(24,18),-0.141797 # DEPENDENCYPART_ARC
(24,20),0.713979 # DEPENDENCYPART_ARC
(24,21),2.75975 # DEPENDENCYPART_ARC
(24,22),2.72982 # DEPENDENCYPART_ARC
(24,23),3.88594 # DEPENDENCYPART_ARC
(24,25),0.681946 # DEPENDENCYPART_ARC
(24,26),0.339431 # DEPENDENCYPART_ARC
(24,27),-0.0164565 # DEPENDENCYPART_ARC
(24,28),0.891847 # DEPENDENCYPART_ARC
(24,29),0.409643 # DEPENDENCYPART_ARC
(24,30),-0.490212 # DEPENDENCYPART_ARC
(24,31),-0.428647 # DEPENDENCYPART_ARC
(24,32),3.20312 # DEPENDENCYPART_ARC
(25,3),-4.19702 # DEPENDENCYPART_ARC
(25,7),-3.8197 # DEPENDENCYPART_ARC
(25,10),-3.51609 # DEPENDENCYPART_ARC
(25,11),-2.88729 # DEPENDENCYPART_ARC
(25,17),-2.17348 # DEPENDENCYPART_ARC
(25,20),-3.15404 # DEPENDENCYPART_ARC
(25,31),-2.2909 # DEPENDENCYPART_ARC
(26,1),-4.52227 # DEPENDENCYPART_ARC
(26,6),-3.44075 # DEPENDENCYPART_ARC
(26,8),-3.35644 # DEPENDENCYPART_ARC
(26,11),-2.07075 # DEPENDENCYPART_ARC
(26,12),-2.60257 # DEPENDENCYPART_ARC
(26,17),-2.7018 # DEPENDENCYPART_ARC
(26,18),-2.18548 # DEPENDENCYPART_ARC
(26,19),-2.63911 # DEPENDENCYPART_ARC
(26,25),0.4305 # DEPENDENCYPART_ARC
(26,29),-2.17904 # DEPENDENCYPART_ARC
(26,31),-1.98343 # DEPENDENCYPART_ARC
(26,32),-1.42892 # DEPENDENCYPART_ARC
(27,1),-3.01722 # DEPENDENCYPART_ARC
(27,3),-3.23119 # DEPENDENCYPART_ARC
(27,6),-3.78245 # DEPENDENCYPART_ARC
(27,7),-3.66167 # DEPENDENCYPART_ARC
(27,8),-1.5741 # DEPENDENCYPART_ARC
(27,10),-3.55792 # DEPENDENCYPART_ARC
(27,11),-3.3242 # DEPENDENCYPART_ARC
(27,12),-1.7885 # DEPENDENCYPART_ARC
(27,13),-2.5132 # DEPENDENCYPART_ARC
(27,14),-1.71956 # DEPENDENCYPART_ARC
(27,16),-2.61509 # DEPENDENCYPART_ARC
(27,17),-1.73038 # DEPENDENCYPART_ARC
(27,18),-1.06302 # DEPENDENCYPART_ARC
(27,19),-0.524785 # DEPENDENCYPART_ARC
(27,20),-2.33434 # DEPENDENCYPART_ARC
(27,23),-2.00899 # DEPENDENCYPART_ARC
(27,24),-1.72347 # DEPENDENCYPART_ARC
(27,25),0.0636402 # DEPENDENCYPART_ARC
(27,26),0.728811 # DEPENDENCYPART_ARC
(27,28),0.0650466 # DEPENDENCYPART_ARC
(27,29),-0.754287 # DEPENDENCYPART_ARC
(27,30),-0.419673 # DEPENDENCYPART_ARC
(27,31),-0.807111 # DEPENDENCYPART_ARC
(27,32),0.286841 # DEPENDENCYPART_ARC
(28,1),0.742002 # DEPENDENCYPART_ARC
(28,2),-3.93697 # DEPENDENCYPART_ARC
(28,3),-2.3054 # DEPENDENCYPART_ARC
(28,4),-2.85712 # DEPENDENCYPART_ARC
(28,5),-1.61529 # DEPENDENCYPART_ARC
(28,7),-0.858113 # DEPENDENCYPART_ARC
(28,8),-2.81291 # DEPENDENCYPART_ARC
(28,9),-2.36215 # DEPENDENCYPART_ARC
(28,10),-0.384994 # DEPENDENCYPART_ARC
(28,11),-0.562339 # DEPENDENCYPART_ARC
(28,12),-0.563495 # DEPENDENCYPART_ARC
(28,13),-0.668691 # DEPENDENCYPART_ARC
(28,14),-0.27083 # DEPENDENCYPART_ARC
(28,15),-2.24557 # DEPENDENCYPART_ARC
(28,16),-0.17268 # DEPENDENCYPART_ARC
(28,17),1.43629 # DEPENDENCYPART_ARC
(28,18),1.00763 # DEPENDENCYPART_ARC
(28,20),0.450418 # DEPENDENCYPART_ARC
(28,21),2.35313 # DEPENDENCYPART_ARC
(28,22),1.30591 # DEPENDENCYPART_ARC
(28,23),2.77187 # DEPENDENCYPART_ARC
(28,24),1.14212 # DEPENDENCYPART_ARC
(28,25),0.985 # DEPENDENCYPART_ARC
(28,26),3.46726 # DEPENDENCYPART_ARC
(28,27),3.67316 # DEPENDENCYPART_ARC
(28,29),3.86058 # DEPENDENCYPART_ARC
(28,30),1.63331 # DEPENDENCYPART_ARC
(28,31),0.929018 # DEPENDENCYPART_ARC
(28,32),3.36218 # DEPENDENCYPART_ARC
(29,1),-4.93143 # DEPENDENCYPART_ARC
(29,3),-4.04339 # DEPENDENCYPART_ARC
(29,4),-3.39394 # DEPENDENCYPART_ARC
(29,5),-2.03164 # DEPENDENCYPART_ARC
(29,6),-3.32731 # DEPENDENCYPART_ARC
(29,7),-3.54545 # DEPENDENCYPART_ARC
(29,8),-4.57105 # DEPENDENCYPART_ARC
(29,9),-2.62749 # DEPENDENCYPART_ARC
(29,10),-3.12843 # DEPENDENCYPART_ARC
(29,11),-2.64954 # DEPENDENCYPART_ARC
(29,12),-3.43765 # DEPENDENCYPART_ARC
(29,13),-3.06594 # DEPENDENCYPART_ARC
(29,14),-1.64608 # DEPENDENCYPART_ARC
(29,15),-2.89386 # DEPENDENCYPART_ARC
(29,16),-3.40745 # DEPENDENCYPART_ARC
(29,17),-3.08578 # DEPENDENCYPART_ARC
(29,18),-2.03942 # DEPENDENCYPART_ARC
(29,19),-1.79903 # DEPENDENCYPART_ARC
(29,20),-2.63421 # DEPENDENCYPART_ARC
(29,21),-2.15761 # DEPENDENCYPART_ARC
(29,22),-2.58881 # DEPENDENCYPART_ARC
(29,23),-1.89102 # DEPENDENCYPART_ARC
(29,24),-1.71616 # DEPENDENCYPART_ARC
(29,25),-0.858407 # DEPENDENCYPART_ARC
(29,26),0.00378288 # DEPENDENCYPART_ARC
(29,27),-1.13997 # DEPENDENCYPART_ARC
(29,28),0.378382 # DEPENDENCYPART_ARC
(29,30),3.43883 # DEPENDENCYPART_ARC
(29,31),1.24938 # DEPENDENCYPART_ARC
(29,32),-0.326301 # DEPENDENCYPART_ARC
(30,1),-2.28984 # DEPENDENCYPART_ARC
(30,2),-2.26051 # DEPENDENCYPART_ARC
(30,3),-2.45487 # DEPENDENCYPART_ARC
(30,5),-2.68808 # DEPENDENCYPART_ARC
(30,6),-3.59755 # DEPENDENCYPART_ARC
(30,7),-3.37414 # DEPENDENCYPART_ARC
(30,8),-1.30286 # DEPENDENCYPART_ARC
(30,9),-3.06998 # DEPENDENCYPART_ARC
(30,10),-3.03587 # DEPENDENCYPART_ARC
(30,11),-2.92703 # DEPENDENCYPART_ARC
(30,12),-1.29534 # DEPENDENCYPART_ARC
(30,13),-2.13827 # DEPENDENCYPART_ARC
(30,14),-1.42826 # DEPENDENCYPART_ARC
(30,15),-2.2862 # DEPENDENCYPART_ARC
(30,16),-2.29784 # DEPENDENCYPART_ARC
(30,17),-1.51865 # DEPENDENCYPART_ARC
(30,18),-0.703641 # DEPENDENCYPART_ARC
(30,19),-0.734804 # DEPENDENCYPART_ARC
(30,20),-1.93789 # DEPENDENCYPART_ARC
(30,23),-2.00697 # DEPENDENCYPART_ARC
(30,24),-1.86643 # DEPENDENCYPART_ARC
(30,25),-0.648037 # DEPENDENCYPART_ARC
(30,26),-0.391869 # DEPENDENCYPART_ARC
(30,28),-0.122842 # DEPENDENCYPART_ARC
(30,29),1.69336 # DEPENDENCYPART_ARC
(30,31),2.73157 # DEPENDENCYPART_ARC
(30,32),0.32592 # DEPENDENCYPART_ARC
(31,1),-2.03047 # DEPENDENCYPART_ARC
(31,2),-3.17914 # DEPENDENCYPART_ARC
(31,3),-3.97478 # DEPENDENCYPART_ARC
(31,4),-2.90072 # DEPENDENCYPART_ARC
(31,5),-2.91569 # DEPENDENCYPART_ARC
(31,6),-3.27664 # DEPENDENCYPART_ARC
(31,7),-3.17916 # DEPENDENCYPART_ARC
(31,8),-2.02279 # DEPENDENCYPART_ARC
(31,9),-2.76165 # DEPENDENCYPART_ARC
(31,10),-3.02276 # DEPENDENCYPART_ARC
(31,11),-4.28577 # DEPENDENCYPART_ARC
(31,12),-2.0379 # DEPENDENCYPART_ARC
(31,13),-3.39697 # DEPENDENCYPART_ARC
(31,14),-2.05609 # DEPENDENCYPART_ARC
(31,15),-3.32212 # DEPENDENCYPART_ARC
(31,16),-3.28978 # DEPENDENCYPART_ARC
(31,17),-2.94273 # DEPENDENCYPART_ARC
(31,18),-1.1235 # DEPENDENCYPART_ARC
(31,19),-2.55241 # DEPENDENCYPART_ARC
(31,20),-2.37556 # DEPENDENCYPART_ARC
(31,21),-2.22033 # DEPENDENCYPART_ARC
(31,22),-2.20384 # DEPENDENCYPART_ARC
(31,23),-2.8458 # DEPENDENCYPART_ARC
(31,24),-2.90494 # DEPENDENCYPART_ARC
(31,25),-0.875793 # DEPENDENCYPART_ARC
(31,26),-0.651537 # DEPENDENCYPART_ARC
(31,27),-1.81102 # DEPENDENCYPART_ARC
(31,28),-0.861248 # DEPENDENCYPART_ARC
(31,29),1.28643 # DEPENDENCYPART_ARC
(31,30),0.0648629 # DEPENDENCYPART_ARC
(31,32),-0.282781 # DEPENDENCYPART_ARC
(32,14),-2.41021 # DEPENDENCYPART_ARC
