# _root_ No els en deixa passar ni una i , si hi ha dubtes sobre la sonoritat d' una nota , fa que la repeteixin tots .
#goldHeads=5,5,5,5,0,7,5,5,12,12,12,21,12,13,16,14,16,19,17,12,5,24,24,21,24,5,
#predictedHeads=5,5,5,5,0,7,5,7,12,12,12,7,12,13,16,14,16,19,17,12,19,24,24,21,24,5,
(20,9),-2.49387 # DEPENDENCYPART_ARC
(20,10),-2.41388 # DEPENDENCYPART_ARC
(20,11),-2.85669 # DEPENDENCYPART_ARC
(20,12),-2.91058 # DEPENDENCYPART_ARC
(20,13),-2.95622 # DEPENDENCYPART_ARC
(20,14),-1.97275 # DEPENDENCYPART_ARC
(20,15),-2.2003 # DEPENDENCYPART_ARC
(20,16),-2.62245 # DEPENDENCYPART_ARC
(20,17),-1.3675 # DEPENDENCYPART_ARC
(20,18),-0.999161 # DEPENDENCYPART_ARC
(20,19),-1.23497 # DEPENDENCYPART_ARC
(20,21),0.32825 # DEPENDENCYPART_ARC
(20,22),-0.664008 # DEPENDENCYPART_ARC
(20,23),-1.32202 # DEPENDENCYPART_ARC
(20,24),-0.942819 # DEPENDENCYPART_ARC
(20,25),-1.66335 # DEPENDENCYPART_ARC
(20,26),-0.626496 # DEPENDENCYPART_ARC
(21,1),-1.99327 # DEPENDENCYPART_ARC
(21,2),-3.50806 # DEPENDENCYPART_ARC
(21,3),-2.89872 # DEPENDENCYPART_ARC
(21,4),-1.10451 # DEPENDENCYPART_ARC
(21,5),-2.74505 # DEPENDENCYPART_ARC
(21,6),-2.40317 # DEPENDENCYPART_ARC
(21,7),-2.1577 # DEPENDENCYPART_ARC
(21,8),-0.847602 # DEPENDENCYPART_ARC
(21,9),0.966399 # DEPENDENCYPART_ARC
(21,10),1.43653 # DEPENDENCYPART_ARC
(21,11),-0.138489 # DEPENDENCYPART_ARC
(21,12),-0.395948 # DEPENDENCYPART_ARC
(21,13),-0.470631 # DEPENDENCYPART_ARC
(21,14),-0.706446 # DEPENDENCYPART_ARC
(21,15),-1.45824 # DEPENDENCYPART_ARC
(21,16),1.00958 # DEPENDENCYPART_ARC
(21,17),-0.593939 # DEPENDENCYPART_ARC
(21,18),-0.672805 # DEPENDENCYPART_ARC
(21,19),1.55025 # DEPENDENCYPART_ARC
(21,20),-0.0264615 # DEPENDENCYPART_ARC
(21,22),-0.122671 # DEPENDENCYPART_ARC
(21,23),-0.590681 # DEPENDENCYPART_ARC
(21,24),1.94222 # DEPENDENCYPART_ARC
(21,25),-1.02763 # DEPENDENCYPART_ARC
(21,26),3.66277 # DEPENDENCYPART_ARC
(22,1),-3.01923 # DEPENDENCYPART_ARC
(22,2),-2.99942 # DEPENDENCYPART_ARC
(22,3),-2.95974 # DEPENDENCYPART_ARC
(22,4),-3.52627 # DEPENDENCYPART_ARC
(22,5),-3.34426 # DEPENDENCYPART_ARC
(22,6),-2.79713 # DEPENDENCYPART_ARC
(22,7),-2.76211 # DEPENDENCYPART_ARC
(22,8),-2.4671 # DEPENDENCYPART_ARC
(22,9),-2.74521 # DEPENDENCYPART_ARC
(22,10),-2.37916 # DEPENDENCYPART_ARC
(22,11),-2.80163 # DEPENDENCYPART_ARC
(22,12),-3.14683 # DEPENDENCYPART_ARC
(22,13),-3.17883 # DEPENDENCYPART_ARC
(22,14),-2.17361 # DEPENDENCYPART_ARC
(22,15),-2.99587 # DEPENDENCYPART_ARC
(22,16),-2.8781 # DEPENDENCYPART_ARC
(22,17),-1.90032 # DEPENDENCYPART_ARC
(22,18),-2.17053 # DEPENDENCYPART_ARC
(22,19),-2.30044 # DEPENDENCYPART_ARC
(22,20),-1.08119 # DEPENDENCYPART_ARC
(22,21),-0.625305 # DEPENDENCYPART_ARC
(22,23),-0.312766 # DEPENDENCYPART_ARC
(22,24),-0.357134 # DEPENDENCYPART_ARC
(22,25),-2.35541 # DEPENDENCYPART_ARC
(22,26),-1.68781 # DEPENDENCYPART_ARC
(23,1),-2.76338 # DEPENDENCYPART_ARC
(23,2),-3.95618 # DEPENDENCYPART_ARC
(23,3),-2.95042 # DEPENDENCYPART_ARC
(23,4),-2.11011 # DEPENDENCYPART_ARC
(23,5),-2.71765 # DEPENDENCYPART_ARC
(23,6),-2.67665 # DEPENDENCYPART_ARC
(23,7),-3.23448 # DEPENDENCYPART_ARC
(23,8),-1.81031 # DEPENDENCYPART_ARC
(23,9),-2.01125 # DEPENDENCYPART_ARC
(23,10),-1.91079 # DEPENDENCYPART_ARC
(23,11),-2.59768 # DEPENDENCYPART_ARC
(23,12),-1.82841 # DEPENDENCYPART_ARC
(23,13),-3.13585 # DEPENDENCYPART_ARC
(23,14),-1.42624 # DEPENDENCYPART_ARC
(23,15),-1.91716 # DEPENDENCYPART_ARC
(23,16),-3.01202 # DEPENDENCYPART_ARC
(23,17),-1.13517 # DEPENDENCYPART_ARC
(23,18),-0.881054 # DEPENDENCYPART_ARC
(23,19),-2.68546 # DEPENDENCYPART_ARC
(23,20),-0.848018 # DEPENDENCYPART_ARC
(23,21),-0.10692 # DEPENDENCYPART_ARC
(23,22),1.32488 # DEPENDENCYPART_ARC
(23,24),-0.050666 # DEPENDENCYPART_ARC
(23,25),-0.453252 # DEPENDENCYPART_ARC
(23,26),-0.10362 # DEPENDENCYPART_ARC
(24,1),-1.7475 # DEPENDENCYPART_ARC
(24,2),-2.64274 # DEPENDENCYPART_ARC
(24,3),-1.83491 # DEPENDENCYPART_ARC
(24,4),-1.368 # DEPENDENCYPART_ARC
(24,5),-3.09122 # DEPENDENCYPART_ARC
(24,6),-2.1407 # DEPENDENCYPART_ARC
(24,7),-1.63793 # DEPENDENCYPART_ARC
(24,8),-0.532257 # DEPENDENCYPART_ARC
(24,9),2.02783 # DEPENDENCYPART_ARC
(24,10),1.16695 # DEPENDENCYPART_ARC
(24,11),0.516619 # DEPENDENCYPART_ARC
(24,12),-0.0720278 # DEPENDENCYPART_ARC
(24,13),0.464572 # DEPENDENCYPART_ARC
(24,14),-0.121904 # DEPENDENCYPART_ARC
(24,15),-1.29773 # DEPENDENCYPART_ARC
(24,16),0.136852 # DEPENDENCYPART_ARC
(24,17),-0.584832 # DEPENDENCYPART_ARC
(24,18),-1.28521 # DEPENDENCYPART_ARC
(24,19),-0.152219 # DEPENDENCYPART_ARC
(24,20),1.2777 # DEPENDENCYPART_ARC
(24,21),0.766485 # DEPENDENCYPART_ARC
(24,22),5.13049 # DEPENDENCYPART_ARC
(24,23),4.36775 # DEPENDENCYPART_ARC
(24,25),4.32371 # DEPENDENCYPART_ARC
(24,26),3.22891 # DEPENDENCYPART_ARC
(25,1),-1.92415 # DEPENDENCYPART_ARC
(25,2),-3.49877 # DEPENDENCYPART_ARC
(25,3),-2.98665 # DEPENDENCYPART_ARC
(25,4),-2.72877 # DEPENDENCYPART_ARC
(25,5),-2.88643 # DEPENDENCYPART_ARC
(25,6),-2.04791 # DEPENDENCYPART_ARC
(25,7),-3.07059 # DEPENDENCYPART_ARC
(25,8),-1.79431 # DEPENDENCYPART_ARC
(25,9),-2.01283 # DEPENDENCYPART_ARC
(25,10),-1.67536 # DEPENDENCYPART_ARC
(25,11),-2.73485 # DEPENDENCYPART_ARC
(25,12),-2.41468 # DEPENDENCYPART_ARC
(25,13),-2.10176 # DEPENDENCYPART_ARC
(25,14),-0.989246 # DEPENDENCYPART_ARC
(25,15),-1.56485 # DEPENDENCYPART_ARC
(25,16),-2.86932 # DEPENDENCYPART_ARC
(25,17),-0.681044 # DEPENDENCYPART_ARC
(25,18),-1.06529 # DEPENDENCYPART_ARC
(25,19),-2.58642 # DEPENDENCYPART_ARC
(25,20),-1.16857 # DEPENDENCYPART_ARC
(25,21),-1.6171 # DEPENDENCYPART_ARC
(25,22),0.121995 # DEPENDENCYPART_ARC
(25,23),-1.29276 # DEPENDENCYPART_ARC
(25,24),0.189715 # DEPENDENCYPART_ARC
(25,26),0.406094 # DEPENDENCYPART_ARC
(26,1),-4.37682 # DEPENDENCYPART_ARC
(26,2),-4.08977 # DEPENDENCYPART_ARC
(26,3),-4.02616 # DEPENDENCYPART_ARC
(26,4),-4.53685 # DEPENDENCYPART_ARC
(26,5),-4.59534 # DEPENDENCYPART_ARC
(26,6),-4.08047 # DEPENDENCYPART_ARC
(26,7),-3.96334 # DEPENDENCYPART_ARC
(26,8),-3.72147 # DEPENDENCYPART_ARC
(26,9),-3.81821 # DEPENDENCYPART_ARC
(26,10),-3.61493 # DEPENDENCYPART_ARC
(26,11),-3.96554 # DEPENDENCYPART_ARC
(26,12),-4.32983 # DEPENDENCYPART_ARC
(26,13),-4.26716 # DEPENDENCYPART_ARC
(26,14),-3.43091 # DEPENDENCYPART_ARC
(26,15),-4.22314 # DEPENDENCYPART_ARC
(26,16),-4.06587 # DEPENDENCYPART_ARC
(26,17),-3.29003 # DEPENDENCYPART_ARC
(26,18),-3.98476 # DEPENDENCYPART_ARC
(26,19),-3.97417 # DEPENDENCYPART_ARC
(26,20),-3.10853 # DEPENDENCYPART_ARC
(26,21),-3.70604 # DEPENDENCYPART_ARC
(26,22),-2.76988 # DEPENDENCYPART_ARC
(26,23),-2.76902 # DEPENDENCYPART_ARC
(26,24),-2.49163 # DEPENDENCYPART_ARC
(26,25),-1.30012 # DEPENDENCYPART_ARC
