# _root_ El Congrés s' havia plantejat de consens a l' entorn_de Preses , que ha iniciat el tercer mandat al_capdavant_de Comissions , si_bé una hora abans d' acabar -se el termini Àngel_González ha presentat la_seva candidatura .
#goldHeads=2,5,5,5,0,5,6,7,10,8,10,15,15,15,11,18,18,15,15,19,15,33,24,25,33,25,26,27,30,27,33,33,5,35,33,5,
#predictedHeads=2,5,5,5,0,5,6,5,10,8,10,15,15,15,11,18,18,15,15,19,33,33,24,25,15,25,26,27,30,33,30,33,15,35,33,15,
(18,30),-1.85185 # DEPENDENCYPART_ARC
(18,31),-1.2236 # DEPENDENCYPART_ARC
(18,32),-2.18939 # DEPENDENCYPART_ARC
(18,33),-0.736327 # DEPENDENCYPART_ARC
(18,34),-1.60799 # DEPENDENCYPART_ARC
(18,35),-1.76742 # DEPENDENCYPART_ARC
(18,36),0.801057 # DEPENDENCYPART_ARC
(19,1),-3.10346 # DEPENDENCYPART_ARC
(19,2),-3.22338 # DEPENDENCYPART_ARC
(19,3),-2.55069 # DEPENDENCYPART_ARC
(19,4),-2.03104 # DEPENDENCYPART_ARC
(19,5),-3.22435 # DEPENDENCYPART_ARC
(19,6),-3.0007 # DEPENDENCYPART_ARC
(19,7),-2.52432 # DEPENDENCYPART_ARC
(19,8),-2.62466 # DEPENDENCYPART_ARC
(19,9),-1.92539 # DEPENDENCYPART_ARC
(19,10),-2.31728 # DEPENDENCYPART_ARC
(19,11),-2.43948 # DEPENDENCYPART_ARC
(19,12),-1.77426 # DEPENDENCYPART_ARC
(19,13),-1.91097 # DEPENDENCYPART_ARC
(19,14),-1.27647 # DEPENDENCYPART_ARC
(19,15),-1.6619 # DEPENDENCYPART_ARC
(19,16),-0.715875 # DEPENDENCYPART_ARC
(19,17),-0.615311 # DEPENDENCYPART_ARC
(19,18),-0.147512 # DEPENDENCYPART_ARC
(19,20),3.4973 # DEPENDENCYPART_ARC
(19,21),0.484431 # DEPENDENCYPART_ARC
(19,22),-0.25583 # DEPENDENCYPART_ARC
(19,23),-2.70849 # DEPENDENCYPART_ARC
(19,24),-1.72544 # DEPENDENCYPART_ARC
(19,25),-1.28863 # DEPENDENCYPART_ARC
(19,26),-1.11429 # DEPENDENCYPART_ARC
(19,27),-0.875153 # DEPENDENCYPART_ARC
(19,28),-4.23533 # DEPENDENCYPART_ARC
(19,29),-3.80345 # DEPENDENCYPART_ARC
(19,30),-5.63202 # DEPENDENCYPART_ARC
(19,31),-7.83905 # DEPENDENCYPART_ARC
(19,32),-3.75057 # DEPENDENCYPART_ARC
(19,33),-3.09196 # DEPENDENCYPART_ARC
(19,35),-9.257 # DEPENDENCYPART_ARC
(19,36),-1.51554 # DEPENDENCYPART_ARC
(20,1),-8.40094 # DEPENDENCYPART_ARC
(20,2),-3.90399 # DEPENDENCYPART_ARC
(20,4),-4.16704 # DEPENDENCYPART_ARC
(20,5),-3.62962 # DEPENDENCYPART_ARC
(20,6),-2.5523 # DEPENDENCYPART_ARC
(20,7),-2.61166 # DEPENDENCYPART_ARC
(20,8),-2.26908 # DEPENDENCYPART_ARC
(20,9),-4.98335 # DEPENDENCYPART_ARC
(20,10),-2.31672 # DEPENDENCYPART_ARC
(20,11),-2.11592 # DEPENDENCYPART_ARC
(20,12),-2.18196 # DEPENDENCYPART_ARC
(20,13),-1.50659 # DEPENDENCYPART_ARC
(20,14),-3.30655 # DEPENDENCYPART_ARC
(20,15),-2.17064 # DEPENDENCYPART_ARC
(20,16),-0.284295 # DEPENDENCYPART_ARC
(20,17),-0.874759 # DEPENDENCYPART_ARC
(20,18),-0.809944 # DEPENDENCYPART_ARC
(20,19),0.720239 # DEPENDENCYPART_ARC
(20,21),0.0141758 # DEPENDENCYPART_ARC
(20,22),0.0822261 # DEPENDENCYPART_ARC
(20,23),-1.77749 # DEPENDENCYPART_ARC
(20,24),-1.07149 # DEPENDENCYPART_ARC
(20,25),-1.08357 # DEPENDENCYPART_ARC
(20,26),-1.84837 # DEPENDENCYPART_ARC
(20,27),-0.547908 # DEPENDENCYPART_ARC
(20,29),-3.12205 # DEPENDENCYPART_ARC
(20,30),-2.28515 # DEPENDENCYPART_ARC
(20,31),-2.10498 # DEPENDENCYPART_ARC
(20,32),-2.62235 # DEPENDENCYPART_ARC
(20,33),-1.65098 # DEPENDENCYPART_ARC
(20,34),-3.53313 # DEPENDENCYPART_ARC
(20,35),-2.10044 # DEPENDENCYPART_ARC
(20,36),0.0305588 # DEPENDENCYPART_ARC
(21,7),-3.72163 # DEPENDENCYPART_ARC
(21,12),-1.93373 # DEPENDENCYPART_ARC
(21,18),-2.43969 # DEPENDENCYPART_ARC
(21,24),-1.62687 # DEPENDENCYPART_ARC
(21,30),-2.40006 # DEPENDENCYPART_ARC
(21,35),-2.6716 # DEPENDENCYPART_ARC
(22,2),-3.46348 # DEPENDENCYPART_ARC
(22,4),-3.24586 # DEPENDENCYPART_ARC
(22,5),-3.04999 # DEPENDENCYPART_ARC
(22,6),-2.33351 # DEPENDENCYPART_ARC
(22,7),-3.08643 # DEPENDENCYPART_ARC
(22,8),-2.24541 # DEPENDENCYPART_ARC
(22,10),-2.1509 # DEPENDENCYPART_ARC
(22,11),-3.04274 # DEPENDENCYPART_ARC
(22,12),-1.8659 # DEPENDENCYPART_ARC
(22,14),-2.63905 # DEPENDENCYPART_ARC
(22,15),-2.43047 # DEPENDENCYPART_ARC
(22,18),-2.00358 # DEPENDENCYPART_ARC
(22,19),-0.704759 # DEPENDENCYPART_ARC
(22,20),-1.27355 # DEPENDENCYPART_ARC
(22,21),1.05334 # DEPENDENCYPART_ARC
(22,23),-0.207434 # DEPENDENCYPART_ARC
(22,24),0.314553 # DEPENDENCYPART_ARC
(22,25),-1.08032 # DEPENDENCYPART_ARC
(22,26),-0.480905 # DEPENDENCYPART_ARC
(22,27),-0.145202 # DEPENDENCYPART_ARC
(22,30),-2.31406 # DEPENDENCYPART_ARC
(22,31),-2.55183 # DEPENDENCYPART_ARC
(22,32),-1.55551 # DEPENDENCYPART_ARC
(22,33),-1.74467 # DEPENDENCYPART_ARC
(22,35),-2.94312 # DEPENDENCYPART_ARC
(22,36),0.373896 # DEPENDENCYPART_ARC
(23,6),-3.20419 # DEPENDENCYPART_ARC
(23,7),-2.74037 # DEPENDENCYPART_ARC
(23,8),-2.73897 # DEPENDENCYPART_ARC
(23,10),-2.44455 # DEPENDENCYPART_ARC
(23,17),-1.88157 # DEPENDENCYPART_ARC
(23,18),-1.63225 # DEPENDENCYPART_ARC
(23,19),-0.882429 # DEPENDENCYPART_ARC
(23,24),2.17406 # DEPENDENCYPART_ARC
(23,25),0.88425 # DEPENDENCYPART_ARC
(23,26),-0.0114653 # DEPENDENCYPART_ARC
(23,30),-2.14442 # DEPENDENCYPART_ARC
(23,35),-2.5976 # DEPENDENCYPART_ARC
(24,1),-9.06791 # DEPENDENCYPART_ARC
(24,2),-3.05514 # DEPENDENCYPART_ARC
(24,4),-2.53431 # DEPENDENCYPART_ARC
(24,5),-2.87137 # DEPENDENCYPART_ARC
(24,6),-1.43642 # DEPENDENCYPART_ARC
(24,7),-1.93882 # DEPENDENCYPART_ARC
(24,8),-1.25863 # DEPENDENCYPART_ARC
(24,9),-4.57088 # DEPENDENCYPART_ARC
(24,10),-1.46909 # DEPENDENCYPART_ARC
(24,11),-1.84707 # DEPENDENCYPART_ARC
(24,12),-1.15798 # DEPENDENCYPART_ARC
(24,13),-0.691731 # DEPENDENCYPART_ARC
(24,14),-2.07154 # DEPENDENCYPART_ARC
(24,15),-1.65222 # DEPENDENCYPART_ARC
(24,16),-2.0438 # DEPENDENCYPART_ARC
(24,17),-0.309797 # DEPENDENCYPART_ARC
(24,18),-1.09449 # DEPENDENCYPART_ARC
(24,19),-0.213898 # DEPENDENCYPART_ARC
(24,20),-0.481555 # DEPENDENCYPART_ARC
(24,21),0.292063 # DEPENDENCYPART_ARC
(24,22),0.798897 # DEPENDENCYPART_ARC
(24,23),4.91015 # DEPENDENCYPART_ARC
(24,25),1.51086 # DEPENDENCYPART_ARC
(24,26),1.91124 # DEPENDENCYPART_ARC
(24,27),1.48619 # DEPENDENCYPART_ARC
(24,29),-1.84554 # DEPENDENCYPART_ARC
(24,30),-0.57146 # DEPENDENCYPART_ARC
(24,31),0.071329 # DEPENDENCYPART_ARC
(24,32),-0.337729 # DEPENDENCYPART_ARC
(24,33),0.174348 # DEPENDENCYPART_ARC
(24,34),-0.0553385 # DEPENDENCYPART_ARC
(24,35),-0.395468 # DEPENDENCYPART_ARC
(24,36),0.900608 # DEPENDENCYPART_ARC
(25,1),-2.22747 # DEPENDENCYPART_ARC
(25,2),-3.03648 # DEPENDENCYPART_ARC
(25,4),-2.13491 # DEPENDENCYPART_ARC
(25,5),-1.92047 # DEPENDENCYPART_ARC
(25,6),-2.66297 # DEPENDENCYPART_ARC
(25,7),-2.4924 # DEPENDENCYPART_ARC
(25,8),-1.55758 # DEPENDENCYPART_ARC
(25,9),-1.60391 # DEPENDENCYPART_ARC
(25,10),-1.5197 # DEPENDENCYPART_ARC
(25,11),-2.0494 # DEPENDENCYPART_ARC
(25,12),-0.651496 # DEPENDENCYPART_ARC
(25,14),-1.42441 # DEPENDENCYPART_ARC
(25,15),-1.14376 # DEPENDENCYPART_ARC
(25,16),-1.06133 # DEPENDENCYPART_ARC
(25,18),-0.972165 # DEPENDENCYPART_ARC
(25,19),-0.0273575 # DEPENDENCYPART_ARC
(25,20),-0.417247 # DEPENDENCYPART_ARC
(25,21),0.933497 # DEPENDENCYPART_ARC
(25,22),0.582435 # DEPENDENCYPART_ARC
(25,23),0.998033 # DEPENDENCYPART_ARC
(25,24),2.36266 # DEPENDENCYPART_ARC
(25,26),3.08237 # DEPENDENCYPART_ARC
(25,27),1.81738 # DEPENDENCYPART_ARC
(25,29),-0.32726 # DEPENDENCYPART_ARC
(25,30),0.266725 # DEPENDENCYPART_ARC
(25,31),0.057023 # DEPENDENCYPART_ARC
(25,32),0.301753 # DEPENDENCYPART_ARC
(25,33),-0.185024 # DEPENDENCYPART_ARC
(25,35),0.0221436 # DEPENDENCYPART_ARC
(25,36),0.29634 # DEPENDENCYPART_ARC
(26,1),-3.2119 # DEPENDENCYPART_ARC
(26,2),-3.77264 # DEPENDENCYPART_ARC
(26,3),-2.65619 # DEPENDENCYPART_ARC
(26,4),-2.33162 # DEPENDENCYPART_ARC
(26,5),-3.45866 # DEPENDENCYPART_ARC
(26,6),-3.7457 # DEPENDENCYPART_ARC
(26,7),-2.96895 # DEPENDENCYPART_ARC
(26,8),-3.6188 # DEPENDENCYPART_ARC
(26,9),-2.20047 # DEPENDENCYPART_ARC
(26,10),-3.08818 # DEPENDENCYPART_ARC
(26,11),-2.84605 # DEPENDENCYPART_ARC
(26,12),-3.28945 # DEPENDENCYPART_ARC
(26,13),-2.00149 # DEPENDENCYPART_ARC
(26,14),-1.46152 # DEPENDENCYPART_ARC
(26,15),-2.1443 # DEPENDENCYPART_ARC
(26,16),-1.86609 # DEPENDENCYPART_ARC
(26,17),-1.83777 # DEPENDENCYPART_ARC
(26,18),-2.06612 # DEPENDENCYPART_ARC
(26,19),-1.58645 # DEPENDENCYPART_ARC
(26,20),-1.85524 # DEPENDENCYPART_ARC
(26,21),-1.03065 # DEPENDENCYPART_ARC
(26,22),-0.267543 # DEPENDENCYPART_ARC
(26,23),-0.145266 # DEPENDENCYPART_ARC
(26,24),-0.358213 # DEPENDENCYPART_ARC
(26,25),1.20421 # DEPENDENCYPART_ARC
(26,27),3.45596 # DEPENDENCYPART_ARC
(26,28),0.660872 # DEPENDENCYPART_ARC
(26,29),-1.82767 # DEPENDENCYPART_ARC
(26,30),-0.237963 # DEPENDENCYPART_ARC
(26,31),-2.46325 # DEPENDENCYPART_ARC
(26,32),-1.61385 # DEPENDENCYPART_ARC
(26,33),-0.429386 # DEPENDENCYPART_ARC
(26,35),-4.53656 # DEPENDENCYPART_ARC
(26,36),0.286956 # DEPENDENCYPART_ARC
(27,1),-4.69849 # DEPENDENCYPART_ARC
(27,2),-2.14568 # DEPENDENCYPART_ARC
(27,3),-1.88876 # DEPENDENCYPART_ARC
(27,4),-0.651779 # DEPENDENCYPART_ARC
(27,5),-1.89369 # DEPENDENCYPART_ARC
(27,6),-4.59509 # DEPENDENCYPART_ARC
(27,7),-2.5628 # DEPENDENCYPART_ARC
(27,8),-2.96874 # DEPENDENCYPART_ARC
(27,9),-3.37995 # DEPENDENCYPART_ARC
(27,10),-1.78478 # DEPENDENCYPART_ARC
(27,11),-1.8281 # DEPENDENCYPART_ARC
(27,12),-0.155851 # DEPENDENCYPART_ARC
(27,13),0.650786 # DEPENDENCYPART_ARC
(27,14),0.203781 # DEPENDENCYPART_ARC
(27,15),-1.57942 # DEPENDENCYPART_ARC
(27,16),-1.6097 # DEPENDENCYPART_ARC
(27,17),-1.31533 # DEPENDENCYPART_ARC
(27,18),-1.58571 # DEPENDENCYPART_ARC
(27,19),-1.32204 # DEPENDENCYPART_ARC
(27,20),-1.12801 # DEPENDENCYPART_ARC
(27,21),1.68594 # DEPENDENCYPART_ARC
(27,22),0.906514 # DEPENDENCYPART_ARC
(27,24),0.64837 # DEPENDENCYPART_ARC
(27,25),0.53898 # DEPENDENCYPART_ARC
(27,26),1.37452 # DEPENDENCYPART_ARC
(27,28),2.32567 # DEPENDENCYPART_ARC
(27,29),-1.34159 # DEPENDENCYPART_ARC
(27,30),1.83592 # DEPENDENCYPART_ARC
(27,31),0.925239 # DEPENDENCYPART_ARC
(27,32),0.940864 # DEPENDENCYPART_ARC
(27,33),0.284729 # DEPENDENCYPART_ARC
(27,35),1.08902 # DEPENDENCYPART_ARC
(27,36),1.88894 # DEPENDENCYPART_ARC
(29,1),-5.45901 # DEPENDENCYPART_ARC
(29,2),-3.6552 # DEPENDENCYPART_ARC
(29,6),-4.30627 # DEPENDENCYPART_ARC
(29,7),-3.65243 # DEPENDENCYPART_ARC
(29,8),-3.88472 # DEPENDENCYPART_ARC
(29,9),-4.72442 # DEPENDENCYPART_ARC
(29,10),-3.33635 # DEPENDENCYPART_ARC
(29,11),-3.24859 # DEPENDENCYPART_ARC
(29,13),-3.60313 # DEPENDENCYPART_ARC
(29,16),-3.14205 # DEPENDENCYPART_ARC
(29,17),-2.81734 # DEPENDENCYPART_ARC
(29,18),-2.88472 # DEPENDENCYPART_ARC
(29,19),-2.34566 # DEPENDENCYPART_ARC
(29,20),-2.50391 # DEPENDENCYPART_ARC
(29,23),-2.16987 # DEPENDENCYPART_ARC
(29,24),-2.39581 # DEPENDENCYPART_ARC
(29,25),-1.41636 # DEPENDENCYPART_ARC
(29,26),-0.549892 # DEPENDENCYPART_ARC
(29,30),-0.555255 # DEPENDENCYPART_ARC
(29,31),-1.38912 # DEPENDENCYPART_ARC
(29,34),-2.80665 # DEPENDENCYPART_ARC
(29,35),-4.47687 # DEPENDENCYPART_ARC
(30,1),-11.1612 # DEPENDENCYPART_ARC
(30,2),-3.90144 # DEPENDENCYPART_ARC
(30,4),-3.55029 # DEPENDENCYPART_ARC
(30,5),-4.52924 # DEPENDENCYPART_ARC
(30,6),-2.46319 # DEPENDENCYPART_ARC
(30,7),-3.18144 # DEPENDENCYPART_ARC
(30,8),-2.59128 # DEPENDENCYPART_ARC
(30,9),-6.79094 # DEPENDENCYPART_ARC
(30,10),-2.49939 # DEPENDENCYPART_ARC
(30,11),-2.83708 # DEPENDENCYPART_ARC
(30,12),-2.25963 # DEPENDENCYPART_ARC
(30,13),-1.81058 # DEPENDENCYPART_ARC
(30,14),-3.16955 # DEPENDENCYPART_ARC
(30,15),-3.31038 # DEPENDENCYPART_ARC
(30,16),-5.19591 # DEPENDENCYPART_ARC
(30,17),-1.53862 # DEPENDENCYPART_ARC
(30,18),-2.56027 # DEPENDENCYPART_ARC
(30,19),-1.5787 # DEPENDENCYPART_ARC
(30,20),-1.97004 # DEPENDENCYPART_ARC
(30,21),-1.64139 # DEPENDENCYPART_ARC
(30,22),-0.810783 # DEPENDENCYPART_ARC
(30,23),-1.11907 # DEPENDENCYPART_ARC
(30,24),-1.90838 # DEPENDENCYPART_ARC
(30,25),-0.838333 # DEPENDENCYPART_ARC
(30,26),-0.295566 # DEPENDENCYPART_ARC
(30,27),-0.726596 # DEPENDENCYPART_ARC
(30,29),4.05549 # DEPENDENCYPART_ARC
(30,31),3.11089 # DEPENDENCYPART_ARC
(30,32),0.593549 # DEPENDENCYPART_ARC
(30,33),0.837478 # DEPENDENCYPART_ARC
(30,34),-0.41352 # DEPENDENCYPART_ARC
(30,35),-0.282504 # DEPENDENCYPART_ARC
(30,36),0.148045 # DEPENDENCYPART_ARC
(31,1),-12.4483 # DEPENDENCYPART_ARC
(31,2),-3.72986 # DEPENDENCYPART_ARC
(31,4),-4.11634 # DEPENDENCYPART_ARC
(31,5),-3.87447 # DEPENDENCYPART_ARC
(31,6),-2.67439 # DEPENDENCYPART_ARC
(31,7),-2.98529 # DEPENDENCYPART_ARC
(31,8),-2.80267 # DEPENDENCYPART_ARC
(31,9),-7.76495 # DEPENDENCYPART_ARC
(31,10),-2.88965 # DEPENDENCYPART_ARC
(31,11),-2.6858 # DEPENDENCYPART_ARC
(31,12),-2.70683 # DEPENDENCYPART_ARC
(31,13),-2.20004 # DEPENDENCYPART_ARC
(31,14),-3.73587 # DEPENDENCYPART_ARC
(31,15),-2.79234 # DEPENDENCYPART_ARC
(31,16),-6.08451 # DEPENDENCYPART_ARC
(31,17),-2.41195 # DEPENDENCYPART_ARC
(31,18),-2.39568 # DEPENDENCYPART_ARC
(31,19),-1.69143 # DEPENDENCYPART_ARC
(31,20),-2.05343 # DEPENDENCYPART_ARC
(31,21),-2.01643 # DEPENDENCYPART_ARC
(31,22),-1.07471 # DEPENDENCYPART_ARC
(31,23),-2.19771 # DEPENDENCYPART_ARC
(31,24),-1.8305 # DEPENDENCYPART_ARC
(31,25),-1.50032 # DEPENDENCYPART_ARC
(31,26),-0.331112 # DEPENDENCYPART_ARC
(31,27),-1.31116 # DEPENDENCYPART_ARC
(31,29),1.80482 # DEPENDENCYPART_ARC
(31,30),0.767751 # DEPENDENCYPART_ARC
(31,32),-0.737236 # DEPENDENCYPART_ARC
(31,33),-1.58391 # DEPENDENCYPART_ARC
(31,34),-2.51843 # DEPENDENCYPART_ARC
(31,35),-1.46171 # DEPENDENCYPART_ARC
(31,36),-1.29779 # DEPENDENCYPART_ARC
(32,1),-7.19344 # DEPENDENCYPART_ARC
(32,2),-3.89616 # DEPENDENCYPART_ARC
(32,3),-2.85963 # DEPENDENCYPART_ARC
(32,4),-3.01817 # DEPENDENCYPART_ARC
(32,5),-2.48387 # DEPENDENCYPART_ARC
(32,6),-5.62171 # DEPENDENCYPART_ARC
(32,7),-4.64323 # DEPENDENCYPART_ARC
(32,8),-4.27773 # DEPENDENCYPART_ARC
(32,9),-5.76436 # DEPENDENCYPART_ARC
(32,10),-1.78711 # DEPENDENCYPART_ARC
(32,11),-4.4444 # DEPENDENCYPART_ARC
(32,12),-2.52418 # DEPENDENCYPART_ARC
(32,13),-1.43393 # DEPENDENCYPART_ARC
(32,14),-3.25664 # DEPENDENCYPART_ARC
(32,15),-2.68803 # DEPENDENCYPART_ARC
(32,16),-4.35444 # DEPENDENCYPART_ARC
(32,18),-2.67871 # DEPENDENCYPART_ARC
(32,19),-1.88986 # DEPENDENCYPART_ARC
(32,20),-3.18669 # DEPENDENCYPART_ARC
(32,21),-1.10594 # DEPENDENCYPART_ARC
(32,22),-0.0010653 # DEPENDENCYPART_ARC
(32,23),-3.50058 # DEPENDENCYPART_ARC
(32,24),-1.11156 # DEPENDENCYPART_ARC
(32,25),-1.17631 # DEPENDENCYPART_ARC
(32,26),-1.38738 # DEPENDENCYPART_ARC
(32,27),-1.41477 # DEPENDENCYPART_ARC
(32,28),-0.159633 # DEPENDENCYPART_ARC
(32,29),-1.91572 # DEPENDENCYPART_ARC
(32,30),-0.24806 # DEPENDENCYPART_ARC
(32,31),-0.296704 # DEPENDENCYPART_ARC
(32,33),0.745142 # DEPENDENCYPART_ARC
(32,35),0.312727 # DEPENDENCYPART_ARC
(32,36),1.80381 # DEPENDENCYPART_ARC
(33,1),-4.32088 # DEPENDENCYPART_ARC
(33,2),-1.50012 # DEPENDENCYPART_ARC
(33,3),-0.565502 # DEPENDENCYPART_ARC
(33,4),0.235195 # DEPENDENCYPART_ARC
(33,5),-0.380035 # DEPENDENCYPART_ARC
(33,6),-4.81758 # DEPENDENCYPART_ARC
(33,7),-3.12554 # DEPENDENCYPART_ARC
(33,8),-1.67376 # DEPENDENCYPART_ARC
(33,9),-2.83913 # DEPENDENCYPART_ARC
(33,10),-0.73359 # DEPENDENCYPART_ARC
(33,11),-2.01372 # DEPENDENCYPART_ARC
(33,12),-0.806243 # DEPENDENCYPART_ARC
(33,13),0.667601 # DEPENDENCYPART_ARC
(33,14),0.333629 # DEPENDENCYPART_ARC
(33,15),-0.612063 # DEPENDENCYPART_ARC
(33,16),-1.47757 # DEPENDENCYPART_ARC
(33,17),0.0359598 # DEPENDENCYPART_ARC
(33,18),-0.681718 # DEPENDENCYPART_ARC
(33,19),-0.387646 # DEPENDENCYPART_ARC
(33,20),-0.739493 # DEPENDENCYPART_ARC
(33,21),1.85297 # DEPENDENCYPART_ARC
(33,22),2.067 # DEPENDENCYPART_ARC
(33,24),1.3367 # DEPENDENCYPART_ARC
(33,25),1.06548 # DEPENDENCYPART_ARC
(33,26),-0.0583731 # DEPENDENCYPART_ARC
(33,27),1.16537 # DEPENDENCYPART_ARC
(33,28),2.26839 # DEPENDENCYPART_ARC
(33,29),0.803013 # DEPENDENCYPART_ARC
(33,30),2.62324 # DEPENDENCYPART_ARC
(33,31),2.29486 # DEPENDENCYPART_ARC
(33,32),6.48268 # DEPENDENCYPART_ARC
(33,35),3.88348 # DEPENDENCYPART_ARC
(33,36),3.39097 # DEPENDENCYPART_ARC
(34,23),-2.98601 # DEPENDENCYPART_ARC
(34,25),-3.11335 # DEPENDENCYPART_ARC
(35,1),-13.924 # DEPENDENCYPART_ARC
(35,2),-4.35496 # DEPENDENCYPART_ARC
(35,4),-3.9565 # DEPENDENCYPART_ARC
(35,5),-3.87218 # DEPENDENCYPART_ARC
(35,6),-2.98708 # DEPENDENCYPART_ARC
(35,7),-3.02536 # DEPENDENCYPART_ARC
(35,8),-3.38725 # DEPENDENCYPART_ARC
(35,9),-8.68167 # DEPENDENCYPART_ARC
(35,10),-3.66392 # DEPENDENCYPART_ARC
(35,11),-2.6685 # DEPENDENCYPART_ARC
(35,12),-2.37826 # DEPENDENCYPART_ARC
(35,13),-1.10064 # DEPENDENCYPART_ARC
(35,14),-3.87227 # DEPENDENCYPART_ARC
(35,15),-2.80036 # DEPENDENCYPART_ARC
(35,16),-7.64406 # DEPENDENCYPART_ARC
(35,17),-2.53813 # DEPENDENCYPART_ARC
(35,18),-2.84695 # DEPENDENCYPART_ARC
(35,19),-2.54645 # DEPENDENCYPART_ARC
(35,20),-2.02145 # DEPENDENCYPART_ARC
(35,21),-2.12259 # DEPENDENCYPART_ARC
(35,22),-1.47577 # DEPENDENCYPART_ARC
(35,23),-2.77667 # DEPENDENCYPART_ARC
(35,24),-2.1093 # DEPENDENCYPART_ARC
(35,25),-1.97878 # DEPENDENCYPART_ARC
(35,26),-1.45145 # DEPENDENCYPART_ARC
(35,27),-1.08917 # DEPENDENCYPART_ARC
(35,29),-2.41342 # DEPENDENCYPART_ARC
(35,30),-1.74493 # DEPENDENCYPART_ARC
(35,31),-1.04103 # DEPENDENCYPART_ARC
(35,32),-1.37811 # DEPENDENCYPART_ARC
(35,33),-0.098565 # DEPENDENCYPART_ARC
(35,34),4.03397 # DEPENDENCYPART_ARC
(35,36),0.361822 # DEPENDENCYPART_ARC
