# _root_ En la fase final del premi , que es desenvoluparà entre el 7_de_juny i el 2_de_juliol , els equips disposaran de tres milions de pessetes reals cadascun que podran invertir .
#goldHeads=20,3,1,3,3,5,10,10,10,3,13,13,10,13,16,13,10,19,20,0,20,23,21,23,24,23,20,30,30,23,20,
#predictedHeads=20,3,1,3,3,5,1,10,10,6,13,13,10,13,16,13,16,19,20,0,20,23,21,23,24,23,30,30,30,23,10,
(23,8),-1.14568 # DEPENDENCYPART_ARC
(23,10),-0.528682 # DEPENDENCYPART_ARC
(23,11),-0.521372 # DEPENDENCYPART_ARC
(23,12),-3.16608 # DEPENDENCYPART_ARC
(23,13),-1.76935 # DEPENDENCYPART_ARC
(23,14),-1.01048 # DEPENDENCYPART_ARC
(23,15),-2.54548 # DEPENDENCYPART_ARC
(23,16),-1.87978 # DEPENDENCYPART_ARC
(23,17),-0.482552 # DEPENDENCYPART_ARC
(23,18),0.547824 # DEPENDENCYPART_ARC
(23,19),-1.15978 # DEPENDENCYPART_ARC
(23,20),-0.242794 # DEPENDENCYPART_ARC
(23,21),1.39034 # DEPENDENCYPART_ARC
(23,22),3.36172 # DEPENDENCYPART_ARC
(23,24),3.21737 # DEPENDENCYPART_ARC
(23,25),0.190612 # DEPENDENCYPART_ARC
(23,26),2.43034 # DEPENDENCYPART_ARC
(23,27),0.639468 # DEPENDENCYPART_ARC
(23,28),-1.50346 # DEPENDENCYPART_ARC
(23,29),3.228 # DEPENDENCYPART_ARC
(23,30),2.07605 # DEPENDENCYPART_ARC
(23,31),1.23623 # DEPENDENCYPART_ARC
(24,1),-3.26465 # DEPENDENCYPART_ARC
(24,2),-2.91347 # DEPENDENCYPART_ARC
(24,3),-3.1499 # DEPENDENCYPART_ARC
(24,4),-2.84422 # DEPENDENCYPART_ARC
(24,5),-2.84964 # DEPENDENCYPART_ARC
(24,6),-2.79671 # DEPENDENCYPART_ARC
(24,7),-2.90697 # DEPENDENCYPART_ARC
(24,8),-2.00179 # DEPENDENCYPART_ARC
(24,9),-2.10627 # DEPENDENCYPART_ARC
(24,10),-2.68038 # DEPENDENCYPART_ARC
(24,11),-1.55801 # DEPENDENCYPART_ARC
(24,12),-2.37017 # DEPENDENCYPART_ARC
(24,13),-2.18272 # DEPENDENCYPART_ARC
(24,14),-1.91632 # DEPENDENCYPART_ARC
(24,15),-2.41677 # DEPENDENCYPART_ARC
(24,16),-2.13395 # DEPENDENCYPART_ARC
(24,17),-2.00613 # DEPENDENCYPART_ARC
(24,18),-2.04705 # DEPENDENCYPART_ARC
(24,19),-2.23969 # DEPENDENCYPART_ARC
(24,20),-1.16308 # DEPENDENCYPART_ARC
(24,21),-0.686003 # DEPENDENCYPART_ARC
(24,22),0.0550901 # DEPENDENCYPART_ARC
(24,23),0.0489054 # DEPENDENCYPART_ARC
(24,25),2.26739 # DEPENDENCYPART_ARC
(24,26),1.25771 # DEPENDENCYPART_ARC
(24,27),-1.08907 # DEPENDENCYPART_ARC
(24,28),-1.54834 # DEPENDENCYPART_ARC
(24,29),0.336351 # DEPENDENCYPART_ARC
(24,30),0.0355132 # DEPENDENCYPART_ARC
(24,31),-1.26823 # DEPENDENCYPART_ARC
(25,1),-2.75664 # DEPENDENCYPART_ARC
(25,2),-3.16321 # DEPENDENCYPART_ARC
(25,3),-2.98562 # DEPENDENCYPART_ARC
(25,4),-1.82773 # DEPENDENCYPART_ARC
(25,5),-1.2652 # DEPENDENCYPART_ARC
(25,6),-2.54323 # DEPENDENCYPART_ARC
(25,7),-2.74501 # DEPENDENCYPART_ARC
(25,10),-2.22989 # DEPENDENCYPART_ARC
(25,11),-1.06966 # DEPENDENCYPART_ARC
(25,12),-1.6515 # DEPENDENCYPART_ARC
(25,14),-1.51402 # DEPENDENCYPART_ARC
(25,15),-1.1714 # DEPENDENCYPART_ARC
(25,17),-1.66058 # DEPENDENCYPART_ARC
(25,18),-0.66196 # DEPENDENCYPART_ARC
(25,19),-1.65312 # DEPENDENCYPART_ARC
(25,20),-1.32733 # DEPENDENCYPART_ARC
(25,21),-0.0751652 # DEPENDENCYPART_ARC
(25,22),0.878222 # DEPENDENCYPART_ARC
(25,23),-0.127236 # DEPENDENCYPART_ARC
(25,24),1.50347 # DEPENDENCYPART_ARC
(25,26),1.25004 # DEPENDENCYPART_ARC
(25,27),0.244143 # DEPENDENCYPART_ARC
(25,29),1.25148 # DEPENDENCYPART_ARC
(25,30),0.291921 # DEPENDENCYPART_ARC
(25,31),-0.0337272 # DEPENDENCYPART_ARC
(26,1),-2.09082 # DEPENDENCYPART_ARC
(26,2),-2.45196 # DEPENDENCYPART_ARC
(26,3),-3.02524 # DEPENDENCYPART_ARC
(26,4),-4.78075 # DEPENDENCYPART_ARC
(26,5),-3.43164 # DEPENDENCYPART_ARC
(26,6),-3.29169 # DEPENDENCYPART_ARC
(26,7),-2.99253 # DEPENDENCYPART_ARC
(26,8),-1.4751 # DEPENDENCYPART_ARC
(26,10),-2.40405 # DEPENDENCYPART_ARC
(26,11),-1.87841 # DEPENDENCYPART_ARC
(26,12),-1.97192 # DEPENDENCYPART_ARC
(26,13),-2.10936 # DEPENDENCYPART_ARC
(26,14),-1.92062 # DEPENDENCYPART_ARC
(26,15),-1.82389 # DEPENDENCYPART_ARC
(26,16),-1.90011 # DEPENDENCYPART_ARC
(26,17),-1.3986 # DEPENDENCYPART_ARC
(26,18),-1.46394 # DEPENDENCYPART_ARC
(26,19),-2.2321 # DEPENDENCYPART_ARC
(26,20),-1.83013 # DEPENDENCYPART_ARC
(26,21),-0.0185307 # DEPENDENCYPART_ARC
(26,22),-0.82905 # DEPENDENCYPART_ARC
(26,23),-1.05932 # DEPENDENCYPART_ARC
(26,24),1.04981 # DEPENDENCYPART_ARC
(26,27),0.359481 # DEPENDENCYPART_ARC
(26,28),-1.51507 # DEPENDENCYPART_ARC
(26,29),0.767239 # DEPENDENCYPART_ARC
(26,30),-0.204448 # DEPENDENCYPART_ARC
(26,31),-0.525645 # DEPENDENCYPART_ARC
(27,1),-1.94154 # DEPENDENCYPART_ARC
(27,2),-2.69312 # DEPENDENCYPART_ARC
(27,3),-2.45444 # DEPENDENCYPART_ARC
(27,4),-1.64169 # DEPENDENCYPART_ARC
(27,5),-0.95334 # DEPENDENCYPART_ARC
(27,6),-2.26262 # DEPENDENCYPART_ARC
(27,7),-0.693205 # DEPENDENCYPART_ARC
(27,10),-1.51886 # DEPENDENCYPART_ARC
(27,11),-0.560348 # DEPENDENCYPART_ARC
(27,12),-0.874137 # DEPENDENCYPART_ARC
(27,13),-0.885174 # DEPENDENCYPART_ARC
(27,14),-0.747341 # DEPENDENCYPART_ARC
(27,15),-1.08002 # DEPENDENCYPART_ARC
(27,16),-0.90451 # DEPENDENCYPART_ARC
(27,17),0.0164776 # DEPENDENCYPART_ARC
(27,18),-1.26083 # DEPENDENCYPART_ARC
(27,19),-1.75274 # DEPENDENCYPART_ARC
(27,20),-0.996843 # DEPENDENCYPART_ARC
(27,21),0.092245 # DEPENDENCYPART_ARC
(27,22),0.77708 # DEPENDENCYPART_ARC
(27,23),-1.16027 # DEPENDENCYPART_ARC
(27,24),0.491251 # DEPENDENCYPART_ARC
(27,26),1.45281 # DEPENDENCYPART_ARC
(27,29),3.53 # DEPENDENCYPART_ARC
(27,30),3.61239 # DEPENDENCYPART_ARC
(27,31),2.05915 # DEPENDENCYPART_ARC
(28,1),-3.59815 # DEPENDENCYPART_ARC
(28,2),-6.33282 # DEPENDENCYPART_ARC
(28,3),-4.57314 # DEPENDENCYPART_ARC
(28,4),-4.26792 # DEPENDENCYPART_ARC
(28,5),-4.05375 # DEPENDENCYPART_ARC
(28,6),-4.6039 # DEPENDENCYPART_ARC
(28,10),-3.21005 # DEPENDENCYPART_ARC
(28,11),-2.22182 # DEPENDENCYPART_ARC
(28,12),-5.24325 # DEPENDENCYPART_ARC
(28,15),-5.39957 # DEPENDENCYPART_ARC
(28,18),-4.92641 # DEPENDENCYPART_ARC
(28,19),-3.8139 # DEPENDENCYPART_ARC
(28,20),-2.41309 # DEPENDENCYPART_ARC
(28,21),-1.52697 # DEPENDENCYPART_ARC
(28,23),-3.32108 # DEPENDENCYPART_ARC
(28,24),-1.32324 # DEPENDENCYPART_ARC
(28,26),-1.48945 # DEPENDENCYPART_ARC
(28,29),0.0723833 # DEPENDENCYPART_ARC
(28,30),-0.979981 # DEPENDENCYPART_ARC
(29,1),-2.8888 # DEPENDENCYPART_ARC
(29,2),-7.42308 # DEPENDENCYPART_ARC
(29,3),-6.27865 # DEPENDENCYPART_ARC
(29,4),-5.15829 # DEPENDENCYPART_ARC
(29,5),-6.3635 # DEPENDENCYPART_ARC
(29,6),-6.90988 # DEPENDENCYPART_ARC
(29,7),-3.86375 # DEPENDENCYPART_ARC
(29,8),-3.44721 # DEPENDENCYPART_ARC
(29,9),-3.05565 # DEPENDENCYPART_ARC
(29,10),-6.28298 # DEPENDENCYPART_ARC
(29,11),-3.39116 # DEPENDENCYPART_ARC
(29,12),-5.72976 # DEPENDENCYPART_ARC
(29,13),-3.77608 # DEPENDENCYPART_ARC
(29,14),-3.64483 # DEPENDENCYPART_ARC
(29,15),-5.47689 # DEPENDENCYPART_ARC
(29,16),-3.6971 # DEPENDENCYPART_ARC
(29,17),-3.7307 # DEPENDENCYPART_ARC
(29,18),-5.13671 # DEPENDENCYPART_ARC
(29,19),-2.61815 # DEPENDENCYPART_ARC
(29,20),-4.21004 # DEPENDENCYPART_ARC
(29,21),-3.45237 # DEPENDENCYPART_ARC
(29,23),-2.1418 # DEPENDENCYPART_ARC
(29,24),-2.80949 # DEPENDENCYPART_ARC
(29,25),-2.66736 # DEPENDENCYPART_ARC
(29,26),-2.4285 # DEPENDENCYPART_ARC
(29,27),-1.03249 # DEPENDENCYPART_ARC
(29,28),1.96065 # DEPENDENCYPART_ARC
(29,30),1.25935 # DEPENDENCYPART_ARC
(29,31),0.0193537 # DEPENDENCYPART_ARC
(30,1),1.27222 # DEPENDENCYPART_ARC
(30,2),-2.83066 # DEPENDENCYPART_ARC
(30,3),-1.42856 # DEPENDENCYPART_ARC
(30,4),-0.911495 # DEPENDENCYPART_ARC
(30,5),-3.35546 # DEPENDENCYPART_ARC
(30,6),-2.93066 # DEPENDENCYPART_ARC
(30,7),-0.401343 # DEPENDENCYPART_ARC
(30,8),0.266847 # DEPENDENCYPART_ARC
(30,9),0.672312 # DEPENDENCYPART_ARC
(30,10),-0.326965 # DEPENDENCYPART_ARC
(30,11),0.569371 # DEPENDENCYPART_ARC
(30,12),-1.35777 # DEPENDENCYPART_ARC
(30,13),-0.157389 # DEPENDENCYPART_ARC
(30,14),0.357043 # DEPENDENCYPART_ARC
(30,15),-0.800522 # DEPENDENCYPART_ARC
(30,16),-0.0282924 # DEPENDENCYPART_ARC
(30,17),0.272767 # DEPENDENCYPART_ARC
(30,18),-0.646824 # DEPENDENCYPART_ARC
(30,19),1.34938 # DEPENDENCYPART_ARC
(30,20),1.67596 # DEPENDENCYPART_ARC
(30,21),0.563626 # DEPENDENCYPART_ARC
(30,23),1.49443 # DEPENDENCYPART_ARC
(30,24),0.627437 # DEPENDENCYPART_ARC
(30,25),0.681641 # DEPENDENCYPART_ARC
(30,26),1.11385 # DEPENDENCYPART_ARC
(30,27),2.61132 # DEPENDENCYPART_ARC
(30,28),4.94072 # DEPENDENCYPART_ARC
(30,29),6.68355 # DEPENDENCYPART_ARC
(30,31),3.55509 # DEPENDENCYPART_ARC
(31,13),-3.72276 # DEPENDENCYPART_ARC
(31,14),-3.15374 # DEPENDENCYPART_ARC
(31,16),-3.73241 # DEPENDENCYPART_ARC
