# _root_ A_través_d' aquest programa , que pretén promoure els intercanvis i la cooperació entre França i l' estat espanyol , les dues cambres de comerç volen fomentar l' intercanvi entre empreses catalanes i franceses .
#goldHeads=26,3,1,6,6,3,6,9,7,9,12,9,9,13,14,17,14,17,6,22,20,26,22,23,26,0,28,26,28,29,30,31,31,26,
#predictedHeads=6,3,1,1,6,0,6,9,7,9,12,9,9,13,12,17,14,17,9,22,20,25,22,23,7,25,28,26,9,29,30,31,31,6,
(15,9),-3.30924 # DEPENDENCYPART_ARC
(15,10),-2.49729 # DEPENDENCYPART_ARC
(15,11),-2.54157 # DEPENDENCYPART_ARC
(15,12),-2.84045 # DEPENDENCYPART_ARC
(15,13),-1.47522 # DEPENDENCYPART_ARC
(15,14),-1.50191 # DEPENDENCYPART_ARC
(15,16),-2.11766 # DEPENDENCYPART_ARC
(15,17),-1.15549 # DEPENDENCYPART_ARC
(15,18),-1.93827 # DEPENDENCYPART_ARC
(15,19),-1.97111 # DEPENDENCYPART_ARC
(15,20),-3.36286 # DEPENDENCYPART_ARC
(15,21),-3.69318 # DEPENDENCYPART_ARC
(15,22),-3.59923 # DEPENDENCYPART_ARC
(15,23),-2.93507 # DEPENDENCYPART_ARC
(15,24),-3.89361 # DEPENDENCYPART_ARC
(15,25),-2.31986 # DEPENDENCYPART_ARC
(15,26),-2.98279 # DEPENDENCYPART_ARC
(15,27),-4.33518 # DEPENDENCYPART_ARC
(15,28),-4.97426 # DEPENDENCYPART_ARC
(15,29),-3.34675 # DEPENDENCYPART_ARC
(15,30),-4.91012 # DEPENDENCYPART_ARC
(15,31),-3.08972 # DEPENDENCYPART_ARC
(15,32),-2.32469 # DEPENDENCYPART_ARC
(15,33),-3.28001 # DEPENDENCYPART_ARC
(15,34),-2.39285 # DEPENDENCYPART_ARC
(16,1),-2.20622 # DEPENDENCYPART_ARC
(16,2),-1.8271 # DEPENDENCYPART_ARC
(16,3),-3.14803 # DEPENDENCYPART_ARC
(16,4),-2.30963 # DEPENDENCYPART_ARC
(16,5),-2.98526 # DEPENDENCYPART_ARC
(16,6),-2.13497 # DEPENDENCYPART_ARC
(16,7),-3.11979 # DEPENDENCYPART_ARC
(16,8),-2.27481 # DEPENDENCYPART_ARC
(16,9),-2.85927 # DEPENDENCYPART_ARC
(16,10),-1.78277 # DEPENDENCYPART_ARC
(16,11),-0.407185 # DEPENDENCYPART_ARC
(16,12),-1.97534 # DEPENDENCYPART_ARC
(16,13),-0.539658 # DEPENDENCYPART_ARC
(16,14),-1.02237 # DEPENDENCYPART_ARC
(16,15),-0.0511349 # DEPENDENCYPART_ARC
(16,17),-0.947326 # DEPENDENCYPART_ARC
(16,18),-1.73611 # DEPENDENCYPART_ARC
(16,19),-2.28753 # DEPENDENCYPART_ARC
(16,20),-1.49999 # DEPENDENCYPART_ARC
(16,21),-0.00613812 # DEPENDENCYPART_ARC
(16,22),-3.68793 # DEPENDENCYPART_ARC
(16,23),-2.53101 # DEPENDENCYPART_ARC
(16,24),-4.19287 # DEPENDENCYPART_ARC
(16,25),-3.8486 # DEPENDENCYPART_ARC
(16,26),-3.67501 # DEPENDENCYPART_ARC
(16,27),-3.7611 # DEPENDENCYPART_ARC
(16,28),-4.8608 # DEPENDENCYPART_ARC
(16,29),-4.72593 # DEPENDENCYPART_ARC
(16,30),-5.50256 # DEPENDENCYPART_ARC
(16,31),-4.7786 # DEPENDENCYPART_ARC
(16,32),-4.01799 # DEPENDENCYPART_ARC
(16,33),-4.63863 # DEPENDENCYPART_ARC
(16,34),-4.24826 # DEPENDENCYPART_ARC
(17,1),-1.29153 # DEPENDENCYPART_ARC
(17,2),-3.14915 # DEPENDENCYPART_ARC
(17,3),-2.84487 # DEPENDENCYPART_ARC
(17,4),-1.62198 # DEPENDENCYPART_ARC
(17,5),0.063388 # DEPENDENCYPART_ARC
(17,6),-2.03884 # DEPENDENCYPART_ARC
(17,7),-1.60473 # DEPENDENCYPART_ARC
(17,8),-1.57677 # DEPENDENCYPART_ARC
(17,9),-2.18111 # DEPENDENCYPART_ARC
(17,10),-0.284036 # DEPENDENCYPART_ARC
(17,11),1.11093 # DEPENDENCYPART_ARC
(17,12),-1.33273 # DEPENDENCYPART_ARC
(17,13),0.0836875 # DEPENDENCYPART_ARC
(17,14),-0.382035 # DEPENDENCYPART_ARC
(17,15),0.750171 # DEPENDENCYPART_ARC
(17,16),4.46232 # DEPENDENCYPART_ARC
(17,18),4.45469 # DEPENDENCYPART_ARC
(17,19),1.13955 # DEPENDENCYPART_ARC
(17,20),-1.02044 # DEPENDENCYPART_ARC
(17,21),-1.17808 # DEPENDENCYPART_ARC
(17,22),1.41731 # DEPENDENCYPART_ARC
(17,23),1.97081 # DEPENDENCYPART_ARC
(17,24),1.35123 # DEPENDENCYPART_ARC
(17,25),1.16088 # DEPENDENCYPART_ARC
(17,26),0.532854 # DEPENDENCYPART_ARC
(17,27),-1.55051 # DEPENDENCYPART_ARC
(17,28),0.16597 # DEPENDENCYPART_ARC
(17,29),0.508365 # DEPENDENCYPART_ARC
(17,30),0.0928375 # DEPENDENCYPART_ARC
(17,31),-2.9957 # DEPENDENCYPART_ARC
(17,32),-0.204869 # DEPENDENCYPART_ARC
(17,33),-4.07405 # DEPENDENCYPART_ARC
(17,34),0.556217 # DEPENDENCYPART_ARC
(18,1),-2.12497 # DEPENDENCYPART_ARC
(18,2),-2.04937 # DEPENDENCYPART_ARC
(18,3),-2.78751 # DEPENDENCYPART_ARC
(18,4),-2.71525 # DEPENDENCYPART_ARC
(18,5),-0.992808 # DEPENDENCYPART_ARC
(18,6),-1.96346 # DEPENDENCYPART_ARC
(18,7),-2.05029 # DEPENDENCYPART_ARC
(18,8),-2.05859 # DEPENDENCYPART_ARC
(18,9),-2.78167 # DEPENDENCYPART_ARC
(18,10),-0.777522 # DEPENDENCYPART_ARC
(18,11),-0.748506 # DEPENDENCYPART_ARC
(18,12),-1.5436 # DEPENDENCYPART_ARC
(18,13),0.048103 # DEPENDENCYPART_ARC
(18,14),-1.11411 # DEPENDENCYPART_ARC
(18,15),-0.0787527 # DEPENDENCYPART_ARC
(18,16),1.28307 # DEPENDENCYPART_ARC
(18,17),0.469041 # DEPENDENCYPART_ARC
(18,19),-0.533501 # DEPENDENCYPART_ARC
(18,20),-2.11179 # DEPENDENCYPART_ARC
(18,21),-2.5265 # DEPENDENCYPART_ARC
(18,22),-1.57427 # DEPENDENCYPART_ARC
(18,23),-1.62139 # DEPENDENCYPART_ARC
(18,24),-1.42813 # DEPENDENCYPART_ARC
(18,25),-1.4814 # DEPENDENCYPART_ARC
(18,26),-2.16675 # DEPENDENCYPART_ARC
(18,27),-3.28764 # DEPENDENCYPART_ARC
(18,28),-2.40831 # DEPENDENCYPART_ARC
(18,29),-3.05166 # DEPENDENCYPART_ARC
(18,30),-2.60076 # DEPENDENCYPART_ARC
(18,31),-4.25307 # DEPENDENCYPART_ARC
(18,32),0.168693 # DEPENDENCYPART_ARC
(18,33),-2.78288 # DEPENDENCYPART_ARC
(18,34),-1.32773 # DEPENDENCYPART_ARC
(19,1),-2.29363 # DEPENDENCYPART_ARC
(19,2),-2.77592 # DEPENDENCYPART_ARC
(19,3),-2.93245 # DEPENDENCYPART_ARC
(19,4),-1.6565 # DEPENDENCYPART_ARC
(19,5),-2.32135 # DEPENDENCYPART_ARC
(19,6),-2.62761 # DEPENDENCYPART_ARC
(19,7),-2.40976 # DEPENDENCYPART_ARC
(19,8),-2.38137 # DEPENDENCYPART_ARC
(19,9),-2.28676 # DEPENDENCYPART_ARC
(19,10),-1.72517 # DEPENDENCYPART_ARC
(19,11),-2.31064 # DEPENDENCYPART_ARC
(19,12),-2.32192 # DEPENDENCYPART_ARC
(19,13),-1.42799 # DEPENDENCYPART_ARC
(19,14),-2.06159 # DEPENDENCYPART_ARC
(19,15),-1.35516 # DEPENDENCYPART_ARC
(19,16),-1.36696 # DEPENDENCYPART_ARC
(19,17),-1.36618 # DEPENDENCYPART_ARC
(19,18),0.0055663 # DEPENDENCYPART_ARC
(19,20),-0.876101 # DEPENDENCYPART_ARC
(19,21),-1.53721 # DEPENDENCYPART_ARC
(19,22),-1.18512 # DEPENDENCYPART_ARC
(19,23),-1.60783 # DEPENDENCYPART_ARC
(19,24),-1.58434 # DEPENDENCYPART_ARC
(19,25),-1.23361 # DEPENDENCYPART_ARC
(19,26),-1.72529 # DEPENDENCYPART_ARC
(19,27),-2.72312 # DEPENDENCYPART_ARC
(19,28),-2.07003 # DEPENDENCYPART_ARC
(19,29),-2.16046 # DEPENDENCYPART_ARC
(19,30),-2.21129 # DEPENDENCYPART_ARC
(19,31),-2.28844 # DEPENDENCYPART_ARC
(19,32),-1.09007 # DEPENDENCYPART_ARC
(19,33),-2.17546 # DEPENDENCYPART_ARC
(19,34),-1.70907 # DEPENDENCYPART_ARC
(20,1),-2.98939 # DEPENDENCYPART_ARC
(20,2),-2.30205 # DEPENDENCYPART_ARC
(20,3),-3.64662 # DEPENDENCYPART_ARC
(20,4),-2.3522 # DEPENDENCYPART_ARC
(20,5),-2.73344 # DEPENDENCYPART_ARC
(20,6),-2.3242 # DEPENDENCYPART_ARC
(20,7),-3.13463 # DEPENDENCYPART_ARC
(20,8),-1.32981 # DEPENDENCYPART_ARC
(20,9),-2.31538 # DEPENDENCYPART_ARC
(20,10),-1.67 # DEPENDENCYPART_ARC
(20,11),-1.63261 # DEPENDENCYPART_ARC
(20,12),-2.6593 # DEPENDENCYPART_ARC
(20,13),-1.72588 # DEPENDENCYPART_ARC
(20,14),-2.18757 # DEPENDENCYPART_ARC
(20,15),-1.50067 # DEPENDENCYPART_ARC
(20,16),-2.06301 # DEPENDENCYPART_ARC
(20,17),-1.90501 # DEPENDENCYPART_ARC
(20,18),-1.10591 # DEPENDENCYPART_ARC
(20,19),0.063768 # DEPENDENCYPART_ARC
(20,21),6.60844 # DEPENDENCYPART_ARC
(20,22),0.364261 # DEPENDENCYPART_ARC
(20,23),0.0893176 # DEPENDENCYPART_ARC
(20,24),-1.90937 # DEPENDENCYPART_ARC
(20,25),-0.451923 # DEPENDENCYPART_ARC
(20,26),-1.33964 # DEPENDENCYPART_ARC
(20,27),-1.16488 # DEPENDENCYPART_ARC
(20,28),-3.60197 # DEPENDENCYPART_ARC
(20,29),-2.75136 # DEPENDENCYPART_ARC
(20,30),-2.95997 # DEPENDENCYPART_ARC
(20,31),-1.27216 # DEPENDENCYPART_ARC
(20,32),-1.708 # DEPENDENCYPART_ARC
(20,33),-1.23239 # DEPENDENCYPART_ARC
(20,34),-1.71094 # DEPENDENCYPART_ARC
(21,1),-3.03528 # DEPENDENCYPART_ARC
(21,2),-2.53863 # DEPENDENCYPART_ARC
(21,3),-3.47573 # DEPENDENCYPART_ARC
(21,4),-2.4583 # DEPENDENCYPART_ARC
(21,5),-2.72017 # DEPENDENCYPART_ARC
(21,6),-2.26304 # DEPENDENCYPART_ARC
(21,7),-3.19424 # DEPENDENCYPART_ARC
(21,8),-1.85804 # DEPENDENCYPART_ARC
(21,9),-2.14476 # DEPENDENCYPART_ARC
(21,10),-1.80631 # DEPENDENCYPART_ARC
(21,11),-2.01088 # DEPENDENCYPART_ARC
(21,12),-2.59967 # DEPENDENCYPART_ARC
(21,13),-1.73281 # DEPENDENCYPART_ARC
(21,14),-2.14407 # DEPENDENCYPART_ARC
(21,15),-1.63311 # DEPENDENCYPART_ARC
(21,16),-2.8393 # DEPENDENCYPART_ARC
(21,17),-2.09292 # DEPENDENCYPART_ARC
(21,18),-1.64404 # DEPENDENCYPART_ARC
(21,19),-0.627005 # DEPENDENCYPART_ARC
(21,20),2.36504 # DEPENDENCYPART_ARC
(21,22),1.93019 # DEPENDENCYPART_ARC
(21,23),1.34145 # DEPENDENCYPART_ARC
(21,24),-1.25737 # DEPENDENCYPART_ARC
(21,25),-0.572229 # DEPENDENCYPART_ARC
(21,26),-1.10464 # DEPENDENCYPART_ARC
(21,27),-2.09516 # DEPENDENCYPART_ARC
(21,28),-2.7798 # DEPENDENCYPART_ARC
(21,29),-2.24584 # DEPENDENCYPART_ARC
(21,30),-2.53981 # DEPENDENCYPART_ARC
(21,31),-1.76072 # DEPENDENCYPART_ARC
(21,32),-2.40449 # DEPENDENCYPART_ARC
(21,33),-1.76565 # DEPENDENCYPART_ARC
(21,34),-2.20806 # DEPENDENCYPART_ARC
(22,1),-2.60036 # DEPENDENCYPART_ARC
(22,2),-4.40458 # DEPENDENCYPART_ARC
(22,3),-3.57501 # DEPENDENCYPART_ARC
(22,4),-1.61664 # DEPENDENCYPART_ARC
(22,5),-0.143147 # DEPENDENCYPART_ARC
(22,6),0.0401448 # DEPENDENCYPART_ARC
(22,7),-0.542875 # DEPENDENCYPART_ARC
(22,8),-1.33122 # DEPENDENCYPART_ARC
(22,9),-1.47647 # DEPENDENCYPART_ARC
(22,10),-0.568088 # DEPENDENCYPART_ARC
(22,11),-0.907023 # DEPENDENCYPART_ARC
(22,12),-1.72452 # DEPENDENCYPART_ARC
(22,13),-1.01794 # DEPENDENCYPART_ARC
(22,14),-1.19603 # DEPENDENCYPART_ARC
(22,15),-0.440464 # DEPENDENCYPART_ARC
(22,16),-0.725044 # DEPENDENCYPART_ARC
(22,17),-1.78585 # DEPENDENCYPART_ARC
(22,18),-2.39135 # DEPENDENCYPART_ARC
(22,19),0.139338 # DEPENDENCYPART_ARC
(22,20),4.1749 # DEPENDENCYPART_ARC
(22,21),3.70593 # DEPENDENCYPART_ARC
(22,23),4.33045 # DEPENDENCYPART_ARC
(22,24),1.40401 # DEPENDENCYPART_ARC
(22,25),2.49611 # DEPENDENCYPART_ARC
(22,26),1.22071 # DEPENDENCYPART_ARC
(22,27),-1.3889 # DEPENDENCYPART_ARC
(22,28),0.0467788 # DEPENDENCYPART_ARC
(22,29),1.32142 # DEPENDENCYPART_ARC
(22,30),0.548276 # DEPENDENCYPART_ARC
(22,31),1.7865 # DEPENDENCYPART_ARC
(22,32),-0.00909458 # DEPENDENCYPART_ARC
(22,33),0.93689 # DEPENDENCYPART_ARC
(22,34),1.16266 # DEPENDENCYPART_ARC
(23,1),-3.29092 # DEPENDENCYPART_ARC
(23,2),-2.42489 # DEPENDENCYPART_ARC
(23,3),-2.54754 # DEPENDENCYPART_ARC
(23,4),-2.90562 # DEPENDENCYPART_ARC
(23,5),-0.917498 # DEPENDENCYPART_ARC
(23,6),-1.65344 # DEPENDENCYPART_ARC
(23,7),-1.67557 # DEPENDENCYPART_ARC
(23,8),-1.47958 # DEPENDENCYPART_ARC
(23,9),-1.86639 # DEPENDENCYPART_ARC
(23,10),-1.49715 # DEPENDENCYPART_ARC
(23,11),-1.45767 # DEPENDENCYPART_ARC
(23,12),-1.65067 # DEPENDENCYPART_ARC
(23,13),-0.941269 # DEPENDENCYPART_ARC
(23,14),-1.53782 # DEPENDENCYPART_ARC
(23,15),-1.28552 # DEPENDENCYPART_ARC
(23,16),-1.43223 # DEPENDENCYPART_ARC
(23,17),-1.674 # DEPENDENCYPART_ARC
(23,18),-1.4585 # DEPENDENCYPART_ARC
(23,19),-0.121788 # DEPENDENCYPART_ARC
(23,20),0.549294 # DEPENDENCYPART_ARC
(23,21),1.20452 # DEPENDENCYPART_ARC
(23,22),0.627615 # DEPENDENCYPART_ARC
(23,24),4.27505 # DEPENDENCYPART_ARC
(23,25),-0.141463 # DEPENDENCYPART_ARC
(23,26),-0.846898 # DEPENDENCYPART_ARC
(23,27),-2.34219 # DEPENDENCYPART_ARC
(23,28),-2.358 # DEPENDENCYPART_ARC
(23,29),-2.46231 # DEPENDENCYPART_ARC
(23,30),-3.28252 # DEPENDENCYPART_ARC
(23,31),-2.93642 # DEPENDENCYPART_ARC
(23,32),-1.06731 # DEPENDENCYPART_ARC
(23,33),-2.77287 # DEPENDENCYPART_ARC
(23,34),-0.785115 # DEPENDENCYPART_ARC
(24,1),-2.66381 # DEPENDENCYPART_ARC
(24,2),-5.72083 # DEPENDENCYPART_ARC
(24,3),-3.53102 # DEPENDENCYPART_ARC
(24,4),-2.65742 # DEPENDENCYPART_ARC
(24,5),-1.11463 # DEPENDENCYPART_ARC
(24,6),-1.76368 # DEPENDENCYPART_ARC
(24,7),-1.49962 # DEPENDENCYPART_ARC
(24,8),-3.82825 # DEPENDENCYPART_ARC
(24,9),-2.74542 # DEPENDENCYPART_ARC
(24,10),-0.784169 # DEPENDENCYPART_ARC
(24,11),-1.86595 # DEPENDENCYPART_ARC
(24,12),-2.06617 # DEPENDENCYPART_ARC
(24,13),-0.823434 # DEPENDENCYPART_ARC
(24,14),-1.356 # DEPENDENCYPART_ARC
(24,15),-0.744665 # DEPENDENCYPART_ARC
(24,16),-0.765594 # DEPENDENCYPART_ARC
(24,17),-1.76678 # DEPENDENCYPART_ARC
(24,18),-1.22247 # DEPENDENCYPART_ARC
(24,19),-1.07909 # DEPENDENCYPART_ARC
(24,20),-0.329054 # DEPENDENCYPART_ARC
(24,21),-0.378787 # DEPENDENCYPART_ARC
(24,22),-0.463627 # DEPENDENCYPART_ARC
(24,23),1.91289 # DEPENDENCYPART_ARC
(24,25),0.432378 # DEPENDENCYPART_ARC
(24,26),-0.838083 # DEPENDENCYPART_ARC
(24,27),-2.15557 # DEPENDENCYPART_ARC
(24,28),-1.71536 # DEPENDENCYPART_ARC
(24,29),-1.16426 # DEPENDENCYPART_ARC
(24,30),-1.38013 # DEPENDENCYPART_ARC
(24,31),-3.61819 # DEPENDENCYPART_ARC
(24,32),-1.30031 # DEPENDENCYPART_ARC
(24,33),-4.4257 # DEPENDENCYPART_ARC
(24,34),-0.954602 # DEPENDENCYPART_ARC
(25,1),1.16518 # DEPENDENCYPART_ARC
(25,2),-3.28809 # DEPENDENCYPART_ARC
(25,3),-1.44824 # DEPENDENCYPART_ARC
(25,4),-2.91063 # DEPENDENCYPART_ARC
(25,5),0.635701 # DEPENDENCYPART_ARC
(25,6),-1.21305 # DEPENDENCYPART_ARC
(25,7),-1.78189 # DEPENDENCYPART_ARC
(25,8),-1.35121 # DEPENDENCYPART_ARC
(25,9),1.15184 # DEPENDENCYPART_ARC
(25,10),-0.284666 # DEPENDENCYPART_ARC
(25,11),-1.94295 # DEPENDENCYPART_ARC
(25,12),0.714484 # DEPENDENCYPART_ARC
(25,13),-0.202305 # DEPENDENCYPART_ARC
(25,14),0.515521 # DEPENDENCYPART_ARC
(25,15),-0.36989 # DEPENDENCYPART_ARC
(25,16),-2.63546 # DEPENDENCYPART_ARC
(25,17),0.382278 # DEPENDENCYPART_ARC
(25,18),-1.55259 # DEPENDENCYPART_ARC
(25,19),-0.0787132 # DEPENDENCYPART_ARC
(25,20),0.2996 # DEPENDENCYPART_ARC
(25,21),0.355043 # DEPENDENCYPART_ARC
(25,22),2.91567 # DEPENDENCYPART_ARC
(25,23),0.876239 # DEPENDENCYPART_ARC
(25,24),1.32517 # DEPENDENCYPART_ARC
(25,26),3.43774 # DEPENDENCYPART_ARC
(25,27),-1.03263 # DEPENDENCYPART_ARC
(25,28),1.01424 # DEPENDENCYPART_ARC
(25,29),0.600015 # DEPENDENCYPART_ARC
(25,30),0.773074 # DEPENDENCYPART_ARC
(25,31),0.381315 # DEPENDENCYPART_ARC
(25,32),1.03795 # DEPENDENCYPART_ARC
(25,33),0.251268 # DEPENDENCYPART_ARC
(25,34),5.08865 # DEPENDENCYPART_ARC
(26,1),-0.804379 # DEPENDENCYPART_ARC
(26,2),-3.43865 # DEPENDENCYPART_ARC
(26,3),-2.91662 # DEPENDENCYPART_ARC
(26,4),-2.93802 # DEPENDENCYPART_ARC
(26,5),-1.03519 # DEPENDENCYPART_ARC
(26,6),-2.21974 # DEPENDENCYPART_ARC
(26,7),-2.94209 # DEPENDENCYPART_ARC
(26,8),-2.29407 # DEPENDENCYPART_ARC
(26,9),-0.989347 # DEPENDENCYPART_ARC
(26,10),-1.48394 # DEPENDENCYPART_ARC
(26,11),-2.08463 # DEPENDENCYPART_ARC
(26,12),-0.768248 # DEPENDENCYPART_ARC
(26,13),-2.23392 # DEPENDENCYPART_ARC
(26,14),-0.944266 # DEPENDENCYPART_ARC
(26,15),-1.33546 # DEPENDENCYPART_ARC
(26,16),-2.37339 # DEPENDENCYPART_ARC
(26,17),-0.234395 # DEPENDENCYPART_ARC
(26,18),-1.9327 # DEPENDENCYPART_ARC
(26,19),-1.16566 # DEPENDENCYPART_ARC
(26,20),-1.22866 # DEPENDENCYPART_ARC
(26,21),-0.731378 # DEPENDENCYPART_ARC
(26,22),0.838079 # DEPENDENCYPART_ARC
(26,23),-0.899683 # DEPENDENCYPART_ARC
(26,24),0.188669 # DEPENDENCYPART_ARC
(26,25),3.48209 # DEPENDENCYPART_ARC
(26,27),-0.625041 # DEPENDENCYPART_ARC
(26,28),3.41778 # DEPENDENCYPART_ARC
(26,29),1.66964 # DEPENDENCYPART_ARC
(26,30),1.72386 # DEPENDENCYPART_ARC
(26,31),0.534593 # DEPENDENCYPART_ARC
(26,32),0.655745 # DEPENDENCYPART_ARC
(26,33),0.496903 # DEPENDENCYPART_ARC
(26,34),4.28003 # DEPENDENCYPART_ARC
(27,1),-3.93792 # DEPENDENCYPART_ARC
(27,2),-3.66019 # DEPENDENCYPART_ARC
(27,3),-4.42165 # DEPENDENCYPART_ARC
(27,4),-3.37653 # DEPENDENCYPART_ARC
(27,5),-3.91364 # DEPENDENCYPART_ARC
(27,6),-3.75178 # DEPENDENCYPART_ARC
(27,7),-4.68764 # DEPENDENCYPART_ARC
(27,8),-4.3937 # DEPENDENCYPART_ARC
(27,9),-4.40976 # DEPENDENCYPART_ARC
(27,10),-2.90193 # DEPENDENCYPART_ARC
(27,11),-3.27275 # DEPENDENCYPART_ARC
(27,12),-3.80994 # DEPENDENCYPART_ARC
(27,13),-2.90224 # DEPENDENCYPART_ARC
(27,14),-3.59122 # DEPENDENCYPART_ARC
(27,15),-2.92752 # DEPENDENCYPART_ARC
(27,16),-3.91791 # DEPENDENCYPART_ARC
(27,17),-3.55805 # DEPENDENCYPART_ARC
(27,18),-2.76164 # DEPENDENCYPART_ARC
(27,19),-2.79745 # DEPENDENCYPART_ARC
(27,20),-3.17461 # DEPENDENCYPART_ARC
(27,21),-3.12891 # DEPENDENCYPART_ARC
(27,22),-3.62185 # DEPENDENCYPART_ARC
(27,23),-2.33661 # DEPENDENCYPART_ARC
(27,24),-2.42536 # DEPENDENCYPART_ARC
(27,25),-1.59406 # DEPENDENCYPART_ARC
(27,26),-1.32256 # DEPENDENCYPART_ARC
(27,28),2.29726 # DEPENDENCYPART_ARC
(27,29),0.329724 # DEPENDENCYPART_ARC
(27,30),-1.04606 # DEPENDENCYPART_ARC
(27,31),-1.62671 # DEPENDENCYPART_ARC
(27,32),-0.755116 # DEPENDENCYPART_ARC
(27,33),-2.16467 # DEPENDENCYPART_ARC
(27,34),-1.32763 # DEPENDENCYPART_ARC
(28,1),-3.30957 # DEPENDENCYPART_ARC
(28,2),-7.10535 # DEPENDENCYPART_ARC
(28,3),-4.07999 # DEPENDENCYPART_ARC
(28,4),-2.20657 # DEPENDENCYPART_ARC
(28,5),-0.767953 # DEPENDENCYPART_ARC
(28,6),-1.71378 # DEPENDENCYPART_ARC
(28,7),-1.70594 # DEPENDENCYPART_ARC
(28,8),-6.10805 # DEPENDENCYPART_ARC
(28,9),-3.1829 # DEPENDENCYPART_ARC
(28,10),-0.929941 # DEPENDENCYPART_ARC
(28,11),-4.03224 # DEPENDENCYPART_ARC
(28,12),-2.51166 # DEPENDENCYPART_ARC
(28,13),-1.80323 # DEPENDENCYPART_ARC
(28,14),-1.96027 # DEPENDENCYPART_ARC
(28,15),-0.897535 # DEPENDENCYPART_ARC
(28,16),-3.14683 # DEPENDENCYPART_ARC
(28,17),-2.50737 # DEPENDENCYPART_ARC
(28,18),-2.27986 # DEPENDENCYPART_ARC
(28,19),-1.3513 # DEPENDENCYPART_ARC
(28,20),-2.92384 # DEPENDENCYPART_ARC
(28,21),-3.71677 # DEPENDENCYPART_ARC
(28,22),-2.11489 # DEPENDENCYPART_ARC
(28,23),-0.688328 # DEPENDENCYPART_ARC
(28,24),-0.783165 # DEPENDENCYPART_ARC
(28,25),-1.80207 # DEPENDENCYPART_ARC
(28,26),0.245725 # DEPENDENCYPART_ARC
(28,27),4.47962 # DEPENDENCYPART_ARC
(28,29),2.71835 # DEPENDENCYPART_ARC
(28,30),1.04786 # DEPENDENCYPART_ARC
(28,31),-1.06666 # DEPENDENCYPART_ARC
(28,32),1.05239 # DEPENDENCYPART_ARC
(28,33),-2.05615 # DEPENDENCYPART_ARC
(28,34),1.79233 # DEPENDENCYPART_ARC
(29,1),-4.55201 # DEPENDENCYPART_ARC
(29,2),-2.84552 # DEPENDENCYPART_ARC
(29,3),-3.51735 # DEPENDENCYPART_ARC
(29,4),-3.74854 # DEPENDENCYPART_ARC
(29,5),-1.45324 # DEPENDENCYPART_ARC
(29,6),-1.9437 # DEPENDENCYPART_ARC
(29,7),-2.07298 # DEPENDENCYPART_ARC
(29,8),-2.24829 # DEPENDENCYPART_ARC
(29,9),-2.5915 # DEPENDENCYPART_ARC
(29,10),-1.69995 # DEPENDENCYPART_ARC
(29,11),-2.25288 # DEPENDENCYPART_ARC
(29,12),-2.38816 # DEPENDENCYPART_ARC
(29,13),-2.51057 # DEPENDENCYPART_ARC
(29,14),-2.29824 # DEPENDENCYPART_ARC
(29,15),-1.64566 # DEPENDENCYPART_ARC
(29,16),-2.38746 # DEPENDENCYPART_ARC
(29,17),-2.64768 # DEPENDENCYPART_ARC
(29,18),-2.12363 # DEPENDENCYPART_ARC
(29,19),-1.22427 # DEPENDENCYPART_ARC
(29,20),-1.2713 # DEPENDENCYPART_ARC
(29,21),-1.3223 # DEPENDENCYPART_ARC
(29,22),-1.91204 # DEPENDENCYPART_ARC
(29,23),-1.98583 # DEPENDENCYPART_ARC
(29,24),-1.63281 # DEPENDENCYPART_ARC
(29,25),-0.479999 # DEPENDENCYPART_ARC
(29,26),-0.38617 # DEPENDENCYPART_ARC
(29,27),0.365589 # DEPENDENCYPART_ARC
(29,28),0.389041 # DEPENDENCYPART_ARC
(29,30),4.4203 # DEPENDENCYPART_ARC
(29,31),0.841324 # DEPENDENCYPART_ARC
(29,32),0.797108 # DEPENDENCYPART_ARC
(29,33),-0.20363 # DEPENDENCYPART_ARC
(29,34),0.822195 # DEPENDENCYPART_ARC
(30,1),-4.241 # DEPENDENCYPART_ARC
(30,2),-7.78415 # DEPENDENCYPART_ARC
(30,3),-4.89661 # DEPENDENCYPART_ARC
(30,4),-3.66511 # DEPENDENCYPART_ARC
(30,5),-1.42922 # DEPENDENCYPART_ARC
(30,6),-1.81131 # DEPENDENCYPART_ARC
(30,7),-2.60295 # DEPENDENCYPART_ARC
(30,8),-5.06499 # DEPENDENCYPART_ARC
(30,9),-2.95483 # DEPENDENCYPART_ARC
(30,10),-1.6632 # DEPENDENCYPART_ARC
(30,11),-4.02408 # DEPENDENCYPART_ARC
(30,12),-3.28843 # DEPENDENCYPART_ARC
(30,13),-2.71891 # DEPENDENCYPART_ARC
(30,14),-2.76937 # DEPENDENCYPART_ARC
(30,15),-1.65055 # DEPENDENCYPART_ARC
(30,16),-5.05842 # DEPENDENCYPART_ARC
(30,17),-3.46842 # DEPENDENCYPART_ARC
(30,18),-4.63124 # DEPENDENCYPART_ARC
(30,19),-2.55206 # DEPENDENCYPART_ARC
(30,20),-2.4117 # DEPENDENCYPART_ARC
(30,21),-2.54057 # DEPENDENCYPART_ARC
(30,22),-1.52269 # DEPENDENCYPART_ARC
(30,23),-1.76911 # DEPENDENCYPART_ARC
(30,24),-2.0623 # DEPENDENCYPART_ARC
(30,25),-0.876026 # DEPENDENCYPART_ARC
