# _root_ La crisi de la companyia es va produir després que Dynegy anunciés , dimecres passat , que renunciava a adquirir l' empresa .
#goldHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,14,18,12,18,19,22,20,8,
#predictedHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,18,18,12,18,19,22,20,8,
(23,4),-4.84366 # DEPENDENCYPART_ARC
(23,5),-4.95213 # DEPENDENCYPART_ARC
(23,6),-4.29133 # DEPENDENCYPART_ARC
(23,7),-4.80004 # DEPENDENCYPART_ARC
(23,8),-4.76751 # DEPENDENCYPART_ARC
(23,9),-4.49785 # DEPENDENCYPART_ARC
(23,10),-3.87529 # DEPENDENCYPART_ARC
(23,11),-4.69585 # DEPENDENCYPART_ARC
(23,12),-4.55807 # DEPENDENCYPART_ARC
(23,13),-3.56122 # DEPENDENCYPART_ARC
(23,14),-3.95624 # DEPENDENCYPART_ARC
(23,15),-3.95103 # DEPENDENCYPART_ARC
(23,16),-3.52097 # DEPENDENCYPART_ARC
(23,17),-3.3932 # DEPENDENCYPART_ARC
(23,18),-4.01585 # DEPENDENCYPART_ARC
(23,19),-2.96247 # DEPENDENCYPART_ARC
(23,20),-3.35546 # DEPENDENCYPART_ARC
(23,21),-2.18154 # DEPENDENCYPART_ARC
(23,22),-2.40865 # DEPENDENCYPART_ARC
