# _root_ " Si parla així , és només per intentar fer_front a les enormes pressions internacionals de què és objecte " , va assegurar el ministre palestí Hassan_Asfur .
#goldHeads=6,3,6,3,3,23,6,6,8,9,10,14,14,11,14,19,16,14,18,6,6,23,0,25,23,25,25,23,
#predictedHeads=6,3,6,3,3,23,6,6,8,9,10,14,14,11,14,14,16,14,18,6,6,23,0,25,23,25,25,6,
(18,23),0.761649 # DEPENDENCYPART_ARC
(18,24),-3.64984 # DEPENDENCYPART_ARC
(18,25),-0.375825 # DEPENDENCYPART_ARC
(18,26),-0.601123 # DEPENDENCYPART_ARC
(18,27),-0.260893 # DEPENDENCYPART_ARC
(18,28),2.35955 # DEPENDENCYPART_ARC
(19,1),-3.61233 # DEPENDENCYPART_ARC
(19,2),-1.96583 # DEPENDENCYPART_ARC
(19,3),-3.7025 # DEPENDENCYPART_ARC
(19,4),-2.48382 # DEPENDENCYPART_ARC
(19,5),-1.89792 # DEPENDENCYPART_ARC
(19,6),-3.31703 # DEPENDENCYPART_ARC
(19,7),-2.09338 # DEPENDENCYPART_ARC
(19,8),-2.24141 # DEPENDENCYPART_ARC
(19,9),-2.76421 # DEPENDENCYPART_ARC
(19,10),-2.94859 # DEPENDENCYPART_ARC
(19,11),-1.10878 # DEPENDENCYPART_ARC
(19,12),-2.71602 # DEPENDENCYPART_ARC
(19,13),-0.993237 # DEPENDENCYPART_ARC
(19,14),-2.52902 # DEPENDENCYPART_ARC
(19,15),-1.7236 # DEPENDENCYPART_ARC
(19,16),0.159524 # DEPENDENCYPART_ARC
(19,17),0.199756 # DEPENDENCYPART_ARC
(19,18),-0.000492818 # DEPENDENCYPART_ARC
(19,20),1.77414 # DEPENDENCYPART_ARC
(19,21),0.442385 # DEPENDENCYPART_ARC
(19,22),1.22905 # DEPENDENCYPART_ARC
(19,23),0.616538 # DEPENDENCYPART_ARC
(19,24),-0.807329 # DEPENDENCYPART_ARC
(19,25),-0.539478 # DEPENDENCYPART_ARC
(19,26),0.735079 # DEPENDENCYPART_ARC
(19,27),-0.140176 # DEPENDENCYPART_ARC
(19,28),0.237304 # DEPENDENCYPART_ARC
(20,1),-3.03447 # DEPENDENCYPART_ARC
(20,2),-2.89184 # DEPENDENCYPART_ARC
(20,3),-3.69643 # DEPENDENCYPART_ARC
(20,4),-3.45187 # DEPENDENCYPART_ARC
(20,5),-2.72989 # DEPENDENCYPART_ARC
(20,6),-3.64773 # DEPENDENCYPART_ARC
(20,7),-3.31772 # DEPENDENCYPART_ARC
(20,8),-2.79476 # DEPENDENCYPART_ARC
(20,9),-3.40833 # DEPENDENCYPART_ARC
(20,10),-3.2843 # DEPENDENCYPART_ARC
(20,11),-2.47294 # DEPENDENCYPART_ARC
(20,12),-3.11831 # DEPENDENCYPART_ARC
(20,13),-2.57095 # DEPENDENCYPART_ARC
(20,14),-2.93167 # DEPENDENCYPART_ARC
(20,15),-2.4828 # DEPENDENCYPART_ARC
(20,16),-1.90762 # DEPENDENCYPART_ARC
(20,17),-1.95302 # DEPENDENCYPART_ARC
(20,18),-1.67073 # DEPENDENCYPART_ARC
(20,19),-1.14358 # DEPENDENCYPART_ARC
(20,21),-0.243449 # DEPENDENCYPART_ARC
(20,22),-0.845729 # DEPENDENCYPART_ARC
(20,23),-1.26473 # DEPENDENCYPART_ARC
(20,24),-2.34118 # DEPENDENCYPART_ARC
(20,25),-1.82937 # DEPENDENCYPART_ARC
(20,26),-1.91143 # DEPENDENCYPART_ARC
(20,27),-2.00931 # DEPENDENCYPART_ARC
(20,28),-1.31781 # DEPENDENCYPART_ARC
(21,1),-2.80218 # DEPENDENCYPART_ARC
(21,2),-2.64686 # DEPENDENCYPART_ARC
(21,3),-3.54453 # DEPENDENCYPART_ARC
(21,4),-3.2913 # DEPENDENCYPART_ARC
(21,5),-2.43399 # DEPENDENCYPART_ARC
(21,6),-3.36766 # DEPENDENCYPART_ARC
(21,7),-3.1871 # DEPENDENCYPART_ARC
(21,8),-2.69135 # DEPENDENCYPART_ARC
(21,9),-3.17954 # DEPENDENCYPART_ARC
(21,10),-3.13621 # DEPENDENCYPART_ARC
(21,11),-2.25931 # DEPENDENCYPART_ARC
(21,12),-2.97898 # DEPENDENCYPART_ARC
(21,13),-2.19029 # DEPENDENCYPART_ARC
(21,14),-2.75074 # DEPENDENCYPART_ARC
(21,15),-2.16331 # DEPENDENCYPART_ARC
(21,16),-1.94468 # DEPENDENCYPART_ARC
(21,17),-2.00313 # DEPENDENCYPART_ARC
(21,18),-1.9885 # DEPENDENCYPART_ARC
(21,19),-1.68181 # DEPENDENCYPART_ARC
(21,20),-0.268264 # DEPENDENCYPART_ARC
(21,22),-0.874192 # DEPENDENCYPART_ARC
(21,23),-1.94512 # DEPENDENCYPART_ARC
(21,24),-2.79664 # DEPENDENCYPART_ARC
(21,25),-2.39107 # DEPENDENCYPART_ARC
(21,26),-2.5564 # DEPENDENCYPART_ARC
(21,27),-2.59411 # DEPENDENCYPART_ARC
(21,28),-2.06982 # DEPENDENCYPART_ARC
(22,1),-1.64169 # DEPENDENCYPART_ARC
(22,2),-3.73561 # DEPENDENCYPART_ARC
(22,3),-1.00532 # DEPENDENCYPART_ARC
(22,4),-3.02394 # DEPENDENCYPART_ARC
(22,5),-5.35385 # DEPENDENCYPART_ARC
(22,6),-0.816984 # DEPENDENCYPART_ARC
(22,7),-4.25071 # DEPENDENCYPART_ARC
(22,8),-3.22243 # DEPENDENCYPART_ARC
(22,9),-2.83553 # DEPENDENCYPART_ARC
(22,10),-2.90452 # DEPENDENCYPART_ARC
(22,11),-2.86074 # DEPENDENCYPART_ARC
(22,12),-4.0219 # DEPENDENCYPART_ARC
(22,13),-2.34993 # DEPENDENCYPART_ARC
(22,14),-2.62494 # DEPENDENCYPART_ARC
(22,15),-2.47737 # DEPENDENCYPART_ARC
(22,16),-2.86011 # DEPENDENCYPART_ARC
(22,17),-2.11715 # DEPENDENCYPART_ARC
(22,18),-1.0282 # DEPENDENCYPART_ARC
(22,19),-1.07937 # DEPENDENCYPART_ARC
(22,20),-0.983788 # DEPENDENCYPART_ARC
(22,21),-0.933527 # DEPENDENCYPART_ARC
(22,23),1.22152 # DEPENDENCYPART_ARC
(22,24),-3.43857 # DEPENDENCYPART_ARC
(22,25),-0.0965309 # DEPENDENCYPART_ARC
(22,26),-1.56019 # DEPENDENCYPART_ARC
(22,27),-0.687166 # DEPENDENCYPART_ARC
(22,28),1.89303 # DEPENDENCYPART_ARC
(23,1),0.638892 # DEPENDENCYPART_ARC
(23,2),-1.62056 # DEPENDENCYPART_ARC
(23,3),1.71272 # DEPENDENCYPART_ARC
(23,4),-0.602803 # DEPENDENCYPART_ARC
(23,5),-3.10097 # DEPENDENCYPART_ARC
(23,6),2.63509 # DEPENDENCYPART_ARC
(23,7),-1.83639 # DEPENDENCYPART_ARC
(23,8),-0.346014 # DEPENDENCYPART_ARC
(23,9),0.669176 # DEPENDENCYPART_ARC
(23,10),-0.122813 # DEPENDENCYPART_ARC
(23,11),0.788361 # DEPENDENCYPART_ARC
(23,12),-1.10252 # DEPENDENCYPART_ARC
(23,13),0.907409 # DEPENDENCYPART_ARC
(23,14),0.638542 # DEPENDENCYPART_ARC
(23,15),0.523145 # DEPENDENCYPART_ARC
(23,16),0.0231351 # DEPENDENCYPART_ARC
(23,17),0.461262 # DEPENDENCYPART_ARC
(23,18),1.51992 # DEPENDENCYPART_ARC
(23,19),0.587014 # DEPENDENCYPART_ARC
(23,20),0.836484 # DEPENDENCYPART_ARC
(23,21),0.629743 # DEPENDENCYPART_ARC
(23,22),6.45866 # DEPENDENCYPART_ARC
(23,24),-0.417653 # DEPENDENCYPART_ARC
(23,25),3.65604 # DEPENDENCYPART_ARC
(23,26),1.05061 # DEPENDENCYPART_ARC
(23,27),1.69995 # DEPENDENCYPART_ARC
(23,28),3.96479 # DEPENDENCYPART_ARC
(24,1),-3.24455 # DEPENDENCYPART_ARC
(24,2),-3.32789 # DEPENDENCYPART_ARC
(24,3),-4.74689 # DEPENDENCYPART_ARC
(24,4),-3.82079 # DEPENDENCYPART_ARC
(24,5),-3.29741 # DEPENDENCYPART_ARC
(24,6),-4.57917 # DEPENDENCYPART_ARC
(24,7),-3.50432 # DEPENDENCYPART_ARC
(24,8),-3.06018 # DEPENDENCYPART_ARC
(24,9),-4.44025 # DEPENDENCYPART_ARC
(24,10),-4.56957 # DEPENDENCYPART_ARC
(24,11),-3.59656 # DEPENDENCYPART_ARC
(24,12),-3.95368 # DEPENDENCYPART_ARC
(24,13),-4.24206 # DEPENDENCYPART_ARC
(24,14),-4.23083 # DEPENDENCYPART_ARC
(24,15),-3.96076 # DEPENDENCYPART_ARC
(24,16),-2.95662 # DEPENDENCYPART_ARC
(24,17),-3.59675 # DEPENDENCYPART_ARC
(24,18),-3.91765 # DEPENDENCYPART_ARC
(24,19),-3.26572 # DEPENDENCYPART_ARC
(24,20),-1.8826 # DEPENDENCYPART_ARC
(24,21),-1.90122 # DEPENDENCYPART_ARC
(24,22),-2.43827 # DEPENDENCYPART_ARC
(24,23),-1.47456 # DEPENDENCYPART_ARC
(24,25),0.500628 # DEPENDENCYPART_ARC
(24,26),-0.29322 # DEPENDENCYPART_ARC
(24,27),-2.32286 # DEPENDENCYPART_ARC
(24,28),-1.90876 # DEPENDENCYPART_ARC
(25,1),-4.79011 # DEPENDENCYPART_ARC
(25,2),-1.46641 # DEPENDENCYPART_ARC
(25,3),-4.04405 # DEPENDENCYPART_ARC
(25,4),-3.04796 # DEPENDENCYPART_ARC
(25,5),-2.05753 # DEPENDENCYPART_ARC
(25,6),-3.24112 # DEPENDENCYPART_ARC
(25,7),-2.0514 # DEPENDENCYPART_ARC
(25,8),-2.50393 # DEPENDENCYPART_ARC
(25,9),-3.22879 # DEPENDENCYPART_ARC
(25,10),-3.36381 # DEPENDENCYPART_ARC
(25,11),-1.24338 # DEPENDENCYPART_ARC
(25,12),-4.42596 # DEPENDENCYPART_ARC
(25,13),-1.85388 # DEPENDENCYPART_ARC
(25,14),-3.11752 # DEPENDENCYPART_ARC
(25,15),-2.6769 # DEPENDENCYPART_ARC
(25,16),-0.626565 # DEPENDENCYPART_ARC
(25,17),-1.18559 # DEPENDENCYPART_ARC
(25,18),-2.06337 # DEPENDENCYPART_ARC
(25,19),-2.07932 # DEPENDENCYPART_ARC
(25,20),-0.700989 # DEPENDENCYPART_ARC
(25,21),-0.525314 # DEPENDENCYPART_ARC
(25,22),-0.872153 # DEPENDENCYPART_ARC
(25,23),-0.344407 # DEPENDENCYPART_ARC
(25,24),4.22411 # DEPENDENCYPART_ARC
(25,26),4.6807 # DEPENDENCYPART_ARC
(25,27),3.406 # DEPENDENCYPART_ARC
(25,28),1.65 # DEPENDENCYPART_ARC
(26,1),-4.71399 # DEPENDENCYPART_ARC
(26,2),-2.98264 # DEPENDENCYPART_ARC
(26,3),-3.87766 # DEPENDENCYPART_ARC
(26,4),-4.06252 # DEPENDENCYPART_ARC
(26,5),-5.45705 # DEPENDENCYPART_ARC
(26,6),-3.65699 # DEPENDENCYPART_ARC
(26,7),-3.72627 # DEPENDENCYPART_ARC
(26,8),-3.5165 # DEPENDENCYPART_ARC
(26,9),-3.7983 # DEPENDENCYPART_ARC
(26,10),-3.80441 # DEPENDENCYPART_ARC
(26,11),-3.35832 # DEPENDENCYPART_ARC
(26,12),-4.13497 # DEPENDENCYPART_ARC
(26,13),-4.93788 # DEPENDENCYPART_ARC
(26,14),-4.70355 # DEPENDENCYPART_ARC
(26,15),-4.70995 # DEPENDENCYPART_ARC
(26,16),-2.54075 # DEPENDENCYPART_ARC
(26,17),-2.68706 # DEPENDENCYPART_ARC
(26,18),-3.10903 # DEPENDENCYPART_ARC
(26,19),-3.24081 # DEPENDENCYPART_ARC
(26,20),-2.41503 # DEPENDENCYPART_ARC
(26,21),-2.37796 # DEPENDENCYPART_ARC
(26,22),-2.37975 # DEPENDENCYPART_ARC
(26,23),-2.17114 # DEPENDENCYPART_ARC
(26,24),0.363223 # DEPENDENCYPART_ARC
(26,25),-0.325824 # DEPENDENCYPART_ARC
(26,27),1.03549 # DEPENDENCYPART_ARC
(26,28),-1.95921 # DEPENDENCYPART_ARC
(27,1),-4.33392 # DEPENDENCYPART_ARC
(27,2),-1.15404 # DEPENDENCYPART_ARC
(27,3),-3.59806 # DEPENDENCYPART_ARC
(27,4),-2.28707 # DEPENDENCYPART_ARC
(27,5),-1.4373 # DEPENDENCYPART_ARC
(27,6),-3.1274 # DEPENDENCYPART_ARC
(27,7),-1.56239 # DEPENDENCYPART_ARC
(27,8),-2.19476 # DEPENDENCYPART_ARC
(27,9),-2.62823 # DEPENDENCYPART_ARC
(27,10),-2.5916 # DEPENDENCYPART_ARC
(27,11),-1.43237 # DEPENDENCYPART_ARC
(27,12),-2.86619 # DEPENDENCYPART_ARC
(27,13),-0.614729 # DEPENDENCYPART_ARC
(27,14),-2.01519 # DEPENDENCYPART_ARC
(27,15),-2.46993 # DEPENDENCYPART_ARC
(27,16),-0.755434 # DEPENDENCYPART_ARC
(27,17),-0.647503 # DEPENDENCYPART_ARC
(27,18),-1.97956 # DEPENDENCYPART_ARC
(27,19),-1.32237 # DEPENDENCYPART_ARC
(27,20),-0.248178 # DEPENDENCYPART_ARC
(27,21),-0.197479 # DEPENDENCYPART_ARC
(27,22),-1.11957 # DEPENDENCYPART_ARC
(27,23),-0.51587 # DEPENDENCYPART_ARC
(27,24),1.89209 # DEPENDENCYPART_ARC
(27,25),0.237637 # DEPENDENCYPART_ARC
(27,26),2.27373 # DEPENDENCYPART_ARC
(27,28),0.739848 # DEPENDENCYPART_ARC
(28,1),-4.49156 # DEPENDENCYPART_ARC
(28,2),-4.22608 # DEPENDENCYPART_ARC
(28,3),-5.10742 # DEPENDENCYPART_ARC
(28,4),-4.79911 # DEPENDENCYPART_ARC
(28,5),-4.07092 # DEPENDENCYPART_ARC
(28,6),-4.86435 # DEPENDENCYPART_ARC
(28,7),-4.59938 # DEPENDENCYPART_ARC
(28,8),-3.98754 # DEPENDENCYPART_ARC
(28,9),-4.81256 # DEPENDENCYPART_ARC
(28,10),-4.87386 # DEPENDENCYPART_ARC
(28,11),-3.96554 # DEPENDENCYPART_ARC
(28,12),-4.72251 # DEPENDENCYPART_ARC
(28,13),-4.04433 # DEPENDENCYPART_ARC
(28,14),-4.65083 # DEPENDENCYPART_ARC
(28,15),-4.10464 # DEPENDENCYPART_ARC
(28,16),-3.88058 # DEPENDENCYPART_ARC
(28,17),-4.10585 # DEPENDENCYPART_ARC
(28,18),-4.33456 # DEPENDENCYPART_ARC
(28,19),-4.45426 # DEPENDENCYPART_ARC
(28,20),-3.54353 # DEPENDENCYPART_ARC
(28,21),-3.25566 # DEPENDENCYPART_ARC
(28,22),-4.03835 # DEPENDENCYPART_ARC
(28,23),-3.77233 # DEPENDENCYPART_ARC
(28,24),-3.08864 # DEPENDENCYPART_ARC
(28,25),-3.32498 # DEPENDENCYPART_ARC
(28,26),-2.29947 # DEPENDENCYPART_ARC
(28,27),-2.19984 # DEPENDENCYPART_ARC
