# _root_ El ministre va assenyalar la informació , la lluita contra la guerra bacteriològica , la nuclear i la química com_a camps per a la cooperació intereuropea .
#goldHeads=2,4,4,0,6,4,6,9,6,9,12,10,12,12,16,12,12,19,12,4,20,21,22,25,23,25,4,
#predictedHeads=2,4,4,0,6,4,6,9,6,9,12,10,12,16,16,12,16,19,16,19,20,9,22,25,23,25,4,
(19,14),0.658114 # DEPENDENCYPART_ARC
(19,15),1.56085 # DEPENDENCYPART_ARC
(19,16),0.0145158 # DEPENDENCYPART_ARC
(19,17),1.17558 # DEPENDENCYPART_ARC
(19,18),3.83183 # DEPENDENCYPART_ARC
(19,20),2.52398 # DEPENDENCYPART_ARC
(19,21),1.05588 # DEPENDENCYPART_ARC
(19,22),0.635824 # DEPENDENCYPART_ARC
(19,23),0.188476 # DEPENDENCYPART_ARC
(19,24),-0.894578 # DEPENDENCYPART_ARC
(19,25),0.252495 # DEPENDENCYPART_ARC
(19,26),0.69551 # DEPENDENCYPART_ARC
(19,27),0.570788 # DEPENDENCYPART_ARC
(20,1),-2.02353 # DEPENDENCYPART_ARC
(20,2),-2.44179 # DEPENDENCYPART_ARC
(20,3),-1.68981 # DEPENDENCYPART_ARC
(20,4),-1.72495 # DEPENDENCYPART_ARC
(20,5),-1.13692 # DEPENDENCYPART_ARC
(20,6),-1.87331 # DEPENDENCYPART_ARC
(20,7),-0.853393 # DEPENDENCYPART_ARC
(20,8),-0.885636 # DEPENDENCYPART_ARC
(20,9),-1.4516 # DEPENDENCYPART_ARC
(20,10),-1.02831 # DEPENDENCYPART_ARC
(20,11),-0.551166 # DEPENDENCYPART_ARC
(20,12),-1.15472 # DEPENDENCYPART_ARC
(20,13),-0.790939 # DEPENDENCYPART_ARC
(20,14),-0.379649 # DEPENDENCYPART_ARC
(20,15),0.280144 # DEPENDENCYPART_ARC
(20,16),-0.516695 # DEPENDENCYPART_ARC
(20,17),-0.278594 # DEPENDENCYPART_ARC
(20,18),1.44491 # DEPENDENCYPART_ARC
(20,19),0.621062 # DEPENDENCYPART_ARC
(20,21),4.77481 # DEPENDENCYPART_ARC
(20,22),0.404128 # DEPENDENCYPART_ARC
(20,23),1.58914 # DEPENDENCYPART_ARC
(20,24),-1.92632 # DEPENDENCYPART_ARC
(20,25),1.49088 # DEPENDENCYPART_ARC
(20,26),-0.926532 # DEPENDENCYPART_ARC
(20,27),0.0240589 # DEPENDENCYPART_ARC
(21,1),-7.06152 # DEPENDENCYPART_ARC
(21,2),-4.58388 # DEPENDENCYPART_ARC
(21,3),-1.98905 # DEPENDENCYPART_ARC
(21,4),-2.95563 # DEPENDENCYPART_ARC
(21,5),-3.36667 # DEPENDENCYPART_ARC
(21,6),-4.42704 # DEPENDENCYPART_ARC
(21,7),-2.20825 # DEPENDENCYPART_ARC
(21,8),-2.38454 # DEPENDENCYPART_ARC
(21,9),-4.04074 # DEPENDENCYPART_ARC
(21,10),-2.25743 # DEPENDENCYPART_ARC
(21,11),-1.43595 # DEPENDENCYPART_ARC
(21,12),-3.67415 # DEPENDENCYPART_ARC
(21,13),-3.84201 # DEPENDENCYPART_ARC
(21,14),-1.82243 # DEPENDENCYPART_ARC
(21,15),-0.219997 # DEPENDENCYPART_ARC
(21,16),-1.98333 # DEPENDENCYPART_ARC
(21,17),-1.46754 # DEPENDENCYPART_ARC
(21,18),1.49598 # DEPENDENCYPART_ARC
(21,19),-1.7479 # DEPENDENCYPART_ARC
(21,20),0.400517 # DEPENDENCYPART_ARC
(21,22),1.69868 # DEPENDENCYPART_ARC
(21,23),0.859321 # DEPENDENCYPART_ARC
(21,24),-2.21746 # DEPENDENCYPART_ARC
(21,25),-0.0163739 # DEPENDENCYPART_ARC
(21,26),-1.13203 # DEPENDENCYPART_ARC
(21,27),0.426861 # DEPENDENCYPART_ARC
(22,1),-2.77456 # DEPENDENCYPART_ARC
(22,2),-2.96121 # DEPENDENCYPART_ARC
(22,3),-2.11394 # DEPENDENCYPART_ARC
(22,4),-2.27087 # DEPENDENCYPART_ARC
(22,5),-1.70736 # DEPENDENCYPART_ARC
(22,6),-2.42855 # DEPENDENCYPART_ARC
(22,7),-0.954155 # DEPENDENCYPART_ARC
(22,8),-1.45642 # DEPENDENCYPART_ARC
(22,9),-2.1288 # DEPENDENCYPART_ARC
(22,10),-1.4969 # DEPENDENCYPART_ARC
(22,11),-1.15796 # DEPENDENCYPART_ARC
(22,12),-1.75071 # DEPENDENCYPART_ARC
(22,13),-1.07064 # DEPENDENCYPART_ARC
(22,14),-0.690606 # DEPENDENCYPART_ARC
(22,15),-0.658921 # DEPENDENCYPART_ARC
(22,16),-0.97962 # DEPENDENCYPART_ARC
(22,17),-0.933768 # DEPENDENCYPART_ARC
(22,18),-0.0339213 # DEPENDENCYPART_ARC
(22,19),-0.844058 # DEPENDENCYPART_ARC
(22,20),0.0456863 # DEPENDENCYPART_ARC
(22,21),0.330067 # DEPENDENCYPART_ARC
(22,23),3.78149 # DEPENDENCYPART_ARC
(22,24),-0.826033 # DEPENDENCYPART_ARC
(22,25),2.00177 # DEPENDENCYPART_ARC
(22,26),-0.0909473 # DEPENDENCYPART_ARC
(22,27),0.111562 # DEPENDENCYPART_ARC
(23,1),-4.29367 # DEPENDENCYPART_ARC
(23,2),-4.7436 # DEPENDENCYPART_ARC
(23,3),-2.69327 # DEPENDENCYPART_ARC
(23,4),-2.90755 # DEPENDENCYPART_ARC
(23,5),-3.44688 # DEPENDENCYPART_ARC
(23,6),-4.01248 # DEPENDENCYPART_ARC
(23,7),-2.97505 # DEPENDENCYPART_ARC
(23,8),-3.03946 # DEPENDENCYPART_ARC
(23,9),-3.69936 # DEPENDENCYPART_ARC
(23,10),-3.28766 # DEPENDENCYPART_ARC
(23,11),-2.74619 # DEPENDENCYPART_ARC
(23,12),-3.40374 # DEPENDENCYPART_ARC
(23,13),-2.70641 # DEPENDENCYPART_ARC
(23,14),-2.27919 # DEPENDENCYPART_ARC
(23,15),-2.30397 # DEPENDENCYPART_ARC
(23,16),-2.72889 # DEPENDENCYPART_ARC
(23,17),-2.3075 # DEPENDENCYPART_ARC
(23,18),-1.68996 # DEPENDENCYPART_ARC
(23,19),-2.65355 # DEPENDENCYPART_ARC
(23,20),-1.82753 # DEPENDENCYPART_ARC
(23,21),-2.2093 # DEPENDENCYPART_ARC
(23,22),0.775122 # DEPENDENCYPART_ARC
(23,24),0.114283 # DEPENDENCYPART_ARC
(23,25),4.7506 # DEPENDENCYPART_ARC
(23,26),0.518823 # DEPENDENCYPART_ARC
(23,27),-0.114427 # DEPENDENCYPART_ARC
(24,1),-4.64616 # DEPENDENCYPART_ARC
(24,2),-3.66613 # DEPENDENCYPART_ARC
(24,3),-3.63934 # DEPENDENCYPART_ARC
(24,4),-3.23356 # DEPENDENCYPART_ARC
(24,5),-3.04365 # DEPENDENCYPART_ARC
(24,6),-3.02697 # DEPENDENCYPART_ARC
(24,7),-1.96213 # DEPENDENCYPART_ARC
(24,8),-2.63614 # DEPENDENCYPART_ARC
(24,9),-2.6117 # DEPENDENCYPART_ARC
(24,10),-1.9951 # DEPENDENCYPART_ARC
(24,11),-2.19845 # DEPENDENCYPART_ARC
(24,12),-2.58479 # DEPENDENCYPART_ARC
(24,13),-1.92475 # DEPENDENCYPART_ARC
(24,14),-1.56807 # DEPENDENCYPART_ARC
(24,15),-1.57333 # DEPENDENCYPART_ARC
(24,16),-2.3599 # DEPENDENCYPART_ARC
(24,17),-1.54254 # DEPENDENCYPART_ARC
(24,18),-1.51031 # DEPENDENCYPART_ARC
(24,19),-1.57684 # DEPENDENCYPART_ARC
(24,20),-1.12109 # DEPENDENCYPART_ARC
(24,21),-1.54486 # DEPENDENCYPART_ARC
(24,22),-0.541125 # DEPENDENCYPART_ARC
(24,23),0.579402 # DEPENDENCYPART_ARC
(24,25),1.17541 # DEPENDENCYPART_ARC
(24,26),-0.936765 # DEPENDENCYPART_ARC
(24,27),-1.59159 # DEPENDENCYPART_ARC
(25,1),-9.02538 # DEPENDENCYPART_ARC
(25,2),-3.9731 # DEPENDENCYPART_ARC
(25,3),-2.65396 # DEPENDENCYPART_ARC
(25,4),-1.98022 # DEPENDENCYPART_ARC
(25,5),-3.1925 # DEPENDENCYPART_ARC
(25,6),-2.98472 # DEPENDENCYPART_ARC
(25,7),-1.33305 # DEPENDENCYPART_ARC
(25,8),-1.95511 # DEPENDENCYPART_ARC
(25,9),-2.47866 # DEPENDENCYPART_ARC
(25,10),-1.95948 # DEPENDENCYPART_ARC
(25,11),-1.13942 # DEPENDENCYPART_ARC
(25,12),-2.35343 # DEPENDENCYPART_ARC
(25,13),-1.76329 # DEPENDENCYPART_ARC
(25,14),-1.27239 # DEPENDENCYPART_ARC
(25,15),-0.175023 # DEPENDENCYPART_ARC
(25,16),-0.775526 # DEPENDENCYPART_ARC
(25,17),-0.945014 # DEPENDENCYPART_ARC
(25,18),0.157403 # DEPENDENCYPART_ARC
(25,19),-0.787797 # DEPENDENCYPART_ARC
(25,20),-1.10352 # DEPENDENCYPART_ARC
(25,21),-0.950423 # DEPENDENCYPART_ARC
(25,22),-0.0993222 # DEPENDENCYPART_ARC
(25,23),0.442773 # DEPENDENCYPART_ARC
(25,24),4.84461 # DEPENDENCYPART_ARC
(25,26),4.32344 # DEPENDENCYPART_ARC
(25,27),0.909521 # DEPENDENCYPART_ARC
(26,1),-2.69691 # DEPENDENCYPART_ARC
(26,2),-4.40852 # DEPENDENCYPART_ARC
(26,3),-2.9416 # DEPENDENCYPART_ARC
(26,4),-2.54188 # DEPENDENCYPART_ARC
(26,5),-2.27515 # DEPENDENCYPART_ARC
(26,6),-3.29446 # DEPENDENCYPART_ARC
(26,7),-1.90661 # DEPENDENCYPART_ARC
(26,8),-1.92838 # DEPENDENCYPART_ARC
(26,9),-3.02311 # DEPENDENCYPART_ARC
(26,10),-2.3997 # DEPENDENCYPART_ARC
(26,11),-1.80719 # DEPENDENCYPART_ARC
(26,12),-2.86193 # DEPENDENCYPART_ARC
(26,13),-2.29428 # DEPENDENCYPART_ARC
(26,14),-1.64681 # DEPENDENCYPART_ARC
(26,15),-1.2349 # DEPENDENCYPART_ARC
(26,16),-2.41415 # DEPENDENCYPART_ARC
(26,17),-1.24055 # DEPENDENCYPART_ARC
(26,18),-0.716474 # DEPENDENCYPART_ARC
(26,19),-2.23214 # DEPENDENCYPART_ARC
(26,20),-1.94423 # DEPENDENCYPART_ARC
(26,21),-2.88962 # DEPENDENCYPART_ARC
(26,22),-0.613868 # DEPENDENCYPART_ARC
(26,23),-0.231375 # DEPENDENCYPART_ARC
(26,24),1.29404 # DEPENDENCYPART_ARC
(26,25),0.366283 # DEPENDENCYPART_ARC
(26,27),-0.480516 # DEPENDENCYPART_ARC
(27,1),-4.2521 # DEPENDENCYPART_ARC
(27,2),-4.26281 # DEPENDENCYPART_ARC
(27,3),-4.04364 # DEPENDENCYPART_ARC
(27,4),-3.83759 # DEPENDENCYPART_ARC
(27,5),-3.79258 # DEPENDENCYPART_ARC
(27,6),-3.91696 # DEPENDENCYPART_ARC
(27,7),-2.55234 # DEPENDENCYPART_ARC
(27,8),-3.66957 # DEPENDENCYPART_ARC
(27,9),-3.64376 # DEPENDENCYPART_ARC
(27,10),-2.83336 # DEPENDENCYPART_ARC
(27,11),-3.60235 # DEPENDENCYPART_ARC
(27,12),-3.38759 # DEPENDENCYPART_ARC
(27,13),-3.05391 # DEPENDENCYPART_ARC
(27,14),-2.45419 # DEPENDENCYPART_ARC
(27,15),-3.48066 # DEPENDENCYPART_ARC
(27,16),-2.98951 # DEPENDENCYPART_ARC
(27,17),-2.67687 # DEPENDENCYPART_ARC
(27,18),-3.50199 # DEPENDENCYPART_ARC
(27,19),-2.92335 # DEPENDENCYPART_ARC
(27,20),-2.50394 # DEPENDENCYPART_ARC
(27,21),-3.1842 # DEPENDENCYPART_ARC
(27,22),-2.29654 # DEPENDENCYPART_ARC
(27,23),-2.08338 # DEPENDENCYPART_ARC
(27,24),-2.28221 # DEPENDENCYPART_ARC
(27,25),-2.22889 # DEPENDENCYPART_ARC
(27,26),-1.00402 # DEPENDENCYPART_ARC
