# _root_ El senador per CiU i alcalde d' Amposta , Joan_Maria_Roig , s' havia interessat per aquesta qüestió en una pregunta oral a la cambra alta .
#goldHeads=2,14,2,3,2,2,6,7,10,2,10,14,14,0,14,17,15,14,20,18,20,20,24,22,24,14,
#predictedHeads=2,14,2,3,4,4,6,7,10,2,10,14,14,0,14,17,15,14,20,18,20,20,24,22,24,14,
(20,8),-2.26671 # DEPENDENCYPART_ARC
(20,9),-1.55252 # DEPENDENCYPART_ARC
(20,10),-2.34998 # DEPENDENCYPART_ARC
(20,11),-1.45109 # DEPENDENCYPART_ARC
(20,12),-1.39133 # DEPENDENCYPART_ARC
(20,13),-1.79441 # DEPENDENCYPART_ARC
(20,14),-1.87598 # DEPENDENCYPART_ARC
(20,15),-0.190985 # DEPENDENCYPART_ARC
(20,16),1.62395 # DEPENDENCYPART_ARC
(20,17),-0.507221 # DEPENDENCYPART_ARC
(20,18),1.04036 # DEPENDENCYPART_ARC
(20,19),4.66946 # DEPENDENCYPART_ARC
(20,21),4.4527 # DEPENDENCYPART_ARC
(20,22),2.26656 # DEPENDENCYPART_ARC
(20,23),0.297919 # DEPENDENCYPART_ARC
(20,24),1.76961 # DEPENDENCYPART_ARC
(20,25),2.89656 # DEPENDENCYPART_ARC
(20,26),1.70906 # DEPENDENCYPART_ARC
(21,1),-1.73687 # DEPENDENCYPART_ARC
(21,2),-3.75514 # DEPENDENCYPART_ARC
(21,3),-2.50596 # DEPENDENCYPART_ARC
(21,4),-3.24601 # DEPENDENCYPART_ARC
(21,5),-1.35482 # DEPENDENCYPART_ARC
(21,6),-3.65961 # DEPENDENCYPART_ARC
(21,7),-2.00597 # DEPENDENCYPART_ARC
(21,8),-3.23288 # DEPENDENCYPART_ARC
(21,9),-2.4717 # DEPENDENCYPART_ARC
(21,10),-3.03286 # DEPENDENCYPART_ARC
(21,11),-1.8011 # DEPENDENCYPART_ARC
(21,12),-1.63274 # DEPENDENCYPART_ARC
(21,13),-2.03353 # DEPENDENCYPART_ARC
(21,14),-2.62867 # DEPENDENCYPART_ARC
(21,15),-0.834856 # DEPENDENCYPART_ARC
(21,16),0.0444878 # DEPENDENCYPART_ARC
(21,17),-1.35045 # DEPENDENCYPART_ARC
(21,18),1.00676 # DEPENDENCYPART_ARC
(21,19),1.21822 # DEPENDENCYPART_ARC
(21,20),0.608813 # DEPENDENCYPART_ARC
(21,22),1.72225 # DEPENDENCYPART_ARC
(21,23),-0.823865 # DEPENDENCYPART_ARC
(21,24),0.0616385 # DEPENDENCYPART_ARC
(21,25),0.670479 # DEPENDENCYPART_ARC
(21,26),0.0877241 # DEPENDENCYPART_ARC
(22,1),-2.93056 # DEPENDENCYPART_ARC
(22,2),-3.18981 # DEPENDENCYPART_ARC
(22,3),-3.47607 # DEPENDENCYPART_ARC
(22,4),-2.96782 # DEPENDENCYPART_ARC
(22,5),-1.66637 # DEPENDENCYPART_ARC
(22,6),-3.14999 # DEPENDENCYPART_ARC
(22,7),-2.89757 # DEPENDENCYPART_ARC
(22,8),-3.10743 # DEPENDENCYPART_ARC
(22,9),-2.02146 # DEPENDENCYPART_ARC
(22,10),-2.93706 # DEPENDENCYPART_ARC
(22,11),-1.74745 # DEPENDENCYPART_ARC
(22,12),-1.42228 # DEPENDENCYPART_ARC
(22,13),-0.786768 # DEPENDENCYPART_ARC
(22,14),-1.73518 # DEPENDENCYPART_ARC
(22,15),-0.987459 # DEPENDENCYPART_ARC
(22,16),-1.05869 # DEPENDENCYPART_ARC
(22,17),-1.56686 # DEPENDENCYPART_ARC
(22,18),-0.401078 # DEPENDENCYPART_ARC
(22,19),-0.0298183 # DEPENDENCYPART_ARC
(22,20),-0.439504 # DEPENDENCYPART_ARC
(22,21),0.331896 # DEPENDENCYPART_ARC
(22,23),0.230863 # DEPENDENCYPART_ARC
(22,24),4.79155 # DEPENDENCYPART_ARC
(22,25),0.673747 # DEPENDENCYPART_ARC
(22,26),-0.165454 # DEPENDENCYPART_ARC
(23,1),-4.80468 # DEPENDENCYPART_ARC
(23,2),-3.71808 # DEPENDENCYPART_ARC
(23,3),-2.98741 # DEPENDENCYPART_ARC
(23,4),-2.94062 # DEPENDENCYPART_ARC
(23,5),-2.34936 # DEPENDENCYPART_ARC
(23,6),-3.37356 # DEPENDENCYPART_ARC
(23,7),-2.97162 # DEPENDENCYPART_ARC
(23,8),-2.87532 # DEPENDENCYPART_ARC
(23,9),-2.36346 # DEPENDENCYPART_ARC
(23,10),-2.82541 # DEPENDENCYPART_ARC
(23,11),-2.27712 # DEPENDENCYPART_ARC
(23,12),-2.40807 # DEPENDENCYPART_ARC
(23,13),-3.12336 # DEPENDENCYPART_ARC
(23,14),-3.24392 # DEPENDENCYPART_ARC
(23,15),-1.94006 # DEPENDENCYPART_ARC
(23,16),-1.44538 # DEPENDENCYPART_ARC
(23,17),-2.19664 # DEPENDENCYPART_ARC
(23,18),-1.47543 # DEPENDENCYPART_ARC
(23,19),-0.377121 # DEPENDENCYPART_ARC
(23,20),-1.60799 # DEPENDENCYPART_ARC
(23,21),-1.05881 # DEPENDENCYPART_ARC
(23,22),0.0863577 # DEPENDENCYPART_ARC
(23,24),1.01745 # DEPENDENCYPART_ARC
(23,25),-1.09473 # DEPENDENCYPART_ARC
(23,26),-1.74955 # DEPENDENCYPART_ARC
(24,1),-9.70757 # DEPENDENCYPART_ARC
(24,2),-3.50957 # DEPENDENCYPART_ARC
(24,3),-3.03539 # DEPENDENCYPART_ARC
(24,4),-2.6369 # DEPENDENCYPART_ARC
(24,5),-1.67243 # DEPENDENCYPART_ARC
(24,6),-2.96748 # DEPENDENCYPART_ARC
(24,7),-2.06333 # DEPENDENCYPART_ARC
(24,8),-2.78484 # DEPENDENCYPART_ARC
(24,9),-2.00107 # DEPENDENCYPART_ARC
(24,10),-3.11698 # DEPENDENCYPART_ARC
(24,11),-2.07062 # DEPENDENCYPART_ARC
(24,12),-2.15703 # DEPENDENCYPART_ARC
(24,13),-2.56453 # DEPENDENCYPART_ARC
(24,14),-2.51071 # DEPENDENCYPART_ARC
(24,15),-1.2487 # DEPENDENCYPART_ARC
(24,16),-0.601118 # DEPENDENCYPART_ARC
(24,17),-1.65801 # DEPENDENCYPART_ARC
(24,18),-0.633685 # DEPENDENCYPART_ARC
(24,19),1.64873 # DEPENDENCYPART_ARC
(24,20),-1.17804 # DEPENDENCYPART_ARC
(24,21),-0.556716 # DEPENDENCYPART_ARC
(24,22),0.473241 # DEPENDENCYPART_ARC
(24,23),4.83603 # DEPENDENCYPART_ARC
(24,25),4.02419 # DEPENDENCYPART_ARC
(24,26),0.57053 # DEPENDENCYPART_ARC
(25,1),-2.60219 # DEPENDENCYPART_ARC
(25,2),-4.76285 # DEPENDENCYPART_ARC
(25,3),-4.24796 # DEPENDENCYPART_ARC
(25,4),-4.47167 # DEPENDENCYPART_ARC
(25,5),-2.22802 # DEPENDENCYPART_ARC
(25,6),-4.56827 # DEPENDENCYPART_ARC
(25,7),-3.52707 # DEPENDENCYPART_ARC
(25,8),-4.19253 # DEPENDENCYPART_ARC
(25,9),-3.28432 # DEPENDENCYPART_ARC
(25,10),-3.96071 # DEPENDENCYPART_ARC
(25,11),-2.85992 # DEPENDENCYPART_ARC
(25,12),-2.50187 # DEPENDENCYPART_ARC
(25,13),-2.84206 # DEPENDENCYPART_ARC
(25,14),-3.30369 # DEPENDENCYPART_ARC
(25,15),-2.26239 # DEPENDENCYPART_ARC
(25,16),-1.76772 # DEPENDENCYPART_ARC
(25,17),-2.64705 # DEPENDENCYPART_ARC
(25,18),-1.18664 # DEPENDENCYPART_ARC
(25,19),-1.69918 # DEPENDENCYPART_ARC
(25,20),-2.04656 # DEPENDENCYPART_ARC
(25,21),-2.08754 # DEPENDENCYPART_ARC
(25,22),-0.675213 # DEPENDENCYPART_ARC
(25,23),0.98258 # DEPENDENCYPART_ARC
(25,24),0.00884099 # DEPENDENCYPART_ARC
(25,26),-0.58117 # DEPENDENCYPART_ARC
(26,1),-4.25159 # DEPENDENCYPART_ARC
(26,2),-4.27449 # DEPENDENCYPART_ARC
(26,3),-3.44926 # DEPENDENCYPART_ARC
(26,4),-4.13439 # DEPENDENCYPART_ARC
(26,5),-3.31527 # DEPENDENCYPART_ARC
(26,6),-4.08514 # DEPENDENCYPART_ARC
(26,7),-3.36969 # DEPENDENCYPART_ARC
(26,8),-4.1592 # DEPENDENCYPART_ARC
(26,9),-3.12042 # DEPENDENCYPART_ARC
(26,10),-4.03831 # DEPENDENCYPART_ARC
(26,11),-3.03991 # DEPENDENCYPART_ARC
(26,12),-3.52857 # DEPENDENCYPART_ARC
(26,13),-3.90387 # DEPENDENCYPART_ARC
(26,14),-3.6969 # DEPENDENCYPART_ARC
(26,15),-2.84235 # DEPENDENCYPART_ARC
(26,16),-3.4941 # DEPENDENCYPART_ARC
(26,17),-3.50925 # DEPENDENCYPART_ARC
(26,18),-2.5953 # DEPENDENCYPART_ARC
(26,19),-3.37596 # DEPENDENCYPART_ARC
(26,20),-3.15864 # DEPENDENCYPART_ARC
(26,21),-2.68455 # DEPENDENCYPART_ARC
(26,22),-2.11651 # DEPENDENCYPART_ARC
(26,23),-2.31247 # DEPENDENCYPART_ARC
(26,24),-2.25914 # DEPENDENCYPART_ARC
(26,25),-1.03427 # DEPENDENCYPART_ARC
