# _root_ En el cas del disc de Belén_Alonso , la fotografia de llibret és de Julia_Llona i el disseny de Juanjo_Melgar ; en el disc de Díaz , la fotografia i el disseny del llibret són de Carlos_Roche .
#goldHeads=13,3,1,3,4,3,6,1,10,13,10,11,0,13,14,13,18,13,18,19,13,35,24,22,24,25,22,29,35,29,32,29,29,33,13,35,36,13,
#predictedHeads=13,3,1,3,4,5,6,1,10,13,10,11,0,13,14,13,18,13,18,19,13,18,24,22,24,25,22,29,35,29,32,29,32,33,13,35,36,13,
(14,36),-1.38527 # DEPENDENCYPART_ARC
(14,37),-12.9222 # DEPENDENCYPART_ARC
(14,38),-0.432116 # DEPENDENCYPART_ARC
(15,1),-2.62842 # DEPENDENCYPART_ARC
(15,2),-6.56163 # DEPENDENCYPART_ARC
(15,3),-2.73391 # DEPENDENCYPART_ARC
(15,4),-2.18422 # DEPENDENCYPART_ARC
(15,5),-1.91233 # DEPENDENCYPART_ARC
(15,6),-1.69042 # DEPENDENCYPART_ARC
(15,7),-1.89368 # DEPENDENCYPART_ARC
(15,8),-2.08956 # DEPENDENCYPART_ARC
(15,9),-1.73772 # DEPENDENCYPART_ARC
(15,10),-1.89715 # DEPENDENCYPART_ARC
(15,11),-0.699279 # DEPENDENCYPART_ARC
(15,12),-0.816872 # DEPENDENCYPART_ARC
(15,13),-0.604932 # DEPENDENCYPART_ARC
(15,14),1.1956 # DEPENDENCYPART_ARC
(15,16),1.54839 # DEPENDENCYPART_ARC
(15,17),-0.616592 # DEPENDENCYPART_ARC
(15,18),0.721686 # DEPENDENCYPART_ARC
(15,19),1.25673 # DEPENDENCYPART_ARC
(15,20),1.26824 # DEPENDENCYPART_ARC
(15,21),0.513529 # DEPENDENCYPART_ARC
(15,22),-0.896673 # DEPENDENCYPART_ARC
(15,23),-2.0656 # DEPENDENCYPART_ARC
(15,24),0.188673 # DEPENDENCYPART_ARC
(15,25),-0.356557 # DEPENDENCYPART_ARC
(15,26),0.798381 # DEPENDENCYPART_ARC
(15,27),-0.196232 # DEPENDENCYPART_ARC
(15,28),-2.51016 # DEPENDENCYPART_ARC
(15,29),0.904934 # DEPENDENCYPART_ARC
(15,30),0.591098 # DEPENDENCYPART_ARC
(15,31),-2.62301 # DEPENDENCYPART_ARC
(15,32),-0.557661 # DEPENDENCYPART_ARC
(15,33),-1.57494 # DEPENDENCYPART_ARC
(15,34),0.39996 # DEPENDENCYPART_ARC
(15,35),0.385835 # DEPENDENCYPART_ARC
(15,36),-4.62528 # DEPENDENCYPART_ARC
(15,37),-0.931467 # DEPENDENCYPART_ARC
(15,38),-0.300184 # DEPENDENCYPART_ARC
(16,7),-3.86506 # DEPENDENCYPART_ARC
(16,8),-3.26134 # DEPENDENCYPART_ARC
(16,15),-1.43202 # DEPENDENCYPART_ARC
(16,20),-1.48761 # DEPENDENCYPART_ARC
(16,26),-3.00272 # DEPENDENCYPART_ARC
(16,27),-2.36718 # DEPENDENCYPART_ARC
(16,37),-5.26244 # DEPENDENCYPART_ARC
(17,1),-3.09728 # DEPENDENCYPART_ARC
(17,2),-3.67809 # DEPENDENCYPART_ARC
(17,3),-3.14634 # DEPENDENCYPART_ARC
(17,4),-2.83752 # DEPENDENCYPART_ARC
(17,5),-2.97422 # DEPENDENCYPART_ARC
(17,6),-2.91315 # DEPENDENCYPART_ARC
(17,7),-2.57535 # DEPENDENCYPART_ARC
(17,9),-2.72929 # DEPENDENCYPART_ARC
(17,10),-2.6723 # DEPENDENCYPART_ARC
(17,11),-1.99495 # DEPENDENCYPART_ARC
(17,12),-2.30296 # DEPENDENCYPART_ARC
(17,14),-0.880484 # DEPENDENCYPART_ARC
(17,15),-0.791107 # DEPENDENCYPART_ARC
(17,16),0.191346 # DEPENDENCYPART_ARC
(17,18),0.360287 # DEPENDENCYPART_ARC
(17,19),0.313854 # DEPENDENCYPART_ARC
(17,20),-2.68949 # DEPENDENCYPART_ARC
(17,22),-2.95733 # DEPENDENCYPART_ARC
(17,23),-2.49011 # DEPENDENCYPART_ARC
(17,24),-3.30506 # DEPENDENCYPART_ARC
(17,25),-2.34873 # DEPENDENCYPART_ARC
(17,26),-4.27569 # DEPENDENCYPART_ARC
(17,28),-4.91805 # DEPENDENCYPART_ARC
(17,29),-4.4856 # DEPENDENCYPART_ARC
(17,30),-3.29692 # DEPENDENCYPART_ARC
(17,31),-5.2534 # DEPENDENCYPART_ARC
(17,32),-4.28526 # DEPENDENCYPART_ARC
(17,33),-3.90608 # DEPENDENCYPART_ARC
(17,34),-4.64037 # DEPENDENCYPART_ARC
(17,36),-4.57541 # DEPENDENCYPART_ARC
(17,37),-5.79194 # DEPENDENCYPART_ARC
(18,1),-2.47153 # DEPENDENCYPART_ARC
(18,2),-6.52216 # DEPENDENCYPART_ARC
(18,3),-2.55653 # DEPENDENCYPART_ARC
(18,4),-2.92085 # DEPENDENCYPART_ARC
(18,5),-2.05497 # DEPENDENCYPART_ARC
(18,6),-1.8954 # DEPENDENCYPART_ARC
(18,7),-2.06154 # DEPENDENCYPART_ARC
(18,8),-1.34538 # DEPENDENCYPART_ARC
(18,9),-1.67785 # DEPENDENCYPART_ARC
(18,10),-1.95038 # DEPENDENCYPART_ARC
(18,11),-1.12611 # DEPENDENCYPART_ARC
(18,12),-1.29786 # DEPENDENCYPART_ARC
(18,13),-0.599373 # DEPENDENCYPART_ARC
(18,14),-0.0521451 # DEPENDENCYPART_ARC
(18,15),-0.236994 # DEPENDENCYPART_ARC
(18,16),0.649603 # DEPENDENCYPART_ARC
(18,17),4.05495 # DEPENDENCYPART_ARC
(18,19),3.74509 # DEPENDENCYPART_ARC
(18,20),1.38969 # DEPENDENCYPART_ARC
(18,21),1.4711 # DEPENDENCYPART_ARC
(18,22),0.763076 # DEPENDENCYPART_ARC
(18,23),-1.31299 # DEPENDENCYPART_ARC
(18,24),1.13738 # DEPENDENCYPART_ARC
(18,25),1.71991 # DEPENDENCYPART_ARC
(18,26),0.376442 # DEPENDENCYPART_ARC
(18,27),0.799508 # DEPENDENCYPART_ARC
(18,28),-2.38581 # DEPENDENCYPART_ARC
(18,29),1.06958 # DEPENDENCYPART_ARC
(18,30),2.22217 # DEPENDENCYPART_ARC
(18,31),-1.91407 # DEPENDENCYPART_ARC
(18,32),1.13908 # DEPENDENCYPART_ARC
(18,33),0.670191 # DEPENDENCYPART_ARC
(18,34),0.769029 # DEPENDENCYPART_ARC
(18,35),0.265894 # DEPENDENCYPART_ARC
(18,36),-1.22034 # DEPENDENCYPART_ARC
(18,37),-0.538385 # DEPENDENCYPART_ARC
(18,38),0.973436 # DEPENDENCYPART_ARC
(19,1),-3.13204 # DEPENDENCYPART_ARC
(19,2),-3.04219 # DEPENDENCYPART_ARC
(19,3),-2.63387 # DEPENDENCYPART_ARC
(19,4),-2.69062 # DEPENDENCYPART_ARC
(19,5),-2.36226 # DEPENDENCYPART_ARC
(19,6),-2.70043 # DEPENDENCYPART_ARC
(19,7),-2.44913 # DEPENDENCYPART_ARC
(19,8),-2.20301 # DEPENDENCYPART_ARC
(19,9),-1.90273 # DEPENDENCYPART_ARC
(19,10),-1.83896 # DEPENDENCYPART_ARC
(19,11),-1.92779 # DEPENDENCYPART_ARC
(19,12),-1.64635 # DEPENDENCYPART_ARC
(19,13),-0.872517 # DEPENDENCYPART_ARC
(19,14),-1.02538 # DEPENDENCYPART_ARC
(19,15),-1.04052 # DEPENDENCYPART_ARC
(19,16),-0.713499 # DEPENDENCYPART_ARC
(19,17),0.263751 # DEPENDENCYPART_ARC
(19,18),0.388609 # DEPENDENCYPART_ARC
(19,20),3.82017 # DEPENDENCYPART_ARC
(19,21),0.599842 # DEPENDENCYPART_ARC
(19,22),-0.597 # DEPENDENCYPART_ARC
(19,23),-2.94023 # DEPENDENCYPART_ARC
(19,24),-0.274555 # DEPENDENCYPART_ARC
(19,25),-0.420803 # DEPENDENCYPART_ARC
(19,26),-1.78185 # DEPENDENCYPART_ARC
(19,27),-0.944304 # DEPENDENCYPART_ARC
(19,28),-3.21088 # DEPENDENCYPART_ARC
(19,29),-4.13916 # DEPENDENCYPART_ARC
(19,30),-0.302801 # DEPENDENCYPART_ARC
(19,31),-3.03014 # DEPENDENCYPART_ARC
(19,32),-6.78272 # DEPENDENCYPART_ARC
(19,33),-0.834032 # DEPENDENCYPART_ARC
(19,34),-7.42818 # DEPENDENCYPART_ARC
(19,35),-2.75443 # DEPENDENCYPART_ARC
(19,36),-1.19551 # DEPENDENCYPART_ARC
(19,37),-10.189 # DEPENDENCYPART_ARC
(19,38),-1.29218 # DEPENDENCYPART_ARC
(20,1),-2.54105 # DEPENDENCYPART_ARC
(20,2),-7.59853 # DEPENDENCYPART_ARC
(20,3),-2.32408 # DEPENDENCYPART_ARC
(20,4),-2.29429 # DEPENDENCYPART_ARC
(20,5),-1.29585 # DEPENDENCYPART_ARC
(20,6),-1.57599 # DEPENDENCYPART_ARC
(20,7),-1.21332 # DEPENDENCYPART_ARC
(20,8),-1.38119 # DEPENDENCYPART_ARC
(20,9),-2.26156 # DEPENDENCYPART_ARC
(20,10),-1.71158 # DEPENDENCYPART_ARC
(20,11),-0.902031 # DEPENDENCYPART_ARC
(20,12),-0.617646 # DEPENDENCYPART_ARC
(20,13),-0.802185 # DEPENDENCYPART_ARC
(20,14),-0.265348 # DEPENDENCYPART_ARC
(20,15),-0.0513586 # DEPENDENCYPART_ARC
(20,16),0.0719457 # DEPENDENCYPART_ARC
(20,17),1.28083 # DEPENDENCYPART_ARC
(20,18),0.297361 # DEPENDENCYPART_ARC
(20,19),1.93152 # DEPENDENCYPART_ARC
(20,21),-0.47765 # DEPENDENCYPART_ARC
(20,22),-1.47786 # DEPENDENCYPART_ARC
(20,23),-2.6074 # DEPENDENCYPART_ARC
(20,24),-0.823393 # DEPENDENCYPART_ARC
(20,25),-0.715637 # DEPENDENCYPART_ARC
(20,26),-0.499475 # DEPENDENCYPART_ARC
(20,27),-0.68406 # DEPENDENCYPART_ARC
(20,28),-3.45658 # DEPENDENCYPART_ARC
(20,29),-0.239146 # DEPENDENCYPART_ARC
(20,30),0.743387 # DEPENDENCYPART_ARC
(20,31),-3.51684 # DEPENDENCYPART_ARC
(20,32),-0.879641 # DEPENDENCYPART_ARC
(20,33),-2.14463 # DEPENDENCYPART_ARC
(20,34),-0.814528 # DEPENDENCYPART_ARC
(20,35),-1.4093 # DEPENDENCYPART_ARC
(20,36),-4.57693 # DEPENDENCYPART_ARC
(20,37),-1.36352 # DEPENDENCYPART_ARC
(20,38),-1.05043 # DEPENDENCYPART_ARC
(22,1),-4.77687 # DEPENDENCYPART_ARC
(22,2),-4.37441 # DEPENDENCYPART_ARC
(22,3),-4.46111 # DEPENDENCYPART_ARC
(22,4),-4.84865 # DEPENDENCYPART_ARC
(22,5),-4.14977 # DEPENDENCYPART_ARC
(22,6),-4.51824 # DEPENDENCYPART_ARC
(22,7),-4.21519 # DEPENDENCYPART_ARC
(22,8),-3.14965 # DEPENDENCYPART_ARC
(22,9),-3.54655 # DEPENDENCYPART_ARC
(22,10),-3.72828 # DEPENDENCYPART_ARC
(22,11),-3.78341 # DEPENDENCYPART_ARC
(22,12),-3.44032 # DEPENDENCYPART_ARC
(22,13),-2.08928 # DEPENDENCYPART_ARC
(22,14),-2.88955 # DEPENDENCYPART_ARC
(22,15),-3.10053 # DEPENDENCYPART_ARC
(22,16),-2.29054 # DEPENDENCYPART_ARC
(22,17),-2.38933 # DEPENDENCYPART_ARC
(22,18),-3.0782 # DEPENDENCYPART_ARC
(22,19),-1.67722 # DEPENDENCYPART_ARC
(22,20),-2.34616 # DEPENDENCYPART_ARC
(22,21),0.381193 # DEPENDENCYPART_ARC
(22,23),0.0178129 # DEPENDENCYPART_ARC
(22,24),4.20121 # DEPENDENCYPART_ARC
(22,25),-0.342146 # DEPENDENCYPART_ARC
(22,26),0.865766 # DEPENDENCYPART_ARC
(22,27),2.22484 # DEPENDENCYPART_ARC
(22,28),-2.01392 # DEPENDENCYPART_ARC
(22,29),-2.4936 # DEPENDENCYPART_ARC
(22,30),0.0727089 # DEPENDENCYPART_ARC
(22,31),-1.86331 # DEPENDENCYPART_ARC
(22,32),-5.81756 # DEPENDENCYPART_ARC
(22,33),-1.86112 # DEPENDENCYPART_ARC
(22,34),-7.17876 # DEPENDENCYPART_ARC
(22,35),-1.89385 # DEPENDENCYPART_ARC
(22,36),-3.20869 # DEPENDENCYPART_ARC
(22,37),-10.3542 # DEPENDENCYPART_ARC
(22,38),-0.00665823 # DEPENDENCYPART_ARC
(23,1),-5.12649 # DEPENDENCYPART_ARC
(23,2),-6.21403 # DEPENDENCYPART_ARC
(23,3),-4.46878 # DEPENDENCYPART_ARC
(23,4),-4.62069 # DEPENDENCYPART_ARC
(23,5),-4.39794 # DEPENDENCYPART_ARC
(23,6),-4.90007 # DEPENDENCYPART_ARC
(23,7),-4.146 # DEPENDENCYPART_ARC
(23,9),-5.20689 # DEPENDENCYPART_ARC
(23,10),-4.30297 # DEPENDENCYPART_ARC
(23,11),-4.25879 # DEPENDENCYPART_ARC
(23,12),-4.11019 # DEPENDENCYPART_ARC
(23,14),-3.57229 # DEPENDENCYPART_ARC
(23,15),-3.30259 # DEPENDENCYPART_ARC
(23,16),-3.05505 # DEPENDENCYPART_ARC
(23,17),-3.65693 # DEPENDENCYPART_ARC
(23,18),-3.29922 # DEPENDENCYPART_ARC
(23,19),-2.7905 # DEPENDENCYPART_ARC
(23,20),-2.62291 # DEPENDENCYPART_ARC
(23,22),-0.910762 # DEPENDENCYPART_ARC
(23,24),1.91078 # DEPENDENCYPART_ARC
(23,25),0.0926327 # DEPENDENCYPART_ARC
(23,26),-2.36169 # DEPENDENCYPART_ARC
(23,28),-1.92054 # DEPENDENCYPART_ARC
(23,29),-3.03058 # DEPENDENCYPART_ARC
(23,30),-2.27672 # DEPENDENCYPART_ARC
(23,31),-2.74087 # DEPENDENCYPART_ARC
(23,32),-2.46942 # DEPENDENCYPART_ARC
(23,33),-3.12799 # DEPENDENCYPART_ARC
(23,34),-3.58781 # DEPENDENCYPART_ARC
(23,36),-3.69635 # DEPENDENCYPART_ARC
(23,37),-4.77961 # DEPENDENCYPART_ARC
(24,1),-3.69805 # DEPENDENCYPART_ARC
(24,2),-9.59233 # DEPENDENCYPART_ARC
(24,3),-3.43562 # DEPENDENCYPART_ARC
(24,4),-4.00347 # DEPENDENCYPART_ARC
(24,5),-2.65471 # DEPENDENCYPART_ARC
(24,6),-2.96415 # DEPENDENCYPART_ARC
(24,7),-2.65639 # DEPENDENCYPART_ARC
(24,8),-1.98916 # DEPENDENCYPART_ARC
(24,9),-3.5889 # DEPENDENCYPART_ARC
(24,10),-2.78971 # DEPENDENCYPART_ARC
(24,11),-2.33674 # DEPENDENCYPART_ARC
(24,12),-2.2076 # DEPENDENCYPART_ARC
(24,13),-1.63771 # DEPENDENCYPART_ARC
(24,14),-1.39069 # DEPENDENCYPART_ARC
(24,15),-1.51676 # DEPENDENCYPART_ARC
(24,16),-0.835123 # DEPENDENCYPART_ARC
(24,17),-2.08347 # DEPENDENCYPART_ARC
(24,18),-1.77458 # DEPENDENCYPART_ARC
(24,19),-1.16095 # DEPENDENCYPART_ARC
(24,20),-1.08446 # DEPENDENCYPART_ARC
(24,21),0.068532 # DEPENDENCYPART_ARC
(24,22),1.12072 # DEPENDENCYPART_ARC
(24,23),3.90961 # DEPENDENCYPART_ARC
(24,25),3.41775 # DEPENDENCYPART_ARC
(24,26),1.32885 # DEPENDENCYPART_ARC
(24,27),0.77381 # DEPENDENCYPART_ARC
(24,28),-1.83934 # DEPENDENCYPART_ARC
(24,29),1.35917 # DEPENDENCYPART_ARC
(24,30),1.99562 # DEPENDENCYPART_ARC
(24,31),-1.52566 # DEPENDENCYPART_ARC
(24,32),1.41322 # DEPENDENCYPART_ARC
(24,33),1.17583 # DEPENDENCYPART_ARC
(24,34),0.969051 # DEPENDENCYPART_ARC
(24,35),0.188817 # DEPENDENCYPART_ARC
(24,36),-1.32841 # DEPENDENCYPART_ARC
(24,37),-0.421522 # DEPENDENCYPART_ARC
(24,38),0.522644 # DEPENDENCYPART_ARC
(25,1),-3.84555 # DEPENDENCYPART_ARC
(25,2),-3.69798 # DEPENDENCYPART_ARC
(25,3),-3.32486 # DEPENDENCYPART_ARC
(25,4),-3.53978 # DEPENDENCYPART_ARC
(25,5),-2.79058 # DEPENDENCYPART_ARC
(25,6),-3.30869 # DEPENDENCYPART_ARC
(25,7),-2.99448 # DEPENDENCYPART_ARC
(25,8),-2.68221 # DEPENDENCYPART_ARC
(25,9),-2.55798 # DEPENDENCYPART_ARC
(25,10),-2.31323 # DEPENDENCYPART_ARC
(25,11),-2.69014 # DEPENDENCYPART_ARC
(25,12),-2.31497 # DEPENDENCYPART_ARC
(25,13),-1.81476 # DEPENDENCYPART_ARC
(25,14),-1.98507 # DEPENDENCYPART_ARC
(25,15),-1.87533 # DEPENDENCYPART_ARC
(25,16),-1.87327 # DEPENDENCYPART_ARC
(25,17),-2.10038 # DEPENDENCYPART_ARC
(25,18),-1.98234 # DEPENDENCYPART_ARC
(25,19),-1.29833 # DEPENDENCYPART_ARC
(25,20),-1.85688 # DEPENDENCYPART_ARC
(25,21),-0.250901 # DEPENDENCYPART_ARC
(25,22),-0.30803 # DEPENDENCYPART_ARC
(25,23),0.422596 # DEPENDENCYPART_ARC
(25,24),0.395292 # DEPENDENCYPART_ARC
(25,26),3.75399 # DEPENDENCYPART_ARC
(25,27),-0.300727 # DEPENDENCYPART_ARC
(25,28),-2.60363 # DEPENDENCYPART_ARC
(25,29),-0.599128 # DEPENDENCYPART_ARC
(25,30),-0.174107 # DEPENDENCYPART_ARC
(25,31),-2.9155 # DEPENDENCYPART_ARC
(25,32),-3.82874 # DEPENDENCYPART_ARC
(25,33),-0.56821 # DEPENDENCYPART_ARC
(25,34),-4.49267 # DEPENDENCYPART_ARC
(25,35),-2.53894 # DEPENDENCYPART_ARC
(25,36),-1.061 # DEPENDENCYPART_ARC
(25,37),-7.22604 # DEPENDENCYPART_ARC
(25,38),-1.14879 # DEPENDENCYPART_ARC
(26,1),-4.22436 # DEPENDENCYPART_ARC
(26,2),-11.0518 # DEPENDENCYPART_ARC
(26,3),-3.47902 # DEPENDENCYPART_ARC
(26,4),-4.00125 # DEPENDENCYPART_ARC
(26,5),-2.57779 # DEPENDENCYPART_ARC
(26,6),-2.87183 # DEPENDENCYPART_ARC
(26,7),-2.18349 # DEPENDENCYPART_ARC
(26,8),-2.48859 # DEPENDENCYPART_ARC
(26,9),-4.50028 # DEPENDENCYPART_ARC
(26,10),-2.88336 # DEPENDENCYPART_ARC
(26,11),-2.27306 # DEPENDENCYPART_ARC
(26,12),-1.84362 # DEPENDENCYPART_ARC
(26,13),-1.98841 # DEPENDENCYPART_ARC
(26,14),-1.86213 # DEPENDENCYPART_ARC
(26,15),-1.43999 # DEPENDENCYPART_ARC
(26,16),-1.1046 # DEPENDENCYPART_ARC
(26,17),-3.48801 # DEPENDENCYPART_ARC
(26,18),-1.98386 # DEPENDENCYPART_ARC
(26,19),-1.29103 # DEPENDENCYPART_ARC
(26,20),-0.871073 # DEPENDENCYPART_ARC
(26,21),-1.1194 # DEPENDENCYPART_ARC
(26,22),-0.171864 # DEPENDENCYPART_ARC
(26,23),0.761907 # DEPENDENCYPART_ARC
(26,24),-0.323212 # DEPENDENCYPART_ARC
(26,25),1.34336 # DEPENDENCYPART_ARC
(26,27),0.329668 # DEPENDENCYPART_ARC
(26,28),-0.95932 # DEPENDENCYPART_ARC
(26,29),1.27224 # DEPENDENCYPART_ARC
(26,30),2.09911 # DEPENDENCYPART_ARC
(26,31),-1.72829 # DEPENDENCYPART_ARC
(26,32),0.643443 # DEPENDENCYPART_ARC
(26,33),0.154311 # DEPENDENCYPART_ARC
(26,34),0.51508 # DEPENDENCYPART_ARC
(26,35),-0.26302 # DEPENDENCYPART_ARC
(26,36),-2.0138 # DEPENDENCYPART_ARC
(26,37),-0.111292 # DEPENDENCYPART_ARC
(26,38),0.00760649 # DEPENDENCYPART_ARC
(27,3),-4.38119 # DEPENDENCYPART_ARC
(27,5),-4.12514 # DEPENDENCYPART_ARC
(27,8),-2.31413 # DEPENDENCYPART_ARC
(27,10),-3.89813 # DEPENDENCYPART_ARC
(27,12),-3.60729 # DEPENDENCYPART_ARC
(27,18),-3.51559 # DEPENDENCYPART_ARC
(27,24),-2.62331 # DEPENDENCYPART_ARC
(27,29),-0.980958 # DEPENDENCYPART_ARC
(27,32),-1.5541 # DEPENDENCYPART_ARC
(27,34),-1.61325 # DEPENDENCYPART_ARC
(28,1),-4.65566 # DEPENDENCYPART_ARC
(28,2),-6.34753 # DEPENDENCYPART_ARC
(28,3),-3.94536 # DEPENDENCYPART_ARC
(28,4),-3.57298 # DEPENDENCYPART_ARC
(28,5),-3.70639 # DEPENDENCYPART_ARC
(28,6),-4.71659 # DEPENDENCYPART_ARC
(28,7),-3.59232 # DEPENDENCYPART_ARC
(28,9),-4.87518 # DEPENDENCYPART_ARC
(28,10),-3.29787 # DEPENDENCYPART_ARC
(28,11),-3.97174 # DEPENDENCYPART_ARC
(28,12),-3.34943 # DEPENDENCYPART_ARC
(28,14),-3.48115 # DEPENDENCYPART_ARC
(28,15),-2.78597 # DEPENDENCYPART_ARC
(28,16),-2.46202 # DEPENDENCYPART_ARC
(28,17),-3.82661 # DEPENDENCYPART_ARC
(28,18),-2.83696 # DEPENDENCYPART_ARC
(28,19),-3.09129 # DEPENDENCYPART_ARC
(28,20),-2.55878 # DEPENDENCYPART_ARC
(28,22),-2.32671 # DEPENDENCYPART_ARC
(28,23),-1.83466 # DEPENDENCYPART_ARC
(28,24),-2.18559 # DEPENDENCYPART_ARC
(28,25),-1.69347 # DEPENDENCYPART_ARC
(28,26),-1.22823 # DEPENDENCYPART_ARC
(28,29),0.394145 # DEPENDENCYPART_ARC
(28,30),-0.824796 # DEPENDENCYPART_ARC
(28,31),-0.816824 # DEPENDENCYPART_ARC
(28,32),-2.116 # DEPENDENCYPART_ARC
(28,33),-1.44237 # DEPENDENCYPART_ARC
(28,34),-3.21357 # DEPENDENCYPART_ARC
(28,36),-2.47745 # DEPENDENCYPART_ARC
(28,37),-4.25124 # DEPENDENCYPART_ARC
(29,1),-4.20668 # DEPENDENCYPART_ARC
(29,2),-12.4106 # DEPENDENCYPART_ARC
(29,3),-3.46139 # DEPENDENCYPART_ARC
(29,4),-4.45018 # DEPENDENCYPART_ARC
(29,5),-2.79325 # DEPENDENCYPART_ARC
(29,6),-3.22471 # DEPENDENCYPART_ARC
(29,7),-2.81954 # DEPENDENCYPART_ARC
(29,8),-2.94531 # DEPENDENCYPART_ARC
(29,9),-4.88491 # DEPENDENCYPART_ARC
(29,10),-2.27901 # DEPENDENCYPART_ARC
(29,11),-2.53156 # DEPENDENCYPART_ARC
(29,12),-2.16078 # DEPENDENCYPART_ARC
(29,13),-1.4163 # DEPENDENCYPART_ARC
(29,14),-1.84582 # DEPENDENCYPART_ARC
(29,15),-1.69272 # DEPENDENCYPART_ARC
(29,16),-0.58139 # DEPENDENCYPART_ARC
(29,17),-5.22062 # DEPENDENCYPART_ARC
(29,18),-2.06656 # DEPENDENCYPART_ARC
(29,19),-1.50682 # DEPENDENCYPART_ARC
(29,20),-1.5028 # DEPENDENCYPART_ARC
(29,21),-1.39921 # DEPENDENCYPART_ARC
(29,22),-0.391913 # DEPENDENCYPART_ARC
(29,23),-1.77891 # DEPENDENCYPART_ARC
(29,24),-1.31471 # DEPENDENCYPART_ARC
(29,25),-0.393711 # DEPENDENCYPART_ARC
(29,26),-0.424553 # DEPENDENCYPART_ARC
(29,27),0.542017 # DEPENDENCYPART_ARC
(29,28),4.52917 # DEPENDENCYPART_ARC
(29,30),2.5036 # DEPENDENCYPART_ARC
(29,31),-0.729464 # DEPENDENCYPART_ARC
(29,32),1.72424 # DEPENDENCYPART_ARC
(29,33),2.57444 # DEPENDENCYPART_ARC
(29,34),1.62219 # DEPENDENCYPART_ARC
(29,35),1.3499 # DEPENDENCYPART_ARC
(29,36),-0.26262 # DEPENDENCYPART_ARC
(29,37),0.174469 # DEPENDENCYPART_ARC
(29,38),0.874141 # DEPENDENCYPART_ARC
(30,7),-4.37064 # DEPENDENCYPART_ARC
(30,8),-4.09075 # DEPENDENCYPART_ARC
(30,15),-3.7235 # DEPENDENCYPART_ARC
(30,20),-3.62342 # DEPENDENCYPART_ARC
(30,26),-3.03039 # DEPENDENCYPART_ARC
(30,27),-2.1888 # DEPENDENCYPART_ARC
(30,37),-2.74129 # DEPENDENCYPART_ARC
(31,1),-4.40129 # DEPENDENCYPART_ARC
(31,2),-5.4739 # DEPENDENCYPART_ARC
(31,3),-3.84493 # DEPENDENCYPART_ARC
(31,4),-4.06236 # DEPENDENCYPART_ARC
(31,5),-3.68703 # DEPENDENCYPART_ARC
(31,6),-4.61897 # DEPENDENCYPART_ARC
(31,7),-3.37677 # DEPENDENCYPART_ARC
(31,9),-4.77205 # DEPENDENCYPART_ARC
(31,10),-3.56437 # DEPENDENCYPART_ARC
(31,11),-3.72918 # DEPENDENCYPART_ARC
(31,12),-3.18164 # DEPENDENCYPART_ARC
(31,14),-3.19544 # DEPENDENCYPART_ARC
(31,15),-2.54347 # DEPENDENCYPART_ARC
(31,16),-2.07044 # DEPENDENCYPART_ARC
(31,17),-3.41273 # DEPENDENCYPART_ARC
(31,18),-2.89794 # DEPENDENCYPART_ARC
(31,19),-2.81118 # DEPENDENCYPART_ARC
(31,20),-2.56313 # DEPENDENCYPART_ARC
(31,22),-2.01483 # DEPENDENCYPART_ARC
(31,23),-2.11829 # DEPENDENCYPART_ARC
(31,24),-2.36836 # DEPENDENCYPART_ARC
(31,25),-1.80459 # DEPENDENCYPART_ARC
(31,26),-1.88897 # DEPENDENCYPART_ARC
(31,28),-0.579843 # DEPENDENCYPART_ARC
(31,29),-1.23973 # DEPENDENCYPART_ARC
(31,30),0.191346 # DEPENDENCYPART_ARC
(31,32),0.360287 # DEPENDENCYPART_ARC
(31,33),-0.231878 # DEPENDENCYPART_ARC
(31,34),-2.14292 # DEPENDENCYPART_ARC
(31,36),-1.90374 # DEPENDENCYPART_ARC
(31,37),-4.11173 # DEPENDENCYPART_ARC
(32,1),-4.60417 # DEPENDENCYPART_ARC
(32,2),-12.6353 # DEPENDENCYPART_ARC
(32,3),-3.41887 # DEPENDENCYPART_ARC
(32,4),-5.0738 # DEPENDENCYPART_ARC
(32,5),-2.96989 # DEPENDENCYPART_ARC
(32,6),-3.53786 # DEPENDENCYPART_ARC
(32,7),-3.033 # DEPENDENCYPART_ARC
(32,8),-2.29754 # DEPENDENCYPART_ARC
(32,9),-5.66651 # DEPENDENCYPART_ARC
(32,10),-3.05325 # DEPENDENCYPART_ARC
(32,11),-2.90914 # DEPENDENCYPART_ARC
(32,12),-2.26357 # DEPENDENCYPART_ARC
(32,13),-1.44627 # DEPENDENCYPART_ARC
(32,14),-1.94239 # DEPENDENCYPART_ARC
(32,15),-1.73275 # DEPENDENCYPART_ARC
(32,16),-0.732865 # DEPENDENCYPART_ARC
(32,17),-5.45251 # DEPENDENCYPART_ARC
(32,18),-2.32453 # DEPENDENCYPART_ARC
(32,19),-1.8475 # DEPENDENCYPART_ARC
(32,20),-1.89016 # DEPENDENCYPART_ARC
(32,21),-1.37532 # DEPENDENCYPART_ARC
(32,22),-0.451905 # DEPENDENCYPART_ARC
(32,23),-2.334 # DEPENDENCYPART_ARC
(32,24),-1.73533 # DEPENDENCYPART_ARC
(32,25),-0.870278 # DEPENDENCYPART_ARC
(32,26),-1.18194 # DEPENDENCYPART_ARC
(32,27),-0.232022 # DEPENDENCYPART_ARC
