# _root_ Tot_i_que ahir hi va haver una reunió de darrera hora , no es va aconseguir acostar posicions , de_manera_que els treballadors han decidit anar a la vaga .
#goldHeads=5,5,5,5,15,7,5,7,10,8,5,15,15,15,0,15,16,23,23,21,23,23,15,23,24,27,25,15,
#predictedHeads=5,5,5,5,0,7,5,7,10,8,4,15,15,15,7,15,16,23,23,21,23,23,16,23,24,27,25,16,
(24,26),-1.34693 # DEPENDENCYPART_ARC
(24,27),2.1804 # DEPENDENCYPART_ARC
(24,28),2.62809 # DEPENDENCYPART_ARC
(25,1),-0.796975 # DEPENDENCYPART_ARC
(25,2),-2.84557 # DEPENDENCYPART_ARC
(25,3),-2.78713 # DEPENDENCYPART_ARC
(25,4),-2.40115 # DEPENDENCYPART_ARC
(25,5),-2.37527 # DEPENDENCYPART_ARC
(25,6),-2.46847 # DEPENDENCYPART_ARC
(25,7),-2.8195 # DEPENDENCYPART_ARC
(25,8),-3.18487 # DEPENDENCYPART_ARC
(25,9),-1.7326 # DEPENDENCYPART_ARC
(25,10),-2.57643 # DEPENDENCYPART_ARC
(25,11),-3.07971 # DEPENDENCYPART_ARC
(25,12),-1.20574 # DEPENDENCYPART_ARC
(25,13),-1.84535 # DEPENDENCYPART_ARC
(25,14),-1.64548 # DEPENDENCYPART_ARC
(25,15),-1.93975 # DEPENDENCYPART_ARC
(25,16),-1.80783 # DEPENDENCYPART_ARC
(25,17),-2.03307 # DEPENDENCYPART_ARC
(25,18),-1.89769 # DEPENDENCYPART_ARC
(25,19),-0.177527 # DEPENDENCYPART_ARC
(25,20),-0.725063 # DEPENDENCYPART_ARC
(25,21),-1.50512 # DEPENDENCYPART_ARC
(25,22),-0.0767046 # DEPENDENCYPART_ARC
(25,23),-0.655932 # DEPENDENCYPART_ARC
(25,24),0.804143 # DEPENDENCYPART_ARC
(25,26),0.00980929 # DEPENDENCYPART_ARC
(25,27),5.1654 # DEPENDENCYPART_ARC
(25,28),0.19987 # DEPENDENCYPART_ARC
(26,2),-3.88372 # DEPENDENCYPART_ARC
(26,6),-3.76145 # DEPENDENCYPART_ARC
(26,7),-3.34596 # DEPENDENCYPART_ARC
(26,8),-3.93211 # DEPENDENCYPART_ARC
(26,9),-2.84876 # DEPENDENCYPART_ARC
(26,10),-3.3783 # DEPENDENCYPART_ARC
(26,17),-3.29342 # DEPENDENCYPART_ARC
(26,20),-3.4358 # DEPENDENCYPART_ARC
(26,21),-2.94211 # DEPENDENCYPART_ARC
(26,25),-0.235622 # DEPENDENCYPART_ARC
(26,27),0.541763 # DEPENDENCYPART_ARC
(27,1),-2.04942 # DEPENDENCYPART_ARC
(27,2),-3.00371 # DEPENDENCYPART_ARC
(27,3),-1.40577 # DEPENDENCYPART_ARC
(27,4),-3.87026 # DEPENDENCYPART_ARC
(27,5),-2.93189 # DEPENDENCYPART_ARC
(27,6),-4.92231 # DEPENDENCYPART_ARC
(27,7),-2.83051 # DEPENDENCYPART_ARC
(27,8),-2.23578 # DEPENDENCYPART_ARC
(27,9),-2.03395 # DEPENDENCYPART_ARC
(27,10),-2.68947 # DEPENDENCYPART_ARC
(27,11),-1.60363 # DEPENDENCYPART_ARC
(27,12),-1.86338 # DEPENDENCYPART_ARC
(27,14),-2.9735 # DEPENDENCYPART_ARC
(27,15),-2.48989 # DEPENDENCYPART_ARC
(27,16),-2.30387 # DEPENDENCYPART_ARC
(27,17),-1.96079 # DEPENDENCYPART_ARC
(27,18),-1.86514 # DEPENDENCYPART_ARC
(27,19),-1.4927 # DEPENDENCYPART_ARC
(27,20),-3.49037 # DEPENDENCYPART_ARC
(27,21),-2.24337 # DEPENDENCYPART_ARC
(27,22),-2.23837 # DEPENDENCYPART_ARC
(27,23),-2.0449 # DEPENDENCYPART_ARC
(27,24),-0.749226 # DEPENDENCYPART_ARC
(27,25),0.441726 # DEPENDENCYPART_ARC
(27,26),4.8113 # DEPENDENCYPART_ARC
(27,28),0.236699 # DEPENDENCYPART_ARC
