# _root_ L' empresa Formigons_Montcau desmantellarà la_seva fàbrica de Sabadell , situada al barri d' Hostafrancs i envoltada de vivendes , en un termini de tres anys .
#goldHeads=2,4,2,0,6,4,6,7,10,6,10,11,12,13,10,10,16,17,10,4,22,20,22,25,23,4,
#predictedHeads=2,4,2,0,6,4,6,7,10,6,10,11,12,13,10,10,16,17,10,6,22,20,22,25,23,4,
(24,20),0.127079 # DEPENDENCYPART_ARC
(24,21),1.11793 # DEPENDENCYPART_ARC
(24,22),0.260958 # DEPENDENCYPART_ARC
(24,23),1.6478 # DEPENDENCYPART_ARC
(24,25),-0.546787 # DEPENDENCYPART_ARC
(25,1),-6.71827 # DEPENDENCYPART_ARC
(25,2),-3.68957 # DEPENDENCYPART_ARC
(25,3),-2.81442 # DEPENDENCYPART_ARC
(25,4),-0.686158 # DEPENDENCYPART_ARC
(25,5),-3.70671 # DEPENDENCYPART_ARC
(25,6),-3.01621 # DEPENDENCYPART_ARC
(25,7),-2.56297 # DEPENDENCYPART_ARC
(25,8),-1.61965 # DEPENDENCYPART_ARC
(25,9),-1.73826 # DEPENDENCYPART_ARC
(25,10),-3.56399 # DEPENDENCYPART_ARC
(25,11),-2.66792 # DEPENDENCYPART_ARC
(25,12),-1.58294 # DEPENDENCYPART_ARC
(25,13),-1.3698 # DEPENDENCYPART_ARC
(25,14),-1.22992 # DEPENDENCYPART_ARC
(25,15),-0.630104 # DEPENDENCYPART_ARC
(25,16),-3.77107 # DEPENDENCYPART_ARC
(25,17),-1.30782 # DEPENDENCYPART_ARC
(25,18),-0.806195 # DEPENDENCYPART_ARC
(25,19),-0.581629 # DEPENDENCYPART_ARC
(25,20),0.0146214 # DEPENDENCYPART_ARC
(25,21),2.84819 # DEPENDENCYPART_ARC
(25,22),-1.02196 # DEPENDENCYPART_ARC
(25,23),1.12869 # DEPENDENCYPART_ARC
(25,24),3.70111 # DEPENDENCYPART_ARC
(25,26),0.0871436 # DEPENDENCYPART_ARC
(26,15),-2.0822 # DEPENDENCYPART_ARC
