# _root_ En l' obra s' hi pot veure un cert paral·lelisme amb la vida de l' autor , s' hi veu reflectida la_seva sensibilitat , les_seves inquietuds i els_seus dubtes .
#goldHeads=7,3,1,7,7,7,0,10,8,7,10,13,11,13,16,14,7,20,20,7,20,23,20,23,26,23,23,29,23,7,
#predictedHeads=7,3,1,7,7,7,0,10,8,7,7,13,11,13,16,14,20,20,20,16,20,23,20,23,26,23,23,29,26,7,
(17,12),-2.57362 # DEPENDENCYPART_ARC
(17,13),-3.00806 # DEPENDENCYPART_ARC
(17,14),-1.79568 # DEPENDENCYPART_ARC
(17,15),-1.36039 # DEPENDENCYPART_ARC
(17,16),-1.64516 # DEPENDENCYPART_ARC
(17,18),-2.08763 # DEPENDENCYPART_ARC
(17,19),-2.73351 # DEPENDENCYPART_ARC
(17,20),-2.63635 # DEPENDENCYPART_ARC
(17,21),-3.45591 # DEPENDENCYPART_ARC
(17,22),-4.07651 # DEPENDENCYPART_ARC
(17,23),-3.61782 # DEPENDENCYPART_ARC
(17,24),-3.0205 # DEPENDENCYPART_ARC
(17,25),-4.23681 # DEPENDENCYPART_ARC
(17,26),-3.70491 # DEPENDENCYPART_ARC
(17,27),-2.606 # DEPENDENCYPART_ARC
(17,28),-4.06778 # DEPENDENCYPART_ARC
(17,29),-3.61155 # DEPENDENCYPART_ARC
(17,30),-3.11502 # DEPENDENCYPART_ARC
(18,1),-2.14576 # DEPENDENCYPART_ARC
(18,2),-3.47446 # DEPENDENCYPART_ARC
(18,3),-2.99643 # DEPENDENCYPART_ARC
(18,4),-2.56613 # DEPENDENCYPART_ARC
(18,5),-2.50337 # DEPENDENCYPART_ARC
(18,6),-2.46486 # DEPENDENCYPART_ARC
(18,7),-2.31336 # DEPENDENCYPART_ARC
(18,8),-2.64803 # DEPENDENCYPART_ARC
(18,9),-2.57724 # DEPENDENCYPART_ARC
(18,10),-2.50744 # DEPENDENCYPART_ARC
(18,11),-1.52704 # DEPENDENCYPART_ARC
(18,12),-1.82662 # DEPENDENCYPART_ARC
(18,13),-2.30701 # DEPENDENCYPART_ARC
(18,14),-0.827356 # DEPENDENCYPART_ARC
(18,15),-0.396837 # DEPENDENCYPART_ARC
(18,16),-1.41552 # DEPENDENCYPART_ARC
(18,17),1.01964 # DEPENDENCYPART_ARC
(18,19),-0.0364985 # DEPENDENCYPART_ARC
(18,20),1.30037 # DEPENDENCYPART_ARC
(18,21),-1.29845 # DEPENDENCYPART_ARC
(18,22),-1.72735 # DEPENDENCYPART_ARC
(18,23),-0.749127 # DEPENDENCYPART_ARC
(18,24),-0.116698 # DEPENDENCYPART_ARC
(18,25),-2.22481 # DEPENDENCYPART_ARC
(18,26),-1.43118 # DEPENDENCYPART_ARC
(18,27),-0.30305 # DEPENDENCYPART_ARC
(18,28),-2.37841 # DEPENDENCYPART_ARC
(18,29),-1.55861 # DEPENDENCYPART_ARC
(18,30),0.676265 # DEPENDENCYPART_ARC
(19,1),-2.44709 # DEPENDENCYPART_ARC
(19,2),-5.1764 # DEPENDENCYPART_ARC
(19,3),-4.00497 # DEPENDENCYPART_ARC
(19,4),-2.74666 # DEPENDENCYPART_ARC
(19,5),-3.027 # DEPENDENCYPART_ARC
(19,6),-3.22934 # DEPENDENCYPART_ARC
(19,7),-2.89422 # DEPENDENCYPART_ARC
(19,8),-5.12797 # DEPENDENCYPART_ARC
(19,9),-4.73497 # DEPENDENCYPART_ARC
(19,10),-3.62919 # DEPENDENCYPART_ARC
(19,11),-1.92036 # DEPENDENCYPART_ARC
(19,12),-3.44354 # DEPENDENCYPART_ARC
(19,13),-3.24732 # DEPENDENCYPART_ARC
(19,14),-1.40166 # DEPENDENCYPART_ARC
(19,15),-2.33469 # DEPENDENCYPART_ARC
(19,16),-2.83626 # DEPENDENCYPART_ARC
(19,17),-0.519266 # DEPENDENCYPART_ARC
(19,18),-0.124982 # DEPENDENCYPART_ARC
(19,20),-0.0257379 # DEPENDENCYPART_ARC
(19,21),0.0943357 # DEPENDENCYPART_ARC
(19,22),-0.840656 # DEPENDENCYPART_ARC
(19,23),-1.25424 # DEPENDENCYPART_ARC
(19,24),-0.925425 # DEPENDENCYPART_ARC
(19,25),-1.30358 # DEPENDENCYPART_ARC
(19,26),-0.950141 # DEPENDENCYPART_ARC
(19,27),-0.651464 # DEPENDENCYPART_ARC
(19,28),-1.63601 # DEPENDENCYPART_ARC
(19,29),-1.50044 # DEPENDENCYPART_ARC
(19,30),-0.0495753 # DEPENDENCYPART_ARC
(20,1),1.65577 # DEPENDENCYPART_ARC
(20,2),-2.06913 # DEPENDENCYPART_ARC
(20,3),-0.0583831 # DEPENDENCYPART_ARC
(20,4),0.631049 # DEPENDENCYPART_ARC
(20,5),0.0242846 # DEPENDENCYPART_ARC
(20,6),1.27834 # DEPENDENCYPART_ARC
(20,7),-0.390587 # DEPENDENCYPART_ARC
(20,8),-0.661211 # DEPENDENCYPART_ARC
(20,9),-0.705823 # DEPENDENCYPART_ARC
(20,10),0.647 # DEPENDENCYPART_ARC
(20,11),0.926807 # DEPENDENCYPART_ARC
(20,12),0.050254 # DEPENDENCYPART_ARC
(20,13),0.913774 # DEPENDENCYPART_ARC
(20,14),0.121825 # DEPENDENCYPART_ARC
(20,15),0.425378 # DEPENDENCYPART_ARC
(20,16),0.933298 # DEPENDENCYPART_ARC
(20,17),3.14138 # DEPENDENCYPART_ARC
(20,18),4.27608 # DEPENDENCYPART_ARC
(20,19),5.14189 # DEPENDENCYPART_ARC
(20,21),4.57642 # DEPENDENCYPART_ARC
(20,22),-0.462103 # DEPENDENCYPART_ARC
(20,23),2.56617 # DEPENDENCYPART_ARC
(20,24),1.11347 # DEPENDENCYPART_ARC
(20,25),-1.71565 # DEPENDENCYPART_ARC
(20,26),1.37265 # DEPENDENCYPART_ARC
(20,27),1.09906 # DEPENDENCYPART_ARC
(20,28),-1.89461 # DEPENDENCYPART_ARC
(20,29),0.498736 # DEPENDENCYPART_ARC
(20,30),4.36403 # DEPENDENCYPART_ARC
(21,1),-2.31118 # DEPENDENCYPART_ARC
(21,2),-3.74859 # DEPENDENCYPART_ARC
(21,3),-3.71529 # DEPENDENCYPART_ARC
(21,4),-2.4936 # DEPENDENCYPART_ARC
(21,5),-1.96967 # DEPENDENCYPART_ARC
(21,6),-3.23224 # DEPENDENCYPART_ARC
(21,7),-3.27185 # DEPENDENCYPART_ARC
(21,8),-3.16267 # DEPENDENCYPART_ARC
(21,9),-2.79722 # DEPENDENCYPART_ARC
(21,10),-3.50804 # DEPENDENCYPART_ARC
(21,11),-1.82767 # DEPENDENCYPART_ARC
(21,12),-2.2794 # DEPENDENCYPART_ARC
(21,13),-2.52991 # DEPENDENCYPART_ARC
(21,14),-1.40436 # DEPENDENCYPART_ARC
(21,15),-2.6601 # DEPENDENCYPART_ARC
(21,16),-2.40568 # DEPENDENCYPART_ARC
(21,17),-1.34556 # DEPENDENCYPART_ARC
(21,18),-0.84601 # DEPENDENCYPART_ARC
(21,19),0.299531 # DEPENDENCYPART_ARC
(21,20),-0.47656 # DEPENDENCYPART_ARC
(21,22),0.553532 # DEPENDENCYPART_ARC
(21,23),1.05549 # DEPENDENCYPART_ARC
(21,24),0.765966 # DEPENDENCYPART_ARC
(21,25),-0.799588 # DEPENDENCYPART_ARC
(21,26),-0.0432467 # DEPENDENCYPART_ARC
(21,27),1.02878 # DEPENDENCYPART_ARC
(21,28),-1.2401 # DEPENDENCYPART_ARC
(21,29),-0.166136 # DEPENDENCYPART_ARC
(21,30),0.46493 # DEPENDENCYPART_ARC
(22,1),-3.35574 # DEPENDENCYPART_ARC
(22,2),-3.95812 # DEPENDENCYPART_ARC
(22,3),-3.04878 # DEPENDENCYPART_ARC
(22,4),-2.20165 # DEPENDENCYPART_ARC
(22,5),-2.24759 # DEPENDENCYPART_ARC
(22,6),-2.7376 # DEPENDENCYPART_ARC
(22,7),-3.08191 # DEPENDENCYPART_ARC
(22,8),-2.12994 # DEPENDENCYPART_ARC
(22,9),-2.20344 # DEPENDENCYPART_ARC
(22,10),-2.63979 # DEPENDENCYPART_ARC
(22,11),-2.30939 # DEPENDENCYPART_ARC
(22,12),-1.29774 # DEPENDENCYPART_ARC
(22,13),-2.25083 # DEPENDENCYPART_ARC
(22,14),-1.97808 # DEPENDENCYPART_ARC
(22,15),-2.43691 # DEPENDENCYPART_ARC
(22,16),-2.16874 # DEPENDENCYPART_ARC
(22,17),-1.25915 # DEPENDENCYPART_ARC
(22,18),-0.974247 # DEPENDENCYPART_ARC
(22,19),-0.841872 # DEPENDENCYPART_ARC
(22,20),-0.257568 # DEPENDENCYPART_ARC
(22,21),-0.159447 # DEPENDENCYPART_ARC
(22,23),-0.581354 # DEPENDENCYPART_ARC
(22,24),-1.75183 # DEPENDENCYPART_ARC
(22,25),-1.30958 # DEPENDENCYPART_ARC
(22,26),-3.40602 # DEPENDENCYPART_ARC
(22,27),-2.05647 # DEPENDENCYPART_ARC
(22,28),-2.98471 # DEPENDENCYPART_ARC
(22,29),-5.19826 # DEPENDENCYPART_ARC
(22,30),-2.85736 # DEPENDENCYPART_ARC
(23,1),-2.35561 # DEPENDENCYPART_ARC
(23,2),-6.22947 # DEPENDENCYPART_ARC
(23,3),-2.44378 # DEPENDENCYPART_ARC
(23,4),-2.27912 # DEPENDENCYPART_ARC
(23,5),-0.726844 # DEPENDENCYPART_ARC
(23,6),-2.54449 # DEPENDENCYPART_ARC
(23,7),-1.72578 # DEPENDENCYPART_ARC
(23,8),-3.92424 # DEPENDENCYPART_ARC
(23,9),-4.8993 # DEPENDENCYPART_ARC
(23,10),-2.82971 # DEPENDENCYPART_ARC
(23,11),-1.66342 # DEPENDENCYPART_ARC
(23,12),-1.99193 # DEPENDENCYPART_ARC
(23,13),-1.86091 # DEPENDENCYPART_ARC
(23,14),-0.669321 # DEPENDENCYPART_ARC
(23,15),-1.44538 # DEPENDENCYPART_ARC
(23,16),-2.24099 # DEPENDENCYPART_ARC
(23,17),-0.919099 # DEPENDENCYPART_ARC
(23,18),-0.928972 # DEPENDENCYPART_ARC
(23,19),1.34762 # DEPENDENCYPART_ARC
(23,20),-0.852153 # DEPENDENCYPART_ARC
(23,21),0.727315 # DEPENDENCYPART_ARC
(23,22),4.53424 # DEPENDENCYPART_ARC
(23,24),1.44277 # DEPENDENCYPART_ARC
(23,25),2.18035 # DEPENDENCYPART_ARC
(23,26),2.25693 # DEPENDENCYPART_ARC
(23,27),2.87539 # DEPENDENCYPART_ARC
(23,28),0.616302 # DEPENDENCYPART_ARC
(23,29),2.03387 # DEPENDENCYPART_ARC
(23,30),2.20048 # DEPENDENCYPART_ARC
(24,1),-3.46377 # DEPENDENCYPART_ARC
(24,2),-3.90311 # DEPENDENCYPART_ARC
(24,3),-4.23399 # DEPENDENCYPART_ARC
(24,4),-3.3519 # DEPENDENCYPART_ARC
(24,5),-3.35362 # DEPENDENCYPART_ARC
(24,6),-3.6779 # DEPENDENCYPART_ARC
(24,7),-3.565 # DEPENDENCYPART_ARC
(24,8),-3.50521 # DEPENDENCYPART_ARC
(24,9),-3.43244 # DEPENDENCYPART_ARC
(24,10),-3.70043 # DEPENDENCYPART_ARC
(24,11),-2.77957 # DEPENDENCYPART_ARC
(24,12),-3.3956 # DEPENDENCYPART_ARC
(24,13),-3.56019 # DEPENDENCYPART_ARC
(24,14),-2.65862 # DEPENDENCYPART_ARC
(24,15),-3.25088 # DEPENDENCYPART_ARC
(24,16),-3.4077 # DEPENDENCYPART_ARC
(24,17),-2.01528 # DEPENDENCYPART_ARC
(24,18),-2.65992 # DEPENDENCYPART_ARC
(24,19),-2.47177 # DEPENDENCYPART_ARC
(24,20),-2.49351 # DEPENDENCYPART_ARC
(24,21),-1.71477 # DEPENDENCYPART_ARC
(24,22),-1.07241 # DEPENDENCYPART_ARC
(24,23),-1.40603 # DEPENDENCYPART_ARC
(24,25),-0.83444 # DEPENDENCYPART_ARC
(24,26),-0.872428 # DEPENDENCYPART_ARC
(24,27),-0.223147 # DEPENDENCYPART_ARC
(24,28),-1.7809 # DEPENDENCYPART_ARC
(24,29),-1.40681 # DEPENDENCYPART_ARC
(24,30),-0.489247 # DEPENDENCYPART_ARC
(25,1),-4.15068 # DEPENDENCYPART_ARC
(25,2),-5.44073 # DEPENDENCYPART_ARC
(25,3),-4.01251 # DEPENDENCYPART_ARC
(25,4),-3.06898 # DEPENDENCYPART_ARC
(25,5),-3.24027 # DEPENDENCYPART_ARC
(25,6),-2.48074 # DEPENDENCYPART_ARC
(25,7),-4.04914 # DEPENDENCYPART_ARC
(25,8),-2.56754 # DEPENDENCYPART_ARC
(25,9),-2.62239 # DEPENDENCYPART_ARC
(25,10),-3.34791 # DEPENDENCYPART_ARC
(25,11),-3.14249 # DEPENDENCYPART_ARC
(25,12),-2.39147 # DEPENDENCYPART_ARC
(25,13),-3.16742 # DEPENDENCYPART_ARC
(25,14),-3.02811 # DEPENDENCYPART_ARC
(25,15),-3.89001 # DEPENDENCYPART_ARC
(25,16),-3.12534 # DEPENDENCYPART_ARC
(25,17),-2.3011 # DEPENDENCYPART_ARC
(25,18),-2.28092 # DEPENDENCYPART_ARC
(25,19),-2.5001 # DEPENDENCYPART_ARC
(25,20),-0.982648 # DEPENDENCYPART_ARC
(25,21),-2.88414 # DEPENDENCYPART_ARC
(25,22),-0.818668 # DEPENDENCYPART_ARC
(25,23),-1.35558 # DEPENDENCYPART_ARC
(25,24),-0.193116 # DEPENDENCYPART_ARC
(25,26),-0.394695 # DEPENDENCYPART_ARC
(25,27),-0.318855 # DEPENDENCYPART_ARC
(25,28),-0.716719 # DEPENDENCYPART_ARC
(25,29),-3.26555 # DEPENDENCYPART_ARC
(25,30),-1.57348 # DEPENDENCYPART_ARC
(26,1),-2.44475 # DEPENDENCYPART_ARC
(26,2),-8.22369 # DEPENDENCYPART_ARC
(26,3),-3.02767 # DEPENDENCYPART_ARC
(26,4),-2.68422 # DEPENDENCYPART_ARC
(26,5),-1.55091 # DEPENDENCYPART_ARC
(26,6),-1.21938 # DEPENDENCYPART_ARC
(26,7),-1.82009 # DEPENDENCYPART_ARC
(26,8),-4.41624 # DEPENDENCYPART_ARC
(26,9),-5.13131 # DEPENDENCYPART_ARC
(26,10),-3.07573 # DEPENDENCYPART_ARC
(26,11),-1.60864 # DEPENDENCYPART_ARC
(26,12),-3.32884 # DEPENDENCYPART_ARC
(26,13),-2.54686 # DEPENDENCYPART_ARC
(26,14),-0.660207 # DEPENDENCYPART_ARC
(26,15),-3.72303 # DEPENDENCYPART_ARC
(26,16),-2.72742 # DEPENDENCYPART_ARC
(26,17),-1.73241 # DEPENDENCYPART_ARC
(26,18),-1.55711 # DEPENDENCYPART_ARC
(26,19),0.0878542 # DEPENDENCYPART_ARC
(26,20),0.0964817 # DEPENDENCYPART_ARC
(26,21),-2.16879 # DEPENDENCYPART_ARC
(26,22),1.23652 # DEPENDENCYPART_ARC
(26,23),-1.23227 # DEPENDENCYPART_ARC
(26,24),0.450916 # DEPENDENCYPART_ARC
(26,25),4.96048 # DEPENDENCYPART_ARC
(26,27),2.85308 # DEPENDENCYPART_ARC
(26,28),1.8098 # DEPENDENCYPART_ARC
(26,29),2.91473 # DEPENDENCYPART_ARC
(26,30),1.50828 # DEPENDENCYPART_ARC
(27,1),-3.70528 # DEPENDENCYPART_ARC
(27,2),-4.26876 # DEPENDENCYPART_ARC
(27,3),-4.58912 # DEPENDENCYPART_ARC
(27,4),-3.61713 # DEPENDENCYPART_ARC
(27,5),-3.59969 # DEPENDENCYPART_ARC
(27,6),-3.93242 # DEPENDENCYPART_ARC
(27,7),-3.80321 # DEPENDENCYPART_ARC
(27,8),-3.7726 # DEPENDENCYPART_ARC
(27,9),-3.77971 # DEPENDENCYPART_ARC
(27,10),-3.9979 # DEPENDENCYPART_ARC
(27,11),-2.99152 # DEPENDENCYPART_ARC
(27,12),-3.62311 # DEPENDENCYPART_ARC
(27,13),-3.90077 # DEPENDENCYPART_ARC
(27,14),-2.83468 # DEPENDENCYPART_ARC
(27,15),-3.57129 # DEPENDENCYPART_ARC
(27,16),-3.77944 # DEPENDENCYPART_ARC
(27,17),-2.89041 # DEPENDENCYPART_ARC
(27,18),-3.05054 # DEPENDENCYPART_ARC
(27,19),-2.93446 # DEPENDENCYPART_ARC
(27,20),-3.05031 # DEPENDENCYPART_ARC
(27,21),-2.93134 # DEPENDENCYPART_ARC
(27,22),-2.3953 # DEPENDENCYPART_ARC
(27,23),-2.80721 # DEPENDENCYPART_ARC
(27,24),-1.74828 # DEPENDENCYPART_ARC
(27,25),-1.07619 # DEPENDENCYPART_ARC
(27,26),-1.19617 # DEPENDENCYPART_ARC
(27,28),-1.74585 # DEPENDENCYPART_ARC
(27,29),-0.722961 # DEPENDENCYPART_ARC
(27,30),-1.19255 # DEPENDENCYPART_ARC
(28,1),-3.3259 # DEPENDENCYPART_ARC
(28,2),-4.84855 # DEPENDENCYPART_ARC
(28,3),-3.89515 # DEPENDENCYPART_ARC
(28,4),-2.56877 # DEPENDENCYPART_ARC
(28,5),-2.75649 # DEPENDENCYPART_ARC
(28,6),-2.48609 # DEPENDENCYPART_ARC
(28,7),-3.89572 # DEPENDENCYPART_ARC
(28,8),-1.55176 # DEPENDENCYPART_ARC
(28,9),-1.78757 # DEPENDENCYPART_ARC
(28,10),-2.79467 # DEPENDENCYPART_ARC
(28,11),-2.28608 # DEPENDENCYPART_ARC
(28,12),-1.90206 # DEPENDENCYPART_ARC
(28,13),-2.93027 # DEPENDENCYPART_ARC
(28,14),-2.24364 # DEPENDENCYPART_ARC
(28,15),-3.41459 # DEPENDENCYPART_ARC
(28,16),-2.56133 # DEPENDENCYPART_ARC
(28,17),-2.04017 # DEPENDENCYPART_ARC
(28,18),-1.86427 # DEPENDENCYPART_ARC
(28,19),-2.12944 # DEPENDENCYPART_ARC
(28,20),-1.22392 # DEPENDENCYPART_ARC
(28,21),-2.80401 # DEPENDENCYPART_ARC
(28,22),-1.13536 # DEPENDENCYPART_ARC
(28,23),-1.99302 # DEPENDENCYPART_ARC
(28,24),-1.07819 # DEPENDENCYPART_ARC
(28,25),0.536047 # DEPENDENCYPART_ARC
(28,26),-0.089474 # DEPENDENCYPART_ARC
(28,27),0.399848 # DEPENDENCYPART_ARC
(28,29),-1.13806 # DEPENDENCYPART_ARC
(28,30),-1.47269 # DEPENDENCYPART_ARC
(29,1),-2.30424 # DEPENDENCYPART_ARC
(29,2),-8.48156 # DEPENDENCYPART_ARC
(29,3),-3.6797 # DEPENDENCYPART_ARC
(29,4),-2.42848 # DEPENDENCYPART_ARC
(29,5),-1.78654 # DEPENDENCYPART_ARC
(29,6),-0.679215 # DEPENDENCYPART_ARC
(29,7),-1.5907 # DEPENDENCYPART_ARC
(29,8),-4.69562 # DEPENDENCYPART_ARC
(29,9),-5.51075 # DEPENDENCYPART_ARC
(29,10),-3.24713 # DEPENDENCYPART_ARC
(29,11),-1.8135 # DEPENDENCYPART_ARC
(29,12),-3.94145 # DEPENDENCYPART_ARC
(29,13),-3.22946 # DEPENDENCYPART_ARC
(29,14),-0.50787 # DEPENDENCYPART_ARC
(29,15),-3.92743 # DEPENDENCYPART_ARC
(29,16),-2.95069 # DEPENDENCYPART_ARC
(29,17),-1.50809 # DEPENDENCYPART_ARC
(29,18),-1.42121 # DEPENDENCYPART_ARC
(29,19),-0.231332 # DEPENDENCYPART_ARC
(29,20),0.533898 # DEPENDENCYPART_ARC
(29,21),-2.95869 # DEPENDENCYPART_ARC
(29,22),-0.704283 # DEPENDENCYPART_ARC
(29,23),-2.25274 # DEPENDENCYPART_ARC
(29,24),-0.109603 # DEPENDENCYPART_ARC
(29,25),1.58798 # DEPENDENCYPART_ARC
(29,26),-0.932356 # DEPENDENCYPART_ARC
(29,27),0.603987 # DEPENDENCYPART_ARC
(29,28),4.53561 # DEPENDENCYPART_ARC
(29,30),0.823421 # DEPENDENCYPART_ARC
(30,1),-4.24399 # DEPENDENCYPART_ARC
(30,2),-4.93294 # DEPENDENCYPART_ARC
(30,3),-5.07218 # DEPENDENCYPART_ARC
(30,4),-4.3853 # DEPENDENCYPART_ARC
(30,5),-4.35454 # DEPENDENCYPART_ARC
(30,6),-4.62012 # DEPENDENCYPART_ARC
(30,7),-4.55532 # DEPENDENCYPART_ARC
(30,8),-4.4788 # DEPENDENCYPART_ARC
(30,9),-4.49784 # DEPENDENCYPART_ARC
(30,10),-4.50623 # DEPENDENCYPART_ARC
(30,11),-3.63613 # DEPENDENCYPART_ARC
(30,12),-4.38541 # DEPENDENCYPART_ARC
(30,13),-4.42502 # DEPENDENCYPART_ARC
(30,14),-3.65045 # DEPENDENCYPART_ARC
(30,15),-4.2158 # DEPENDENCYPART_ARC
(30,16),-4.47522 # DEPENDENCYPART_ARC
(30,17),-3.38842 # DEPENDENCYPART_ARC
(30,18),-3.69505 # DEPENDENCYPART_ARC
(30,19),-3.68472 # DEPENDENCYPART_ARC
(30,20),-3.83963 # DEPENDENCYPART_ARC
(30,21),-3.3674 # DEPENDENCYPART_ARC
(30,22),-3.71199 # DEPENDENCYPART_ARC
(30,23),-3.89758 # DEPENDENCYPART_ARC
(30,24),-2.80529 # DEPENDENCYPART_ARC
(30,25),-3.06295 # DEPENDENCYPART_ARC
(30,26),-3.38893 # DEPENDENCYPART_ARC
(30,27),-2.46173 # DEPENDENCYPART_ARC
(30,28),-2.01578 # DEPENDENCYPART_ARC
(30,29),-2.24289 # DEPENDENCYPART_ARC
