# _root_ Els antecedents dels Pastorets de l' Ametlla_de_Merola es remunten a l' any_1878 , quan a iniciativa de les Germanes_Dominiques , van començar les representacions durant la Missa_del_Gall .
#goldHeads=2,9,2,3,4,7,5,9,0,9,12,10,22,22,22,15,16,19,17,15,22,12,24,22,22,27,25,9,
#predictedHeads=2,9,2,3,2,7,5,9,0,9,12,10,12,22,14,15,16,19,17,9,22,4,24,22,22,27,25,9,
(23,15),-3.78525 # DEPENDENCYPART_ARC
(23,16),-3.38404 # DEPENDENCYPART_ARC
(23,17),-3.54488 # DEPENDENCYPART_ARC
(23,18),-1.32863 # DEPENDENCYPART_ARC
(23,19),-3.03305 # DEPENDENCYPART_ARC
(23,24),1.3924 # DEPENDENCYPART_ARC
(23,25),-1.58865 # DEPENDENCYPART_ARC
(23,26),-1.33086 # DEPENDENCYPART_ARC
(23,27),-2.45676 # DEPENDENCYPART_ARC
(24,1),-6.60898 # DEPENDENCYPART_ARC
(24,2),-2.82149 # DEPENDENCYPART_ARC
(24,3),-2.13506 # DEPENDENCYPART_ARC
(24,4),-2.75122 # DEPENDENCYPART_ARC
(24,5),-2.09242 # DEPENDENCYPART_ARC
(24,6),-6.03437 # DEPENDENCYPART_ARC
(24,7),-3.11068 # DEPENDENCYPART_ARC
(24,9),-1.03205 # DEPENDENCYPART_ARC
(24,10),-1.72873 # DEPENDENCYPART_ARC
(24,11),-4.90003 # DEPENDENCYPART_ARC
(24,12),-2.56836 # DEPENDENCYPART_ARC
(24,13),-1.97251 # DEPENDENCYPART_ARC
(24,14),-2.07694 # DEPENDENCYPART_ARC
(24,15),-2.1107 # DEPENDENCYPART_ARC
(24,16),-1.56442 # DEPENDENCYPART_ARC
(24,17),-1.15068 # DEPENDENCYPART_ARC
(24,18),-0.438829 # DEPENDENCYPART_ARC
(24,19),-2.04427 # DEPENDENCYPART_ARC
(24,20),-0.415149 # DEPENDENCYPART_ARC
(24,21),0.641764 # DEPENDENCYPART_ARC
(24,22),0.269125 # DEPENDENCYPART_ARC
(24,23),4.555 # DEPENDENCYPART_ARC
(24,25),1.43255 # DEPENDENCYPART_ARC
(24,26),-1.44755 # DEPENDENCYPART_ARC
(24,27),0.801322 # DEPENDENCYPART_ARC
(24,28),0.388644 # DEPENDENCYPART_ARC
(25,1),-3.69917 # DEPENDENCYPART_ARC
(25,2),-4.29464 # DEPENDENCYPART_ARC
(25,3),-4.34368 # DEPENDENCYPART_ARC
(25,4),-4.03131 # DEPENDENCYPART_ARC
(25,5),-3.63969 # DEPENDENCYPART_ARC
(25,6),-3.51949 # DEPENDENCYPART_ARC
(25,7),-3.76892 # DEPENDENCYPART_ARC
(25,8),-2.58958 # DEPENDENCYPART_ARC
(25,9),-2.42741 # DEPENDENCYPART_ARC
(25,10),-3.04793 # DEPENDENCYPART_ARC
(25,11),-2.89143 # DEPENDENCYPART_ARC
(25,12),-2.2133 # DEPENDENCYPART_ARC
(25,13),-2.07168 # DEPENDENCYPART_ARC
(25,14),-2.31179 # DEPENDENCYPART_ARC
(25,15),-2.99355 # DEPENDENCYPART_ARC
(25,16),-2.58386 # DEPENDENCYPART_ARC
(25,17),-2.41331 # DEPENDENCYPART_ARC
(25,18),-1.90856 # DEPENDENCYPART_ARC
(25,19),-2.79563 # DEPENDENCYPART_ARC
(25,20),-1.297 # DEPENDENCYPART_ARC
(25,21),-0.913193 # DEPENDENCYPART_ARC
(25,22),-0.976046 # DEPENDENCYPART_ARC
(25,23),0.258806 # DEPENDENCYPART_ARC
(25,24),-0.351193 # DEPENDENCYPART_ARC
(25,26),-0.272102 # DEPENDENCYPART_ARC
(25,27),4.46897 # DEPENDENCYPART_ARC
(25,28),-0.119258 # DEPENDENCYPART_ARC
(26,1),-7.0653 # DEPENDENCYPART_ARC
(26,2),-4.75493 # DEPENDENCYPART_ARC
(26,3),-4.60372 # DEPENDENCYPART_ARC
(26,4),-3.96449 # DEPENDENCYPART_ARC
(26,5),-5.01907 # DEPENDENCYPART_ARC
(26,6),-6.18633 # DEPENDENCYPART_ARC
(26,7),-3.90473 # DEPENDENCYPART_ARC
(26,10),-4.23137 # DEPENDENCYPART_ARC
(26,11),-5.22804 # DEPENDENCYPART_ARC
(26,12),-3.54636 # DEPENDENCYPART_ARC
(26,14),-3.251 # DEPENDENCYPART_ARC
(26,15),-3.86962 # DEPENDENCYPART_ARC
(26,16),-3.21239 # DEPENDENCYPART_ARC
(26,17),-3.63573 # DEPENDENCYPART_ARC
(26,18),-3.64186 # DEPENDENCYPART_ARC
(26,19),-3.18873 # DEPENDENCYPART_ARC
(26,23),-1.82392 # DEPENDENCYPART_ARC
(26,24),-1.91327 # DEPENDENCYPART_ARC
(26,25),-0.672274 # DEPENDENCYPART_ARC
(26,27),0.205013 # DEPENDENCYPART_ARC
(27,1),-8.77108 # DEPENDENCYPART_ARC
(27,2),-4.17897 # DEPENDENCYPART_ARC
(27,3),-2.29342 # DEPENDENCYPART_ARC
(27,4),-3.04465 # DEPENDENCYPART_ARC
(27,5),-2.52662 # DEPENDENCYPART_ARC
(27,6),-6.90485 # DEPENDENCYPART_ARC
(27,7),-3.56335 # DEPENDENCYPART_ARC
(27,9),-3.26997 # DEPENDENCYPART_ARC
(27,10),-2.21092 # DEPENDENCYPART_ARC
(27,11),-5.76059 # DEPENDENCYPART_ARC
(27,12),-2.71695 # DEPENDENCYPART_ARC
(27,13),-2.23821 # DEPENDENCYPART_ARC
(27,14),-2.50895 # DEPENDENCYPART_ARC
(27,15),-2.42574 # DEPENDENCYPART_ARC
(27,16),-1.93887 # DEPENDENCYPART_ARC
(27,17),-1.46202 # DEPENDENCYPART_ARC
(27,18),-2.6987 # DEPENDENCYPART_ARC
(27,19),-2.54333 # DEPENDENCYPART_ARC
(27,20),-1.05881 # DEPENDENCYPART_ARC
(27,21),-1.73251 # DEPENDENCYPART_ARC
(27,22),-1.17177 # DEPENDENCYPART_ARC
(27,23),0.365109 # DEPENDENCYPART_ARC
(27,24),-1.21578 # DEPENDENCYPART_ARC
(27,25),0.495411 # DEPENDENCYPART_ARC
(27,26),4.10817 # DEPENDENCYPART_ARC
(27,28),0.334559 # DEPENDENCYPART_ARC
(28,12),-3.30388 # DEPENDENCYPART_ARC
