# _root_ La dona va aparcar i va mirar d' agafar un taxi , moment en el qual l' acusat ' la va agafar pels cabells , va iniciar un forcejament i una persecució fins a introduir -la de_nou en el cotxe ' .
#goldHeads=2,4,4,0,4,9,9,9,4,11,9,13,9,22,16,14,18,22,22,22,22,13,22,23,22,27,22,29,27,29,32,29,27,33,34,35,35,35,40,38,22,4,
#predictedHeads=2,4,4,0,4,9,9,9,4,11,9,13,11,9,16,14,18,14,22,22,22,18,22,23,22,27,4,29,27,29,32,29,27,33,34,35,35,35,40,38,27,4,
(12,8),-2.09204 # DEPENDENCYPART_ARC
(12,9),-2.41564 # DEPENDENCYPART_ARC
(12,10),-1.22439 # DEPENDENCYPART_ARC
(12,11),-1.48498 # DEPENDENCYPART_ARC
(12,13),-1.09622 # DEPENDENCYPART_ARC
(12,14),-1.87897 # DEPENDENCYPART_ARC
(12,15),-2.49655 # DEPENDENCYPART_ARC
(12,16),-2.63797 # DEPENDENCYPART_ARC
(12,17),-2.77563 # DEPENDENCYPART_ARC
(12,18),-2.36258 # DEPENDENCYPART_ARC
(12,19),-1.39259 # DEPENDENCYPART_ARC
(12,20),-2.67609 # DEPENDENCYPART_ARC
(12,21),-2.09003 # DEPENDENCYPART_ARC
(12,22),-2.53968 # DEPENDENCYPART_ARC
(12,23),-2.78818 # DEPENDENCYPART_ARC
(12,24),-2.99198 # DEPENDENCYPART_ARC
(12,25),-2.77555 # DEPENDENCYPART_ARC
(12,26),-2.70051 # DEPENDENCYPART_ARC
(12,27),-2.83224 # DEPENDENCYPART_ARC
(12,28),-3.48664 # DEPENDENCYPART_ARC
(12,29),-3.01133 # DEPENDENCYPART_ARC
(12,30),-1.84286 # DEPENDENCYPART_ARC
(12,31),-3.44405 # DEPENDENCYPART_ARC
(12,32),-2.89942 # DEPENDENCYPART_ARC
(12,33),-3.00933 # DEPENDENCYPART_ARC
(12,34),-3.08611 # DEPENDENCYPART_ARC
(12,35),-2.89533 # DEPENDENCYPART_ARC
(12,36),-3.46245 # DEPENDENCYPART_ARC
(12,37),-3.40554 # DEPENDENCYPART_ARC
(12,38),-2.83422 # DEPENDENCYPART_ARC
(12,39),-3.83565 # DEPENDENCYPART_ARC
(12,40),-3.29524 # DEPENDENCYPART_ARC
(12,41),-3.20297 # DEPENDENCYPART_ARC
(12,42),-3.29244 # DEPENDENCYPART_ARC
(13,1),-3.79933 # DEPENDENCYPART_ARC
(13,2),-2.27324 # DEPENDENCYPART_ARC
(13,3),-1.73953 # DEPENDENCYPART_ARC
(13,4),-1.89801 # DEPENDENCYPART_ARC
(13,5),-0.832928 # DEPENDENCYPART_ARC
(13,6),-1.5951 # DEPENDENCYPART_ARC
(13,7),-1.68033 # DEPENDENCYPART_ARC
(13,8),-0.38561 # DEPENDENCYPART_ARC
(13,9),-0.917501 # DEPENDENCYPART_ARC
(13,10),1.41741 # DEPENDENCYPART_ARC
(13,11),-0.0901504 # DEPENDENCYPART_ARC
(13,12),3.08315 # DEPENDENCYPART_ARC
(13,14),1.58985 # DEPENDENCYPART_ARC
(13,15),-0.474837 # DEPENDENCYPART_ARC
(13,16),-0.907759 # DEPENDENCYPART_ARC
(13,17),-1.23551 # DEPENDENCYPART_ARC
(13,18),-0.234666 # DEPENDENCYPART_ARC
(13,19),1.79505 # DEPENDENCYPART_ARC
(13,20),-1.34719 # DEPENDENCYPART_ARC
(13,21),1.41896 # DEPENDENCYPART_ARC
(13,22),1.02954 # DEPENDENCYPART_ARC
(13,23),-1.02108 # DEPENDENCYPART_ARC
(13,24),-1.97891 # DEPENDENCYPART_ARC
(13,25),0.290041 # DEPENDENCYPART_ARC
(13,26),-1.97228 # DEPENDENCYPART_ARC
(13,27),-0.942596 # DEPENDENCYPART_ARC
(13,28),-2.47252 # DEPENDENCYPART_ARC
(13,29),-2.24864 # DEPENDENCYPART_ARC
(13,30),-1.33872 # DEPENDENCYPART_ARC
(13,31),-3.3809 # DEPENDENCYPART_ARC
(13,32),-1.65309 # DEPENDENCYPART_ARC
(13,33),-1.83408 # DEPENDENCYPART_ARC
(13,34),-2.88992 # DEPENDENCYPART_ARC
(13,35),-3.33566 # DEPENDENCYPART_ARC
(13,36),-3.42234 # DEPENDENCYPART_ARC
(13,37),-2.70215 # DEPENDENCYPART_ARC
(13,38),-3.48429 # DEPENDENCYPART_ARC
(13,39),-3.99571 # DEPENDENCYPART_ARC
(13,40),-2.99875 # DEPENDENCYPART_ARC
(13,41),-0.736075 # DEPENDENCYPART_ARC
(13,42),0.259665 # DEPENDENCYPART_ARC
(14,1),-2.52229 # DEPENDENCYPART_ARC
(14,2),-3.09579 # DEPENDENCYPART_ARC
(14,3),-2.40137 # DEPENDENCYPART_ARC
(14,4),-2.88168 # DEPENDENCYPART_ARC
(14,5),-2.16548 # DEPENDENCYPART_ARC
(14,6),-2.16728 # DEPENDENCYPART_ARC
(14,7),-2.6354 # DEPENDENCYPART_ARC
(14,8),-2.10865 # DEPENDENCYPART_ARC
(14,9),-1.58806 # DEPENDENCYPART_ARC
(14,10),-1.57064 # DEPENDENCYPART_ARC
(14,11),-2.27387 # DEPENDENCYPART_ARC
(14,12),0.529101 # DEPENDENCYPART_ARC
(14,13),-0.776327 # DEPENDENCYPART_ARC
(14,15),0.537755 # DEPENDENCYPART_ARC
(14,16),2.49345 # DEPENDENCYPART_ARC
(14,17),0.556754 # DEPENDENCYPART_ARC
(14,18),2.04139 # DEPENDENCYPART_ARC
(14,19),-0.515218 # DEPENDENCYPART_ARC
(14,20),0.431415 # DEPENDENCYPART_ARC
(14,21),0.561053 # DEPENDENCYPART_ARC
(14,22),0.3756 # DEPENDENCYPART_ARC
(14,23),-0.844565 # DEPENDENCYPART_ARC
(14,24),-3.13071 # DEPENDENCYPART_ARC
(14,25),-0.809306 # DEPENDENCYPART_ARC
(14,26),-2.72474 # DEPENDENCYPART_ARC
(14,27),-2.40839 # DEPENDENCYPART_ARC
(14,28),-1.78892 # DEPENDENCYPART_ARC
(14,29),-7.17288 # DEPENDENCYPART_ARC
(14,30),-0.874378 # DEPENDENCYPART_ARC
(14,31),-1.27452 # DEPENDENCYPART_ARC
(14,32),-9.88405 # DEPENDENCYPART_ARC
(14,33),-2.18219 # DEPENDENCYPART_ARC
(14,34),-1.16949 # DEPENDENCYPART_ARC
(14,35),-3.40615 # DEPENDENCYPART_ARC
(14,36),-3.0823 # DEPENDENCYPART_ARC
(14,37),-1.06892 # DEPENDENCYPART_ARC
(14,38),-0.236708 # DEPENDENCYPART_ARC
(14,39),-1.98831 # DEPENDENCYPART_ARC
(14,40),-12.366 # DEPENDENCYPART_ARC
(14,41),-3.14423 # DEPENDENCYPART_ARC
(14,42),-1.02343 # DEPENDENCYPART_ARC
(15,1),-4.24212 # DEPENDENCYPART_ARC
(15,2),-4.73188 # DEPENDENCYPART_ARC
(15,3),-4.95699 # DEPENDENCYPART_ARC
(15,4),-4.80931 # DEPENDENCYPART_ARC
(15,5),-3.43427 # DEPENDENCYPART_ARC
(15,6),-4.77766 # DEPENDENCYPART_ARC
(15,7),-4.46094 # DEPENDENCYPART_ARC
(15,8),-3.19781 # DEPENDENCYPART_ARC
(15,9),-4.10624 # DEPENDENCYPART_ARC
(15,10),-2.3207 # DEPENDENCYPART_ARC
(15,11),-3.42578 # DEPENDENCYPART_ARC
(15,12),-2.33005 # DEPENDENCYPART_ARC
(15,13),-2.50709 # DEPENDENCYPART_ARC
(15,14),-1.13559 # DEPENDENCYPART_ARC
(15,16),2.3549 # DEPENDENCYPART_ARC
(15,17),2.63174 # DEPENDENCYPART_ARC
(15,18),-2.18922 # DEPENDENCYPART_ARC
(15,19),-1.70845 # DEPENDENCYPART_ARC
(15,20),-2.23144 # DEPENDENCYPART_ARC
(15,21),-2.9822 # DEPENDENCYPART_ARC
(15,22),-2.82306 # DEPENDENCYPART_ARC
(15,23),-3.1877 # DEPENDENCYPART_ARC
(15,24),-4.45176 # DEPENDENCYPART_ARC
(15,25),-3.0724 # DEPENDENCYPART_ARC
(15,26),-3.86861 # DEPENDENCYPART_ARC
(15,27),-3.39257 # DEPENDENCYPART_ARC
(15,28),-2.69312 # DEPENDENCYPART_ARC
(15,29),-4.26482 # DEPENDENCYPART_ARC
(15,30),-2.91389 # DEPENDENCYPART_ARC
(15,31),-2.98643 # DEPENDENCYPART_ARC
(15,32),-4.0733 # DEPENDENCYPART_ARC
(15,33),-4.66398 # DEPENDENCYPART_ARC
(15,34),-5.50346 # DEPENDENCYPART_ARC
(15,35),-3.62469 # DEPENDENCYPART_ARC
(15,36),-3.5161 # DEPENDENCYPART_ARC
(15,37),-3.20211 # DEPENDENCYPART_ARC
(15,38),-5.64398 # DEPENDENCYPART_ARC
(15,39),-5.27772 # DEPENDENCYPART_ARC
(15,40),-5.36453 # DEPENDENCYPART_ARC
(15,41),-3.79217 # DEPENDENCYPART_ARC
(15,42),-3.8283 # DEPENDENCYPART_ARC
(16,1),-1.47982 # DEPENDENCYPART_ARC
(16,2),-2.37464 # DEPENDENCYPART_ARC
(16,3),-1.65737 # DEPENDENCYPART_ARC
(16,4),-2.66784 # DEPENDENCYPART_ARC
(16,5),-1.47788 # DEPENDENCYPART_ARC
(16,6),-1.38927 # DEPENDENCYPART_ARC
(16,7),-2.42254 # DEPENDENCYPART_ARC
(16,8),-1.20681 # DEPENDENCYPART_ARC
(16,9),-2.05951 # DEPENDENCYPART_ARC
(16,10),-0.42009 # DEPENDENCYPART_ARC
(16,11),-1.28927 # DEPENDENCYPART_ARC
(16,12),-0.738887 # DEPENDENCYPART_ARC
(16,13),-0.672874 # DEPENDENCYPART_ARC
(16,14),0.288804 # DEPENDENCYPART_ARC
(16,15),3.93348 # DEPENDENCYPART_ARC
(16,17),3.33593 # DEPENDENCYPART_ARC
(16,18),-0.144219 # DEPENDENCYPART_ARC
(16,19),-0.700513 # DEPENDENCYPART_ARC
(16,20),-0.843593 # DEPENDENCYPART_ARC
(16,21),-1.46979 # DEPENDENCYPART_ARC
(16,22),-1.9031 # DEPENDENCYPART_ARC
(16,23),-2.44288 # DEPENDENCYPART_ARC
(16,24),-3.39486 # DEPENDENCYPART_ARC
(16,25),-2.20418 # DEPENDENCYPART_ARC
(16,26),-2.8278 # DEPENDENCYPART_ARC
(16,27),-2.51149 # DEPENDENCYPART_ARC
(16,28),-2.64426 # DEPENDENCYPART_ARC
(16,29),-3.44859 # DEPENDENCYPART_ARC
(16,30),-2.17314 # DEPENDENCYPART_ARC
(16,31),-2.34779 # DEPENDENCYPART_ARC
(16,32),-3.01712 # DEPENDENCYPART_ARC
(16,33),-3.72126 # DEPENDENCYPART_ARC
(16,34),-4.52128 # DEPENDENCYPART_ARC
(16,35),-2.89394 # DEPENDENCYPART_ARC
(16,36),-2.16919 # DEPENDENCYPART_ARC
(16,37),-2.6447 # DEPENDENCYPART_ARC
(16,38),-4.834 # DEPENDENCYPART_ARC
(16,39),-5.2111 # DEPENDENCYPART_ARC
(16,40),-4.51936 # DEPENDENCYPART_ARC
(16,41),-2.96646 # DEPENDENCYPART_ARC
(16,42),-2.96007 # DEPENDENCYPART_ARC
(17,1),-2.20835 # DEPENDENCYPART_ARC
(17,2),-3.03533 # DEPENDENCYPART_ARC
(17,3),-2.39066 # DEPENDENCYPART_ARC
(17,4),-3.42152 # DEPENDENCYPART_ARC
(17,5),-2.18531 # DEPENDENCYPART_ARC
(17,6),-2.23025 # DEPENDENCYPART_ARC
(17,7),-3.07227 # DEPENDENCYPART_ARC
(17,8),-1.99425 # DEPENDENCYPART_ARC
(17,9),-2.79892 # DEPENDENCYPART_ARC
(17,10),-1.08066 # DEPENDENCYPART_ARC
(17,11),-2.15673 # DEPENDENCYPART_ARC
(17,12),-1.44841 # DEPENDENCYPART_ARC
(17,13),-1.56828 # DEPENDENCYPART_ARC
(17,14),-0.714349 # DEPENDENCYPART_ARC
(17,15),2.09541 # DEPENDENCYPART_ARC
(17,16),1.76339 # DEPENDENCYPART_ARC
(17,18),-1.07532 # DEPENDENCYPART_ARC
(17,19),-2.14144 # DEPENDENCYPART_ARC
(17,20),-2.31588 # DEPENDENCYPART_ARC
(17,21),-2.94121 # DEPENDENCYPART_ARC
(17,22),-3.00095 # DEPENDENCYPART_ARC
(17,23),-3.92223 # DEPENDENCYPART_ARC
(17,24),-4.97521 # DEPENDENCYPART_ARC
(17,25),-3.99597 # DEPENDENCYPART_ARC
(17,26),-4.32538 # DEPENDENCYPART_ARC
(17,27),-3.99232 # DEPENDENCYPART_ARC
(17,28),-4.82134 # DEPENDENCYPART_ARC
(17,29),-4.85538 # DEPENDENCYPART_ARC
(17,30),-3.8655 # DEPENDENCYPART_ARC
(17,31),-4.47618 # DEPENDENCYPART_ARC
(17,32),-4.25659 # DEPENDENCYPART_ARC
(17,33),-5.43491 # DEPENDENCYPART_ARC
(17,34),-6.30182 # DEPENDENCYPART_ARC
(17,35),-4.29443 # DEPENDENCYPART_ARC
(17,36),-3.84624 # DEPENDENCYPART_ARC
(17,37),-4.154 # DEPENDENCYPART_ARC
(17,38),-6.63266 # DEPENDENCYPART_ARC
(17,39),-7.1548 # DEPENDENCYPART_ARC
(17,40),-5.91899 # DEPENDENCYPART_ARC
(17,41),-4.77894 # DEPENDENCYPART_ARC
(17,42),-4.8473 # DEPENDENCYPART_ARC
(18,1),-4.5772 # DEPENDENCYPART_ARC
(18,2),-2.57771 # DEPENDENCYPART_ARC
(18,3),-2.18361 # DEPENDENCYPART_ARC
(18,4),-2.28427 # DEPENDENCYPART_ARC
(18,5),-0.665428 # DEPENDENCYPART_ARC
(18,6),-1.8628 # DEPENDENCYPART_ARC
(18,7),-2.19214 # DEPENDENCYPART_ARC
(18,8),-0.88962 # DEPENDENCYPART_ARC
(18,9),-0.671908 # DEPENDENCYPART_ARC
(18,10),-0.740128 # DEPENDENCYPART_ARC
(18,11),-1.65798 # DEPENDENCYPART_ARC
(18,12),0.367181 # DEPENDENCYPART_ARC
(18,13),-0.974545 # DEPENDENCYPART_ARC
(18,14),0.559097 # DEPENDENCYPART_ARC
(18,15),1.96231 # DEPENDENCYPART_ARC
(18,16),2.15502 # DEPENDENCYPART_ARC
(18,17),3.96591 # DEPENDENCYPART_ARC
(18,19),1.05672 # DEPENDENCYPART_ARC
(18,20),0.531723 # DEPENDENCYPART_ARC
(18,21),2.45067 # DEPENDENCYPART_ARC
(18,22),1.8351 # DEPENDENCYPART_ARC
(18,23),-0.0440476 # DEPENDENCYPART_ARC
(18,24),-0.0831706 # DEPENDENCYPART_ARC
(18,25),0.274901 # DEPENDENCYPART_ARC
(18,26),-1.05223 # DEPENDENCYPART_ARC
(18,27),-0.41559 # DEPENDENCYPART_ARC
(18,28),-1.22738 # DEPENDENCYPART_ARC
(18,29),-0.0135778 # DEPENDENCYPART_ARC
(18,30),0.61977 # DEPENDENCYPART_ARC
(18,31),-2.18325 # DEPENDENCYPART_ARC
(18,32),-0.280298 # DEPENDENCYPART_ARC
(18,33),-1.48717 # DEPENDENCYPART_ARC
(18,34),-2.94349 # DEPENDENCYPART_ARC
(18,35),-3.20795 # DEPENDENCYPART_ARC
(18,36),-2.17961 # DEPENDENCYPART_ARC
(18,37),-1.19634 # DEPENDENCYPART_ARC
(18,38),-3.3334 # DEPENDENCYPART_ARC
(18,39),-2.68407 # DEPENDENCYPART_ARC
(18,40),-1.10616 # DEPENDENCYPART_ARC
(18,41),-1.87088 # DEPENDENCYPART_ARC
(18,42),2.09676 # DEPENDENCYPART_ARC
(19,1),-3.97113 # DEPENDENCYPART_ARC
(19,2),-4.01348 # DEPENDENCYPART_ARC
(19,3),-3.95873 # DEPENDENCYPART_ARC
(19,4),-3.90992 # DEPENDENCYPART_ARC
(19,5),-3.20704 # DEPENDENCYPART_ARC
(19,6),-3.89522 # DEPENDENCYPART_ARC
(19,7),-3.81245 # DEPENDENCYPART_ARC
(19,8),-2.97992 # DEPENDENCYPART_ARC
(19,9),-3.46474 # DEPENDENCYPART_ARC
(19,10),-3.42021 # DEPENDENCYPART_ARC
(19,11),-3.56112 # DEPENDENCYPART_ARC
(19,12),-2.51619 # DEPENDENCYPART_ARC
(19,13),-3.21046 # DEPENDENCYPART_ARC
(19,14),-2.25288 # DEPENDENCYPART_ARC
(19,15),-2.44846 # DEPENDENCYPART_ARC
(19,16),-2.19439 # DEPENDENCYPART_ARC
(19,17),-1.44186 # DEPENDENCYPART_ARC
(19,18),-1.67105 # DEPENDENCYPART_ARC
(19,20),-0.911665 # DEPENDENCYPART_ARC
(19,21),-1.39802 # DEPENDENCYPART_ARC
(19,22),-1.80689 # DEPENDENCYPART_ARC
(19,23),-2.31409 # DEPENDENCYPART_ARC
(19,24),-2.52634 # DEPENDENCYPART_ARC
(19,25),-1.70093 # DEPENDENCYPART_ARC
(19,26),-2.18351 # DEPENDENCYPART_ARC
(19,27),-2.35228 # DEPENDENCYPART_ARC
(19,28),-3.0796 # DEPENDENCYPART_ARC
(19,29),-2.68022 # DEPENDENCYPART_ARC
(19,30),-1.68455 # DEPENDENCYPART_ARC
(19,31),-3.00418 # DEPENDENCYPART_ARC
(19,32),-2.5307 # DEPENDENCYPART_ARC
(19,33),-2.42413 # DEPENDENCYPART_ARC
(19,34),-2.52615 # DEPENDENCYPART_ARC
(19,35),-2.33668 # DEPENDENCYPART_ARC
(19,36),-2.80392 # DEPENDENCYPART_ARC
(19,37),-2.69376 # DEPENDENCYPART_ARC
(19,38),-2.34565 # DEPENDENCYPART_ARC
(19,39),-3.26194 # DEPENDENCYPART_ARC
(19,40),-2.85883 # DEPENDENCYPART_ARC
(19,41),-2.02925 # DEPENDENCYPART_ARC
(19,42),-2.22723 # DEPENDENCYPART_ARC
(20,1),-3.19552 # DEPENDENCYPART_ARC
(20,2),-2.80164 # DEPENDENCYPART_ARC
(20,3),-1.1976 # DEPENDENCYPART_ARC
(20,4),-1.90386 # DEPENDENCYPART_ARC
(20,5),-1.24609 # DEPENDENCYPART_ARC
(20,6),-1.08831 # DEPENDENCYPART_ARC
(20,7),-1.72042 # DEPENDENCYPART_ARC
(20,8),-0.780593 # DEPENDENCYPART_ARC
(20,9),-1.39042 # DEPENDENCYPART_ARC
(20,10),-1.96451 # DEPENDENCYPART_ARC
(20,11),-2.37571 # DEPENDENCYPART_ARC
(20,12),0.115275 # DEPENDENCYPART_ARC
(20,13),-2.04502 # DEPENDENCYPART_ARC
(20,14),0.137821 # DEPENDENCYPART_ARC
(20,15),-0.291754 # DEPENDENCYPART_ARC
(20,16),0.217832 # DEPENDENCYPART_ARC
(20,17),0.594438 # DEPENDENCYPART_ARC
(20,18),-1.11468 # DEPENDENCYPART_ARC
(20,19),2.09022 # DEPENDENCYPART_ARC
(20,21),-0.754513 # DEPENDENCYPART_ARC
(20,22),-0.653351 # DEPENDENCYPART_ARC
(20,23),-1.44723 # DEPENDENCYPART_ARC
(20,24),-0.956722 # DEPENDENCYPART_ARC
(20,25),-0.573118 # DEPENDENCYPART_ARC
(20,26),-3.60371 # DEPENDENCYPART_ARC
(20,27),-2.4599 # DEPENDENCYPART_ARC
(20,28),-1.48697 # DEPENDENCYPART_ARC
(20,29),-2.75936 # DEPENDENCYPART_ARC
(20,30),-1.29819 # DEPENDENCYPART_ARC
(20,31),-2.48478 # DEPENDENCYPART_ARC
(20,32),-3.14263 # DEPENDENCYPART_ARC
(20,33),-3.54425 # DEPENDENCYPART_ARC
(20,34),-3.68172 # DEPENDENCYPART_ARC
(20,35),-4.18989 # DEPENDENCYPART_ARC
(20,36),-2.86806 # DEPENDENCYPART_ARC
(20,37),-2.71908 # DEPENDENCYPART_ARC
(20,38),-4.74307 # DEPENDENCYPART_ARC
(20,39),-2.16991 # DEPENDENCYPART_ARC
(20,40),-3.61568 # DEPENDENCYPART_ARC
(20,41),-1.90091 # DEPENDENCYPART_ARC
(20,42),-0.305787 # DEPENDENCYPART_ARC
(21,1),-4.74853 # DEPENDENCYPART_ARC
(21,2),-1.45216 # DEPENDENCYPART_ARC
(21,3),-1.33406 # DEPENDENCYPART_ARC
(21,4),-2.58911 # DEPENDENCYPART_ARC
(21,5),-2.05187 # DEPENDENCYPART_ARC
(21,6),-0.372172 # DEPENDENCYPART_ARC
(21,7),-1.47725 # DEPENDENCYPART_ARC
(21,8),-2.95785 # DEPENDENCYPART_ARC
(21,9),-1.51426 # DEPENDENCYPART_ARC
(21,10),-3.22483 # DEPENDENCYPART_ARC
(21,11),-1.69731 # DEPENDENCYPART_ARC
(21,12),-0.84618 # DEPENDENCYPART_ARC
(21,13),-1.35436 # DEPENDENCYPART_ARC
(21,14),-0.39109 # DEPENDENCYPART_ARC
(21,15),-2.11458 # DEPENDENCYPART_ARC
(21,16),-1.40973 # DEPENDENCYPART_ARC
(21,17),-1.57219 # DEPENDENCYPART_ARC
(21,18),-0.6736 # DEPENDENCYPART_ARC
(21,19),1.17934 # DEPENDENCYPART_ARC
(21,20),0.390476 # DEPENDENCYPART_ARC
(21,22),1.56587 # DEPENDENCYPART_ARC
(21,23),0.786312 # DEPENDENCYPART_ARC
(21,24),-0.771759 # DEPENDENCYPART_ARC
(21,25),0.175602 # DEPENDENCYPART_ARC
(21,26),-2.24832 # DEPENDENCYPART_ARC
(21,27),-1.44392 # DEPENDENCYPART_ARC
(21,28),-4.86579 # DEPENDENCYPART_ARC
(21,29),-1.52428 # DEPENDENCYPART_ARC
(21,30),-1.10833 # DEPENDENCYPART_ARC
(21,31),-4.55673 # DEPENDENCYPART_ARC
(21,32),-1.96102 # DEPENDENCYPART_ARC
(21,33),-0.781224 # DEPENDENCYPART_ARC
(21,34),-1.47151 # DEPENDENCYPART_ARC
(21,35),-2.0267 # DEPENDENCYPART_ARC
(21,36),-2.09832 # DEPENDENCYPART_ARC
(21,37),-2.85735 # DEPENDENCYPART_ARC
(21,38),-2.60151 # DEPENDENCYPART_ARC
(21,39),-5.10743 # DEPENDENCYPART_ARC
(21,40),-2.43956 # DEPENDENCYPART_ARC
(21,41),-0.38725 # DEPENDENCYPART_ARC
(21,42),1.72875 # DEPENDENCYPART_ARC
(22,1),-2.44828 # DEPENDENCYPART_ARC
(22,2),0.763137 # DEPENDENCYPART_ARC
(22,3),0.936089 # DEPENDENCYPART_ARC
(22,4),-0.759289 # DEPENDENCYPART_ARC
(22,5),0.31797 # DEPENDENCYPART_ARC
(22,6),1.94091 # DEPENDENCYPART_ARC
(22,7),0.428282 # DEPENDENCYPART_ARC
(22,8),-0.324065 # DEPENDENCYPART_ARC
(22,9),0.0924294 # DEPENDENCYPART_ARC
(22,10),-0.578718 # DEPENDENCYPART_ARC
(22,11),0.52955 # DEPENDENCYPART_ARC
(22,12),0.468526 # DEPENDENCYPART_ARC
(22,13),0.33353 # DEPENDENCYPART_ARC
(22,14),1.13184 # DEPENDENCYPART_ARC
(22,15),0.186126 # DEPENDENCYPART_ARC
(22,16),0.418389 # DEPENDENCYPART_ARC
(22,17),0.47947 # DEPENDENCYPART_ARC
(22,18),1.59746 # DEPENDENCYPART_ARC
(22,19),2.98727 # DEPENDENCYPART_ARC
(22,20),3.83204 # DEPENDENCYPART_ARC
(22,21),6.37859 # DEPENDENCYPART_ARC
(22,23),3.86537 # DEPENDENCYPART_ARC
(22,24),3.16439 # DEPENDENCYPART_ARC
(22,25),1.91414 # DEPENDENCYPART_ARC
(22,26),1.00363 # DEPENDENCYPART_ARC
(22,27),1.43648 # DEPENDENCYPART_ARC
(22,28),-2.45875 # DEPENDENCYPART_ARC
(22,29),1.06154 # DEPENDENCYPART_ARC
(22,30),1.2569 # DEPENDENCYPART_ARC
(22,31),-2.22438 # DEPENDENCYPART_ARC
(22,32),0.610583 # DEPENDENCYPART_ARC
(22,33),1.57226 # DEPENDENCYPART_ARC
(22,34),0.338379 # DEPENDENCYPART_ARC
(22,35),0.737472 # DEPENDENCYPART_ARC
(22,36),0.919576 # DEPENDENCYPART_ARC
(22,37),-0.888857 # DEPENDENCYPART_ARC
(22,38),0.121941 # DEPENDENCYPART_ARC
(22,39),-2.70652 # DEPENDENCYPART_ARC
(22,40),-0.168754 # DEPENDENCYPART_ARC
(22,41),0.993837 # DEPENDENCYPART_ARC
(22,42),5.04733 # DEPENDENCYPART_ARC
(23,1),-1.58705 # DEPENDENCYPART_ARC
(23,2),-3.14631 # DEPENDENCYPART_ARC
(23,3),-3.06126 # DEPENDENCYPART_ARC
(23,4),-3.09675 # DEPENDENCYPART_ARC
(23,5),-1.88894 # DEPENDENCYPART_ARC
(23,6),-3.03471 # DEPENDENCYPART_ARC
(23,7),-3.2309 # DEPENDENCYPART_ARC
(23,8),-2.60643 # DEPENDENCYPART_ARC
(23,9),-2.59243 # DEPENDENCYPART_ARC
(23,10),-1.57138 # DEPENDENCYPART_ARC
(23,11),-3.29931 # DEPENDENCYPART_ARC
(23,12),-1.45814 # DEPENDENCYPART_ARC
(23,13),-2.8904 # DEPENDENCYPART_ARC
(23,14),-1.82607 # DEPENDENCYPART_ARC
(23,15),-0.846484 # DEPENDENCYPART_ARC
(23,16),-1.8472 # DEPENDENCYPART_ARC
(23,17),-1.80764 # DEPENDENCYPART_ARC
(23,18),-2.5668 # DEPENDENCYPART_ARC
(23,19),-1.39573 # DEPENDENCYPART_ARC
(23,20),-2.05746 # DEPENDENCYPART_ARC
(23,21),-1.06101 # DEPENDENCYPART_ARC
(23,22),0.0771737 # DEPENDENCYPART_ARC
(23,24),6.08585 # DEPENDENCYPART_ARC
(23,25),0.859415 # DEPENDENCYPART_ARC
(23,26),-0.973633 # DEPENDENCYPART_ARC
(23,27),-0.470332 # DEPENDENCYPART_ARC
(23,28),-3.21877 # DEPENDENCYPART_ARC
(23,29),-2.67863 # DEPENDENCYPART_ARC
(23,30),-0.356243 # DEPENDENCYPART_ARC
(23,31),-3.63799 # DEPENDENCYPART_ARC
(23,32),-6.15138 # DEPENDENCYPART_ARC
(23,33),-1.08824 # DEPENDENCYPART_ARC
(23,34),-0.364746 # DEPENDENCYPART_ARC
(23,35),-3.15512 # DEPENDENCYPART_ARC
(23,36),-5.24552 # DEPENDENCYPART_ARC
(23,37),-1.75669 # DEPENDENCYPART_ARC
(23,38),-1.16802 # DEPENDENCYPART_ARC
(23,39),-3.68075 # DEPENDENCYPART_ARC
(23,40),-6.6481 # DEPENDENCYPART_ARC
(23,41),-1.40508 # DEPENDENCYPART_ARC
(23,42),0.654174 # DEPENDENCYPART_ARC
(24,1),-7.56579 # DEPENDENCYPART_ARC
(24,2),-4.74571 # DEPENDENCYPART_ARC
(24,3),-2.16174 # DEPENDENCYPART_ARC
(24,4),-3.4213 # DEPENDENCYPART_ARC
(24,5),-2.06984 # DEPENDENCYPART_ARC
(24,6),-2.09882 # DEPENDENCYPART_ARC
(24,7),-3.67652 # DEPENDENCYPART_ARC
(24,8),-2.31946 # DEPENDENCYPART_ARC
(24,9),-2.82482 # DEPENDENCYPART_ARC
(24,10),-3.37143 # DEPENDENCYPART_ARC
(24,11),-3.70564 # DEPENDENCYPART_ARC
(24,12),-2.14437 # DEPENDENCYPART_ARC
(24,13),-3.33693 # DEPENDENCYPART_ARC
(24,14),-1.32179 # DEPENDENCYPART_ARC
(24,15),-3.21862 # DEPENDENCYPART_ARC
(24,16),-4.12683 # DEPENDENCYPART_ARC
(24,17),-2.99958 # DEPENDENCYPART_ARC
(24,18),-2.78613 # DEPENDENCYPART_ARC
(24,19),-1.19853 # DEPENDENCYPART_ARC
(24,20),-1.63622 # DEPENDENCYPART_ARC
(24,21),-0.61432 # DEPENDENCYPART_ARC
(24,22),-0.900021 # DEPENDENCYPART_ARC
(24,23),0.435891 # DEPENDENCYPART_ARC
(24,25),0.234163 # DEPENDENCYPART_ARC
(24,26),0.381065 # DEPENDENCYPART_ARC
(24,27),0.740697 # DEPENDENCYPART_ARC
