# _root_ I és que , si l' antiga estratègia de l' Acord_d'_Ajuria_Enea va néixer del consens i de la concertació , aquesta d' ara ha vist la llum sota el signe de la confrontació entre les majories i les minories .
#goldHeads=2,0,25,13,13,8,8,13,8,11,9,13,25,13,14,14,14,19,17,13,25,21,22,25,2,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
#predictedHeads=2,0,13,13,13,8,8,13,8,11,9,13,2,13,14,14,14,19,17,21,25,21,22,25,19,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
(15,35),-4.79206 # DEPENDENCYPART_ARC
(15,36),-2.0271 # DEPENDENCYPART_ARC
(15,37),-2.23607 # DEPENDENCYPART_ARC
(15,38),-5.10182 # DEPENDENCYPART_ARC
(15,39),-2.33618 # DEPENDENCYPART_ARC
(15,40),0.20736 # DEPENDENCYPART_ARC
(16,4),-4.03658 # DEPENDENCYPART_ARC
(16,11),-3.69709 # DEPENDENCYPART_ARC
(16,20),-1.11782 # DEPENDENCYPART_ARC
(17,1),-1.99539 # DEPENDENCYPART_ARC
(17,2),-2.10626 # DEPENDENCYPART_ARC
(17,3),-1.60526 # DEPENDENCYPART_ARC
(17,4),-2.57134 # DEPENDENCYPART_ARC
(17,5),-1.63985 # DEPENDENCYPART_ARC
(17,6),-2.0864 # DEPENDENCYPART_ARC
(17,7),-1.83072 # DEPENDENCYPART_ARC
(17,8),-2.10415 # DEPENDENCYPART_ARC
(17,9),-1.57525 # DEPENDENCYPART_ARC
(17,10),-1.76414 # DEPENDENCYPART_ARC
(17,11),-1.92171 # DEPENDENCYPART_ARC
(17,12),-0.671863 # DEPENDENCYPART_ARC
(17,13),-0.799435 # DEPENDENCYPART_ARC
(17,14),-0.0911294 # DEPENDENCYPART_ARC
(17,15),-0.246372 # DEPENDENCYPART_ARC
(17,16),0.692509 # DEPENDENCYPART_ARC
(17,18),-0.19427 # DEPENDENCYPART_ARC
(17,19),4.61965 # DEPENDENCYPART_ARC
(17,20),0.782654 # DEPENDENCYPART_ARC
(17,21),-1.14421 # DEPENDENCYPART_ARC
(17,22),0.136427 # DEPENDENCYPART_ARC
(17,23),-0.111837 # DEPENDENCYPART_ARC
(17,24),-0.427711 # DEPENDENCYPART_ARC
(17,25),-0.171209 # DEPENDENCYPART_ARC
(17,26),-2.93354 # DEPENDENCYPART_ARC
(17,27),-2.58578 # DEPENDENCYPART_ARC
(17,28),-1.43067 # DEPENDENCYPART_ARC
(17,29),-3.2703 # DEPENDENCYPART_ARC
(17,30),-4.3947 # DEPENDENCYPART_ARC
(17,31),-1.00864 # DEPENDENCYPART_ARC
(17,32),-3.27314 # DEPENDENCYPART_ARC
(17,33),-5.8358 # DEPENDENCYPART_ARC
(17,34),-2.49596 # DEPENDENCYPART_ARC
(17,35),-3.01062 # DEPENDENCYPART_ARC
(17,36),-7.03485 # DEPENDENCYPART_ARC
(17,37),-1.20351 # DEPENDENCYPART_ARC
(17,38),-2.42009 # DEPENDENCYPART_ARC
(17,39),-9.05898 # DEPENDENCYPART_ARC
(17,40),-0.0577916 # DEPENDENCYPART_ARC
(18,1),-2.34748 # DEPENDENCYPART_ARC
(18,6),-3.83017 # DEPENDENCYPART_ARC
(18,7),-2.29391 # DEPENDENCYPART_ARC
(18,8),-1.97796 # DEPENDENCYPART_ARC
(18,9),-2.12852 # DEPENDENCYPART_ARC
(18,10),-3.27604 # DEPENDENCYPART_ARC
(18,11),-1.83562 # DEPENDENCYPART_ARC
(18,14),-0.338119 # DEPENDENCYPART_ARC
(18,15),-1.04109 # DEPENDENCYPART_ARC
(18,16),-0.30797 # DEPENDENCYPART_ARC
(18,17),0.59408 # DEPENDENCYPART_ARC
(18,19),0.827295 # DEPENDENCYPART_ARC
(18,22),-1.85506 # DEPENDENCYPART_ARC
(18,23),-1.84254 # DEPENDENCYPART_ARC
(18,26),-2.38496 # DEPENDENCYPART_ARC
(18,27),-2.1357 # DEPENDENCYPART_ARC
(18,28),-3.88394 # DEPENDENCYPART_ARC
(18,29),-3.72501 # DEPENDENCYPART_ARC
(18,30),-3.34504 # DEPENDENCYPART_ARC
(18,31),-3.84121 # DEPENDENCYPART_ARC
(18,32),-3.18335 # DEPENDENCYPART_ARC
(18,33),-3.26612 # DEPENDENCYPART_ARC
(18,34),-5.36469 # DEPENDENCYPART_ARC
(18,35),-3.1142 # DEPENDENCYPART_ARC
(18,36),-5.12306 # DEPENDENCYPART_ARC
(18,37),-4.16835 # DEPENDENCYPART_ARC
(18,38),-3.95381 # DEPENDENCYPART_ARC
(18,39),-5.76211 # DEPENDENCYPART_ARC
(19,1),-1.5662 # DEPENDENCYPART_ARC
(19,2),-1.87314 # DEPENDENCYPART_ARC
(19,3),-0.949528 # DEPENDENCYPART_ARC
(19,4),-1.92864 # DEPENDENCYPART_ARC
(19,5),-1.53978 # DEPENDENCYPART_ARC
(19,6),-4.3132 # DEPENDENCYPART_ARC
(19,7),-1.0574 # DEPENDENCYPART_ARC
(19,8),-2.07382 # DEPENDENCYPART_ARC
(19,9),-1.43379 # DEPENDENCYPART_ARC
(19,10),-2.39966 # DEPENDENCYPART_ARC
(19,11),-2.22732 # DEPENDENCYPART_ARC
(19,12),-1.4756 # DEPENDENCYPART_ARC
(19,13),-0.744707 # DEPENDENCYPART_ARC
(19,14),-1.25758 # DEPENDENCYPART_ARC
(19,15),-0.600573 # DEPENDENCYPART_ARC
(19,16),-0.301942 # DEPENDENCYPART_ARC
(19,17),0.691627 # DEPENDENCYPART_ARC
(19,18),4.82316 # DEPENDENCYPART_ARC
(19,20),0.0210305 # DEPENDENCYPART_ARC
(19,21),1.09559 # DEPENDENCYPART_ARC
(19,22),1.04254 # DEPENDENCYPART_ARC
(19,23),-0.404709 # DEPENDENCYPART_ARC
(19,24),1.48447 # DEPENDENCYPART_ARC
(19,25),1.36188 # DEPENDENCYPART_ARC
(19,26),-1.81081 # DEPENDENCYPART_ARC
(19,27),-0.591775 # DEPENDENCYPART_ARC
(19,28),0.0611053 # DEPENDENCYPART_ARC
(19,29),-2.82976 # DEPENDENCYPART_ARC
(19,30),-0.969324 # DEPENDENCYPART_ARC
(19,31),-1.50329 # DEPENDENCYPART_ARC
(19,32),-2.54965 # DEPENDENCYPART_ARC
(19,33),-0.784124 # DEPENDENCYPART_ARC
(19,34),-0.951664 # DEPENDENCYPART_ARC
(19,35),-3.29918 # DEPENDENCYPART_ARC
(19,36),-0.366209 # DEPENDENCYPART_ARC
(19,37),0.518607 # DEPENDENCYPART_ARC
(19,38),-3.36026 # DEPENDENCYPART_ARC
(19,39),0.134146 # DEPENDENCYPART_ARC
(19,40),1.70281 # DEPENDENCYPART_ARC
(20,4),-2.21601 # DEPENDENCYPART_ARC
(20,7),-2.87683 # DEPENDENCYPART_ARC
(20,8),-3.5672 # DEPENDENCYPART_ARC
(20,15),-2.76329 # DEPENDENCYPART_ARC
(20,19),-1.56138 # DEPENDENCYPART_ARC
(20,27),-2.18611 # DEPENDENCYPART_ARC
(20,30),-2.29424 # DEPENDENCYPART_ARC
(20,33),-2.38259 # DEPENDENCYPART_ARC
(20,36),-2.42625 # DEPENDENCYPART_ARC
(20,39),-2.38788 # DEPENDENCYPART_ARC
(21,1),-1.40034 # DEPENDENCYPART_ARC
(21,2),-1.88204 # DEPENDENCYPART_ARC
(21,3),-0.602093 # DEPENDENCYPART_ARC
(21,4),-1.58968 # DEPENDENCYPART_ARC
(21,5),-1.17256 # DEPENDENCYPART_ARC
(21,7),-1.66065 # DEPENDENCYPART_ARC
(21,8),-2.31207 # DEPENDENCYPART_ARC
(21,9),-1.11951 # DEPENDENCYPART_ARC
(21,11),-1.66481 # DEPENDENCYPART_ARC
(21,12),-1.44149 # DEPENDENCYPART_ARC
(21,13),-1.35224 # DEPENDENCYPART_ARC
(21,14),-0.782474 # DEPENDENCYPART_ARC
(21,15),-1.70282 # DEPENDENCYPART_ARC
(21,16),-0.456265 # DEPENDENCYPART_ARC
(21,17),-0.0275285 # DEPENDENCYPART_ARC
(21,19),-0.84555 # DEPENDENCYPART_ARC
(21,20),1.87245 # DEPENDENCYPART_ARC
(21,22),2.72161 # DEPENDENCYPART_ARC
(21,23),0.835776 # DEPENDENCYPART_ARC
(21,24),2.08974 # DEPENDENCYPART_ARC
(21,25),0.934662 # DEPENDENCYPART_ARC
(21,27),0.274113 # DEPENDENCYPART_ARC
(21,28),0.110794 # DEPENDENCYPART_ARC
(21,30),-0.17107 # DEPENDENCYPART_ARC
(21,31),0.128997 # DEPENDENCYPART_ARC
(21,33),-0.361246 # DEPENDENCYPART_ARC
(21,34),-0.957138 # DEPENDENCYPART_ARC
(21,36),-0.670934 # DEPENDENCYPART_ARC
(21,37),-0.0945014 # DEPENDENCYPART_ARC
(21,39),-0.425457 # DEPENDENCYPART_ARC
(21,40),1.3998 # DEPENDENCYPART_ARC
(22,1),-2.75447 # DEPENDENCYPART_ARC
(22,2),-2.4837 # DEPENDENCYPART_ARC
(22,3),-1.97938 # DEPENDENCYPART_ARC
(22,4),-4.20209 # DEPENDENCYPART_ARC
(22,5),-2.28454 # DEPENDENCYPART_ARC
(22,6),-2.55322 # DEPENDENCYPART_ARC
(22,7),-2.31213 # DEPENDENCYPART_ARC
(22,8),-2.82343 # DEPENDENCYPART_ARC
(22,9),-3.16814 # DEPENDENCYPART_ARC
(22,10),-2.32244 # DEPENDENCYPART_ARC
(22,11),-2.84711 # DEPENDENCYPART_ARC
(22,12),-1.55364 # DEPENDENCYPART_ARC
(22,13),-1.85748 # DEPENDENCYPART_ARC
(22,14),-2.04078 # DEPENDENCYPART_ARC
(22,15),-1.96252 # DEPENDENCYPART_ARC
(22,16),-1.87173 # DEPENDENCYPART_ARC
(22,17),-1.5739 # DEPENDENCYPART_ARC
(22,18),-0.266668 # DEPENDENCYPART_ARC
(22,19),-1.50347 # DEPENDENCYPART_ARC
(22,20),-0.216925 # DEPENDENCYPART_ARC
(22,21),-0.191544 # DEPENDENCYPART_ARC
(22,23),4.05626 # DEPENDENCYPART_ARC
(22,24),1.68749 # DEPENDENCYPART_ARC
(22,25),1.39128 # DEPENDENCYPART_ARC
(22,26),-1.61157 # DEPENDENCYPART_ARC
(22,27),0.92238 # DEPENDENCYPART_ARC
(22,28),-0.776665 # DEPENDENCYPART_ARC
(22,29),-2.14268 # DEPENDENCYPART_ARC
(22,30),-0.998454 # DEPENDENCYPART_ARC
(22,31),-1.2187 # DEPENDENCYPART_ARC
(22,32),-2.16219 # DEPENDENCYPART_ARC
(22,33),-1.91683 # DEPENDENCYPART_ARC
(22,34),-1.91895 # DEPENDENCYPART_ARC
(22,35),-1.96616 # DEPENDENCYPART_ARC
(22,36),-2.75312 # DEPENDENCYPART_ARC
(22,37),-0.689452 # DEPENDENCYPART_ARC
(22,38),-1.61901 # DEPENDENCYPART_ARC
(22,39),-4.88393 # DEPENDENCYPART_ARC
(22,40),0.59776 # DEPENDENCYPART_ARC
(23,1),-2.28943 # DEPENDENCYPART_ARC
(23,2),-2.84366 # DEPENDENCYPART_ARC
(23,3),-1.64402 # DEPENDENCYPART_ARC
(23,4),-3.01535 # DEPENDENCYPART_ARC
(23,5),-1.76892 # DEPENDENCYPART_ARC
(23,6),-2.68371 # DEPENDENCYPART_ARC
(23,7),-2.2065 # DEPENDENCYPART_ARC
(23,8),-3.31742 # DEPENDENCYPART_ARC
(23,9),-2.3247 # DEPENDENCYPART_ARC
(23,10),-2.62438 # DEPENDENCYPART_ARC
(23,11),-2.90589 # DEPENDENCYPART_ARC
(23,12),-2.3746 # DEPENDENCYPART_ARC
(23,13),-2.06823 # DEPENDENCYPART_ARC
(23,14),-1.14592 # DEPENDENCYPART_ARC
(23,15),-1.98446 # DEPENDENCYPART_ARC
(23,16),-1.3134 # DEPENDENCYPART_ARC
(23,17),-1.24468 # DEPENDENCYPART_ARC
(23,18),-1.57977 # DEPENDENCYPART_ARC
(23,19),-1.61971 # DEPENDENCYPART_ARC
(23,20),-0.685476 # DEPENDENCYPART_ARC
(23,21),-0.598858 # DEPENDENCYPART_ARC
(23,22),0.390292 # DEPENDENCYPART_ARC
(23,24),-0.0372135 # DEPENDENCYPART_ARC
(23,25),-1.32374 # DEPENDENCYPART_ARC
(23,26),-2.21844 # DEPENDENCYPART_ARC
(23,27),-2.07174 # DEPENDENCYPART_ARC
(23,28),-2.48011 # DEPENDENCYPART_ARC
(23,29),-2.86806 # DEPENDENCYPART_ARC
(23,30),-2.48579 # DEPENDENCYPART_ARC
(23,31),-3.35152 # DEPENDENCYPART_ARC
(23,32),-3.02005 # DEPENDENCYPART_ARC
(23,33),-2.5454 # DEPENDENCYPART_ARC
(23,34),-3.53265 # DEPENDENCYPART_ARC
(23,35),-3.13796 # DEPENDENCYPART_ARC
(23,36),-2.58889 # DEPENDENCYPART_ARC
(23,37),-2.35206 # DEPENDENCYPART_ARC
(23,38),-3.13169 # DEPENDENCYPART_ARC
(23,39),-2.20509 # DEPENDENCYPART_ARC
(23,40),-1.91528 # DEPENDENCYPART_ARC
(24,1),-2.37264 # DEPENDENCYPART_ARC
(24,2),-2.56871 # DEPENDENCYPART_ARC
(24,3),-0.469736 # DEPENDENCYPART_ARC
(24,4),-1.99651 # DEPENDENCYPART_ARC
(24,5),-1.43302 # DEPENDENCYPART_ARC
(24,6),-4.99507 # DEPENDENCYPART_ARC
(24,7),-2.01762 # DEPENDENCYPART_ARC
(24,8),-2.04307 # DEPENDENCYPART_ARC
(24,9),-3.52116 # DEPENDENCYPART_ARC
(24,10),-4.57849 # DEPENDENCYPART_ARC
(24,11),-2.74909 # DEPENDENCYPART_ARC
(24,12),-0.886822 # DEPENDENCYPART_ARC
(24,13),-2.90607 # DEPENDENCYPART_ARC
(24,14),-2.81435 # DEPENDENCYPART_ARC
(24,15),-2.6025 # DEPENDENCYPART_ARC
(24,16),-1.62572 # DEPENDENCYPART_ARC
(24,17),-1.30119 # DEPENDENCYPART_ARC
(24,18),-2.55763 # DEPENDENCYPART_ARC
(24,19),-1.54975 # DEPENDENCYPART_ARC
(24,20),0.236106 # DEPENDENCYPART_ARC
(24,22),0.409484 # DEPENDENCYPART_ARC
(24,23),0.379994 # DEPENDENCYPART_ARC
(24,25),0.602873 # DEPENDENCYPART_ARC
(24,26),-3.4929 # DEPENDENCYPART_ARC
(24,27),0.261088 # DEPENDENCYPART_ARC
(24,28),-0.652058 # DEPENDENCYPART_ARC
(24,29),-4.57975 # DEPENDENCYPART_ARC
(24,30),-1.00445 # DEPENDENCYPART_ARC
(24,31),-2.74095 # DEPENDENCYPART_ARC
(24,32),-4.94986 # DEPENDENCYPART_ARC
(24,33),-1.1855 # DEPENDENCYPART_ARC
(24,34),-1.76268 # DEPENDENCYPART_ARC
(24,35),-5.19902 # DEPENDENCYPART_ARC
(24,36),-1.26448 # DEPENDENCYPART_ARC
(24,37),-0.358518 # DEPENDENCYPART_ARC
(24,38),-5.0704 # DEPENDENCYPART_ARC
(24,39),-2.27241 # DEPENDENCYPART_ARC
(24,40),3.02776 # DEPENDENCYPART_ARC
(25,1),-0.692328 # DEPENDENCYPART_ARC
(25,2),-0.855173 # DEPENDENCYPART_ARC
(25,3),0.918235 # DEPENDENCYPART_ARC
(25,4),-0.91556 # DEPENDENCYPART_ARC
(25,5),-0.0438349 # DEPENDENCYPART_ARC
(25,6),-2.56241 # DEPENDENCYPART_ARC
(25,7),-0.676266 # DEPENDENCYPART_ARC
(25,8),-0.260391 # DEPENDENCYPART_ARC
(25,9),-2.12756 # DEPENDENCYPART_ARC
(25,10),-2.20235 # DEPENDENCYPART_ARC
(25,11),0.461727 # DEPENDENCYPART_ARC
(25,12),1.32381 # DEPENDENCYPART_ARC
(25,13),-0.71297 # DEPENDENCYPART_ARC
(25,14),-1.23793 # DEPENDENCYPART_ARC
(25,15),-0.575777 # DEPENDENCYPART_ARC
(25,16),-0.0426754 # DEPENDENCYPART_ARC
(25,17),0.6666 # DEPENDENCYPART_ARC
(25,18),-0.985652 # DEPENDENCYPART_ARC
(25,19),0.582769 # DEPENDENCYPART_ARC
(25,20),1.67407 # DEPENDENCYPART_ARC
(25,21),2.24087 # DEPENDENCYPART_ARC
(25,22),2.11005 # DEPENDENCYPART_ARC
(25,23),1.72038 # DEPENDENCYPART_ARC
(25,24),5.92204 # DEPENDENCYPART_ARC
(25,26),-0.863294 # DEPENDENCYPART_ARC
(25,27),3.64357 # DEPENDENCYPART_ARC
(25,28),2.61908 # DEPENDENCYPART_ARC
(25,29),-2.08466 # DEPENDENCYPART_ARC
(25,30),1.27816 # DEPENDENCYPART_ARC
(25,31),0.717806 # DEPENDENCYPART_ARC
(25,32),-2.65565 # DEPENDENCYPART_ARC
(25,33),0.806171 # DEPENDENCYPART_ARC
(25,34),1.17814 # DEPENDENCYPART_ARC
(25,35),-2.70182 # DEPENDENCYPART_ARC
(25,36),1.10199 # DEPENDENCYPART_ARC
(25,37),0.650583 # DEPENDENCYPART_ARC
(25,38),-2.55032 # DEPENDENCYPART_ARC
(25,39),0.213563 # DEPENDENCYPART_ARC
(25,40),4.76619 # DEPENDENCYPART_ARC
(26,1),-3.93049 # DEPENDENCYPART_ARC
(26,6),-5.89881 # DEPENDENCYPART_ARC
(26,7),-4.03332 # DEPENDENCYPART_ARC
(26,8),-4.00211 # DEPENDENCYPART_ARC
(26,9),-4.30148 # DEPENDENCYPART_ARC
(26,10),-5.42933 # DEPENDENCYPART_ARC
(26,11),-3.78827 # DEPENDENCYPART_ARC
(26,14),-3.03919 # DEPENDENCYPART_ARC
(26,15),-3.78829 # DEPENDENCYPART_ARC
(26,16),-3.2493 # DEPENDENCYPART_ARC
(26,17),-3.57087 # DEPENDENCYPART_ARC
(26,18),-2.99935 # DEPENDENCYPART_ARC
(26,19),-3.49062 # DEPENDENCYPART_ARC
(26,22),-2.45754 # DEPENDENCYPART_ARC
(26,23),-1.90308 # DEPENDENCYPART_ARC
(26,27),2.82093 # DEPENDENCYPART_ARC
(26,28),-0.129055 # DEPENDENCYPART_ARC
(26,29),-0.168789 # DEPENDENCYPART_ARC
(26,30),-0.818644 # DEPENDENCYPART_ARC
(26,31),-0.972802 # DEPENDENCYPART_ARC
(26,32),-0.559215 # DEPENDENCYPART_ARC
(26,33),-1.47475 # DEPENDENCYPART_ARC
(26,34),-3.12832 # DEPENDENCYPART_ARC
(26,35),-0.745252 # DEPENDENCYPART_ARC
(26,36),-3.18824 # DEPENDENCYPART_ARC
(26,37),-2.38349 # DEPENDENCYPART_ARC
(26,38),-1.41426 # DEPENDENCYPART_ARC
(26,39),-3.86192 # DEPENDENCYPART_ARC
(27,1),-1.65284 # DEPENDENCYPART_ARC
(27,2),-2.69149 # DEPENDENCYPART_ARC
(27,3),-0.908921 # DEPENDENCYPART_ARC
(27,4),-2.43636 # DEPENDENCYPART_ARC
(27,5),-1.63399 # DEPENDENCYPART_ARC
(27,6),-6.28754 # DEPENDENCYPART_ARC
(27,7),-1.82629 # DEPENDENCYPART_ARC
(27,8),-2.53867 # DEPENDENCYPART_ARC
(27,9),-2.17193 # DEPENDENCYPART_ARC
(27,10),-4.78332 # DEPENDENCYPART_ARC
(27,11),-2.74994 # DEPENDENCYPART_ARC
(27,12),-2.35274 # DEPENDENCYPART_ARC
(27,13),-1.71204 # DEPENDENCYPART_ARC
(27,14),-1.84964 # DEPENDENCYPART_ARC
(27,15),-1.94277 # DEPENDENCYPART_ARC
(27,16),-1.06404 # DEPENDENCYPART_ARC
(27,17),-0.573074 # DEPENDENCYPART_ARC
(27,18),-1.42479 # DEPENDENCYPART_ARC
(27,19),-1.78585 # DEPENDENCYPART_ARC
(27,20),-0.821481 # DEPENDENCYPART_ARC
(27,21),-2.00903 # DEPENDENCYPART_ARC
(27,22),-0.895805 # DEPENDENCYPART_ARC
(27,23),1.1953 # DEPENDENCYPART_ARC
(27,24),-1.17268 # DEPENDENCYPART_ARC
(27,25),-0.309701 # DEPENDENCYPART_ARC
(27,26),4.50519 # DEPENDENCYPART_ARC
(27,28),1.73054 # DEPENDENCYPART_ARC
(27,29),-1.36814 # DEPENDENCYPART_ARC
(27,30),1.11379 # DEPENDENCYPART_ARC
(27,31),1.48665 # DEPENDENCYPART_ARC
(27,32),-1.70041 # DEPENDENCYPART_ARC
(27,33),1.11105 # DEPENDENCYPART_ARC
(27,34),0.62156 # DEPENDENCYPART_ARC
(27,35),-2.69137 # DEPENDENCYPART_ARC
(27,36),1.07723 # DEPENDENCYPART_ARC
(27,37),1.98638 # DEPENDENCYPART_ARC
(27,38),-2.66864 # DEPENDENCYPART_ARC
(27,39),1.53044 # DEPENDENCYPART_ARC
(27,40),1.53591 # DEPENDENCYPART_ARC
(28,1),-1.97713 # DEPENDENCYPART_ARC
(28,2),-2.49148 # DEPENDENCYPART_ARC
(28,3),-1.67209 # DEPENDENCYPART_ARC
(28,4),-3.14152 # DEPENDENCYPART_ARC
(28,5),-1.84221 # DEPENDENCYPART_ARC
(28,6),-3.14169 # DEPENDENCYPART_ARC
(28,7),-2.49481 # DEPENDENCYPART_ARC
(28,8),-3.04503 # DEPENDENCYPART_ARC
(28,9),-3.60768 # DEPENDENCYPART_ARC
(28,10),-3.0213 # DEPENDENCYPART_ARC
(28,11),-3.01425 # DEPENDENCYPART_ARC
(28,12),-1.57569 # DEPENDENCYPART_ARC
(28,13),-2.05226 # DEPENDENCYPART_ARC
(28,14),-2.93107 # DEPENDENCYPART_ARC
(28,15),-2.32036 # DEPENDENCYPART_ARC
(28,16),-1.49042 # DEPENDENCYPART_ARC
(28,17),-2.53436 # DEPENDENCYPART_ARC
(28,18),-1.94705 # DEPENDENCYPART_ARC
(28,19),-2.49982 # DEPENDENCYPART_ARC
(28,20),-1.0553 # DEPENDENCYPART_ARC
(28,21),-2.18924 # DEPENDENCYPART_ARC
(28,22),-1.83948 # DEPENDENCYPART_ARC
(28,23),-1.10453 # DEPENDENCYPART_ARC
(28,24),-0.559871 # DEPENDENCYPART_ARC
(28,25),-1.28014 # DEPENDENCYPART_ARC
(28,26),0.431895 # DEPENDENCYPART_ARC
(28,27),0.0147691 # DEPENDENCYPART_ARC
(28,29),-0.369751 # DEPENDENCYPART_ARC
(28,30),4.25339 # DEPENDENCYPART_ARC
(28,31),0.269866 # DEPENDENCYPART_ARC
(28,32),-2.3256 # DEPENDENCYPART_ARC
(28,33),1.25949 # DEPENDENCYPART_ARC
(28,34),-0.426774 # DEPENDENCYPART_ARC
(28,35),-2.51766 # DEPENDENCYPART_ARC
(28,36),-0.747548 # DEPENDENCYPART_ARC
(28,37),0.422416 # DEPENDENCYPART_ARC
(28,38),-1.96748 # DEPENDENCYPART_ARC
(28,39),-2.66909 # DEPENDENCYPART_ARC
(28,40),-0.576154 # DEPENDENCYPART_ARC
(29,1),-3.45173 # DEPENDENCYPART_ARC
(29,6),-5.83127 # DEPENDENCYPART_ARC
(29,7),-4.2409 # DEPENDENCYPART_ARC
(29,8),-4.11822 # DEPENDENCYPART_ARC
(29,9),-4.07939 # DEPENDENCYPART_ARC
(29,10),-5.4695 # DEPENDENCYPART_ARC
(29,11),-3.58243 # DEPENDENCYPART_ARC
(29,14),-3.18686 # DEPENDENCYPART_ARC
(29,15),-3.4701 # DEPENDENCYPART_ARC
(29,16),-2.85867 # DEPENDENCYPART_ARC
(29,17),-3.32507 # DEPENDENCYPART_ARC
(29,18),-3.81572 # DEPENDENCYPART_ARC
(29,19),-3.46996 # DEPENDENCYPART_ARC
(29,22),-2.48984 # DEPENDENCYPART_ARC
(29,23),-1.94188 # DEPENDENCYPART_ARC
(29,26),-1.52409 # DEPENDENCYPART_ARC
(29,27),-1.56945 # DEPENDENCYPART_ARC
(29,28),-0.1929 # DEPENDENCYPART_ARC
(29,30),2.31193 # DEPENDENCYPART_ARC
(29,31),0.0466676 # DEPENDENCYPART_ARC
(29,32),-0.0742742 # DEPENDENCYPART_ARC
(29,33),-0.914317 # DEPENDENCYPART_ARC
(29,34),-2.25916 # DEPENDENCYPART_ARC
(29,35),-1.74755 # DEPENDENCYPART_ARC
(29,36),-3.4809 # DEPENDENCYPART_ARC
(29,37),-1.95763 # DEPENDENCYPART_ARC
(29,38),-2.79997 # DEPENDENCYPART_ARC
(29,39),-4.05338 # DEPENDENCYPART_ARC
(30,1),-1.85106 # DEPENDENCYPART_ARC
(30,2),-2.93345 # DEPENDENCYPART_ARC
(30,3),-1.2497 # DEPENDENCYPART_ARC
(30,4),-2.6829 # DEPENDENCYPART_ARC
(30,5),-2.04252 # DEPENDENCYPART_ARC
(30,6),-7.30625 # DEPENDENCYPART_ARC
(30,7),-3.17853 # DEPENDENCYPART_ARC
(30,8),-3.74205 # DEPENDENCYPART_ARC
(30,9),-2.4947 # DEPENDENCYPART_ARC
(30,10),-5.80303 # DEPENDENCYPART_ARC
(30,11),-3.25229 # DEPENDENCYPART_ARC
(30,12),-2.65767 # DEPENDENCYPART_ARC
(30,13),-2.38998 # DEPENDENCYPART_ARC
(30,14),-2.28418 # DEPENDENCYPART_ARC
(30,15),-2.43204 # DEPENDENCYPART_ARC
(30,16),-1.43921 # DEPENDENCYPART_ARC
(30,17),-0.867167 # DEPENDENCYPART_ARC
(30,18),-2.85907 # DEPENDENCYPART_ARC
(30,19),-3.01896 # DEPENDENCYPART_ARC
(30,20),-1.16752 # DEPENDENCYPART_ARC
(30,21),-2.86955 # DEPENDENCYPART_ARC
(30,22),-1.07803 # DEPENDENCYPART_ARC
(30,23),0.142422 # DEPENDENCYPART_ARC
(30,24),-1.89646 # DEPENDENCYPART_ARC
(30,25),-2.2895 # DEPENDENCYPART_ARC
(30,26),1.21454 # DEPENDENCYPART_ARC
(30,27),-1.12159 # DEPENDENCYPART_ARC
(30,28),0.679592 # DEPENDENCYPART_ARC
(30,29),3.84545 # DEPENDENCYPART_ARC
(30,31),2.96971 # DEPENDENCYPART_ARC
(30,32),-1.10455 # DEPENDENCYPART_ARC
(30,33),1.37064 # DEPENDENCYPART_ARC
(30,34),1.277 # DEPENDENCYPART_ARC
(30,35),-2.66666 # DEPENDENCYPART_ARC
(30,36),0.839493 # DEPENDENCYPART_ARC
(30,37),2.00564 # DEPENDENCYPART_ARC
(30,38),-2.78431 # DEPENDENCYPART_ARC
(30,39),1.1998 # DEPENDENCYPART_ARC
(30,40),1.56245 # DEPENDENCYPART_ARC
(31,1),-3.12917 # DEPENDENCYPART_ARC
(31,2),-4.20784 # DEPENDENCYPART_ARC
(31,3),-3.19419 # DEPENDENCYPART_ARC
(31,4),-4.50478 # DEPENDENCYPART_ARC
(31,5),-3.08177 # DEPENDENCYPART_ARC
(31,6),-3.71065 # DEPENDENCYPART_ARC
(31,7),-2.95934 # DEPENDENCYPART_ARC
(31,8),-3.60974 # DEPENDENCYPART_ARC
(31,9),-4.01019 # DEPENDENCYPART_ARC
(31,10),-3.59488 # DEPENDENCYPART_ARC
(31,11),-3.36243 # DEPENDENCYPART_ARC
(31,12),-2.81406 # DEPENDENCYPART_ARC
(31,13),-3.33097 # DEPENDENCYPART_ARC
(31,14),-2.99846 # DEPENDENCYPART_ARC
(31,15),-2.64806 # DEPENDENCYPART_ARC
(31,16),-2.23664 # DEPENDENCYPART_ARC
(31,17),-2.96371 # DEPENDENCYPART_ARC
(31,18),-2.51413 # DEPENDENCYPART_ARC
(31,19),-2.9023 # DEPENDENCYPART_ARC
(31,20),-2.20248 # DEPENDENCYPART_ARC
(31,21),-2.44932 # DEPENDENCYPART_ARC
(31,22),-2.43345 # DEPENDENCYPART_ARC
(31,23),-1.88952 # DEPENDENCYPART_ARC
(31,24),-1.4976 # DEPENDENCYPART_ARC
(31,25),-2.31352 # DEPENDENCYPART_ARC
(31,26),-1.15412 # DEPENDENCYPART_ARC
(31,27),-1.74207 # DEPENDENCYPART_ARC
