# _root_ On hi ha varietat de flora , però , el Seneci_del_Cap és rebutjat tant pels animals de pastura com per les abelles .
#goldHeads=3,3,13,3,4,5,8,13,8,11,13,13,0,15,13,15,16,17,15,15,22,20,13,
#predictedHeads=3,3,0,3,4,5,8,13,8,11,13,13,4,13,13,15,16,17,15,15,22,20,13,
(23,4),-4.71895 # DEPENDENCYPART_ARC
(23,5),-3.97855 # DEPENDENCYPART_ARC
(23,6),-4.76298 # DEPENDENCYPART_ARC
(23,7),-3.84237 # DEPENDENCYPART_ARC
(23,8),-4.27639 # DEPENDENCYPART_ARC
(23,9),-3.76595 # DEPENDENCYPART_ARC
(23,10),-4.46429 # DEPENDENCYPART_ARC
(23,11),-4.55417 # DEPENDENCYPART_ARC
(23,12),-4.32975 # DEPENDENCYPART_ARC
(23,13),-4.07322 # DEPENDENCYPART_ARC
(23,14),-3.82487 # DEPENDENCYPART_ARC
(23,15),-3.0903 # DEPENDENCYPART_ARC
(23,16),-3.92521 # DEPENDENCYPART_ARC
(23,17),-2.97531 # DEPENDENCYPART_ARC
(23,18),-3.73849 # DEPENDENCYPART_ARC
(23,19),-2.73161 # DEPENDENCYPART_ARC
(23,20),-2.35329 # DEPENDENCYPART_ARC
(23,21),-2.04844 # DEPENDENCYPART_ARC
(23,22),-2.2695 # DEPENDENCYPART_ARC
