# _root_ Les coses han canviat molt des_d' aleshores : en_vigílies dels comicis del 1977 , el PSUC podia mirar de_tu_a_tu un partit socialista constituït recentment ; avui , Iniciativa lluita per la_seva supervivència i el PSC ocupa una posició hegemònica .
#goldHeads=2,4,4,0,4,4,6,18,18,9,10,11,12,9,16,18,18,4,18,21,18,21,21,23,18,29,26,29,18,29,32,30,29,35,36,29,38,36,38,4,
#predictedHeads=2,4,4,18,4,4,6,18,18,9,10,11,12,9,16,18,18,29,18,21,18,21,21,23,18,29,26,29,0,29,32,30,32,35,32,29,38,36,38,29,
(15,13),-1.31229 # DEPENDENCYPART_ARC
(15,16),-0.438612 # DEPENDENCYPART_ARC
(15,19),-2.36202 # DEPENDENCYPART_ARC
(15,20),-2.13507 # DEPENDENCYPART_ARC
(15,21),-4.0764 # DEPENDENCYPART_ARC
(15,22),-3.71507 # DEPENDENCYPART_ARC
(15,23),-4.2583 # DEPENDENCYPART_ARC
(15,24),-3.28158 # DEPENDENCYPART_ARC
(15,26),-3.50404 # DEPENDENCYPART_ARC
(15,28),-4.7096 # DEPENDENCYPART_ARC
(15,30),-4.82266 # DEPENDENCYPART_ARC
(15,31),-4.90183 # DEPENDENCYPART_ARC
(15,32),-5.2672 # DEPENDENCYPART_ARC
(15,33),-3.84537 # DEPENDENCYPART_ARC
(15,34),-6.14067 # DEPENDENCYPART_ARC
(15,35),-5.48854 # DEPENDENCYPART_ARC
(15,37),-7.29024 # DEPENDENCYPART_ARC
(15,38),-5.88509 # DEPENDENCYPART_ARC
(15,39),-5.07359 # DEPENDENCYPART_ARC
(16,1),-3.82765 # DEPENDENCYPART_ARC
(16,2),-2.77957 # DEPENDENCYPART_ARC
(16,3),-3.38907 # DEPENDENCYPART_ARC
(16,4),-2.99217 # DEPENDENCYPART_ARC
(16,5),-1.33838 # DEPENDENCYPART_ARC
(16,6),-1.18848 # DEPENDENCYPART_ARC
(16,7),-1.33834 # DEPENDENCYPART_ARC
(16,8),-0.621733 # DEPENDENCYPART_ARC
(16,9),-1.17346 # DEPENDENCYPART_ARC
(16,10),-0.861488 # DEPENDENCYPART_ARC
(16,11),-0.889006 # DEPENDENCYPART_ARC
(16,12),-0.583483 # DEPENDENCYPART_ARC
(16,13),-0.891963 # DEPENDENCYPART_ARC
(16,14),0.0300773 # DEPENDENCYPART_ARC
(16,15),3.61877 # DEPENDENCYPART_ARC
(16,17),0.407608 # DEPENDENCYPART_ARC
(16,18),-0.346584 # DEPENDENCYPART_ARC
(16,19),-0.71396 # DEPENDENCYPART_ARC
(16,20),-1.95922 # DEPENDENCYPART_ARC
(16,21),-1.13081 # DEPENDENCYPART_ARC
(16,22),-0.713479 # DEPENDENCYPART_ARC
(16,23),-0.901189 # DEPENDENCYPART_ARC
(16,24),-1.0533 # DEPENDENCYPART_ARC
(16,25),-0.870662 # DEPENDENCYPART_ARC
(16,26),-1.33547 # DEPENDENCYPART_ARC
(16,27),-0.71232 # DEPENDENCYPART_ARC
(16,28),-1.26174 # DEPENDENCYPART_ARC
(16,29),-3.37847 # DEPENDENCYPART_ARC
(16,30),-2.78826 # DEPENDENCYPART_ARC
(16,31),-3.13191 # DEPENDENCYPART_ARC
(16,32),-1.92465 # DEPENDENCYPART_ARC
(16,33),-0.448539 # DEPENDENCYPART_ARC
(16,34),-3.25582 # DEPENDENCYPART_ARC
(16,35),-1.4999 # DEPENDENCYPART_ARC
(16,36),-6.10187 # DEPENDENCYPART_ARC
(16,37),-3.53743 # DEPENDENCYPART_ARC
(16,38),-1.63897 # DEPENDENCYPART_ARC
(16,39),-2.02371 # DEPENDENCYPART_ARC
(16,40),0.097156 # DEPENDENCYPART_ARC
(17,1),-4.58586 # DEPENDENCYPART_ARC
(17,2),-2.55282 # DEPENDENCYPART_ARC
(17,3),-1.0763 # DEPENDENCYPART_ARC
(17,4),-2.16839 # DEPENDENCYPART_ARC
(17,5),-2.1806 # DEPENDENCYPART_ARC
(17,6),-0.908402 # DEPENDENCYPART_ARC
(17,7),-1.71506 # DEPENDENCYPART_ARC
(17,8),0.46931 # DEPENDENCYPART_ARC
(17,9),-1.3255 # DEPENDENCYPART_ARC
(17,10),-2.29329 # DEPENDENCYPART_ARC
(17,11),-1.71109 # DEPENDENCYPART_ARC
(17,12),-2.81907 # DEPENDENCYPART_ARC
(17,13),-1.3004 # DEPENDENCYPART_ARC
(17,14),-1.19352 # DEPENDENCYPART_ARC
(17,15),-1.3305 # DEPENDENCYPART_ARC
(17,16),0.312644 # DEPENDENCYPART_ARC
(17,18),1.18171 # DEPENDENCYPART_ARC
(17,19),-0.255249 # DEPENDENCYPART_ARC
(17,21),-0.155824 # DEPENDENCYPART_ARC
(17,22),-1.27296 # DEPENDENCYPART_ARC
(17,23),-1.14831 # DEPENDENCYPART_ARC
(17,24),-1.16602 # DEPENDENCYPART_ARC
(17,25),-0.156478 # DEPENDENCYPART_ARC
(17,26),-0.839873 # DEPENDENCYPART_ARC
(17,27),-1.25872 # DEPENDENCYPART_ARC
(17,28),-2.04203 # DEPENDENCYPART_ARC
(17,29),-1.05972 # DEPENDENCYPART_ARC
(17,30),-1.55166 # DEPENDENCYPART_ARC
(17,32),-1.7439 # DEPENDENCYPART_ARC
(17,33),-0.885569 # DEPENDENCYPART_ARC
(17,34),-4.89735 # DEPENDENCYPART_ARC
(17,35),-2.8045 # DEPENDENCYPART_ARC
(17,36),-1.31612 # DEPENDENCYPART_ARC
(17,38),-2.66251 # DEPENDENCYPART_ARC
(17,39),-2.58228 # DEPENDENCYPART_ARC
(17,40),3.18841 # DEPENDENCYPART_ARC
(18,1),-1.28124 # DEPENDENCYPART_ARC
(18,2),0.820709 # DEPENDENCYPART_ARC
(18,3),2.52282 # DEPENDENCYPART_ARC
(18,4),-0.446707 # DEPENDENCYPART_ARC
(18,5),-0.201568 # DEPENDENCYPART_ARC
(18,6),1.05712 # DEPENDENCYPART_ARC
(18,7),0.112786 # DEPENDENCYPART_ARC
(18,8),2.62203 # DEPENDENCYPART_ARC
(18,9),0.872878 # DEPENDENCYPART_ARC
(18,10),-0.448316 # DEPENDENCYPART_ARC
(18,11),0.830175 # DEPENDENCYPART_ARC
(18,12),-0.767257 # DEPENDENCYPART_ARC
(18,13),0.652224 # DEPENDENCYPART_ARC
(18,14),0.312875 # DEPENDENCYPART_ARC
(18,15),0.846665 # DEPENDENCYPART_ARC
(18,16),2.60376 # DEPENDENCYPART_ARC
(18,17),4.37371 # DEPENDENCYPART_ARC
(18,19),2.42427 # DEPENDENCYPART_ARC
(18,21),1.95425 # DEPENDENCYPART_ARC
(18,22),0.846643 # DEPENDENCYPART_ARC
(18,23),0.709543 # DEPENDENCYPART_ARC
(18,24),0.685681 # DEPENDENCYPART_ARC
(18,25),1.40695 # DEPENDENCYPART_ARC
(18,26),0.713615 # DEPENDENCYPART_ARC
(18,27),0.00445801 # DEPENDENCYPART_ARC
(18,28),-0.877983 # DEPENDENCYPART_ARC
(18,29),0.747901 # DEPENDENCYPART_ARC
(18,30),-0.157431 # DEPENDENCYPART_ARC
(18,32),0.280179 # DEPENDENCYPART_ARC
(18,33),0.0276243 # DEPENDENCYPART_ARC
(18,34),-3.34106 # DEPENDENCYPART_ARC
(18,35),-1.36882 # DEPENDENCYPART_ARC
(18,36),0.149453 # DEPENDENCYPART_ARC
(18,38),-1.11792 # DEPENDENCYPART_ARC
(18,39),-0.858617 # DEPENDENCYPART_ARC
(18,40),4.77563 # DEPENDENCYPART_ARC
(19,1),-3.49023 # DEPENDENCYPART_ARC
(19,2),-3.72505 # DEPENDENCYPART_ARC
(19,3),-3.1502 # DEPENDENCYPART_ARC
(19,4),-2.90587 # DEPENDENCYPART_ARC
(19,5),-1.96861 # DEPENDENCYPART_ARC
(19,6),-2.73854 # DEPENDENCYPART_ARC
(19,7),-2.39188 # DEPENDENCYPART_ARC
(19,8),-2.50734 # DEPENDENCYPART_ARC
(19,9),-2.0544 # DEPENDENCYPART_ARC
(19,10),-2.33623 # DEPENDENCYPART_ARC
(19,11),-2.84325 # DEPENDENCYPART_ARC
(19,12),-2.13269 # DEPENDENCYPART_ARC
(19,13),-2.19427 # DEPENDENCYPART_ARC
(19,14),-1.60033 # DEPENDENCYPART_ARC
(19,15),-1.92444 # DEPENDENCYPART_ARC
(19,16),-1.77898 # DEPENDENCYPART_ARC
(19,17),-1.17647 # DEPENDENCYPART_ARC
(19,18),-0.024768 # DEPENDENCYPART_ARC
(19,20),0.414626 # DEPENDENCYPART_ARC
(19,21),0.182169 # DEPENDENCYPART_ARC
(19,22),-0.838295 # DEPENDENCYPART_ARC
(19,23),-1.01088 # DEPENDENCYPART_ARC
(19,24),-1.03946 # DEPENDENCYPART_ARC
(19,26),-1.44583 # DEPENDENCYPART_ARC
(19,27),-0.499315 # DEPENDENCYPART_ARC
(19,28),-1.53142 # DEPENDENCYPART_ARC
(19,29),-0.845251 # DEPENDENCYPART_ARC
(19,30),-2.86313 # DEPENDENCYPART_ARC
(19,32),-2.00567 # DEPENDENCYPART_ARC
(19,33),-1.14925 # DEPENDENCYPART_ARC
(19,34),-2.39072 # DEPENDENCYPART_ARC
(19,35),-2.07278 # DEPENDENCYPART_ARC
(19,36),-2.05028 # DEPENDENCYPART_ARC
(19,37),-2.42499 # DEPENDENCYPART_ARC
(19,38),-2.09768 # DEPENDENCYPART_ARC
(19,39),-2.1186 # DEPENDENCYPART_ARC
(19,40),-0.123072 # DEPENDENCYPART_ARC
(20,2),-3.78937 # DEPENDENCYPART_ARC
(20,5),-1.57171 # DEPENDENCYPART_ARC
(20,6),-1.95503 # DEPENDENCYPART_ARC
(20,7),-1.68901 # DEPENDENCYPART_ARC
(20,9),-1.9928 # DEPENDENCYPART_ARC
(20,10),-1.76141 # DEPENDENCYPART_ARC
(20,11),-2.88405 # DEPENDENCYPART_ARC
(20,12),-1.71537 # DEPENDENCYPART_ARC
(20,19),1.16063 # DEPENDENCYPART_ARC
(20,21),1.16726 # DEPENDENCYPART_ARC
(20,22),-0.195792 # DEPENDENCYPART_ARC
(20,23),-1.88542 # DEPENDENCYPART_ARC
(20,24),-1.21073 # DEPENDENCYPART_ARC
(20,26),-1.87718 # DEPENDENCYPART_ARC
(20,30),-3.64834 # DEPENDENCYPART_ARC
(20,32),-3.19245 # DEPENDENCYPART_ARC
(20,33),-2.80657 # DEPENDENCYPART_ARC
(20,37),-4.23859 # DEPENDENCYPART_ARC
(20,38),-4.18669 # DEPENDENCYPART_ARC
(20,39),-4.14156 # DEPENDENCYPART_ARC
(21,1),-5.77461 # DEPENDENCYPART_ARC
(21,2),-3.11492 # DEPENDENCYPART_ARC
(21,3),-4.09455 # DEPENDENCYPART_ARC
(21,4),-4.05447 # DEPENDENCYPART_ARC
(21,5),-1.14175 # DEPENDENCYPART_ARC
(21,6),-1.32246 # DEPENDENCYPART_ARC
(21,7),-1.13105 # DEPENDENCYPART_ARC
(21,8),-0.582412 # DEPENDENCYPART_ARC
(21,9),-1.07981 # DEPENDENCYPART_ARC
(21,10),-1.30473 # DEPENDENCYPART_ARC
(21,11),-1.77521 # DEPENDENCYPART_ARC
(21,12),-1.11465 # DEPENDENCYPART_ARC
(21,13),-1.25627 # DEPENDENCYPART_ARC
(21,14),-0.197776 # DEPENDENCYPART_ARC
(21,15),-1.29609 # DEPENDENCYPART_ARC
(21,16),-1.30637 # DEPENDENCYPART_ARC
(21,17),-1.16624 # DEPENDENCYPART_ARC
(21,18),-1.01491 # DEPENDENCYPART_ARC
(21,19),1.24755 # DEPENDENCYPART_ARC
(21,20),4.18035 # DEPENDENCYPART_ARC
(21,22),4.09737 # DEPENDENCYPART_ARC
(21,23),3.4543 # DEPENDENCYPART_ARC
(21,24),0.75041 # DEPENDENCYPART_ARC
(21,25),1.08251 # DEPENDENCYPART_ARC
(21,26),0.228232 # DEPENDENCYPART_ARC
(21,27),1.29183 # DEPENDENCYPART_ARC
(21,28),1.38527 # DEPENDENCYPART_ARC
(21,29),0.937658 # DEPENDENCYPART_ARC
(21,30),-1.21194 # DEPENDENCYPART_ARC
(21,31),-0.121298 # DEPENDENCYPART_ARC
(21,32),-0.20412 # DEPENDENCYPART_ARC
(21,33),0.948105 # DEPENDENCYPART_ARC
(21,34),-1.60915 # DEPENDENCYPART_ARC
(21,35),0.201403 # DEPENDENCYPART_ARC
(21,36),-1.91216 # DEPENDENCYPART_ARC
(21,37),-2.37495 # DEPENDENCYPART_ARC
(21,38),0.112121 # DEPENDENCYPART_ARC
(21,39),-1.24097 # DEPENDENCYPART_ARC
(21,40),0.959869 # DEPENDENCYPART_ARC
(22,1),-3.20181 # DEPENDENCYPART_ARC
(22,2),-3.93244 # DEPENDENCYPART_ARC
(22,3),-3.79255 # DEPENDENCYPART_ARC
(22,4),-3.98209 # DEPENDENCYPART_ARC
(22,5),-2.32789 # DEPENDENCYPART_ARC
(22,6),-2.96986 # DEPENDENCYPART_ARC
(22,7),-2.72304 # DEPENDENCYPART_ARC
(22,8),-1.94554 # DEPENDENCYPART_ARC
(22,9),-2.76731 # DEPENDENCYPART_ARC
(22,10),-3.38445 # DEPENDENCYPART_ARC
(22,11),-3.80436 # DEPENDENCYPART_ARC
(22,12),-2.55514 # DEPENDENCYPART_ARC
(22,13),-1.89536 # DEPENDENCYPART_ARC
(22,14),-1.86136 # DEPENDENCYPART_ARC
(22,15),-2.06324 # DEPENDENCYPART_ARC
(22,16),-2.17949 # DEPENDENCYPART_ARC
(22,17),-1.89972 # DEPENDENCYPART_ARC
(22,18),-1.84786 # DEPENDENCYPART_ARC
(22,19),0.152613 # DEPENDENCYPART_ARC
(22,20),0.278628 # DEPENDENCYPART_ARC
(22,21),0.0791279 # DEPENDENCYPART_ARC
(22,23),1.07652 # DEPENDENCYPART_ARC
(22,24),0.249533 # DEPENDENCYPART_ARC
(22,25),0.113749 # DEPENDENCYPART_ARC
(22,26),-0.410575 # DEPENDENCYPART_ARC
(22,27),-0.20626 # DEPENDENCYPART_ARC
(22,28),-1.34707 # DEPENDENCYPART_ARC
(22,29),-1.37273 # DEPENDENCYPART_ARC
(22,30),-1.82282 # DEPENDENCYPART_ARC
(22,31),-3.40679 # DEPENDENCYPART_ARC
(22,32),-2.30682 # DEPENDENCYPART_ARC
(22,33),-0.785183 # DEPENDENCYPART_ARC
(22,34),-3.73341 # DEPENDENCYPART_ARC
(22,35),-2.39853 # DEPENDENCYPART_ARC
(22,36),-2.61031 # DEPENDENCYPART_ARC
(22,37),-3.51585 # DEPENDENCYPART_ARC
(22,38),-2.95328 # DEPENDENCYPART_ARC
(22,39),-1.80782 # DEPENDENCYPART_ARC
(22,40),-0.950784 # DEPENDENCYPART_ARC
(23,1),-3.54562 # DEPENDENCYPART_ARC
(23,2),-3.4271 # DEPENDENCYPART_ARC
(23,3),-3.30128 # DEPENDENCYPART_ARC
(23,4),-3.51477 # DEPENDENCYPART_ARC
(23,5),-1.76827 # DEPENDENCYPART_ARC
(23,6),-2.29417 # DEPENDENCYPART_ARC
(23,7),-2.10277 # DEPENDENCYPART_ARC
(23,8),-1.23216 # DEPENDENCYPART_ARC
(23,9),-2.10327 # DEPENDENCYPART_ARC
(23,10),-2.66185 # DEPENDENCYPART_ARC
(23,11),-2.98518 # DEPENDENCYPART_ARC
(23,12),-2.06753 # DEPENDENCYPART_ARC
(23,13),-1.29859 # DEPENDENCYPART_ARC
(23,14),-1.42629 # DEPENDENCYPART_ARC
(23,15),-1.42957 # DEPENDENCYPART_ARC
(23,16),-1.6887 # DEPENDENCYPART_ARC
(23,17),-1.02479 # DEPENDENCYPART_ARC
(23,18),-1.64252 # DEPENDENCYPART_ARC
(23,19),0.537261 # DEPENDENCYPART_ARC
(23,20),0.0715022 # DEPENDENCYPART_ARC
(23,21),0.193148 # DEPENDENCYPART_ARC
(23,22),-0.698538 # DEPENDENCYPART_ARC
(23,24),1.78158 # DEPENDENCYPART_ARC
(23,25),0.597056 # DEPENDENCYPART_ARC
(23,26),0.64241 # DEPENDENCYPART_ARC
(23,27),1.01601 # DEPENDENCYPART_ARC
(23,28),-0.115092 # DEPENDENCYPART_ARC
(23,29),-0.0527324 # DEPENDENCYPART_ARC
(23,30),0.374139 # DEPENDENCYPART_ARC
(23,31),-2.77911 # DEPENDENCYPART_ARC
(23,32),-0.898553 # DEPENDENCYPART_ARC
(23,33),0.513671 # DEPENDENCYPART_ARC
(23,34),-2.89126 # DEPENDENCYPART_ARC
(23,35),-1.20767 # DEPENDENCYPART_ARC
(23,36),-1.25973 # DEPENDENCYPART_ARC
(23,37),-3.20171 # DEPENDENCYPART_ARC
(23,38),-1.64921 # DEPENDENCYPART_ARC
(23,39),-2.42169 # DEPENDENCYPART_ARC
(23,40),-0.138081 # DEPENDENCYPART_ARC
(24,1),-2.65402 # DEPENDENCYPART_ARC
(24,2),-3.44883 # DEPENDENCYPART_ARC
(24,3),-2.53602 # DEPENDENCYPART_ARC
(24,4),-2.31988 # DEPENDENCYPART_ARC
(24,5),-1.21665 # DEPENDENCYPART_ARC
(24,6),-2.01902 # DEPENDENCYPART_ARC
(24,7),-1.54027 # DEPENDENCYPART_ARC
(24,8),-0.653734 # DEPENDENCYPART_ARC
(24,9),-1.27673 # DEPENDENCYPART_ARC
(24,10),-1.71755 # DEPENDENCYPART_ARC
(24,11),-2.47823 # DEPENDENCYPART_ARC
(24,12),-1.66322 # DEPENDENCYPART_ARC
(24,13),-1.59486 # DEPENDENCYPART_ARC
(24,14),-0.352167 # DEPENDENCYPART_ARC
(24,15),-1.90105 # DEPENDENCYPART_ARC
(24,16),-1.85342 # DEPENDENCYPART_ARC
(24,17),-1.55563 # DEPENDENCYPART_ARC
(24,18),-1.30735 # DEPENDENCYPART_ARC
(24,19),-0.275992 # DEPENDENCYPART_ARC
(24,20),-0.498011 # DEPENDENCYPART_ARC
(24,21),-0.703242 # DEPENDENCYPART_ARC
(24,22),0.183617 # DEPENDENCYPART_ARC
(24,23),0.923734 # DEPENDENCYPART_ARC
(24,26),-0.508711 # DEPENDENCYPART_ARC
(24,27),0.251285 # DEPENDENCYPART_ARC
(24,28),-1.37956 # DEPENDENCYPART_ARC
(24,29),-0.457065 # DEPENDENCYPART_ARC
(24,30),-2.30219 # DEPENDENCYPART_ARC
(24,32),-2.2373 # DEPENDENCYPART_ARC
(24,33),-0.548587 # DEPENDENCYPART_ARC
(24,34),-2.36603 # DEPENDENCYPART_ARC
(24,35),-2.18406 # DEPENDENCYPART_ARC
(24,36),-1.72582 # DEPENDENCYPART_ARC
(24,37),-2.42127 # DEPENDENCYPART_ARC
(24,38),-2.11438 # DEPENDENCYPART_ARC
(24,39),-1.9964 # DEPENDENCYPART_ARC
(24,40),0.239015 # DEPENDENCYPART_ARC
(26,1),-4.47832 # DEPENDENCYPART_ARC
(26,2),-5.42902 # DEPENDENCYPART_ARC
(26,3),-4.23455 # DEPENDENCYPART_ARC
(26,4),-4.17524 # DEPENDENCYPART_ARC
(26,5),-3.18417 # DEPENDENCYPART_ARC
(26,6),-3.80004 # DEPENDENCYPART_ARC
(26,7),-3.45327 # DEPENDENCYPART_ARC
(26,8),-2.52438 # DEPENDENCYPART_ARC
(26,9),-3.19193 # DEPENDENCYPART_ARC
(26,10),-3.59102 # DEPENDENCYPART_ARC
(26,11),-4.32002 # DEPENDENCYPART_ARC
(26,12),-3.53164 # DEPENDENCYPART_ARC
(26,13),-3.34777 # DEPENDENCYPART_ARC
(26,14),-2.4397 # DEPENDENCYPART_ARC
(26,15),-3.72646 # DEPENDENCYPART_ARC
(26,16),-3.84093 # DEPENDENCYPART_ARC
(26,17),-3.44495 # DEPENDENCYPART_ARC
(26,18),-3.17927 # DEPENDENCYPART_ARC
(26,19),-2.26145 # DEPENDENCYPART_ARC
(26,20),-2.81924 # DEPENDENCYPART_ARC
(26,21),-3.05637 # DEPENDENCYPART_ARC
(26,22),-1.97492 # DEPENDENCYPART_ARC
(26,23),-1.78434 # DEPENDENCYPART_ARC
(26,24),-1.35957 # DEPENDENCYPART_ARC
(26,27),3.28407 # DEPENDENCYPART_ARC
(26,28),0.0672383 # DEPENDENCYPART_ARC
(26,29),0.424636 # DEPENDENCYPART_ARC
(26,30),-1.85005 # DEPENDENCYPART_ARC
(26,32),-1.55072 # DEPENDENCYPART_ARC
(26,33),-0.832873 # DEPENDENCYPART_ARC
(26,34),-1.95181 # DEPENDENCYPART_ARC
(26,35),-1.61412 # DEPENDENCYPART_ARC
(26,36),-1.41721 # DEPENDENCYPART_ARC
(26,37),-1.99214 # DEPENDENCYPART_ARC
(26,38),-1.66509 # DEPENDENCYPART_ARC
(26,39),-1.53352 # DEPENDENCYPART_ARC
(26,40),0.0707383 # DEPENDENCYPART_ARC
(27,2),-4.51616 # DEPENDENCYPART_ARC
(27,11),-3.78135 # DEPENDENCYPART_ARC
(27,14),-2.21944 # DEPENDENCYPART_ARC
(27,21),-3.00451 # DEPENDENCYPART_ARC
(27,22),-2.35359 # DEPENDENCYPART_ARC
(27,23),-2.24217 # DEPENDENCYPART_ARC
(27,32),-2.4589 # DEPENDENCYPART_ARC
(27,38),-2.55522 # DEPENDENCYPART_ARC
(27,39),-2.57021 # DEPENDENCYPART_ARC
(28,1),-6.76986 # DEPENDENCYPART_ARC
(28,2),-3.63434 # DEPENDENCYPART_ARC
(28,3),-4.879 # DEPENDENCYPART_ARC
(28,4),-4.56281 # DEPENDENCYPART_ARC
(28,5),-1.88876 # DEPENDENCYPART_ARC
(28,6),-2.32359 # DEPENDENCYPART_ARC
(28,7),-1.94254 # DEPENDENCYPART_ARC
(28,8),-2.10561 # DEPENDENCYPART_ARC
(28,9),-1.82567 # DEPENDENCYPART_ARC
(28,10),-1.7252 # DEPENDENCYPART_ARC
(28,11),-1.69426 # DEPENDENCYPART_ARC
(28,12),-2.16234 # DEPENDENCYPART_ARC
(28,13),-2.47285 # DEPENDENCYPART_ARC
(28,14),-1.61707 # DEPENDENCYPART_ARC
(28,15),-4.37501 # DEPENDENCYPART_ARC
(28,16),-2.40433 # DEPENDENCYPART_ARC
(28,17),-3.35605 # DEPENDENCYPART_ARC
(28,18),-2.83322 # DEPENDENCYPART_ARC
(28,19),-0.773868 # DEPENDENCYPART_ARC
(28,20),-1.1852 # DEPENDENCYPART_ARC
(28,21),-1.52197 # DEPENDENCYPART_ARC
(28,22),-1.48905 # DEPENDENCYPART_ARC
(28,23),-1.23218 # DEPENDENCYPART_ARC
(28,24),-0.371549 # DEPENDENCYPART_ARC
(28,25),-0.407588 # DEPENDENCYPART_ARC
(28,26),0.186512 # DEPENDENCYPART_ARC
(28,27),0.632287 # DEPENDENCYPART_ARC
(28,29),0.610065 # DEPENDENCYPART_ARC
(28,30),-1.53663 # DEPENDENCYPART_ARC
(28,31),-1.9098 # DEPENDENCYPART_ARC
(28,32),-1.92664 # DEPENDENCYPART_ARC
(28,33),-0.657837 # DEPENDENCYPART_ARC
(28,34),-2.35636 # DEPENDENCYPART_ARC
(28,35),-1.2043 # DEPENDENCYPART_ARC
(28,36),-2.74885 # DEPENDENCYPART_ARC
(28,37),-2.62848 # DEPENDENCYPART_ARC
(28,38),-1.97803 # DEPENDENCYPART_ARC
(28,39),-1.48932 # DEPENDENCYPART_ARC
(28,40),0.198096 # DEPENDENCYPART_ARC
(29,1),-4.38201 # DEPENDENCYPART_ARC
(29,2),-0.952961 # DEPENDENCYPART_ARC
(29,3),1.85863 # DEPENDENCYPART_ARC
(29,4),-0.59985 # DEPENDENCYPART_ARC
(29,5),-1.00364 # DEPENDENCYPART_ARC
(29,6),0.37601 # DEPENDENCYPART_ARC
(29,7),-0.379637 # DEPENDENCYPART_ARC
(29,8),1.88762 # DEPENDENCYPART_ARC
(29,9),0.117996 # DEPENDENCYPART_ARC
(29,10),-1.47295 # DEPENDENCYPART_ARC
(29,11),-0.418607 # DEPENDENCYPART_ARC
(29,12),-2.40848 # DEPENDENCYPART_ARC
(29,13),0.0223898 # DEPENDENCYPART_ARC
(29,14),-2.42566 # DEPENDENCYPART_ARC
(29,15),-2.98778 # DEPENDENCYPART_ARC
(29,16),0.902978 # DEPENDENCYPART_ARC
(29,17),1.2024 # DEPENDENCYPART_ARC
(29,18),0.777352 # DEPENDENCYPART_ARC
(29,19),0.659059 # DEPENDENCYPART_ARC
(29,21),1.63509 # DEPENDENCYPART_ARC
(29,22),0.376923 # DEPENDENCYPART_ARC
(29,23),0.736322 # DEPENDENCYPART_ARC
(29,24),1.24821 # DEPENDENCYPART_ARC
(29,25),1.27391 # DEPENDENCYPART_ARC
(29,26),2.00867 # DEPENDENCYPART_ARC
(29,27),0.63486 # DEPENDENCYPART_ARC
(29,28),2.92623 # DEPENDENCYPART_ARC
(29,30),4.00113 # DEPENDENCYPART_ARC
(29,32),2.64447 # DEPENDENCYPART_ARC
(29,33),1.97383 # DEPENDENCYPART_ARC
(29,34),-2.02782 # DEPENDENCYPART_ARC
(29,35),0.583871 # DEPENDENCYPART_ARC
(29,36),3.42722 # DEPENDENCYPART_ARC
(29,38),0.433916 # DEPENDENCYPART_ARC
(29,39),0.36586 # DEPENDENCYPART_ARC
(29,40),5.11604 # DEPENDENCYPART_ARC
(30,1),-3.46671 # DEPENDENCYPART_ARC
(30,2),-4.64845 # DEPENDENCYPART_ARC
(30,3),-3.82098 # DEPENDENCYPART_ARC
(30,4),-4.80243 # DEPENDENCYPART_ARC
(30,5),-3.39809 # DEPENDENCYPART_ARC
(30,6),-4.15483 # DEPENDENCYPART_ARC
(30,7),-3.36157 # DEPENDENCYPART_ARC
(30,8),-1.87346 # DEPENDENCYPART_ARC
(30,9),-3.07185 # DEPENDENCYPART_ARC
(30,10),-4.14936 # DEPENDENCYPART_ARC
(30,11),-4.05519 # DEPENDENCYPART_ARC
(30,12),-3.61593 # DEPENDENCYPART_ARC
(30,13),-2.90833 # DEPENDENCYPART_ARC
(30,14),-2.52722 # DEPENDENCYPART_ARC
(30,15),-3.2614 # DEPENDENCYPART_ARC
(30,16),-3.79213 # DEPENDENCYPART_ARC
(30,17),-2.38887 # DEPENDENCYPART_ARC
(30,18),-2.80267 # DEPENDENCYPART_ARC
(30,19),-2.40276 # DEPENDENCYPART_ARC
(30,20),-2.61312 # DEPENDENCYPART_ARC
(30,21),-3.21189 # DEPENDENCYPART_ARC
(30,22),-2.32324 # DEPENDENCYPART_ARC
(30,23),-2.28632 # DEPENDENCYPART_ARC
(30,24),-2.13801 # DEPENDENCYPART_ARC
(30,25),-1.26575 # DEPENDENCYPART_ARC
(30,26),-1.56014 # DEPENDENCYPART_ARC
(30,27),-1.13693 # DEPENDENCYPART_ARC
(30,28),-1.70721 # DEPENDENCYPART_ARC
(30,29),0.403568 # DEPENDENCYPART_ARC
(30,32),4.4111 # DEPENDENCYPART_ARC
(30,33),0.55941 # DEPENDENCYPART_ARC
(30,34),-1.8051 # DEPENDENCYPART_ARC
(30,35),0.0673887 # DEPENDENCYPART_ARC
(30,36),-2.04667 # DEPENDENCYPART_ARC
(30,37),-2.39673 # DEPENDENCYPART_ARC
(30,38),-3.32498 # DEPENDENCYPART_ARC
(30,39),-1.66661 # DEPENDENCYPART_ARC
(30,40),0.434713 # DEPENDENCYPART_ARC
(31,5),-4.40041 # DEPENDENCYPART_ARC
(31,7),-4.32829 # DEPENDENCYPART_ARC
(31,9),-4.56157 # DEPENDENCYPART_ARC
(31,19),-3.85189 # DEPENDENCYPART_ARC
(31,20),-4.4013 # DEPENDENCYPART_ARC
(31,24),-3.46088 # DEPENDENCYPART_ARC
(31,26),-3.24219 # DEPENDENCYPART_ARC
(31,37),-2.41524 # DEPENDENCYPART_ARC
(32,1),-8.21155 # DEPENDENCYPART_ARC
(32,2),-3.40383 # DEPENDENCYPART_ARC
(32,3),-4.73661 # DEPENDENCYPART_ARC
