# _root_ L' Ajuntament_de_Girona està preparant la redacció d' un nou Pla_General que , segons ha explicat l' alcalde , podria estar llest a finals del 2001 .
#goldHeads=2,4,4,0,6,4,6,10,10,7,20,15,15,15,20,17,15,15,20,10,20,20,22,23,24,4,
#predictedHeads=2,4,4,0,6,4,6,10,10,7,10,15,15,15,10,17,15,15,20,15,20,20,22,23,24,4,
(20,7),-1.93598 # DEPENDENCYPART_ARC
(20,8),-1.78093 # DEPENDENCYPART_ARC
(20,9),-0.0269987 # DEPENDENCYPART_ARC
(20,10),0.0298378 # DEPENDENCYPART_ARC
(20,11),1.3911 # DEPENDENCYPART_ARC
(20,12),1.1314 # DEPENDENCYPART_ARC
(20,13),3.05427 # DEPENDENCYPART_ARC
(20,14),3.31674 # DEPENDENCYPART_ARC
(20,15),1.08033 # DEPENDENCYPART_ARC
(20,16),1.11734 # DEPENDENCYPART_ARC
(20,17),1.90814 # DEPENDENCYPART_ARC
(20,18),0.546075 # DEPENDENCYPART_ARC
(20,19),6.08098 # DEPENDENCYPART_ARC
(20,21),3.25447 # DEPENDENCYPART_ARC
(20,22),2.70011 # DEPENDENCYPART_ARC
(20,23),1.74066 # DEPENDENCYPART_ARC
(20,24),0.330773 # DEPENDENCYPART_ARC
(20,25),0.956327 # DEPENDENCYPART_ARC
(20,26),3.55534 # DEPENDENCYPART_ARC
(21,1),-2.38027 # DEPENDENCYPART_ARC
(21,2),-3.71146 # DEPENDENCYPART_ARC
(21,3),-2.85018 # DEPENDENCYPART_ARC
(21,4),-2.70817 # DEPENDENCYPART_ARC
(21,5),-2.15996 # DEPENDENCYPART_ARC
(21,6),-3.16782 # DEPENDENCYPART_ARC
(21,7),-1.78445 # DEPENDENCYPART_ARC
(21,8),-2.21413 # DEPENDENCYPART_ARC
(21,9),-2.86387 # DEPENDENCYPART_ARC
(21,10),-3.06409 # DEPENDENCYPART_ARC
(21,11),-1.45005 # DEPENDENCYPART_ARC
(21,12),-2.85392 # DEPENDENCYPART_ARC
(21,13),-1.4675 # DEPENDENCYPART_ARC
(21,14),-2.43318 # DEPENDENCYPART_ARC
(21,15),-2.76372 # DEPENDENCYPART_ARC
(21,16),-0.295847 # DEPENDENCYPART_ARC
(21,17),-1.65738 # DEPENDENCYPART_ARC
(21,18),-0.628066 # DEPENDENCYPART_ARC
(21,19),-0.804335 # DEPENDENCYPART_ARC
(21,20),-0.0856591 # DEPENDENCYPART_ARC
(21,22),2.40762 # DEPENDENCYPART_ARC
(21,23),0.194549 # DEPENDENCYPART_ARC
(21,24),-0.621613 # DEPENDENCYPART_ARC
(21,25),0.545444 # DEPENDENCYPART_ARC
(21,26),-0.205543 # DEPENDENCYPART_ARC
(22,1),-2.52507 # DEPENDENCYPART_ARC
(22,2),-3.10015 # DEPENDENCYPART_ARC
(22,3),-1.9815 # DEPENDENCYPART_ARC
(22,4),-1.7257 # DEPENDENCYPART_ARC
(22,5),-1.9015 # DEPENDENCYPART_ARC
(22,6),-2.55177 # DEPENDENCYPART_ARC
(22,7),-2.41697 # DEPENDENCYPART_ARC
(22,8),-1.77482 # DEPENDENCYPART_ARC
(22,9),-2.15522 # DEPENDENCYPART_ARC
(22,10),-2.76513 # DEPENDENCYPART_ARC
(22,11),-1.46277 # DEPENDENCYPART_ARC
(22,12),-2.35673 # DEPENDENCYPART_ARC
(22,13),-0.822946 # DEPENDENCYPART_ARC
(22,14),-1.30803 # DEPENDENCYPART_ARC
(22,15),-2.08359 # DEPENDENCYPART_ARC
(22,16),-1.51105 # DEPENDENCYPART_ARC
(22,17),-1.82849 # DEPENDENCYPART_ARC
(22,18),-0.813361 # DEPENDENCYPART_ARC
(22,19),-0.294175 # DEPENDENCYPART_ARC
(22,20),0.115866 # DEPENDENCYPART_ARC
(22,21),0.417641 # DEPENDENCYPART_ARC
(22,23),4.74068 # DEPENDENCYPART_ARC
(22,24),0.440462 # DEPENDENCYPART_ARC
(22,25),0.418841 # DEPENDENCYPART_ARC
(22,26),0.355128 # DEPENDENCYPART_ARC
(23,1),-7.62499 # DEPENDENCYPART_ARC
(23,2),-4.10739 # DEPENDENCYPART_ARC
(23,3),-2.79279 # DEPENDENCYPART_ARC
(23,4),-3.72428 # DEPENDENCYPART_ARC
(23,5),-5.28267 # DEPENDENCYPART_ARC
(23,6),-4.13866 # DEPENDENCYPART_ARC
(23,7),-2.20068 # DEPENDENCYPART_ARC
(23,8),-3.62867 # DEPENDENCYPART_ARC
(23,9),-3.28435 # DEPENDENCYPART_ARC
(23,10),-3.2504 # DEPENDENCYPART_ARC
(23,11),-1.7817 # DEPENDENCYPART_ARC
(23,12),-2.46666 # DEPENDENCYPART_ARC
(23,13),-2.22694 # DEPENDENCYPART_ARC
(23,14),-1.943 # DEPENDENCYPART_ARC
(23,15),-3.47854 # DEPENDENCYPART_ARC
(23,16),-2.23057 # DEPENDENCYPART_ARC
(23,17),-2.96659 # DEPENDENCYPART_ARC
(23,18),-1.42293 # DEPENDENCYPART_ARC
(23,19),-1.76202 # DEPENDENCYPART_ARC
(23,20),-1.78699 # DEPENDENCYPART_ARC
(23,21),-0.8593 # DEPENDENCYPART_ARC
(23,22),0.785981 # DEPENDENCYPART_ARC
(23,24),2.99977 # DEPENDENCYPART_ARC
(23,25),1.13322 # DEPENDENCYPART_ARC
(23,26),0.654631 # DEPENDENCYPART_ARC
(24,1),-2.3335 # DEPENDENCYPART_ARC
(24,2),-3.43729 # DEPENDENCYPART_ARC
(24,3),-3.58859 # DEPENDENCYPART_ARC
(24,4),-2.25367 # DEPENDENCYPART_ARC
(24,5),-1.59147 # DEPENDENCYPART_ARC
(24,6),-2.72582 # DEPENDENCYPART_ARC
(24,7),-1.97646 # DEPENDENCYPART_ARC
(24,8),-1.69789 # DEPENDENCYPART_ARC
(24,9),-1.95278 # DEPENDENCYPART_ARC
(24,10),-2.86898 # DEPENDENCYPART_ARC
(24,11),-1.79676 # DEPENDENCYPART_ARC
(24,12),-2.15829 # DEPENDENCYPART_ARC
(24,13),-0.810934 # DEPENDENCYPART_ARC
(24,14),-2.63142 # DEPENDENCYPART_ARC
(24,15),-3.45735 # DEPENDENCYPART_ARC
(24,16),-1.46678 # DEPENDENCYPART_ARC
(24,17),-2.49787 # DEPENDENCYPART_ARC
(24,18),-0.946847 # DEPENDENCYPART_ARC
(24,19),-2.06591 # DEPENDENCYPART_ARC
(24,20),-1.05555 # DEPENDENCYPART_ARC
(24,21),-0.678544 # DEPENDENCYPART_ARC
(24,22),0.379434 # DEPENDENCYPART_ARC
(24,23),-0.555319 # DEPENDENCYPART_ARC
(24,25),3.69941 # DEPENDENCYPART_ARC
(24,26),-0.32802 # DEPENDENCYPART_ARC
(25,1),-2.86446 # DEPENDENCYPART_ARC
(25,2),-3.91239 # DEPENDENCYPART_ARC
(25,3),-3.21543 # DEPENDENCYPART_ARC
(25,4),-3.38694 # DEPENDENCYPART_ARC
(25,5),-2.59147 # DEPENDENCYPART_ARC
(25,6),-3.56251 # DEPENDENCYPART_ARC
(25,7),-3.08499 # DEPENDENCYPART_ARC
(25,8),-2.2478 # DEPENDENCYPART_ARC
(25,9),-2.55206 # DEPENDENCYPART_ARC
(25,10),-3.17621 # DEPENDENCYPART_ARC
(25,11),-1.96972 # DEPENDENCYPART_ARC
(25,12),-2.46533 # DEPENDENCYPART_ARC
(25,13),-1.64941 # DEPENDENCYPART_ARC
(25,14),-2.78367 # DEPENDENCYPART_ARC
(25,15),-2.59416 # DEPENDENCYPART_ARC
(25,16),-1.4753 # DEPENDENCYPART_ARC
(25,17),-2.64609 # DEPENDENCYPART_ARC
(25,18),-1.53577 # DEPENDENCYPART_ARC
(25,19),-2.1106 # DEPENDENCYPART_ARC
(25,20),-1.76342 # DEPENDENCYPART_ARC
(25,21),-0.762273 # DEPENDENCYPART_ARC
(25,22),-0.711414 # DEPENDENCYPART_ARC
(25,23),-0.546548 # DEPENDENCYPART_ARC
(25,24),0.930284 # DEPENDENCYPART_ARC
(25,26),-0.157398 # DEPENDENCYPART_ARC
(26,1),-4.89656 # DEPENDENCYPART_ARC
(26,2),-4.87772 # DEPENDENCYPART_ARC
(26,3),-4.66398 # DEPENDENCYPART_ARC
(26,4),-4.72837 # DEPENDENCYPART_ARC
(26,5),-4.71045 # DEPENDENCYPART_ARC
(26,6),-4.57629 # DEPENDENCYPART_ARC
(26,7),-3.81008 # DEPENDENCYPART_ARC
(26,8),-4.59802 # DEPENDENCYPART_ARC
(26,9),-3.97846 # DEPENDENCYPART_ARC
(26,10),-4.4354 # DEPENDENCYPART_ARC
(26,11),-3.96173 # DEPENDENCYPART_ARC
(26,12),-3.6317 # DEPENDENCYPART_ARC
(26,13),-3.56051 # DEPENDENCYPART_ARC
(26,14),-4.36201 # DEPENDENCYPART_ARC
(26,15),-4.25067 # DEPENDENCYPART_ARC
(26,16),-4.0533 # DEPENDENCYPART_ARC
(26,17),-4.16723 # DEPENDENCYPART_ARC
(26,18),-3.16658 # DEPENDENCYPART_ARC
(26,19),-3.90399 # DEPENDENCYPART_ARC
(26,20),-3.65583 # DEPENDENCYPART_ARC
(26,21),-3.09333 # DEPENDENCYPART_ARC
(26,22),-2.43678 # DEPENDENCYPART_ARC
(26,23),-3.03509 # DEPENDENCYPART_ARC
(26,24),-1.99578 # DEPENDENCYPART_ARC
(26,25),-1.4737 # DEPENDENCYPART_ARC
