# _root_ A_més_a_més_de presó , reclama la clausura de l' empresa durant dos anys , la inhabilitació durant cinc anys per exercir com_a industrial i una multa .
#goldHeads=4,1,1,0,6,4,6,9,7,6,12,10,6,15,6,15,18,16,15,19,20,21,6,25,6,4,
#predictedHeads=4,1,1,0,6,4,6,9,7,4,12,10,15,15,6,15,18,16,4,19,20,21,4,25,20,4,
(24,10),-2.68875 # DEPENDENCYPART_ARC
(24,11),-4.36288 # DEPENDENCYPART_ARC
(24,12),-3.3497 # DEPENDENCYPART_ARC
(24,15),-2.4059 # DEPENDENCYPART_ARC
(24,16),-1.88064 # DEPENDENCYPART_ARC
(24,17),-4.21651 # DEPENDENCYPART_ARC
(24,18),-2.64622 # DEPENDENCYPART_ARC
(24,19),-1.49888 # DEPENDENCYPART_ARC
(24,21),-0.742002 # DEPENDENCYPART_ARC
(24,22),-1.38601 # DEPENDENCYPART_ARC
(24,23),0.313369 # DEPENDENCYPART_ARC
(24,25),0.327826 # DEPENDENCYPART_ARC
(25,1),-3.58698 # DEPENDENCYPART_ARC
(25,2),-2.00118 # DEPENDENCYPART_ARC
(25,3),-1.95678 # DEPENDENCYPART_ARC
(25,4),-0.900668 # DEPENDENCYPART_ARC
(25,5),-4.12942 # DEPENDENCYPART_ARC
(25,6),-2.3411 # DEPENDENCYPART_ARC
(25,7),-2.06334 # DEPENDENCYPART_ARC
(25,8),-4.83208 # DEPENDENCYPART_ARC
(25,9),-2.08719 # DEPENDENCYPART_ARC
(25,10),-2.21858 # DEPENDENCYPART_ARC
(25,11),-4.70192 # DEPENDENCYPART_ARC
(25,12),-2.53014 # DEPENDENCYPART_ARC
(25,13),-1.19577 # DEPENDENCYPART_ARC
(25,14),-1.61878 # DEPENDENCYPART_ARC
(25,15),-1.46721 # DEPENDENCYPART_ARC
(25,16),-1.37735 # DEPENDENCYPART_ARC
(25,17),-2.14896 # DEPENDENCYPART_ARC
(25,18),-1.6612 # DEPENDENCYPART_ARC
(25,19),-0.960398 # DEPENDENCYPART_ARC
(25,20),0.354344 # DEPENDENCYPART_ARC
(25,21),-0.0197863 # DEPENDENCYPART_ARC
(25,22),0.314709 # DEPENDENCYPART_ARC
(25,23),0.88271 # DEPENDENCYPART_ARC
(25,24),4.61975 # DEPENDENCYPART_ARC
(25,26),0.613085 # DEPENDENCYPART_ARC
(26,23),-1.37065 # DEPENDENCYPART_ARC
