# _root_ I si a això hi sumem l' esgotament a què està arribant CiU , al costat dels conflictes interns que viu la formació , jo crec que de tot això n' ha de treure un benefici electoral ERC .
#goldHeads=26,6,6,3,6,26,8,6,12,9,12,8,12,15,6,15,16,17,18,21,18,23,21,6,26,0,34,34,30,28,34,34,34,26,36,34,36,34,26,
#predictedHeads=6,6,6,3,6,12,8,6,12,9,12,0,12,15,12,15,16,17,18,21,18,23,21,34,26,23,34,34,30,28,34,34,34,26,36,34,36,34,12,
(16,27),-3.48053 # DEPENDENCYPART_ARC
(16,28),-2.81887 # DEPENDENCYPART_ARC
(16,29),-2.6498 # DEPENDENCYPART_ARC
(16,30),-2.90406 # DEPENDENCYPART_ARC
(16,31),-4.34779 # DEPENDENCYPART_ARC
(16,32),0.555203 # DEPENDENCYPART_ARC
(16,33),-3.54949 # DEPENDENCYPART_ARC
(16,34),0.533045 # DEPENDENCYPART_ARC
(16,35),-2.95756 # DEPENDENCYPART_ARC
(16,36),-2.90284 # DEPENDENCYPART_ARC
(16,37),-1.3753 # DEPENDENCYPART_ARC
(16,38),-3.84567 # DEPENDENCYPART_ARC
(16,39),0.766876 # DEPENDENCYPART_ARC
(17,1),-2.49914 # DEPENDENCYPART_ARC
(17,2),-2.04178 # DEPENDENCYPART_ARC
(17,3),-2.96793 # DEPENDENCYPART_ARC
(17,4),-3.84291 # DEPENDENCYPART_ARC
(17,5),-3.39216 # DEPENDENCYPART_ARC
(17,6),-2.59864 # DEPENDENCYPART_ARC
(17,7),-2.89391 # DEPENDENCYPART_ARC
(17,8),-3.42889 # DEPENDENCYPART_ARC
(17,9),-2.08371 # DEPENDENCYPART_ARC
(17,10),-2.94931 # DEPENDENCYPART_ARC
(17,11),-2.01278 # DEPENDENCYPART_ARC
(17,12),-1.26502 # DEPENDENCYPART_ARC
(17,13),-2.24929 # DEPENDENCYPART_ARC
(17,14),-0.0625281 # DEPENDENCYPART_ARC
(17,15),-1.34667 # DEPENDENCYPART_ARC
(17,16),-0.434448 # DEPENDENCYPART_ARC
(17,18),4.72155 # DEPENDENCYPART_ARC
(17,19),0.112388 # DEPENDENCYPART_ARC
(17,20),-3.32182 # DEPENDENCYPART_ARC
(17,21),-0.367679 # DEPENDENCYPART_ARC
(17,22),-4.04671 # DEPENDENCYPART_ARC
(17,23),-3.65374 # DEPENDENCYPART_ARC
(17,24),-1.08052 # DEPENDENCYPART_ARC
(17,25),-4.04812 # DEPENDENCYPART_ARC
(17,26),-2.23679 # DEPENDENCYPART_ARC
(17,27),-0.157392 # DEPENDENCYPART_ARC
(17,28),-0.447536 # DEPENDENCYPART_ARC
(17,29),-4.20062 # DEPENDENCYPART_ARC
(17,30),-3.64637 # DEPENDENCYPART_ARC
(17,31),-8.55739 # DEPENDENCYPART_ARC
(17,32),-2.59506 # DEPENDENCYPART_ARC
(17,33),-1.95737 # DEPENDENCYPART_ARC
(17,34),-1.68243 # DEPENDENCYPART_ARC
(17,35),-4.27578 # DEPENDENCYPART_ARC
(17,36),-9.32963 # DEPENDENCYPART_ARC
(17,37),-5.42823 # DEPENDENCYPART_ARC
(17,38),-10.688 # DEPENDENCYPART_ARC
(17,39),-0.665519 # DEPENDENCYPART_ARC
(18,1),-2.84174 # DEPENDENCYPART_ARC
(18,2),-2.45817 # DEPENDENCYPART_ARC
(18,3),-1.59364 # DEPENDENCYPART_ARC
(18,4),-3.94121 # DEPENDENCYPART_ARC
(18,5),-2.86969 # DEPENDENCYPART_ARC
(18,6),-3.52685 # DEPENDENCYPART_ARC
(18,7),-4.5199 # DEPENDENCYPART_ARC
(18,8),-3.18316 # DEPENDENCYPART_ARC
(18,9),-1.19379 # DEPENDENCYPART_ARC
(18,10),-2.29639 # DEPENDENCYPART_ARC
(18,11),-1.72366 # DEPENDENCYPART_ARC
(18,12),-2.51772 # DEPENDENCYPART_ARC
(18,13),-2.10947 # DEPENDENCYPART_ARC
(18,14),-1.27692 # DEPENDENCYPART_ARC
(18,15),-0.811772 # DEPENDENCYPART_ARC
(18,16),-0.673217 # DEPENDENCYPART_ARC
(18,17),0.701238 # DEPENDENCYPART_ARC
(18,19),4.54945 # DEPENDENCYPART_ARC
(18,20),-0.461596 # DEPENDENCYPART_ARC
(18,21),2.33008 # DEPENDENCYPART_ARC
(18,22),-1.99252 # DEPENDENCYPART_ARC
(18,23),0.0727535 # DEPENDENCYPART_ARC
(18,24),-0.0202718 # DEPENDENCYPART_ARC
(18,25),-0.62606 # DEPENDENCYPART_ARC
(18,26),0.84041 # DEPENDENCYPART_ARC
(18,27),-2.61743 # DEPENDENCYPART_ARC
(18,28),-1.75233 # DEPENDENCYPART_ARC
(18,29),-2.26658 # DEPENDENCYPART_ARC
(18,30),-2.43808 # DEPENDENCYPART_ARC
(18,31),-3.19822 # DEPENDENCYPART_ARC
(18,32),0.12273 # DEPENDENCYPART_ARC
(18,33),-2.46315 # DEPENDENCYPART_ARC
(18,34),0.295789 # DEPENDENCYPART_ARC
(18,35),-2.51095 # DEPENDENCYPART_ARC
(18,36),-1.84037 # DEPENDENCYPART_ARC
(18,37),-1.42273 # DEPENDENCYPART_ARC
(18,38),-1.6033 # DEPENDENCYPART_ARC
(18,39),1.87245 # DEPENDENCYPART_ARC
(19,1),-2.44322 # DEPENDENCYPART_ARC
(19,2),-2.35405 # DEPENDENCYPART_ARC
(19,3),-2.35179 # DEPENDENCYPART_ARC
(19,4),-2.97825 # DEPENDENCYPART_ARC
(19,5),-2.56653 # DEPENDENCYPART_ARC
(19,6),-2.89597 # DEPENDENCYPART_ARC
(19,7),-2.81565 # DEPENDENCYPART_ARC
(19,8),-2.77701 # DEPENDENCYPART_ARC
(19,9),-1.56295 # DEPENDENCYPART_ARC
(19,10),-2.36588 # DEPENDENCYPART_ARC
(19,11),-2.147 # DEPENDENCYPART_ARC
(19,12),-2.17716 # DEPENDENCYPART_ARC
(19,13),-2.19729 # DEPENDENCYPART_ARC
(19,14),-0.265207 # DEPENDENCYPART_ARC
(19,15),-0.453296 # DEPENDENCYPART_ARC
(19,16),-1.03042 # DEPENDENCYPART_ARC
(19,17),-0.131544 # DEPENDENCYPART_ARC
(19,18),0.370687 # DEPENDENCYPART_ARC
(19,20),-0.598347 # DEPENDENCYPART_ARC
(19,21),0.527054 # DEPENDENCYPART_ARC
(19,22),-2.40209 # DEPENDENCYPART_ARC
(19,23),-0.384714 # DEPENDENCYPART_ARC
(19,24),-0.50251 # DEPENDENCYPART_ARC
(19,25),-1.33617 # DEPENDENCYPART_ARC
(19,26),-0.66448 # DEPENDENCYPART_ARC
(19,27),-0.936004 # DEPENDENCYPART_ARC
(19,28),-1.64918 # DEPENDENCYPART_ARC
(19,29),-2.90511 # DEPENDENCYPART_ARC
(19,30),-1.78707 # DEPENDENCYPART_ARC
(19,31),-2.73063 # DEPENDENCYPART_ARC
(19,32),-1.45649 # DEPENDENCYPART_ARC
(19,33),-3.42712 # DEPENDENCYPART_ARC
(19,34),-1.21591 # DEPENDENCYPART_ARC
(19,35),-3.27041 # DEPENDENCYPART_ARC
(19,36),-2.17446 # DEPENDENCYPART_ARC
(19,37),-3.39397 # DEPENDENCYPART_ARC
(19,38),-1.83884 # DEPENDENCYPART_ARC
(19,39),-0.0946783 # DEPENDENCYPART_ARC
(20,2),-3.02875 # DEPENDENCYPART_ARC
(20,3),-2.93162 # DEPENDENCYPART_ARC
(20,6),-3.03657 # DEPENDENCYPART_ARC
(20,7),-5.12288 # DEPENDENCYPART_ARC
(20,8),-4.23465 # DEPENDENCYPART_ARC
(20,9),-2.57552 # DEPENDENCYPART_ARC
(20,11),-2.60252 # DEPENDENCYPART_ARC
(20,12),-2.41928 # DEPENDENCYPART_ARC
(20,15),-2.99213 # DEPENDENCYPART_ARC
(20,16),-3.27009 # DEPENDENCYPART_ARC
(20,17),-1.53314 # DEPENDENCYPART_ARC
(20,18),-2.28179 # DEPENDENCYPART_ARC
(20,19),-0.875581 # DEPENDENCYPART_ARC
(20,21),0.379825 # DEPENDENCYPART_ARC
(20,22),-1.82293 # DEPENDENCYPART_ARC
(20,23),-1.86083 # DEPENDENCYPART_ARC
(20,26),-1.61601 # DEPENDENCYPART_ARC
(20,27),-1.52005 # DEPENDENCYPART_ARC
(20,28),-2.28382 # DEPENDENCYPART_ARC
(20,29),-3.15241 # DEPENDENCYPART_ARC
(20,33),-2.85097 # DEPENDENCYPART_ARC
(20,34),-2.48819 # DEPENDENCYPART_ARC
(20,35),-3.98543 # DEPENDENCYPART_ARC
(20,36),-4.19771 # DEPENDENCYPART_ARC
(20,37),-2.65372 # DEPENDENCYPART_ARC
(21,1),-1.14882 # DEPENDENCYPART_ARC
(21,2),-0.340622 # DEPENDENCYPART_ARC
(21,3),0.423338 # DEPENDENCYPART_ARC
(21,4),-2.08868 # DEPENDENCYPART_ARC
(21,5),-1.86717 # DEPENDENCYPART_ARC
(21,6),-0.675518 # DEPENDENCYPART_ARC
(21,7),-3.38984 # DEPENDENCYPART_ARC
(21,8),-0.399782 # DEPENDENCYPART_ARC
(21,9),0.228686 # DEPENDENCYPART_ARC
(21,10),-1.32608 # DEPENDENCYPART_ARC
(21,11),-0.339555 # DEPENDENCYPART_ARC
(21,12),-1.46797 # DEPENDENCYPART_ARC
(21,13),-0.715264 # DEPENDENCYPART_ARC
(21,14),0.186241 # DEPENDENCYPART_ARC
(21,15),0.129341 # DEPENDENCYPART_ARC
(21,16),-0.201286 # DEPENDENCYPART_ARC
(21,17),-1.02689 # DEPENDENCYPART_ARC
(21,18),-0.427581 # DEPENDENCYPART_ARC
(21,19),-0.315726 # DEPENDENCYPART_ARC
(21,20),4.50714 # DEPENDENCYPART_ARC
(21,22),-1.28961 # DEPENDENCYPART_ARC
(21,23),3.58796 # DEPENDENCYPART_ARC
(21,24),1.12471 # DEPENDENCYPART_ARC
(21,25),-1.24384 # DEPENDENCYPART_ARC
(21,26),2.02659 # DEPENDENCYPART_ARC
(21,27),-0.949501 # DEPENDENCYPART_ARC
(21,28),-1.76231 # DEPENDENCYPART_ARC
(21,30),-0.15836 # DEPENDENCYPART_ARC
(21,31),-2.3072 # DEPENDENCYPART_ARC
(21,32),0.796964 # DEPENDENCYPART_ARC
(21,33),-1.14727 # DEPENDENCYPART_ARC
(21,34),-0.272588 # DEPENDENCYPART_ARC
(21,36),-1.89607 # DEPENDENCYPART_ARC
(21,37),-1.1385 # DEPENDENCYPART_ARC
(21,38),-1.42767 # DEPENDENCYPART_ARC
(21,39),3.28943 # DEPENDENCYPART_ARC
(22,1),-3.72719 # DEPENDENCYPART_ARC
(22,3),-4.40376 # DEPENDENCYPART_ARC
(22,7),-5.60021 # DEPENDENCYPART_ARC
(22,8),-3.97097 # DEPENDENCYPART_ARC
(22,9),-4.11768 # DEPENDENCYPART_ARC
(22,10),-4.02057 # DEPENDENCYPART_ARC
(22,13),-3.30987 # DEPENDENCYPART_ARC
(22,15),-2.72788 # DEPENDENCYPART_ARC
(22,16),-3.12503 # DEPENDENCYPART_ARC
(22,17),-2.51107 # DEPENDENCYPART_ARC
(22,18),-3.22697 # DEPENDENCYPART_ARC
(22,19),-2.64078 # DEPENDENCYPART_ARC
(22,20),-2.18438 # DEPENDENCYPART_ARC
(22,23),0.872805 # DEPENDENCYPART_ARC
(22,28),-2.58249 # DEPENDENCYPART_ARC
(22,29),-3.30376 # DEPENDENCYPART_ARC
(22,33),-3.65655 # DEPENDENCYPART_ARC
(22,35),-4.81061 # DEPENDENCYPART_ARC
(22,36),-4.18855 # DEPENDENCYPART_ARC
(22,37),-4.04656 # DEPENDENCYPART_ARC
(22,38),-4.78756 # DEPENDENCYPART_ARC
(23,1),-2.01886 # DEPENDENCYPART_ARC
(23,2),-1.5889 # DEPENDENCYPART_ARC
(23,3),-1.09146 # DEPENDENCYPART_ARC
(23,4),-2.96175 # DEPENDENCYPART_ARC
(23,5),-0.859023 # DEPENDENCYPART_ARC
(23,6),-3.38677 # DEPENDENCYPART_ARC
(23,7),-5.00074 # DEPENDENCYPART_ARC
(23,8),-2.50539 # DEPENDENCYPART_ARC
(23,9),-1.24722 # DEPENDENCYPART_ARC
(23,10),-1.29558 # DEPENDENCYPART_ARC
(23,11),-2.50201 # DEPENDENCYPART_ARC
(23,12),-1.74801 # DEPENDENCYPART_ARC
(23,13),-1.64356 # DEPENDENCYPART_ARC
(23,14),-1.11013 # DEPENDENCYPART_ARC
(23,15),-1.15492 # DEPENDENCYPART_ARC
(23,16),-0.824882 # DEPENDENCYPART_ARC
(23,17),-0.0582882 # DEPENDENCYPART_ARC
(23,18),-0.447838 # DEPENDENCYPART_ARC
(23,19),-1.3315 # DEPENDENCYPART_ARC
(23,20),1.02663 # DEPENDENCYPART_ARC
(23,21),0.380215 # DEPENDENCYPART_ARC
(23,22),4.72727 # DEPENDENCYPART_ARC
(23,24),0.172089 # DEPENDENCYPART_ARC
(23,25),0.650431 # DEPENDENCYPART_ARC
(23,26),3.1047 # DEPENDENCYPART_ARC
(23,27),-2.13981 # DEPENDENCYPART_ARC
(23,28),-1.10314 # DEPENDENCYPART_ARC
(23,29),-2.17876 # DEPENDENCYPART_ARC
(23,30),-1.7207 # DEPENDENCYPART_ARC
(23,31),-3.62878 # DEPENDENCYPART_ARC
(23,32),1.62379 # DEPENDENCYPART_ARC
(23,33),-1.35213 # DEPENDENCYPART_ARC
(23,34),1.32823 # DEPENDENCYPART_ARC
(23,35),-2.85745 # DEPENDENCYPART_ARC
(23,36),-1.80922 # DEPENDENCYPART_ARC
(23,37),-0.360155 # DEPENDENCYPART_ARC
(23,38),-1.94097 # DEPENDENCYPART_ARC
(23,39),2.53638 # DEPENDENCYPART_ARC
(24,8),-4.28017 # DEPENDENCYPART_ARC
(24,14),-2.03305 # DEPENDENCYPART_ARC
(24,16),-3.50018 # DEPENDENCYPART_ARC
(24,18),-3.2838 # DEPENDENCYPART_ARC
(24,19),-2.61493 # DEPENDENCYPART_ARC
(24,23),-1.7365 # DEPENDENCYPART_ARC
(24,36),-2.72214 # DEPENDENCYPART_ARC
(24,37),-2.72146 # DEPENDENCYPART_ARC
(25,1),-2.41668 # DEPENDENCYPART_ARC
(25,2),-2.40857 # DEPENDENCYPART_ARC
(25,3),-2.9367 # DEPENDENCYPART_ARC
(25,6),-3.17612 # DEPENDENCYPART_ARC
(25,8),-3.99341 # DEPENDENCYPART_ARC
(25,9),-2.68664 # DEPENDENCYPART_ARC
(25,11),-2.59429 # DEPENDENCYPART_ARC
(25,12),-1.78431 # DEPENDENCYPART_ARC
(25,13),-2.8353 # DEPENDENCYPART_ARC
(25,14),-1.88985 # DEPENDENCYPART_ARC
(25,15),-2.76448 # DEPENDENCYPART_ARC
(25,16),-3.41938 # DEPENDENCYPART_ARC
(25,17),-0.92088 # DEPENDENCYPART_ARC
(25,18),-3.19271 # DEPENDENCYPART_ARC
(25,19),-2.71244 # DEPENDENCYPART_ARC
(25,21),-1.42135 # DEPENDENCYPART_ARC
(25,23),-2.16437 # DEPENDENCYPART_ARC
(25,24),0.653642 # DEPENDENCYPART_ARC
(25,26),1.21568 # DEPENDENCYPART_ARC
(25,27),-0.292107 # DEPENDENCYPART_ARC
(25,28),-0.284181 # DEPENDENCYPART_ARC
(25,29),-0.357072 # DEPENDENCYPART_ARC
(25,33),-1.33724 # DEPENDENCYPART_ARC
(25,34),-0.898234 # DEPENDENCYPART_ARC
(25,35),-1.4269 # DEPENDENCYPART_ARC
(25,36),-1.92145 # DEPENDENCYPART_ARC
(25,37),-1.66829 # DEPENDENCYPART_ARC
(25,38),-1.52939 # DEPENDENCYPART_ARC
(25,39),-0.248087 # DEPENDENCYPART_ARC
(26,1),0.0758286 # DEPENDENCYPART_ARC
(26,2),0.0430028 # DEPENDENCYPART_ARC
(26,3),0.957068 # DEPENDENCYPART_ARC
(26,4),-1.62875 # DEPENDENCYPART_ARC
(26,5),-1.69849 # DEPENDENCYPART_ARC
(26,6),0.719547 # DEPENDENCYPART_ARC
(26,7),-2.69083 # DEPENDENCYPART_ARC
(26,8),-0.424921 # DEPENDENCYPART_ARC
(26,9),0.642266 # DEPENDENCYPART_ARC
(26,10),-1.65155 # DEPENDENCYPART_ARC
(26,11),-0.255492 # DEPENDENCYPART_ARC
(26,12),-0.909498 # DEPENDENCYPART_ARC
(26,13),-0.12517 # DEPENDENCYPART_ARC
(26,14),-0.247017 # DEPENDENCYPART_ARC
(26,15),0.692008 # DEPENDENCYPART_ARC
(26,16),-0.314579 # DEPENDENCYPART_ARC
(26,17),-1.11493 # DEPENDENCYPART_ARC
(26,18),-0.877076 # DEPENDENCYPART_ARC
(26,19),-0.554352 # DEPENDENCYPART_ARC
(26,20),2.38365 # DEPENDENCYPART_ARC
(26,21),0.961779 # DEPENDENCYPART_ARC
(26,22),0.959394 # DEPENDENCYPART_ARC
(26,23),1.22602 # DEPENDENCYPART_ARC
(26,24),2.26862 # DEPENDENCYPART_ARC
(26,25),4.38249 # DEPENDENCYPART_ARC
(26,27),0.633519 # DEPENDENCYPART_ARC
(26,28),-0.776371 # DEPENDENCYPART_ARC
(26,30),0.137348 # DEPENDENCYPART_ARC
(26,31),-1.71813 # DEPENDENCYPART_ARC
(26,32),3.18469 # DEPENDENCYPART_ARC
(26,33),-0.44338 # DEPENDENCYPART_ARC
(26,34),1.7553 # DEPENDENCYPART_ARC
(26,36),-1.86952 # DEPENDENCYPART_ARC
(26,37),-0.478141 # DEPENDENCYPART_ARC
(26,38),-1.7344 # DEPENDENCYPART_ARC
(26,39),5.39861 # DEPENDENCYPART_ARC
(27,1),-4.11867 # DEPENDENCYPART_ARC
(27,2),-3.97525 # DEPENDENCYPART_ARC
(27,3),-4.48378 # DEPENDENCYPART_ARC
(27,4),-4.20288 # DEPENDENCYPART_ARC
(27,5),-4.21027 # DEPENDENCYPART_ARC
(27,6),-4.83228 # DEPENDENCYPART_ARC
(27,8),-4.86476 # DEPENDENCYPART_ARC
(27,9),-4.18474 # DEPENDENCYPART_ARC
(27,11),-4.6523 # DEPENDENCYPART_ARC
(27,12),-4.48465 # DEPENDENCYPART_ARC
(27,13),-4.56668 # DEPENDENCYPART_ARC
(27,14),-3.86705 # DEPENDENCYPART_ARC
(27,15),-3.66252 # DEPENDENCYPART_ARC
(27,16),-4.37512 # DEPENDENCYPART_ARC
(27,17),-3.39373 # DEPENDENCYPART_ARC
(27,18),-4.24166 # DEPENDENCYPART_ARC
(27,19),-4.04825 # DEPENDENCYPART_ARC
(27,21),-4.01197 # DEPENDENCYPART_ARC
(27,23),-3.65998 # DEPENDENCYPART_ARC
(27,24),-2.65254 # DEPENDENCYPART_ARC
(27,25),-2.21141 # DEPENDENCYPART_ARC
(27,26),-1.78948 # DEPENDENCYPART_ARC
(27,28),-0.366218 # DEPENDENCYPART_ARC
(27,29),-1.15494 # DEPENDENCYPART_ARC
(27,30),-1.27966 # DEPENDENCYPART_ARC
(27,31),-1.4586 # DEPENDENCYPART_ARC
(27,32),0.080532 # DEPENDENCYPART_ARC
(27,33),-1.7226 # DEPENDENCYPART_ARC
(27,34),-1.05124 # DEPENDENCYPART_ARC
(27,35),-3.14204 # DEPENDENCYPART_ARC
(27,36),-3.17277 # DEPENDENCYPART_ARC
(27,37),-2.10005 # DEPENDENCYPART_ARC
(27,38),-3.33109 # DEPENDENCYPART_ARC
(27,39),-1.03205 # DEPENDENCYPART_ARC
(28,1),-4.01886 # DEPENDENCYPART_ARC
(28,2),-3.90158 # DEPENDENCYPART_ARC
(28,3),-4.22791 # DEPENDENCYPART_ARC
(28,4),-4.13633 # DEPENDENCYPART_ARC
(28,5),-3.60894 # DEPENDENCYPART_ARC
(28,6),-4.23931 # DEPENDENCYPART_ARC
(28,7),-3.98477 # DEPENDENCYPART_ARC
(28,8),-4.09552 # DEPENDENCYPART_ARC
(28,9),-3.53723 # DEPENDENCYPART_ARC
(28,10),-3.34594 # DEPENDENCYPART_ARC
(28,11),-3.73868 # DEPENDENCYPART_ARC
(28,12),-3.154 # DEPENDENCYPART_ARC
(28,13),-3.86639 # DEPENDENCYPART_ARC
(28,14),-3.69491 # DEPENDENCYPART_ARC
(28,15),-2.80443 # DEPENDENCYPART_ARC
(28,16),-3.31686 # DEPENDENCYPART_ARC
(28,17),-2.76792 # DEPENDENCYPART_ARC
(28,18),-3.06873 # DEPENDENCYPART_ARC
(28,19),-2.81821 # DEPENDENCYPART_ARC
(28,20),-2.52479 # DEPENDENCYPART_ARC
(28,21),-1.862 # DEPENDENCYPART_ARC
(28,22),-1.89138 # DEPENDENCYPART_ARC
(28,23),-2.58793 # DEPENDENCYPART_ARC
(28,24),-1.97674 # DEPENDENCYPART_ARC
(28,25),-2.42464 # DEPENDENCYPART_ARC
(28,26),-0.479387 # DEPENDENCYPART_ARC
(28,27),0.717557 # DEPENDENCYPART_ARC
(28,29),0.576155 # DEPENDENCYPART_ARC
(28,30),3.85659 # DEPENDENCYPART_ARC
(28,31),0.637004 # DEPENDENCYPART_ARC
(28,32),2.55599 # DEPENDENCYPART_ARC
(28,33),0.953332 # DEPENDENCYPART_ARC
(28,34),1.97794 # DEPENDENCYPART_ARC
(28,35),-1.91249 # DEPENDENCYPART_ARC
(28,36),-0.305932 # DEPENDENCYPART_ARC
(28,37),-0.435933 # DEPENDENCYPART_ARC
(28,38),-2.10907 # DEPENDENCYPART_ARC
(28,39),1.12121 # DEPENDENCYPART_ARC
(29,1),-2.81831 # DEPENDENCYPART_ARC
(29,3),-4.00176 # DEPENDENCYPART_ARC
(29,8),-3.00866 # DEPENDENCYPART_ARC
(29,9),-3.509 # DEPENDENCYPART_ARC
(29,15),-2.80417 # DEPENDENCYPART_ARC
(29,16),-2.53373 # DEPENDENCYPART_ARC
(29,17),-2.79515 # DEPENDENCYPART_ARC
(29,18),-3.02596 # DEPENDENCYPART_ARC
(29,19),-2.5212 # DEPENDENCYPART_ARC
(29,23),-2.34637 # DEPENDENCYPART_ARC
(29,28),0.293401 # DEPENDENCYPART_ARC
(29,33),-1.47004 # DEPENDENCYPART_ARC
(29,35),-1.13417 # DEPENDENCYPART_ARC
(29,36),-2.39041 # DEPENDENCYPART_ARC
(29,37),-2.61616 # DEPENDENCYPART_ARC
(30,1),-1.76769 # DEPENDENCYPART_ARC
(30,2),-1.92586 # DEPENDENCYPART_ARC
(30,3),-2.7928 # DEPENDENCYPART_ARC
(30,6),-2.64099 # DEPENDENCYPART_ARC
(30,8),-2.89748 # DEPENDENCYPART_ARC
(30,9),-2.56656 # DEPENDENCYPART_ARC
(30,11),-2.01486 # DEPENDENCYPART_ARC
(30,12),-1.53516 # DEPENDENCYPART_ARC
(30,13),-2.06876 # DEPENDENCYPART_ARC
(30,14),-1.27036 # DEPENDENCYPART_ARC
(30,15),-2.40191 # DEPENDENCYPART_ARC
(30,16),-2.28055 # DEPENDENCYPART_ARC
(30,17),-0.829817 # DEPENDENCYPART_ARC
(30,18),-2.41727 # DEPENDENCYPART_ARC
(30,19),-2.01601 # DEPENDENCYPART_ARC
(30,21),-1.37492 # DEPENDENCYPART_ARC
(30,23),-1.94182 # DEPENDENCYPART_ARC
(30,24),-0.393686 # DEPENDENCYPART_ARC
(30,26),-0.781806 # DEPENDENCYPART_ARC
(30,27),0.500223 # DEPENDENCYPART_ARC
(30,28),0.160098 # DEPENDENCYPART_ARC
(30,29),3.52642 # DEPENDENCYPART_ARC
(30,32),1.92753 # DEPENDENCYPART_ARC
(30,33),-0.283928 # DEPENDENCYPART_ARC
(30,34),-0.089659 # DEPENDENCYPART_ARC
(30,35),-1.66604 # DEPENDENCYPART_ARC
(30,36),-1.66822 # DEPENDENCYPART_ARC
(30,37),-1.02322 # DEPENDENCYPART_ARC
(30,38),-1.37796 # DEPENDENCYPART_ARC
(30,39),0.636311 # DEPENDENCYPART_ARC
(31,1),-3.11599 # DEPENDENCYPART_ARC
(31,2),-3.08397 # DEPENDENCYPART_ARC
(31,3),-3.8116 # DEPENDENCYPART_ARC
(31,6),-4.39623 # DEPENDENCYPART_ARC
(31,8),-4.62165 # DEPENDENCYPART_ARC
(31,9),-3.61574 # DEPENDENCYPART_ARC
(31,11),-3.86368 # DEPENDENCYPART_ARC
(31,12),-3.08023 # DEPENDENCYPART_ARC
(31,13),-3.45154 # DEPENDENCYPART_ARC
(31,14),-2.90198 # DEPENDENCYPART_ARC
(31,15),-4.16869 # DEPENDENCYPART_ARC
(31,16),-3.98501 # DEPENDENCYPART_ARC
(31,17),-2.33504 # DEPENDENCYPART_ARC
(31,18),-3.60252 # DEPENDENCYPART_ARC
(31,19),-3.61929 # DEPENDENCYPART_ARC
(31,21),-3.21431 # DEPENDENCYPART_ARC
(31,23),-3.7683 # DEPENDENCYPART_ARC
(31,24),-2.2025 # DEPENDENCYPART_ARC
(31,26),-2.89735 # DEPENDENCYPART_ARC
(31,27),-1.03844 # DEPENDENCYPART_ARC
(31,28),-0.975786 # DEPENDENCYPART_ARC
(31,29),-1.62531 # DEPENDENCYPART_ARC
(31,33),-1.24301 # DEPENDENCYPART_ARC
(31,34),-0.480192 # DEPENDENCYPART_ARC
(31,35),-1.27192 # DEPENDENCYPART_ARC
(31,36),-2.28275 # DEPENDENCYPART_ARC
(31,37),-1.94323 # DEPENDENCYPART_ARC
(31,38),-1.17341 # DEPENDENCYPART_ARC
(31,39),-0.570078 # DEPENDENCYPART_ARC
(32,1),-1.75281 # DEPENDENCYPART_ARC
(32,2),-2.44299 # DEPENDENCYPART_ARC
(32,3),-1.47154 # DEPENDENCYPART_ARC
(32,5),-3.1709 # DEPENDENCYPART_ARC
(32,6),-1.23518 # DEPENDENCYPART_ARC
(32,7),-5.56404 # DEPENDENCYPART_ARC
(32,8),-4.40378 # DEPENDENCYPART_ARC
(32,9),-2.09839 # DEPENDENCYPART_ARC
(32,10),-3.36578 # DEPENDENCYPART_ARC
(32,11),-2.23162 # DEPENDENCYPART_ARC
(32,12),-2.86929 # DEPENDENCYPART_ARC
(32,13),-4.4342 # DEPENDENCYPART_ARC
(32,14),-0.228284 # DEPENDENCYPART_ARC
(32,15),-1.03994 # DEPENDENCYPART_ARC
(32,16),-3.98874 # DEPENDENCYPART_ARC
(32,17),-3.20194 # DEPENDENCYPART_ARC
(32,18),-4.61084 # DEPENDENCYPART_ARC
(32,19),-2.45658 # DEPENDENCYPART_ARC
(32,20),-0.591811 # DEPENDENCYPART_ARC
(32,21),-1.33853 # DEPENDENCYPART_ARC
(32,22),-2.8796 # DEPENDENCYPART_ARC
(32,23),-2.83167 # DEPENDENCYPART_ARC
(32,24),0.845228 # DEPENDENCYPART_ARC
(32,25),-0.420003 # DEPENDENCYPART_ARC
(32,26),-2.13047 # DEPENDENCYPART_ARC
(32,27),1.38977 # DEPENDENCYPART_ARC
(32,28),0.160391 # DEPENDENCYPART_ARC
(32,29),-0.287659 # DEPENDENCYPART_ARC
(32,31),2.17791 # DEPENDENCYPART_ARC
(32,33),1.1002 # DEPENDENCYPART_ARC
(32,34),-0.427107 # DEPENDENCYPART_ARC
(32,35),-3.98308 # DEPENDENCYPART_ARC
(32,36),0.505927 # DEPENDENCYPART_ARC
(32,37),-1.43078 # DEPENDENCYPART_ARC
(32,38),-0.242009 # DEPENDENCYPART_ARC
(32,39),1.16727 # DEPENDENCYPART_ARC
(33,1),-4.78371 # DEPENDENCYPART_ARC
(33,2),-4.55781 # DEPENDENCYPART_ARC
(33,3),-4.62878 # DEPENDENCYPART_ARC
(33,4),-4.47526 # DEPENDENCYPART_ARC
(33,5),-4.13993 # DEPENDENCYPART_ARC
(33,6),-5.05931 # DEPENDENCYPART_ARC
(33,7),-4.15303 # DEPENDENCYPART_ARC
(33,8),-4.60143 # DEPENDENCYPART_ARC
(33,9),-4.11414 # DEPENDENCYPART_ARC
(33,10),-3.64366 # DEPENDENCYPART_ARC
