# _root_ Per_tant , els que se sentin posseïts per aquesta tendència es mereixen tota la comprensió i el respecte , però l' han de dominar i no exercir -la en actes concrets .
#goldHeads=12,1,6,6,6,12,6,7,10,8,12,0,14,15,12,15,18,15,12,12,24,24,24,12,24,27,24,27,27,29,30,12,
#predictedHeads=6,1,6,6,6,12,6,7,10,8,12,0,14,15,12,15,18,15,12,12,24,24,24,12,24,27,24,27,27,29,30,12,
(27,25),0.735619 # DEPENDENCYPART_ARC
(27,26),3.2712 # DEPENDENCYPART_ARC
(27,28),3.71475 # DEPENDENCYPART_ARC
(27,29),3.05458 # DEPENDENCYPART_ARC
(27,30),1.39329 # DEPENDENCYPART_ARC
(27,31),0.667031 # DEPENDENCYPART_ARC
(27,32),1.96311 # DEPENDENCYPART_ARC
(28,1),-3.21159 # DEPENDENCYPART_ARC
(28,2),-2.78105 # DEPENDENCYPART_ARC
(28,6),-2.48165 # DEPENDENCYPART_ARC
(28,7),-3.7062 # DEPENDENCYPART_ARC
(28,8),-2.21592 # DEPENDENCYPART_ARC
(28,10),-3.81246 # DEPENDENCYPART_ARC
(28,12),-1.90175 # DEPENDENCYPART_ARC
(28,13),-3.1681 # DEPENDENCYPART_ARC
(28,15),-3.67048 # DEPENDENCYPART_ARC
(28,16),-1.76432 # DEPENDENCYPART_ARC
(28,18),-3.36152 # DEPENDENCYPART_ARC
(28,19),-1.89484 # DEPENDENCYPART_ARC
(28,20),-1.86149 # DEPENDENCYPART_ARC
(28,23),-1.71487 # DEPENDENCYPART_ARC
(28,24),-2.01999 # DEPENDENCYPART_ARC
(28,25),-0.901401 # DEPENDENCYPART_ARC
(28,26),-0.243534 # DEPENDENCYPART_ARC
(28,27),-0.228828 # DEPENDENCYPART_ARC
(28,29),-0.0131683 # DEPENDENCYPART_ARC
(28,30),0.272157 # DEPENDENCYPART_ARC
(28,31),-1.54373 # DEPENDENCYPART_ARC
(28,32),0.112731 # DEPENDENCYPART_ARC
(29,1),-2.21088 # DEPENDENCYPART_ARC
(29,2),-5.03915 # DEPENDENCYPART_ARC
(29,3),-2.3941 # DEPENDENCYPART_ARC
(29,4),-2.47152 # DEPENDENCYPART_ARC
(29,5),-2.29924 # DEPENDENCYPART_ARC
(29,6),-2.7675 # DEPENDENCYPART_ARC
(29,7),-2.31283 # DEPENDENCYPART_ARC
(29,8),-3.14586 # DEPENDENCYPART_ARC
(29,10),-2.17559 # DEPENDENCYPART_ARC
(29,11),-2.0748 # DEPENDENCYPART_ARC
(29,12),-1.76291 # DEPENDENCYPART_ARC
(29,13),-1.8467 # DEPENDENCYPART_ARC
(29,14),-1.73277 # DEPENDENCYPART_ARC
(29,15),-1.96891 # DEPENDENCYPART_ARC
(29,16),-1.27243 # DEPENDENCYPART_ARC
(29,17),-1.80202 # DEPENDENCYPART_ARC
(29,18),-2.10851 # DEPENDENCYPART_ARC
(29,19),-2.11284 # DEPENDENCYPART_ARC
(29,20),-1.05453 # DEPENDENCYPART_ARC
(29,21),-2.85479 # DEPENDENCYPART_ARC
(29,22),-1.15745 # DEPENDENCYPART_ARC
(29,23),-1.20466 # DEPENDENCYPART_ARC
(29,24),-1.03349 # DEPENDENCYPART_ARC
(29,25),-0.719876 # DEPENDENCYPART_ARC
(29,26),-0.0182188 # DEPENDENCYPART_ARC
(29,27),-0.0174533 # DEPENDENCYPART_ARC
(29,28),-0.181774 # DEPENDENCYPART_ARC
(29,30),5.23798 # DEPENDENCYPART_ARC
(29,31),0.397419 # DEPENDENCYPART_ARC
(29,32),0.060922 # DEPENDENCYPART_ARC
(30,1),-5.09873 # DEPENDENCYPART_ARC
(30,2),-5.07951 # DEPENDENCYPART_ARC
(30,3),-9.29257 # DEPENDENCYPART_ARC
(30,4),-4.33593 # DEPENDENCYPART_ARC
(30,6),-5.11971 # DEPENDENCYPART_ARC
(30,7),-5.31107 # DEPENDENCYPART_ARC
(30,8),-4.43297 # DEPENDENCYPART_ARC
(30,9),-7.65276 # DEPENDENCYPART_ARC
(30,10),-5.77332 # DEPENDENCYPART_ARC
(30,12),-3.8424 # DEPENDENCYPART_ARC
(30,13),-6.8406 # DEPENDENCYPART_ARC
(30,14),-6.2251 # DEPENDENCYPART_ARC
(30,15),-5.43402 # DEPENDENCYPART_ARC
(30,16),-3.49206 # DEPENDENCYPART_ARC
(30,17),-5.30092 # DEPENDENCYPART_ARC
(30,18),-5.12279 # DEPENDENCYPART_ARC
(30,19),-4.03658 # DEPENDENCYPART_ARC
(30,20),-3.89347 # DEPENDENCYPART_ARC
(30,21),-4.98301 # DEPENDENCYPART_ARC
(30,22),-3.24849 # DEPENDENCYPART_ARC
(30,23),-2.43885 # DEPENDENCYPART_ARC
(30,24),-3.79987 # DEPENDENCYPART_ARC
(30,25),-3.06838 # DEPENDENCYPART_ARC
(30,26),-2.26643 # DEPENDENCYPART_ARC
(30,27),-3.54899 # DEPENDENCYPART_ARC
(30,28),-3.34387 # DEPENDENCYPART_ARC
(30,29),-0.681918 # DEPENDENCYPART_ARC
(30,31),3.90781 # DEPENDENCYPART_ARC
(30,32),-0.102104 # DEPENDENCYPART_ARC
(31,1),-3.93044 # DEPENDENCYPART_ARC
(31,2),-6.01165 # DEPENDENCYPART_ARC
(31,3),-3.73814 # DEPENDENCYPART_ARC
(31,4),-2.58732 # DEPENDENCYPART_ARC
(31,6),-3.96423 # DEPENDENCYPART_ARC
(31,7),-2.51047 # DEPENDENCYPART_ARC
(31,8),-2.88611 # DEPENDENCYPART_ARC
(31,9),-3.27383 # DEPENDENCYPART_ARC
(31,10),-3.23865 # DEPENDENCYPART_ARC
(31,12),-3.12982 # DEPENDENCYPART_ARC
(31,13),-2.92964 # DEPENDENCYPART_ARC
(31,14),-2.70268 # DEPENDENCYPART_ARC
(31,15),-2.75102 # DEPENDENCYPART_ARC
(31,16),-2.12916 # DEPENDENCYPART_ARC
(31,17),-2.24249 # DEPENDENCYPART_ARC
(31,18),-3.00757 # DEPENDENCYPART_ARC
(31,19),-3.20279 # DEPENDENCYPART_ARC
(31,20),-2.40026 # DEPENDENCYPART_ARC
(31,21),-3.20994 # DEPENDENCYPART_ARC
(31,22),-2.72359 # DEPENDENCYPART_ARC
(31,23),-0.53921 # DEPENDENCYPART_ARC
(31,24),-2.9657 # DEPENDENCYPART_ARC
(31,25),-1.93138 # DEPENDENCYPART_ARC
(31,26),-1.52916 # DEPENDENCYPART_ARC
(31,27),-2.33771 # DEPENDENCYPART_ARC
(31,28),-1.83564 # DEPENDENCYPART_ARC
(31,29),0.479712 # DEPENDENCYPART_ARC
(31,30),-0.100743 # DEPENDENCYPART_ARC
(31,32),-0.973625 # DEPENDENCYPART_ARC
(32,16),-1.86092 # DEPENDENCYPART_ARC
(32,20),-1.95991 # DEPENDENCYPART_ARC
(32,25),-1.65795 # DEPENDENCYPART_ARC
