# _root_ La manca d' aigua potable i d' electricitat que han provocat aquestes inundacions , accentuen la possibilitat d' aparició d' epidèmies , sobretot de còlera i de malària .
#goldHeads=2,15,2,3,4,3,3,7,11,11,2,13,11,2,0,17,15,17,18,19,20,24,24,21,24,24,24,27,15,
#predictedHeads=2,15,2,3,4,3,3,7,11,11,8,13,11,11,0,17,15,17,18,19,20,24,24,19,24,24,24,27,11,
(18,2),-2.59301 # DEPENDENCYPART_ARC
(18,3),-3.00371 # DEPENDENCYPART_ARC
(18,4),-2.26817 # DEPENDENCYPART_ARC
(18,5),-1.96458 # DEPENDENCYPART_ARC
(18,6),-1.66671 # DEPENDENCYPART_ARC
(18,7),-2.79724 # DEPENDENCYPART_ARC
(18,8),-2.10073 # DEPENDENCYPART_ARC
(18,9),-1.50477 # DEPENDENCYPART_ARC
(18,10),-1.50309 # DEPENDENCYPART_ARC
(18,11),-2.10672 # DEPENDENCYPART_ARC
(18,12),-0.87069 # DEPENDENCYPART_ARC
(18,13),-1.83675 # DEPENDENCYPART_ARC
(18,14),-0.964554 # DEPENDENCYPART_ARC
(18,15),0.203136 # DEPENDENCYPART_ARC
(18,16),1.1724 # DEPENDENCYPART_ARC
(18,17),0.664008 # DEPENDENCYPART_ARC
(18,19),4.561 # DEPENDENCYPART_ARC
(18,20),0.813089 # DEPENDENCYPART_ARC
(18,21),2.4401 # DEPENDENCYPART_ARC
(18,22),0.47112 # DEPENDENCYPART_ARC
(18,23),-0.475834 # DEPENDENCYPART_ARC
(18,24),0.844946 # DEPENDENCYPART_ARC
(18,25),-0.370017 # DEPENDENCYPART_ARC
(18,26),1.87115 # DEPENDENCYPART_ARC
(18,27),1.94609 # DEPENDENCYPART_ARC
(18,28),-1.20674 # DEPENDENCYPART_ARC
(18,29),0.36478 # DEPENDENCYPART_ARC
(19,1),-4.12746 # DEPENDENCYPART_ARC
(19,2),-2.18924 # DEPENDENCYPART_ARC
(19,3),-1.87324 # DEPENDENCYPART_ARC
(19,4),-1.49608 # DEPENDENCYPART_ARC
(19,5),-1.90357 # DEPENDENCYPART_ARC
(19,6),-1.12979 # DEPENDENCYPART_ARC
(19,7),-1.49558 # DEPENDENCYPART_ARC
(19,8),-1.38212 # DEPENDENCYPART_ARC
(19,9),-0.321615 # DEPENDENCYPART_ARC
(19,10),-2.15509 # DEPENDENCYPART_ARC
(19,11),-2.14548 # DEPENDENCYPART_ARC
(19,12),-1.83405 # DEPENDENCYPART_ARC
(19,13),-1.36249 # DEPENDENCYPART_ARC
(19,14),-0.692622 # DEPENDENCYPART_ARC
(19,15),-0.835999 # DEPENDENCYPART_ARC
(19,16),2.86566 # DEPENDENCYPART_ARC
(19,17),0.517261 # DEPENDENCYPART_ARC
(19,18),1.28148 # DEPENDENCYPART_ARC
(19,20),3.74839 # DEPENDENCYPART_ARC
(19,21),1.91387 # DEPENDENCYPART_ARC
(19,22),0.366581 # DEPENDENCYPART_ARC
(19,23),0.297109 # DEPENDENCYPART_ARC
(19,24),1.09819 # DEPENDENCYPART_ARC
(19,25),1.04169 # DEPENDENCYPART_ARC
(19,26),0.285061 # DEPENDENCYPART_ARC
(19,27),-0.165856 # DEPENDENCYPART_ARC
(19,28),1.13676 # DEPENDENCYPART_ARC
(19,29),1.03036 # DEPENDENCYPART_ARC
(20,1),-1.31759 # DEPENDENCYPART_ARC
(20,2),-2.39266 # DEPENDENCYPART_ARC
(20,3),-2.90009 # DEPENDENCYPART_ARC
(20,4),-2.00029 # DEPENDENCYPART_ARC
(20,5),-1.56786 # DEPENDENCYPART_ARC
(20,6),-1.37015 # DEPENDENCYPART_ARC
(20,7),-2.6675 # DEPENDENCYPART_ARC
(20,8),-1.9582 # DEPENDENCYPART_ARC
(20,9),-1.13964 # DEPENDENCYPART_ARC
(20,10),-1.2486 # DEPENDENCYPART_ARC
(20,11),-1.95476 # DEPENDENCYPART_ARC
(20,12),-0.667933 # DEPENDENCYPART_ARC
(20,13),-1.68355 # DEPENDENCYPART_ARC
(20,14),-0.970131 # DEPENDENCYPART_ARC
(20,15),0.0688187 # DEPENDENCYPART_ARC
(20,16),0.44794 # DEPENDENCYPART_ARC
(20,17),-0.42174 # DEPENDENCYPART_ARC
(20,18),0.169907 # DEPENDENCYPART_ARC
(20,19),1.36839 # DEPENDENCYPART_ARC
(20,21),4.84657 # DEPENDENCYPART_ARC
(20,22),0.635478 # DEPENDENCYPART_ARC
(20,23),-0.14395 # DEPENDENCYPART_ARC
(20,24),0.918668 # DEPENDENCYPART_ARC
(20,25),0.604713 # DEPENDENCYPART_ARC
(20,26),1.82985 # DEPENDENCYPART_ARC
(20,27),1.9381 # DEPENDENCYPART_ARC
(20,28),-0.671167 # DEPENDENCYPART_ARC
(20,29),0.23412 # DEPENDENCYPART_ARC
(21,1),-4.39503 # DEPENDENCYPART_ARC
(21,2),-2.89609 # DEPENDENCYPART_ARC
(21,3),-1.7806 # DEPENDENCYPART_ARC
(21,4),-1.83543 # DEPENDENCYPART_ARC
(21,5),-3.13628 # DEPENDENCYPART_ARC
(21,6),-1.0963 # DEPENDENCYPART_ARC
(21,7),-1.54095 # DEPENDENCYPART_ARC
(21,8),-1.68981 # DEPENDENCYPART_ARC
(21,9),-0.280909 # DEPENDENCYPART_ARC
(21,10),-0.867194 # DEPENDENCYPART_ARC
(21,11),-1.83348 # DEPENDENCYPART_ARC
(21,12),-1.23017 # DEPENDENCYPART_ARC
(21,13),-0.981131 # DEPENDENCYPART_ARC
(21,14),-1.07369 # DEPENDENCYPART_ARC
(21,15),0.711082 # DEPENDENCYPART_ARC
(21,16),2.13929 # DEPENDENCYPART_ARC
(21,17),-1.10123 # DEPENDENCYPART_ARC
(21,18),-0.00130646 # DEPENDENCYPART_ARC
(21,19),0.848399 # DEPENDENCYPART_ARC
(21,20),1.47598 # DEPENDENCYPART_ARC
(21,22),-0.0970892 # DEPENDENCYPART_ARC
(21,23),-0.311962 # DEPENDENCYPART_ARC
(21,24),0.813596 # DEPENDENCYPART_ARC
(21,25),0.762799 # DEPENDENCYPART_ARC
(21,26),-0.0838324 # DEPENDENCYPART_ARC
(21,27),-0.884368 # DEPENDENCYPART_ARC
(21,28),0.577863 # DEPENDENCYPART_ARC
(21,29),0.612535 # DEPENDENCYPART_ARC
(22,1),-3.5611 # DEPENDENCYPART_ARC
(22,2),-3.6795 # DEPENDENCYPART_ARC
(22,3),-2.86526 # DEPENDENCYPART_ARC
(22,4),-3.51806 # DEPENDENCYPART_ARC
(22,5),-2.49986 # DEPENDENCYPART_ARC
(22,6),-2.69833 # DEPENDENCYPART_ARC
(22,7),-2.82463 # DEPENDENCYPART_ARC
(22,8),-3.63109 # DEPENDENCYPART_ARC
(22,9),-3.0242 # DEPENDENCYPART_ARC
(22,10),-3.25148 # DEPENDENCYPART_ARC
(22,11),-3.21297 # DEPENDENCYPART_ARC
(22,12),-2.99603 # DEPENDENCYPART_ARC
(22,13),-3.37349 # DEPENDENCYPART_ARC
(22,14),-2.06636 # DEPENDENCYPART_ARC
(22,15),-2.73824 # DEPENDENCYPART_ARC
(22,16),-2.58211 # DEPENDENCYPART_ARC
(22,17),-2.73022 # DEPENDENCYPART_ARC
(22,18),-1.51786 # DEPENDENCYPART_ARC
(22,19),-2.16043 # DEPENDENCYPART_ARC
(22,20),-1.04373 # DEPENDENCYPART_ARC
(22,21),-0.99331 # DEPENDENCYPART_ARC
(22,23),-0.818721 # DEPENDENCYPART_ARC
(22,24),-1.31377 # DEPENDENCYPART_ARC
(22,25),-1.3844 # DEPENDENCYPART_ARC
(22,26),-0.641535 # DEPENDENCYPART_ARC
(22,27),-1.36416 # DEPENDENCYPART_ARC
(22,28),-1.60763 # DEPENDENCYPART_ARC
(22,29),-0.662102 # DEPENDENCYPART_ARC
(23,1),-3.41262 # DEPENDENCYPART_ARC
(23,2),-4.5492 # DEPENDENCYPART_ARC
(23,3),-2.71184 # DEPENDENCYPART_ARC
(23,4),-4.08041 # DEPENDENCYPART_ARC
(23,5),-2.40573 # DEPENDENCYPART_ARC
(23,6),-2.24542 # DEPENDENCYPART_ARC
(23,7),-3.0781 # DEPENDENCYPART_ARC
(23,8),-3.86258 # DEPENDENCYPART_ARC
(23,9),-2.59398 # DEPENDENCYPART_ARC
(23,10),-2.93669 # DEPENDENCYPART_ARC
(23,11),-2.92058 # DEPENDENCYPART_ARC
(23,12),-2.7585 # DEPENDENCYPART_ARC
(23,13),-3.4737 # DEPENDENCYPART_ARC
(23,14),-1.79179 # DEPENDENCYPART_ARC
(23,15),-2.29062 # DEPENDENCYPART_ARC
(23,16),-2.22899 # DEPENDENCYPART_ARC
(23,17),-2.53103 # DEPENDENCYPART_ARC
(23,18),-1.35092 # DEPENDENCYPART_ARC
(23,19),-2.05799 # DEPENDENCYPART_ARC
(23,20),-0.845911 # DEPENDENCYPART_ARC
(23,21),-1.32966 # DEPENDENCYPART_ARC
(23,22),0.996162 # DEPENDENCYPART_ARC
(23,24),1.373 # DEPENDENCYPART_ARC
(23,25),0.540624 # DEPENDENCYPART_ARC
(23,26),0.867262 # DEPENDENCYPART_ARC
(23,27),0.403284 # DEPENDENCYPART_ARC
(23,28),-0.0945255 # DEPENDENCYPART_ARC
(23,29),0.559386 # DEPENDENCYPART_ARC
(24,1),-2.03655 # DEPENDENCYPART_ARC
(24,2),-2.50238 # DEPENDENCYPART_ARC
(24,3),-2.84566 # DEPENDENCYPART_ARC
(24,4),-2.07223 # DEPENDENCYPART_ARC
(24,5),-1.84315 # DEPENDENCYPART_ARC
(24,6),-1.43412 # DEPENDENCYPART_ARC
(24,7),-2.48586 # DEPENDENCYPART_ARC
(24,8),-2.09788 # DEPENDENCYPART_ARC
(24,9),-1.10994 # DEPENDENCYPART_ARC
(24,10),-1.25601 # DEPENDENCYPART_ARC
(24,11),-1.91252 # DEPENDENCYPART_ARC
(24,12),-1.01157 # DEPENDENCYPART_ARC
(24,13),-1.95647 # DEPENDENCYPART_ARC
(24,14),-1.03672 # DEPENDENCYPART_ARC
(24,15),-0.0958027 # DEPENDENCYPART_ARC
(24,16),-0.60516 # DEPENDENCYPART_ARC
(24,17),-1.08114 # DEPENDENCYPART_ARC
(24,18),-0.607817 # DEPENDENCYPART_ARC
(24,19),-0.735301 # DEPENDENCYPART_ARC
(24,20),-0.0627783 # DEPENDENCYPART_ARC
(24,21),-0.364987 # DEPENDENCYPART_ARC
(24,22),2.10917 # DEPENDENCYPART_ARC
(24,23),2.42958 # DEPENDENCYPART_ARC
(24,25),4.6861 # DEPENDENCYPART_ARC
(24,26),2.45722 # DEPENDENCYPART_ARC
(24,27),2.70572 # DEPENDENCYPART_ARC
(24,28),1.31717 # DEPENDENCYPART_ARC
(24,29),1.15509 # DEPENDENCYPART_ARC
(25,1),-6.35748 # DEPENDENCYPART_ARC
(25,2),-3.00229 # DEPENDENCYPART_ARC
(25,3),-2.3682 # DEPENDENCYPART_ARC
(25,4),-2.38917 # DEPENDENCYPART_ARC
(25,5),-2.53579 # DEPENDENCYPART_ARC
(25,6),-1.66214 # DEPENDENCYPART_ARC
(25,7),-2.21259 # DEPENDENCYPART_ARC
(25,8),-2.0103 # DEPENDENCYPART_ARC
(25,9),-1.56903 # DEPENDENCYPART_ARC
(25,10),-3.09006 # DEPENDENCYPART_ARC
(25,11),-3.05566 # DEPENDENCYPART_ARC
(25,12),-4.31746 # DEPENDENCYPART_ARC
(25,13),-2.27931 # DEPENDENCYPART_ARC
(25,14),-2.34697 # DEPENDENCYPART_ARC
(25,15),-1.81416 # DEPENDENCYPART_ARC
(25,16),-0.686976 # DEPENDENCYPART_ARC
(25,17),-1.429 # DEPENDENCYPART_ARC
(25,18),-0.982874 # DEPENDENCYPART_ARC
(25,19),-0.660891 # DEPENDENCYPART_ARC
(25,20),-0.757826 # DEPENDENCYPART_ARC
(25,21),-0.43142 # DEPENDENCYPART_ARC
(25,22),-0.300033 # DEPENDENCYPART_ARC
(25,23),0.673814 # DEPENDENCYPART_ARC
(25,24),1.03088 # DEPENDENCYPART_ARC
(25,26),0.0804204 # DEPENDENCYPART_ARC
(25,27),0.237131 # DEPENDENCYPART_ARC
(25,28),0.937676 # DEPENDENCYPART_ARC
(25,29),-0.21989 # DEPENDENCYPART_ARC
(26,1),-4.54134 # DEPENDENCYPART_ARC
(26,2),-4.83172 # DEPENDENCYPART_ARC
(26,3),-4.24927 # DEPENDENCYPART_ARC
(26,4),-4.71224 # DEPENDENCYPART_ARC
(26,5),-4.31345 # DEPENDENCYPART_ARC
(26,6),-3.48333 # DEPENDENCYPART_ARC
(26,7),-4.03495 # DEPENDENCYPART_ARC
(26,8),-4.63292 # DEPENDENCYPART_ARC
(26,9),-3.8438 # DEPENDENCYPART_ARC
(26,10),-4.15989 # DEPENDENCYPART_ARC
(26,11),-4.05003 # DEPENDENCYPART_ARC
(26,12),-4.0828 # DEPENDENCYPART_ARC
(26,13),-4.27235 # DEPENDENCYPART_ARC
(26,14),-3.79375 # DEPENDENCYPART_ARC
(26,15),-3.74835 # DEPENDENCYPART_ARC
(26,16),-3.57692 # DEPENDENCYPART_ARC
(26,17),-3.79628 # DEPENDENCYPART_ARC
(26,18),-2.84091 # DEPENDENCYPART_ARC
(26,19),-3.56323 # DEPENDENCYPART_ARC
(26,20),-2.59676 # DEPENDENCYPART_ARC
(26,21),-3.37846 # DEPENDENCYPART_ARC
(26,22),-2.69706 # DEPENDENCYPART_ARC
(26,23),-2.3336 # DEPENDENCYPART_ARC
(26,24),-1.52073 # DEPENDENCYPART_ARC
(26,25),-1.55213 # DEPENDENCYPART_ARC
(26,27),-1.78246 # DEPENDENCYPART_ARC
(26,28),-0.877369 # DEPENDENCYPART_ARC
(26,29),-1.52967 # DEPENDENCYPART_ARC
(27,1),-2.34134 # DEPENDENCYPART_ARC
(27,2),-2.73403 # DEPENDENCYPART_ARC
(27,3),-2.77647 # DEPENDENCYPART_ARC
(27,4),-2.45222 # DEPENDENCYPART_ARC
(27,5),-2.03901 # DEPENDENCYPART_ARC
(27,6),-1.79546 # DEPENDENCYPART_ARC
(27,7),-2.67999 # DEPENDENCYPART_ARC
(27,8),-2.19089 # DEPENDENCYPART_ARC
(27,9),-1.4463 # DEPENDENCYPART_ARC
(27,10),-1.37292 # DEPENDENCYPART_ARC
(27,11),-1.91506 # DEPENDENCYPART_ARC
(27,12),-1.13605 # DEPENDENCYPART_ARC
(27,13),-2.02628 # DEPENDENCYPART_ARC
(27,14),-1.86361 # DEPENDENCYPART_ARC
(27,15),-0.193045 # DEPENDENCYPART_ARC
(27,16),-0.955789 # DEPENDENCYPART_ARC
(27,17),-1.19139 # DEPENDENCYPART_ARC
(27,18),-0.870297 # DEPENDENCYPART_ARC
(27,19),-0.957377 # DEPENDENCYPART_ARC
(27,20),-0.50251 # DEPENDENCYPART_ARC
(27,21),-0.89293 # DEPENDENCYPART_ARC
(27,22),0.270893 # DEPENDENCYPART_ARC
(27,23),0.506168 # DEPENDENCYPART_ARC
(27,24),0.448805 # DEPENDENCYPART_ARC
(27,25),0.658468 # DEPENDENCYPART_ARC
(27,26),1.17569 # DEPENDENCYPART_ARC
(27,28),4.86638 # DEPENDENCYPART_ARC
(27,29),0.582464 # DEPENDENCYPART_ARC
(28,1),-6.27517 # DEPENDENCYPART_ARC
(28,2),-2.95721 # DEPENDENCYPART_ARC
(28,3),-2.66278 # DEPENDENCYPART_ARC
(28,4),-1.82997 # DEPENDENCYPART_ARC
(28,5),-2.48146 # DEPENDENCYPART_ARC
(28,6),-1.18223 # DEPENDENCYPART_ARC
(28,7),-2.36282 # DEPENDENCYPART_ARC
(28,8),-1.54863 # DEPENDENCYPART_ARC
(28,9),-1.20634 # DEPENDENCYPART_ARC
(28,10),-2.55371 # DEPENDENCYPART_ARC
(28,11),-2.2705 # DEPENDENCYPART_ARC
(28,12),-4.31004 # DEPENDENCYPART_ARC
(28,13),-2.0337 # DEPENDENCYPART_ARC
(28,14),-1.8535 # DEPENDENCYPART_ARC
(28,15),-1.25621 # DEPENDENCYPART_ARC
(28,16),-0.792705 # DEPENDENCYPART_ARC
(28,17),-1.6194 # DEPENDENCYPART_ARC
(28,18),-1.20221 # DEPENDENCYPART_ARC
(28,19),-0.442967 # DEPENDENCYPART_ARC
(28,20),-1.06361 # DEPENDENCYPART_ARC
(28,21),-0.208372 # DEPENDENCYPART_ARC
(28,22),-0.234049 # DEPENDENCYPART_ARC
(28,23),-0.403 # DEPENDENCYPART_ARC
(28,24),-0.606371 # DEPENDENCYPART_ARC
(28,25),0.53104 # DEPENDENCYPART_ARC
(28,26),0.426097 # DEPENDENCYPART_ARC
(28,27),1.19914 # DEPENDENCYPART_ARC
(28,29),-0.530082 # DEPENDENCYPART_ARC
(29,1),-4.76836 # DEPENDENCYPART_ARC
(29,2),-4.96372 # DEPENDENCYPART_ARC
(29,3),-4.06417 # DEPENDENCYPART_ARC
(29,4),-4.83197 # DEPENDENCYPART_ARC
(29,5),-3.96045 # DEPENDENCYPART_ARC
(29,6),-3.78691 # DEPENDENCYPART_ARC
(29,7),-4.03294 # DEPENDENCYPART_ARC
(29,8),-4.90159 # DEPENDENCYPART_ARC
(29,9),-4.08334 # DEPENDENCYPART_ARC
(29,10),-4.44097 # DEPENDENCYPART_ARC
(29,11),-4.44801 # DEPENDENCYPART_ARC
(29,12),-4.30016 # DEPENDENCYPART_ARC
(29,13),-4.59226 # DEPENDENCYPART_ARC
(29,14),-3.49869 # DEPENDENCYPART_ARC
(29,15),-4.06448 # DEPENDENCYPART_ARC
(29,16),-4.02674 # DEPENDENCYPART_ARC
(29,17),-4.15321 # DEPENDENCYPART_ARC
(29,18),-3.15856 # DEPENDENCYPART_ARC
(29,19),-3.89047 # DEPENDENCYPART_ARC
(29,20),-3.03663 # DEPENDENCYPART_ARC
(29,21),-3.91073 # DEPENDENCYPART_ARC
(29,22),-2.90697 # DEPENDENCYPART_ARC
(29,23),-3.3551 # DEPENDENCYPART_ARC
(29,24),-2.69709 # DEPENDENCYPART_ARC
(29,25),-3.33686 # DEPENDENCYPART_ARC
(29,26),-2.46725 # DEPENDENCYPART_ARC
(29,27),-2.15168 # DEPENDENCYPART_ARC
(29,28),-2.15054 # DEPENDENCYPART_ARC
