# _root_ L' aparició del Teneighty , un esquí que disposa de la cua aixecada igual que l' espàtula , és la confirmació del fet que la firma francesa continua buscant noves fórmules dins de l' esquí .
#goldHeads=2,19,2,3,7,7,4,9,7,9,12,10,12,12,17,17,12,7,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
#predictedHeads=2,19,2,3,7,7,2,9,7,9,12,10,12,12,19,17,19,14,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
(14,13),3.12359 # DEPENDENCYPART_ARC
(14,15),0.865921 # DEPENDENCYPART_ARC
(14,16),0.0517858 # DEPENDENCYPART_ARC
(14,17),2.06168 # DEPENDENCYPART_ARC
(14,18),1.45241 # DEPENDENCYPART_ARC
(14,19),0.906929 # DEPENDENCYPART_ARC
(14,20),-1.06127 # DEPENDENCYPART_ARC
(14,21),0.935973 # DEPENDENCYPART_ARC
(14,22),-0.691689 # DEPENDENCYPART_ARC
(14,23),0.766546 # DEPENDENCYPART_ARC
(14,24),-0.55157 # DEPENDENCYPART_ARC
(14,25),-1.41471 # DEPENDENCYPART_ARC
(14,26),0.790184 # DEPENDENCYPART_ARC
(14,27),0.105194 # DEPENDENCYPART_ARC
(14,28),-0.320719 # DEPENDENCYPART_ARC
(14,29),-0.290147 # DEPENDENCYPART_ARC
(14,30),-0.957113 # DEPENDENCYPART_ARC
(14,31),0.359498 # DEPENDENCYPART_ARC
(14,32),-0.30447 # DEPENDENCYPART_ARC
(14,33),-3.19375 # DEPENDENCYPART_ARC
(14,34),-2.01364 # DEPENDENCYPART_ARC
(14,35),0.622311 # DEPENDENCYPART_ARC
(14,36),-0.18067 # DEPENDENCYPART_ARC
(15,1),-3.39075 # DEPENDENCYPART_ARC
(15,2),-3.44875 # DEPENDENCYPART_ARC
(15,3),-2.54381 # DEPENDENCYPART_ARC
(15,4),-3.35154 # DEPENDENCYPART_ARC
(15,5),-2.30902 # DEPENDENCYPART_ARC
(15,6),-3.15011 # DEPENDENCYPART_ARC
(15,7),-3.03245 # DEPENDENCYPART_ARC
(15,8),-2.52352 # DEPENDENCYPART_ARC
(15,9),-2.65053 # DEPENDENCYPART_ARC
(15,10),-1.54341 # DEPENDENCYPART_ARC
(15,11),-1.95011 # DEPENDENCYPART_ARC
(15,12),-2.0995 # DEPENDENCYPART_ARC
(15,13),-1.55517 # DEPENDENCYPART_ARC
(15,14),-0.930172 # DEPENDENCYPART_ARC
(15,16),-1.20375 # DEPENDENCYPART_ARC
(15,17),-0.483064 # DEPENDENCYPART_ARC
(15,18),-0.569956 # DEPENDENCYPART_ARC
(15,19),-0.106447 # DEPENDENCYPART_ARC
(15,20),-2.88668 # DEPENDENCYPART_ARC
(15,21),-3.17299 # DEPENDENCYPART_ARC
(15,22),-1.63865 # DEPENDENCYPART_ARC
(15,23),-3.28273 # DEPENDENCYPART_ARC
(15,24),-1.05254 # DEPENDENCYPART_ARC
(15,25),-3.52602 # DEPENDENCYPART_ARC
(15,26),-3.83383 # DEPENDENCYPART_ARC
(15,27),-2.16891 # DEPENDENCYPART_ARC
(15,28),-1.79237 # DEPENDENCYPART_ARC
(15,29),-1.88379 # DEPENDENCYPART_ARC
(15,30),-2.36254 # DEPENDENCYPART_ARC
(15,31),-4.23753 # DEPENDENCYPART_ARC
(15,32),-3.03111 # DEPENDENCYPART_ARC
(15,33),-2.73518 # DEPENDENCYPART_ARC
(15,34),-3.64956 # DEPENDENCYPART_ARC
(15,35),-4.98248 # DEPENDENCYPART_ARC
(15,36),-1.69424 # DEPENDENCYPART_ARC
(16,1),-3.2587 # DEPENDENCYPART_ARC
(16,2),-3.01967 # DEPENDENCYPART_ARC
(16,3),-2.50148 # DEPENDENCYPART_ARC
(16,4),-2.74922 # DEPENDENCYPART_ARC
(16,5),-2.16097 # DEPENDENCYPART_ARC
(16,6),-1.26243 # DEPENDENCYPART_ARC
(16,7),-2.54736 # DEPENDENCYPART_ARC
(16,8),-2.62395 # DEPENDENCYPART_ARC
(16,9),-1.50429 # DEPENDENCYPART_ARC
(16,10),-1.31199 # DEPENDENCYPART_ARC
(16,11),0.0797977 # DEPENDENCYPART_ARC
(16,12),-1.72578 # DEPENDENCYPART_ARC
(16,13),-1.16681 # DEPENDENCYPART_ARC
(16,14),-0.879515 # DEPENDENCYPART_ARC
(16,15),0.286856 # DEPENDENCYPART_ARC
(16,17),0.156887 # DEPENDENCYPART_ARC
(16,18),-1.51643 # DEPENDENCYPART_ARC
(16,19),-1.96081 # DEPENDENCYPART_ARC
(16,20),-1.44264 # DEPENDENCYPART_ARC
(16,21),-2.08859 # DEPENDENCYPART_ARC
(16,22),-3.00499 # DEPENDENCYPART_ARC
(16,23),-3.83288 # DEPENDENCYPART_ARC
(16,24),-2.62081 # DEPENDENCYPART_ARC
(16,25),-3.30739 # DEPENDENCYPART_ARC
(16,26),-3.85905 # DEPENDENCYPART_ARC
(16,27),-3.48237 # DEPENDENCYPART_ARC
(16,28),-3.78172 # DEPENDENCYPART_ARC
(16,29),-3.45374 # DEPENDENCYPART_ARC
(16,30),-4.15728 # DEPENDENCYPART_ARC
(16,31),-4.75946 # DEPENDENCYPART_ARC
(16,32),-3.37382 # DEPENDENCYPART_ARC
(16,33),-4.33424 # DEPENDENCYPART_ARC
(16,34),-4.308 # DEPENDENCYPART_ARC
(16,35),-5.41482 # DEPENDENCYPART_ARC
(16,36),-4.23687 # DEPENDENCYPART_ARC
(17,1),-3.90271 # DEPENDENCYPART_ARC
(17,2),-1.71397 # DEPENDENCYPART_ARC
(17,3),-1.76206 # DEPENDENCYPART_ARC
(17,4),-1.29157 # DEPENDENCYPART_ARC
(17,5),-0.561234 # DEPENDENCYPART_ARC
(17,6),-1.80066 # DEPENDENCYPART_ARC
(17,7),-1.79559 # DEPENDENCYPART_ARC
(17,8),0.475843 # DEPENDENCYPART_ARC
(17,9),-0.800495 # DEPENDENCYPART_ARC
(17,10),0.00924053 # DEPENDENCYPART_ARC
(17,11),1.88954 # DEPENDENCYPART_ARC
(17,12),-0.55952 # DEPENDENCYPART_ARC
(17,13),0.419713 # DEPENDENCYPART_ARC
(17,14),0.744036 # DEPENDENCYPART_ARC
(17,15),2.43809 # DEPENDENCYPART_ARC
(17,16),4.65775 # DEPENDENCYPART_ARC
(17,18),0.820093 # DEPENDENCYPART_ARC
(17,19),1.60725 # DEPENDENCYPART_ARC
(17,20),-0.887157 # DEPENDENCYPART_ARC
(17,21),0.121521 # DEPENDENCYPART_ARC
(17,22),0.408391 # DEPENDENCYPART_ARC
(17,23),-0.486735 # DEPENDENCYPART_ARC
(17,24),-0.594622 # DEPENDENCYPART_ARC
(17,25),-1.8002 # DEPENDENCYPART_ARC
(17,26),-0.497188 # DEPENDENCYPART_ARC
(17,27),0.542441 # DEPENDENCYPART_ARC
(17,28),-1.11778 # DEPENDENCYPART_ARC
(17,29),-1.9245 # DEPENDENCYPART_ARC
(17,30),-2.27495 # DEPENDENCYPART_ARC
(17,31),-1.69273 # DEPENDENCYPART_ARC
(17,32),-0.862745 # DEPENDENCYPART_ARC
(17,33),-3.03127 # DEPENDENCYPART_ARC
(17,34),-2.48995 # DEPENDENCYPART_ARC
(17,35),-1.21932 # DEPENDENCYPART_ARC
(17,36),0.977209 # DEPENDENCYPART_ARC
(18,1),-3.78179 # DEPENDENCYPART_ARC
(18,2),-3.93085 # DEPENDENCYPART_ARC
(18,3),-3.07892 # DEPENDENCYPART_ARC
(18,4),-3.89309 # DEPENDENCYPART_ARC
(18,5),-2.45288 # DEPENDENCYPART_ARC
(18,6),-3.63834 # DEPENDENCYPART_ARC
(18,7),-3.72397 # DEPENDENCYPART_ARC
(18,8),-3.14423 # DEPENDENCYPART_ARC
(18,9),-3.36143 # DEPENDENCYPART_ARC
(18,10),-2.57321 # DEPENDENCYPART_ARC
(18,11),-3.13116 # DEPENDENCYPART_ARC
(18,12),-3.07195 # DEPENDENCYPART_ARC
(18,13),-2.32999 # DEPENDENCYPART_ARC
(18,14),-2.21895 # DEPENDENCYPART_ARC
(18,15),-1.82006 # DEPENDENCYPART_ARC
(18,16),-1.32119 # DEPENDENCYPART_ARC
(18,17),-1.57514 # DEPENDENCYPART_ARC
(18,19),-1.42624 # DEPENDENCYPART_ARC
(18,20),-2.94379 # DEPENDENCYPART_ARC
(18,21),-2.68383 # DEPENDENCYPART_ARC
(18,22),-2.92947 # DEPENDENCYPART_ARC
(18,23),-3.06144 # DEPENDENCYPART_ARC
(18,24),-1.91041 # DEPENDENCYPART_ARC
(18,25),-3.62125 # DEPENDENCYPART_ARC
(18,26),-3.21614 # DEPENDENCYPART_ARC
(18,27),-3.18181 # DEPENDENCYPART_ARC
(18,28),-2.88943 # DEPENDENCYPART_ARC
(18,29),-2.93643 # DEPENDENCYPART_ARC
(18,30),-3.37439 # DEPENDENCYPART_ARC
(18,31),-3.47733 # DEPENDENCYPART_ARC
(18,32),-3.439 # DEPENDENCYPART_ARC
(18,33),-3.44422 # DEPENDENCYPART_ARC
(18,34),-3.92975 # DEPENDENCYPART_ARC
(18,35),-3.56316 # DEPENDENCYPART_ARC
(18,36),-3.17646 # DEPENDENCYPART_ARC
(19,1),-2.05488 # DEPENDENCYPART_ARC
(19,2),0.150931 # DEPENDENCYPART_ARC
(19,3),-1.98884 # DEPENDENCYPART_ARC
(19,4),-0.662436 # DEPENDENCYPART_ARC
(19,5),-0.580374 # DEPENDENCYPART_ARC
(19,6),-1.96011 # DEPENDENCYPART_ARC
(19,7),0.494746 # DEPENDENCYPART_ARC
(19,8),1.5012 # DEPENDENCYPART_ARC
(19,9),0.088163 # DEPENDENCYPART_ARC
(19,10),-0.895823 # DEPENDENCYPART_ARC
(19,11),-0.644021 # DEPENDENCYPART_ARC
(19,12),0.671259 # DEPENDENCYPART_ARC
(19,13),0.075127 # DEPENDENCYPART_ARC
(19,14),0.244993 # DEPENDENCYPART_ARC
(19,15),3.61788 # DEPENDENCYPART_ARC
(19,16),0.427073 # DEPENDENCYPART_ARC
(19,17),2.20762 # DEPENDENCYPART_ARC
(19,18),1.03451 # DEPENDENCYPART_ARC
(19,20),-1.0343 # DEPENDENCYPART_ARC
(19,21),3.49933 # DEPENDENCYPART_ARC
(19,22),0.294917 # DEPENDENCYPART_ARC
(19,23),1.58242 # DEPENDENCYPART_ARC
(19,24),-0.279688 # DEPENDENCYPART_ARC
(19,25),-2.79636 # DEPENDENCYPART_ARC
(19,26),-0.101639 # DEPENDENCYPART_ARC
(19,27),0.0569621 # DEPENDENCYPART_ARC
(19,28),1.3043 # DEPENDENCYPART_ARC
(19,29),0.928959 # DEPENDENCYPART_ARC
(19,30),-1.00111 # DEPENDENCYPART_ARC
(19,31),-0.587262 # DEPENDENCYPART_ARC
(19,32),0.439136 # DEPENDENCYPART_ARC
(19,33),-2.38054 # DEPENDENCYPART_ARC
(19,34),-2.66729 # DEPENDENCYPART_ARC
(19,35),-0.928317 # DEPENDENCYPART_ARC
(19,36),6.10715 # DEPENDENCYPART_ARC
(20,1),-5.28388 # DEPENDENCYPART_ARC
(20,2),-4.43617 # DEPENDENCYPART_ARC
(20,3),-3.66803 # DEPENDENCYPART_ARC
(20,4),-3.98172 # DEPENDENCYPART_ARC
(20,5),-3.28144 # DEPENDENCYPART_ARC
(20,6),-3.65356 # DEPENDENCYPART_ARC
(20,7),-4.27823 # DEPENDENCYPART_ARC
(20,8),-3.76432 # DEPENDENCYPART_ARC
(20,9),-4.29352 # DEPENDENCYPART_ARC
(20,10),-3.3933 # DEPENDENCYPART_ARC
(20,11),-2.77934 # DEPENDENCYPART_ARC
(20,12),-3.68398 # DEPENDENCYPART_ARC
(20,13),-3.24871 # DEPENDENCYPART_ARC
(20,14),-3.43509 # DEPENDENCYPART_ARC
(20,15),-2.68924 # DEPENDENCYPART_ARC
(20,16),-2.71787 # DEPENDENCYPART_ARC
(20,17),-2.85526 # DEPENDENCYPART_ARC
(20,18),-1.6606 # DEPENDENCYPART_ARC
(20,19),-1.42465 # DEPENDENCYPART_ARC
(20,21),2.79586 # DEPENDENCYPART_ARC
(20,22),0.761553 # DEPENDENCYPART_ARC
(20,23),-1.28901 # DEPENDENCYPART_ARC
(20,24),-0.943612 # DEPENDENCYPART_ARC
(20,25),0.457058 # DEPENDENCYPART_ARC
(20,26),-1.8609 # DEPENDENCYPART_ARC
(20,27),-2.07288 # DEPENDENCYPART_ARC
(20,28),-2.46373 # DEPENDENCYPART_ARC
(20,29),-2.26502 # DEPENDENCYPART_ARC
(20,30),-3.02259 # DEPENDENCYPART_ARC
(20,31),-3.4206 # DEPENDENCYPART_ARC
(20,32),-2.45678 # DEPENDENCYPART_ARC
(20,33),-2.72875 # DEPENDENCYPART_ARC
(20,34),-2.22853 # DEPENDENCYPART_ARC
(20,35),-4.31752 # DEPENDENCYPART_ARC
(20,36),-3.22293 # DEPENDENCYPART_ARC
(21,1),-5.73741 # DEPENDENCYPART_ARC
(21,2),-2.30431 # DEPENDENCYPART_ARC
(21,3),-2.67798 # DEPENDENCYPART_ARC
(21,4),-2.416 # DEPENDENCYPART_ARC
(21,5),-1.38144 # DEPENDENCYPART_ARC
(21,6),-3.2627 # DEPENDENCYPART_ARC
(21,7),-2.64088 # DEPENDENCYPART_ARC
(21,8),-0.491431 # DEPENDENCYPART_ARC
(21,9),-1.69611 # DEPENDENCYPART_ARC
(21,10),-1.09821 # DEPENDENCYPART_ARC
(21,11),-1.11695 # DEPENDENCYPART_ARC
(21,12),-1.66352 # DEPENDENCYPART_ARC
(21,13),-1.43458 # DEPENDENCYPART_ARC
(21,14),-0.998017 # DEPENDENCYPART_ARC
(21,15),0.810776 # DEPENDENCYPART_ARC
(21,16),-0.143087 # DEPENDENCYPART_ARC
(21,17),-1.12682 # DEPENDENCYPART_ARC
(21,18),0.238598 # DEPENDENCYPART_ARC
(21,19),0.985419 # DEPENDENCYPART_ARC
(21,20),4.91723 # DEPENDENCYPART_ARC
(21,22),3.49173 # DEPENDENCYPART_ARC
(21,23),0.912863 # DEPENDENCYPART_ARC
(21,24),0.534095 # DEPENDENCYPART_ARC
(21,25),-0.878744 # DEPENDENCYPART_ARC
(21,26),0.676669 # DEPENDENCYPART_ARC
(21,27),1.68439 # DEPENDENCYPART_ARC
(21,28),0.429457 # DEPENDENCYPART_ARC
(21,29),-0.45624 # DEPENDENCYPART_ARC
(21,30),-1.84702 # DEPENDENCYPART_ARC
(21,31),-1.31569 # DEPENDENCYPART_ARC
(21,32),-0.229288 # DEPENDENCYPART_ARC
(21,33),-2.11793 # DEPENDENCYPART_ARC
(21,34),-2.31054 # DEPENDENCYPART_ARC
(21,35),-1.53365 # DEPENDENCYPART_ARC
(21,36),0.668901 # DEPENDENCYPART_ARC
(22,1),-3.03317 # DEPENDENCYPART_ARC
(22,2),-3.03995 # DEPENDENCYPART_ARC
(22,3),-3.92161 # DEPENDENCYPART_ARC
(22,4),-3.32409 # DEPENDENCYPART_ARC
(22,5),-2.59843 # DEPENDENCYPART_ARC
(22,6),-2.57133 # DEPENDENCYPART_ARC
(22,7),-3.36382 # DEPENDENCYPART_ARC
(22,8),-2.05399 # DEPENDENCYPART_ARC
(22,9),-3.3526 # DEPENDENCYPART_ARC
(22,10),-1.85824 # DEPENDENCYPART_ARC
(22,11),-1.60534 # DEPENDENCYPART_ARC
(22,12),-2.22078 # DEPENDENCYPART_ARC
(22,13),-2.04879 # DEPENDENCYPART_ARC
(22,14),-2.24801 # DEPENDENCYPART_ARC
(22,15),-0.292784 # DEPENDENCYPART_ARC
(22,16),-1.83835 # DEPENDENCYPART_ARC
(22,17),-1.9543 # DEPENDENCYPART_ARC
(22,18),-1.02749 # DEPENDENCYPART_ARC
(22,19),-1.41698 # DEPENDENCYPART_ARC
(22,20),0.928769 # DEPENDENCYPART_ARC
(22,21),0.419574 # DEPENDENCYPART_ARC
(22,23),4.493 # DEPENDENCYPART_ARC
(22,24),-0.331745 # DEPENDENCYPART_ARC
(22,25),-2.15421 # DEPENDENCYPART_ARC
(22,26),-1.20557 # DEPENDENCYPART_ARC
(22,27),-2.29473 # DEPENDENCYPART_ARC
(22,28),-1.39952 # DEPENDENCYPART_ARC
(22,29),-2.24037 # DEPENDENCYPART_ARC
(22,30),-4.60993 # DEPENDENCYPART_ARC
(22,31),-5.53379 # DEPENDENCYPART_ARC
(22,32),-1.83494 # DEPENDENCYPART_ARC
(22,33),-1.90649 # DEPENDENCYPART_ARC
(22,34),-2.36057 # DEPENDENCYPART_ARC
(22,35),-6.0498 # DEPENDENCYPART_ARC
(22,36),-0.120332 # DEPENDENCYPART_ARC
(23,1),-6.58272 # DEPENDENCYPART_ARC
(23,2),-3.52121 # DEPENDENCYPART_ARC
(23,3),-3.17681 # DEPENDENCYPART_ARC
(23,4),-2.76622 # DEPENDENCYPART_ARC
(23,5),-2.72291 # DEPENDENCYPART_ARC
(23,6),-3.8182 # DEPENDENCYPART_ARC
(23,7),-3.02209 # DEPENDENCYPART_ARC
(23,8),-1.25883 # DEPENDENCYPART_ARC
(23,9),-2.28041 # DEPENDENCYPART_ARC
(23,10),-1.70309 # DEPENDENCYPART_ARC
(23,11),-2.68764 # DEPENDENCYPART_ARC
(23,12),-2.62146 # DEPENDENCYPART_ARC
(23,13),-2.1814 # DEPENDENCYPART_ARC
(23,14),-1.25683 # DEPENDENCYPART_ARC
(23,15),0.0957993 # DEPENDENCYPART_ARC
(23,16),-1.81609 # DEPENDENCYPART_ARC
(23,17),-2.05899 # DEPENDENCYPART_ARC
(23,18),-1.38285 # DEPENDENCYPART_ARC
(23,19),-0.487716 # DEPENDENCYPART_ARC
(23,20),2.16134 # DEPENDENCYPART_ARC
(23,21),-0.139182 # DEPENDENCYPART_ARC
(23,22),1.67022 # DEPENDENCYPART_ARC
(23,24),0.31346 # DEPENDENCYPART_ARC
(23,25),-0.276968 # DEPENDENCYPART_ARC
(23,26),0.369552 # DEPENDENCYPART_ARC
(23,27),1.19328 # DEPENDENCYPART_ARC
(23,28),2.97504 # DEPENDENCYPART_ARC
(23,29),1.45225 # DEPENDENCYPART_ARC
(23,30),-3.13182 # DEPENDENCYPART_ARC
(23,31),-1.52729 # DEPENDENCYPART_ARC
(23,32),-0.0722181 # DEPENDENCYPART_ARC
(23,33),-1.71121 # DEPENDENCYPART_ARC
(23,34),-1.54218 # DEPENDENCYPART_ARC
(23,35),-0.998094 # DEPENDENCYPART_ARC
(23,36),0.508219 # DEPENDENCYPART_ARC
(24,1),-3.87718 # DEPENDENCYPART_ARC
(24,2),-4.19885 # DEPENDENCYPART_ARC
(24,3),-3.46488 # DEPENDENCYPART_ARC
(24,4),-3.94957 # DEPENDENCYPART_ARC
(24,5),-3.12386 # DEPENDENCYPART_ARC
(24,6),-3.75692 # DEPENDENCYPART_ARC
(24,7),-3.82191 # DEPENDENCYPART_ARC
(24,8),-3.0905 # DEPENDENCYPART_ARC
(24,9),-3.45697 # DEPENDENCYPART_ARC
(24,10),-2.85497 # DEPENDENCYPART_ARC
(24,11),-3.5474 # DEPENDENCYPART_ARC
(24,12),-3.58454 # DEPENDENCYPART_ARC
(24,13),-3.37599 # DEPENDENCYPART_ARC
(24,14),-3.35628 # DEPENDENCYPART_ARC
(24,15),-2.41866 # DEPENDENCYPART_ARC
(24,16),-3.18778 # DEPENDENCYPART_ARC
(24,17),-3.21701 # DEPENDENCYPART_ARC
(24,18),-2.16906 # DEPENDENCYPART_ARC
(24,19),-2.69242 # DEPENDENCYPART_ARC
(24,20),-2.1118 # DEPENDENCYPART_ARC
(24,21),-2.28855 # DEPENDENCYPART_ARC
(24,22),-0.961706 # DEPENDENCYPART_ARC
(24,23),-0.950021 # DEPENDENCYPART_ARC
(24,25),-1.12372 # DEPENDENCYPART_ARC
(24,26),-0.231967 # DEPENDENCYPART_ARC
(24,27),-0.757591 # DEPENDENCYPART_ARC
(24,28),-0.0643871 # DEPENDENCYPART_ARC
(24,29),-0.743267 # DEPENDENCYPART_ARC
(24,30),-1.81746 # DEPENDENCYPART_ARC
(24,31),-2.41602 # DEPENDENCYPART_ARC
(24,32),-2.57444 # DEPENDENCYPART_ARC
(24,33),-2.12936 # DEPENDENCYPART_ARC
(24,34),-3.21377 # DEPENDENCYPART_ARC
(24,35),-2.95714 # DEPENDENCYPART_ARC
(24,36),-1.33491 # DEPENDENCYPART_ARC
(25,1),-4.64943 # DEPENDENCYPART_ARC
(25,2),-3.66748 # DEPENDENCYPART_ARC
(25,3),-2.88816 # DEPENDENCYPART_ARC
(25,4),-3.30772 # DEPENDENCYPART_ARC
(25,5),-2.32306 # DEPENDENCYPART_ARC
(25,6),-2.85856 # DEPENDENCYPART_ARC
(25,7),-3.45328 # DEPENDENCYPART_ARC
(25,8),-2.7593 # DEPENDENCYPART_ARC
(25,9),-3.45328 # DEPENDENCYPART_ARC
(25,10),-2.68219 # DEPENDENCYPART_ARC
(25,11),-2.22071 # DEPENDENCYPART_ARC
(25,12),-3.03879 # DEPENDENCYPART_ARC
(25,13),-2.53479 # DEPENDENCYPART_ARC
(25,14),-2.8028 # DEPENDENCYPART_ARC
(25,15),-1.94318 # DEPENDENCYPART_ARC
(25,16),-2.9356 # DEPENDENCYPART_ARC
(25,17),-2.62566 # DEPENDENCYPART_ARC
(25,18),-1.66718 # DEPENDENCYPART_ARC
(25,19),-2.49381 # DEPENDENCYPART_ARC
(25,20),-0.379204 # DEPENDENCYPART_ARC
(25,21),-1.65732 # DEPENDENCYPART_ARC
(25,22),-0.390967 # DEPENDENCYPART_ARC
(25,23),-1.00104 # DEPENDENCYPART_ARC
(25,24),0.336707 # DEPENDENCYPART_ARC
(25,26),0.420291 # DEPENDENCYPART_ARC
(25,27),-0.753092 # DEPENDENCYPART_ARC
(25,28),-1.92644 # DEPENDENCYPART_ARC
(25,29),-1.90771 # DEPENDENCYPART_ARC
(25,30),-3.00189 # DEPENDENCYPART_ARC
(25,31),-3.33996 # DEPENDENCYPART_ARC
(25,32),-2.77429 # DEPENDENCYPART_ARC
(25,33),-2.64039 # DEPENDENCYPART_ARC
(25,34),-2.14691 # DEPENDENCYPART_ARC
(25,35),-4.35164 # DEPENDENCYPART_ARC
(25,36),-3.34106 # DEPENDENCYPART_ARC
(26,1),-7.94495 # DEPENDENCYPART_ARC
(26,2),-3.32758 # DEPENDENCYPART_ARC
(26,3),-3.66921 # DEPENDENCYPART_ARC
(26,4),-3.36425 # DEPENDENCYPART_ARC
(26,5),-2.20639 # DEPENDENCYPART_ARC
(26,6),-4.85071 # DEPENDENCYPART_ARC
(26,7),-3.43696 # DEPENDENCYPART_ARC
(26,8),-1.20994 # DEPENDENCYPART_ARC
(26,9),-2.69229 # DEPENDENCYPART_ARC
(26,10),-1.86364 # DEPENDENCYPART_ARC
(26,11),-3.03243 # DEPENDENCYPART_ARC
(26,12),-2.65999 # DEPENDENCYPART_ARC
(26,13),-2.40127 # DEPENDENCYPART_ARC
(26,14),-1.90621 # DEPENDENCYPART_ARC
(26,15),-0.182412 # DEPENDENCYPART_ARC
(26,16),-3.21993 # DEPENDENCYPART_ARC
(26,17),-2.35971 # DEPENDENCYPART_ARC
(26,18),-1.24718 # DEPENDENCYPART_ARC
(26,19),-1.05307 # DEPENDENCYPART_ARC
(26,20),0.252312 # DEPENDENCYPART_ARC
(26,21),-1.27931 # DEPENDENCYPART_ARC
(26,22),-1.18543 # DEPENDENCYPART_ARC
(26,23),-0.796801 # DEPENDENCYPART_ARC
(26,24),1.39866 # DEPENDENCYPART_ARC
(26,25),4.74706 # DEPENDENCYPART_ARC
(26,27),4.54916 # DEPENDENCYPART_ARC
(26,28),1.2321 # DEPENDENCYPART_ARC
(26,29),0.550029 # DEPENDENCYPART_ARC
(26,30),-0.826086 # DEPENDENCYPART_ARC
(26,31),0.210926 # DEPENDENCYPART_ARC
(26,32),-0.0713055 # DEPENDENCYPART_ARC
(26,33),-1.15729 # DEPENDENCYPART_ARC
(26,34),-1.72345 # DEPENDENCYPART_ARC
(26,35),-0.305988 # DEPENDENCYPART_ARC
(26,36),0.0160081 # DEPENDENCYPART_ARC
(27,1),-3.09068 # DEPENDENCYPART_ARC
(27,2),-4.4706 # DEPENDENCYPART_ARC
(27,3),-3.91679 # DEPENDENCYPART_ARC
(27,4),-4.4998 # DEPENDENCYPART_ARC
(27,5),-4.3644 # DEPENDENCYPART_ARC
(27,6),-3.43193 # DEPENDENCYPART_ARC
(27,7),-4.18376 # DEPENDENCYPART_ARC
(27,8),-1.34958 # DEPENDENCYPART_ARC
(27,9),-3.19412 # DEPENDENCYPART_ARC
(27,10),-2.86055 # DEPENDENCYPART_ARC
(27,11),-2.33697 # DEPENDENCYPART_ARC
(27,12),-3.40688 # DEPENDENCYPART_ARC
(27,13),-1.55944 # DEPENDENCYPART_ARC
(27,14),-3.841 # DEPENDENCYPART_ARC
(27,15),-1.08308 # DEPENDENCYPART_ARC
(27,16),-2.19593 # DEPENDENCYPART_ARC
(27,17),-2.84623 # DEPENDENCYPART_ARC
(27,18),-2.40284 # DEPENDENCYPART_ARC
(27,19),-2.66542 # DEPENDENCYPART_ARC
(27,20),-0.918038 # DEPENDENCYPART_ARC
(27,21),-2.15943 # DEPENDENCYPART_ARC
(27,22),-0.87532 # DEPENDENCYPART_ARC
(27,23),-1.93799 # DEPENDENCYPART_ARC
(27,24),0.0190851 # DEPENDENCYPART_ARC
(27,25),1.38036 # DEPENDENCYPART_ARC
(27,26),0.251548 # DEPENDENCYPART_ARC
(27,28),0.42162 # DEPENDENCYPART_ARC
(27,29),-0.491186 # DEPENDENCYPART_ARC
(27,30),-1.1723 # DEPENDENCYPART_ARC
(27,31),-1.44068 # DEPENDENCYPART_ARC
(27,32),-1.00282 # DEPENDENCYPART_ARC
(27,33),-2.95413 # DEPENDENCYPART_ARC
(27,34),-2.96448 # DEPENDENCYPART_ARC
(27,35),-1.62255 # DEPENDENCYPART_ARC
(27,36),-1.06813 # DEPENDENCYPART_ARC
(28,1),-5.35598 # DEPENDENCYPART_ARC
(28,2),-3.26051 # DEPENDENCYPART_ARC
(28,3),-5.24769 # DEPENDENCYPART_ARC
(28,4),-4.13249 # DEPENDENCYPART_ARC
(28,5),-2.64122 # DEPENDENCYPART_ARC
(28,6),-5.21652 # DEPENDENCYPART_ARC
(28,7),-3.20719 # DEPENDENCYPART_ARC
(28,8),-1.35771 # DEPENDENCYPART_ARC
(28,9),-2.99114 # DEPENDENCYPART_ARC
(28,10),-4.44147 # DEPENDENCYPART_ARC
(28,11),-3.51221 # DEPENDENCYPART_ARC
(28,12),-1.90525 # DEPENDENCYPART_ARC
(28,13),-1.93095 # DEPENDENCYPART_ARC
(28,14),-0.96322 # DEPENDENCYPART_ARC
(28,15),0.112919 # DEPENDENCYPART_ARC
(28,16),-3.34353 # DEPENDENCYPART_ARC
(28,17),-1.10196 # DEPENDENCYPART_ARC
(28,18),-2.00711 # DEPENDENCYPART_ARC
(28,19),-1.09892 # DEPENDENCYPART_ARC
(28,20),-1.80252 # DEPENDENCYPART_ARC
(28,21),-0.429632 # DEPENDENCYPART_ARC
(28,22),-2.17135 # DEPENDENCYPART_ARC
(28,23),-0.889155 # DEPENDENCYPART_ARC
(28,24),1.81372 # DEPENDENCYPART_ARC
(28,25),-0.566987 # DEPENDENCYPART_ARC
(28,26),0.902539 # DEPENDENCYPART_ARC
(28,27),-0.132677 # DEPENDENCYPART_ARC
(28,29),2.27738 # DEPENDENCYPART_ARC
(28,30),0.463141 # DEPENDENCYPART_ARC
(28,31),0.246861 # DEPENDENCYPART_ARC
(28,32),0.590315 # DEPENDENCYPART_ARC
(28,33),-1.84931 # DEPENDENCYPART_ARC
(28,34),-2.85141 # DEPENDENCYPART_ARC
(28,35),-0.291571 # DEPENDENCYPART_ARC
