# _root_ S' esperen precipitacions al litoral i al Prelitoral nord , així_com al Pirineu i Prepirineu_Oriental a_partir_de la tarda , i seran en forma de neu o calabruix a qualsevol cota i localment d' intensitat moderada .
#goldHeads=2,0,2,2,4,4,4,7,8,4,4,4,12,13,13,12,18,16,12,2,2,21,22,23,24,25,25,22,30,28,22,33,22,33,34,2,
#predictedHeads=2,0,2,2,4,4,4,7,8,2,12,4,12,13,13,2,18,16,2,2,2,21,22,23,24,25,25,21,30,28,21,33,30,33,34,2,
(14,12),-1.45984 # DEPENDENCYPART_ARC
(14,13),-1.50996 # DEPENDENCYPART_ARC
(14,15),-0.473881 # DEPENDENCYPART_ARC
(14,16),-2.18197 # DEPENDENCYPART_ARC
(14,17),-3.31959 # DEPENDENCYPART_ARC
(14,18),-2.66619 # DEPENDENCYPART_ARC
(14,19),-1.69014 # DEPENDENCYPART_ARC
(14,20),-1.72637 # DEPENDENCYPART_ARC
(14,21),-2.27502 # DEPENDENCYPART_ARC
(14,22),-3.17074 # DEPENDENCYPART_ARC
(14,23),-4.23397 # DEPENDENCYPART_ARC
(14,24),-3.7609 # DEPENDENCYPART_ARC
(14,25),-4.40674 # DEPENDENCYPART_ARC
(14,26),-2.39369 # DEPENDENCYPART_ARC
(14,27),-4.66558 # DEPENDENCYPART_ARC
(14,28),-3.37891 # DEPENDENCYPART_ARC
(14,29),-4.13428 # DEPENDENCYPART_ARC
(14,30),-5.21391 # DEPENDENCYPART_ARC
(14,31),-1.84613 # DEPENDENCYPART_ARC
(14,32),-3.69299 # DEPENDENCYPART_ARC
(14,33),-3.77099 # DEPENDENCYPART_ARC
(14,34),-5.33838 # DEPENDENCYPART_ARC
(14,35),-3.54231 # DEPENDENCYPART_ARC
(14,36),-2.48523 # DEPENDENCYPART_ARC
(15,1),-1.41695 # DEPENDENCYPART_ARC
(15,2),-1.23717 # DEPENDENCYPART_ARC
(15,3),-1.28853 # DEPENDENCYPART_ARC
(15,4),-1.54131 # DEPENDENCYPART_ARC
(15,5),-0.422639 # DEPENDENCYPART_ARC
(15,6),-0.384196 # DEPENDENCYPART_ARC
(15,7),-0.658571 # DEPENDENCYPART_ARC
(15,8),-0.514651 # DEPENDENCYPART_ARC
(15,9),-0.883924 # DEPENDENCYPART_ARC
(15,10),0.0555499 # DEPENDENCYPART_ARC
(15,11),0.191588 # DEPENDENCYPART_ARC
(15,12),0.518109 # DEPENDENCYPART_ARC
(15,13),1.10813 # DEPENDENCYPART_ARC
(15,14),1.89327 # DEPENDENCYPART_ARC
(15,16),-0.094826 # DEPENDENCYPART_ARC
(15,17),-1.14198 # DEPENDENCYPART_ARC
(15,18),0.26893 # DEPENDENCYPART_ARC
(15,19),-0.142955 # DEPENDENCYPART_ARC
(15,20),-0.23012 # DEPENDENCYPART_ARC
(15,21),-1.68992 # DEPENDENCYPART_ARC
(15,22),-2.02854 # DEPENDENCYPART_ARC
(15,23),-1.23922 # DEPENDENCYPART_ARC
(15,24),-1.89482 # DEPENDENCYPART_ARC
(15,25),-1.35258 # DEPENDENCYPART_ARC
(15,26),-0.582494 # DEPENDENCYPART_ARC
(15,27),-1.21618 # DEPENDENCYPART_ARC
(15,28),-2.35531 # DEPENDENCYPART_ARC
(15,29),-3.0754 # DEPENDENCYPART_ARC
(15,30),-1.83358 # DEPENDENCYPART_ARC
(15,31),-2.09213 # DEPENDENCYPART_ARC
(15,32),-2.10398 # DEPENDENCYPART_ARC
(15,33),-4.57566 # DEPENDENCYPART_ARC
(15,34),-2.90766 # DEPENDENCYPART_ARC
(15,35),-2.32138 # DEPENDENCYPART_ARC
(15,36),1.01833 # DEPENDENCYPART_ARC
(16,1),-1.55051 # DEPENDENCYPART_ARC
(16,2),-0.756262 # DEPENDENCYPART_ARC
(16,3),-2.23892 # DEPENDENCYPART_ARC
(16,4),-2.02062 # DEPENDENCYPART_ARC
(16,5),-1.91782 # DEPENDENCYPART_ARC
(16,6),-0.99791 # DEPENDENCYPART_ARC
(16,7),-1.87205 # DEPENDENCYPART_ARC
(16,8),-1.90356 # DEPENDENCYPART_ARC
(16,9),-1.08769 # DEPENDENCYPART_ARC
(16,10),-0.0460724 # DEPENDENCYPART_ARC
(16,11),-0.303422 # DEPENDENCYPART_ARC
(16,12),-0.870239 # DEPENDENCYPART_ARC
(16,13),-0.921029 # DEPENDENCYPART_ARC
(16,14),-0.0563605 # DEPENDENCYPART_ARC
(16,15),-0.168271 # DEPENDENCYPART_ARC
(16,17),0.163607 # DEPENDENCYPART_ARC
(16,18),4.8767 # DEPENDENCYPART_ARC
(16,19),0.995394 # DEPENDENCYPART_ARC
(16,20),0.435732 # DEPENDENCYPART_ARC
(16,21),-0.364899 # DEPENDENCYPART_ARC
(16,22),-0.750164 # DEPENDENCYPART_ARC
(16,23),-1.19137 # DEPENDENCYPART_ARC
(16,24),-0.510854 # DEPENDENCYPART_ARC
(16,25),-2.32393 # DEPENDENCYPART_ARC
(16,26),-0.0611763 # DEPENDENCYPART_ARC
(16,27),-4.41544 # DEPENDENCYPART_ARC
(16,28),-0.948998 # DEPENDENCYPART_ARC
(16,29),-1.73447 # DEPENDENCYPART_ARC
(16,30),-5.11562 # DEPENDENCYPART_ARC
(16,31),-0.369874 # DEPENDENCYPART_ARC
(16,32),-1.05419 # DEPENDENCYPART_ARC
(16,33),-1.23794 # DEPENDENCYPART_ARC
(16,34),-6.82422 # DEPENDENCYPART_ARC
(16,35),-2.17628 # DEPENDENCYPART_ARC
(16,36),1.08413 # DEPENDENCYPART_ARC
(17,1),-2.5361 # DEPENDENCYPART_ARC
(17,2),-3.27852 # DEPENDENCYPART_ARC
(17,3),-3.22325 # DEPENDENCYPART_ARC
(17,4),-2.35874 # DEPENDENCYPART_ARC
(17,5),-3.13105 # DEPENDENCYPART_ARC
(17,6),-2.28762 # DEPENDENCYPART_ARC
(17,7),-2.08043 # DEPENDENCYPART_ARC
(17,8),-2.61721 # DEPENDENCYPART_ARC
(17,9),-2.59223 # DEPENDENCYPART_ARC
(17,10),-2.04534 # DEPENDENCYPART_ARC
(17,11),-2.16954 # DEPENDENCYPART_ARC
(17,12),-1.00969 # DEPENDENCYPART_ARC
(17,13),-1.8803 # DEPENDENCYPART_ARC
(17,14),-1.53402 # DEPENDENCYPART_ARC
(17,15),-1.17708 # DEPENDENCYPART_ARC
(17,16),-0.278345 # DEPENDENCYPART_ARC
(17,18),0.840338 # DEPENDENCYPART_ARC
(17,19),-1.57412 # DEPENDENCYPART_ARC
(17,20),-1.43467 # DEPENDENCYPART_ARC
(17,21),-2.28016 # DEPENDENCYPART_ARC
(17,22),-2.40841 # DEPENDENCYPART_ARC
(17,23),-1.95582 # DEPENDENCYPART_ARC
(17,24),-2.35401 # DEPENDENCYPART_ARC
(17,25),-2.94709 # DEPENDENCYPART_ARC
(17,26),-3.13244 # DEPENDENCYPART_ARC
(17,27),-3.09179 # DEPENDENCYPART_ARC
(17,28),-4.78179 # DEPENDENCYPART_ARC
(17,29),-2.10898 # DEPENDENCYPART_ARC
(17,30),-3.46045 # DEPENDENCYPART_ARC
(17,31),-3.88454 # DEPENDENCYPART_ARC
(17,32),-2.89063 # DEPENDENCYPART_ARC
(17,33),-3.86147 # DEPENDENCYPART_ARC
(17,34),-3.96106 # DEPENDENCYPART_ARC
(17,35),-4.30714 # DEPENDENCYPART_ARC
(17,36),-3.9454 # DEPENDENCYPART_ARC
(18,1),-1.67547 # DEPENDENCYPART_ARC
(18,2),-1.85836 # DEPENDENCYPART_ARC
(18,3),-1.43627 # DEPENDENCYPART_ARC
(18,4),-2.77254 # DEPENDENCYPART_ARC
(18,5),-1.4254 # DEPENDENCYPART_ARC
(18,6),-0.979794 # DEPENDENCYPART_ARC
(18,7),-2.04445 # DEPENDENCYPART_ARC
(18,8),-1.10039 # DEPENDENCYPART_ARC
(18,9),-0.770041 # DEPENDENCYPART_ARC
(18,10),-0.3711 # DEPENDENCYPART_ARC
(18,11),-1.10739 # DEPENDENCYPART_ARC
(18,12),-1.51882 # DEPENDENCYPART_ARC
(18,13),-0.68724 # DEPENDENCYPART_ARC
(18,14),-0.460548 # DEPENDENCYPART_ARC
(18,15),-0.653878 # DEPENDENCYPART_ARC
(18,16),0.520639 # DEPENDENCYPART_ARC
(18,17),5.21635 # DEPENDENCYPART_ARC
(18,19),0.176215 # DEPENDENCYPART_ARC
(18,20),-0.573109 # DEPENDENCYPART_ARC
(18,21),-0.956821 # DEPENDENCYPART_ARC
(18,22),-2.07355 # DEPENDENCYPART_ARC
(18,23),-1.43352 # DEPENDENCYPART_ARC
(18,24),-1.21731 # DEPENDENCYPART_ARC
(18,25),-1.26822 # DEPENDENCYPART_ARC
(18,26),-1.12091 # DEPENDENCYPART_ARC
(18,27),-1.64013 # DEPENDENCYPART_ARC
(18,28),-2.23057 # DEPENDENCYPART_ARC
(18,29),-3.19553 # DEPENDENCYPART_ARC
(18,30),-1.5382 # DEPENDENCYPART_ARC
(18,31),-2.52831 # DEPENDENCYPART_ARC
(18,32),-2.61622 # DEPENDENCYPART_ARC
(18,33),-3.83624 # DEPENDENCYPART_ARC
(18,34),-3.16725 # DEPENDENCYPART_ARC
(18,35),-1.21726 # DEPENDENCYPART_ARC
(18,36),0.978397 # DEPENDENCYPART_ARC
(19,1),-2.87304 # DEPENDENCYPART_ARC
(19,2),-3.01118 # DEPENDENCYPART_ARC
(19,3),-3.1848 # DEPENDENCYPART_ARC
(19,4),-2.25708 # DEPENDENCYPART_ARC
(19,5),-3.10875 # DEPENDENCYPART_ARC
(19,6),-2.28244 # DEPENDENCYPART_ARC
(19,7),-2.36228 # DEPENDENCYPART_ARC
(19,8),-3.12415 # DEPENDENCYPART_ARC
(19,9),-2.22554 # DEPENDENCYPART_ARC
(19,10),-2.04876 # DEPENDENCYPART_ARC
(19,11),-2.62131 # DEPENDENCYPART_ARC
(19,12),-2.02537 # DEPENDENCYPART_ARC
(19,13),-2.77471 # DEPENDENCYPART_ARC
(19,14),-2.0463 # DEPENDENCYPART_ARC
(19,15),-2.65199 # DEPENDENCYPART_ARC
(19,16),-1.46673 # DEPENDENCYPART_ARC
(19,17),-1.08071 # DEPENDENCYPART_ARC
(19,18),-1.38789 # DEPENDENCYPART_ARC
(19,20),-0.287451 # DEPENDENCYPART_ARC
(19,21),-0.833275 # DEPENDENCYPART_ARC
(19,22),-1.41583 # DEPENDENCYPART_ARC
(19,23),-1.69719 # DEPENDENCYPART_ARC
(19,24),-1.74283 # DEPENDENCYPART_ARC
(19,25),-1.92806 # DEPENDENCYPART_ARC
(19,26),-0.911048 # DEPENDENCYPART_ARC
(19,27),-1.9397 # DEPENDENCYPART_ARC
(19,28),-1.67941 # DEPENDENCYPART_ARC
(19,29),-2.36742 # DEPENDENCYPART_ARC
(19,30),-2.00085 # DEPENDENCYPART_ARC
(19,31),-1.00917 # DEPENDENCYPART_ARC
(19,32),-1.81135 # DEPENDENCYPART_ARC
(19,33),-1.56494 # DEPENDENCYPART_ARC
(19,34),-2.01805 # DEPENDENCYPART_ARC
(19,35),-1.86011 # DEPENDENCYPART_ARC
(19,36),-1.38814 # DEPENDENCYPART_ARC
(20,1),-3.4859 # DEPENDENCYPART_ARC
(20,2),-3.78385 # DEPENDENCYPART_ARC
(20,3),-3.93483 # DEPENDENCYPART_ARC
(20,4),-3.07789 # DEPENDENCYPART_ARC
(20,5),-3.8355 # DEPENDENCYPART_ARC
(20,6),-2.89697 # DEPENDENCYPART_ARC
(20,7),-3.12543 # DEPENDENCYPART_ARC
(20,8),-3.91414 # DEPENDENCYPART_ARC
(20,9),-3.65437 # DEPENDENCYPART_ARC
(20,10),-3.29731 # DEPENDENCYPART_ARC
(20,11),-3.19522 # DEPENDENCYPART_ARC
(20,12),-2.71115 # DEPENDENCYPART_ARC
(20,13),-3.52676 # DEPENDENCYPART_ARC
(20,14),-2.66739 # DEPENDENCYPART_ARC
(20,15),-3.48017 # DEPENDENCYPART_ARC
(20,16),-2.20989 # DEPENDENCYPART_ARC
(20,17),-2.45992 # DEPENDENCYPART_ARC
(20,18),-2.55535 # DEPENDENCYPART_ARC
(20,19),-1.25738 # DEPENDENCYPART_ARC
(20,21),-0.885294 # DEPENDENCYPART_ARC
(20,22),-2.20801 # DEPENDENCYPART_ARC
(20,23),-2.83629 # DEPENDENCYPART_ARC
(20,24),-3.09328 # DEPENDENCYPART_ARC
(20,25),-3.22192 # DEPENDENCYPART_ARC
(20,26),-2.34281 # DEPENDENCYPART_ARC
(20,27),-4.21325 # DEPENDENCYPART_ARC
(20,28),-3.05741 # DEPENDENCYPART_ARC
(20,29),-4.36385 # DEPENDENCYPART_ARC
(20,30),-4.62367 # DEPENDENCYPART_ARC
(20,31),-2.09892 # DEPENDENCYPART_ARC
(20,32),-3.9252 # DEPENDENCYPART_ARC
(20,33),-3.66887 # DEPENDENCYPART_ARC
(20,34),-4.74425 # DEPENDENCYPART_ARC
(20,35),-3.74247 # DEPENDENCYPART_ARC
(20,36),-2.29452 # DEPENDENCYPART_ARC
(21,1),-1.56564 # DEPENDENCYPART_ARC
(21,2),-3.27573 # DEPENDENCYPART_ARC
(21,3),-1.3988 # DEPENDENCYPART_ARC
(21,4),-3.30693 # DEPENDENCYPART_ARC
(21,5),-2.43051 # DEPENDENCYPART_ARC
(21,6),-1.84789 # DEPENDENCYPART_ARC
(21,7),-1.7353 # DEPENDENCYPART_ARC
(21,8),-1.4779 # DEPENDENCYPART_ARC
(21,9),-2.11694 # DEPENDENCYPART_ARC
(21,10),-1.54483 # DEPENDENCYPART_ARC
(21,11),-2.30868 # DEPENDENCYPART_ARC
(21,12),-1.87006 # DEPENDENCYPART_ARC
(21,13),-1.03429 # DEPENDENCYPART_ARC
(21,14),-1.76252 # DEPENDENCYPART_ARC
(21,15),-0.730108 # DEPENDENCYPART_ARC
(21,16),-0.682966 # DEPENDENCYPART_ARC
(21,17),-1.48427 # DEPENDENCYPART_ARC
(21,18),-0.691086 # DEPENDENCYPART_ARC
(21,19),-0.216613 # DEPENDENCYPART_ARC
(21,20),0.827832 # DEPENDENCYPART_ARC
(21,22),3.49211 # DEPENDENCYPART_ARC
(21,23),2.142 # DEPENDENCYPART_ARC
(21,24),1.16392 # DEPENDENCYPART_ARC
(21,25),0.489265 # DEPENDENCYPART_ARC
(21,26),1.10874 # DEPENDENCYPART_ARC
(21,27),-0.0612812 # DEPENDENCYPART_ARC
(21,28),1.31151 # DEPENDENCYPART_ARC
(21,29),-1.5559 # DEPENDENCYPART_ARC
(21,30),0.414709 # DEPENDENCYPART_ARC
(21,31),2.5095 # DEPENDENCYPART_ARC
(21,32),-0.414207 # DEPENDENCYPART_ARC
(21,33),-0.956243 # DEPENDENCYPART_ARC
(21,34),-1.82098 # DEPENDENCYPART_ARC
(21,35),-0.705617 # DEPENDENCYPART_ARC
(21,36),4.99312 # DEPENDENCYPART_ARC
(22,1),-2.35861 # DEPENDENCYPART_ARC
(22,2),-2.32461 # DEPENDENCYPART_ARC
(22,3),-2.88392 # DEPENDENCYPART_ARC
(22,4),-3.30377 # DEPENDENCYPART_ARC
(22,5),-2.71594 # DEPENDENCYPART_ARC
(22,6),-1.51671 # DEPENDENCYPART_ARC
(22,7),-2.88683 # DEPENDENCYPART_ARC
(22,8),-2.68968 # DEPENDENCYPART_ARC
(22,9),-1.51759 # DEPENDENCYPART_ARC
(22,10),-1.40756 # DEPENDENCYPART_ARC
(22,11),-1.13093 # DEPENDENCYPART_ARC
(22,12),-2.21291 # DEPENDENCYPART_ARC
(22,13),-2.13859 # DEPENDENCYPART_ARC
(22,14),-1.3891 # DEPENDENCYPART_ARC
(22,15),-2.21218 # DEPENDENCYPART_ARC
(22,16),-1.45561 # DEPENDENCYPART_ARC
(22,17),-0.563182 # DEPENDENCYPART_ARC
(22,18),-1.51726 # DEPENDENCYPART_ARC
(22,19),-0.646117 # DEPENDENCYPART_ARC
(22,20),-0.214106 # DEPENDENCYPART_ARC
(22,21),0.465049 # DEPENDENCYPART_ARC
(22,23),5.53334 # DEPENDENCYPART_ARC
(22,24),0.729972 # DEPENDENCYPART_ARC
(22,25),1.95272 # DEPENDENCYPART_ARC
(22,26),0.795087 # DEPENDENCYPART_ARC
(22,27),-1.6168 # DEPENDENCYPART_ARC
(22,28),0.0190568 # DEPENDENCYPART_ARC
(22,29),-1.71442 # DEPENDENCYPART_ARC
(22,30),-3.84329 # DEPENDENCYPART_ARC
(22,31),0.519811 # DEPENDENCYPART_ARC
(22,32),-1.32587 # DEPENDENCYPART_ARC
(22,33),0.0167159 # DEPENDENCYPART_ARC
(22,34),-5.0628 # DEPENDENCYPART_ARC
(22,35),-2.1707 # DEPENDENCYPART_ARC
(22,36),1.12684 # DEPENDENCYPART_ARC
(23,1),-4.12891 # DEPENDENCYPART_ARC
(23,2),-4.10821 # DEPENDENCYPART_ARC
(23,3),-3.47187 # DEPENDENCYPART_ARC
(23,4),-5.61956 # DEPENDENCYPART_ARC
(23,5),-3.57029 # DEPENDENCYPART_ARC
(23,6),-2.53928 # DEPENDENCYPART_ARC
(23,7),-4.82308 # DEPENDENCYPART_ARC
(23,8),-3.23128 # DEPENDENCYPART_ARC
(23,9),-3.18049 # DEPENDENCYPART_ARC
(23,10),-3.07782 # DEPENDENCYPART_ARC
(23,11),-3.5211 # DEPENDENCYPART_ARC
(23,12),-4.19057 # DEPENDENCYPART_ARC
(23,13),-2.80885 # DEPENDENCYPART_ARC
(23,14),-2.57985 # DEPENDENCYPART_ARC
(23,15),-3.313 # DEPENDENCYPART_ARC
(23,16),-2.84303 # DEPENDENCYPART_ARC
(23,17),-2.14619 # DEPENDENCYPART_ARC
(23,18),-2.97944 # DEPENDENCYPART_ARC
(23,19),-2.66502 # DEPENDENCYPART_ARC
(23,20),-2.05313 # DEPENDENCYPART_ARC
(23,21),-2.29312 # DEPENDENCYPART_ARC
(23,22),-0.704839 # DEPENDENCYPART_ARC
(23,24),3.34411 # DEPENDENCYPART_ARC
(23,25),1.54902 # DEPENDENCYPART_ARC
(23,26),2.07843 # DEPENDENCYPART_ARC
(23,27),1.74243 # DEPENDENCYPART_ARC
(23,28),0.702221 # DEPENDENCYPART_ARC
(23,29),-1.28707 # DEPENDENCYPART_ARC
(23,30),1.08245 # DEPENDENCYPART_ARC
(23,31),-0.132712 # DEPENDENCYPART_ARC
(23,32),-0.694257 # DEPENDENCYPART_ARC
(23,33),-0.753841 # DEPENDENCYPART_ARC
(23,34),0.0820561 # DEPENDENCYPART_ARC
(23,35),1.57061 # DEPENDENCYPART_ARC
(23,36),2.34578 # DEPENDENCYPART_ARC
(24,1),-1.82867 # DEPENDENCYPART_ARC
(24,2),-1.97989 # DEPENDENCYPART_ARC
(24,3),-2.763 # DEPENDENCYPART_ARC
(24,4),-2.55921 # DEPENDENCYPART_ARC
(24,5),-2.28376 # DEPENDENCYPART_ARC
(24,6),-1.28718 # DEPENDENCYPART_ARC
(24,7),-2.32197 # DEPENDENCYPART_ARC
(24,8),-2.21704 # DEPENDENCYPART_ARC
(24,9),-1.43968 # DEPENDENCYPART_ARC
(24,10),-1.70336 # DEPENDENCYPART_ARC
(24,11),-1.07115 # DEPENDENCYPART_ARC
(24,12),-1.58699 # DEPENDENCYPART_ARC
(24,13),-1.70126 # DEPENDENCYPART_ARC
(24,14),-1.1158 # DEPENDENCYPART_ARC
(24,15),-1.94699 # DEPENDENCYPART_ARC
(24,16),-1.20684 # DEPENDENCYPART_ARC
(24,17),-0.598264 # DEPENDENCYPART_ARC
(24,18),-1.37898 # DEPENDENCYPART_ARC
(24,19),-1.08563 # DEPENDENCYPART_ARC
(24,20),-0.525514 # DEPENDENCYPART_ARC
(24,21),-0.0796993 # DEPENDENCYPART_ARC
(24,22),0.361415 # DEPENDENCYPART_ARC
(24,23),1.1483 # DEPENDENCYPART_ARC
(24,25),4.38413 # DEPENDENCYPART_ARC
(24,26),0.423447 # DEPENDENCYPART_ARC
(24,27),-0.24054 # DEPENDENCYPART_ARC
(24,28),-1.16921 # DEPENDENCYPART_ARC
(24,29),-1.4841 # DEPENDENCYPART_ARC
(24,30),-1.93577 # DEPENDENCYPART_ARC
(24,31),0.072305 # DEPENDENCYPART_ARC
(24,32),-1.43049 # DEPENDENCYPART_ARC
(24,33),-0.145206 # DEPENDENCYPART_ARC
(24,34),-3.29248 # DEPENDENCYPART_ARC
(24,35),-1.83862 # DEPENDENCYPART_ARC
(24,36),0.422122 # DEPENDENCYPART_ARC
(25,1),-2.48215 # DEPENDENCYPART_ARC
(25,2),-2.38824 # DEPENDENCYPART_ARC
(25,3),-2.13753 # DEPENDENCYPART_ARC
(25,4),-3.82753 # DEPENDENCYPART_ARC
(25,5),-2.01572 # DEPENDENCYPART_ARC
(25,6),-0.771024 # DEPENDENCYPART_ARC
(25,7),-3.19169 # DEPENDENCYPART_ARC
(25,8),-1.72419 # DEPENDENCYPART_ARC
(25,9),-1.37106 # DEPENDENCYPART_ARC
(25,10),-1.93153 # DEPENDENCYPART_ARC
(25,11),-2.1361 # DEPENDENCYPART_ARC
(25,12),-2.50179 # DEPENDENCYPART_ARC
(25,13),-1.46403 # DEPENDENCYPART_ARC
(25,14),-0.842319 # DEPENDENCYPART_ARC
(25,15),-1.68934 # DEPENDENCYPART_ARC
(25,16),-1.15734 # DEPENDENCYPART_ARC
(25,17),-1.10465 # DEPENDENCYPART_ARC
(25,18),-1.47669 # DEPENDENCYPART_ARC
(25,19),-1.78997 # DEPENDENCYPART_ARC
(25,20),-0.641208 # DEPENDENCYPART_ARC
(25,21),-1.53475 # DEPENDENCYPART_ARC
(25,22),-0.19299 # DEPENDENCYPART_ARC
(25,23),1.01287 # DEPENDENCYPART_ARC
(25,24),1.64318 # DEPENDENCYPART_ARC
(25,26),3.41048 # DEPENDENCYPART_ARC
(25,27),2.60061 # DEPENDENCYPART_ARC
(25,28),1.18387 # DEPENDENCYPART_ARC
(25,29),-0.814042 # DEPENDENCYPART_ARC
(25,30),1.38317 # DEPENDENCYPART_ARC
(25,31),0.186875 # DEPENDENCYPART_ARC
(25,32),-0.425054 # DEPENDENCYPART_ARC
(25,33),0.0789021 # DEPENDENCYPART_ARC
(25,34),0.468406 # DEPENDENCYPART_ARC
(25,35),2.22727 # DEPENDENCYPART_ARC
(25,36),1.36875 # DEPENDENCYPART_ARC
(26,1),-3.2027 # DEPENDENCYPART_ARC
(26,2),-3.53909 # DEPENDENCYPART_ARC
(26,3),-3.87618 # DEPENDENCYPART_ARC
(26,4),-3.09857 # DEPENDENCYPART_ARC
(26,5),-3.88969 # DEPENDENCYPART_ARC
(26,6),-2.39881 # DEPENDENCYPART_ARC
(26,7),-2.77378 # DEPENDENCYPART_ARC
(26,8),-3.53388 # DEPENDENCYPART_ARC
(26,9),-3.0934 # DEPENDENCYPART_ARC
(26,10),-2.54349 # DEPENDENCYPART_ARC
(26,11),-2.63253 # DEPENDENCYPART_ARC
(26,12),-2.55019 # DEPENDENCYPART_ARC
(26,13),-3.32503 # DEPENDENCYPART_ARC
(26,14),-2.42536 # DEPENDENCYPART_ARC
(26,15),-3.37356 # DEPENDENCYPART_ARC
(26,16),-2.36621 # DEPENDENCYPART_ARC
(26,17),-3.09702 # DEPENDENCYPART_ARC
(26,18),-3.10811 # DEPENDENCYPART_ARC
(26,19),-1.88921 # DEPENDENCYPART_ARC
(26,20),-2.28212 # DEPENDENCYPART_ARC
(26,21),-2.67437 # DEPENDENCYPART_ARC
(26,22),-1.51804 # DEPENDENCYPART_ARC
(26,23),-2.28045 # DEPENDENCYPART_ARC
(26,24),-0.965376 # DEPENDENCYPART_ARC
(26,25),-0.981447 # DEPENDENCYPART_ARC
(26,27),0.254348 # DEPENDENCYPART_ARC
(26,28),-1.39339 # DEPENDENCYPART_ARC
(26,29),-2.63042 # DEPENDENCYPART_ARC
(26,30),-1.96067 # DEPENDENCYPART_ARC
(26,31),-0.596383 # DEPENDENCYPART_ARC
(26,32),-2.51525 # DEPENDENCYPART_ARC
(26,33),-2.0444 # DEPENDENCYPART_ARC
(26,34),-2.77115 # DEPENDENCYPART_ARC
(26,35),-2.26005 # DEPENDENCYPART_ARC
(26,36),-1.32867 # DEPENDENCYPART_ARC
(27,1),-2.84807 # DEPENDENCYPART_ARC
(27,2),-3.21161 # DEPENDENCYPART_ARC
(27,3),-3.43581 # DEPENDENCYPART_ARC
(27,4),-4.45401 # DEPENDENCYPART_ARC
(27,5),-2.31086 # DEPENDENCYPART_ARC
(27,6),-1.14068 # DEPENDENCYPART_ARC
(27,7),-3.35375 # DEPENDENCYPART_ARC
(27,8),-1.94781 # DEPENDENCYPART_ARC
(27,9),-1.91957 # DEPENDENCYPART_ARC
(27,10),-1.80192 # DEPENDENCYPART_ARC
(27,11),-2.53526 # DEPENDENCYPART_ARC
(27,12),-2.71016 # DEPENDENCYPART_ARC
(27,13),-1.61935 # DEPENDENCYPART_ARC
(27,14),-0.805031 # DEPENDENCYPART_ARC
(27,15),-1.88263 # DEPENDENCYPART_ARC
(27,16),-1.35738 # DEPENDENCYPART_ARC
(27,17),-2.09371 # DEPENDENCYPART_ARC
(27,18),-2.14728 # DEPENDENCYPART_ARC
(27,19),-1.21237 # DEPENDENCYPART_ARC
(27,20),-1.06626 # DEPENDENCYPART_ARC
(27,21),-1.69576 # DEPENDENCYPART_ARC
(27,22),-0.619755 # DEPENDENCYPART_ARC
(27,23),-0.450754 # DEPENDENCYPART_ARC
(27,24),0.0311809 # DEPENDENCYPART_ARC
(27,25),0.69505 # DEPENDENCYPART_ARC
(27,26),1.54478 # DEPENDENCYPART_ARC
(27,28),0.816718 # DEPENDENCYPART_ARC
(27,29),-1.00339 # DEPENDENCYPART_ARC
(27,30),0.255486 # DEPENDENCYPART_ARC
(27,31),0.26631 # DEPENDENCYPART_ARC
(27,32),-0.886283 # DEPENDENCYPART_ARC
(27,33),-0.253896 # DEPENDENCYPART_ARC
(27,34),-0.218992 # DEPENDENCYPART_ARC
(27,35),-0.892118 # DEPENDENCYPART_ARC
(27,36),1.05259 # DEPENDENCYPART_ARC
(28,1),-2.46259 # DEPENDENCYPART_ARC
(28,2),-0.816726 # DEPENDENCYPART_ARC
(28,3),-3.60965 # DEPENDENCYPART_ARC
(28,4),-4.90908 # DEPENDENCYPART_ARC
(28,5),-3.20207 # DEPENDENCYPART_ARC
(28,6),-1.41888 # DEPENDENCYPART_ARC
(28,7),-4.38417 # DEPENDENCYPART_ARC
(28,8),-2.92542 # DEPENDENCYPART_ARC
(28,9),-1.78933 # DEPENDENCYPART_ARC
(28,10),-2.03868 # DEPENDENCYPART_ARC
(28,11),-1.501 # DEPENDENCYPART_ARC
(28,12),-3.53256 # DEPENDENCYPART_ARC
(28,13),-2.44192 # DEPENDENCYPART_ARC
(28,14),-1.1208 # DEPENDENCYPART_ARC
(28,15),-2.63257 # DEPENDENCYPART_ARC
(28,16),-2.26784 # DEPENDENCYPART_ARC
(28,17),-1.61062 # DEPENDENCYPART_ARC
(28,18),-2.12112 # DEPENDENCYPART_ARC
(28,19),-1.70531 # DEPENDENCYPART_ARC
(28,20),-0.820896 # DEPENDENCYPART_ARC
(28,21),-0.231262 # DEPENDENCYPART_ARC
(28,22),-1.29655 # DEPENDENCYPART_ARC
(28,23),-1.26167 # DEPENDENCYPART_ARC
(28,24),-0.818695 # DEPENDENCYPART_ARC
(28,25),-0.548177 # DEPENDENCYPART_ARC
(28,26),0.197392 # DEPENDENCYPART_ARC
(28,27),-0.00673631 # DEPENDENCYPART_ARC
(28,29),0.645268 # DEPENDENCYPART_ARC
(28,30),4.42439 # DEPENDENCYPART_ARC
(28,31),0.99953 # DEPENDENCYPART_ARC
(28,32),-0.169791 # DEPENDENCYPART_ARC
(28,33),0.123137 # DEPENDENCYPART_ARC
