# _root_ La construcció d' un edifici de Presidència a les cases Moxó i Morell , de les quals només es conservaran les façanes , haurà de respectar in_situ les restes .
#goldHeads=2,26,2,5,3,5,6,2,10,8,10,11,11,20,22,17,15,20,20,10,22,20,20,26,26,0,26,29,26,26,
#predictedHeads=2,26,2,5,3,5,6,2,10,8,10,11,11,20,5,17,15,20,20,26,22,20,20,26,26,0,26,29,26,26,
(17,14),0.631336 # DEPENDENCYPART_ARC
(17,15),1.36519 # DEPENDENCYPART_ARC
(17,16),5.38125 # DEPENDENCYPART_ARC
(17,18),0.476378 # DEPENDENCYPART_ARC
(17,19),-0.439899 # DEPENDENCYPART_ARC
(17,20),1.45314 # DEPENDENCYPART_ARC
(17,21),-1.39418 # DEPENDENCYPART_ARC
(17,22),-0.349519 # DEPENDENCYPART_ARC
(17,23),-0.35858 # DEPENDENCYPART_ARC
(17,24),-1.25851 # DEPENDENCYPART_ARC
(17,25),-1.33904 # DEPENDENCYPART_ARC
(17,26),-1.5813 # DEPENDENCYPART_ARC
(17,27),-2.05805 # DEPENDENCYPART_ARC
(17,28),-2.34733 # DEPENDENCYPART_ARC
(17,29),-1.34974 # DEPENDENCYPART_ARC
(17,30),-0.0598909 # DEPENDENCYPART_ARC
(18,1),-2.51736 # DEPENDENCYPART_ARC
(18,2),-2.84633 # DEPENDENCYPART_ARC
(18,3),-1.41893 # DEPENDENCYPART_ARC
(18,4),-2.1791 # DEPENDENCYPART_ARC
(18,5),-2.57849 # DEPENDENCYPART_ARC
(18,6),-1.615 # DEPENDENCYPART_ARC
(18,7),-2.45298 # DEPENDENCYPART_ARC
(18,8),-0.813371 # DEPENDENCYPART_ARC
(18,9),-1.97976 # DEPENDENCYPART_ARC
(18,10),-1.84101 # DEPENDENCYPART_ARC
(18,11),-1.6714 # DEPENDENCYPART_ARC
(18,12),-1.1902 # DEPENDENCYPART_ARC
(18,13),-1.84284 # DEPENDENCYPART_ARC
(18,14),-0.686444 # DEPENDENCYPART_ARC
(18,15),-0.543059 # DEPENDENCYPART_ARC
(18,16),-0.0417683 # DEPENDENCYPART_ARC
(18,17),0.265132 # DEPENDENCYPART_ARC
(18,19),-0.9387 # DEPENDENCYPART_ARC
(18,20),-1.04918 # DEPENDENCYPART_ARC
(18,21),-2.86676 # DEPENDENCYPART_ARC
(18,22),-2.73355 # DEPENDENCYPART_ARC
(18,23),-2.33879 # DEPENDENCYPART_ARC
(18,24),-2.4863 # DEPENDENCYPART_ARC
(18,25),-4.02184 # DEPENDENCYPART_ARC
(18,26),-3.22026 # DEPENDENCYPART_ARC
(18,27),-3.3061 # DEPENDENCYPART_ARC
(18,28),-3.62639 # DEPENDENCYPART_ARC
(18,29),-3.7157 # DEPENDENCYPART_ARC
(18,30),-2.21287 # DEPENDENCYPART_ARC
(19,1),-4.19114 # DEPENDENCYPART_ARC
(19,2),-2.93914 # DEPENDENCYPART_ARC
(19,3),-1.37577 # DEPENDENCYPART_ARC
(19,4),-3.13492 # DEPENDENCYPART_ARC
(19,5),-2.8575 # DEPENDENCYPART_ARC
(19,6),-1.68635 # DEPENDENCYPART_ARC
(19,7),-2.68488 # DEPENDENCYPART_ARC
(19,8),-1.42899 # DEPENDENCYPART_ARC
(19,9),-2.1936 # DEPENDENCYPART_ARC
(19,10),-2.51177 # DEPENDENCYPART_ARC
(19,11),-2.3449 # DEPENDENCYPART_ARC
(19,12),-1.42521 # DEPENDENCYPART_ARC
(19,13),-2.40078 # DEPENDENCYPART_ARC
(19,14),-1.28791 # DEPENDENCYPART_ARC
(19,15),-0.718354 # DEPENDENCYPART_ARC
(19,16),-0.204273 # DEPENDENCYPART_ARC
(19,17),-0.808637 # DEPENDENCYPART_ARC
(19,18),0.138577 # DEPENDENCYPART_ARC
(19,20),0.739394 # DEPENDENCYPART_ARC
(19,21),-0.92994 # DEPENDENCYPART_ARC
(19,22),-0.00327389 # DEPENDENCYPART_ARC
(19,23),-0.385507 # DEPENDENCYPART_ARC
(19,24),-0.963182 # DEPENDENCYPART_ARC
(19,25),-1.32415 # DEPENDENCYPART_ARC
(19,26),-2.05134 # DEPENDENCYPART_ARC
(19,27),-1.81834 # DEPENDENCYPART_ARC
(19,28),-2.24186 # DEPENDENCYPART_ARC
(19,29),-1.04291 # DEPENDENCYPART_ARC
(19,30),-0.281778 # DEPENDENCYPART_ARC
(20,1),-1.38795 # DEPENDENCYPART_ARC
(20,2),0.447162 # DEPENDENCYPART_ARC
(20,3),-0.68468 # DEPENDENCYPART_ARC
(20,4),-2.21133 # DEPENDENCYPART_ARC
(20,5),-0.0194131 # DEPENDENCYPART_ARC
(20,6),-2.08568 # DEPENDENCYPART_ARC
(20,7),-0.26258 # DEPENDENCYPART_ARC
(20,8),0.545611 # DEPENDENCYPART_ARC
(20,9),-0.342615 # DEPENDENCYPART_ARC
(20,10),1.43847 # DEPENDENCYPART_ARC
(20,11),-0.188821 # DEPENDENCYPART_ARC
(20,12),0.355124 # DEPENDENCYPART_ARC
(20,13),-0.0967262 # DEPENDENCYPART_ARC
(20,14),3.16523 # DEPENDENCYPART_ARC
(20,15),1.91328 # DEPENDENCYPART_ARC
(20,16),2.16221 # DEPENDENCYPART_ARC
(20,17),1.87012 # DEPENDENCYPART_ARC
(20,18),3.43543 # DEPENDENCYPART_ARC
(20,19),5.50067 # DEPENDENCYPART_ARC
(20,21),-0.524702 # DEPENDENCYPART_ARC
(20,22),4.38118 # DEPENDENCYPART_ARC
(20,23),2.16682 # DEPENDENCYPART_ARC
(20,24),2.03241 # DEPENDENCYPART_ARC
(20,25),0.37586 # DEPENDENCYPART_ARC
(20,26),0.493792 # DEPENDENCYPART_ARC
(20,27),-0.0774515 # DEPENDENCYPART_ARC
(20,28),-2.82841 # DEPENDENCYPART_ARC
(20,29),1.36714 # DEPENDENCYPART_ARC
(20,30),2.63741 # DEPENDENCYPART_ARC
(21,1),-4.1442 # DEPENDENCYPART_ARC
(21,2),-4.35782 # DEPENDENCYPART_ARC
(21,3),-3.62831 # DEPENDENCYPART_ARC
(21,4),-3.23408 # DEPENDENCYPART_ARC
(21,5),-4.20437 # DEPENDENCYPART_ARC
(21,6),-3.81207 # DEPENDENCYPART_ARC
(21,7),-3.74898 # DEPENDENCYPART_ARC
(21,8),-3.58302 # DEPENDENCYPART_ARC
(21,9),-2.27307 # DEPENDENCYPART_ARC
(21,10),-3.21481 # DEPENDENCYPART_ARC
(21,11),-3.31678 # DEPENDENCYPART_ARC
(21,12),-2.76563 # DEPENDENCYPART_ARC
(21,13),-3.33295 # DEPENDENCYPART_ARC
(21,14),-2.78177 # DEPENDENCYPART_ARC
(21,15),-2.91883 # DEPENDENCYPART_ARC
(21,16),-0.762323 # DEPENDENCYPART_ARC
(21,17),-2.94597 # DEPENDENCYPART_ARC
(21,18),-1.97552 # DEPENDENCYPART_ARC
(21,19),-1.48514 # DEPENDENCYPART_ARC
(21,20),-0.382571 # DEPENDENCYPART_ARC
(21,22),0.699607 # DEPENDENCYPART_ARC
(21,23),-0.804396 # DEPENDENCYPART_ARC
(21,24),-1.72079 # DEPENDENCYPART_ARC
(21,25),-1.91737 # DEPENDENCYPART_ARC
(21,26),-1.59325 # DEPENDENCYPART_ARC
(21,27),-2.12775 # DEPENDENCYPART_ARC
(21,28),-1.60925 # DEPENDENCYPART_ARC
(21,29),-3.06184 # DEPENDENCYPART_ARC
(21,30),-2.32641 # DEPENDENCYPART_ARC
(22,1),-4.49468 # DEPENDENCYPART_ARC
(22,2),-2.71658 # DEPENDENCYPART_ARC
(22,3),-1.07503 # DEPENDENCYPART_ARC
(22,4),-3.03753 # DEPENDENCYPART_ARC
(22,5),-2.7999 # DEPENDENCYPART_ARC
(22,6),-1.2751 # DEPENDENCYPART_ARC
(22,7),-1.41157 # DEPENDENCYPART_ARC
(22,8),-1.17815 # DEPENDENCYPART_ARC
(22,9),-1.64268 # DEPENDENCYPART_ARC
(22,10),-1.22796 # DEPENDENCYPART_ARC
(22,11),-1.80358 # DEPENDENCYPART_ARC
(22,12),-0.693276 # DEPENDENCYPART_ARC
(22,13),-1.68343 # DEPENDENCYPART_ARC
(22,14),-0.653794 # DEPENDENCYPART_ARC
(22,15),0.345503 # DEPENDENCYPART_ARC
(22,16),-0.0148877 # DEPENDENCYPART_ARC
(22,17),-0.932966 # DEPENDENCYPART_ARC
(22,18),0.743701 # DEPENDENCYPART_ARC
(22,19),0.480908 # DEPENDENCYPART_ARC
(22,20),1.53379 # DEPENDENCYPART_ARC
(22,21),5.49506 # DEPENDENCYPART_ARC
(22,23),0.469364 # DEPENDENCYPART_ARC
(22,24),0.461362 # DEPENDENCYPART_ARC
(22,25),-0.287271 # DEPENDENCYPART_ARC
(22,26),-0.26071 # DEPENDENCYPART_ARC
(22,27),-1.0471 # DEPENDENCYPART_ARC
(22,28),-1.79187 # DEPENDENCYPART_ARC
(22,29),0.184951 # DEPENDENCYPART_ARC
(22,30),0.295577 # DEPENDENCYPART_ARC
(23,1),-3.90389 # DEPENDENCYPART_ARC
(23,2),-4.35146 # DEPENDENCYPART_ARC
(23,3),-3.24026 # DEPENDENCYPART_ARC
(23,4),-3.77124 # DEPENDENCYPART_ARC
(23,5),-4.10941 # DEPENDENCYPART_ARC
(23,6),-3.36021 # DEPENDENCYPART_ARC
(23,7),-3.90616 # DEPENDENCYPART_ARC
(23,8),-3.02532 # DEPENDENCYPART_ARC
(23,9),-3.66867 # DEPENDENCYPART_ARC
(23,10),-3.84697 # DEPENDENCYPART_ARC
(23,11),-3.70432 # DEPENDENCYPART_ARC
(23,12),-2.9318 # DEPENDENCYPART_ARC
(23,13),-3.78512 # DEPENDENCYPART_ARC
(23,14),-2.90132 # DEPENDENCYPART_ARC
(23,15),-2.89649 # DEPENDENCYPART_ARC
(23,16),-3.42924 # DEPENDENCYPART_ARC
(23,17),-3.03627 # DEPENDENCYPART_ARC
(23,18),-2.98322 # DEPENDENCYPART_ARC
(23,19),-2.63523 # DEPENDENCYPART_ARC
(23,20),-2.61395 # DEPENDENCYPART_ARC
(23,21),-1.42519 # DEPENDENCYPART_ARC
(23,22),-1.67914 # DEPENDENCYPART_ARC
(23,24),-0.990708 # DEPENDENCYPART_ARC
(23,25),-2.36651 # DEPENDENCYPART_ARC
(23,26),-2.02334 # DEPENDENCYPART_ARC
(23,27),-2.68315 # DEPENDENCYPART_ARC
(23,28),-3.15791 # DEPENDENCYPART_ARC
(23,29),-2.6827 # DEPENDENCYPART_ARC
(23,30),-1.94454 # DEPENDENCYPART_ARC
(24,1),-3.64148 # DEPENDENCYPART_ARC
(24,2),-2.03385 # DEPENDENCYPART_ARC
(24,3),-3.63947 # DEPENDENCYPART_ARC
(24,4),-4.48669 # DEPENDENCYPART_ARC
(24,5),-2.13737 # DEPENDENCYPART_ARC
(24,6),-4.9312 # DEPENDENCYPART_ARC
(24,7),-3.12543 # DEPENDENCYPART_ARC
(24,8),-2.44527 # DEPENDENCYPART_ARC
(24,9),-3.39898 # DEPENDENCYPART_ARC
(24,10),-2.44659 # DEPENDENCYPART_ARC
(24,11),-2.37592 # DEPENDENCYPART_ARC
(24,12),-1.59005 # DEPENDENCYPART_ARC
(24,13),-1.81584 # DEPENDENCYPART_ARC
(24,14),-0.664834 # DEPENDENCYPART_ARC
(24,15),-1.36055 # DEPENDENCYPART_ARC
(24,16),-1.71926 # DEPENDENCYPART_ARC
(24,17),-2.05788 # DEPENDENCYPART_ARC
(24,18),-0.356243 # DEPENDENCYPART_ARC
(24,19),0.784073 # DEPENDENCYPART_ARC
(24,20),-1.51373 # DEPENDENCYPART_ARC
(24,21),-1.09375 # DEPENDENCYPART_ARC
(24,22),-0.162233 # DEPENDENCYPART_ARC
(24,23),-0.457695 # DEPENDENCYPART_ARC
(24,25),0.862859 # DEPENDENCYPART_ARC
(24,26),0.264543 # DEPENDENCYPART_ARC
(24,27),-0.554467 # DEPENDENCYPART_ARC
(24,28),-3.9281 # DEPENDENCYPART_ARC
(24,29),1.19969 # DEPENDENCYPART_ARC
(24,30),2.03693 # DEPENDENCYPART_ARC
(25,1),-3.16633 # DEPENDENCYPART_ARC
(25,2),-3.70046 # DEPENDENCYPART_ARC
(25,3),-3.68718 # DEPENDENCYPART_ARC
(25,4),-3.26827 # DEPENDENCYPART_ARC
(25,5),-3.55236 # DEPENDENCYPART_ARC
(25,6),-3.6318 # DEPENDENCYPART_ARC
(25,7),-3.47256 # DEPENDENCYPART_ARC
(25,8),-3.62457 # DEPENDENCYPART_ARC
(25,9),-2.1584 # DEPENDENCYPART_ARC
(25,10),-3.02561 # DEPENDENCYPART_ARC
(25,11),-3.20551 # DEPENDENCYPART_ARC
(25,12),-2.33555 # DEPENDENCYPART_ARC
(25,13),-3.43409 # DEPENDENCYPART_ARC
(25,14),-2.21917 # DEPENDENCYPART_ARC
(25,15),-2.49175 # DEPENDENCYPART_ARC
(25,16),-1.59389 # DEPENDENCYPART_ARC
(25,17),-2.57193 # DEPENDENCYPART_ARC
(25,18),-1.81123 # DEPENDENCYPART_ARC
(25,19),-1.99247 # DEPENDENCYPART_ARC
(25,20),-2.02631 # DEPENDENCYPART_ARC
(25,21),-0.665339 # DEPENDENCYPART_ARC
(25,22),-1.97876 # DEPENDENCYPART_ARC
(25,23),-0.640837 # DEPENDENCYPART_ARC
(25,24),0.25949 # DEPENDENCYPART_ARC
(25,26),2.91873 # DEPENDENCYPART_ARC
(25,27),0.71053 # DEPENDENCYPART_ARC
(25,28),-1.67365 # DEPENDENCYPART_ARC
(25,29),1.27051 # DEPENDENCYPART_ARC
(25,30),-0.0885014 # DEPENDENCYPART_ARC
(26,1),-0.9256 # DEPENDENCYPART_ARC
(26,2),0.505133 # DEPENDENCYPART_ARC
(26,3),-1.7671 # DEPENDENCYPART_ARC
(26,4),-1.6354 # DEPENDENCYPART_ARC
(26,5),-0.115909 # DEPENDENCYPART_ARC
(26,6),-2.91814 # DEPENDENCYPART_ARC
(26,7),-0.0592992 # DEPENDENCYPART_ARC
(26,8),-0.524778 # DEPENDENCYPART_ARC
(26,9),-0.323089 # DEPENDENCYPART_ARC
(26,10),0.987799 # DEPENDENCYPART_ARC
(26,11),0.185055 # DEPENDENCYPART_ARC
(26,12),-0.0701296 # DEPENDENCYPART_ARC
(26,13),0.0929208 # DEPENDENCYPART_ARC
(26,14),1.24382 # DEPENDENCYPART_ARC
(26,15),0.463394 # DEPENDENCYPART_ARC
(26,16),1.09976 # DEPENDENCYPART_ARC
(26,17),0.730406 # DEPENDENCYPART_ARC
(26,18),1.75652 # DEPENDENCYPART_ARC
(26,19),3.13982 # DEPENDENCYPART_ARC
(26,20),2.86777 # DEPENDENCYPART_ARC
(26,21),1.55684 # DEPENDENCYPART_ARC
(26,22),2.31345 # DEPENDENCYPART_ARC
(26,23),1.03982 # DEPENDENCYPART_ARC
(26,24),5.69399 # DEPENDENCYPART_ARC
(26,25),4.61476 # DEPENDENCYPART_ARC
(26,27),3.01727 # DEPENDENCYPART_ARC
(26,28),0.079225 # DEPENDENCYPART_ARC
(26,29),3.75266 # DEPENDENCYPART_ARC
(26,30),2.83467 # DEPENDENCYPART_ARC
(27,1),-3.53354 # DEPENDENCYPART_ARC
(27,2),-4.42172 # DEPENDENCYPART_ARC
(27,3),-2.89512 # DEPENDENCYPART_ARC
(27,4),-3.01666 # DEPENDENCYPART_ARC
(27,5),-4.05844 # DEPENDENCYPART_ARC
(27,6),-3.30019 # DEPENDENCYPART_ARC
(27,7),-3.6729 # DEPENDENCYPART_ARC
(27,8),-2.26447 # DEPENDENCYPART_ARC
(27,9),-2.95332 # DEPENDENCYPART_ARC
(27,10),-3.37593 # DEPENDENCYPART_ARC
(27,11),-3.19871 # DEPENDENCYPART_ARC
(27,12),-2.19421 # DEPENDENCYPART_ARC
(27,13),-3.42899 # DEPENDENCYPART_ARC
(27,14),-2.51263 # DEPENDENCYPART_ARC
(27,15),-2.73871 # DEPENDENCYPART_ARC
(27,16),-2.76099 # DEPENDENCYPART_ARC
(27,17),-2.39438 # DEPENDENCYPART_ARC
(27,18),-2.03559 # DEPENDENCYPART_ARC
(27,19),-2.30099 # DEPENDENCYPART_ARC
(27,20),-2.25085 # DEPENDENCYPART_ARC
(27,21),-2.20563 # DEPENDENCYPART_ARC
(27,22),-2.36212 # DEPENDENCYPART_ARC
(27,23),-1.32249 # DEPENDENCYPART_ARC
(27,24),-1.47024 # DEPENDENCYPART_ARC
(27,25),-0.863066 # DEPENDENCYPART_ARC
(27,26),0.712463 # DEPENDENCYPART_ARC
(27,28),1.15987 # DEPENDENCYPART_ARC
(27,29),1.04398 # DEPENDENCYPART_ARC
(27,30),-0.378062 # DEPENDENCYPART_ARC
(28,1),-4.42605 # DEPENDENCYPART_ARC
(28,2),-4.44248 # DEPENDENCYPART_ARC
(28,3),-3.68807 # DEPENDENCYPART_ARC
(28,4),-3.44313 # DEPENDENCYPART_ARC
(28,5),-4.18629 # DEPENDENCYPART_ARC
(28,6),-3.94445 # DEPENDENCYPART_ARC
(28,7),-3.7618 # DEPENDENCYPART_ARC
(28,8),-3.49697 # DEPENDENCYPART_ARC
(28,9),-2.36768 # DEPENDENCYPART_ARC
(28,10),-3.10239 # DEPENDENCYPART_ARC
(28,11),-3.33281 # DEPENDENCYPART_ARC
(28,12),-2.41676 # DEPENDENCYPART_ARC
(28,13),-3.33599 # DEPENDENCYPART_ARC
(28,14),-2.66196 # DEPENDENCYPART_ARC
(28,15),-3.17271 # DEPENDENCYPART_ARC
(28,16),-1.71318 # DEPENDENCYPART_ARC
(28,17),-3.20377 # DEPENDENCYPART_ARC
(28,18),-2.66481 # DEPENDENCYPART_ARC
(28,19),-2.46404 # DEPENDENCYPART_ARC
(28,20),-2.0992 # DEPENDENCYPART_ARC
(28,21),-1.27305 # DEPENDENCYPART_ARC
(28,22),-2.0532 # DEPENDENCYPART_ARC
(28,23),-1.87285 # DEPENDENCYPART_ARC
(28,24),-1.48311 # DEPENDENCYPART_ARC
(28,25),-1.53284 # DEPENDENCYPART_ARC
(28,26),-0.799781 # DEPENDENCYPART_ARC
(28,27),0.512526 # DEPENDENCYPART_ARC
(28,29),0.911865 # DEPENDENCYPART_ARC
(28,30),-0.247242 # DEPENDENCYPART_ARC
(29,1),-7.17828 # DEPENDENCYPART_ARC
(29,2),-3.96387 # DEPENDENCYPART_ARC
(29,3),-2.42707 # DEPENDENCYPART_ARC
(29,4),-5.43334 # DEPENDENCYPART_ARC
(29,5),-4.00599 # DEPENDENCYPART_ARC
(29,6),-2.73442 # DEPENDENCYPART_ARC
(29,7),-2.63684 # DEPENDENCYPART_ARC
(29,8),-2.56041 # DEPENDENCYPART_ARC
(29,9),-4.10317 # DEPENDENCYPART_ARC
(29,10),-2.25266 # DEPENDENCYPART_ARC
(29,11),-2.8622 # DEPENDENCYPART_ARC
(29,12),-1.51388 # DEPENDENCYPART_ARC
(29,13),-2.8448 # DEPENDENCYPART_ARC
(29,14),-1.69338 # DEPENDENCYPART_ARC
(29,15),-1.15173 # DEPENDENCYPART_ARC
(29,16),-2.87342 # DEPENDENCYPART_ARC
(29,17),-2.30118 # DEPENDENCYPART_ARC
(29,18),-1.09285 # DEPENDENCYPART_ARC
(29,19),-1.21716 # DEPENDENCYPART_ARC
(29,20),-1.10509 # DEPENDENCYPART_ARC
(29,21),-0.902696 # DEPENDENCYPART_ARC
(29,22),-1.36363 # DEPENDENCYPART_ARC
(29,23),-0.686264 # DEPENDENCYPART_ARC
(29,24),-0.510378 # DEPENDENCYPART_ARC
(29,25),-0.81446 # DEPENDENCYPART_ARC
(29,26),-0.396475 # DEPENDENCYPART_ARC
(29,27),1.04348 # DEPENDENCYPART_ARC
(29,28),4.84742 # DEPENDENCYPART_ARC
(29,30),0.8752 # DEPENDENCYPART_ARC
(30,1),-4.83618 # DEPENDENCYPART_ARC
(30,2),-5.22983 # DEPENDENCYPART_ARC
(30,3),-4.21515 # DEPENDENCYPART_ARC
(30,4),-4.86838 # DEPENDENCYPART_ARC
(30,5),-5.1182 # DEPENDENCYPART_ARC
(30,6),-4.24604 # DEPENDENCYPART_ARC
(30,7),-4.88724 # DEPENDENCYPART_ARC
(30,8),-4.01638 # DEPENDENCYPART_ARC
(30,9),-4.69398 # DEPENDENCYPART_ARC
(30,10),-4.69422 # DEPENDENCYPART_ARC
(30,11),-4.60756 # DEPENDENCYPART_ARC
(30,12),-3.87287 # DEPENDENCYPART_ARC
(30,13),-4.82561 # DEPENDENCYPART_ARC
(30,14),-4.02115 # DEPENDENCYPART_ARC
(30,15),-3.8746 # DEPENDENCYPART_ARC
(30,16),-4.61542 # DEPENDENCYPART_ARC
(30,17),-4.09419 # DEPENDENCYPART_ARC
(30,18),-4.22895 # DEPENDENCYPART_ARC
(30,19),-4.03522 # DEPENDENCYPART_ARC
(30,20),-4.25137 # DEPENDENCYPART_ARC
(30,21),-4.23905 # DEPENDENCYPART_ARC
(30,22),-4.36514 # DEPENDENCYPART_ARC
(30,23),-3.3674 # DEPENDENCYPART_ARC
(30,24),-3.95517 # DEPENDENCYPART_ARC
(30,25),-3.03788 # DEPENDENCYPART_ARC
(30,26),-3.43147 # DEPENDENCYPART_ARC
(30,27),-2.873 # DEPENDENCYPART_ARC
(30,28),-2.0103 # DEPENDENCYPART_ARC
(30,29),-2.23741 # DEPENDENCYPART_ARC
