# _root_ A_més_del catàleg , coincidint amb el lliurament dels premis , el dia_6_de_juny s' inaugurarà a Igualada l' exposició que reunirà les obres seleccionades .
#goldHeads=14,1,4,14,4,7,5,7,8,4,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
#predictedHeads=4,1,1,14,4,7,5,7,8,1,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
(22,2),-3.30429 # DEPENDENCYPART_ARC
(22,3),-2.48759 # DEPENDENCYPART_ARC
(22,4),-2.24152 # DEPENDENCYPART_ARC
(22,5),-1.70216 # DEPENDENCYPART_ARC
(22,6),-5.36782 # DEPENDENCYPART_ARC
(22,7),-3.06765 # DEPENDENCYPART_ARC
(22,8),-0.775423 # DEPENDENCYPART_ARC
(22,9),-1.76358 # DEPENDENCYPART_ARC
(22,10),-1.6594 # DEPENDENCYPART_ARC
(22,11),-3.86208 # DEPENDENCYPART_ARC
(22,12),-2.05214 # DEPENDENCYPART_ARC
(22,13),-1.37875 # DEPENDENCYPART_ARC
(22,14),-1.22064 # DEPENDENCYPART_ARC
(22,15),-1.12227 # DEPENDENCYPART_ARC
(22,16),-1.47118 # DEPENDENCYPART_ARC
(22,17),-0.66046 # DEPENDENCYPART_ARC
(22,18),-1.60367 # DEPENDENCYPART_ARC
(22,19),1.02729 # DEPENDENCYPART_ARC
(22,20),0.69511 # DEPENDENCYPART_ARC
(22,21),5.11415 # DEPENDENCYPART_ARC
(22,23),5.18644 # DEPENDENCYPART_ARC
(22,24),0.725872 # DEPENDENCYPART_ARC
(23,1),-4.67385 # DEPENDENCYPART_ARC
(23,2),-4.36048 # DEPENDENCYPART_ARC
(23,3),-4.40256 # DEPENDENCYPART_ARC
(23,4),-2.62414 # DEPENDENCYPART_ARC
(23,5),-2.19429 # DEPENDENCYPART_ARC
(23,6),-1.99571 # DEPENDENCYPART_ARC
(23,7),-3.55818 # DEPENDENCYPART_ARC
(23,8),-3.33253 # DEPENDENCYPART_ARC
(23,9),-3.54253 # DEPENDENCYPART_ARC
(23,10),-3.23037 # DEPENDENCYPART_ARC
(23,11),-1.80838 # DEPENDENCYPART_ARC
(23,12),-2.37675 # DEPENDENCYPART_ARC
(23,13),-1.74566 # DEPENDENCYPART_ARC
(23,14),-2.00348 # DEPENDENCYPART_ARC
(23,15),-1.35167 # DEPENDENCYPART_ARC
(23,16),-2.72704 # DEPENDENCYPART_ARC
(23,17),-2.90608 # DEPENDENCYPART_ARC
(23,18),-1.17213 # DEPENDENCYPART_ARC
(23,19),-0.266121 # DEPENDENCYPART_ARC
(23,20),-0.881294 # DEPENDENCYPART_ARC
(23,21),1.2357 # DEPENDENCYPART_ARC
(23,22),0.948491 # DEPENDENCYPART_ARC
(23,24),-0.365352 # DEPENDENCYPART_ARC
(24,1),-3.70672 # DEPENDENCYPART_ARC
(24,2),-4.48228 # DEPENDENCYPART_ARC
(24,3),-3.64691 # DEPENDENCYPART_ARC
(24,4),-4.11346 # DEPENDENCYPART_ARC
(24,5),-3.34485 # DEPENDENCYPART_ARC
(24,6),-4.11233 # DEPENDENCYPART_ARC
(24,7),-4.03896 # DEPENDENCYPART_ARC
(24,8),-3.24649 # DEPENDENCYPART_ARC
(24,9),-3.94812 # DEPENDENCYPART_ARC
(24,10),-3.11539 # DEPENDENCYPART_ARC
(24,11),-3.94222 # DEPENDENCYPART_ARC
(24,12),-3.45392 # DEPENDENCYPART_ARC
(24,13),-3.39832 # DEPENDENCYPART_ARC
(24,14),-3.71446 # DEPENDENCYPART_ARC
(24,15),-2.91635 # DEPENDENCYPART_ARC
(24,16),-3.50556 # DEPENDENCYPART_ARC
(24,17),-3.52595 # DEPENDENCYPART_ARC
(24,18),-3.39048 # DEPENDENCYPART_ARC
(24,19),-2.85497 # DEPENDENCYPART_ARC
(24,20),-2.93976 # DEPENDENCYPART_ARC
(24,21),-2.27285 # DEPENDENCYPART_ARC
(24,22),-2.22557 # DEPENDENCYPART_ARC
(24,23),-1.0007 # DEPENDENCYPART_ARC
