# _root_ El tribunal es torna a remetre als fonaments jurídics de la sentència que , en cap cas , es refereix als empleats públics autonòmics o locals .
#goldHeads=2,6,6,6,6,0,6,7,8,8,12,10,20,15,20,17,15,15,20,12,20,21,22,22,24,24,6,
#predictedHeads=2,6,6,6,6,0,6,7,8,8,12,10,20,15,20,17,15,20,20,12,20,21,22,22,24,24,6,
(19,13),-1.57573 # DEPENDENCYPART_ARC
(19,14),-0.979661 # DEPENDENCYPART_ARC
(19,15),-0.414173 # DEPENDENCYPART_ARC
(19,16),-0.587175 # DEPENDENCYPART_ARC
(19,17),-1.54689 # DEPENDENCYPART_ARC
(19,18),0.693955 # DEPENDENCYPART_ARC
(19,20),0.072459 # DEPENDENCYPART_ARC
(19,21),-1.19073 # DEPENDENCYPART_ARC
(19,22),-0.447042 # DEPENDENCYPART_ARC
(19,23),-1.34071 # DEPENDENCYPART_ARC
(19,24),-1.48615 # DEPENDENCYPART_ARC
(19,25),-0.445047 # DEPENDENCYPART_ARC
(19,26),-1.6297 # DEPENDENCYPART_ARC
(19,27),0.352204 # DEPENDENCYPART_ARC
(20,1),-1.94941 # DEPENDENCYPART_ARC
(20,2),0.827872 # DEPENDENCYPART_ARC
(20,3),1.00904 # DEPENDENCYPART_ARC
(20,4),0.491513 # DEPENDENCYPART_ARC
(20,5),0.966802 # DEPENDENCYPART_ARC
(20,6),0.271581 # DEPENDENCYPART_ARC
(20,7),0.899367 # DEPENDENCYPART_ARC
(20,8),-0.352244 # DEPENDENCYPART_ARC
(20,9),0.0326109 # DEPENDENCYPART_ARC
(20,10),-0.781412 # DEPENDENCYPART_ARC
(20,11),0.156875 # DEPENDENCYPART_ARC
(20,12),1.53799 # DEPENDENCYPART_ARC
(20,13),3.24773 # DEPENDENCYPART_ARC
(20,14),2.14885 # DEPENDENCYPART_ARC
(20,15),2.5641 # DEPENDENCYPART_ARC
(20,16),0.885088 # DEPENDENCYPART_ARC
(20,17),1.97217 # DEPENDENCYPART_ARC
(20,18),3.11679 # DEPENDENCYPART_ARC
(20,19),5.0612 # DEPENDENCYPART_ARC
(20,21),4.55566 # DEPENDENCYPART_ARC
(20,22),2.88282 # DEPENDENCYPART_ARC
(20,23),0.719602 # DEPENDENCYPART_ARC
(20,24),0.203536 # DEPENDENCYPART_ARC
(20,25),0.431245 # DEPENDENCYPART_ARC
(20,26),0.391864 # DEPENDENCYPART_ARC
(20,27),4.10688 # DEPENDENCYPART_ARC
(21,1),-2.59222 # DEPENDENCYPART_ARC
(21,2),-4.40916 # DEPENDENCYPART_ARC
(21,3),-2.80432 # DEPENDENCYPART_ARC
(21,4),-3.52691 # DEPENDENCYPART_ARC
(21,5),-3.75834 # DEPENDENCYPART_ARC
(21,6),-3.14501 # DEPENDENCYPART_ARC
(21,7),-4.21312 # DEPENDENCYPART_ARC
(21,8),-3.77646 # DEPENDENCYPART_ARC
(21,9),-2.61634 # DEPENDENCYPART_ARC
(21,10),-2.88944 # DEPENDENCYPART_ARC
(21,11),-1.36667 # DEPENDENCYPART_ARC
(21,12),-2.91437 # DEPENDENCYPART_ARC
(21,13),-2.29491 # DEPENDENCYPART_ARC
(21,14),-1.58326 # DEPENDENCYPART_ARC
(21,15),-1.97894 # DEPENDENCYPART_ARC
(21,16),-1.70317 # DEPENDENCYPART_ARC
(21,17),-2.87845 # DEPENDENCYPART_ARC
(21,18),-1.1957 # DEPENDENCYPART_ARC
(21,19),-0.836019 # DEPENDENCYPART_ARC
(21,20),-0.529001 # DEPENDENCYPART_ARC
(21,22),5.91267 # DEPENDENCYPART_ARC
(21,23),0.366891 # DEPENDENCYPART_ARC
(21,24),-0.501783 # DEPENDENCYPART_ARC
(21,25),0.294195 # DEPENDENCYPART_ARC
(21,26),-0.114875 # DEPENDENCYPART_ARC
(21,27),0.572093 # DEPENDENCYPART_ARC
(22,1),-8.07222 # DEPENDENCYPART_ARC
(22,2),-4.50294 # DEPENDENCYPART_ARC
(22,3),-3.94653 # DEPENDENCYPART_ARC
(22,4),-3.02282 # DEPENDENCYPART_ARC
(22,5),-2.73299 # DEPENDENCYPART_ARC
(22,6),-4.01331 # DEPENDENCYPART_ARC
(22,7),-3.41706 # DEPENDENCYPART_ARC
(22,8),-3.00043 # DEPENDENCYPART_ARC
(22,9),-3.39767 # DEPENDENCYPART_ARC
(22,10),-1.79685 # DEPENDENCYPART_ARC
(22,11),-3.59054 # DEPENDENCYPART_ARC
(22,12),-3.76452 # DEPENDENCYPART_ARC
(22,13),-2.45413 # DEPENDENCYPART_ARC
(22,14),-2.37939 # DEPENDENCYPART_ARC
(22,15),-1.29112 # DEPENDENCYPART_ARC
(22,16),-2.73312 # DEPENDENCYPART_ARC
(22,17),-3.23714 # DEPENDENCYPART_ARC
(22,18),-1.99132 # DEPENDENCYPART_ARC
(22,19),-1.71649 # DEPENDENCYPART_ARC
(22,20),-0.0921113 # DEPENDENCYPART_ARC
(22,21),0.000923073 # DEPENDENCYPART_ARC
(22,23),5.20443 # DEPENDENCYPART_ARC
(22,24),3.59013 # DEPENDENCYPART_ARC
(22,25),1.52088 # DEPENDENCYPART_ARC
(22,26),2.12101 # DEPENDENCYPART_ARC
(22,27),1.30632 # DEPENDENCYPART_ARC
(23,1),-2.20411 # DEPENDENCYPART_ARC
(23,2),-4.35837 # DEPENDENCYPART_ARC
(23,3),-2.9784 # DEPENDENCYPART_ARC
(23,4),-2.7609 # DEPENDENCYPART_ARC
(23,5),-3.40699 # DEPENDENCYPART_ARC
(23,6),-3.45576 # DEPENDENCYPART_ARC
(23,7),-3.60337 # DEPENDENCYPART_ARC
(23,8),-3.76623 # DEPENDENCYPART_ARC
(23,9),-3.80842 # DEPENDENCYPART_ARC
(23,10),-2.44269 # DEPENDENCYPART_ARC
(23,11),-2.17016 # DEPENDENCYPART_ARC
(23,12),-2.91189 # DEPENDENCYPART_ARC
(23,13),-2.12386 # DEPENDENCYPART_ARC
(23,14),-2.39818 # DEPENDENCYPART_ARC
(23,15),-0.940076 # DEPENDENCYPART_ARC
(23,16),-2.75286 # DEPENDENCYPART_ARC
(23,17),-2.60578 # DEPENDENCYPART_ARC
(23,18),-1.65913 # DEPENDENCYPART_ARC
(23,19),-1.41585 # DEPENDENCYPART_ARC
(23,20),-1.26434 # DEPENDENCYPART_ARC
(23,21),-0.661549 # DEPENDENCYPART_ARC
(23,22),-0.143617 # DEPENDENCYPART_ARC
(23,24),1.44642 # DEPENDENCYPART_ARC
(23,25),1.24634 # DEPENDENCYPART_ARC
(23,26),2.15296 # DEPENDENCYPART_ARC
(23,27),-0.0685122 # DEPENDENCYPART_ARC
(24,1),-1.70131 # DEPENDENCYPART_ARC
(24,2),-3.72967 # DEPENDENCYPART_ARC
(24,3),-2.50468 # DEPENDENCYPART_ARC
(24,4),-2.15368 # DEPENDENCYPART_ARC
(24,5),-2.85181 # DEPENDENCYPART_ARC
(24,6),-2.93233 # DEPENDENCYPART_ARC
(24,7),-3.05441 # DEPENDENCYPART_ARC
(24,8),-3.22657 # DEPENDENCYPART_ARC
(24,9),-3.14501 # DEPENDENCYPART_ARC
(24,10),-1.97973 # DEPENDENCYPART_ARC
(24,11),-1.65486 # DEPENDENCYPART_ARC
(24,12),-2.32448 # DEPENDENCYPART_ARC
(24,13),-1.71092 # DEPENDENCYPART_ARC
(24,14),-1.64795 # DEPENDENCYPART_ARC
(24,15),-0.583668 # DEPENDENCYPART_ARC
(24,16),-2.20351 # DEPENDENCYPART_ARC
(24,17),-2.11894 # DEPENDENCYPART_ARC
(24,18),-1.13667 # DEPENDENCYPART_ARC
(24,19),-1.01112 # DEPENDENCYPART_ARC
(24,20),-0.906868 # DEPENDENCYPART_ARC
(24,21),-0.254447 # DEPENDENCYPART_ARC
(24,22),-0.389658 # DEPENDENCYPART_ARC
(24,23),0.979702 # DEPENDENCYPART_ARC
(24,25),3.67116 # DEPENDENCYPART_ARC
(24,26),4.15309 # DEPENDENCYPART_ARC
(24,27),1.33539 # DEPENDENCYPART_ARC
(25,1),-3.79536 # DEPENDENCYPART_ARC
(25,2),-4.09779 # DEPENDENCYPART_ARC
(25,3),-3.23102 # DEPENDENCYPART_ARC
(25,4),-3.58099 # DEPENDENCYPART_ARC
(25,5),-2.79766 # DEPENDENCYPART_ARC
(25,6),-3.41008 # DEPENDENCYPART_ARC
(25,7),-2.89859 # DEPENDENCYPART_ARC
(25,8),-3.55278 # DEPENDENCYPART_ARC
(25,9),-3.29437 # DEPENDENCYPART_ARC
(25,10),-2.50164 # DEPENDENCYPART_ARC
(25,11),-3.2877 # DEPENDENCYPART_ARC
(25,12),-3.41737 # DEPENDENCYPART_ARC
(25,13),-2.73373 # DEPENDENCYPART_ARC
(25,14),-2.50252 # DEPENDENCYPART_ARC
(25,15),-2.13584 # DEPENDENCYPART_ARC
(25,16),-3.04101 # DEPENDENCYPART_ARC
(25,17),-3.03597 # DEPENDENCYPART_ARC
(25,18),-2.14548 # DEPENDENCYPART_ARC
(25,19),-2.41784 # DEPENDENCYPART_ARC
(25,20),-2.46651 # DEPENDENCYPART_ARC
(25,21),-1.34954 # DEPENDENCYPART_ARC
(25,22),-2.05538 # DEPENDENCYPART_ARC
(25,23),-1.46059 # DEPENDENCYPART_ARC
(25,24),-0.704209 # DEPENDENCYPART_ARC
(25,26),-0.602832 # DEPENDENCYPART_ARC
(25,27),-0.936416 # DEPENDENCYPART_ARC
(26,1),-1.87788 # DEPENDENCYPART_ARC
(26,2),-3.71806 # DEPENDENCYPART_ARC
(26,3),-1.85038 # DEPENDENCYPART_ARC
(26,4),-1.99803 # DEPENDENCYPART_ARC
(26,5),-2.08696 # DEPENDENCYPART_ARC
(26,6),-2.35172 # DEPENDENCYPART_ARC
(26,7),-2.46129 # DEPENDENCYPART_ARC
(26,8),-3.04281 # DEPENDENCYPART_ARC
(26,9),-2.18006 # DEPENDENCYPART_ARC
(26,10),-0.836346 # DEPENDENCYPART_ARC
(26,11),-1.37267 # DEPENDENCYPART_ARC
(26,12),-2.18437 # DEPENDENCYPART_ARC
(26,13),-0.954644 # DEPENDENCYPART_ARC
(26,14),-1.54255 # DEPENDENCYPART_ARC
(26,15),0.19028 # DEPENDENCYPART_ARC
(26,16),-2.11025 # DEPENDENCYPART_ARC
(26,17),-2.19285 # DEPENDENCYPART_ARC
(26,18),-0.857213 # DEPENDENCYPART_ARC
(26,19),-0.881522 # DEPENDENCYPART_ARC
(26,20),-1.19298 # DEPENDENCYPART_ARC
(26,21),-0.0376469 # DEPENDENCYPART_ARC
(26,22),-0.899853 # DEPENDENCYPART_ARC
(26,23),0.499121 # DEPENDENCYPART_ARC
(26,24),1.43181 # DEPENDENCYPART_ARC
(26,25),1.55655 # DEPENDENCYPART_ARC
(26,27),-0.643468 # DEPENDENCYPART_ARC
(27,1),-4.58954 # DEPENDENCYPART_ARC
(27,2),-4.58504 # DEPENDENCYPART_ARC
(27,3),-3.96362 # DEPENDENCYPART_ARC
(27,4),-4.26402 # DEPENDENCYPART_ARC
(27,5),-3.57763 # DEPENDENCYPART_ARC
(27,6),-4.20409 # DEPENDENCYPART_ARC
(27,7),-3.32452 # DEPENDENCYPART_ARC
(27,8),-3.8935 # DEPENDENCYPART_ARC
(27,9),-3.48112 # DEPENDENCYPART_ARC
(27,10),-3.35294 # DEPENDENCYPART_ARC
(27,11),-3.99462 # DEPENDENCYPART_ARC
(27,12),-3.85163 # DEPENDENCYPART_ARC
(27,13),-3.51194 # DEPENDENCYPART_ARC
(27,14),-2.76312 # DEPENDENCYPART_ARC
(27,15),-3.08517 # DEPENDENCYPART_ARC
(27,16),-3.86864 # DEPENDENCYPART_ARC
(27,17),-3.67443 # DEPENDENCYPART_ARC
(27,18),-2.64289 # DEPENDENCYPART_ARC
(27,19),-3.23983 # DEPENDENCYPART_ARC
(27,20),-3.39463 # DEPENDENCYPART_ARC
(27,21),-2.44444 # DEPENDENCYPART_ARC
(27,22),-3.00572 # DEPENDENCYPART_ARC
(27,23),-2.49963 # DEPENDENCYPART_ARC
(27,24),-2.35054 # DEPENDENCYPART_ARC
(27,25),-1.73953 # DEPENDENCYPART_ARC
(27,26),-1.38173 # DEPENDENCYPART_ARC
