# _root_ Com_a factor normalitzador hi ha el fet que el gruix d' atestats penals , que fan els Mossos_d'_Esquadra , entra als jutjats en llengua catalana .
#goldHeads=5,1,2,5,0,7,5,20,10,20,10,11,12,16,16,10,18,16,16,7,20,21,20,23,24,5,
#predictedHeads=5,1,2,5,0,7,5,20,10,20,10,11,12,16,16,7,18,16,16,7,20,21,22,23,24,5,
(20,7),0.449256 # DEPENDENCYPART_ARC
(20,8),2.91475 # DEPENDENCYPART_ARC
(20,9),-2.01393 # DEPENDENCYPART_ARC
(20,10),1.2644 # DEPENDENCYPART_ARC
(20,11),-1.61538 # DEPENDENCYPART_ARC
(20,12),-0.362799 # DEPENDENCYPART_ARC
(20,13),-0.492897 # DEPENDENCYPART_ARC
(20,14),0.230454 # DEPENDENCYPART_ARC
(20,15),3.27175 # DEPENDENCYPART_ARC
(20,16),1.83274 # DEPENDENCYPART_ARC
(20,17),0.40891 # DEPENDENCYPART_ARC
(20,18),1.93254 # DEPENDENCYPART_ARC
(20,19),0.892524 # DEPENDENCYPART_ARC
(20,21),3.76547 # DEPENDENCYPART_ARC
(20,22),2.4403 # DEPENDENCYPART_ARC
(20,23),2.28072 # DEPENDENCYPART_ARC
(20,24),1.05041 # DEPENDENCYPART_ARC
(20,25),-0.0147383 # DEPENDENCYPART_ARC
(20,26),3.57807 # DEPENDENCYPART_ARC
(21,1),-4.31326 # DEPENDENCYPART_ARC
(21,2),-4.22044 # DEPENDENCYPART_ARC
(21,3),-3.43878 # DEPENDENCYPART_ARC
(21,4),-3.34843 # DEPENDENCYPART_ARC
(21,5),-3.33167 # DEPENDENCYPART_ARC
(21,6),-2.35799 # DEPENDENCYPART_ARC
(21,7),-3.91881 # DEPENDENCYPART_ARC
(21,8),-1.30421 # DEPENDENCYPART_ARC
(21,9),-2.0729 # DEPENDENCYPART_ARC
(21,10),-3.77082 # DEPENDENCYPART_ARC
(21,11),-2.56342 # DEPENDENCYPART_ARC
(21,12),-3.50436 # DEPENDENCYPART_ARC
(21,13),-2.54814 # DEPENDENCYPART_ARC
(21,14),-2.23619 # DEPENDENCYPART_ARC
(21,15),-2.07051 # DEPENDENCYPART_ARC
(21,16),-2.60614 # DEPENDENCYPART_ARC
(21,17),-0.314389 # DEPENDENCYPART_ARC
(21,18),-2.27495 # DEPENDENCYPART_ARC
(21,19),-0.554964 # DEPENDENCYPART_ARC
(21,20),-0.309483 # DEPENDENCYPART_ARC
(21,22),5.57288 # DEPENDENCYPART_ARC
(21,23),0.495154 # DEPENDENCYPART_ARC
(21,24),0.967676 # DEPENDENCYPART_ARC
(21,25),-2.8595 # DEPENDENCYPART_ARC
(21,26),-0.0928808 # DEPENDENCYPART_ARC
(22,1),-3.5414 # DEPENDENCYPART_ARC
(22,2),-3.90792 # DEPENDENCYPART_ARC
(22,3),-5.38024 # DEPENDENCYPART_ARC
(22,4),-3.43874 # DEPENDENCYPART_ARC
(22,5),-2.9076 # DEPENDENCYPART_ARC
(22,6),-6.29845 # DEPENDENCYPART_ARC
(22,7),-4.01591 # DEPENDENCYPART_ARC
(22,8),-2.00308 # DEPENDENCYPART_ARC
(22,9),-5.21659 # DEPENDENCYPART_ARC
(22,10),-3.87 # DEPENDENCYPART_ARC
(22,11),-2.52222 # DEPENDENCYPART_ARC
(22,12),-2.50993 # DEPENDENCYPART_ARC
(22,13),-2.94728 # DEPENDENCYPART_ARC
(22,14),-2.86128 # DEPENDENCYPART_ARC
(22,15),-1.89768 # DEPENDENCYPART_ARC
(22,16),-2.13271 # DEPENDENCYPART_ARC
(22,17),-0.455319 # DEPENDENCYPART_ARC
(22,18),-2.84905 # DEPENDENCYPART_ARC
(22,19),-1.59623 # DEPENDENCYPART_ARC
(22,20),0.28904 # DEPENDENCYPART_ARC
(22,21),-0.333975 # DEPENDENCYPART_ARC
(22,23),2.30006 # DEPENDENCYPART_ARC
(22,24),0.986627 # DEPENDENCYPART_ARC
(22,25),-0.540541 # DEPENDENCYPART_ARC
(22,26),0.434412 # DEPENDENCYPART_ARC
(23,1),-3.99198 # DEPENDENCYPART_ARC
(23,2),-3.34972 # DEPENDENCYPART_ARC
(23,3),-2.40061 # DEPENDENCYPART_ARC
(23,4),-2.53269 # DEPENDENCYPART_ARC
(23,5),-2.26143 # DEPENDENCYPART_ARC
(23,6),-2.82513 # DEPENDENCYPART_ARC
(23,7),-2.93032 # DEPENDENCYPART_ARC
(23,8),-0.634973 # DEPENDENCYPART_ARC
(23,9),-2.57703 # DEPENDENCYPART_ARC
(23,10),-2.79695 # DEPENDENCYPART_ARC
(23,11),-2.23836 # DEPENDENCYPART_ARC
(23,12),-2.54364 # DEPENDENCYPART_ARC
(23,13),-1.52363 # DEPENDENCYPART_ARC
(23,14),-1.49222 # DEPENDENCYPART_ARC
(23,15),-1.34822 # DEPENDENCYPART_ARC
(23,16),-1.16554 # DEPENDENCYPART_ARC
(23,17),-1.34207 # DEPENDENCYPART_ARC
(23,18),-2.14205 # DEPENDENCYPART_ARC
(23,19),-0.0173846 # DEPENDENCYPART_ARC
(23,20),-0.0864375 # DEPENDENCYPART_ARC
(23,21),-0.0861853 # DEPENDENCYPART_ARC
(23,22),0.599057 # DEPENDENCYPART_ARC
(23,24),4.94979 # DEPENDENCYPART_ARC
(23,25),0.965137 # DEPENDENCYPART_ARC
(23,26),-0.0149525 # DEPENDENCYPART_ARC
(24,1),-4.08239 # DEPENDENCYPART_ARC
(24,2),-4.44117 # DEPENDENCYPART_ARC
(24,3),-5.20563 # DEPENDENCYPART_ARC
(24,4),-2.79404 # DEPENDENCYPART_ARC
(24,5),-4.97309 # DEPENDENCYPART_ARC
(24,6),-8.59736 # DEPENDENCYPART_ARC
(24,7),-4.39911 # DEPENDENCYPART_ARC
(24,8),-2.40699 # DEPENDENCYPART_ARC
(24,9),-7.47501 # DEPENDENCYPART_ARC
(24,10),-4.15923 # DEPENDENCYPART_ARC
(24,11),-3.05682 # DEPENDENCYPART_ARC
(24,12),-3.45325 # DEPENDENCYPART_ARC
(24,13),-3.61633 # DEPENDENCYPART_ARC
(24,14),-3.393 # DEPENDENCYPART_ARC
(24,15),-2.35989 # DEPENDENCYPART_ARC
(24,16),-3.95425 # DEPENDENCYPART_ARC
(24,17),-4.03429 # DEPENDENCYPART_ARC
(24,18),-3.46269 # DEPENDENCYPART_ARC
(24,19),-2.58345 # DEPENDENCYPART_ARC
(24,20),-2.68393 # DEPENDENCYPART_ARC
(24,21),-1.75016 # DEPENDENCYPART_ARC
(24,22),-1.15978 # DEPENDENCYPART_ARC
(24,23),-0.123503 # DEPENDENCYPART_ARC
(24,25),3.93948 # DEPENDENCYPART_ARC
(24,26),0.129715 # DEPENDENCYPART_ARC
(25,1),-4.76826 # DEPENDENCYPART_ARC
(25,2),-4.54391 # DEPENDENCYPART_ARC
(25,3),-4.8209 # DEPENDENCYPART_ARC
(25,4),-1.9157 # DEPENDENCYPART_ARC
(25,5),-3.08649 # DEPENDENCYPART_ARC
(25,6),-2.38783 # DEPENDENCYPART_ARC
(25,7),-3.9168 # DEPENDENCYPART_ARC
(25,8),-1.14434 # DEPENDENCYPART_ARC
(25,9),-2.18827 # DEPENDENCYPART_ARC
(25,10),-3.64445 # DEPENDENCYPART_ARC
(25,11),-2.60839 # DEPENDENCYPART_ARC
(25,12),-4.42666 # DEPENDENCYPART_ARC
(25,13),-3.85879 # DEPENDENCYPART_ARC
(25,14),-3.18184 # DEPENDENCYPART_ARC
(25,15),-1.123 # DEPENDENCYPART_ARC
(25,16),-3.20055 # DEPENDENCYPART_ARC
(25,17),-2.84142 # DEPENDENCYPART_ARC
(25,18),-2.54651 # DEPENDENCYPART_ARC
(25,19),-1.23375 # DEPENDENCYPART_ARC
(25,20),-2.0481 # DEPENDENCYPART_ARC
(25,21),-0.66869 # DEPENDENCYPART_ARC
(25,22),-2.2887 # DEPENDENCYPART_ARC
(25,23),0.345316 # DEPENDENCYPART_ARC
(25,24),0.400604 # DEPENDENCYPART_ARC
(25,26),-0.949848 # DEPENDENCYPART_ARC
(26,1),-3.79052 # DEPENDENCYPART_ARC
(26,2),-4.3151 # DEPENDENCYPART_ARC
(26,3),-3.59027 # DEPENDENCYPART_ARC
(26,4),-3.78329 # DEPENDENCYPART_ARC
(26,5),-4.15992 # DEPENDENCYPART_ARC
(26,6),-4.01513 # DEPENDENCYPART_ARC
(26,7),-4.02104 # DEPENDENCYPART_ARC
(26,8),-3.17303 # DEPENDENCYPART_ARC
(26,9),-3.9557 # DEPENDENCYPART_ARC
(26,10),-3.94535 # DEPENDENCYPART_ARC
(26,11),-3.09083 # DEPENDENCYPART_ARC
(26,12),-3.78644 # DEPENDENCYPART_ARC
(26,13),-3.39753 # DEPENDENCYPART_ARC
(26,14),-2.93078 # DEPENDENCYPART_ARC
(26,15),-3.33246 # DEPENDENCYPART_ARC
(26,16),-3.6423 # DEPENDENCYPART_ARC
(26,17),-3.62689 # DEPENDENCYPART_ARC
(26,18),-3.57309 # DEPENDENCYPART_ARC
(26,19),-2.56046 # DEPENDENCYPART_ARC
(26,20),-3.20716 # DEPENDENCYPART_ARC
(26,21),-2.23044 # DEPENDENCYPART_ARC
(26,22),-2.82839 # DEPENDENCYPART_ARC
(26,23),-1.75358 # DEPENDENCYPART_ARC
(26,24),-2.11492 # DEPENDENCYPART_ARC
(26,25),-0.934837 # DEPENDENCYPART_ARC
