# _root_ He de reconèixer que és difícil , amb un nacionalisme espanyol tan excloent com el que està fent el PP , mantenir aquesta política de pactes perquè de_vegades fan trontollar .
#goldHeads=3,3,0,5,3,5,8,5,10,8,10,13,10,18,18,18,18,13,20,18,8,5,24,22,24,25,29,29,5,29,3,
#predictedHeads=3,3,0,5,3,5,8,18,10,8,10,13,10,18,18,18,18,3,20,18,18,18,24,22,24,25,30,30,30,22,3,
(20,8),-1.01314 # DEPENDENCYPART_ARC
(20,9),-1.66564 # DEPENDENCYPART_ARC
(20,10),-1.90134 # DEPENDENCYPART_ARC
(20,11),-2.60568 # DEPENDENCYPART_ARC
(20,12),-0.727402 # DEPENDENCYPART_ARC
(20,13),-2.35103 # DEPENDENCYPART_ARC
(20,14),0.000675883 # DEPENDENCYPART_ARC
(20,15),-1.19231 # DEPENDENCYPART_ARC
(20,16),0.808073 # DEPENDENCYPART_ARC
(20,17),-1.03922 # DEPENDENCYPART_ARC
(20,18),0.871493 # DEPENDENCYPART_ARC
(20,19),3.98098 # DEPENDENCYPART_ARC
(20,21),0.282226 # DEPENDENCYPART_ARC
(20,22),0.746112 # DEPENDENCYPART_ARC
(20,23),-1.8455 # DEPENDENCYPART_ARC
(20,24),-0.448853 # DEPENDENCYPART_ARC
(20,25),-0.659329 # DEPENDENCYPART_ARC
(20,26),-0.687941 # DEPENDENCYPART_ARC
(20,27),-1.53222 # DEPENDENCYPART_ARC
(20,28),-1.80344 # DEPENDENCYPART_ARC
(20,29),-2.03261 # DEPENDENCYPART_ARC
(20,30),-2.3683 # DEPENDENCYPART_ARC
(20,31),0.442661 # DEPENDENCYPART_ARC
(21,6),-2.78394 # DEPENDENCYPART_ARC
(21,7),-1.96808 # DEPENDENCYPART_ARC
(21,10),-3.45532 # DEPENDENCYPART_ARC
(21,11),-2.57595 # DEPENDENCYPART_ARC
(21,13),-2.61622 # DEPENDENCYPART_ARC
(21,24),-1.66284 # DEPENDENCYPART_ARC
(21,26),-1.94682 # DEPENDENCYPART_ARC
(22,1),-1.4158 # DEPENDENCYPART_ARC
(22,2),-4.04654 # DEPENDENCYPART_ARC
(22,3),-2.25766 # DEPENDENCYPART_ARC
(22,4),-0.164943 # DEPENDENCYPART_ARC
(22,5),0.482107 # DEPENDENCYPART_ARC
(22,6),-1.87994 # DEPENDENCYPART_ARC
(22,7),-1.82012 # DEPENDENCYPART_ARC
(22,8),-0.493654 # DEPENDENCYPART_ARC
(22,10),-1.6738 # DEPENDENCYPART_ARC
(22,11),-1.66409 # DEPENDENCYPART_ARC
(22,12),-1.38463 # DEPENDENCYPART_ARC
(22,13),-1.68151 # DEPENDENCYPART_ARC
(22,14),-1.02507 # DEPENDENCYPART_ARC
(22,15),-0.922156 # DEPENDENCYPART_ARC
(22,16),0.687698 # DEPENDENCYPART_ARC
(22,17),0.964307 # DEPENDENCYPART_ARC
(22,18),0.33596 # DEPENDENCYPART_ARC
(22,19),0.648802 # DEPENDENCYPART_ARC
(22,20),0.861531 # DEPENDENCYPART_ARC
(22,21),0.172967 # DEPENDENCYPART_ARC
(22,23),-0.659459 # DEPENDENCYPART_ARC
(22,24),3.6905 # DEPENDENCYPART_ARC
(22,25),1.29485 # DEPENDENCYPART_ARC
(22,26),1.5963 # DEPENDENCYPART_ARC
(22,27),-0.119165 # DEPENDENCYPART_ARC
(22,28),-0.684924 # DEPENDENCYPART_ARC
(22,29),1.02147 # DEPENDENCYPART_ARC
(22,30),0.919976 # DEPENDENCYPART_ARC
(22,31),2.78337 # DEPENDENCYPART_ARC
(23,6),-4.04591 # DEPENDENCYPART_ARC
(23,9),-3.72418 # DEPENDENCYPART_ARC
(23,11),-3.5035 # DEPENDENCYPART_ARC
(23,12),-3.05139 # DEPENDENCYPART_ARC
(23,13),-3.71517 # DEPENDENCYPART_ARC
(23,28),-1.161 # DEPENDENCYPART_ARC
(24,1),-3.5843 # DEPENDENCYPART_ARC
(24,2),-2.95391 # DEPENDENCYPART_ARC
(24,3),-2.90645 # DEPENDENCYPART_ARC
(24,4),-0.397101 # DEPENDENCYPART_ARC
(24,5),-2.84935 # DEPENDENCYPART_ARC
(24,6),-3.13455 # DEPENDENCYPART_ARC
(24,7),-1.95706 # DEPENDENCYPART_ARC
(24,8),-2.3371 # DEPENDENCYPART_ARC
(24,9),-3.71495 # DEPENDENCYPART_ARC
(24,10),-3.02451 # DEPENDENCYPART_ARC
(24,11),-3.44382 # DEPENDENCYPART_ARC
(24,12),-1.70836 # DEPENDENCYPART_ARC
(24,13),-2.7205 # DEPENDENCYPART_ARC
(24,14),-0.898375 # DEPENDENCYPART_ARC
(24,15),-4.57432 # DEPENDENCYPART_ARC
(24,16),-0.658963 # DEPENDENCYPART_ARC
(24,17),-2.1279 # DEPENDENCYPART_ARC
(24,18),-1.13602 # DEPENDENCYPART_ARC
(24,19),-1.42246 # DEPENDENCYPART_ARC
(24,20),-1.80143 # DEPENDENCYPART_ARC
(24,21),-0.231092 # DEPENDENCYPART_ARC
(24,22),0.537597 # DEPENDENCYPART_ARC
(24,23),3.89895 # DEPENDENCYPART_ARC
(24,25),2.88207 # DEPENDENCYPART_ARC
(24,26),0.593878 # DEPENDENCYPART_ARC
(24,27),-0.447238 # DEPENDENCYPART_ARC
(24,28),-0.806495 # DEPENDENCYPART_ARC
(24,29),-0.252697 # DEPENDENCYPART_ARC
(24,30),-0.887539 # DEPENDENCYPART_ARC
(24,31),0.483797 # DEPENDENCYPART_ARC
(25,1),-4.04352 # DEPENDENCYPART_ARC
(25,2),-3.85931 # DEPENDENCYPART_ARC
(25,3),-3.94364 # DEPENDENCYPART_ARC
(25,4),-1.86599 # DEPENDENCYPART_ARC
(25,5),-3.34797 # DEPENDENCYPART_ARC
(25,6),-2.73094 # DEPENDENCYPART_ARC
(25,7),-3.44713 # DEPENDENCYPART_ARC
(25,8),-3.44644 # DEPENDENCYPART_ARC
(25,9),-2.84016 # DEPENDENCYPART_ARC
(25,10),-2.79416 # DEPENDENCYPART_ARC
(25,11),-2.72181 # DEPENDENCYPART_ARC
(25,12),-2.31482 # DEPENDENCYPART_ARC
(25,13),-2.45411 # DEPENDENCYPART_ARC
(25,14),-1.68749 # DEPENDENCYPART_ARC
(25,15),-2.27285 # DEPENDENCYPART_ARC
(25,16),-2.29202 # DEPENDENCYPART_ARC
(25,17),-2.14839 # DEPENDENCYPART_ARC
(25,18),-1.46147 # DEPENDENCYPART_ARC
(25,19),-1.97338 # DEPENDENCYPART_ARC
(25,20),-2.28522 # DEPENDENCYPART_ARC
(25,21),-1.1047 # DEPENDENCYPART_ARC
(25,22),-0.696041 # DEPENDENCYPART_ARC
(25,24),0.456832 # DEPENDENCYPART_ARC
(25,26),4.27382 # DEPENDENCYPART_ARC
(25,27),0.149673 # DEPENDENCYPART_ARC
(25,28),-0.895353 # DEPENDENCYPART_ARC
(25,29),-0.20762 # DEPENDENCYPART_ARC
(25,30),-0.709787 # DEPENDENCYPART_ARC
(25,31),-0.744257 # DEPENDENCYPART_ARC
(26,1),-2.94363 # DEPENDENCYPART_ARC
(26,2),-2.69533 # DEPENDENCYPART_ARC
(26,3),-3.54398 # DEPENDENCYPART_ARC
(26,4),-0.857766 # DEPENDENCYPART_ARC
(26,5),-1.93526 # DEPENDENCYPART_ARC
(26,6),-4.14834 # DEPENDENCYPART_ARC
(26,7),-2.811 # DEPENDENCYPART_ARC
(26,8),-2.12427 # DEPENDENCYPART_ARC
(26,9),-3.57681 # DEPENDENCYPART_ARC
(26,10),-3.44789 # DEPENDENCYPART_ARC
(26,11),-3.88005 # DEPENDENCYPART_ARC
(26,12),-2.16905 # DEPENDENCYPART_ARC
(26,13),-3.89026 # DEPENDENCYPART_ARC
(26,14),-1.2937 # DEPENDENCYPART_ARC
(26,15),-4.82009 # DEPENDENCYPART_ARC
(26,16),-1.29612 # DEPENDENCYPART_ARC
(26,17),-1.18611 # DEPENDENCYPART_ARC
(26,18),-1.57545 # DEPENDENCYPART_ARC
(26,19),-2.34663 # DEPENDENCYPART_ARC
(26,20),-2.219 # DEPENDENCYPART_ARC
(26,21),-1.84989 # DEPENDENCYPART_ARC
(26,22),-1.26676 # DEPENDENCYPART_ARC
(26,23),1.10877 # DEPENDENCYPART_ARC
(26,24),-0.819587 # DEPENDENCYPART_ARC
(26,25),1.77222 # DEPENDENCYPART_ARC
(26,27),-0.80776 # DEPENDENCYPART_ARC
(26,28),-1.06858 # DEPENDENCYPART_ARC
(26,29),0.952434 # DEPENDENCYPART_ARC
(26,30),-1.19455 # DEPENDENCYPART_ARC
(26,31),-1.30922 # DEPENDENCYPART_ARC
(27,1),-4.11827 # DEPENDENCYPART_ARC
(27,2),-3.21796 # DEPENDENCYPART_ARC
(27,3),-4.10559 # DEPENDENCYPART_ARC
(27,4),-2.78078 # DEPENDENCYPART_ARC
(27,5),-4.27468 # DEPENDENCYPART_ARC
(27,6),-3.65001 # DEPENDENCYPART_ARC
(27,7),-3.33029 # DEPENDENCYPART_ARC
(27,8),-2.88964 # DEPENDENCYPART_ARC
(27,9),-3.34997 # DEPENDENCYPART_ARC
(27,10),-3.69267 # DEPENDENCYPART_ARC
(27,11),-3.40479 # DEPENDENCYPART_ARC
(27,12),-3.01132 # DEPENDENCYPART_ARC
(27,13),-3.47604 # DEPENDENCYPART_ARC
(27,14),-2.61276 # DEPENDENCYPART_ARC
(27,17),-3.3019 # DEPENDENCYPART_ARC
(27,18),-3.30515 # DEPENDENCYPART_ARC
(27,20),-3.0039 # DEPENDENCYPART_ARC
(27,21),-2.29803 # DEPENDENCYPART_ARC
(27,22),-2.60875 # DEPENDENCYPART_ARC
(27,24),-2.10875 # DEPENDENCYPART_ARC
(27,25),-0.716616 # DEPENDENCYPART_ARC
(27,26),-0.715483 # DEPENDENCYPART_ARC
(27,28),-0.419991 # DEPENDENCYPART_ARC
(27,29),0.294077 # DEPENDENCYPART_ARC
(27,30),-0.779767 # DEPENDENCYPART_ARC
(27,31),-0.640063 # DEPENDENCYPART_ARC
(28,1),-2.81585 # DEPENDENCYPART_ARC
(28,2),-3.15311 # DEPENDENCYPART_ARC
(28,3),-2.85271 # DEPENDENCYPART_ARC
(28,4),-1.59717 # DEPENDENCYPART_ARC
(28,5),-2.73461 # DEPENDENCYPART_ARC
(28,6),-2.13452 # DEPENDENCYPART_ARC
(28,7),-2.76838 # DEPENDENCYPART_ARC
(28,8),-2.17322 # DEPENDENCYPART_ARC
(28,9),-2.59912 # DEPENDENCYPART_ARC
(28,10),-3.18412 # DEPENDENCYPART_ARC
(28,11),-2.18267 # DEPENDENCYPART_ARC
(28,12),-1.65509 # DEPENDENCYPART_ARC
(28,13),-2.16622 # DEPENDENCYPART_ARC
(28,14),-1.69209 # DEPENDENCYPART_ARC
(28,15),-2.50959 # DEPENDENCYPART_ARC
(28,17),-2.16918 # DEPENDENCYPART_ARC
(28,18),-2.03971 # DEPENDENCYPART_ARC
(28,19),-2.11958 # DEPENDENCYPART_ARC
(28,20),-2.23204 # DEPENDENCYPART_ARC
(28,21),-1.27898 # DEPENDENCYPART_ARC
(28,22),-1.44251 # DEPENDENCYPART_ARC
(28,24),-1.14801 # DEPENDENCYPART_ARC
(28,25),0.225156 # DEPENDENCYPART_ARC
(28,26),-0.205786 # DEPENDENCYPART_ARC
(28,27),0.772811 # DEPENDENCYPART_ARC
(28,29),1.42647 # DEPENDENCYPART_ARC
(28,30),0.0382117 # DEPENDENCYPART_ARC
(28,31),0.132803 # DEPENDENCYPART_ARC
(29,1),-4.41292 # DEPENDENCYPART_ARC
(29,2),-6.76706 # DEPENDENCYPART_ARC
(29,3),-5.2631 # DEPENDENCYPART_ARC
(29,4),-1.11583 # DEPENDENCYPART_ARC
(29,5),-1.8853 # DEPENDENCYPART_ARC
(29,6),-3.65725 # DEPENDENCYPART_ARC
(29,7),-2.92228 # DEPENDENCYPART_ARC
(29,8),-3.11883 # DEPENDENCYPART_ARC
(29,10),-3.44077 # DEPENDENCYPART_ARC
(29,11),-3.66383 # DEPENDENCYPART_ARC
(29,12),-3.13958 # DEPENDENCYPART_ARC
(29,13),-3.30219 # DEPENDENCYPART_ARC
(29,14),-3.59609 # DEPENDENCYPART_ARC
(29,15),-3.92251 # DEPENDENCYPART_ARC
(29,16),-0.929702 # DEPENDENCYPART_ARC
(29,17),-2.28646 # DEPENDENCYPART_ARC
(29,18),-2.87651 # DEPENDENCYPART_ARC
(29,19),-3.68571 # DEPENDENCYPART_ARC
(29,20),-1.81757 # DEPENDENCYPART_ARC
(29,21),-2.4323 # DEPENDENCYPART_ARC
(29,22),-1.79209 # DEPENDENCYPART_ARC
(29,23),-2.40949 # DEPENDENCYPART_ARC
(29,24),-1.28882 # DEPENDENCYPART_ARC
(29,25),-1.81638 # DEPENDENCYPART_ARC
(29,26),-0.31283 # DEPENDENCYPART_ARC
(29,27),1.78697 # DEPENDENCYPART_ARC
(29,28),1.69542 # DEPENDENCYPART_ARC
(29,30),2.59236 # DEPENDENCYPART_ARC
(29,31),1.77846 # DEPENDENCYPART_ARC
(30,1),-2.20521 # DEPENDENCYPART_ARC
(30,2),-4.58067 # DEPENDENCYPART_ARC
(30,3),-2.79312 # DEPENDENCYPART_ARC
(30,4),0.299779 # DEPENDENCYPART_ARC
(30,5),-0.132012 # DEPENDENCYPART_ARC
(30,6),-1.96672 # DEPENDENCYPART_ARC
(30,7),-1.99466 # DEPENDENCYPART_ARC
(30,8),-1.54523 # DEPENDENCYPART_ARC
(30,10),-2.01588 # DEPENDENCYPART_ARC
(30,11),-1.63061 # DEPENDENCYPART_ARC
(30,12),-1.92191 # DEPENDENCYPART_ARC
(30,13),-1.3799 # DEPENDENCYPART_ARC
(30,14),-1.97037 # DEPENDENCYPART_ARC
(30,15),-1.8664 # DEPENDENCYPART_ARC
(30,16),0.493064 # DEPENDENCYPART_ARC
(30,17),0.164387 # DEPENDENCYPART_ARC
(30,18),-1.37097 # DEPENDENCYPART_ARC
(30,19),-1.663 # DEPENDENCYPART_ARC
(30,20),-0.783444 # DEPENDENCYPART_ARC
(30,21),-0.834154 # DEPENDENCYPART_ARC
(30,22),0.307071 # DEPENDENCYPART_ARC
(30,23),-0.411441 # DEPENDENCYPART_ARC
(30,24),0.412844 # DEPENDENCYPART_ARC
(30,25),-0.878084 # DEPENDENCYPART_ARC
(30,26),0.411097 # DEPENDENCYPART_ARC
(30,27),2.82496 # DEPENDENCYPART_ARC
(30,28),2.62246 # DEPENDENCYPART_ARC
(30,29),4.74898 # DEPENDENCYPART_ARC
(30,31),3.34183 # DEPENDENCYPART_ARC
