# _root_ La d' aquest any serà la tercera edició del Festival_de_Cinema_Negre_de_Manresa , la cinquena si no es té_en_compte l' especialització , que el converteix en l' únic certamen de l' Estat dedicat a aquest gènere .
#goldHeads=2,5,4,2,0,8,8,5,8,9,5,13,5,17,17,17,13,19,17,23,23,23,19,23,27,27,24,27,30,28,27,31,34,32,5,
#predictedHeads=2,5,4,2,0,8,8,5,8,9,17,13,8,17,17,17,13,19,17,23,23,23,19,23,27,27,24,27,30,28,27,31,34,32,5,
(21,17),-1.56891 # DEPENDENCYPART_ARC
(21,18),-2.46678 # DEPENDENCYPART_ARC
(21,19),-2.42391 # DEPENDENCYPART_ARC
(21,23),1.06251 # DEPENDENCYPART_ARC
(21,24),-1.52306 # DEPENDENCYPART_ARC
(21,25),-2.69552 # DEPENDENCYPART_ARC
(21,26),-2.14401 # DEPENDENCYPART_ARC
(21,27),-3.09328 # DEPENDENCYPART_ARC
(21,28),-2.0956 # DEPENDENCYPART_ARC
(21,29),-3.32102 # DEPENDENCYPART_ARC
(21,31),-1.90912 # DEPENDENCYPART_ARC
(21,32),-2.90453 # DEPENDENCYPART_ARC
(21,34),-3.62921 # DEPENDENCYPART_ARC
(22,2),-2.30453 # DEPENDENCYPART_ARC
(22,4),-4.18236 # DEPENDENCYPART_ARC
(22,5),-2.39545 # DEPENDENCYPART_ARC
(22,8),-4.00802 # DEPENDENCYPART_ARC
(22,9),-3.30404 # DEPENDENCYPART_ARC
(22,10),-2.97212 # DEPENDENCYPART_ARC
(22,11),-1.89839 # DEPENDENCYPART_ARC
(22,14),-1.60031 # DEPENDENCYPART_ARC
(22,15),-2.02179 # DEPENDENCYPART_ARC
(22,17),-1.16352 # DEPENDENCYPART_ARC
(22,19),-2.84842 # DEPENDENCYPART_ARC
(22,20),-0.447934 # DEPENDENCYPART_ARC
(22,23),-0.838511 # DEPENDENCYPART_ARC
(22,24),-1.71332 # DEPENDENCYPART_ARC
(22,26),-2.7832 # DEPENDENCYPART_ARC
(22,27),-2.77809 # DEPENDENCYPART_ARC
(22,28),-2.28796 # DEPENDENCYPART_ARC
(22,30),-2.08248 # DEPENDENCYPART_ARC
(22,31),-2.23185 # DEPENDENCYPART_ARC
(22,32),-2.96787 # DEPENDENCYPART_ARC
(22,34),-3.37616 # DEPENDENCYPART_ARC
(22,35),-1.08925 # DEPENDENCYPART_ARC
(23,1),-3.16642 # DEPENDENCYPART_ARC
(23,2),-2.77491 # DEPENDENCYPART_ARC
(23,3),-2.29637 # DEPENDENCYPART_ARC
(23,4),-1.45028 # DEPENDENCYPART_ARC
(23,5),-1.43044 # DEPENDENCYPART_ARC
(23,6),-1.94421 # DEPENDENCYPART_ARC
(23,7),-0.520546 # DEPENDENCYPART_ARC
(23,8),-0.954575 # DEPENDENCYPART_ARC
(23,9),-2.59221 # DEPENDENCYPART_ARC
(23,10),-1.56258 # DEPENDENCYPART_ARC
(23,11),0.145432 # DEPENDENCYPART_ARC
(23,12),-1.56952 # DEPENDENCYPART_ARC
(23,13),-0.409933 # DEPENDENCYPART_ARC
(23,14),0.643362 # DEPENDENCYPART_ARC
(23,15),1.22248 # DEPENDENCYPART_ARC
(23,16),1.53653 # DEPENDENCYPART_ARC
(23,17),0.405084 # DEPENDENCYPART_ARC
(23,18),-0.033102 # DEPENDENCYPART_ARC
(23,19),1.14428 # DEPENDENCYPART_ARC
(23,20),2.63453 # DEPENDENCYPART_ARC
(23,21),4.44629 # DEPENDENCYPART_ARC
(23,22),3.96527 # DEPENDENCYPART_ARC
(23,24),3.3328 # DEPENDENCYPART_ARC
(23,25),-0.474106 # DEPENDENCYPART_ARC
(23,26),0.0497955 # DEPENDENCYPART_ARC
(23,27),1.58456 # DEPENDENCYPART_ARC
(23,28),-0.0225105 # DEPENDENCYPART_ARC
(23,29),-1.83454 # DEPENDENCYPART_ARC
(23,30),0.833129 # DEPENDENCYPART_ARC
(23,31),0.560923 # DEPENDENCYPART_ARC
(23,32),0.649671 # DEPENDENCYPART_ARC
(23,33),-2.87401 # DEPENDENCYPART_ARC
(23,34),0.851949 # DEPENDENCYPART_ARC
(23,35),2.47314 # DEPENDENCYPART_ARC
(24,1),-3.56375 # DEPENDENCYPART_ARC
(24,2),-4.67883 # DEPENDENCYPART_ARC
(24,4),-4.35254 # DEPENDENCYPART_ARC
(24,5),-3.52705 # DEPENDENCYPART_ARC
(24,6),-3.54471 # DEPENDENCYPART_ARC
(24,7),-3.15343 # DEPENDENCYPART_ARC
(24,8),-3.99635 # DEPENDENCYPART_ARC
(24,9),-3.44979 # DEPENDENCYPART_ARC
(24,10),-4.07905 # DEPENDENCYPART_ARC
(24,11),-3.78956 # DEPENDENCYPART_ARC
(24,12),-2.90801 # DEPENDENCYPART_ARC
(24,13),-2.83703 # DEPENDENCYPART_ARC
(24,14),-2.10365 # DEPENDENCYPART_ARC
(24,15),-2.26842 # DEPENDENCYPART_ARC
(24,16),-3.04034 # DEPENDENCYPART_ARC
(24,17),-2.45736 # DEPENDENCYPART_ARC
(24,18),-3.15908 # DEPENDENCYPART_ARC
(24,19),-3.11415 # DEPENDENCYPART_ARC
(24,20),-2.06796 # DEPENDENCYPART_ARC
(24,21),-1.99868 # DEPENDENCYPART_ARC
(24,22),-2.41641 # DEPENDENCYPART_ARC
(24,23),-0.558175 # DEPENDENCYPART_ARC
(24,25),0.396061 # DEPENDENCYPART_ARC
(24,26),1.37341 # DEPENDENCYPART_ARC
(24,27),3.67362 # DEPENDENCYPART_ARC
(24,28),-0.47738 # DEPENDENCYPART_ARC
(24,29),-1.35716 # DEPENDENCYPART_ARC
(24,30),0.458477 # DEPENDENCYPART_ARC
(24,31),-0.837883 # DEPENDENCYPART_ARC
(24,32),-0.688259 # DEPENDENCYPART_ARC
(24,34),-1.8984 # DEPENDENCYPART_ARC
(24,35),-0.43348 # DEPENDENCYPART_ARC
(25,1),-5.78971 # DEPENDENCYPART_ARC
(25,2),-5.3906 # DEPENDENCYPART_ARC
(25,3),-5.14149 # DEPENDENCYPART_ARC
(25,4),-5.25977 # DEPENDENCYPART_ARC
(25,6),-4.84473 # DEPENDENCYPART_ARC
(25,7),-4.57919 # DEPENDENCYPART_ARC
(25,8),-4.78611 # DEPENDENCYPART_ARC
(25,9),-4.79373 # DEPENDENCYPART_ARC
(25,10),-4.62616 # DEPENDENCYPART_ARC
(25,12),-4.02677 # DEPENDENCYPART_ARC
(25,13),-4.29771 # DEPENDENCYPART_ARC
(25,18),-4.78889 # DEPENDENCYPART_ARC
(25,19),-4.08065 # DEPENDENCYPART_ARC
(25,21),-4.11837 # DEPENDENCYPART_ARC
(25,24),-1.57626 # DEPENDENCYPART_ARC
(25,26),-0.0644865 # DEPENDENCYPART_ARC
(25,27),0.0843445 # DEPENDENCYPART_ARC
(25,28),-1.1085 # DEPENDENCYPART_ARC
(25,29),-0.233871 # DEPENDENCYPART_ARC
(25,30),-1.97762 # DEPENDENCYPART_ARC
(25,31),-3.57195 # DEPENDENCYPART_ARC
(25,32),-3.25129 # DEPENDENCYPART_ARC
(25,33),-2.37116 # DEPENDENCYPART_ARC
(25,34),-3.23864 # DEPENDENCYPART_ARC
(26,1),-3.88605 # DEPENDENCYPART_ARC
(26,2),-3.60039 # DEPENDENCYPART_ARC
(26,3),-3.87899 # DEPENDENCYPART_ARC
(26,4),-4.3784 # DEPENDENCYPART_ARC
(26,5),-3.56654 # DEPENDENCYPART_ARC
(26,6),-3.43285 # DEPENDENCYPART_ARC
(26,7),-4.12832 # DEPENDENCYPART_ARC
(26,8),-3.71061 # DEPENDENCYPART_ARC
(26,9),-2.95121 # DEPENDENCYPART_ARC
(26,10),-3.72479 # DEPENDENCYPART_ARC
(26,11),-4.01909 # DEPENDENCYPART_ARC
(26,12),-2.97053 # DEPENDENCYPART_ARC
(26,13),-3.35848 # DEPENDENCYPART_ARC
(26,14),-2.15658 # DEPENDENCYPART_ARC
(26,15),-2.70694 # DEPENDENCYPART_ARC
(26,17),-3.15418 # DEPENDENCYPART_ARC
(26,18),-2.66037 # DEPENDENCYPART_ARC
(26,19),-2.75341 # DEPENDENCYPART_ARC
(26,20),-2.29599 # DEPENDENCYPART_ARC
(26,21),-1.56309 # DEPENDENCYPART_ARC
(26,22),-2.39306 # DEPENDENCYPART_ARC
(26,23),-1.84766 # DEPENDENCYPART_ARC
(26,24),0.18726 # DEPENDENCYPART_ARC
(26,25),1.29807 # DEPENDENCYPART_ARC
(26,27),1.28641 # DEPENDENCYPART_ARC
(26,28),-0.752509 # DEPENDENCYPART_ARC
(26,29),-1.81737 # DEPENDENCYPART_ARC
(26,30),-0.156855 # DEPENDENCYPART_ARC
(26,31),0.182898 # DEPENDENCYPART_ARC
(26,32),-0.471907 # DEPENDENCYPART_ARC
(26,33),-2.43637 # DEPENDENCYPART_ARC
(26,34),-0.65688 # DEPENDENCYPART_ARC
(26,35),-0.944413 # DEPENDENCYPART_ARC
(27,1),-6.83226 # DEPENDENCYPART_ARC
(27,2),-1.7095 # DEPENDENCYPART_ARC
(27,3),-5.70541 # DEPENDENCYPART_ARC
(27,4),-3.11965 # DEPENDENCYPART_ARC
(27,5),-2.71763 # DEPENDENCYPART_ARC
(27,6),-4.17381 # DEPENDENCYPART_ARC
(27,7),-0.640776 # DEPENDENCYPART_ARC
(27,8),-2.51306 # DEPENDENCYPART_ARC
(27,9),-1.33888 # DEPENDENCYPART_ARC
(27,10),-2.00922 # DEPENDENCYPART_ARC
(27,11),-0.536763 # DEPENDENCYPART_ARC
(27,12),-2.48282 # DEPENDENCYPART_ARC
(27,13),-0.532802 # DEPENDENCYPART_ARC
(27,14),-0.491155 # DEPENDENCYPART_ARC
(27,15),-0.766218 # DEPENDENCYPART_ARC
(27,17),-1.69359 # DEPENDENCYPART_ARC
(27,18),-1.90175 # DEPENDENCYPART_ARC
(27,19),-1.86274 # DEPENDENCYPART_ARC
(27,20),-0.516268 # DEPENDENCYPART_ARC
(27,21),-0.693242 # DEPENDENCYPART_ARC
(27,22),-1.99517 # DEPENDENCYPART_ARC
(27,23),-0.675033 # DEPENDENCYPART_ARC
(27,24),0.907257 # DEPENDENCYPART_ARC
(27,25),3.9391 # DEPENDENCYPART_ARC
(27,26),4.7314 # DEPENDENCYPART_ARC
(27,28),3.41375 # DEPENDENCYPART_ARC
(27,29),0.150814 # DEPENDENCYPART_ARC
(27,30),1.28889 # DEPENDENCYPART_ARC
(27,31),2.98204 # DEPENDENCYPART_ARC
(27,32),1.59165 # DEPENDENCYPART_ARC
(27,33),-0.817104 # DEPENDENCYPART_ARC
(27,34),1.10304 # DEPENDENCYPART_ARC
(27,35),1.48681 # DEPENDENCYPART_ARC
(28,1),-3.12259 # DEPENDENCYPART_ARC
(28,2),-3.98392 # DEPENDENCYPART_ARC
(28,4),-3.87805 # DEPENDENCYPART_ARC
(28,5),-3.29716 # DEPENDENCYPART_ARC
(28,6),-2.99903 # DEPENDENCYPART_ARC
(28,7),-2.79079 # DEPENDENCYPART_ARC
(28,8),-3.33952 # DEPENDENCYPART_ARC
(28,9),-2.90374 # DEPENDENCYPART_ARC
(28,10),-3.30189 # DEPENDENCYPART_ARC
(28,11),-3.30162 # DEPENDENCYPART_ARC
(28,12),-2.23409 # DEPENDENCYPART_ARC
(28,13),-2.31532 # DEPENDENCYPART_ARC
(28,14),-1.83991 # DEPENDENCYPART_ARC
(28,15),-1.693 # DEPENDENCYPART_ARC
(28,16),-2.09697 # DEPENDENCYPART_ARC
(28,17),-1.9254 # DEPENDENCYPART_ARC
(28,18),-2.53471 # DEPENDENCYPART_ARC
(28,19),-2.62791 # DEPENDENCYPART_ARC
(28,20),-2.13349 # DEPENDENCYPART_ARC
(28,21),-1.88161 # DEPENDENCYPART_ARC
(28,22),-2.69026 # DEPENDENCYPART_ARC
(28,23),-1.15894 # DEPENDENCYPART_ARC
(28,24),-0.561354 # DEPENDENCYPART_ARC
(28,25),-0.65322 # DEPENDENCYPART_ARC
(28,26),-0.755263 # DEPENDENCYPART_ARC
(28,27),-0.429058 # DEPENDENCYPART_ARC
(28,29),0.369408 # DEPENDENCYPART_ARC
(28,30),4.15269 # DEPENDENCYPART_ARC
(28,31),0.295567 # DEPENDENCYPART_ARC
(28,32),-0.990969 # DEPENDENCYPART_ARC
(28,34),0.597313 # DEPENDENCYPART_ARC
(28,35),-0.686062 # DEPENDENCYPART_ARC
(29,1),-4.95511 # DEPENDENCYPART_ARC
(29,2),-4.05808 # DEPENDENCYPART_ARC
(29,3),-4.29032 # DEPENDENCYPART_ARC
(29,4),-3.9381 # DEPENDENCYPART_ARC
(29,6),-3.91795 # DEPENDENCYPART_ARC
(29,7),-3.25835 # DEPENDENCYPART_ARC
(29,8),-3.58167 # DEPENDENCYPART_ARC
(29,9),-3.43451 # DEPENDENCYPART_ARC
(29,10),-3.30574 # DEPENDENCYPART_ARC
(29,12),-2.99622 # DEPENDENCYPART_ARC
(29,13),-2.94895 # DEPENDENCYPART_ARC
(29,18),-4.03376 # DEPENDENCYPART_ARC
(29,19),-2.85046 # DEPENDENCYPART_ARC
(29,21),-3.2391 # DEPENDENCYPART_ARC
(29,24),-1.69205 # DEPENDENCYPART_ARC
(29,25),-1.75144 # DEPENDENCYPART_ARC
(29,26),-1.11331 # DEPENDENCYPART_ARC
(29,27),-0.831025 # DEPENDENCYPART_ARC
(29,28),0.0328694 # DEPENDENCYPART_ARC
(29,30),-0.00506197 # DEPENDENCYPART_ARC
(29,31),-2.57505 # DEPENDENCYPART_ARC
(29,32),-2.9148 # DEPENDENCYPART_ARC
(29,33),-1.21889 # DEPENDENCYPART_ARC
(29,34),-3.05671 # DEPENDENCYPART_ARC
(30,1),-6.16845 # DEPENDENCYPART_ARC
(30,2),-2.84661 # DEPENDENCYPART_ARC
(30,3),-6.36335 # DEPENDENCYPART_ARC
(30,4),-4.02863 # DEPENDENCYPART_ARC
(30,5),-5.1736 # DEPENDENCYPART_ARC
(30,6),-4.95833 # DEPENDENCYPART_ARC
(30,7),-3.39632 # DEPENDENCYPART_ARC
(30,8),-3.74054 # DEPENDENCYPART_ARC
(30,9),-1.99476 # DEPENDENCYPART_ARC
(30,10),-3.05092 # DEPENDENCYPART_ARC
(30,11),-1.87344 # DEPENDENCYPART_ARC
(30,12),-3.74159 # DEPENDENCYPART_ARC
(30,13),-3.35098 # DEPENDENCYPART_ARC
(30,14),-0.33518 # DEPENDENCYPART_ARC
(30,15),-1.43832 # DEPENDENCYPART_ARC
(30,17),-3.79887 # DEPENDENCYPART_ARC
(30,18),-3.60536 # DEPENDENCYPART_ARC
(30,19),-2.94406 # DEPENDENCYPART_ARC
(30,20),-1.79233 # DEPENDENCYPART_ARC
(30,21),-1.42536 # DEPENDENCYPART_ARC
(30,22),-2.22324 # DEPENDENCYPART_ARC
(30,23),-2.70064 # DEPENDENCYPART_ARC
(30,24),-0.328165 # DEPENDENCYPART_ARC
(30,25),0.109389 # DEPENDENCYPART_ARC
(30,26),-0.869424 # DEPENDENCYPART_ARC
(30,27),-1.09623 # DEPENDENCYPART_ARC
(30,28),0.721456 # DEPENDENCYPART_ARC
(30,29),3.40969 # DEPENDENCYPART_ARC
(30,31),2.65913 # DEPENDENCYPART_ARC
(30,32),0.0141061 # DEPENDENCYPART_ARC
(30,33),-1.46189 # DEPENDENCYPART_ARC
(30,34),0.658811 # DEPENDENCYPART_ARC
(30,35),0.0731743 # DEPENDENCYPART_ARC
(31,1),-3.64472 # DEPENDENCYPART_ARC
(31,2),-3.09763 # DEPENDENCYPART_ARC
(31,3),-3.59027 # DEPENDENCYPART_ARC
(31,4),-4.59123 # DEPENDENCYPART_ARC
(31,5),-3.07381 # DEPENDENCYPART_ARC
(31,6),-3.22846 # DEPENDENCYPART_ARC
(31,7),-5.29655 # DEPENDENCYPART_ARC
(31,8),-3.87436 # DEPENDENCYPART_ARC
(31,9),-3.29412 # DEPENDENCYPART_ARC
(31,10),-4.14096 # DEPENDENCYPART_ARC
(31,11),-3.07395 # DEPENDENCYPART_ARC
(31,12),-2.75831 # DEPENDENCYPART_ARC
(31,13),-4.4478 # DEPENDENCYPART_ARC
(31,14),-1.79282 # DEPENDENCYPART_ARC
(31,15),-3.11317 # DEPENDENCYPART_ARC
(31,17),-2.85988 # DEPENDENCYPART_ARC
(31,18),-2.96185 # DEPENDENCYPART_ARC
(31,19),-2.83637 # DEPENDENCYPART_ARC
(31,20),-2.10073 # DEPENDENCYPART_ARC
(31,21),-1.96708 # DEPENDENCYPART_ARC
(31,22),-3.45653 # DEPENDENCYPART_ARC
(31,23),-2.21287 # DEPENDENCYPART_ARC
(31,24),-0.373011 # DEPENDENCYPART_ARC
(31,25),-1.72795 # DEPENDENCYPART_ARC
(31,26),-2.95015 # DEPENDENCYPART_ARC
(31,27),-1.37774 # DEPENDENCYPART_ARC
(31,28),0.465492 # DEPENDENCYPART_ARC
(31,29),0.19814 # DEPENDENCYPART_ARC
(31,30),0.558286 # DEPENDENCYPART_ARC
(31,32),3.12971 # DEPENDENCYPART_ARC
(31,33),-1.41988 # DEPENDENCYPART_ARC
(31,34),0.689181 # DEPENDENCYPART_ARC
(31,35),-0.118545 # DEPENDENCYPART_ARC
(32,1),-3.53391 # DEPENDENCYPART_ARC
(32,2),-5.936 # DEPENDENCYPART_ARC
(32,4),-4.39484 # DEPENDENCYPART_ARC
(32,5),-2.25007 # DEPENDENCYPART_ARC
(32,6),-3.43834 # DEPENDENCYPART_ARC
(32,7),-2.83757 # DEPENDENCYPART_ARC
(32,8),-3.8888 # DEPENDENCYPART_ARC
(32,9),-4.35486 # DEPENDENCYPART_ARC
(32,10),-3.90472 # DEPENDENCYPART_ARC
(32,11),-3.89549 # DEPENDENCYPART_ARC
(32,12),-2.61647 # DEPENDENCYPART_ARC
(32,13),-2.36826 # DEPENDENCYPART_ARC
(32,14),-1.66741 # DEPENDENCYPART_ARC
(32,15),-1.75999 # DEPENDENCYPART_ARC
(32,16),-2.27365 # DEPENDENCYPART_ARC
(32,17),-1.35741 # DEPENDENCYPART_ARC
(32,18),-2.93809 # DEPENDENCYPART_ARC
(32,19),-2.95027 # DEPENDENCYPART_ARC
(32,20),-2.5097 # DEPENDENCYPART_ARC
(32,21),-1.96308 # DEPENDENCYPART_ARC
(32,22),-3.00649 # DEPENDENCYPART_ARC
(32,23),-1.16574 # DEPENDENCYPART_ARC
(32,24),-1.47182 # DEPENDENCYPART_ARC
(32,25),-1.952 # DEPENDENCYPART_ARC
(32,26),-1.83052 # DEPENDENCYPART_ARC
(32,27),-2.13308 # DEPENDENCYPART_ARC
(32,28),-0.877899 # DEPENDENCYPART_ARC
(32,29),-0.852043 # DEPENDENCYPART_ARC
(32,30),-1.04486 # DEPENDENCYPART_ARC
(32,31),0.156675 # DEPENDENCYPART_ARC
(32,34),4.72962 # DEPENDENCYPART_ARC
(32,35),-0.380409 # DEPENDENCYPART_ARC
(33,7),-3.64389 # DEPENDENCYPART_ARC
(33,13),-3.2239 # DEPENDENCYPART_ARC
(33,26),-1.97802 # DEPENDENCYPART_ARC
(33,31),-0.853587 # DEPENDENCYPART_ARC
(34,1),-9.24996 # DEPENDENCYPART_ARC
(34,2),-2.79977 # DEPENDENCYPART_ARC
(34,3),-7.743 # DEPENDENCYPART_ARC
(34,4),-4.34692 # DEPENDENCYPART_ARC
(34,5),-2.83699 # DEPENDENCYPART_ARC
(34,6),-7.13574 # DEPENDENCYPART_ARC
(34,7),-3.43079 # DEPENDENCYPART_ARC
(34,8),-3.83644 # DEPENDENCYPART_ARC
(34,9),-2.76491 # DEPENDENCYPART_ARC
(34,10),-2.93498 # DEPENDENCYPART_ARC
(34,11),-2.03285 # DEPENDENCYPART_ARC
(34,12),-5.45746 # DEPENDENCYPART_ARC
(34,13),-3.329 # DEPENDENCYPART_ARC
(34,14),-1.09642 # DEPENDENCYPART_ARC
(34,15),-1.62351 # DEPENDENCYPART_ARC
(34,17),-2.39302 # DEPENDENCYPART_ARC
(34,18),-4.55461 # DEPENDENCYPART_ARC
(34,19),-3.12081 # DEPENDENCYPART_ARC
(34,20),-2.01205 # DEPENDENCYPART_ARC
(34,21),-2.06564 # DEPENDENCYPART_ARC
(34,22),-4.39814 # DEPENDENCYPART_ARC
(34,23),-2.1188 # DEPENDENCYPART_ARC
(34,24),-0.908948 # DEPENDENCYPART_ARC
(34,25),-1.44133 # DEPENDENCYPART_ARC
(34,26),-0.667116 # DEPENDENCYPART_ARC
(34,27),-1.9278 # DEPENDENCYPART_ARC
(34,28),-0.510206 # DEPENDENCYPART_ARC
(34,29),0.877256 # DEPENDENCYPART_ARC
(34,30),-1.43384 # DEPENDENCYPART_ARC
(34,31),-0.84976 # DEPENDENCYPART_ARC
(34,32),0.530153 # DEPENDENCYPART_ARC
(34,33),4.01703 # DEPENDENCYPART_ARC
(34,35),-0.399587 # DEPENDENCYPART_ARC
