# _root_ كَما أَعْلَنَت أَنَّ طائِراتِ مُكافَحَةِ المُخَدِّراتِ , وَ هِيَ جُزْءٌ مِن بَرْنامَجِ المُراقَبَةِ الجَوِّيَّةِ الَّذِي تُمَوِّلُ هُ الوِلاياتُ المُتَّحِدَةُ , سَ يَتِمُّ اِسْتِئْنافُ العَمَلِ بِ ها قَرِيباً جِدّاً .
#goldHeads=0,0,2,22,4,5,10,10,10,4,10,11,12,13,12,12,16,16,18,10,22,3,22,23,24,25,22,27,0,
#predictedHeads=0,0,2,10,4,5,6,0,10,8,10,11,12,13,13,13,16,16,18,19,22,10,22,23,22,25,22,27,0,
(17,21),-1.25413 # DEPENDENCYPART_ARC
(17,22),-1.85098 # DEPENDENCYPART_ARC
(17,23),-2.30936 # DEPENDENCYPART_ARC
(17,24),-2.91752 # DEPENDENCYPART_ARC
(17,25),-1.47581 # DEPENDENCYPART_ARC
(17,26),-2.35068 # DEPENDENCYPART_ARC
(17,27),-2.44358 # DEPENDENCYPART_ARC
(17,28),-2.16178 # DEPENDENCYPART_ARC
(17,29),-1.88523 # DEPENDENCYPART_ARC
(18,1),-1.18683 # DEPENDENCYPART_ARC
(18,2),-2.23342 # DEPENDENCYPART_ARC
(18,3),-0.853325 # DEPENDENCYPART_ARC
(18,4),-1.49487 # DEPENDENCYPART_ARC
(18,5),-3.7109 # DEPENDENCYPART_ARC
(18,6),-2.83981 # DEPENDENCYPART_ARC
(18,7),-1.26269 # DEPENDENCYPART_ARC
(18,8),-1.23275 # DEPENDENCYPART_ARC
(18,9),-0.671515 # DEPENDENCYPART_ARC
(18,10),-1.38186 # DEPENDENCYPART_ARC
(18,11),-0.892506 # DEPENDENCYPART_ARC
(18,12),-2.76933 # DEPENDENCYPART_ARC
(18,13),-2.825 # DEPENDENCYPART_ARC
(18,14),-2.21323 # DEPENDENCYPART_ARC
(18,15),-0.621589 # DEPENDENCYPART_ARC
(18,16),-1.53424 # DEPENDENCYPART_ARC
(18,17),0.255364 # DEPENDENCYPART_ARC
(18,19),3.27196 # DEPENDENCYPART_ARC
(18,20),-0.0431556 # DEPENDENCYPART_ARC
(18,21),-0.929401 # DEPENDENCYPART_ARC
(18,22),-0.621213 # DEPENDENCYPART_ARC
(18,23),-2.82302 # DEPENDENCYPART_ARC
(18,24),-2.10209 # DEPENDENCYPART_ARC
(18,25),-1.31628 # DEPENDENCYPART_ARC
(18,26),-2.54055 # DEPENDENCYPART_ARC
(18,27),-4.62964 # DEPENDENCYPART_ARC
(18,28),-3.62885 # DEPENDENCYPART_ARC
(18,29),-1.87658 # DEPENDENCYPART_ARC
(19,1),-1.44653 # DEPENDENCYPART_ARC
(19,2),-2.05358 # DEPENDENCYPART_ARC
(19,3),-1.20733 # DEPENDENCYPART_ARC
(19,4),-0.854975 # DEPENDENCYPART_ARC
(19,5),-3.77281 # DEPENDENCYPART_ARC
(19,6),-3.3201 # DEPENDENCYPART_ARC
(19,7),-1.0739 # DEPENDENCYPART_ARC
(19,8),-1.55416 # DEPENDENCYPART_ARC
(19,9),-1.44155 # DEPENDENCYPART_ARC
(19,10),-1.96337 # DEPENDENCYPART_ARC
(19,11),-1.32773 # DEPENDENCYPART_ARC
(19,12),-1.97038 # DEPENDENCYPART_ARC
(19,13),-2.97673 # DEPENDENCYPART_ARC
(19,14),-2.68338 # DEPENDENCYPART_ARC
(19,15),-0.992764 # DEPENDENCYPART_ARC
(19,16),-1.51556 # DEPENDENCYPART_ARC
(19,17),-0.526654 # DEPENDENCYPART_ARC
(19,18),-0.539447 # DEPENDENCYPART_ARC
(19,20),0.887057 # DEPENDENCYPART_ARC
(19,21),-0.609405 # DEPENDENCYPART_ARC
(19,22),-1.58459 # DEPENDENCYPART_ARC
(19,23),-1.91008 # DEPENDENCYPART_ARC
(19,24),-1.53005 # DEPENDENCYPART_ARC
(19,25),-0.633968 # DEPENDENCYPART_ARC
(19,26),-0.908091 # DEPENDENCYPART_ARC
(19,27),-1.3072 # DEPENDENCYPART_ARC
(19,28),-1.46871 # DEPENDENCYPART_ARC
(19,29),-1.10806 # DEPENDENCYPART_ARC
(20,1),-1.08113 # DEPENDENCYPART_ARC
(20,2),-1.17301 # DEPENDENCYPART_ARC
(20,3),-1.16431 # DEPENDENCYPART_ARC
(20,4),-0.480969 # DEPENDENCYPART_ARC
(20,5),-0.554176 # DEPENDENCYPART_ARC
(20,6),-0.878066 # DEPENDENCYPART_ARC
(20,7),-1.03054 # DEPENDENCYPART_ARC
(20,8),-1.00173 # DEPENDENCYPART_ARC
(20,9),-0.787192 # DEPENDENCYPART_ARC
(20,10),-0.612409 # DEPENDENCYPART_ARC
(20,11),-0.980085 # DEPENDENCYPART_ARC
(20,12),0.0201263 # DEPENDENCYPART_ARC
(20,13),-0.221761 # DEPENDENCYPART_ARC
(20,14),-0.591828 # DEPENDENCYPART_ARC
(20,15),-0.528618 # DEPENDENCYPART_ARC
(20,16),-0.113268 # DEPENDENCYPART_ARC
(20,17),-0.153428 # DEPENDENCYPART_ARC
(20,18),0.260896 # DEPENDENCYPART_ARC
(20,19),0.657923 # DEPENDENCYPART_ARC
(20,21),0.159731 # DEPENDENCYPART_ARC
(20,22),-0.197016 # DEPENDENCYPART_ARC
(20,23),-0.771823 # DEPENDENCYPART_ARC
(20,24),-0.938632 # DEPENDENCYPART_ARC
(20,25),-0.960838 # DEPENDENCYPART_ARC
(20,26),-1.16484 # DEPENDENCYPART_ARC
(20,27),-0.892518 # DEPENDENCYPART_ARC
(20,28),-1.21721 # DEPENDENCYPART_ARC
(20,29),-0.848292 # DEPENDENCYPART_ARC
(21,1),-1.16669 # DEPENDENCYPART_ARC
(21,2),-1.19854 # DEPENDENCYPART_ARC
(21,3),-1.15301 # DEPENDENCYPART_ARC
(21,4),-1.2811 # DEPENDENCYPART_ARC
(21,5),-1.12999 # DEPENDENCYPART_ARC
(21,6),-1.23691 # DEPENDENCYPART_ARC
(21,7),-1.211 # DEPENDENCYPART_ARC
(21,8),-1.26282 # DEPENDENCYPART_ARC
(21,9),-1.00534 # DEPENDENCYPART_ARC
(21,10),-1.0673 # DEPENDENCYPART_ARC
(21,11),-0.892956 # DEPENDENCYPART_ARC
(21,12),-0.935856 # DEPENDENCYPART_ARC
(21,13),-0.937264 # DEPENDENCYPART_ARC
(21,14),-1.0034 # DEPENDENCYPART_ARC
(21,15),-0.805195 # DEPENDENCYPART_ARC
(21,16),-0.699804 # DEPENDENCYPART_ARC
(21,17),-0.743075 # DEPENDENCYPART_ARC
(21,18),-0.439096 # DEPENDENCYPART_ARC
(21,19),-0.491883 # DEPENDENCYPART_ARC
(21,20),-0.0349312 # DEPENDENCYPART_ARC
(21,22),0.173903 # DEPENDENCYPART_ARC
(21,23),-0.186971 # DEPENDENCYPART_ARC
(21,24),-0.740043 # DEPENDENCYPART_ARC
(21,25),-0.866944 # DEPENDENCYPART_ARC
(21,26),-0.941379 # DEPENDENCYPART_ARC
(21,27),-1.2526 # DEPENDENCYPART_ARC
(21,28),-1.25605 # DEPENDENCYPART_ARC
(21,29),-1.01871 # DEPENDENCYPART_ARC
(22,1),-0.57708 # DEPENDENCYPART_ARC
(22,2),-1.61842 # DEPENDENCYPART_ARC
(22,3),-0.113544 # DEPENDENCYPART_ARC
(22,4),-1.29462 # DEPENDENCYPART_ARC
(22,5),-5.67641 # DEPENDENCYPART_ARC
(22,6),-5.07756 # DEPENDENCYPART_ARC
(22,7),-1.07183 # DEPENDENCYPART_ARC
(22,8),-0.355494 # DEPENDENCYPART_ARC
(22,9),-0.969348 # DEPENDENCYPART_ARC
(22,10),-0.530581 # DEPENDENCYPART_ARC
(22,11),-0.378635 # DEPENDENCYPART_ARC
(22,12),-2.50052 # DEPENDENCYPART_ARC
(22,13),-3.89661 # DEPENDENCYPART_ARC
(22,14),-3.89301 # DEPENDENCYPART_ARC
(22,15),-0.748805 # DEPENDENCYPART_ARC
(22,16),-1.98255 # DEPENDENCYPART_ARC
(22,17),-1.35566 # DEPENDENCYPART_ARC
(22,18),-0.522023 # DEPENDENCYPART_ARC
(22,19),-1.62248 # DEPENDENCYPART_ARC
(22,20),0.479807 # DEPENDENCYPART_ARC
(22,21),2.82886 # DEPENDENCYPART_ARC
(22,23),3.05906 # DEPENDENCYPART_ARC
(22,24),0.0567932 # DEPENDENCYPART_ARC
(22,25),1.42815 # DEPENDENCYPART_ARC
(22,26),-1.25526 # DEPENDENCYPART_ARC
(22,27),2.16777 # DEPENDENCYPART_ARC
(22,28),0.987978 # DEPENDENCYPART_ARC
(22,29),0.0286747 # DEPENDENCYPART_ARC
(23,1),-1.93068 # DEPENDENCYPART_ARC
(23,2),-2.29322 # DEPENDENCYPART_ARC
(23,3),-1.37021 # DEPENDENCYPART_ARC
(23,4),-0.741997 # DEPENDENCYPART_ARC
(23,5),-2.37174 # DEPENDENCYPART_ARC
(23,6),-2.37391 # DEPENDENCYPART_ARC
(23,7),-1.36842 # DEPENDENCYPART_ARC
(23,8),-2.04676 # DEPENDENCYPART_ARC
(23,9),-2.10516 # DEPENDENCYPART_ARC
(23,10),-1.55559 # DEPENDENCYPART_ARC
(23,11),-1.29592 # DEPENDENCYPART_ARC
(23,12),-1.95521 # DEPENDENCYPART_ARC
(23,13),-2.13174 # DEPENDENCYPART_ARC
(23,14),-2.96314 # DEPENDENCYPART_ARC
(23,15),-1.59365 # DEPENDENCYPART_ARC
(23,16),-1.52966 # DEPENDENCYPART_ARC
(23,17),-1.90095 # DEPENDENCYPART_ARC
(23,18),-0.929269 # DEPENDENCYPART_ARC
(23,19),-2.31889 # DEPENDENCYPART_ARC
(23,20),-0.885837 # DEPENDENCYPART_ARC
(23,21),-0.389761 # DEPENDENCYPART_ARC
(23,22),-0.240639 # DEPENDENCYPART_ARC
(23,24),3.09233 # DEPENDENCYPART_ARC
(23,25),1.26096 # DEPENDENCYPART_ARC
(23,26),0.834055 # DEPENDENCYPART_ARC
(23,27),-0.488507 # DEPENDENCYPART_ARC
(23,28),-0.036477 # DEPENDENCYPART_ARC
(23,29),-0.235118 # DEPENDENCYPART_ARC
(24,1),-1.85592 # DEPENDENCYPART_ARC
(24,2),-2.40199 # DEPENDENCYPART_ARC
(24,3),-1.60629 # DEPENDENCYPART_ARC
(24,4),-2.02343 # DEPENDENCYPART_ARC
(24,5),-3.15864 # DEPENDENCYPART_ARC
(24,6),-3.14065 # DEPENDENCYPART_ARC
(24,7),-1.6953 # DEPENDENCYPART_ARC
(24,8),-1.91007 # DEPENDENCYPART_ARC
(24,9),-2.08667 # DEPENDENCYPART_ARC
(24,10),-2.22836 # DEPENDENCYPART_ARC
(24,11),-1.32275 # DEPENDENCYPART_ARC
(24,12),-2.74323 # DEPENDENCYPART_ARC
(24,13),-2.73469 # DEPENDENCYPART_ARC
(24,14),-1.61446 # DEPENDENCYPART_ARC
(24,15),-1.68025 # DEPENDENCYPART_ARC
(24,16),-1.45869 # DEPENDENCYPART_ARC
(24,17),-1.89778 # DEPENDENCYPART_ARC
(24,18),-2.04691 # DEPENDENCYPART_ARC
(24,19),-1.24826 # DEPENDENCYPART_ARC
(24,20),-0.977405 # DEPENDENCYPART_ARC
(24,21),-0.612227 # DEPENDENCYPART_ARC
(24,22),-0.581443 # DEPENDENCYPART_ARC
(24,23),-0.648463 # DEPENDENCYPART_ARC
(24,25),1.16305 # DEPENDENCYPART_ARC
(24,26),-0.626615 # DEPENDENCYPART_ARC
(24,27),-2.65612 # DEPENDENCYPART_ARC
(24,28),-1.64484 # DEPENDENCYPART_ARC
(24,29),-0.75874 # DEPENDENCYPART_ARC
(25,1),-2.35454 # DEPENDENCYPART_ARC
(25,2),-1.73619 # DEPENDENCYPART_ARC
(25,3),-2.53832 # DEPENDENCYPART_ARC
(25,4),-1.85077 # DEPENDENCYPART_ARC
(25,5),-1.52938 # DEPENDENCYPART_ARC
(25,6),-1.38909 # DEPENDENCYPART_ARC
(25,7),-1.7518 # DEPENDENCYPART_ARC
(25,8),-1.49636 # DEPENDENCYPART_ARC
(25,9),-0.897927 # DEPENDENCYPART_ARC
(25,10),-1.11431 # DEPENDENCYPART_ARC
(25,11),-2.06595 # DEPENDENCYPART_ARC
(25,12),-1.12355 # DEPENDENCYPART_ARC
(25,13),-1.08654 # DEPENDENCYPART_ARC
(25,14),-1.1483 # DEPENDENCYPART_ARC
(25,15),-0.874883 # DEPENDENCYPART_ARC
(25,16),-0.987868 # DEPENDENCYPART_ARC
(25,17),-1.2142 # DEPENDENCYPART_ARC
(25,18),-1.05206 # DEPENDENCYPART_ARC
(25,19),-1.17409 # DEPENDENCYPART_ARC
(25,20),-0.864604 # DEPENDENCYPART_ARC
(25,21),-0.588192 # DEPENDENCYPART_ARC
(25,22),-0.547407 # DEPENDENCYPART_ARC
(25,23),-0.317042 # DEPENDENCYPART_ARC
(25,24),0.40994 # DEPENDENCYPART_ARC
(25,26),2.63168 # DEPENDENCYPART_ARC
(25,27),0.446315 # DEPENDENCYPART_ARC
(25,28),0.511418 # DEPENDENCYPART_ARC
(25,29),-0.298348 # DEPENDENCYPART_ARC
(26,1),-1.78794 # DEPENDENCYPART_ARC
(26,2),-4.2826 # DEPENDENCYPART_ARC
(26,3),-2.03849 # DEPENDENCYPART_ARC
(26,4),-1.72149 # DEPENDENCYPART_ARC
(26,5),-2.54177 # DEPENDENCYPART_ARC
(26,6),-1.68014 # DEPENDENCYPART_ARC
(26,7),-1.64975 # DEPENDENCYPART_ARC
(26,8),-1.45549 # DEPENDENCYPART_ARC
(26,9),-1.83611 # DEPENDENCYPART_ARC
(26,10),-1.36561 # DEPENDENCYPART_ARC
(26,11),-1.37851 # DEPENDENCYPART_ARC
(26,12),-1.87236 # DEPENDENCYPART_ARC
(26,13),-2.00054 # DEPENDENCYPART_ARC
(26,14),-1.82419 # DEPENDENCYPART_ARC
(26,15),-1.00548 # DEPENDENCYPART_ARC
(26,16),-2.50472 # DEPENDENCYPART_ARC
(26,17),-1.95968 # DEPENDENCYPART_ARC
(26,18),-1.66719 # DEPENDENCYPART_ARC
(26,19),-1.63568 # DEPENDENCYPART_ARC
(26,20),-1.08847 # DEPENDENCYPART_ARC
(26,21),-0.928642 # DEPENDENCYPART_ARC
(26,22),-1.81147 # DEPENDENCYPART_ARC
(26,23),-1.01476 # DEPENDENCYPART_ARC
(26,24),-1.31347 # DEPENDENCYPART_ARC
(26,25),0.0106492 # DEPENDENCYPART_ARC
(26,27),-0.316701 # DEPENDENCYPART_ARC
(26,28),-1.00053 # DEPENDENCYPART_ARC
(26,29),-0.673199 # DEPENDENCYPART_ARC
(27,1),-1.2216 # DEPENDENCYPART_ARC
(27,2),-1.80834 # DEPENDENCYPART_ARC
(27,3),-1.27626 # DEPENDENCYPART_ARC
(27,4),-1.44272 # DEPENDENCYPART_ARC
(27,5),-3.25661 # DEPENDENCYPART_ARC
(27,6),-2.63102 # DEPENDENCYPART_ARC
(27,7),-0.928113 # DEPENDENCYPART_ARC
(27,8),-1.40235 # DEPENDENCYPART_ARC
(27,9),-1.99769 # DEPENDENCYPART_ARC
(27,10),-2.0393 # DEPENDENCYPART_ARC
(27,11),-0.94945 # DEPENDENCYPART_ARC
(27,12),-1.64867 # DEPENDENCYPART_ARC
(27,13),-2.56326 # DEPENDENCYPART_ARC
(27,14),-2.25318 # DEPENDENCYPART_ARC
(27,15),-0.948592 # DEPENDENCYPART_ARC
(27,16),-1.39844 # DEPENDENCYPART_ARC
(27,17),-1.56281 # DEPENDENCYPART_ARC
(27,18),-1.03141 # DEPENDENCYPART_ARC
(27,19),-1.88087 # DEPENDENCYPART_ARC
(27,20),-0.325725 # DEPENDENCYPART_ARC
(27,21),-0.206786 # DEPENDENCYPART_ARC
(27,22),-0.982325 # DEPENDENCYPART_ARC
(27,23),-0.0146116 # DEPENDENCYPART_ARC
(27,24),-0.334255 # DEPENDENCYPART_ARC
(27,25),0.239466 # DEPENDENCYPART_ARC
(27,26),-0.266421 # DEPENDENCYPART_ARC
(27,28),2.05353 # DEPENDENCYPART_ARC
(27,29),0.0494081 # DEPENDENCYPART_ARC
(28,1),-1.89615 # DEPENDENCYPART_ARC
(28,2),-2.15795 # DEPENDENCYPART_ARC
(28,3),-1.58187 # DEPENDENCYPART_ARC
(28,4),-1.01688 # DEPENDENCYPART_ARC
(28,5),-2.73395 # DEPENDENCYPART_ARC
(28,6),-1.96827 # DEPENDENCYPART_ARC
(28,7),-1.77158 # DEPENDENCYPART_ARC
(28,8),-2.2034 # DEPENDENCYPART_ARC
(28,9),-2.44062 # DEPENDENCYPART_ARC
(28,10),-1.61566 # DEPENDENCYPART_ARC
(28,11),-1.53915 # DEPENDENCYPART_ARC
(28,12),-1.98188 # DEPENDENCYPART_ARC
(28,13),-2.1314 # DEPENDENCYPART_ARC
(28,14),-2.53719 # DEPENDENCYPART_ARC
(28,15),-2.00067 # DEPENDENCYPART_ARC
(28,16),-1.39864 # DEPENDENCYPART_ARC
(28,17),-1.62097 # DEPENDENCYPART_ARC
(28,18),-0.475628 # DEPENDENCYPART_ARC
(28,19),-2.04532 # DEPENDENCYPART_ARC
(28,20),-1.1248 # DEPENDENCYPART_ARC
(28,21),-0.802668 # DEPENDENCYPART_ARC
(28,22),-0.819893 # DEPENDENCYPART_ARC
(28,23),-0.351661 # DEPENDENCYPART_ARC
(28,24),-0.698673 # DEPENDENCYPART_ARC
(28,25),-0.507917 # DEPENDENCYPART_ARC
(28,26),-1.53475 # DEPENDENCYPART_ARC
(28,27),-0.48348 # DEPENDENCYPART_ARC
(28,29),0.521087 # DEPENDENCYPART_ARC
(29,1),-3.17702 # DEPENDENCYPART_ARC
(29,2),-4.25989 # DEPENDENCYPART_ARC
(29,3),-3.18239 # DEPENDENCYPART_ARC
(29,4),-3.6812 # DEPENDENCYPART_ARC
(29,5),-3.61016 # DEPENDENCYPART_ARC
(29,6),-3.71115 # DEPENDENCYPART_ARC
(29,7),-2.90962 # DEPENDENCYPART_ARC
(29,8),-3.4376 # DEPENDENCYPART_ARC
(29,9),-2.17917 # DEPENDENCYPART_ARC
(29,10),-3.29037 # DEPENDENCYPART_ARC
(29,11),-2.64995 # DEPENDENCYPART_ARC
(29,12),-2.71835 # DEPENDENCYPART_ARC
(29,13),-2.50648 # DEPENDENCYPART_ARC
(29,14),-2.36124 # DEPENDENCYPART_ARC
(29,15),-2.27769 # DEPENDENCYPART_ARC
(29,16),-2.66774 # DEPENDENCYPART_ARC
(29,17),-2.1064 # DEPENDENCYPART_ARC
(29,18),-2.65558 # DEPENDENCYPART_ARC
(29,19),-2.14109 # DEPENDENCYPART_ARC
(29,20),-1.97685 # DEPENDENCYPART_ARC
(29,21),-2.0057 # DEPENDENCYPART_ARC
(29,22),-1.92231 # DEPENDENCYPART_ARC
(29,23),-1.9302 # DEPENDENCYPART_ARC
(29,24),-1.59982 # DEPENDENCYPART_ARC
(29,25),-1.49523 # DEPENDENCYPART_ARC
(29,26),-1.47635 # DEPENDENCYPART_ARC
(29,27),-1.29072 # DEPENDENCYPART_ARC
(29,28),-1.02883 # DEPENDENCYPART_ARC
