# _root_ وَ كانَ خَطُّ الإِنْتاجِ هٰذا قَد بَدَأَ بِناؤُ هُ فِي مايُو 2002 , وَ طاقَتُ هُ الإِنْتاجِيَّةُ التصميمية 150 أَلْفَ طُنِّ سَنَوِيّاً , وَ مُنْتَجاتُ هُ تُناسِبُ قِطاعَيْ العُمْرانِ وَ الأَجْهِزَةِ الكَهْرَبائِيَّةِ المَنْزِلِيَّةِ .
#goldHeads=0,14,2,3,3,7,2,7,8,7,10,11,12,0,19,15,15,15,14,19,20,19,22,14,27,25,14,27,30,28,30,31,31,0,
#predictedHeads=0,0,2,3,4,7,2,7,8,7,10,11,12,3,14,15,15,15,18,19,20,21,22,14,24,25,25,27,30,28,30,31,31,0,
(15,17),2.90042 # DEPENDENCYPART_ARC
(15,18),0.695972 # DEPENDENCYPART_ARC
(15,19),0.0764945 # DEPENDENCYPART_ARC
(15,20),0.149642 # DEPENDENCYPART_ARC
(15,21),0.799501 # DEPENDENCYPART_ARC
(15,22),-1.1824 # DEPENDENCYPART_ARC
(15,23),0.0497963 # DEPENDENCYPART_ARC
(15,24),0.0267153 # DEPENDENCYPART_ARC
(15,25),-0.651776 # DEPENDENCYPART_ARC
(15,26),-0.0643464 # DEPENDENCYPART_ARC
(15,27),0.205463 # DEPENDENCYPART_ARC
(15,28),-2.05564 # DEPENDENCYPART_ARC
(15,29),-0.643293 # DEPENDENCYPART_ARC
(15,30),-0.432837 # DEPENDENCYPART_ARC
(15,31),-2.45314 # DEPENDENCYPART_ARC
(15,32),-2.0206 # DEPENDENCYPART_ARC
(15,33),-1.75988 # DEPENDENCYPART_ARC
(15,34),-1.3735 # DEPENDENCYPART_ARC
(16,1),-1.26021 # DEPENDENCYPART_ARC
(16,2),-3.16769 # DEPENDENCYPART_ARC
(16,3),-1.40992 # DEPENDENCYPART_ARC
(16,4),-1.92437 # DEPENDENCYPART_ARC
(16,6),-0.972868 # DEPENDENCYPART_ARC
(16,7),-2.50335 # DEPENDENCYPART_ARC
(16,8),-1.19816 # DEPENDENCYPART_ARC
(16,10),-0.934103 # DEPENDENCYPART_ARC
(16,11),-0.955184 # DEPENDENCYPART_ARC
(16,13),-0.72519 # DEPENDENCYPART_ARC
(16,14),-0.602919 # DEPENDENCYPART_ARC
(16,15),-1.96401 # DEPENDENCYPART_ARC
(16,17),-1.50367 # DEPENDENCYPART_ARC
(16,18),-0.650186 # DEPENDENCYPART_ARC
(16,20),-1.59511 # DEPENDENCYPART_ARC
(16,21),-2.03763 # DEPENDENCYPART_ARC
(16,22),-2.05917 # DEPENDENCYPART_ARC
(16,23),-0.971753 # DEPENDENCYPART_ARC
(16,24),-1.09335 # DEPENDENCYPART_ARC
(16,25),-1.92267 # DEPENDENCYPART_ARC
(16,27),-2.41467 # DEPENDENCYPART_ARC
(16,28),-1.84879 # DEPENDENCYPART_ARC
(16,29),-2.91082 # DEPENDENCYPART_ARC
(16,30),-1.30326 # DEPENDENCYPART_ARC
(16,31),-3.663 # DEPENDENCYPART_ARC
(16,32),-3.24315 # DEPENDENCYPART_ARC
(16,33),-3.27005 # DEPENDENCYPART_ARC
(16,34),-2.03092 # DEPENDENCYPART_ARC
(17,1),-1.45588 # DEPENDENCYPART_ARC
(17,2),-0.871138 # DEPENDENCYPART_ARC
(17,3),-2.14089 # DEPENDENCYPART_ARC
(17,4),-2.26562 # DEPENDENCYPART_ARC
(17,5),-1.95137 # DEPENDENCYPART_ARC
(17,6),-0.886064 # DEPENDENCYPART_ARC
(17,7),-0.434976 # DEPENDENCYPART_ARC
(17,8),-1.14806 # DEPENDENCYPART_ARC
(17,9),-1.97306 # DEPENDENCYPART_ARC
(17,10),-0.498264 # DEPENDENCYPART_ARC
(17,11),-1.00359 # DEPENDENCYPART_ARC
(17,12),-0.379377 # DEPENDENCYPART_ARC
(17,13),-0.269782 # DEPENDENCYPART_ARC
(17,14),-0.373766 # DEPENDENCYPART_ARC
(17,15),-0.345873 # DEPENDENCYPART_ARC
(17,16),-0.579135 # DEPENDENCYPART_ARC
(17,18),0.505481 # DEPENDENCYPART_ARC
(17,19),-0.303746 # DEPENDENCYPART_ARC
(17,20),-0.629424 # DEPENDENCYPART_ARC
(17,21),-0.700519 # DEPENDENCYPART_ARC
(17,22),-0.567422 # DEPENDENCYPART_ARC
(17,23),-0.690189 # DEPENDENCYPART_ARC
(17,24),-0.663134 # DEPENDENCYPART_ARC
(17,25),-1.04978 # DEPENDENCYPART_ARC
(17,26),-0.577023 # DEPENDENCYPART_ARC
(17,27),-1.86061 # DEPENDENCYPART_ARC
(17,28),-2.63193 # DEPENDENCYPART_ARC
(17,29),-2.34314 # DEPENDENCYPART_ARC
(17,30),-1.11664 # DEPENDENCYPART_ARC
(17,31),-3.37216 # DEPENDENCYPART_ARC
(17,32),-2.80547 # DEPENDENCYPART_ARC
(17,33),-2.77873 # DEPENDENCYPART_ARC
(17,34),-1.90695 # DEPENDENCYPART_ARC
(18,1),-1.61305 # DEPENDENCYPART_ARC
(18,2),-0.73298 # DEPENDENCYPART_ARC
(18,3),-0.687573 # DEPENDENCYPART_ARC
(18,4),-0.675511 # DEPENDENCYPART_ARC
(18,5),-0.917492 # DEPENDENCYPART_ARC
(18,6),-0.30412 # DEPENDENCYPART_ARC
(18,7),-0.501988 # DEPENDENCYPART_ARC
(18,8),-0.317922 # DEPENDENCYPART_ARC
(18,9),-0.632392 # DEPENDENCYPART_ARC
(18,10),-0.723314 # DEPENDENCYPART_ARC
(18,11),-0.243907 # DEPENDENCYPART_ARC
(18,12),-0.166193 # DEPENDENCYPART_ARC
(18,13),-0.163343 # DEPENDENCYPART_ARC
(18,14),-0.410008 # DEPENDENCYPART_ARC
(18,15),0.252158 # DEPENDENCYPART_ARC
(18,16),0.534036 # DEPENDENCYPART_ARC
(18,17),0.901171 # DEPENDENCYPART_ARC
(18,19),1.01752 # DEPENDENCYPART_ARC
(18,20),1.00595 # DEPENDENCYPART_ARC
(18,21),0.781244 # DEPENDENCYPART_ARC
(18,22),0.458777 # DEPENDENCYPART_ARC
(18,23),-0.0228028 # DEPENDENCYPART_ARC
(18,24),0.0414156 # DEPENDENCYPART_ARC
(18,25),0.106328 # DEPENDENCYPART_ARC
(18,26),-0.122807 # DEPENDENCYPART_ARC
(18,27),-0.250515 # DEPENDENCYPART_ARC
(18,28),-0.275779 # DEPENDENCYPART_ARC
(18,29),-0.426013 # DEPENDENCYPART_ARC
(18,30),-0.486428 # DEPENDENCYPART_ARC
(18,31),-0.575069 # DEPENDENCYPART_ARC
(18,32),-0.423661 # DEPENDENCYPART_ARC
(18,33),-0.68738 # DEPENDENCYPART_ARC
(18,34),-1.02651 # DEPENDENCYPART_ARC
(19,1),-1.3531 # DEPENDENCYPART_ARC
(19,2),-1.26415 # DEPENDENCYPART_ARC
(19,3),-0.859674 # DEPENDENCYPART_ARC
(19,4),-0.506075 # DEPENDENCYPART_ARC
(19,7),-0.882489 # DEPENDENCYPART_ARC
(19,8),-0.0976146 # DEPENDENCYPART_ARC
(19,9),-1.09061 # DEPENDENCYPART_ARC
(19,10),-0.689255 # DEPENDENCYPART_ARC
(19,11),-1.53296 # DEPENDENCYPART_ARC
(19,12),-0.826433 # DEPENDENCYPART_ARC
(19,13),-0.674411 # DEPENDENCYPART_ARC
(19,14),-0.850206 # DEPENDENCYPART_ARC
(19,15),0.490608 # DEPENDENCYPART_ARC
(19,16),-0.718799 # DEPENDENCYPART_ARC
(19,17),-0.285434 # DEPENDENCYPART_ARC
(19,18),0.131414 # DEPENDENCYPART_ARC
(19,20),2.15561 # DEPENDENCYPART_ARC
(19,21),0.564901 # DEPENDENCYPART_ARC
(19,22),0.381317 # DEPENDENCYPART_ARC
(19,23),-0.338513 # DEPENDENCYPART_ARC
(19,24),-0.449968 # DEPENDENCYPART_ARC
(19,25),-0.616599 # DEPENDENCYPART_ARC
(19,26),-0.41341 # DEPENDENCYPART_ARC
(19,27),-0.433024 # DEPENDENCYPART_ARC
(19,28),-1.0869 # DEPENDENCYPART_ARC
(19,29),-1.25429 # DEPENDENCYPART_ARC
(19,30),-0.965575 # DEPENDENCYPART_ARC
(19,31),-1.49084 # DEPENDENCYPART_ARC
(19,32),-0.784656 # DEPENDENCYPART_ARC
(19,33),-0.742079 # DEPENDENCYPART_ARC
(19,34),-1.69318 # DEPENDENCYPART_ARC
(20,1),-2.20457 # DEPENDENCYPART_ARC
(20,2),-1.38986 # DEPENDENCYPART_ARC
(20,3),-1.86086 # DEPENDENCYPART_ARC
(20,4),-2.31702 # DEPENDENCYPART_ARC
(20,5),-1.97946 # DEPENDENCYPART_ARC
(20,6),-1.66322 # DEPENDENCYPART_ARC
(20,7),-0.984282 # DEPENDENCYPART_ARC
(20,8),-1.25018 # DEPENDENCYPART_ARC
(20,9),-3.54129 # DEPENDENCYPART_ARC
(20,10),-1.25299 # DEPENDENCYPART_ARC
(20,11),-1.34944 # DEPENDENCYPART_ARC
(20,12),-1.20805 # DEPENDENCYPART_ARC
(20,13),-0.816862 # DEPENDENCYPART_ARC
(20,14),-0.872408 # DEPENDENCYPART_ARC
(20,15),-0.538301 # DEPENDENCYPART_ARC
(20,16),-2.86273 # DEPENDENCYPART_ARC
(20,17),-1.70698 # DEPENDENCYPART_ARC
(20,18),-0.564935 # DEPENDENCYPART_ARC
(20,19),-0.246433 # DEPENDENCYPART_ARC
(20,21),2.34845 # DEPENDENCYPART_ARC
(20,22),1.64552 # DEPENDENCYPART_ARC
(20,23),0.0836967 # DEPENDENCYPART_ARC
(20,24),-0.0195271 # DEPENDENCYPART_ARC
(20,25),-1.35437 # DEPENDENCYPART_ARC
(20,26),0.179144 # DEPENDENCYPART_ARC
(20,27),-1.06783 # DEPENDENCYPART_ARC
(20,28),-1.29928 # DEPENDENCYPART_ARC
(20,29),-0.636664 # DEPENDENCYPART_ARC
(20,30),-0.57815 # DEPENDENCYPART_ARC
(20,31),-2.49347 # DEPENDENCYPART_ARC
(20,32),-2.81915 # DEPENDENCYPART_ARC
(20,33),-2.7459 # DEPENDENCYPART_ARC
(20,34),-1.43299 # DEPENDENCYPART_ARC
(21,1),-1.81893 # DEPENDENCYPART_ARC
(21,2),-1.8639 # DEPENDENCYPART_ARC
(21,3),-2.00929 # DEPENDENCYPART_ARC
(21,4),-2.3931 # DEPENDENCYPART_ARC
(21,5),-1.16768 # DEPENDENCYPART_ARC
(21,6),-1.28634 # DEPENDENCYPART_ARC
(21,7),-1.52336 # DEPENDENCYPART_ARC
(21,8),-1.48768 # DEPENDENCYPART_ARC
(21,9),-3.34759 # DEPENDENCYPART_ARC
(21,10),-0.994793 # DEPENDENCYPART_ARC
(21,11),-0.954891 # DEPENDENCYPART_ARC
(21,12),-0.822914 # DEPENDENCYPART_ARC
(21,13),-0.767178 # DEPENDENCYPART_ARC
(21,14),-0.380701 # DEPENDENCYPART_ARC
(21,15),-0.840068 # DEPENDENCYPART_ARC
(21,16),-2.78113 # DEPENDENCYPART_ARC
(21,17),-1.59368 # DEPENDENCYPART_ARC
(21,18),-0.608509 # DEPENDENCYPART_ARC
(21,19),-0.197204 # DEPENDENCYPART_ARC
(21,20),-0.062487 # DEPENDENCYPART_ARC
(21,22),1.99021 # DEPENDENCYPART_ARC
(21,23),0.10036 # DEPENDENCYPART_ARC
(21,24),-0.499438 # DEPENDENCYPART_ARC
(21,25),-0.995685 # DEPENDENCYPART_ARC
(21,26),0.223077 # DEPENDENCYPART_ARC
(21,27),-1.07986 # DEPENDENCYPART_ARC
(21,28),-0.878589 # DEPENDENCYPART_ARC
(21,29),-0.816607 # DEPENDENCYPART_ARC
(21,30),-0.891299 # DEPENDENCYPART_ARC
(21,31),-2.39574 # DEPENDENCYPART_ARC
(21,32),-1.94857 # DEPENDENCYPART_ARC
(21,33),-1.91843 # DEPENDENCYPART_ARC
(21,34),-1.70474 # DEPENDENCYPART_ARC
(22,1),-2.3551 # DEPENDENCYPART_ARC
(22,2),-1.53995 # DEPENDENCYPART_ARC
(22,3),-2.49695 # DEPENDENCYPART_ARC
(22,4),-2.67366 # DEPENDENCYPART_ARC
(22,5),-2.6323 # DEPENDENCYPART_ARC
(22,6),-1.18071 # DEPENDENCYPART_ARC
(22,7),-1.28921 # DEPENDENCYPART_ARC
(22,8),-1.80788 # DEPENDENCYPART_ARC
(22,9),-2.29795 # DEPENDENCYPART_ARC
(22,10),-0.933047 # DEPENDENCYPART_ARC
(22,11),-1.34459 # DEPENDENCYPART_ARC
(22,12),-0.839189 # DEPENDENCYPART_ARC
(22,13),-0.700707 # DEPENDENCYPART_ARC
(22,14),-1.08475 # DEPENDENCYPART_ARC
(22,15),-1.59301 # DEPENDENCYPART_ARC
(22,16),-1.95326 # DEPENDENCYPART_ARC
(22,17),-2.1638 # DEPENDENCYPART_ARC
(22,18),-1.01685 # DEPENDENCYPART_ARC
(22,19),-0.390507 # DEPENDENCYPART_ARC
(22,20),0.203237 # DEPENDENCYPART_ARC
(22,21),-0.373932 # DEPENDENCYPART_ARC
(22,23),1.119 # DEPENDENCYPART_ARC
(22,24),-0.253443 # DEPENDENCYPART_ARC
(22,25),-1.11179 # DEPENDENCYPART_ARC
(22,26),-0.54478 # DEPENDENCYPART_ARC
(22,27),-1.2898 # DEPENDENCYPART_ARC
(22,28),-2.65566 # DEPENDENCYPART_ARC
(22,29),-1.43754 # DEPENDENCYPART_ARC
(22,30),-0.914538 # DEPENDENCYPART_ARC
(22,31),-2.74736 # DEPENDENCYPART_ARC
(22,32),-1.6246 # DEPENDENCYPART_ARC
(22,33),-1.75332 # DEPENDENCYPART_ARC
(22,34),-1.25203 # DEPENDENCYPART_ARC
(23,1),-2.25282 # DEPENDENCYPART_ARC
(23,2),-1.94603 # DEPENDENCYPART_ARC
(23,3),-1.00507 # DEPENDENCYPART_ARC
(23,4),-1.19071 # DEPENDENCYPART_ARC
(23,5),-1.50563 # DEPENDENCYPART_ARC
(23,7),-0.860995 # DEPENDENCYPART_ARC
(23,8),-1.00887 # DEPENDENCYPART_ARC
(23,9),-1.2656 # DEPENDENCYPART_ARC
(23,10),-1.48266 # DEPENDENCYPART_ARC
(23,11),-1.45258 # DEPENDENCYPART_ARC
(23,12),-1.41526 # DEPENDENCYPART_ARC
(23,13),-0.984715 # DEPENDENCYPART_ARC
(23,14),-1.32067 # DEPENDENCYPART_ARC
(23,15),-0.526134 # DEPENDENCYPART_ARC
(23,16),-1.01065 # DEPENDENCYPART_ARC
(23,17),-1.19043 # DEPENDENCYPART_ARC
(23,18),-1.0402 # DEPENDENCYPART_ARC
(23,19),-0.550779 # DEPENDENCYPART_ARC
(23,20),0.0315395 # DEPENDENCYPART_ARC
(23,21),-0.0636687 # DEPENDENCYPART_ARC
(23,22),0.0222421 # DEPENDENCYPART_ARC
(23,24),-0.642035 # DEPENDENCYPART_ARC
(23,25),-1.41875 # DEPENDENCYPART_ARC
(23,26),-1.39296 # DEPENDENCYPART_ARC
(23,27),-1.16943 # DEPENDENCYPART_ARC
(23,28),-2.12 # DEPENDENCYPART_ARC
(23,29),-2.24734 # DEPENDENCYPART_ARC
(23,30),-2.04712 # DEPENDENCYPART_ARC
(23,31),-2.41951 # DEPENDENCYPART_ARC
(23,32),-2.0355 # DEPENDENCYPART_ARC
(23,33),-2.09143 # DEPENDENCYPART_ARC
(23,34),-2.33402 # DEPENDENCYPART_ARC
(24,1),-2.17529 # DEPENDENCYPART_ARC
(24,2),-0.48058 # DEPENDENCYPART_ARC
(24,3),0.0247857 # DEPENDENCYPART_ARC
(24,4),-0.394529 # DEPENDENCYPART_ARC
(24,5),-0.295358 # DEPENDENCYPART_ARC
(24,6),-0.44261 # DEPENDENCYPART_ARC
(24,7),-0.427854 # DEPENDENCYPART_ARC
(24,8),0.547743 # DEPENDENCYPART_ARC
(24,9),-0.596622 # DEPENDENCYPART_ARC
(24,10),-0.626286 # DEPENDENCYPART_ARC
(24,11),-0.164295 # DEPENDENCYPART_ARC
(24,12),-0.960512 # DEPENDENCYPART_ARC
(24,13),-0.693656 # DEPENDENCYPART_ARC
(24,14),-0.684667 # DEPENDENCYPART_ARC
(24,15),-0.0587364 # DEPENDENCYPART_ARC
(24,16),-0.258124 # DEPENDENCYPART_ARC
(24,17),-0.352399 # DEPENDENCYPART_ARC
(24,18),-0.105478 # DEPENDENCYPART_ARC
(24,19),-0.215351 # DEPENDENCYPART_ARC
(24,20),0.951225 # DEPENDENCYPART_ARC
(24,21),1.05828 # DEPENDENCYPART_ARC
(24,22),0.0772538 # DEPENDENCYPART_ARC
(24,23),0.341817 # DEPENDENCYPART_ARC
(24,25),1.12462 # DEPENDENCYPART_ARC
(24,26),0.480966 # DEPENDENCYPART_ARC
(24,27),0.245087 # DEPENDENCYPART_ARC
(24,28),-0.193114 # DEPENDENCYPART_ARC
(24,29),-0.404144 # DEPENDENCYPART_ARC
(24,30),0.235569 # DEPENDENCYPART_ARC
(24,31),0.154094 # DEPENDENCYPART_ARC
(24,32),-1.05451 # DEPENDENCYPART_ARC
(24,33),-0.882568 # DEPENDENCYPART_ARC
(24,34),-0.142216 # DEPENDENCYPART_ARC
(25,1),-2.60471 # DEPENDENCYPART_ARC
(25,2),-2.52875 # DEPENDENCYPART_ARC
(25,3),-2.2044 # DEPENDENCYPART_ARC
(25,4),-2.78259 # DEPENDENCYPART_ARC
(25,5),-2.40933 # DEPENDENCYPART_ARC
(25,6),-1.23814 # DEPENDENCYPART_ARC
(25,7),-1.87192 # DEPENDENCYPART_ARC
(25,8),-1.42035 # DEPENDENCYPART_ARC
(25,9),-5.03037 # DEPENDENCYPART_ARC
(25,10),-1.08978 # DEPENDENCYPART_ARC
(25,11),-1.0637 # DEPENDENCYPART_ARC
(25,12),-0.939084 # DEPENDENCYPART_ARC
(25,13),-0.616102 # DEPENDENCYPART_ARC
(25,14),-1.03334 # DEPENDENCYPART_ARC
(25,15),-1.07767 # DEPENDENCYPART_ARC
(25,16),-4.6283 # DEPENDENCYPART_ARC
(25,17),-1.45161 # DEPENDENCYPART_ARC
(25,18),-0.828085 # DEPENDENCYPART_ARC
(25,19),-0.64359 # DEPENDENCYPART_ARC
(25,20),-1.52694 # DEPENDENCYPART_ARC
(25,21),-2.04239 # DEPENDENCYPART_ARC
(25,22),-0.960106 # DEPENDENCYPART_ARC
(25,23),0.109653 # DEPENDENCYPART_ARC
(25,24),0.136029 # DEPENDENCYPART_ARC
(25,26),2.5954 # DEPENDENCYPART_ARC
(25,27),1.94479 # DEPENDENCYPART_ARC
(25,28),-0.532851 # DEPENDENCYPART_ARC
(25,29),0.375595 # DEPENDENCYPART_ARC
(25,30),0.541553 # DEPENDENCYPART_ARC
(25,31),-1.13141 # DEPENDENCYPART_ARC
(25,32),-0.281538 # DEPENDENCYPART_ARC
(25,33),-0.00142112 # DEPENDENCYPART_ARC
(25,34),-0.275971 # DEPENDENCYPART_ARC
(26,1),-1.58112 # DEPENDENCYPART_ARC
(26,2),-3.87323 # DEPENDENCYPART_ARC
(26,3),-1.6574 # DEPENDENCYPART_ARC
(26,4),-2.32676 # DEPENDENCYPART_ARC
(26,6),-0.933403 # DEPENDENCYPART_ARC
(26,7),-2.87989 # DEPENDENCYPART_ARC
(26,8),-1.29373 # DEPENDENCYPART_ARC
(26,10),-1.02586 # DEPENDENCYPART_ARC
(26,11),-1.03985 # DEPENDENCYPART_ARC
(26,13),-0.965459 # DEPENDENCYPART_ARC
(26,14),-0.767607 # DEPENDENCYPART_ARC
(26,15),-2.61032 # DEPENDENCYPART_ARC
(26,17),-1.51185 # DEPENDENCYPART_ARC
(26,18),-0.998046 # DEPENDENCYPART_ARC
(26,20),-1.02639 # DEPENDENCYPART_ARC
(26,21),-1.19462 # DEPENDENCYPART_ARC
(26,22),-0.861782 # DEPENDENCYPART_ARC
(26,23),-0.612813 # DEPENDENCYPART_ARC
(26,24),-0.429967 # DEPENDENCYPART_ARC
(26,25),-1.30858 # DEPENDENCYPART_ARC
(26,27),-1.018 # DEPENDENCYPART_ARC
(26,28),-1.52687 # DEPENDENCYPART_ARC
(26,29),-2.77502 # DEPENDENCYPART_ARC
(26,30),-1.03267 # DEPENDENCYPART_ARC
(26,31),-3.67381 # DEPENDENCYPART_ARC
(26,32),-3.17828 # DEPENDENCYPART_ARC
(26,33),-3.17182 # DEPENDENCYPART_ARC
(26,34),-1.79812 # DEPENDENCYPART_ARC
(27,1),-1.55266 # DEPENDENCYPART_ARC
(27,2),-2.20509 # DEPENDENCYPART_ARC
(27,3),-2.72482 # DEPENDENCYPART_ARC
(27,4),-4.86802 # DEPENDENCYPART_ARC
(27,5),-3.00324 # DEPENDENCYPART_ARC
(27,6),-1.35575 # DEPENDENCYPART_ARC
(27,7),-1.48297 # DEPENDENCYPART_ARC
(27,8),-1.91311 # DEPENDENCYPART_ARC
(27,9),-5.59546 # DEPENDENCYPART_ARC
(27,10),-1.05317 # DEPENDENCYPART_ARC
(27,11),-1.19564 # DEPENDENCYPART_ARC
(27,12),-0.924966 # DEPENDENCYPART_ARC
(27,13),-0.950995 # DEPENDENCYPART_ARC
(27,14),-0.674191 # DEPENDENCYPART_ARC
(27,15),0.0735071 # DEPENDENCYPART_ARC
(27,16),-4.75147 # DEPENDENCYPART_ARC
(27,17),-1.42416 # DEPENDENCYPART_ARC
(27,18),-0.856505 # DEPENDENCYPART_ARC
(27,19),-0.610514 # DEPENDENCYPART_ARC
(27,20),-1.33308 # DEPENDENCYPART_ARC
(27,21),-3.40831 # DEPENDENCYPART_ARC
(27,22),-0.518938 # DEPENDENCYPART_ARC
(27,23),-0.235166 # DEPENDENCYPART_ARC
(27,24),0.0870079 # DEPENDENCYPART_ARC
(27,25),1.05569 # DEPENDENCYPART_ARC
(27,26),-1.80238 # DEPENDENCYPART_ARC
(27,28),3.64737 # DEPENDENCYPART_ARC
(27,29),-0.460154 # DEPENDENCYPART_ARC
(27,30),0.643591 # DEPENDENCYPART_ARC
(27,31),-2.77983 # DEPENDENCYPART_ARC
(27,32),-2.67998 # DEPENDENCYPART_ARC
(27,33),-2.49388 # DEPENDENCYPART_ARC
(27,34),-0.510606 # DEPENDENCYPART_ARC
(28,1),-3.01252 # DEPENDENCYPART_ARC
(28,2),-2.20327 # DEPENDENCYPART_ARC
(28,3),-1.91329 # DEPENDENCYPART_ARC
(28,4),-3.4441 # DEPENDENCYPART_ARC
(28,5),-2.3033 # DEPENDENCYPART_ARC
(28,6),-1.96576 # DEPENDENCYPART_ARC
(28,7),-2.30045 # DEPENDENCYPART_ARC
(28,8),-1.53388 # DEPENDENCYPART_ARC
(28,9),-6.0761 # DEPENDENCYPART_ARC
(28,10),-1.94214 # DEPENDENCYPART_ARC
(28,11),-1.71011 # DEPENDENCYPART_ARC
(28,12),-1.47941 # DEPENDENCYPART_ARC
(28,13),-1.52954 # DEPENDENCYPART_ARC
(28,14),-1.93871 # DEPENDENCYPART_ARC
(28,15),-1.61288 # DEPENDENCYPART_ARC
(28,16),-5.59111 # DEPENDENCYPART_ARC
(28,17),-2.55331 # DEPENDENCYPART_ARC
(28,18),-1.49735 # DEPENDENCYPART_ARC
(28,19),-1.33333 # DEPENDENCYPART_ARC
(28,20),-2.03129 # DEPENDENCYPART_ARC
(28,21),-2.4855 # DEPENDENCYPART_ARC
(28,22),-2.04149 # DEPENDENCYPART_ARC
(28,23),-1.1029 # DEPENDENCYPART_ARC
(28,24),-1.11139 # DEPENDENCYPART_ARC
(28,25),-0.571815 # DEPENDENCYPART_ARC
(28,26),-4.16993 # DEPENDENCYPART_ARC
(28,27),-0.41992 # DEPENDENCYPART_ARC
(28,29),1.41874 # DEPENDENCYPART_ARC
(28,30),1.29401 # DEPENDENCYPART_ARC
(28,31),-1.38272 # DEPENDENCYPART_ARC
(28,32),-0.543319 # DEPENDENCYPART_ARC
(28,33),-0.699682 # DEPENDENCYPART_ARC
(28,34),-0.377673 # DEPENDENCYPART_ARC
(29,1),-3.3706 # DEPENDENCYPART_ARC
(29,2),-2.69937 # DEPENDENCYPART_ARC
(29,3),-3.30249 # DEPENDENCYPART_ARC
(29,4),-3.37405 # DEPENDENCYPART_ARC
(29,5),-1.36228 # DEPENDENCYPART_ARC
(29,6),-2.26495 # DEPENDENCYPART_ARC
(29,7),-2.53904 # DEPENDENCYPART_ARC
(29,8),-3.1085 # DEPENDENCYPART_ARC
(29,9),-4.30766 # DEPENDENCYPART_ARC
(29,10),-2.26115 # DEPENDENCYPART_ARC
(29,11),-1.92775 # DEPENDENCYPART_ARC
(29,12),-1.89481 # DEPENDENCYPART_ARC
(29,13),-1.95231 # DEPENDENCYPART_ARC
(29,14),-2.2439 # DEPENDENCYPART_ARC
(29,15),-2.37475 # DEPENDENCYPART_ARC
(29,16),-3.91709 # DEPENDENCYPART_ARC
(29,17),-1.90738 # DEPENDENCYPART_ARC
(29,18),-1.87869 # DEPENDENCYPART_ARC
(29,19),-1.55859 # DEPENDENCYPART_ARC
(29,20),-2.70565 # DEPENDENCYPART_ARC
(29,21),-3.11539 # DEPENDENCYPART_ARC
(29,22),-1.91204 # DEPENDENCYPART_ARC
(29,23),-1.6899 # DEPENDENCYPART_ARC
(29,24),-1.57261 # DEPENDENCYPART_ARC
(29,25),-1.62708 # DEPENDENCYPART_ARC
(29,26),-2.92291 # DEPENDENCYPART_ARC
(29,27),-0.860145 # DEPENDENCYPART_ARC
(29,28),-0.398188 # DEPENDENCYPART_ARC
(29,30),0.0211972 # DEPENDENCYPART_ARC
(29,31),-1.55668 # DEPENDENCYPART_ARC
(29,32),-0.607538 # DEPENDENCYPART_ARC
(29,33),-0.818597 # DEPENDENCYPART_ARC
(29,34),-1.80511 # DEPENDENCYPART_ARC
(30,1),-2.86695 # DEPENDENCYPART_ARC
(30,2),-1.5799 # DEPENDENCYPART_ARC
(30,3),-0.942448 # DEPENDENCYPART_ARC
(30,4),-1.67695 # DEPENDENCYPART_ARC
(30,5),-0.800698 # DEPENDENCYPART_ARC
(30,6),-1.36458 # DEPENDENCYPART_ARC
(30,7),-1.93145 # DEPENDENCYPART_ARC
(30,8),-0.809015 # DEPENDENCYPART_ARC
(30,9),-1.45553 # DEPENDENCYPART_ARC
(30,10),-1.2363 # DEPENDENCYPART_ARC
(30,11),-0.66126 # DEPENDENCYPART_ARC
(30,12),-1.61355 # DEPENDENCYPART_ARC
(30,13),-1.38989 # DEPENDENCYPART_ARC
(30,14),-1.73888 # DEPENDENCYPART_ARC
(30,15),-1.2017 # DEPENDENCYPART_ARC
(30,16),-0.833863 # DEPENDENCYPART_ARC
(30,17),-1.06913 # DEPENDENCYPART_ARC
(30,18),-0.478353 # DEPENDENCYPART_ARC
(30,19),-0.664155 # DEPENDENCYPART_ARC
(30,20),-0.148952 # DEPENDENCYPART_ARC
(30,21),-0.327683 # DEPENDENCYPART_ARC
(30,22),-0.790358 # DEPENDENCYPART_ARC
(30,23),-0.642906 # DEPENDENCYPART_ARC
(30,24),-1.00576 # DEPENDENCYPART_ARC
(30,25),-0.407581 # DEPENDENCYPART_ARC
(30,26),0.0262219 # DEPENDENCYPART_ARC
(30,27),0.188116 # DEPENDENCYPART_ARC
(30,28),1.77753 # DEPENDENCYPART_ARC
(30,29),2.54455 # DEPENDENCYPART_ARC
(30,31),1.75306 # DEPENDENCYPART_ARC
(30,32),0.684946 # DEPENDENCYPART_ARC
(30,33),0.676672 # DEPENDENCYPART_ARC
(30,34),0.0350823 # DEPENDENCYPART_ARC
(31,1),-3.34731 # DEPENDENCYPART_ARC
(31,2),-3.3726 # DEPENDENCYPART_ARC
(31,3),-3.44182 # DEPENDENCYPART_ARC
(31,4),-4.22749 # DEPENDENCYPART_ARC
(31,5),-2.56855 # DEPENDENCYPART_ARC
(31,6),-2.03805 # DEPENDENCYPART_ARC
