# _root_ وَ تُعارِضُ إِيرانُ ، ثانِي أَكْبَرِ مُنْتِجٍ لِ النَفْطِ فِي أُوبِك حَيْثُ يَبْلُغُ إِنْتاجُ ها 3,7 مِلْيُون بَرْمِيلٍ فِي اليَوْمِ بَيْنَ ها 2,4 مِلْيُون بَرْمِيلٍ مُخَصَّصَةٍ لِ التَصْدِيرِ ، أَيَّ رَفْعٍ لِ الإِنْتاجِ رَغْمَ اِعْتِمادِ ها عَلَى عائِداتِ النَفْطِ .
#goldHeads=0,0,4,2,4,5,6,7,8,6,10,11,12,13,14,13,16,17,18,19,16,21,21,23,24,23,26,27,4,2,30,31,32,2,34,35,35,37,38,0,
#predictedHeads=0,0,2,3,2,5,6,7,8,9,10,11,12,13,14,13,16,17,13,19,16,21,26,23,24,16,26,27,28,29,30,31,32,33,34,35,35,37,38,0,
(12,23),-0.661118 # DEPENDENCYPART_ARC
(12,24),-0.414787 # DEPENDENCYPART_ARC
(12,25),-0.3108 # DEPENDENCYPART_ARC
(12,26),-0.538478 # DEPENDENCYPART_ARC
(12,27),-0.406118 # DEPENDENCYPART_ARC
(12,28),-0.410752 # DEPENDENCYPART_ARC
(12,29),-0.75239 # DEPENDENCYPART_ARC
(12,30),-0.420293 # DEPENDENCYPART_ARC
(12,31),-0.344594 # DEPENDENCYPART_ARC
(12,32),-0.591275 # DEPENDENCYPART_ARC
(12,33),-0.520286 # DEPENDENCYPART_ARC
(12,34),-0.665796 # DEPENDENCYPART_ARC
(12,35),-0.716166 # DEPENDENCYPART_ARC
(12,36),-0.752699 # DEPENDENCYPART_ARC
(12,37),-1.75428 # DEPENDENCYPART_ARC
(12,38),-0.917385 # DEPENDENCYPART_ARC
(12,39),-0.798126 # DEPENDENCYPART_ARC
(12,40),-1.16132 # DEPENDENCYPART_ARC
(13,1),-1.00071 # DEPENDENCYPART_ARC
(13,2),-1.7319 # DEPENDENCYPART_ARC
(13,3),-0.549746 # DEPENDENCYPART_ARC
(13,4),-0.985779 # DEPENDENCYPART_ARC
(13,5),-0.383792 # DEPENDENCYPART_ARC
(13,6),-2.30673 # DEPENDENCYPART_ARC
(13,7),-3.55535 # DEPENDENCYPART_ARC
(13,8),-0.546539 # DEPENDENCYPART_ARC
(13,9),-2.49048 # DEPENDENCYPART_ARC
(13,10),-0.236828 # DEPENDENCYPART_ARC
(13,11),-0.35169 # DEPENDENCYPART_ARC
(13,12),0.298549 # DEPENDENCYPART_ARC
(13,14),3.47044 # DEPENDENCYPART_ARC
(13,15),-0.156572 # DEPENDENCYPART_ARC
(13,16),1.17557 # DEPENDENCYPART_ARC
(13,17),0.524403 # DEPENDENCYPART_ARC
(13,18),-0.79206 # DEPENDENCYPART_ARC
(13,19),1.55133 # DEPENDENCYPART_ARC
(13,20),-1.65765 # DEPENDENCYPART_ARC
(13,21),0.462774 # DEPENDENCYPART_ARC
(13,22),-1.61148 # DEPENDENCYPART_ARC
(13,23),0.36513 # DEPENDENCYPART_ARC
(13,24),-0.657625 # DEPENDENCYPART_ARC
(13,25),-1.81905 # DEPENDENCYPART_ARC
(13,26),-2.31517 # DEPENDENCYPART_ARC
(13,27),1.14063 # DEPENDENCYPART_ARC
(13,28),-2.77288 # DEPENDENCYPART_ARC
(13,29),-0.607522 # DEPENDENCYPART_ARC
(13,30),-0.408745 # DEPENDENCYPART_ARC
(13,31),-2.59355 # DEPENDENCYPART_ARC
(13,32),0.507358 # DEPENDENCYPART_ARC
(13,33),-3.2123 # DEPENDENCYPART_ARC
(13,34),0.293775 # DEPENDENCYPART_ARC
(13,35),-3.1658 # DEPENDENCYPART_ARC
(13,36),-3.96212 # DEPENDENCYPART_ARC
(13,37),-1.02302 # DEPENDENCYPART_ARC
(13,38),-4.49969 # DEPENDENCYPART_ARC
(13,39),-3.77775 # DEPENDENCYPART_ARC
(13,40),-1.50467 # DEPENDENCYPART_ARC
(14,1),-1.70853 # DEPENDENCYPART_ARC
(14,2),-1.57793 # DEPENDENCYPART_ARC
(14,3),-1.76992 # DEPENDENCYPART_ARC
(14,4),-1.66434 # DEPENDENCYPART_ARC
(14,5),-1.42707 # DEPENDENCYPART_ARC
(14,6),-2.12421 # DEPENDENCYPART_ARC
(14,7),-1.80955 # DEPENDENCYPART_ARC
(14,8),-1.26956 # DEPENDENCYPART_ARC
(14,9),-1.45214 # DEPENDENCYPART_ARC
(14,10),-1.03932 # DEPENDENCYPART_ARC
(14,11),-0.944756 # DEPENDENCYPART_ARC
(14,12),-0.48845 # DEPENDENCYPART_ARC
(14,13),-0.19417 # DEPENDENCYPART_ARC
(14,15),3.17925 # DEPENDENCYPART_ARC
(14,16),0.338466 # DEPENDENCYPART_ARC
(14,17),0.1202 # DEPENDENCYPART_ARC
(14,18),-0.206883 # DEPENDENCYPART_ARC
(14,19),0.590195 # DEPENDENCYPART_ARC
(14,20),-0.954484 # DEPENDENCYPART_ARC
(14,21),-0.0842694 # DEPENDENCYPART_ARC
(14,22),-0.35192 # DEPENDENCYPART_ARC
(14,23),-0.747221 # DEPENDENCYPART_ARC
(14,24),-0.982315 # DEPENDENCYPART_ARC
(14,25),-1.34743 # DEPENDENCYPART_ARC
(14,26),-2.31964 # DEPENDENCYPART_ARC
(14,27),0.0785544 # DEPENDENCYPART_ARC
(14,28),-1.74225 # DEPENDENCYPART_ARC
(14,29),-1.52409 # DEPENDENCYPART_ARC
(14,30),-1.73586 # DEPENDENCYPART_ARC
(14,31),-2.07814 # DEPENDENCYPART_ARC
(14,32),-0.726618 # DEPENDENCYPART_ARC
(14,33),-2.68558 # DEPENDENCYPART_ARC
(14,34),-0.0185997 # DEPENDENCYPART_ARC
(14,35),-3.39137 # DEPENDENCYPART_ARC
(14,36),-3.10359 # DEPENDENCYPART_ARC
(14,37),-1.74491 # DEPENDENCYPART_ARC
(14,38),-4.00847 # DEPENDENCYPART_ARC
(14,39),-3.04 # DEPENDENCYPART_ARC
(14,40),-2.31083 # DEPENDENCYPART_ARC
(15,1),-1.19283 # DEPENDENCYPART_ARC
(15,2),-1.6819 # DEPENDENCYPART_ARC
(15,3),-1.10917 # DEPENDENCYPART_ARC
(15,4),-1.27582 # DEPENDENCYPART_ARC
(15,5),-1.2278 # DEPENDENCYPART_ARC
(15,6),-1.19299 # DEPENDENCYPART_ARC
(15,7),-1.78377 # DEPENDENCYPART_ARC
(15,8),-1.05193 # DEPENDENCYPART_ARC
(15,9),-1.79888 # DEPENDENCYPART_ARC
(15,10),-1.02789 # DEPENDENCYPART_ARC
(15,11),-0.946106 # DEPENDENCYPART_ARC
(15,13),-0.804693 # DEPENDENCYPART_ARC
(15,14),-0.423356 # DEPENDENCYPART_ARC
(15,17),-0.734722 # DEPENDENCYPART_ARC
(15,18),-1.32944 # DEPENDENCYPART_ARC
(15,19),-0.983118 # DEPENDENCYPART_ARC
(15,20),-2.01908 # DEPENDENCYPART_ARC
(15,21),-0.970376 # DEPENDENCYPART_ARC
(15,24),-1.18593 # DEPENDENCYPART_ARC
(15,25),-1.60812 # DEPENDENCYPART_ARC
(15,26),-2.1239 # DEPENDENCYPART_ARC
(15,27),-1.38708 # DEPENDENCYPART_ARC
(15,28),-2.10182 # DEPENDENCYPART_ARC
(15,29),-0.983308 # DEPENDENCYPART_ARC
(15,30),-1.50637 # DEPENDENCYPART_ARC
(15,31),-1.74937 # DEPENDENCYPART_ARC
(15,32),-2.07766 # DEPENDENCYPART_ARC
(15,33),-2.35404 # DEPENDENCYPART_ARC
(15,34),-1.97447 # DEPENDENCYPART_ARC
(15,35),-1.9012 # DEPENDENCYPART_ARC
(15,37),-2.57612 # DEPENDENCYPART_ARC
(15,38),-2.3064 # DEPENDENCYPART_ARC
(15,39),-2.65621 # DEPENDENCYPART_ARC
(15,40),-1.62444 # DEPENDENCYPART_ARC
(16,1),-0.622374 # DEPENDENCYPART_ARC
(16,2),-0.58325 # DEPENDENCYPART_ARC
(16,3),-1.00421 # DEPENDENCYPART_ARC
(16,4),-0.288925 # DEPENDENCYPART_ARC
(16,5),-0.293117 # DEPENDENCYPART_ARC
(16,6),-0.554387 # DEPENDENCYPART_ARC
(16,7),-0.280968 # DEPENDENCYPART_ARC
(16,8),-0.236774 # DEPENDENCYPART_ARC
(16,9),0.0694306 # DEPENDENCYPART_ARC
(16,10),-0.0608403 # DEPENDENCYPART_ARC
(16,11),-0.631491 # DEPENDENCYPART_ARC
(16,12),-0.0610768 # DEPENDENCYPART_ARC
(16,13),0.0359718 # DEPENDENCYPART_ARC
(16,14),1.86862 # DEPENDENCYPART_ARC
(16,15),0.602165 # DEPENDENCYPART_ARC
(16,17),2.44556 # DEPENDENCYPART_ARC
(16,18),0.753344 # DEPENDENCYPART_ARC
(16,19),0.831283 # DEPENDENCYPART_ARC
(16,20),0.0853615 # DEPENDENCYPART_ARC
(16,21),1.33169 # DEPENDENCYPART_ARC
(16,22),-0.137849 # DEPENDENCYPART_ARC
(16,23),-0.841488 # DEPENDENCYPART_ARC
(16,24),0.240876 # DEPENDENCYPART_ARC
(16,25),-0.485038 # DEPENDENCYPART_ARC
(16,26),1.68273 # DEPENDENCYPART_ARC
(16,27),-0.711986 # DEPENDENCYPART_ARC
(16,28),-0.81884 # DEPENDENCYPART_ARC
(16,29),-1.01391 # DEPENDENCYPART_ARC
(16,30),-1.0279 # DEPENDENCYPART_ARC
(16,31),-1.32921 # DEPENDENCYPART_ARC
(16,32),-0.86788 # DEPENDENCYPART_ARC
(16,33),-1.47952 # DEPENDENCYPART_ARC
(16,34),-0.909261 # DEPENDENCYPART_ARC
(16,35),-1.74662 # DEPENDENCYPART_ARC
(16,36),-0.307189 # DEPENDENCYPART_ARC
(16,37),-1.43542 # DEPENDENCYPART_ARC
(16,38),-1.79584 # DEPENDENCYPART_ARC
(16,39),-2.21152 # DEPENDENCYPART_ARC
(16,40),-1.95181 # DEPENDENCYPART_ARC
(17,1),-1.60343 # DEPENDENCYPART_ARC
(17,2),-1.34009 # DEPENDENCYPART_ARC
(17,3),-1.45237 # DEPENDENCYPART_ARC
(17,4),-1.75423 # DEPENDENCYPART_ARC
(17,5),-1.37706 # DEPENDENCYPART_ARC
(17,6),-1.3429 # DEPENDENCYPART_ARC
(17,7),-1.24686 # DEPENDENCYPART_ARC
(17,8),-1.40511 # DEPENDENCYPART_ARC
(17,9),-1.22859 # DEPENDENCYPART_ARC
(17,10),-1.15416 # DEPENDENCYPART_ARC
(17,11),-1.13072 # DEPENDENCYPART_ARC
(17,12),-0.866263 # DEPENDENCYPART_ARC
(17,13),-0.604999 # DEPENDENCYPART_ARC
(17,14),-0.373809 # DEPENDENCYPART_ARC
(17,15),-0.0974347 # DEPENDENCYPART_ARC
(17,16),0.000837586 # DEPENDENCYPART_ARC
(17,18),2.10886 # DEPENDENCYPART_ARC
(17,19),0.181164 # DEPENDENCYPART_ARC
(17,20),-1.08273 # DEPENDENCYPART_ARC
(17,21),-0.294127 # DEPENDENCYPART_ARC
(17,22),-1.27659 # DEPENDENCYPART_ARC
(17,23),-0.752191 # DEPENDENCYPART_ARC
(17,24),-1.11123 # DEPENDENCYPART_ARC
(17,25),-0.99363 # DEPENDENCYPART_ARC
(17,26),-1.60626 # DEPENDENCYPART_ARC
(17,27),-0.679417 # DEPENDENCYPART_ARC
(17,28),-1.98912 # DEPENDENCYPART_ARC
(17,29),-1.48679 # DEPENDENCYPART_ARC
(17,30),-1.98919 # DEPENDENCYPART_ARC
(17,31),-1.69924 # DEPENDENCYPART_ARC
(17,32),-1.59163 # DEPENDENCYPART_ARC
(17,33),-2.94791 # DEPENDENCYPART_ARC
(17,34),-0.944457 # DEPENDENCYPART_ARC
(17,35),-3.56758 # DEPENDENCYPART_ARC
(17,36),-4.51868 # DEPENDENCYPART_ARC
(17,37),-2.19678 # DEPENDENCYPART_ARC
(17,38),-4.00679 # DEPENDENCYPART_ARC
(17,39),-2.86348 # DEPENDENCYPART_ARC
(17,40),-2.30461 # DEPENDENCYPART_ARC
(18,1),-1.92033 # DEPENDENCYPART_ARC
(18,2),-2.21449 # DEPENDENCYPART_ARC
(18,3),-1.84676 # DEPENDENCYPART_ARC
(18,4),-2.18229 # DEPENDENCYPART_ARC
(18,5),-1.59358 # DEPENDENCYPART_ARC
(18,6),-2.29761 # DEPENDENCYPART_ARC
(18,7),-2.4031 # DEPENDENCYPART_ARC
(18,8),-1.52373 # DEPENDENCYPART_ARC
(18,9),-2.12168 # DEPENDENCYPART_ARC
(18,10),-1.39219 # DEPENDENCYPART_ARC
(18,11),-1.18336 # DEPENDENCYPART_ARC
(18,12),-1.04481 # DEPENDENCYPART_ARC
(18,13),-1.70573 # DEPENDENCYPART_ARC
(18,14),-0.856146 # DEPENDENCYPART_ARC
(18,15),-2.29086 # DEPENDENCYPART_ARC
(18,16),-0.369209 # DEPENDENCYPART_ARC
(18,17),0.0933707 # DEPENDENCYPART_ARC
(18,19),0.527639 # DEPENDENCYPART_ARC
(18,20),-1.13523 # DEPENDENCYPART_ARC
(18,21),-0.456672 # DEPENDENCYPART_ARC
(18,22),-1.95976 # DEPENDENCYPART_ARC
(18,23),-1.14179 # DEPENDENCYPART_ARC
(18,24),-1.61391 # DEPENDENCYPART_ARC
(18,25),-1.55215 # DEPENDENCYPART_ARC
(18,26),-2.13482 # DEPENDENCYPART_ARC
(18,27),-0.718424 # DEPENDENCYPART_ARC
(18,28),-2.58697 # DEPENDENCYPART_ARC
(18,29),-2.2357 # DEPENDENCYPART_ARC
(18,30),-3.32999 # DEPENDENCYPART_ARC
(18,31),-2.32499 # DEPENDENCYPART_ARC
(18,32),-1.50978 # DEPENDENCYPART_ARC
(18,33),-3.46904 # DEPENDENCYPART_ARC
(18,34),-1.04374 # DEPENDENCYPART_ARC
(18,35),-4.16469 # DEPENDENCYPART_ARC
(18,36),-4.99497 # DEPENDENCYPART_ARC
(18,37),-2.27767 # DEPENDENCYPART_ARC
(18,38),-4.64602 # DEPENDENCYPART_ARC
(18,39),-3.64207 # DEPENDENCYPART_ARC
(18,40),-2.8348 # DEPENDENCYPART_ARC
(19,1),-1.9379 # DEPENDENCYPART_ARC
(19,2),-1.34275 # DEPENDENCYPART_ARC
(19,3),-1.48428 # DEPENDENCYPART_ARC
(19,4),-1.30041 # DEPENDENCYPART_ARC
(19,5),-1.36831 # DEPENDENCYPART_ARC
(19,6),-1.37322 # DEPENDENCYPART_ARC
(19,7),-1.10739 # DEPENDENCYPART_ARC
(19,8),-2.07327 # DEPENDENCYPART_ARC
(19,9),-0.842007 # DEPENDENCYPART_ARC
(19,10),-2.06773 # DEPENDENCYPART_ARC
(19,11),-1.4945 # DEPENDENCYPART_ARC
(19,12),-0.796873 # DEPENDENCYPART_ARC
(19,13),-0.797046 # DEPENDENCYPART_ARC
(19,14),-0.592034 # DEPENDENCYPART_ARC
(19,15),-0.433912 # DEPENDENCYPART_ARC
(19,16),-0.582339 # DEPENDENCYPART_ARC
(19,17),-0.420855 # DEPENDENCYPART_ARC
(19,18),0.432024 # DEPENDENCYPART_ARC
(19,20),2.95217 # DEPENDENCYPART_ARC
(19,21),-0.0411226 # DEPENDENCYPART_ARC
(19,22),0.58461 # DEPENDENCYPART_ARC
(19,23),-0.499695 # DEPENDENCYPART_ARC
(19,24),-0.481575 # DEPENDENCYPART_ARC
(19,25),-0.954672 # DEPENDENCYPART_ARC
(19,26),-1.19482 # DEPENDENCYPART_ARC
(19,27),-0.986869 # DEPENDENCYPART_ARC
(19,28),-0.0924078 # DEPENDENCYPART_ARC
(19,29),-1.27955 # DEPENDENCYPART_ARC
(19,30),-1.73194 # DEPENDENCYPART_ARC
(19,31),-2.00936 # DEPENDENCYPART_ARC
(19,32),-1.49574 # DEPENDENCYPART_ARC
(19,33),-1.23113 # DEPENDENCYPART_ARC
(19,34),-1.38883 # DEPENDENCYPART_ARC
(19,35),-2.00045 # DEPENDENCYPART_ARC
(19,36),-0.747968 # DEPENDENCYPART_ARC
(19,37),-1.85985 # DEPENDENCYPART_ARC
(19,38),-2.38478 # DEPENDENCYPART_ARC
(19,39),-3.55022 # DEPENDENCYPART_ARC
(19,40),-2.80538 # DEPENDENCYPART_ARC
(20,1),-2.54917 # DEPENDENCYPART_ARC
(20,2),-2.2967 # DEPENDENCYPART_ARC
(20,3),-2.51967 # DEPENDENCYPART_ARC
(20,4),-2.55788 # DEPENDENCYPART_ARC
(20,5),-2.22801 # DEPENDENCYPART_ARC
(20,6),-2.77257 # DEPENDENCYPART_ARC
(20,7),-3.10858 # DEPENDENCYPART_ARC
(20,8),-2.19884 # DEPENDENCYPART_ARC
(20,9),-2.93561 # DEPENDENCYPART_ARC
(20,10),-2.06919 # DEPENDENCYPART_ARC
(20,11),-1.86858 # DEPENDENCYPART_ARC
(20,12),-1.69921 # DEPENDENCYPART_ARC
(20,13),-1.48893 # DEPENDENCYPART_ARC
(20,14),-2.0283 # DEPENDENCYPART_ARC
(20,15),-3.36304 # DEPENDENCYPART_ARC
(20,16),-1.23563 # DEPENDENCYPART_ARC
(20,17),-1.10175 # DEPENDENCYPART_ARC
(20,18),-1.70242 # DEPENDENCYPART_ARC
(20,19),-0.318757 # DEPENDENCYPART_ARC
(20,21),1.0265 # DEPENDENCYPART_ARC
(20,22),-1.03877 # DEPENDENCYPART_ARC
(20,23),-0.319067 # DEPENDENCYPART_ARC
(20,24),-1.16017 # DEPENDENCYPART_ARC
(20,25),-1.89658 # DEPENDENCYPART_ARC
(20,26),-2.05176 # DEPENDENCYPART_ARC
(20,27),-0.128945 # DEPENDENCYPART_ARC
(20,28),-2.21355 # DEPENDENCYPART_ARC
(20,29),-1.49222 # DEPENDENCYPART_ARC
(20,30),-2.56028 # DEPENDENCYPART_ARC
(20,31),-2.45172 # DEPENDENCYPART_ARC
(20,32),-0.912786 # DEPENDENCYPART_ARC
(20,33),-2.98628 # DEPENDENCYPART_ARC
(20,34),-0.619831 # DEPENDENCYPART_ARC
(20,35),-3.44332 # DEPENDENCYPART_ARC
(20,36),-4.46823 # DEPENDENCYPART_ARC
(20,37),-1.79406 # DEPENDENCYPART_ARC
(20,38),-4.39606 # DEPENDENCYPART_ARC
(20,39),-3.07221 # DEPENDENCYPART_ARC
(20,40),-2.55231 # DEPENDENCYPART_ARC
(21,1),-1.64 # DEPENDENCYPART_ARC
(21,2),-0.933029 # DEPENDENCYPART_ARC
(21,3),-1.1646 # DEPENDENCYPART_ARC
(21,4),-1.55695 # DEPENDENCYPART_ARC
(21,5),-0.946042 # DEPENDENCYPART_ARC
(21,6),-1.00992 # DEPENDENCYPART_ARC
(21,7),-0.901264 # DEPENDENCYPART_ARC
(21,8),-1.45973 # DEPENDENCYPART_ARC
(21,9),-0.423888 # DEPENDENCYPART_ARC
(21,10),-1.30514 # DEPENDENCYPART_ARC
(21,11),-1.00988 # DEPENDENCYPART_ARC
(21,12),-0.59898 # DEPENDENCYPART_ARC
(21,13),-0.537665 # DEPENDENCYPART_ARC
(21,14),-0.232303 # DEPENDENCYPART_ARC
(21,15),-0.101797 # DEPENDENCYPART_ARC
(21,16),-0.386052 # DEPENDENCYPART_ARC
(21,17),-0.325832 # DEPENDENCYPART_ARC
(21,18),0.0782221 # DEPENDENCYPART_ARC
(21,19),0.431835 # DEPENDENCYPART_ARC
(21,20),1.23992 # DEPENDENCYPART_ARC
(21,22),2.2615 # DEPENDENCYPART_ARC
(21,23),0.053649 # DEPENDENCYPART_ARC
(21,24),-0.500765 # DEPENDENCYPART_ARC
(21,25),-0.807415 # DEPENDENCYPART_ARC
(21,26),-0.884135 # DEPENDENCYPART_ARC
(21,27),-0.706969 # DEPENDENCYPART_ARC
(21,28),-0.0775649 # DEPENDENCYPART_ARC
(21,29),-1.02798 # DEPENDENCYPART_ARC
(21,30),-1.34604 # DEPENDENCYPART_ARC
(21,31),-1.50618 # DEPENDENCYPART_ARC
(21,32),-1.18797 # DEPENDENCYPART_ARC
(21,33),-1.08578 # DEPENDENCYPART_ARC
(21,34),-1.07032 # DEPENDENCYPART_ARC
(21,35),-1.34935 # DEPENDENCYPART_ARC
(21,36),-0.806668 # DEPENDENCYPART_ARC
(21,37),-1.48698 # DEPENDENCYPART_ARC
(21,38),-1.6136 # DEPENDENCYPART_ARC
(21,39),-1.97441 # DEPENDENCYPART_ARC
(21,40),-2.07745 # DEPENDENCYPART_ARC
(22,1),-1.77442 # DEPENDENCYPART_ARC
(22,2),-1.91568 # DEPENDENCYPART_ARC
(22,3),-1.24531 # DEPENDENCYPART_ARC
(22,4),-1.5124 # DEPENDENCYPART_ARC
(22,5),-1.49991 # DEPENDENCYPART_ARC
(22,6),-1.13398 # DEPENDENCYPART_ARC
(22,7),-2.01174 # DEPENDENCYPART_ARC
(22,8),-1.4533 # DEPENDENCYPART_ARC
(22,9),-2.07209 # DEPENDENCYPART_ARC
(22,10),-1.22066 # DEPENDENCYPART_ARC
(22,11),-1.20529 # DEPENDENCYPART_ARC
(22,13),-1.2516 # DEPENDENCYPART_ARC
(22,14),-1.28862 # DEPENDENCYPART_ARC
(22,17),-0.705679 # DEPENDENCYPART_ARC
(22,18),-1.26366 # DEPENDENCYPART_ARC
(22,19),-0.629284 # DEPENDENCYPART_ARC
(22,20),-1.1962 # DEPENDENCYPART_ARC
(22,21),0.0927974 # DEPENDENCYPART_ARC
(22,24),-0.784043 # DEPENDENCYPART_ARC
(22,25),-1.34395 # DEPENDENCYPART_ARC
(22,26),-1.74463 # DEPENDENCYPART_ARC
(22,27),-0.650864 # DEPENDENCYPART_ARC
(22,28),-2.05257 # DEPENDENCYPART_ARC
(22,29),-0.629868 # DEPENDENCYPART_ARC
(22,30),-1.46947 # DEPENDENCYPART_ARC
(22,31),-1.66116 # DEPENDENCYPART_ARC
(22,32),-1.30527 # DEPENDENCYPART_ARC
(22,33),-2.24362 # DEPENDENCYPART_ARC
(22,34),-1.45887 # DEPENDENCYPART_ARC
(22,35),-1.72842 # DEPENDENCYPART_ARC
(22,37),-1.9796 # DEPENDENCYPART_ARC
(22,38),-2.01914 # DEPENDENCYPART_ARC
(22,39),-2.32918 # DEPENDENCYPART_ARC
(22,40),-1.38399 # DEPENDENCYPART_ARC
(23,1),-1.16064 # DEPENDENCYPART_ARC
(23,2),-1.04176 # DEPENDENCYPART_ARC
(23,3),-1.1571 # DEPENDENCYPART_ARC
(23,4),-0.683161 # DEPENDENCYPART_ARC
(23,5),-0.899651 # DEPENDENCYPART_ARC
(23,6),-0.883166 # DEPENDENCYPART_ARC
(23,7),-0.727172 # DEPENDENCYPART_ARC
(23,8),-0.635317 # DEPENDENCYPART_ARC
(23,9),-0.638174 # DEPENDENCYPART_ARC
(23,10),-0.53106 # DEPENDENCYPART_ARC
(23,11),-1.06024 # DEPENDENCYPART_ARC
(23,12),-0.524719 # DEPENDENCYPART_ARC
(23,13),-0.414343 # DEPENDENCYPART_ARC
(23,14),0.588172 # DEPENDENCYPART_ARC
(23,15),-0.702406 # DEPENDENCYPART_ARC
(23,16),-0.319863 # DEPENDENCYPART_ARC
(23,17),0.18655 # DEPENDENCYPART_ARC
(23,18),0.539097 # DEPENDENCYPART_ARC
(23,19),0.373668 # DEPENDENCYPART_ARC
(23,20),0.735728 # DEPENDENCYPART_ARC
(23,21),0.904112 # DEPENDENCYPART_ARC
(23,22),0.553157 # DEPENDENCYPART_ARC
(23,24),2.41297 # DEPENDENCYPART_ARC
(23,25),0.834658 # DEPENDENCYPART_ARC
(23,26),0.668714 # DEPENDENCYPART_ARC
(23,27),0.0799354 # DEPENDENCYPART_ARC
(23,28),0.0252174 # DEPENDENCYPART_ARC
(23,29),-0.400763 # DEPENDENCYPART_ARC
(23,30),-0.437193 # DEPENDENCYPART_ARC
(23,31),-0.671284 # DEPENDENCYPART_ARC
(23,32),-0.335139 # DEPENDENCYPART_ARC
(23,33),-0.767011 # DEPENDENCYPART_ARC
(23,34),-0.561752 # DEPENDENCYPART_ARC
(23,35),-1.17534 # DEPENDENCYPART_ARC
(23,36),-0.274343 # DEPENDENCYPART_ARC
(23,37),-0.913483 # DEPENDENCYPART_ARC
(23,38),-1.25333 # DEPENDENCYPART_ARC
(23,39),-1.45904 # DEPENDENCYPART_ARC
(23,40),-1.40931 # DEPENDENCYPART_ARC
(24,1),-2.43178 # DEPENDENCYPART_ARC
(24,2),-1.95965 # DEPENDENCYPART_ARC
(24,3),-1.74873 # DEPENDENCYPART_ARC
(24,4),-2.08423 # DEPENDENCYPART_ARC
(24,5),-1.72566 # DEPENDENCYPART_ARC
(24,6),-1.51747 # DEPENDENCYPART_ARC
(24,7),-1.76785 # DEPENDENCYPART_ARC
(24,8),-1.99084 # DEPENDENCYPART_ARC
(24,9),-1.69144 # DEPENDENCYPART_ARC
(24,10),-1.95683 # DEPENDENCYPART_ARC
(24,11),-1.41298 # DEPENDENCYPART_ARC
(24,12),-1.23324 # DEPENDENCYPART_ARC
(24,13),-1.03711 # DEPENDENCYPART_ARC
(24,14),-1.01425 # DEPENDENCYPART_ARC
(24,15),-1.67735 # DEPENDENCYPART_ARC
(24,16),-1.03337 # DEPENDENCYPART_ARC
(24,17),-0.800903 # DEPENDENCYPART_ARC
(24,18),-0.726471 # DEPENDENCYPART_ARC
(24,19),-0.79674 # DEPENDENCYPART_ARC
(24,20),-0.507941 # DEPENDENCYPART_ARC
(24,21),-0.622191 # DEPENDENCYPART_ARC
(24,22),-0.101352 # DEPENDENCYPART_ARC
(24,23),-0.0288303 # DEPENDENCYPART_ARC
(24,25),2.07903 # DEPENDENCYPART_ARC
(24,26),0.830222 # DEPENDENCYPART_ARC
(24,27),0.271048 # DEPENDENCYPART_ARC
(24,28),-0.784444 # DEPENDENCYPART_ARC
(24,29),-0.434617 # DEPENDENCYPART_ARC
(24,30),-0.844765 # DEPENDENCYPART_ARC
(24,31),-0.584629 # DEPENDENCYPART_ARC
(24,32),-0.744024 # DEPENDENCYPART_ARC
(24,33),-1.74681 # DEPENDENCYPART_ARC
(24,34),-0.47667 # DEPENDENCYPART_ARC
(24,35),-2.35942 # DEPENDENCYPART_ARC
(24,36),-2.88349 # DEPENDENCYPART_ARC
(24,37),-1.36669 # DEPENDENCYPART_ARC
(24,38),-2.61489 # DEPENDENCYPART_ARC
(24,39),-1.61998 # DEPENDENCYPART_ARC
(24,40),-1.49763 # DEPENDENCYPART_ARC
(25,1),-2.55513 # DEPENDENCYPART_ARC
(25,2),-2.90092 # DEPENDENCYPART_ARC
(25,3),-2.22345 # DEPENDENCYPART_ARC
(25,4),-2.53052 # DEPENDENCYPART_ARC
(25,5),-1.76715 # DEPENDENCYPART_ARC
(25,6),-2.38398 # DEPENDENCYPART_ARC
(25,7),-2.82198 # DEPENDENCYPART_ARC
(25,8),-2.35857 # DEPENDENCYPART_ARC
(25,9),-2.46454 # DEPENDENCYPART_ARC
(25,10),-2.09912 # DEPENDENCYPART_ARC
(25,11),-1.5651 # DEPENDENCYPART_ARC
(25,12),-1.43216 # DEPENDENCYPART_ARC
(25,13),-1.97733 # DEPENDENCYPART_ARC
(25,14),-1.5202 # DEPENDENCYPART_ARC
(25,15),-3.28468 # DEPENDENCYPART_ARC
(25,16),-1.03892 # DEPENDENCYPART_ARC
(25,17),-1.0527 # DEPENDENCYPART_ARC
(25,18),-1.79914 # DEPENDENCYPART_ARC
(25,19),-1.02794 # DEPENDENCYPART_ARC
(25,20),-1.5093 # DEPENDENCYPART_ARC
(25,21),-0.829271 # DEPENDENCYPART_ARC
(25,22),-2.30055 # DEPENDENCYPART_ARC
(25,23),-0.38206 # DEPENDENCYPART_ARC
(25,24),0.189708 # DEPENDENCYPART_ARC
(25,26),1.52571 # DEPENDENCYPART_ARC
(25,27),0.393231 # DEPENDENCYPART_ARC
(25,28),-1.27877 # DEPENDENCYPART_ARC
(25,29),-1.0455 # DEPENDENCYPART_ARC
