# _root_ وَ يُشَكِّلُ هٰذا الخَفْضُ , بِ الإِضافَةِ إِلَى ثَلاثَةِ آلافِ آخَرِينَ فِي مارِس الماضِي , نِسْبَةَ 11 بِ المِائَةِ مِن مَجْمُوعِ عَدَدِ العامِلِينَ عَلَى أَجْهِزَةِ الفَحْصِ وَ البالِغِ 55600 شَخْصٍ . وَ مِن المُتَوَقَّعِ أَن تُوَفِّرَ إِدارَةُ أَمْنِ النَقْلِ مَبْلَغاً يَقْرَبُ مِن 280 مِلْيُونَ دُولارٍ أَمْرِيكِيٍّ .
#goldHeads=0,0,4,8,4,8,8,2,8,9,10,11,12,13,14,2,16,17,18,17,20,21,22,23,24,25,28,22,28,29,0,0,0,33,33,35,36,37,38,36,40,41,42,43,44,45,0,
#predictedHeads=0,0,4,2,4,8,8,2,8,9,10,9,12,13,14,15,16,17,18,17,20,21,22,23,24,25,25,27,28,29,0,0,29,33,33,35,36,37,38,36,40,41,42,43,44,45,0,
(10,23),-0.725025 # DEPENDENCYPART_ARC
(10,24),-0.498529 # DEPENDENCYPART_ARC
(10,25),-2.74288 # DEPENDENCYPART_ARC
(10,26),-1.20966 # DEPENDENCYPART_ARC
(10,27),-0.602375 # DEPENDENCYPART_ARC
(10,28),-2.56706 # DEPENDENCYPART_ARC
(10,29),-1.63808 # DEPENDENCYPART_ARC
(10,30),-2.60523 # DEPENDENCYPART_ARC
(10,31),-2.21181 # DEPENDENCYPART_ARC
(10,32),-1.87348 # DEPENDENCYPART_ARC
(10,33),-3.14774 # DEPENDENCYPART_ARC
(10,34),-3.69654 # DEPENDENCYPART_ARC
(10,35),-2.97777 # DEPENDENCYPART_ARC
(10,36),-4.98421 # DEPENDENCYPART_ARC
(10,37),-5.08517 # DEPENDENCYPART_ARC
(10,38),-4.56002 # DEPENDENCYPART_ARC
(10,39),-4.34199 # DEPENDENCYPART_ARC
(10,40),-4.45055 # DEPENDENCYPART_ARC
(10,41),-5.18634 # DEPENDENCYPART_ARC
(10,42),-5.12902 # DEPENDENCYPART_ARC
(10,43),-3.36215 # DEPENDENCYPART_ARC
(10,44),-5.90594 # DEPENDENCYPART_ARC
(10,45),-5.96443 # DEPENDENCYPART_ARC
(10,46),-7.17585 # DEPENDENCYPART_ARC
(10,47),-4.55651 # DEPENDENCYPART_ARC
(11,1),-1.47023 # DEPENDENCYPART_ARC
(11,2),-2.30035 # DEPENDENCYPART_ARC
(11,3),-0.534017 # DEPENDENCYPART_ARC
(11,4),-1.1766 # DEPENDENCYPART_ARC
(11,5),-1.10728 # DEPENDENCYPART_ARC
(11,6),-0.589447 # DEPENDENCYPART_ARC
(11,7),-2.96299 # DEPENDENCYPART_ARC
(11,8),-0.544262 # DEPENDENCYPART_ARC
(11,9),-2.45064 # DEPENDENCYPART_ARC
(11,10),-1.42662 # DEPENDENCYPART_ARC
(11,12),1.17424 # DEPENDENCYPART_ARC
(11,13),-0.275572 # DEPENDENCYPART_ARC
(11,14),-0.462065 # DEPENDENCYPART_ARC
(11,15),-0.567763 # DEPENDENCYPART_ARC
(11,16),-1.5091 # DEPENDENCYPART_ARC
(11,17),-0.703004 # DEPENDENCYPART_ARC
(11,18),-0.206872 # DEPENDENCYPART_ARC
(11,19),-2.13168 # DEPENDENCYPART_ARC
(11,20),-0.410962 # DEPENDENCYPART_ARC
(11,21),-2.80486 # DEPENDENCYPART_ARC
(11,22),-2.22635 # DEPENDENCYPART_ARC
(11,23),-2.02364 # DEPENDENCYPART_ARC
(11,24),-0.761184 # DEPENDENCYPART_ARC
(11,25),-3.58972 # DEPENDENCYPART_ARC
(11,26),-2.33119 # DEPENDENCYPART_ARC
(11,27),-0.865598 # DEPENDENCYPART_ARC
(11,28),-3.34273 # DEPENDENCYPART_ARC
(11,29),-1.87365 # DEPENDENCYPART_ARC
(11,30),-3.33532 # DEPENDENCYPART_ARC
(11,31),-2.58742 # DEPENDENCYPART_ARC
(11,32),-2.15356 # DEPENDENCYPART_ARC
(11,33),-2.89372 # DEPENDENCYPART_ARC
(11,34),-4.52918 # DEPENDENCYPART_ARC
(11,35),-3.24884 # DEPENDENCYPART_ARC
(11,36),-4.29186 # DEPENDENCYPART_ARC
(11,37),-6.01809 # DEPENDENCYPART_ARC
(11,38),-5.56324 # DEPENDENCYPART_ARC
(11,39),-5.43532 # DEPENDENCYPART_ARC
(11,40),-5.79727 # DEPENDENCYPART_ARC
(11,41),-4.55661 # DEPENDENCYPART_ARC
(11,42),-5.12175 # DEPENDENCYPART_ARC
(11,43),-3.58511 # DEPENDENCYPART_ARC
(11,44),-7.40205 # DEPENDENCYPART_ARC
(11,45),-6.58603 # DEPENDENCYPART_ARC
(11,46),-8.50374 # DEPENDENCYPART_ARC
(11,47),-4.73094 # DEPENDENCYPART_ARC
(12,1),-1.32103 # DEPENDENCYPART_ARC
(12,2),-0.926512 # DEPENDENCYPART_ARC
(12,3),-0.826163 # DEPENDENCYPART_ARC
(12,4),-1.15014 # DEPENDENCYPART_ARC
(12,5),-0.712981 # DEPENDENCYPART_ARC
(12,6),-1.27117 # DEPENDENCYPART_ARC
(12,7),-0.234898 # DEPENDENCYPART_ARC
(12,8),-1.08503 # DEPENDENCYPART_ARC
(12,9),-0.516216 # DEPENDENCYPART_ARC
(12,10),-0.487031 # DEPENDENCYPART_ARC
(12,11),0.21096 # DEPENDENCYPART_ARC
(12,13),1.9387 # DEPENDENCYPART_ARC
(12,14),0.0239583 # DEPENDENCYPART_ARC
(12,15),0.442652 # DEPENDENCYPART_ARC
(12,16),-0.522771 # DEPENDENCYPART_ARC
(12,17),-0.400713 # DEPENDENCYPART_ARC
(12,18),-0.825279 # DEPENDENCYPART_ARC
(12,19),-0.356021 # DEPENDENCYPART_ARC
(12,20),-0.905925 # DEPENDENCYPART_ARC
(12,21),-0.953417 # DEPENDENCYPART_ARC
(12,22),-1.80931 # DEPENDENCYPART_ARC
(12,23),-1.98932 # DEPENDENCYPART_ARC
(12,24),-1.2371 # DEPENDENCYPART_ARC
(12,25),-1.83496 # DEPENDENCYPART_ARC
(12,26),-2.48345 # DEPENDENCYPART_ARC
(12,27),-1.11252 # DEPENDENCYPART_ARC
(12,28),-1.43376 # DEPENDENCYPART_ARC
(12,29),-1.50036 # DEPENDENCYPART_ARC
(12,30),-3.13206 # DEPENDENCYPART_ARC
(12,31),-2.54902 # DEPENDENCYPART_ARC
(12,32),-2.07368 # DEPENDENCYPART_ARC
(12,33),-1.81076 # DEPENDENCYPART_ARC
(12,34),-3.10787 # DEPENDENCYPART_ARC
(12,35),-2.92572 # DEPENDENCYPART_ARC
(12,36),-2.90877 # DEPENDENCYPART_ARC
(12,37),-4.70069 # DEPENDENCYPART_ARC
(12,38),-5.17043 # DEPENDENCYPART_ARC
(12,39),-5.43048 # DEPENDENCYPART_ARC
(12,40),-5.57191 # DEPENDENCYPART_ARC
(12,41),-3.59162 # DEPENDENCYPART_ARC
(12,42),-2.71144 # DEPENDENCYPART_ARC
(12,43),-3.07052 # DEPENDENCYPART_ARC
(12,44),-6.32369 # DEPENDENCYPART_ARC
(12,45),-6.76164 # DEPENDENCYPART_ARC
(12,46),-3.31637 # DEPENDENCYPART_ARC
(12,47),-5.49657 # DEPENDENCYPART_ARC
(13,1),-2.05724 # DEPENDENCYPART_ARC
(13,2),-1.70298 # DEPENDENCYPART_ARC
(13,3),-1.44966 # DEPENDENCYPART_ARC
(13,4),-1.62763 # DEPENDENCYPART_ARC
(13,5),-1.54566 # DEPENDENCYPART_ARC
(13,6),-1.61174 # DEPENDENCYPART_ARC
(13,7),-1.44316 # DEPENDENCYPART_ARC
(13,8),-1.47274 # DEPENDENCYPART_ARC
(13,9),-1.0361 # DEPENDENCYPART_ARC
(13,10),-0.889495 # DEPENDENCYPART_ARC
(13,11),-0.361105 # DEPENDENCYPART_ARC
(13,12),-0.455123 # DEPENDENCYPART_ARC
(13,14),1.2144 # DEPENDENCYPART_ARC
(13,15),-0.17888 # DEPENDENCYPART_ARC
(13,16),-0.821819 # DEPENDENCYPART_ARC
(13,17),-0.640595 # DEPENDENCYPART_ARC
(13,18),-0.537767 # DEPENDENCYPART_ARC
(13,19),-1.33076 # DEPENDENCYPART_ARC
(13,20),-0.671159 # DEPENDENCYPART_ARC
(13,21),-1.38667 # DEPENDENCYPART_ARC
(13,22),-1.42847 # DEPENDENCYPART_ARC
(13,23),-1.52542 # DEPENDENCYPART_ARC
(13,24),-1.17588 # DEPENDENCYPART_ARC
(13,25),-1.69624 # DEPENDENCYPART_ARC
(13,26),-1.7295 # DEPENDENCYPART_ARC
(13,27),-0.592136 # DEPENDENCYPART_ARC
(13,28),-1.93674 # DEPENDENCYPART_ARC
(13,29),-1.92008 # DEPENDENCYPART_ARC
(13,30),-2.00757 # DEPENDENCYPART_ARC
(13,31),-1.90709 # DEPENDENCYPART_ARC
(13,32),-1.33754 # DEPENDENCYPART_ARC
(13,33),-1.06846 # DEPENDENCYPART_ARC
(13,34),-2.29226 # DEPENDENCYPART_ARC
(13,35),-1.43044 # DEPENDENCYPART_ARC
(13,36),-2.37284 # DEPENDENCYPART_ARC
(13,37),-2.96799 # DEPENDENCYPART_ARC
(13,38),-2.92866 # DEPENDENCYPART_ARC
(13,39),-3.02723 # DEPENDENCYPART_ARC
(13,40),-3.06068 # DEPENDENCYPART_ARC
(13,41),-2.99413 # DEPENDENCYPART_ARC
(13,42),-1.62409 # DEPENDENCYPART_ARC
(13,43),-3.2962 # DEPENDENCYPART_ARC
(13,44),-3.37767 # DEPENDENCYPART_ARC
(13,45),-3.49623 # DEPENDENCYPART_ARC
(13,46),-3.6534 # DEPENDENCYPART_ARC
(13,47),-3.72967 # DEPENDENCYPART_ARC
(14,1),-1.16601 # DEPENDENCYPART_ARC
(14,2),-0.798166 # DEPENDENCYPART_ARC
(14,3),-0.760878 # DEPENDENCYPART_ARC
(14,4),-1.272 # DEPENDENCYPART_ARC
(14,5),-0.319453 # DEPENDENCYPART_ARC
(14,6),-0.778312 # DEPENDENCYPART_ARC
(14,7),-1.41457 # DEPENDENCYPART_ARC
(14,8),-0.473646 # DEPENDENCYPART_ARC
(14,9),-1.03536 # DEPENDENCYPART_ARC
(14,10),-0.459821 # DEPENDENCYPART_ARC
(14,11),-0.729462 # DEPENDENCYPART_ARC
(14,12),0.297738 # DEPENDENCYPART_ARC
(14,13),0.440955 # DEPENDENCYPART_ARC
(14,15),0.704937 # DEPENDENCYPART_ARC
(14,16),-0.763666 # DEPENDENCYPART_ARC
(14,17),-0.402757 # DEPENDENCYPART_ARC
(14,18),-0.582547 # DEPENDENCYPART_ARC
(14,19),-1.30532 # DEPENDENCYPART_ARC
(14,20),-0.851155 # DEPENDENCYPART_ARC
(14,21),-1.58903 # DEPENDENCYPART_ARC
(14,22),-1.66117 # DEPENDENCYPART_ARC
(14,23),-1.44663 # DEPENDENCYPART_ARC
(14,24),-1.4841 # DEPENDENCYPART_ARC
(14,25),-2.20123 # DEPENDENCYPART_ARC
(14,26),-1.77598 # DEPENDENCYPART_ARC
(14,27),-1.04748 # DEPENDENCYPART_ARC
(14,28),-1.96189 # DEPENDENCYPART_ARC
(14,29),-0.909987 # DEPENDENCYPART_ARC
(14,30),-2.13664 # DEPENDENCYPART_ARC
(14,31),-1.36838 # DEPENDENCYPART_ARC
(14,32),-1.62168 # DEPENDENCYPART_ARC
(14,33),-2.52717 # DEPENDENCYPART_ARC
(14,34),-2.50065 # DEPENDENCYPART_ARC
(14,35),-1.66891 # DEPENDENCYPART_ARC
(14,36),-1.11545 # DEPENDENCYPART_ARC
(14,37),-3.85049 # DEPENDENCYPART_ARC
(14,38),-3.86155 # DEPENDENCYPART_ARC
(14,39),-3.71113 # DEPENDENCYPART_ARC
(14,40),-3.81839 # DEPENDENCYPART_ARC
(14,41),-1.88823 # DEPENDENCYPART_ARC
(14,42),-3.8049 # DEPENDENCYPART_ARC
(14,43),-1.45846 # DEPENDENCYPART_ARC
(14,44),-4.20133 # DEPENDENCYPART_ARC
(14,45),-4.3953 # DEPENDENCYPART_ARC
(14,46),-3.68364 # DEPENDENCYPART_ARC
(14,47),-3.3975 # DEPENDENCYPART_ARC
(15,1),-1.2045 # DEPENDENCYPART_ARC
(15,2),-0.713443 # DEPENDENCYPART_ARC
(15,3),-0.683125 # DEPENDENCYPART_ARC
(15,4),-0.690597 # DEPENDENCYPART_ARC
(15,5),-0.655783 # DEPENDENCYPART_ARC
(15,6),-0.938008 # DEPENDENCYPART_ARC
(15,7),-0.108861 # DEPENDENCYPART_ARC
(15,8),-0.744028 # DEPENDENCYPART_ARC
(15,9),0.266404 # DEPENDENCYPART_ARC
(15,10),0.288141 # DEPENDENCYPART_ARC
(15,11),0.201818 # DEPENDENCYPART_ARC
(15,12),-0.265963 # DEPENDENCYPART_ARC
(15,13),0.823714 # DEPENDENCYPART_ARC
(15,14),0.0731647 # DEPENDENCYPART_ARC
(15,16),0.296945 # DEPENDENCYPART_ARC
(15,17),0.0680005 # DEPENDENCYPART_ARC
(15,18),-0.0589835 # DEPENDENCYPART_ARC
(15,19),-0.566663 # DEPENDENCYPART_ARC
(15,20),-0.326057 # DEPENDENCYPART_ARC
(15,21),-0.905316 # DEPENDENCYPART_ARC
(15,22),-0.959142 # DEPENDENCYPART_ARC
(15,23),-0.995417 # DEPENDENCYPART_ARC
(15,24),-0.745955 # DEPENDENCYPART_ARC
(15,25),-1.1566 # DEPENDENCYPART_ARC
(15,26),-1.18253 # DEPENDENCYPART_ARC
(15,27),-0.857338 # DEPENDENCYPART_ARC
(15,28),-0.806902 # DEPENDENCYPART_ARC
(15,29),-0.514834 # DEPENDENCYPART_ARC
(15,30),-1.07716 # DEPENDENCYPART_ARC
(15,31),-0.744934 # DEPENDENCYPART_ARC
(15,32),-1.07872 # DEPENDENCYPART_ARC
(15,33),-1.06788 # DEPENDENCYPART_ARC
(15,34),-1.50159 # DEPENDENCYPART_ARC
(15,35),-1.02903 # DEPENDENCYPART_ARC
(15,36),-0.239253 # DEPENDENCYPART_ARC
(15,37),-2.13089 # DEPENDENCYPART_ARC
(15,38),-2.37651 # DEPENDENCYPART_ARC
(15,39),-2.52763 # DEPENDENCYPART_ARC
(15,40),-2.35416 # DEPENDENCYPART_ARC
(15,41),-0.558387 # DEPENDENCYPART_ARC
(15,42),-1.96671 # DEPENDENCYPART_ARC
(15,43),-1.32387 # DEPENDENCYPART_ARC
(15,44),-2.63505 # DEPENDENCYPART_ARC
(15,45),-2.83 # DEPENDENCYPART_ARC
(15,46),-2.76328 # DEPENDENCYPART_ARC
(15,47),-2.90812 # DEPENDENCYPART_ARC
(16,1),-1.95885 # DEPENDENCYPART_ARC
(16,2),-2.66916 # DEPENDENCYPART_ARC
(16,3),-1.91369 # DEPENDENCYPART_ARC
(16,4),-1.29089 # DEPENDENCYPART_ARC
(16,5),-1.19839 # DEPENDENCYPART_ARC
(16,6),-0.799754 # DEPENDENCYPART_ARC
(16,7),-2.67623 # DEPENDENCYPART_ARC
(16,8),-0.994357 # DEPENDENCYPART_ARC
(16,9),-2.52497 # DEPENDENCYPART_ARC
(16,10),-2.35864 # DEPENDENCYPART_ARC
(16,11),-2.8418 # DEPENDENCYPART_ARC
(16,12),-0.637394 # DEPENDENCYPART_ARC
(16,13),-0.685329 # DEPENDENCYPART_ARC
(16,14),-0.459861 # DEPENDENCYPART_ARC
(16,15),0.239367 # DEPENDENCYPART_ARC
(16,17),1.6798 # DEPENDENCYPART_ARC
(16,18),0.864564 # DEPENDENCYPART_ARC
(16,19),-0.411838 # DEPENDENCYPART_ARC
(16,20),0.646477 # DEPENDENCYPART_ARC
(16,21),-0.504138 # DEPENDENCYPART_ARC
(16,22),-0.0903387 # DEPENDENCYPART_ARC
(16,23),-0.810854 # DEPENDENCYPART_ARC
(16,24),-0.0322432 # DEPENDENCYPART_ARC
(16,25),-2.09498 # DEPENDENCYPART_ARC
(16,26),-0.829363 # DEPENDENCYPART_ARC
(16,27),-0.140194 # DEPENDENCYPART_ARC
(16,28),-2.88379 # DEPENDENCYPART_ARC
(16,29),-0.975011 # DEPENDENCYPART_ARC
(16,30),-1.89111 # DEPENDENCYPART_ARC
(16,31),-0.605662 # DEPENDENCYPART_ARC
(16,32),-1.2264 # DEPENDENCYPART_ARC
(16,33),-1.92256 # DEPENDENCYPART_ARC
(16,34),-2.53249 # DEPENDENCYPART_ARC
(16,35),-1.85009 # DEPENDENCYPART_ARC
(16,36),-4.74873 # DEPENDENCYPART_ARC
(16,37),-3.85747 # DEPENDENCYPART_ARC
(16,38),-3.33308 # DEPENDENCYPART_ARC
(16,39),-3.76399 # DEPENDENCYPART_ARC
(16,40),-4.2794 # DEPENDENCYPART_ARC
(16,41),-5.34358 # DEPENDENCYPART_ARC
(16,42),-4.03236 # DEPENDENCYPART_ARC
(16,43),-2.42859 # DEPENDENCYPART_ARC
(16,44),-4.48693 # DEPENDENCYPART_ARC
(16,45),-5.04701 # DEPENDENCYPART_ARC
(16,46),-7.40017 # DEPENDENCYPART_ARC
(16,47),-2.65489 # DEPENDENCYPART_ARC
(17,1),-1.32327 # DEPENDENCYPART_ARC
(17,2),-1.13356 # DEPENDENCYPART_ARC
(17,3),-1.27786 # DEPENDENCYPART_ARC
(17,4),-1.34249 # DEPENDENCYPART_ARC
(17,5),-1.18078 # DEPENDENCYPART_ARC
(17,6),-0.89673 # DEPENDENCYPART_ARC
(17,7),-1.12376 # DEPENDENCYPART_ARC
(17,8),-0.765479 # DEPENDENCYPART_ARC
(17,9),-1.00647 # DEPENDENCYPART_ARC
(17,10),-0.855896 # DEPENDENCYPART_ARC
(17,11),-0.784582 # DEPENDENCYPART_ARC
(17,12),-0.314938 # DEPENDENCYPART_ARC
(17,13),-1.06183 # DEPENDENCYPART_ARC
(17,14),-0.700664 # DEPENDENCYPART_ARC
(17,15),-0.152641 # DEPENDENCYPART_ARC
(17,16),0.389421 # DEPENDENCYPART_ARC
(17,18),1.84391 # DEPENDENCYPART_ARC
(17,19),1.03843 # DEPENDENCYPART_ARC
(17,20),1.60454 # DEPENDENCYPART_ARC
(17,21),0.325674 # DEPENDENCYPART_ARC
(17,22),0.100736 # DEPENDENCYPART_ARC
(17,23),-0.21796 # DEPENDENCYPART_ARC
(17,24),0.550559 # DEPENDENCYPART_ARC
(17,25),-0.378835 # DEPENDENCYPART_ARC
(17,26),-0.473851 # DEPENDENCYPART_ARC
(17,27),-0.30621 # DEPENDENCYPART_ARC
(17,28),-0.0735635 # DEPENDENCYPART_ARC
(17,29),-0.987242 # DEPENDENCYPART_ARC
(17,30),-0.387394 # DEPENDENCYPART_ARC
(17,31),-0.249258 # DEPENDENCYPART_ARC
(17,32),-0.706461 # DEPENDENCYPART_ARC
(17,33),-0.147336 # DEPENDENCYPART_ARC
(17,34),-1.1918 # DEPENDENCYPART_ARC
(17,35),-0.80225 # DEPENDENCYPART_ARC
(17,36),-0.309865 # DEPENDENCYPART_ARC
(17,37),-1.81521 # DEPENDENCYPART_ARC
(17,38),-2.12941 # DEPENDENCYPART_ARC
(17,39),-2.153 # DEPENDENCYPART_ARC
(17,40),-2.41131 # DEPENDENCYPART_ARC
(17,41),-1.01577 # DEPENDENCYPART_ARC
(17,42),-1.86597 # DEPENDENCYPART_ARC
(17,43),-2.26069 # DEPENDENCYPART_ARC
(17,44),-2.0076 # DEPENDENCYPART_ARC
(17,45),-3.97893 # DEPENDENCYPART_ARC
(17,46),-1.36928 # DEPENDENCYPART_ARC
(17,47),-1.66074 # DEPENDENCYPART_ARC
(18,1),-1.78957 # DEPENDENCYPART_ARC
(18,2),-1.14531 # DEPENDENCYPART_ARC
(18,3),-1.20304 # DEPENDENCYPART_ARC
(18,4),-1.64913 # DEPENDENCYPART_ARC
(18,5),-1.52916 # DEPENDENCYPART_ARC
(18,6),-1.91679 # DEPENDENCYPART_ARC
(18,7),-0.815735 # DEPENDENCYPART_ARC
(18,8),-2.00886 # DEPENDENCYPART_ARC
(18,9),-1.23528 # DEPENDENCYPART_ARC
(18,10),-1.26649 # DEPENDENCYPART_ARC
(18,11),-0.925581 # DEPENDENCYPART_ARC
(18,12),-1.65106 # DEPENDENCYPART_ARC
(18,13),-1.34712 # DEPENDENCYPART_ARC
(18,14),-1.10927 # DEPENDENCYPART_ARC
(18,15),-0.558169 # DEPENDENCYPART_ARC
(18,16),-0.466268 # DEPENDENCYPART_ARC
(18,17),-0.308972 # DEPENDENCYPART_ARC
(18,19),2.79911 # DEPENDENCYPART_ARC
(18,20),-0.0141488 # DEPENDENCYPART_ARC
(18,21),0.711138 # DEPENDENCYPART_ARC
(18,22),-0.612091 # DEPENDENCYPART_ARC
(18,23),-0.595498 # DEPENDENCYPART_ARC
(18,24),-0.777122 # DEPENDENCYPART_ARC
(18,25),-0.0579444 # DEPENDENCYPART_ARC
(18,26),-1.09535 # DEPENDENCYPART_ARC
(18,27),-0.545253 # DEPENDENCYPART_ARC
(18,28),-0.829742 # DEPENDENCYPART_ARC
(18,29),-1.40077 # DEPENDENCYPART_ARC
(18,30),-1.32935 # DEPENDENCYPART_ARC
(18,31),-1.68214 # DEPENDENCYPART_ARC
(18,32),-1.60794 # DEPENDENCYPART_ARC
(18,33),-1.23101 # DEPENDENCYPART_ARC
(18,34),-0.973326 # DEPENDENCYPART_ARC
(18,35),-1.50151 # DEPENDENCYPART_ARC
(18,36),-2.31579 # DEPENDENCYPART_ARC
(18,37),-2.63092 # DEPENDENCYPART_ARC
(18,38),-3.07232 # DEPENDENCYPART_ARC
(18,39),-3.26479 # DEPENDENCYPART_ARC
(18,40),-3.1796 # DEPENDENCYPART_ARC
(18,41),-3.1684 # DEPENDENCYPART_ARC
(18,42),-2.2024 # DEPENDENCYPART_ARC
(18,43),-2.90311 # DEPENDENCYPART_ARC
(18,44),-3.52002 # DEPENDENCYPART_ARC
(18,45),-3.78824 # DEPENDENCYPART_ARC
(18,46),-2.15826 # DEPENDENCYPART_ARC
(18,47),-3.72763 # DEPENDENCYPART_ARC
(19,1),-2.39616 # DEPENDENCYPART_ARC
(19,2),-3.34033 # DEPENDENCYPART_ARC
(19,3),-1.65864 # DEPENDENCYPART_ARC
(19,4),-2.40415 # DEPENDENCYPART_ARC
(19,5),-1.95071 # DEPENDENCYPART_ARC
(19,6),-1.16649 # DEPENDENCYPART_ARC
(19,7),-3.924 # DEPENDENCYPART_ARC
(19,8),-1.34477 # DEPENDENCYPART_ARC
(19,9),-3.89138 # DEPENDENCYPART_ARC
(19,10),-3.37826 # DEPENDENCYPART_ARC
(19,11),-3.9813 # DEPENDENCYPART_ARC
(19,12),-1.1203 # DEPENDENCYPART_ARC
(19,13),-1.25789 # DEPENDENCYPART_ARC
(19,14),-1.24622 # DEPENDENCYPART_ARC
(19,15),-1.06568 # DEPENDENCYPART_ARC
(19,16),-1.68025 # DEPENDENCYPART_ARC
(19,17),-0.624637 # DEPENDENCYPART_ARC
(19,18),0.0103493 # DEPENDENCYPART_ARC
(19,20),0.721487 # DEPENDENCYPART_ARC
(19,21),-0.866928 # DEPENDENCYPART_ARC
(19,22),-0.895342 # DEPENDENCYPART_ARC
(19,23),-1.40716 # DEPENDENCYPART_ARC
(19,24),-0.533207 # DEPENDENCYPART_ARC
(19,25),-2.75438 # DEPENDENCYPART_ARC
(19,26),-1.85436 # DEPENDENCYPART_ARC
(19,27),-0.70709 # DEPENDENCYPART_ARC
(19,28),-3.45437 # DEPENDENCYPART_ARC
(19,29),-1.3511 # DEPENDENCYPART_ARC
(19,30),-3.34157 # DEPENDENCYPART_ARC
(19,31),-2.31724 # DEPENDENCYPART_ARC
(19,32),-1.70959 # DEPENDENCYPART_ARC
(19,33),-2.55717 # DEPENDENCYPART_ARC
(19,34),-3.68229 # DEPENDENCYPART_ARC
(19,35),-2.43506 # DEPENDENCYPART_ARC
(19,36),-5.14916 # DEPENDENCYPART_ARC
(19,37),-4.82531 # DEPENDENCYPART_ARC
(19,38),-4.15639 # DEPENDENCYPART_ARC
(19,39),-4.60439 # DEPENDENCYPART_ARC
(19,40),-6.05299 # DEPENDENCYPART_ARC
(19,41),-5.23322 # DEPENDENCYPART_ARC
(19,42),-4.4501 # DEPENDENCYPART_ARC
(19,43),-2.98469 # DEPENDENCYPART_ARC
(19,44),-5.85619 # DEPENDENCYPART_ARC
(19,45),-6.53052 # DEPENDENCYPART_ARC
(19,46),-7.8924 # DEPENDENCYPART_ARC
(19,47),-4.02101 # DEPENDENCYPART_ARC
(20,1),-1.60587 # DEPENDENCYPART_ARC
(20,2),-1.25889 # DEPENDENCYPART_ARC
(20,3),-0.880367 # DEPENDENCYPART_ARC
(20,4),-1.21461 # DEPENDENCYPART_ARC
(20,5),-1.61534 # DEPENDENCYPART_ARC
(20,6),-1.61722 # DEPENDENCYPART_ARC
(20,7),-0.364847 # DEPENDENCYPART_ARC
(20,8),-1.41777 # DEPENDENCYPART_ARC
(20,9),-0.746124 # DEPENDENCYPART_ARC
(20,10),-0.878172 # DEPENDENCYPART_ARC
(20,11),-0.525787 # DEPENDENCYPART_ARC
(20,12),-1.44626 # DEPENDENCYPART_ARC
(20,13),-1.09554 # DEPENDENCYPART_ARC
(20,14),-0.974116 # DEPENDENCYPART_ARC
(20,15),-0.731593 # DEPENDENCYPART_ARC
(20,16),-0.10787 # DEPENDENCYPART_ARC
(20,17),-0.539793 # DEPENDENCYPART_ARC
(20,18),0.599366 # DEPENDENCYPART_ARC
(20,19),1.06954 # DEPENDENCYPART_ARC
(20,21),2.46764 # DEPENDENCYPART_ARC
(20,22),0.685469 # DEPENDENCYPART_ARC
(20,23),-0.0291517 # DEPENDENCYPART_ARC
(20,24),-0.54152 # DEPENDENCYPART_ARC
(20,25),0.448223 # DEPENDENCYPART_ARC
(20,26),-0.479751 # DEPENDENCYPART_ARC
(20,27),-0.285199 # DEPENDENCYPART_ARC
(20,28),-0.750939 # DEPENDENCYPART_ARC
(20,29),-1.05141 # DEPENDENCYPART_ARC
(20,30),-0.843238 # DEPENDENCYPART_ARC
(20,31),-1.56941 # DEPENDENCYPART_ARC
(20,32),-1.83316 # DEPENDENCYPART_ARC
(20,33),-1.02466 # DEPENDENCYPART_ARC
(20,34),-0.199071 # DEPENDENCYPART_ARC
(20,35),-1.09721 # DEPENDENCYPART_ARC
(20,36),-2.02959 # DEPENDENCYPART_ARC
(20,37),-1.93298 # DEPENDENCYPART_ARC
(20,38),-2.25785 # DEPENDENCYPART_ARC
(20,39),-2.36746 # DEPENDENCYPART_ARC
(20,40),-2.30403 # DEPENDENCYPART_ARC
(20,41),-2.82166 # DEPENDENCYPART_ARC
(20,42),-1.67202 # DEPENDENCYPART_ARC
(20,43),-2.7921 # DEPENDENCYPART_ARC
(20,44),-2.72798 # DEPENDENCYPART_ARC
(20,45),-2.84107 # DEPENDENCYPART_ARC
(20,46),-2.44452 # DEPENDENCYPART_ARC
(20,47),-3.80375 # DEPENDENCYPART_ARC
(21,1),-2.24944 # DEPENDENCYPART_ARC
(21,2),-2.37081 # DEPENDENCYPART_ARC
(21,3),-2.22236 # DEPENDENCYPART_ARC
(21,4),-2.26146 # DEPENDENCYPART_ARC
(21,5),-1.5495 # DEPENDENCYPART_ARC
(21,6),-1.06902 # DEPENDENCYPART_ARC
(21,7),-2.97523 # DEPENDENCYPART_ARC
(21,8),-1.44109 # DEPENDENCYPART_ARC
(21,9),-2.48338 # DEPENDENCYPART_ARC
(21,10),-2.19821 # DEPENDENCYPART_ARC
(21,11),-2.37473 # DEPENDENCYPART_ARC
(21,12),-1.27074 # DEPENDENCYPART_ARC
(21,13),-1.20016 # DEPENDENCYPART_ARC
(21,14),-1.36544 # DEPENDENCYPART_ARC
(21,15),-1.05308 # DEPENDENCYPART_ARC
(21,16),-1.11627 # DEPENDENCYPART_ARC
