# _root_ كَما أَعْلَنَت أَنَّ طائِراتِ مُكافَحَةِ المُخَدِّراتِ , وَ هِيَ جُزْءٌ مِن بَرْنامَجِ المُراقَبَةِ الجَوِّيَّةِ الَّذِي تُمَوِّلُ هُ الوِلاياتُ المُتَّحِدَةُ , سَ يَتِمُّ اِسْتِئْنافُ العَمَلِ بِ ها قَرِيباً جِدّاً .
#goldHeads=0,0,2,22,4,5,10,10,10,4,10,11,12,13,12,12,16,16,18,10,22,3,22,23,24,25,22,27,0,
#predictedHeads=0,0,2,10,4,5,6,10,10,3,10,11,12,13,12,12,16,16,18,19,22,3,22,23,24,25,22,27,0,
(15,16),(15,17),0.0085937 # DEPENDENCYPART_SIBL
(15,16),(15,26),0.00911073 # DEPENDENCYPART_SIBL
(15,17),(15,26),-0.0143041 # DEPENDENCYPART_SIBL
(16,1),(16,3),0.00209473 # DEPENDENCYPART_SIBL
(16,1),(16,4),-0.0908512 # DEPENDENCYPART_SIBL
(16,1),(16,9),-0.00453425 # DEPENDENCYPART_SIBL
(16,1),(16,10),-0.0908524 # DEPENDENCYPART_SIBL
(16,1),(16,11),-0.0247587 # DEPENDENCYPART_SIBL
(16,1),(16,12),-0.0908512 # DEPENDENCYPART_SIBL
(16,1),(16,13),-0.0908512 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.0339291 # DEPENDENCYPART_SIBL
(16,1),(16,15),-0.0276604 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.026401 # DEPENDENCYPART_SIBL
(16,1),(16,18),-0.00517075 # DEPENDENCYPART_SIBL
(16,1),(16,19),-0.0173621 # DEPENDENCYPART_SIBL
(16,1),(16,20),0.00341537 # DEPENDENCYPART_SIBL
(16,1),(16,21),-0.00313258 # DEPENDENCYPART_SIBL
(16,1),(16,22),0.00227916 # DEPENDENCYPART_SIBL
(16,1),(16,23),0.00814031 # DEPENDENCYPART_SIBL
(16,1),(16,24),0.00811611 # DEPENDENCYPART_SIBL
(16,1),(16,25),0.0254777 # DEPENDENCYPART_SIBL
(16,1),(16,27),-0.00359696 # DEPENDENCYPART_SIBL
(16,1),(16,28),0.000716784 # DEPENDENCYPART_SIBL
(16,1),(16,29),-0.0398582 # DEPENDENCYPART_SIBL
(16,3),(16,4),-0.100788 # DEPENDENCYPART_SIBL
(16,3),(16,9),-0.0251499 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.100789 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.00945846 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.100788 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.100788 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.0473924 # DEPENDENCYPART_SIBL
(16,3),(16,15),-0.0477753 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.0545671 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.0294025 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.0283714 # DEPENDENCYPART_SIBL
(16,3),(16,20),-0.0188218 # DEPENDENCYPART_SIBL
(16,3),(16,21),-0.0174881 # DEPENDENCYPART_SIBL
(16,3),(16,22),-0.0128297 # DEPENDENCYPART_SIBL
(16,3),(16,23),-0.0160882 # DEPENDENCYPART_SIBL
(16,3),(16,24),-0.0161039 # DEPENDENCYPART_SIBL
(16,3),(16,25),0.0205656 # DEPENDENCYPART_SIBL
(16,3),(16,27),-0.0147248 # DEPENDENCYPART_SIBL
(16,3),(16,28),-0.0243692 # DEPENDENCYPART_SIBL
(16,3),(16,29),-0.0646559 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.0581599 # DEPENDENCYPART_SIBL
(16,4),(16,10),-0.227262 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.0552083 # DEPENDENCYPART_SIBL
(16,4),(16,12),-0.227262 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.227261 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.0510295 # DEPENDENCYPART_SIBL
(16,4),(16,15),-0.0779572 # DEPENDENCYPART_SIBL
(16,4),(16,17),0.0223112 # DEPENDENCYPART_SIBL
(16,4),(16,18),-0.0582653 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.00871474 # DEPENDENCYPART_SIBL
(16,4),(16,20),0.0149404 # DEPENDENCYPART_SIBL
(16,4),(16,21),-0.00603743 # DEPENDENCYPART_SIBL
(16,4),(16,22),-0.0126763 # DEPENDENCYPART_SIBL
(16,4),(16,23),-0.0344974 # DEPENDENCYPART_SIBL
(16,4),(16,24),-0.0408334 # DEPENDENCYPART_SIBL
(16,4),(16,25),-0.0151162 # DEPENDENCYPART_SIBL
(16,4),(16,27),0.0135419 # DEPENDENCYPART_SIBL
(16,4),(16,28),-0.043601 # DEPENDENCYPART_SIBL
(16,4),(16,29),-0.0283815 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.0926685 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.000600789 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.0926685 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.0926681 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.0141614 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.0256591 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.041385 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.0278442 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.04501 # DEPENDENCYPART_SIBL
(16,9),(16,20),-0.00603449 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.0366743 # DEPENDENCYPART_SIBL
(16,9),(16,22),-0.00324158 # DEPENDENCYPART_SIBL
(16,9),(16,23),-0.00615942 # DEPENDENCYPART_SIBL
(16,9),(16,24),-0.00764711 # DEPENDENCYPART_SIBL
(16,9),(16,25),-0.019314 # DEPENDENCYPART_SIBL
(16,9),(16,27),-0.0297299 # DEPENDENCYPART_SIBL
(16,9),(16,28),-0.00850239 # DEPENDENCYPART_SIBL
(16,9),(16,29),-0.0659323 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.055215 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.227268 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.227268 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.0513722 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.0779639 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.0222279 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.0600568 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.00911323 # DEPENDENCYPART_SIBL
(16,10),(16,20),0.014743 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.00605468 # DEPENDENCYPART_SIBL
(16,10),(16,22),-0.01308 # DEPENDENCYPART_SIBL
(16,10),(16,23),-0.0362889 # DEPENDENCYPART_SIBL
(16,10),(16,24),-0.0426249 # DEPENDENCYPART_SIBL
(16,10),(16,25),-0.0169578 # DEPENDENCYPART_SIBL
(16,10),(16,27),0.0131434 # DEPENDENCYPART_SIBL
(16,10),(16,28),-0.0453925 # DEPENDENCYPART_SIBL
(16,10),(16,29),-0.0285789 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.0655038 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.0654083 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.0294588 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.043529 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0633357 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0318474 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.0101476 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.00824702 # DEPENDENCYPART_SIBL
(16,11),(16,21),0.00448522 # DEPENDENCYPART_SIBL
(16,11),(16,22),0.00963011 # DEPENDENCYPART_SIBL
(16,11),(16,23),-0.0141187 # DEPENDENCYPART_SIBL
(16,11),(16,24),-0.0157269 # DEPENDENCYPART_SIBL
(16,11),(16,25),-0.0444623 # DEPENDENCYPART_SIBL
(16,11),(16,27),0.0100652 # DEPENDENCYPART_SIBL
(16,11),(16,28),-0.0213685 # DEPENDENCYPART_SIBL
(16,11),(16,29),-0.0527803 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.22727 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.051057 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.077969 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.0223092 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.059743 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.00871481 # DEPENDENCYPART_SIBL
(16,12),(16,20),0.0145988 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.00604732 # DEPENDENCYPART_SIBL
(16,12),(16,22),-0.0128484 # DEPENDENCYPART_SIBL
(16,12),(16,23),-0.0359751 # DEPENDENCYPART_SIBL
(16,12),(16,24),-0.0423111 # DEPENDENCYPART_SIBL
(16,12),(16,25),-0.01512 # DEPENDENCYPART_SIBL
(16,12),(16,27),0.0135418 # DEPENDENCYPART_SIBL
(16,12),(16,28),-0.0450787 # DEPENDENCYPART_SIBL
(16,12),(16,29),-0.0287231 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.0510295 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.0779572 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.022311 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.0582653 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.00871474 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.0149402 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.00603743 # DEPENDENCYPART_SIBL
(16,13),(16,22),-0.0126763 # DEPENDENCYPART_SIBL
(16,13),(16,23),-0.0344974 # DEPENDENCYPART_SIBL
(16,13),(16,24),-0.0408335 # DEPENDENCYPART_SIBL
(16,13),(16,25),-0.0151162 # DEPENDENCYPART_SIBL
(16,13),(16,27),0.0135419 # DEPENDENCYPART_SIBL
(16,13),(16,28),-0.043601 # DEPENDENCYPART_SIBL
(16,13),(16,29),-0.0283817 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.0365195 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0021268 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.030434 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.108043 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0128799 # DEPENDENCYPART_SIBL
(16,14),(16,21),0.0193492 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.010744 # DEPENDENCYPART_SIBL
(16,14),(16,23),-0.0190314 # DEPENDENCYPART_SIBL
(16,14),(16,24),-0.0191208 # DEPENDENCYPART_SIBL
(16,14),(16,25),-0.0354461 # DEPENDENCYPART_SIBL
(16,14),(16,27),0.124013 # DEPENDENCYPART_SIBL
(16,14),(16,28),-0.0255492 # DEPENDENCYPART_SIBL
(16,14),(16,29),-0.0434821 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0320394 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.054115 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0433115 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.00407649 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.0236108 # DEPENDENCYPART_SIBL
(16,15),(16,22),-0.013326 # DEPENDENCYPART_SIBL
(16,15),(16,23),-0.0337459 # DEPENDENCYPART_SIBL
(16,15),(16,24),-0.0347856 # DEPENDENCYPART_SIBL
(16,15),(16,25),-0.0416366 # DEPENDENCYPART_SIBL
(16,15),(16,27),-0.0280226 # DEPENDENCYPART_SIBL
(16,15),(16,28),-0.0360889 # DEPENDENCYPART_SIBL
(16,15),(16,29),-0.0597224 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0180836 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0770649 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.150219 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.0510205 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.0259429 # DEPENDENCYPART_SIBL
(16,17),(16,23),-0.0269079 # DEPENDENCYPART_SIBL
(16,17),(16,24),-0.0278521 # DEPENDENCYPART_SIBL
(16,17),(16,25),-0.204733 # DEPENDENCYPART_SIBL
(16,17),(16,27),-0.0320629 # DEPENDENCYPART_SIBL
(16,17),(16,28),-0.064882 # DEPENDENCYPART_SIBL
(16,17),(16,29),-0.157728 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.0338245 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.144211 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.0265915 # DEPENDENCYPART_SIBL
(16,18),(16,22),-0.0496175 # DEPENDENCYPART_SIBL
(16,18),(16,23),-0.0828171 # DEPENDENCYPART_SIBL
(16,18),(16,24),-0.0953043 # DEPENDENCYPART_SIBL
(16,18),(16,25),-0.00112684 # DEPENDENCYPART_SIBL
(16,18),(16,27),0.0245836 # DEPENDENCYPART_SIBL
(16,18),(16,28),-0.121387 # DEPENDENCYPART_SIBL
(16,18),(16,29),-0.115409 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0787726 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.0213081 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.108675 # DEPENDENCYPART_SIBL
(16,19),(16,23),-0.0457269 # DEPENDENCYPART_SIBL
(16,19),(16,24),-0.0468645 # DEPENDENCYPART_SIBL
(16,19),(16,25),-0.075067 # DEPENDENCYPART_SIBL
(16,19),(16,27),-0.0280129 # DEPENDENCYPART_SIBL
(16,19),(16,28),-0.0953334 # DEPENDENCYPART_SIBL
(16,19),(16,29),-0.092532 # DEPENDENCYPART_SIBL
(16,20),(16,21),0.0108205 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.0370306 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.0260564 # DEPENDENCYPART_SIBL
(16,20),(16,24),-0.0285718 # DEPENDENCYPART_SIBL
(16,20),(16,25),-0.0157327 # DEPENDENCYPART_SIBL
(16,20),(16,27),0.050673 # DEPENDENCYPART_SIBL
(16,20),(16,28),-0.0536785 # DEPENDENCYPART_SIBL
(16,20),(16,29),0.0159844 # DEPENDENCYPART_SIBL
(16,21),(16,22),-0.0607321 # DEPENDENCYPART_SIBL
(16,21),(16,23),-0.0223471 # DEPENDENCYPART_SIBL
(16,21),(16,24),-0.0232891 # DEPENDENCYPART_SIBL
(16,21),(16,25),-0.0417451 # DEPENDENCYPART_SIBL
(16,21),(16,27),0.0151086 # DEPENDENCYPART_SIBL
(16,21),(16,28),-0.0498411 # DEPENDENCYPART_SIBL
(16,21),(16,29),-0.0374642 # DEPENDENCYPART_SIBL
(16,22),(16,23),-0.045593 # DEPENDENCYPART_SIBL
(16,22),(16,24),-0.0465866 # DEPENDENCYPART_SIBL
(16,22),(16,25),-0.0291075 # DEPENDENCYPART_SIBL
(16,22),(16,27),-0.0177804 # DEPENDENCYPART_SIBL
(16,22),(16,28),-0.073087 # DEPENDENCYPART_SIBL
(16,22),(16,29),0.0436182 # DEPENDENCYPART_SIBL
(16,23),(16,24),-0.0764327 # DEPENDENCYPART_SIBL
(16,23),(16,25),-0.00202861 # DEPENDENCYPART_SIBL
(16,23),(16,27),0.0375787 # DEPENDENCYPART_SIBL
(16,23),(16,28),-0.102516 # DEPENDENCYPART_SIBL
(16,23),(16,29),-0.0908436 # DEPENDENCYPART_SIBL
(16,24),(16,25),-0.00627212 # DEPENDENCYPART_SIBL
(16,24),(16,27),0.0475232 # DEPENDENCYPART_SIBL
(16,24),(16,28),-0.112802 # DEPENDENCYPART_SIBL
(16,24),(16,29),-0.0992473 # DEPENDENCYPART_SIBL
(16,25),(16,27),-0.0187644 # DEPENDENCYPART_SIBL
(16,25),(16,28),-0.103273 # DEPENDENCYPART_SIBL
(16,25),(16,29),-0.0864166 # DEPENDENCYPART_SIBL
(16,27),(16,28),-0.0841721 # DEPENDENCYPART_SIBL
(16,27),(16,29),-0.069389 # DEPENDENCYPART_SIBL
(16,28),(16,29),-0.112107 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.0553419 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.039144 # DEPENDENCYPART_SIBL
(17,20),(17,22),0.0445925 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.062617 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.049107 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.0327941 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.023199 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.105716 # DEPENDENCYPART_SIBL
(18,17),(18,24),-0.106986 # DEPENDENCYPART_SIBL
(18,17),(18,25),-0.0490253 # DEPENDENCYPART_SIBL
(18,17),(18,26),-0.0724311 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.153691 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.108254 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.0862645 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.0893321 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.0955685 # DEPENDENCYPART_SIBL
(18,19),(18,25),-0.199902 # DEPENDENCYPART_SIBL
(18,19),(18,26),-0.0879828 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.0543559 # DEPENDENCYPART_SIBL
(18,20),(18,22),0.0235854 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.0124901 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.0204402 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.0500412 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.0838303 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.00713329 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.0205805 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.0266208 # DEPENDENCYPART_SIBL
(18,21),(18,25),-0.0383698 # DEPENDENCYPART_SIBL
(18,21),(18,26),-0.0606404 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.00704391 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.013136 # DEPENDENCYPART_SIBL
(18,22),(18,25),-0.0261238 # DEPENDENCYPART_SIBL
(18,22),(18,26),-0.0843373 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.12304 # DEPENDENCYPART_SIBL
(18,23),(18,25),0.0371062 # DEPENDENCYPART_SIBL
(18,23),(18,26),-0.124528 # DEPENDENCYPART_SIBL
(18,24),(18,25),0.0346168 # DEPENDENCYPART_SIBL
(18,24),(18,26),-0.124453 # DEPENDENCYPART_SIBL
(18,25),(18,26),-0.0729561 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.0125509 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.0221897 # DEPENDENCYPART_SIBL
(19,17),(19,22),0.0463498 # DEPENDENCYPART_SIBL
(19,17),(19,25),0.0638984 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.0510352 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.0575849 # DEPENDENCYPART_SIBL
(19,18),(19,25),0.137032 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.058591 # DEPENDENCYPART_SIBL
(19,20),(19,25),-0.0500709 # DEPENDENCYPART_SIBL
(19,22),(19,25),0.0115023 # DEPENDENCYPART_SIBL
(20,18),(20,19),-0.00934869 # DEPENDENCYPART_SIBL
(20,18),(20,22),0.114337 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.0581065 # DEPENDENCYPART_SIBL
(21,18),(21,20),-0.00248269 # DEPENDENCYPART_SIBL
(21,18),(21,23),-0.00200761 # DEPENDENCYPART_SIBL
(21,18),(21,29),0.00473471 # DEPENDENCYPART_SIBL
(21,20),(21,23),-0.0467634 # DEPENDENCYPART_SIBL
(21,20),(21,29),0.0439712 # DEPENDENCYPART_SIBL
(21,23),(21,29),-0.0258373 # DEPENDENCYPART_SIBL
(22,1),(22,3),-0.00042986 # DEPENDENCYPART_SIBL
(22,1),(22,4),-0.0913435 # DEPENDENCYPART_SIBL
(22,1),(22,5),-0.0913435 # DEPENDENCYPART_SIBL
(22,1),(22,6),-0.0913435 # DEPENDENCYPART_SIBL
(22,1),(22,7),-0.0318228 # DEPENDENCYPART_SIBL
(22,1),(22,8),-0.0462341 # DEPENDENCYPART_SIBL
(22,1),(22,9),-0.00752276 # DEPENDENCYPART_SIBL
(22,1),(22,10),-0.0913446 # DEPENDENCYPART_SIBL
(22,1),(22,11),-0.0164625 # DEPENDENCYPART_SIBL
(22,1),(22,12),-0.0913435 # DEPENDENCYPART_SIBL
(22,1),(22,13),-0.0913435 # DEPENDENCYPART_SIBL
(22,1),(22,15),-0.030649 # DEPENDENCYPART_SIBL
(22,1),(22,16),-0.0123 # DEPENDENCYPART_SIBL
(22,1),(22,17),-0.0650226 # DEPENDENCYPART_SIBL
(22,1),(22,18),-0.0883827 # DEPENDENCYPART_SIBL
(22,1),(22,19),-0.0343091 # DEPENDENCYPART_SIBL
(22,1),(22,20),-0.0318228 # DEPENDENCYPART_SIBL
(22,1),(22,21),-0.0403203 # DEPENDENCYPART_SIBL
(22,1),(22,23),0.0223942 # DEPENDENCYPART_SIBL
(22,1),(22,24),0.02237 # DEPENDENCYPART_SIBL
(22,1),(22,25),0.0324793 # DEPENDENCYPART_SIBL
(22,1),(22,27),0.0433234 # DEPENDENCYPART_SIBL
(22,1),(22,28),0.0149707 # DEPENDENCYPART_SIBL
(22,1),(22,29),-0.0218506 # DEPENDENCYPART_SIBL
(22,3),(22,4),-0.102996 # DEPENDENCYPART_SIBL
(22,3),(22,5),-0.102996 # DEPENDENCYPART_SIBL
(22,3),(22,6),-0.102996 # DEPENDENCYPART_SIBL
(22,3),(22,7),-0.0473664 # DEPENDENCYPART_SIBL
(22,3),(22,8),-0.0785332 # DEPENDENCYPART_SIBL
(22,3),(22,9),-0.0306708 # DEPENDENCYPART_SIBL
(22,3),(22,10),-0.102997 # DEPENDENCYPART_SIBL
(22,3),(22,11),-0.00288054 # DEPENDENCYPART_SIBL
(22,3),(22,12),-0.102996 # DEPENDENCYPART_SIBL
(22,3),(22,13),-0.102996 # DEPENDENCYPART_SIBL
(22,3),(22,15),-0.0532962 # DEPENDENCYPART_SIBL
(22,3),(22,16),-0.0328826 # DEPENDENCYPART_SIBL
(22,3),(22,17),-0.0962059 # DEPENDENCYPART_SIBL
(22,3),(22,18),-0.100035 # DEPENDENCYPART_SIBL
(22,3),(22,19),-0.0494878 # DEPENDENCYPART_SIBL
(22,3),(22,20),-0.0473664 # DEPENDENCYPART_SIBL
(22,3),(22,21),-0.111057 # DEPENDENCYPART_SIBL
(22,3),(22,23),-0.00483655 # DEPENDENCYPART_SIBL
(22,3),(22,24),-0.00485223 # DEPENDENCYPART_SIBL
(22,3),(22,25),0.0247983 # DEPENDENCYPART_SIBL
(22,3),(22,27),0.0302403 # DEPENDENCYPART_SIBL
(22,3),(22,28),-0.0131175 # DEPENDENCYPART_SIBL
(22,3),(22,29),-0.0485816 # DEPENDENCYPART_SIBL
(22,4),(22,5),-0.227057 # DEPENDENCYPART_SIBL
(22,4),(22,6),-0.228188 # DEPENDENCYPART_SIBL
(22,4),(22,7),-0.0298672 # DEPENDENCYPART_SIBL
(22,4),(22,8),-0.0707502 # DEPENDENCYPART_SIBL
(22,4),(22,9),-0.059436 # DEPENDENCYPART_SIBL
(22,4),(22,10),-0.227058 # DEPENDENCYPART_SIBL
(22,4),(22,11),-0.052517 # DEPENDENCYPART_SIBL
(22,4),(22,12),-0.227057 # DEPENDENCYPART_SIBL
(22,4),(22,13),-0.227057 # DEPENDENCYPART_SIBL
(22,4),(22,15),-0.0792333 # DEPENDENCYPART_SIBL
(22,4),(22,16),-0.0344151 # DEPENDENCYPART_SIBL
(22,4),(22,17),-0.0981675 # DEPENDENCYPART_SIBL
(22,4),(22,18),-0.226821 # DEPENDENCYPART_SIBL
(22,4),(22,19),-0.0507247 # DEPENDENCYPART_SIBL
(22,4),(22,20),-0.0298672 # DEPENDENCYPART_SIBL
(22,4),(22,21),-0.0145489 # DEPENDENCYPART_SIBL
(22,4),(22,23),-0.0412304 # DEPENDENCYPART_SIBL
(22,4),(22,24),-0.0475664 # DEPENDENCYPART_SIBL
(22,4),(22,25),-0.0276876 # DEPENDENCYPART_SIBL
(22,4),(22,27),0.0425235 # DEPENDENCYPART_SIBL
(22,4),(22,28),-0.050334 # DEPENDENCYPART_SIBL
(22,4),(22,29),-0.0248474 # DEPENDENCYPART_SIBL
(22,5),(22,6),-0.228256 # DEPENDENCYPART_SIBL
(22,5),(22,7),-0.0298803 # DEPENDENCYPART_SIBL
(22,5),(22,8),-0.0707502 # DEPENDENCYPART_SIBL
(22,5),(22,9),-0.0594377 # DEPENDENCYPART_SIBL
(22,5),(22,10),-0.227126 # DEPENDENCYPART_SIBL
(22,5),(22,11),-0.052517 # DEPENDENCYPART_SIBL
(22,5),(22,12),-0.227126 # DEPENDENCYPART_SIBL
(22,5),(22,13),-0.227126 # DEPENDENCYPART_SIBL
(22,5),(22,15),-0.079235 # DEPENDENCYPART_SIBL
(22,5),(22,16),-0.0344448 # DEPENDENCYPART_SIBL
(22,5),(22,17),-0.0981692 # DEPENDENCYPART_SIBL
(22,5),(22,18),-0.22689 # DEPENDENCYPART_SIBL
(22,5),(22,19),-0.0507252 # DEPENDENCYPART_SIBL
(22,5),(22,20),-0.0298803 # DEPENDENCYPART_SIBL
(22,5),(22,21),-0.0145489 # DEPENDENCYPART_SIBL
(22,5),(22,23),-0.0443524 # DEPENDENCYPART_SIBL
(22,5),(22,24),-0.0506885 # DEPENDENCYPART_SIBL
(22,5),(22,25),-0.0283416 # DEPENDENCYPART_SIBL
(22,5),(22,27),0.0420579 # DEPENDENCYPART_SIBL
(22,5),(22,28),-0.0534561 # DEPENDENCYPART_SIBL
(22,5),(22,29),-0.025956 # DEPENDENCYPART_SIBL
(22,6),(22,7),-0.029875 # DEPENDENCYPART_SIBL
(22,6),(22,8),-0.0707502 # DEPENDENCYPART_SIBL
(22,6),(22,9),-0.059436 # DEPENDENCYPART_SIBL
(22,6),(22,10),-0.22717 # DEPENDENCYPART_SIBL
(22,6),(22,11),-0.052517 # DEPENDENCYPART_SIBL
(22,6),(22,12),-0.22717 # DEPENDENCYPART_SIBL
(22,6),(22,13),-0.22717 # DEPENDENCYPART_SIBL
(22,6),(22,15),-0.0792333 # DEPENDENCYPART_SIBL
(22,6),(22,16),-0.0344151 # DEPENDENCYPART_SIBL
(22,6),(22,17),-0.0981675 # DEPENDENCYPART_SIBL
(22,6),(22,18),-0.226934 # DEPENDENCYPART_SIBL
(22,6),(22,19),-0.0507247 # DEPENDENCYPART_SIBL
(22,6),(22,20),-0.029875 # DEPENDENCYPART_SIBL
(22,6),(22,21),-0.0145489 # DEPENDENCYPART_SIBL
(22,6),(22,23),-0.0457177 # DEPENDENCYPART_SIBL
(22,6),(22,24),-0.0520537 # DEPENDENCYPART_SIBL
(22,6),(22,25),-0.0277052 # DEPENDENCYPART_SIBL
(22,6),(22,27),0.0421505 # DEPENDENCYPART_SIBL
(22,6),(22,28),-0.0548213 # DEPENDENCYPART_SIBL
(22,6),(22,29),-0.0248968 # DEPENDENCYPART_SIBL
(22,7),(22,8),0.00789588 # DEPENDENCYPART_SIBL
(22,7),(22,9),-0.0126763 # DEPENDENCYPART_SIBL
(22,7),(22,10),-0.0169628 # DEPENDENCYPART_SIBL
(22,7),(22,11),0.000210766 # DEPENDENCYPART_SIBL
(22,7),(22,12),-0.0159642 # DEPENDENCYPART_SIBL
