# _root_ _ İnsanlık , _ Roma_İmparatorluğu döneminin öncesinde bu birleşime çok yaklaşmış , fakat çağdaş bilimin _ doğuşu için Bilimsel_Devrimi _ beklemek zorunda_kalmıştır .
#goldHeads=2,11,0,5,6,7,11,9,11,11,12,22,23,15,17,17,18,22,20,21,22,23,0,
#predictedHeads=2,11,0,5,6,7,11,9,11,11,12,22,23,15,17,17,18,22,20,21,22,23,0,
(11,9),(11,18),0.118615 # DEPENDENCYPART_SIBL
(11,9),(11,19),0.00183869 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.0760747 # DEPENDENCYPART_SIBL
(11,9),(11,21),0.00183869 # DEPENDENCYPART_SIBL
(11,9),(11,22),-0.0071139 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0643477 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0598251 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0137131 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0913328 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.0137151 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.00555526 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.0137151 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.0913328 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.0137151 # DEPENDENCYPART_SIBL
(11,10),(11,22),-0.0369878 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0481217 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0898106 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0604605 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0898106 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0702177 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.0898106 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.0604605 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.0898106 # DEPENDENCYPART_SIBL
(11,13),(11,22),-0.0451206 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0550189 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0395326 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0550189 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.0441842 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.0550189 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.0395326 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.0550189 # DEPENDENCYPART_SIBL
(11,14),(11,22),-0.0286607 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0310266 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0572542 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0166422 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.0572542 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.0310266 # DEPENDENCYPART_SIBL
(11,15),(11,21),-0.0572542 # DEPENDENCYPART_SIBL
(11,15),(11,22),-0.0123033 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.0793073 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.0587605 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.0793073 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.0598273 # DEPENDENCYPART_SIBL
(11,16),(11,21),-0.0793073 # DEPENDENCYPART_SIBL
(11,16),(11,22),-0.0487399 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.0166422 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.0572542 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.0310266 # DEPENDENCYPART_SIBL
(11,17),(11,21),-0.0572542 # DEPENDENCYPART_SIBL
(11,17),(11,22),-0.0123033 # DEPENDENCYPART_SIBL
(11,18),(11,19),-0.0108736 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.0367472 # DEPENDENCYPART_SIBL
(11,18),(11,21),-0.0108736 # DEPENDENCYPART_SIBL
(11,18),(11,22),-0.0220646 # DEPENDENCYPART_SIBL
(11,19),(11,20),-0.0310266 # DEPENDENCYPART_SIBL
(11,19),(11,21),-0.0572542 # DEPENDENCYPART_SIBL
(11,19),(11,22),-0.0123033 # DEPENDENCYPART_SIBL
(11,20),(11,21),-0.0793073 # DEPENDENCYPART_SIBL
(11,20),(11,22),-0.0487399 # DEPENDENCYPART_SIBL
(11,21),(11,22),-0.0123033 # DEPENDENCYPART_SIBL
(12,3),(12,6),0.0370901 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.0429294 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0110402 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.0370901 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.00949957 # DEPENDENCYPART_SIBL
(12,3),(12,11),0.0885901 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.0588839 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.111055 # DEPENDENCYPART_SIBL
(12,3),(12,19),-0.0279063 # DEPENDENCYPART_SIBL
(12,3),(12,20),-0.111055 # DEPENDENCYPART_SIBL
(12,3),(12,22),-0.0740256 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.0849943 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.104909 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.0836623 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.0152555 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.0325191 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0276273 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0586021 # DEPENDENCYPART_SIBL
(12,6),(12,19),0.00262664 # DEPENDENCYPART_SIBL
(12,6),(12,20),-0.0586021 # DEPENDENCYPART_SIBL
(12,6),(12,22),-0.033615 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.105853 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.0813121 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0161992 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.0311908 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0293857 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0586021 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.00262479 # DEPENDENCYPART_SIBL
(12,7),(12,20),-0.0586021 # DEPENDENCYPART_SIBL
(12,7),(12,22),-0.033615 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.0432106 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0564443 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.00227433 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.00731459 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.0554132 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.015886 # DEPENDENCYPART_SIBL
(12,8),(12,20),-0.0554132 # DEPENDENCYPART_SIBL
(12,8),(12,22),-0.041652 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0152555 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.0325191 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0293857 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.0586021 # DEPENDENCYPART_SIBL
(12,9),(12,19),0.00262664 # DEPENDENCYPART_SIBL
(12,9),(12,20),-0.0586021 # DEPENDENCYPART_SIBL
(12,9),(12,22),-0.033615 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0741408 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0387411 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0764789 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.0187621 # DEPENDENCYPART_SIBL
(12,10),(12,20),-0.0764789 # DEPENDENCYPART_SIBL
(12,10),(12,22),-0.0626212 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0846783 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.163558 # DEPENDENCYPART_SIBL
(12,11),(12,19),-0.0645292 # DEPENDENCYPART_SIBL
(12,11),(12,20),-0.163558 # DEPENDENCYPART_SIBL
(12,11),(12,22),-0.139969 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0302632 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.0143328 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.0302632 # DEPENDENCYPART_SIBL
(12,13),(12,22),-0.0248336 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.0169632 # DEPENDENCYPART_SIBL
(12,16),(12,20),-0.0301275 # DEPENDENCYPART_SIBL
(12,16),(12,22),-0.0286604 # DEPENDENCYPART_SIBL
(12,19),(12,20),-0.0374247 # DEPENDENCYPART_SIBL
(12,19),(12,22),-0.032302 # DEPENDENCYPART_SIBL
(12,20),(12,22),-0.0286604 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.052161 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.00439195 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0138882 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.0495311 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.00278555 # DEPENDENCYPART_SIBL
(14,11),(14,19),-0.0102395 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0823717 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.00273496 # DEPENDENCYPART_SIBL
(14,13),(14,19),-0.027136 # DEPENDENCYPART_SIBL
(15,8),(15,9),0.0342082 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.0585637 # DEPENDENCYPART_SIBL
(15,8),(15,11),-0.00850301 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.0503577 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.058328 # DEPENDENCYPART_SIBL
(15,8),(15,14),0.0646754 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0476615 # DEPENDENCYPART_SIBL
(15,8),(15,17),0.00334371 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.033846 # DEPENDENCYPART_SIBL
(15,8),(15,19),0.00334371 # DEPENDENCYPART_SIBL
(15,8),(15,20),-0.0476615 # DEPENDENCYPART_SIBL
(15,9),(15,10),0.130514 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.187315 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.0656386 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.0197696 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.0864697 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0536802 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0209709 # DEPENDENCYPART_SIBL
(15,9),(15,18),0.00883467 # DEPENDENCYPART_SIBL
(15,9),(15,19),-0.0209709 # DEPENDENCYPART_SIBL
(15,9),(15,20),-0.0536802 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.0733304 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.0949776 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.0977578 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0412004 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0392808 # DEPENDENCYPART_SIBL
(15,10),(15,17),0.0285521 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.025694 # DEPENDENCYPART_SIBL
(15,10),(15,19),0.0285521 # DEPENDENCYPART_SIBL
(15,10),(15,20),-0.0392808 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0190006 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.0681364 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0706199 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0272739 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0411312 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.00522414 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.0411312 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.0272739 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0388865 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.0189657 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.057017 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.0422105 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.0104162 # DEPENDENCYPART_SIBL
(15,12),(15,19),0.0422105 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.057017 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.0366867 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0234867 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.00628196 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0189136 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.00628196 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.0234867 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.00623704 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0946825 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0086059 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.0946825 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.00623704 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0322674 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0279955 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0322674 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.035505 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.00599846 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.0253263 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.0226956 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.00592754 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.033926 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.0226956 # DEPENDENCYPART_SIBL
(16,1),(16,2),-0.636019 # DEPENDENCYPART_SIBL
(16,1),(16,4),-1.21123 # DEPENDENCYPART_SIBL
(16,1),(16,5),-0.637187 # DEPENDENCYPART_SIBL
(16,1),(16,6),-0.637145 # DEPENDENCYPART_SIBL
(16,1),(16,7),-0.636613 # DEPENDENCYPART_SIBL
(16,1),(16,9),-0.636019 # DEPENDENCYPART_SIBL
(16,1),(16,10),-0.371115 # DEPENDENCYPART_SIBL
(16,1),(16,11),-0.504241 # DEPENDENCYPART_SIBL
(16,1),(16,12),-0.425743 # DEPENDENCYPART_SIBL
(16,1),(16,13),-0.356843 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.435576 # DEPENDENCYPART_SIBL
(16,1),(16,15),-0.658883 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.000642045 # DEPENDENCYPART_SIBL
(16,1),(16,18),0.0383976 # DEPENDENCYPART_SIBL
(16,1),(16,19),-0.000642045 # DEPENDENCYPART_SIBL
(16,1),(16,20),-0.10071 # DEPENDENCYPART_SIBL
(16,1),(16,21),-0.000642045 # DEPENDENCYPART_SIBL
(16,2),(16,4),-0.210289 # DEPENDENCYPART_SIBL
(16,2),(16,5),0.00966523 # DEPENDENCYPART_SIBL
(16,2),(16,6),0.00970756 # DEPENDENCYPART_SIBL
(16,2),(16,7),0.0102395 # DEPENDENCYPART_SIBL
(16,2),(16,9),0.0108336 # DEPENDENCYPART_SIBL
(16,2),(16,10),0.0774499 # DEPENDENCYPART_SIBL
(16,2),(16,11),0.150983 # DEPENDENCYPART_SIBL
(16,2),(16,12),-0.081844 # DEPENDENCYPART_SIBL
(16,2),(16,13),-0.00930953 # DEPENDENCYPART_SIBL
(16,2),(16,14),0.0794601 # DEPENDENCYPART_SIBL
(16,2),(16,15),-0.0120304 # DEPENDENCYPART_SIBL
(16,2),(16,17),0.0127734 # DEPENDENCYPART_SIBL
(16,2),(16,18),0.0805274 # DEPENDENCYPART_SIBL
(16,2),(16,19),0.0127734 # DEPENDENCYPART_SIBL
(16,2),(16,20),-0.0699033 # DEPENDENCYPART_SIBL
(16,2),(16,21),0.0127734 # DEPENDENCYPART_SIBL
(16,4),(16,5),-0.637187 # DEPENDENCYPART_SIBL
(16,4),(16,6),-0.637145 # DEPENDENCYPART_SIBL
(16,4),(16,7),-0.636613 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.636019 # DEPENDENCYPART_SIBL
(16,4),(16,10),-0.371115 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.504241 # DEPENDENCYPART_SIBL
(16,4),(16,12),-0.425743 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.356843 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.435576 # DEPENDENCYPART_SIBL
(16,4),(16,15),-0.658883 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.000642045 # DEPENDENCYPART_SIBL
(16,4),(16,18),0.0383976 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.000642045 # DEPENDENCYPART_SIBL
(16,4),(16,20),-0.10071 # DEPENDENCYPART_SIBL
(16,4),(16,21),-0.000642045 # DEPENDENCYPART_SIBL
(16,5),(16,6),0.00736201 # DEPENDENCYPART_SIBL
(16,5),(16,7),0.00789399 # DEPENDENCYPART_SIBL
(16,5),(16,9),0.00848806 # DEPENDENCYPART_SIBL
(16,5),(16,10),0.0762771 # DEPENDENCYPART_SIBL
(16,5),(16,11),0.14981 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.0830168 # DEPENDENCYPART_SIBL
(16,5),(16,13),-0.0104823 # DEPENDENCYPART_SIBL
(16,5),(16,14),0.0782873 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.014376 # DEPENDENCYPART_SIBL
(16,5),(16,17),0.0127734 # DEPENDENCYPART_SIBL
(16,5),(16,18),0.0805274 # DEPENDENCYPART_SIBL
(16,5),(16,19),0.0127734 # DEPENDENCYPART_SIBL
(16,5),(16,20),-0.0699033 # DEPENDENCYPART_SIBL
(16,5),(16,21),0.0127734 # DEPENDENCYPART_SIBL
(16,6),(16,7),0.0113477 # DEPENDENCYPART_SIBL
(16,6),(16,9),0.0119418 # DEPENDENCYPART_SIBL
(16,6),(16,10),0.0774499 # DEPENDENCYPART_SIBL
(16,6),(16,11),0.150983 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.081844 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.00969327 # DEPENDENCYPART_SIBL
(16,6),(16,14),0.0794601 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.0109223 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.0127734 # DEPENDENCYPART_SIBL
(16,6),(16,18),0.0805274 # DEPENDENCYPART_SIBL
(16,6),(16,19),0.0127734 # DEPENDENCYPART_SIBL
(16,6),(16,20),-0.0699033 # DEPENDENCYPART_SIBL
(16,6),(16,21),0.0127734 # DEPENDENCYPART_SIBL
(16,7),(16,9),0.00554911 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.0718108 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.144988 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.087483 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.0150014 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.0738192 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.0173149 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.0127642 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.0805237 # DEPENDENCYPART_SIBL
(16,7),(16,19),0.0127642 # DEPENDENCYPART_SIBL
(16,7),(16,20),-0.069907 # DEPENDENCYPART_SIBL
(16,7),(16,21),0.0127642 # DEPENDENCYPART_SIBL
(16,9),(16,10),0.0774499 # DEPENDENCYPART_SIBL
(16,9),(16,11),0.150983 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.081844 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.00930953 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.0794601 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.0120304 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.0127734 # DEPENDENCYPART_SIBL
(16,9),(16,18),0.0805274 # DEPENDENCYPART_SIBL
(16,9),(16,19),0.0127734 # DEPENDENCYPART_SIBL
(16,9),(16,20),-0.0699033 # DEPENDENCYPART_SIBL
(16,9),(16,21),0.0127734 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.0879206 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.134579 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.0729272 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.00743008 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.0877815 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0283298 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.0225841 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.0283298 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.103245 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.0283298 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.1158 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.0133054 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.0120202 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.0716521 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.0139057 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.00456361 # DEPENDENCYPART_SIBL
(16,11),(16,19),0.0139057 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.0854085 # DEPENDENCYPART_SIBL
(16,11),(16,21),0.0139057 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.0626523 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.023054 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.000983612 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.0108194 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.0341953 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.0108194 # DEPENDENCYPART_SIBL
(16,12),(16,20),-0.120576 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.0108194 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.00668592 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0676701 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0616718 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.0299576 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.0616718 # DEPENDENCYPART_SIBL
(16,13),(16,20),-0.0866469 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.0616718 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.0139055 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.00316976 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.0135268 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.00316976 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0781796 # DEPENDENCYPART_SIBL
(16,14),(16,21),0.00316976 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0127201 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.080509 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.0127201 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.0699198 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.0127201 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.00902496 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.00121166 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.0253089 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.00121166 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.0169327 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.0393232 # DEPENDENCYPART_SIBL
(16,18),(16,21),0.0169327 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0253089 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.00121166 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0540475 # DEPENDENCYPART_SIBL
(17,1),(17,2),-0.439026 # DEPENDENCYPART_SIBL
(17,1),(17,3),-0.274376 # DEPENDENCYPART_SIBL
(17,1),(17,4),-0.934919 # DEPENDENCYPART_SIBL
(17,1),(17,5),-0.439026 # DEPENDENCYPART_SIBL
(17,1),(17,6),-0.442405 # DEPENDENCYPART_SIBL
(17,1),(17,7),-0.440896 # DEPENDENCYPART_SIBL
(17,1),(17,9),-0.439026 # DEPENDENCYPART_SIBL
(17,1),(17,10),-0.13929 # DEPENDENCYPART_SIBL
(17,1),(17,12),-0.274376 # DEPENDENCYPART_SIBL
(17,1),(17,13),-0.230133 # DEPENDENCYPART_SIBL
(17,1),(17,14),-0.333335 # DEPENDENCYPART_SIBL
(17,1),(17,15),-0.44409 # DEPENDENCYPART_SIBL
(17,1),(17,16),-0.783676 # DEPENDENCYPART_SIBL
(17,1),(17,21),-0.0363278 # DEPENDENCYPART_SIBL
(17,2),(17,3),-0.0656379 # DEPENDENCYPART_SIBL
(17,2),(17,4),-0.16734 # DEPENDENCYPART_SIBL
(17,2),(17,5),-0.00701495 # DEPENDENCYPART_SIBL
(17,2),(17,6),-0.0103931 # DEPENDENCYPART_SIBL
(17,2),(17,7),-0.00888463 # DEPENDENCYPART_SIBL
(17,2),(17,9),-0.0070149 # DEPENDENCYPART_SIBL
(17,2),(17,10),0.130515 # DEPENDENCYPART_SIBL
(17,2),(17,12),-0.0656379 # DEPENDENCYPART_SIBL
(17,2),(17,13),-0.019769 # DEPENDENCYPART_SIBL
(17,2),(17,14),0.0864711 # DEPENDENCYPART_SIBL
(17,2),(17,15),-0.0120783 # DEPENDENCYPART_SIBL
(17,2),(17,16),0.0269906 # DEPENDENCYPART_SIBL
(17,2),(17,21),-0.0209518 # DEPENDENCYPART_SIBL
(17,3),(17,4),-0.319127 # DEPENDENCYPART_SIBL
(17,3),(17,5),0.00649166 # DEPENDENCYPART_SIBL
(17,3),(17,6),0.0053656 # DEPENDENCYPART_SIBL
(17,3),(17,7),0.0120618 # DEPENDENCYPART_SIBL
(17,3),(17,9),0.00649166 # DEPENDENCYPART_SIBL
(17,3),(17,10),0.0326745 # DEPENDENCYPART_SIBL
(17,3),(17,12),-0.0839136 # DEPENDENCYPART_SIBL
(17,3),(17,13),-0.0388865 # DEPENDENCYPART_SIBL
(17,3),(17,14),0.018966 # DEPENDENCYPART_SIBL
(17,3),(17,15),-0.00299686 # DEPENDENCYPART_SIBL
(17,3),(17,16),-0.228157 # DEPENDENCYPART_SIBL
(17,3),(17,21),0.0422724 # DEPENDENCYPART_SIBL
(17,4),(17,5),-0.439026 # DEPENDENCYPART_SIBL
(17,4),(17,6),-0.442405 # DEPENDENCYPART_SIBL
(17,4),(17,7),-0.440896 # DEPENDENCYPART_SIBL
(17,4),(17,9),-0.439026 # DEPENDENCYPART_SIBL
(17,4),(17,10),-0.13929 # DEPENDENCYPART_SIBL
(17,4),(17,12),-0.274376 # DEPENDENCYPART_SIBL
(17,4),(17,13),-0.230133 # DEPENDENCYPART_SIBL
(17,4),(17,14),-0.333335 # DEPENDENCYPART_SIBL
(17,4),(17,15),-0.44409 # DEPENDENCYPART_SIBL
(17,4),(17,16),-0.783676 # DEPENDENCYPART_SIBL
(17,4),(17,21),-0.0363278 # DEPENDENCYPART_SIBL
(17,5),(17,6),-0.0109794 # DEPENDENCYPART_SIBL
(17,5),(17,7),-0.009471 # DEPENDENCYPART_SIBL
(17,5),(17,9),-0.00760127 # DEPENDENCYPART_SIBL
(17,5),(17,10),0.130515 # DEPENDENCYPART_SIBL
(17,5),(17,12),-0.0656379 # DEPENDENCYPART_SIBL
(17,5),(17,13),-0.019769 # DEPENDENCYPART_SIBL
(17,5),(17,14),0.0864711 # DEPENDENCYPART_SIBL
(17,5),(17,15),-0.0126647 # DEPENDENCYPART_SIBL
