# _root_ Birkaç tane rapor ve kamuoyunda da bu olayın kaza _ olmadığı , suikast _ olduğu gibi yaygın bir kanaat _ vardı , o kadar .
#goldHeads=2,3,4,5,20,5,8,10,10,11,12,14,14,15,16,19,19,19,20,21,22,24,24,25,0,
#predictedHeads=2,3,4,5,10,5,8,11,10,11,21,0,15,15,16,21,19,19,21,21,25,0,24,21,0,
(10,3),(10,24),0.00606964 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0808059 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.128128 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0381956 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.100379 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0727088 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0606559 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0938963 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0606558 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0606712 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0250362 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.0606558 # DEPENDENCYPART_SIBL
(10,4),(10,24),-0.0788531 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0900224 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.0956394 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0079532 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.00314434 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0127734 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0373243 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0127734 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.012748 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.00157141 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.0127734 # DEPENDENCYPART_SIBL
(10,5),(10,24),0.00778878 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0345501 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0300659 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0136827 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0841232 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.111983 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0841232 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0841386 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0650633 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.0841232 # DEPENDENCYPART_SIBL
(10,6),(10,24),-0.095449 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0340376 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0281533 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0497135 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.105767 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0497135 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0497288 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0672583 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.0497135 # DEPENDENCYPART_SIBL
(10,7),(10,24),-0.0541682 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0126456 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0127085 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0373781 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0127086 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0126831 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.00151767 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.0127086 # DEPENDENCYPART_SIBL
(10,8),(10,24),0.0077239 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.012733 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.037355 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.012733 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0127076 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.00154076 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.012733 # DEPENDENCYPART_SIBL
(10,9),(10,24),0.0077484 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0726346 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.00121166 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.00121166 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0113868 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.00121166 # DEPENDENCYPART_SIBL
(10,11),(10,24),-0.0289555 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0728687 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0728687 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0657292 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.0728687 # DEPENDENCYPART_SIBL
(10,12),(10,24),-0.0859145 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.00121166 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0113868 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.00121166 # DEPENDENCYPART_SIBL
(10,13),(10,24),-0.0289555 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.011387 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.00121182 # DEPENDENCYPART_SIBL
(10,15),(10,24),-0.0289557 # DEPENDENCYPART_SIBL
(10,16),(10,19),0.0129976 # DEPENDENCYPART_SIBL
(10,16),(10,24),-4.82115e-05 # DEPENDENCYPART_SIBL
(10,19),(10,24),-0.0289555 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.0238355 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0139072 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0238355 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.0297674 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.0261207 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0131993 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.0107726 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.11882 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0220502 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0188562 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.00128332 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0348743 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0310157 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.00935292 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0436821 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.139183 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0215802 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0593084 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.110384 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.0686302 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0643935 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0314319 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.114498 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.00258021 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0297083 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0260616 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.011223 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0127489 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.124115 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0215792 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.0477805 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.000332504 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0229671 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.162881 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0162877 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.035431 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0246643 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.116181 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.00273898 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0046532 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.177489 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0217244 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.111219 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0216086 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0251502 # DEPENDENCYPART_SIBL
(12,1),(12,6),-0.0298592 # DEPENDENCYPART_SIBL
(12,1),(12,8),-0.115638 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.125374 # DEPENDENCYPART_SIBL
(12,1),(12,10),-0.044813 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.122862 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.0236475 # DEPENDENCYPART_SIBL
(12,1),(12,14),-0.042347 # DEPENDENCYPART_SIBL
(12,1),(12,16),0.0604103 # DEPENDENCYPART_SIBL
(12,1),(12,21),-0.0185618 # DEPENDENCYPART_SIBL
(12,1),(12,24),0.0186887 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.0504795 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.0577373 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.0297751 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.0552757 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.00273595 # DEPENDENCYPART_SIBL
(12,6),(12,14),-0.0283653 # DEPENDENCYPART_SIBL
(12,6),(12,16),0.0389009 # DEPENDENCYPART_SIBL
(12,6),(12,21),-0.0203417 # DEPENDENCYPART_SIBL
(12,6),(12,24),-0.00322759 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.0974963 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0415845 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0847123 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.00262293 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.0586224 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.0345686 # DEPENDENCYPART_SIBL
(12,8),(12,21),-0.0340916 # DEPENDENCYPART_SIBL
(12,8),(12,24),0.00434639 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0615193 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0961563 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.00261691 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.0586024 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.0345686 # DEPENDENCYPART_SIBL
(12,9),(12,21),-0.0340717 # DEPENDENCYPART_SIBL
(12,9),(12,24),0.00434037 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.408986 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0668854 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.166193 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0665685 # DEPENDENCYPART_SIBL
(12,10),(12,21),-0.13879 # DEPENDENCYPART_SIBL
(12,10),(12,24),-0.0735574 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.00254901 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.058669 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0345686 # DEPENDENCYPART_SIBL
(12,11),(12,21),-0.0341383 # DEPENDENCYPART_SIBL
(12,11),(12,24),0.00427247 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0374247 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0208133 # DEPENDENCYPART_SIBL
(12,13),(12,21),-0.0323578 # DEPENDENCYPART_SIBL
(12,13),(12,24),-0.0433639 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0230148 # DEPENDENCYPART_SIBL
(12,14),(12,21),-0.0286604 # DEPENDENCYPART_SIBL
(12,14),(12,24),-0.0178797 # DEPENDENCYPART_SIBL
(12,16),(12,21),-0.0253306 # DEPENDENCYPART_SIBL
(12,16),(12,24),0.00897216 # DEPENDENCYPART_SIBL
(12,21),(12,24),-0.0106086 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.334733 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.227738 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0470434 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0251502 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.0928987 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.021566 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.0257743 # DEPENDENCYPART_SIBL
(13,10),(13,21),-0.00226706 # DEPENDENCYPART_SIBL
(13,10),(13,23),-0.00575624 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0734407 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0538808 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0217237 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.00367378 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0106963 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0210963 # DEPENDENCYPART_SIBL
(13,11),(13,21),-0.0074708 # DEPENDENCYPART_SIBL
(13,11),(13,23),0.0324057 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0569933 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.041648 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.0199186 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.000884396 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.0422724 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.00147342 # DEPENDENCYPART_SIBL
(13,12),(13,23),0.040888 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0322674 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0180561 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0283391 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.0322674 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.0294243 # DEPENDENCYPART_SIBL
(13,14),(13,23),-0.0234061 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.00301631 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.00554582 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0253263 # DEPENDENCYPART_SIBL
(13,15),(13,21),-0.0126431 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.00566034 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.0273861 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.0232643 # DEPENDENCYPART_SIBL
(13,17),(13,21),-0.0251222 # DEPENDENCYPART_SIBL
(13,17),(13,23),-0.0214307 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.0111905 # DEPENDENCYPART_SIBL
(13,18),(13,21),-0.0142738 # DEPENDENCYPART_SIBL
(13,18),(13,23),-0.0110422 # DEPENDENCYPART_SIBL
(13,19),(13,21),-0.0126431 # DEPENDENCYPART_SIBL
(13,19),(13,23),-0.00566034 # DEPENDENCYPART_SIBL
(13,21),(13,23),-0.0216942 # DEPENDENCYPART_SIBL
(14,2),(14,3),0.0156139 # DEPENDENCYPART_SIBL
(14,2),(14,5),0.0176172 # DEPENDENCYPART_SIBL
(14,2),(14,8),0.0147368 # DEPENDENCYPART_SIBL
(14,2),(14,9),0.00363927 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.075746 # DEPENDENCYPART_SIBL
(14,2),(14,11),0.0272903 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.0790146 # DEPENDENCYPART_SIBL
(14,2),(14,13),0.0176172 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.0165421 # DEPENDENCYPART_SIBL
(14,2),(14,16),0.01648 # DEPENDENCYPART_SIBL
(14,2),(14,17),-0.017157 # DEPENDENCYPART_SIBL
(14,2),(14,19),0.0165676 # DEPENDENCYPART_SIBL
(14,2),(14,21),0.00957955 # DEPENDENCYPART_SIBL
(14,2),(14,22),-0.0327495 # DEPENDENCYPART_SIBL
(14,2),(14,24),0.0115829 # DEPENDENCYPART_SIBL
(14,2),(14,25),-0.0459963 # DEPENDENCYPART_SIBL
(14,3),(14,5),-0.0125546 # DEPENDENCYPART_SIBL
(14,3),(14,8),-0.0154352 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.032697 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.0325698 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.00288156 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.0904261 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.0125546 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.0110288 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.000144726 # DEPENDENCYPART_SIBL
(14,3),(14,17),-0.0234479 # DEPENDENCYPART_SIBL
(14,3),(14,19),0.0110543 # DEPENDENCYPART_SIBL
(14,3),(14,21),0.00328862 # DEPENDENCYPART_SIBL
(14,3),(14,22),-0.0390405 # DEPENDENCYPART_SIBL
(14,3),(14,24),0.00606964 # DEPENDENCYPART_SIBL
(14,3),(14,25),-0.0522872 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.0079532 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.00314434 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.07014 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.0205067 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.081844 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.0108336 # DEPENDENCYPART_SIBL
(14,5),(14,15),0.012748 # DEPENDENCYPART_SIBL
(14,5),(14,16),0.00157141 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.0217318 # DEPENDENCYPART_SIBL
(14,5),(14,19),0.0127734 # DEPENDENCYPART_SIBL
(14,5),(14,21),0.00500475 # DEPENDENCYPART_SIBL
(14,5),(14,22),-0.0373243 # DEPENDENCYPART_SIBL
(14,5),(14,24),0.00778878 # DEPENDENCYPART_SIBL
(14,5),(14,25),-0.0505711 # DEPENDENCYPART_SIBL
(14,8),(14,9),0.0126456 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.0297984 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.0362966 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.0583467 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.0266236 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.0126831 # DEPENDENCYPART_SIBL
(14,8),(14,16),0.00151767 # DEPENDENCYPART_SIBL
(14,8),(14,17),-0.0217857 # DEPENDENCYPART_SIBL
(14,8),(14,19),0.0127086 # DEPENDENCYPART_SIBL
(14,8),(14,21),0.00489039 # DEPENDENCYPART_SIBL
(14,8),(14,22),-0.0373781 # DEPENDENCYPART_SIBL
(14,8),(14,24),0.0077239 # DEPENDENCYPART_SIBL
(14,8),(14,25),-0.0506249 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.0903473 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.0093207 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0914282 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.0189937 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.0127076 # DEPENDENCYPART_SIBL
(14,9),(14,16),0.00154076 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0217625 # DEPENDENCYPART_SIBL
(14,9),(14,19),0.012733 # DEPENDENCYPART_SIBL
(14,9),(14,21),0.0049738 # DEPENDENCYPART_SIBL
(14,9),(14,22),-0.037355 # DEPENDENCYPART_SIBL
(14,9),(14,24),0.0077484 # DEPENDENCYPART_SIBL
(14,9),(14,25),-0.0506018 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.559927 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.459699 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.563221 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.000474826 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0893374 # DEPENDENCYPART_SIBL
(14,10),(14,17),0.00978489 # DEPENDENCYPART_SIBL
(14,10),(14,19),0.000490241 # DEPENDENCYPART_SIBL
(14,10),(14,21),-0.0446824 # DEPENDENCYPART_SIBL
(14,10),(14,22),-0.118712 # DEPENDENCYPART_SIBL
(14,10),(14,24),-0.00531105 # DEPENDENCYPART_SIBL
(14,10),(14,25),-0.119174 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.0666464 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.0404838 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.0126035 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.0015046 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0217986 # DEPENDENCYPART_SIBL
(14,11),(14,19),0.012629 # DEPENDENCYPART_SIBL
(14,11),(14,21),0.00480428 # DEPENDENCYPART_SIBL
(14,11),(14,22),-0.0373911 # DEPENDENCYPART_SIBL
(14,11),(14,24),0.00764434 # DEPENDENCYPART_SIBL
(14,11),(14,25),-0.0506379 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0125111 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0108023 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0155361 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0291826 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.0108194 # DEPENDENCYPART_SIBL
(14,12),(14,21),-0.0195827 # DEPENDENCYPART_SIBL
(14,12),(14,22),0.0908939 # DEPENDENCYPART_SIBL
(14,12),(14,24),0.00333651 # DEPENDENCYPART_SIBL
(14,12),(14,25),-0.0642176 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.012748 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.00157141 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0217318 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.0127734 # DEPENDENCYPART_SIBL
(14,13),(14,21),0.00500475 # DEPENDENCYPART_SIBL
(14,13),(14,22),-0.0373243 # DEPENDENCYPART_SIBL
(14,13),(14,24),0.00778878 # DEPENDENCYPART_SIBL
(14,13),(14,25),-0.0505711 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.011387 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.00306317 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.00121182 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.00579855 # DEPENDENCYPART_SIBL
(14,15),(14,22),0.0726344 # DEPENDENCYPART_SIBL
(14,15),(14,24),-0.0289557 # DEPENDENCYPART_SIBL
(14,15),(14,25),-0.00497466 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0186178 # DEPENDENCYPART_SIBL
(14,16),(14,19),0.0129976 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.0270605 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.00979828 # DEPENDENCYPART_SIBL
(14,16),(14,24),-4.82115e-05 # DEPENDENCYPART_SIBL
(14,16),(14,25),-0.0415259 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.0264958 # DEPENDENCYPART_SIBL
(14,17),(14,21),-0.0302142 # DEPENDENCYPART_SIBL
(14,17),(14,22),-0.0207606 # DEPENDENCYPART_SIBL
(14,17),(14,24),-0.0395415 # DEPENDENCYPART_SIBL
(14,17),(14,25),-0.0497333 # DEPENDENCYPART_SIBL
(14,19),(14,21),-0.00579839 # DEPENDENCYPART_SIBL
(14,19),(14,22),0.0726346 # DEPENDENCYPART_SIBL
(14,19),(14,24),-0.0289555 # DEPENDENCYPART_SIBL
(14,19),(14,25),-0.0049745 # DEPENDENCYPART_SIBL
(14,21),(14,22),-0.0324891 # DEPENDENCYPART_SIBL
(14,21),(14,24),-0.0373613 # DEPENDENCYPART_SIBL
(14,21),(14,25),-0.0648648 # DEPENDENCYPART_SIBL
(14,22),(14,24),-0.0859145 # DEPENDENCYPART_SIBL
(14,22),(14,25),-0.0341533 # DEPENDENCYPART_SIBL
(14,24),(14,25),-0.0104944 # DEPENDENCYPART_SIBL
(15,2),(15,3),0.0369573 # DEPENDENCYPART_SIBL
(15,2),(15,4),-0.00677999 # DEPENDENCYPART_SIBL
(15,2),(15,5),0.0369573 # DEPENDENCYPART_SIBL
(15,2),(15,6),-0.0233274 # DEPENDENCYPART_SIBL
(15,2),(15,8),0.0263212 # DEPENDENCYPART_SIBL
(15,2),(15,9),0.00234929 # DEPENDENCYPART_SIBL
(15,2),(15,11),0.0333682 # DEPENDENCYPART_SIBL
(15,2),(15,12),-0.0363372 # DEPENDENCYPART_SIBL
(15,2),(15,13),0.0369573 # DEPENDENCYPART_SIBL
(15,2),(15,14),0.0915539 # DEPENDENCYPART_SIBL
(15,3),(15,4),-0.011729 # DEPENDENCYPART_SIBL
(15,3),(15,5),0.0144052 # DEPENDENCYPART_SIBL
(15,3),(15,6),-0.0284342 # DEPENDENCYPART_SIBL
(15,3),(15,8),0.00376893 # DEPENDENCYPART_SIBL
(15,3),(15,9),-0.0305603 # DEPENDENCYPART_SIBL
(15,3),(15,11),0.010816 # DEPENDENCYPART_SIBL
(15,3),(15,12),-0.0442725 # DEPENDENCYPART_SIBL
(15,3),(15,13),0.0144052 # DEPENDENCYPART_SIBL
(15,3),(15,14),0.111916 # DEPENDENCYPART_SIBL
(15,4),(15,5),0.120217 # DEPENDENCYPART_SIBL
(15,4),(15,6),-0.0730366 # DEPENDENCYPART_SIBL
(15,4),(15,8),0.125302 # DEPENDENCYPART_SIBL
(15,4),(15,9),0.0923402 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.114988 # DEPENDENCYPART_SIBL
(15,4),(15,12),0.0447473 # DEPENDENCYPART_SIBL
(15,4),(15,13),0.120217 # DEPENDENCYPART_SIBL
(15,4),(15,14),-0.0845578 # DEPENDENCYPART_SIBL
(15,5),(15,6),-0.0232682 # DEPENDENCYPART_SIBL
(15,5),(15,8),0.0243448 # DEPENDENCYPART_SIBL
(15,5),(15,9),0.000372943 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.0313918 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.0362638 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.034981 # DEPENDENCYPART_SIBL
(15,5),(15,14),0.0968489 # DEPENDENCYPART_SIBL
(15,6),(15,8),0.0294999 # DEPENDENCYPART_SIBL
(15,6),(15,9),0.00686537 # DEPENDENCYPART_SIBL
(15,6),(15,11),0.0238527 # DEPENDENCYPART_SIBL
(15,6),(15,12),0.0391525 # DEPENDENCYPART_SIBL
(15,6),(15,13),0.0284753 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.157944 # DEPENDENCYPART_SIBL
(15,8),(15,9),0.0177057 # DEPENDENCYPART_SIBL
(15,8),(15,11),0.0487246 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.0172129 # DEPENDENCYPART_SIBL
(15,8),(15,13),0.0523137 # DEPENDENCYPART_SIBL
(15,8),(15,14),0.150085 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.00304403 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.0436532 # DEPENDENCYPART_SIBL
(15,9),(15,13),0.00663317 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.0839526 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0440666 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.0337412 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0982174 # DEPENDENCYPART_SIBL
