# _root_ Bu rolünün uzun bir dönem _ devam_etmesi , döviz kurlarının nerede _ olmasını _ istemenize _ _ bağlı_olarak , enflasyon _ hedeflemesinin rafa _ _ kaldırılması mecburiyetini _ doğurur .
#goldHeads=2,6,5,5,6,7,29,0,10,12,12,13,14,15,17,17,18,25,0,22,22,25,25,25,26,27,29,29,30,0,
#predictedHeads=2,7,5,5,6,7,8,0,10,12,12,13,14,15,17,17,18,29,0,22,22,27,25,25,26,27,29,29,30,0,
(22,15),(22,16),-0.16734 # DEPENDENCYPART_SIBL
(22,15),(22,18),0.115986 # DEPENDENCYPART_SIBL
(22,15),(22,19),-0.0656379 # DEPENDENCYPART_SIBL
(22,15),(22,20),-0.00745484 # DEPENDENCYPART_SIBL
(22,15),(22,21),0.0269906 # DEPENDENCYPART_SIBL
(22,15),(22,23),-0.0209518 # DEPENDENCYPART_SIBL
(22,15),(22,26),-0.020952 # DEPENDENCYPART_SIBL
(22,16),(22,18),-0.149085 # DEPENDENCYPART_SIBL
(22,16),(22,19),-0.274376 # DEPENDENCYPART_SIBL
(22,16),(22,20),-0.439466 # DEPENDENCYPART_SIBL
(22,16),(22,21),-0.783676 # DEPENDENCYPART_SIBL
(22,16),(22,23),-0.0363278 # DEPENDENCYPART_SIBL
(22,16),(22,26),-0.0363281 # DEPENDENCYPART_SIBL
(22,18),(22,19),-0.044443 # DEPENDENCYPART_SIBL
(22,18),(22,20),0.112754 # DEPENDENCYPART_SIBL
(22,18),(22,21),-0.00315027 # DEPENDENCYPART_SIBL
(22,18),(22,23),0.0390386 # DEPENDENCYPART_SIBL
(22,18),(22,26),0.0390386 # DEPENDENCYPART_SIBL
(22,19),(22,20),0.00296027 # DEPENDENCYPART_SIBL
(22,19),(22,21),-0.228157 # DEPENDENCYPART_SIBL
(22,19),(22,23),0.0422724 # DEPENDENCYPART_SIBL
(22,19),(22,26),0.0422724 # DEPENDENCYPART_SIBL
(22,20),(22,21),0.0239005 # DEPENDENCYPART_SIBL
(22,20),(22,23),-0.0209518 # DEPENDENCYPART_SIBL
(22,20),(22,26),-0.020952 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.0257743 # DEPENDENCYPART_SIBL
(22,21),(22,26),0.0257741 # DEPENDENCYPART_SIBL
(22,23),(22,26),-0.0253263 # DEPENDENCYPART_SIBL
(23,15),(23,17),0.0269906 # DEPENDENCYPART_SIBL
(23,15),(23,19),-0.0656379 # DEPENDENCYPART_SIBL
(23,15),(23,20),-0.00745484 # DEPENDENCYPART_SIBL
(23,15),(23,21),0.0269906 # DEPENDENCYPART_SIBL
(23,15),(23,22),-0.0070149 # DEPENDENCYPART_SIBL
(23,15),(23,24),-0.0536802 # DEPENDENCYPART_SIBL
(23,15),(23,25),-0.0536802 # DEPENDENCYPART_SIBL
(23,15),(23,26),-0.020952 # DEPENDENCYPART_SIBL
(23,15),(23,27),-0.0209518 # DEPENDENCYPART_SIBL
(23,17),(23,19),-0.227738 # DEPENDENCYPART_SIBL
(23,17),(23,20),-0.331769 # DEPENDENCYPART_SIBL
(23,17),(23,21),-0.847465 # DEPENDENCYPART_SIBL
(23,17),(23,22),-0.331033 # DEPENDENCYPART_SIBL
(23,17),(23,24),-0.0470434 # DEPENDENCYPART_SIBL
(23,17),(23,25),-0.0470434 # DEPENDENCYPART_SIBL
(23,17),(23,26),0.0257741 # DEPENDENCYPART_SIBL
(23,17),(23,27),0.0257743 # DEPENDENCYPART_SIBL
(23,19),(23,20),0.00296027 # DEPENDENCYPART_SIBL
(23,19),(23,21),-0.228157 # DEPENDENCYPART_SIBL
(23,19),(23,22),0.00649166 # DEPENDENCYPART_SIBL
(23,19),(23,24),-0.0569933 # DEPENDENCYPART_SIBL
(23,19),(23,25),-0.0569933 # DEPENDENCYPART_SIBL
(23,19),(23,26),0.0422724 # DEPENDENCYPART_SIBL
(23,19),(23,27),0.0422724 # DEPENDENCYPART_SIBL
(23,20),(23,21),0.0239005 # DEPENDENCYPART_SIBL
(23,20),(23,22),-0.00766186 # DEPENDENCYPART_SIBL
(23,20),(23,24),-0.0536802 # DEPENDENCYPART_SIBL
(23,20),(23,25),-0.0536802 # DEPENDENCYPART_SIBL
(23,20),(23,26),-0.020952 # DEPENDENCYPART_SIBL
(23,20),(23,27),-0.0209518 # DEPENDENCYPART_SIBL
(23,21),(23,22),-0.331033 # DEPENDENCYPART_SIBL
(23,21),(23,24),-0.0470434 # DEPENDENCYPART_SIBL
(23,21),(23,25),-0.0470434 # DEPENDENCYPART_SIBL
(23,21),(23,26),0.0257741 # DEPENDENCYPART_SIBL
(23,21),(23,27),0.0257743 # DEPENDENCYPART_SIBL
(23,22),(23,24),-0.0536802 # DEPENDENCYPART_SIBL
(23,22),(23,25),-0.0536802 # DEPENDENCYPART_SIBL
(23,22),(23,26),-0.020952 # DEPENDENCYPART_SIBL
(23,22),(23,27),-0.0209518 # DEPENDENCYPART_SIBL
(23,24),(23,25),-0.035505 # DEPENDENCYPART_SIBL
(23,24),(23,26),-0.0322674 # DEPENDENCYPART_SIBL
(23,24),(23,27),-0.0322674 # DEPENDENCYPART_SIBL
(23,25),(23,26),-0.0322674 # DEPENDENCYPART_SIBL
(23,25),(23,27),-0.0322674 # DEPENDENCYPART_SIBL
(23,26),(23,27),-0.0253263 # DEPENDENCYPART_SIBL
(24,18),(24,20),0.113308 # DEPENDENCYPART_SIBL
(24,18),(24,21),-0.171739 # DEPENDENCYPART_SIBL
(24,18),(24,22),0.114706 # DEPENDENCYPART_SIBL
(24,18),(24,23),0.114706 # DEPENDENCYPART_SIBL
(24,18),(24,25),-0.0839802 # DEPENDENCYPART_SIBL
(24,18),(24,26),0.00574708 # DEPENDENCYPART_SIBL
(24,18),(24,27),0.00574769 # DEPENDENCYPART_SIBL
(24,18),(24,28),-0.0839802 # DEPENDENCYPART_SIBL
(24,20),(24,21),-0.0785124 # DEPENDENCYPART_SIBL
(24,20),(24,22),0.00734831 # DEPENDENCYPART_SIBL
(24,20),(24,23),0.00734831 # DEPENDENCYPART_SIBL
(24,20),(24,25),-0.0699033 # DEPENDENCYPART_SIBL
(24,20),(24,26),0.0127721 # DEPENDENCYPART_SIBL
(24,20),(24,27),0.0127734 # DEPENDENCYPART_SIBL
(24,20),(24,28),-0.0699033 # DEPENDENCYPART_SIBL
(24,21),(24,22),-0.563221 # DEPENDENCYPART_SIBL
(24,21),(24,23),-0.563221 # DEPENDENCYPART_SIBL
(24,21),(24,25),-0.116215 # DEPENDENCYPART_SIBL
(24,21),(24,26),0.000489565 # DEPENDENCYPART_SIBL
(24,21),(24,27),0.000490241 # DEPENDENCYPART_SIBL
(24,21),(24,28),-0.116215 # DEPENDENCYPART_SIBL
(24,22),(24,23),0.0108336 # DEPENDENCYPART_SIBL
(24,22),(24,25),-0.0699033 # DEPENDENCYPART_SIBL
(24,22),(24,26),0.0127721 # DEPENDENCYPART_SIBL
(24,22),(24,27),0.0127734 # DEPENDENCYPART_SIBL
(24,22),(24,28),-0.0699033 # DEPENDENCYPART_SIBL
(24,23),(24,25),-0.0699033 # DEPENDENCYPART_SIBL
(24,23),(24,26),0.0127721 # DEPENDENCYPART_SIBL
(24,23),(24,27),0.0127734 # DEPENDENCYPART_SIBL
(24,23),(24,28),-0.0699033 # DEPENDENCYPART_SIBL
(24,25),(24,26),-0.0540475 # DEPENDENCYPART_SIBL
(24,25),(24,27),-0.0540475 # DEPENDENCYPART_SIBL
(24,25),(24,28),-0.0638517 # DEPENDENCYPART_SIBL
(24,26),(24,27),-0.00121166 # DEPENDENCYPART_SIBL
(24,26),(24,28),-0.0253089 # DEPENDENCYPART_SIBL
(24,27),(24,28),-0.0253089 # DEPENDENCYPART_SIBL
(25,5),(25,13),0.0216762 # DEPENDENCYPART_SIBL
(25,5),(25,14),-0.0922956 # DEPENDENCYPART_SIBL
(25,5),(25,15),0.00405336 # DEPENDENCYPART_SIBL
(25,5),(25,16),-0.22362 # DEPENDENCYPART_SIBL
(25,5),(25,17),-0.0922956 # DEPENDENCYPART_SIBL
(25,5),(25,18),0.0758939 # DEPENDENCYPART_SIBL
(25,5),(25,19),-0.0882199 # DEPENDENCYPART_SIBL
(25,5),(25,20),0.0024628 # DEPENDENCYPART_SIBL
(25,5),(25,21),-0.0922956 # DEPENDENCYPART_SIBL
(25,5),(25,22),0.00405336 # DEPENDENCYPART_SIBL
(25,5),(25,23),0.00405336 # DEPENDENCYPART_SIBL
(25,5),(25,24),-0.0922956 # DEPENDENCYPART_SIBL
(25,5),(25,26),0.0127649 # DEPENDENCYPART_SIBL
(25,5),(25,27),0.0127662 # DEPENDENCYPART_SIBL
(25,5),(25,28),-0.0699214 # DEPENDENCYPART_SIBL
(25,13),(25,14),-0.0407409 # DEPENDENCYPART_SIBL
(25,13),(25,15),0.0187036 # DEPENDENCYPART_SIBL
(25,13),(25,16),-0.191667 # DEPENDENCYPART_SIBL
(25,13),(25,17),-0.0407409 # DEPENDENCYPART_SIBL
(25,13),(25,18),0.0901662 # DEPENDENCYPART_SIBL
(25,13),(25,19),-0.0739475 # DEPENDENCYPART_SIBL
(25,13),(25,20),0.017113 # DEPENDENCYPART_SIBL
(25,13),(25,21),-0.0407409 # DEPENDENCYPART_SIBL
(25,13),(25,22),0.0187036 # DEPENDENCYPART_SIBL
(25,13),(25,23),0.0187036 # DEPENDENCYPART_SIBL
(25,13),(25,24),-0.0407409 # DEPENDENCYPART_SIBL
(25,13),(25,26),0.0131812 # DEPENDENCYPART_SIBL
(25,13),(25,27),0.0131825 # DEPENDENCYPART_SIBL
(25,13),(25,28),-0.069458 # DEPENDENCYPART_SIBL
(25,14),(25,15),-0.563221 # DEPENDENCYPART_SIBL
(25,14),(25,16),-1.11514 # DEPENDENCYPART_SIBL
(25,14),(25,17),-1.19892 # DEPENDENCYPART_SIBL
(25,14),(25,18),-0.389524 # DEPENDENCYPART_SIBL
(25,14),(25,19),-0.459699 # DEPENDENCYPART_SIBL
(25,14),(25,20),-0.564889 # DEPENDENCYPART_SIBL
(25,14),(25,21),-1.19892 # DEPENDENCYPART_SIBL
(25,14),(25,22),-0.563221 # DEPENDENCYPART_SIBL
(25,14),(25,23),-0.563221 # DEPENDENCYPART_SIBL
(25,14),(25,24),-1.19892 # DEPENDENCYPART_SIBL
(25,14),(25,26),0.000489565 # DEPENDENCYPART_SIBL
(25,14),(25,27),0.000490241 # DEPENDENCYPART_SIBL
(25,14),(25,28),-0.116215 # DEPENDENCYPART_SIBL
(25,15),(25,16),-0.210289 # DEPENDENCYPART_SIBL
(25,15),(25,17),-0.07014 # DEPENDENCYPART_SIBL
(25,15),(25,18),0.0822698 # DEPENDENCYPART_SIBL
(25,15),(25,19),-0.081844 # DEPENDENCYPART_SIBL
(25,15),(25,20),0.00924306 # DEPENDENCYPART_SIBL
(25,15),(25,21),-0.07014 # DEPENDENCYPART_SIBL
(25,15),(25,22),0.0108336 # DEPENDENCYPART_SIBL
(25,15),(25,23),0.0108336 # DEPENDENCYPART_SIBL
(25,15),(25,24),-0.07014 # DEPENDENCYPART_SIBL
(25,15),(25,26),0.0127721 # DEPENDENCYPART_SIBL
(25,15),(25,27),0.0127734 # DEPENDENCYPART_SIBL
(25,15),(25,28),-0.0699033 # DEPENDENCYPART_SIBL
(25,16),(25,17),-1.07945 # DEPENDENCYPART_SIBL
(25,16),(25,18),-0.358825 # DEPENDENCYPART_SIBL
(25,16),(25,19),-0.425743 # DEPENDENCYPART_SIBL
(25,16),(25,20),-0.637609 # DEPENDENCYPART_SIBL
(25,16),(25,21),-1.07945 # DEPENDENCYPART_SIBL
(25,16),(25,22),-0.636019 # DEPENDENCYPART_SIBL
(25,16),(25,23),-0.636019 # DEPENDENCYPART_SIBL
(25,16),(25,24),-1.07945 # DEPENDENCYPART_SIBL
(25,16),(25,26),-0.000643389 # DEPENDENCYPART_SIBL
(25,16),(25,27),-0.000642045 # DEPENDENCYPART_SIBL
(25,16),(25,28),-0.10071 # DEPENDENCYPART_SIBL
(25,17),(25,18),-0.389524 # DEPENDENCYPART_SIBL
(25,17),(25,19),-0.459699 # DEPENDENCYPART_SIBL
(25,17),(25,20),-0.564889 # DEPENDENCYPART_SIBL
(25,17),(25,21),-1.19892 # DEPENDENCYPART_SIBL
(25,17),(25,22),-0.563221 # DEPENDENCYPART_SIBL
(25,17),(25,23),-0.563221 # DEPENDENCYPART_SIBL
(25,17),(25,24),-1.19892 # DEPENDENCYPART_SIBL
(25,17),(25,26),0.000489565 # DEPENDENCYPART_SIBL
(25,17),(25,27),0.000490241 # DEPENDENCYPART_SIBL
(25,17),(25,28),-0.116215 # DEPENDENCYPART_SIBL
(25,18),(25,19),-0.111767 # DEPENDENCYPART_SIBL
(25,18),(25,20),0.113308 # DEPENDENCYPART_SIBL
(25,18),(25,21),-0.171739 # DEPENDENCYPART_SIBL
(25,18),(25,22),0.114706 # DEPENDENCYPART_SIBL
(25,18),(25,23),0.114706 # DEPENDENCYPART_SIBL
(25,18),(25,24),-0.171739 # DEPENDENCYPART_SIBL
(25,18),(25,26),0.00574708 # DEPENDENCYPART_SIBL
(25,18),(25,27),0.00574769 # DEPENDENCYPART_SIBL
(25,18),(25,28),-0.0839802 # DEPENDENCYPART_SIBL
(25,19),(25,20),0.00575986 # DEPENDENCYPART_SIBL
(25,19),(25,21),-0.428719 # DEPENDENCYPART_SIBL
(25,19),(25,22),0.0125111 # DEPENDENCYPART_SIBL
(25,19),(25,23),0.0125111 # DEPENDENCYPART_SIBL
(25,19),(25,24),-0.428719 # DEPENDENCYPART_SIBL
(25,19),(25,26),0.0108188 # DEPENDENCYPART_SIBL
(25,19),(25,27),0.0108194 # DEPENDENCYPART_SIBL
(25,19),(25,28),-0.120576 # DEPENDENCYPART_SIBL
(25,20),(25,21),-0.0785124 # DEPENDENCYPART_SIBL
(25,20),(25,22),0.00734831 # DEPENDENCYPART_SIBL
(25,20),(25,23),0.00734831 # DEPENDENCYPART_SIBL
(25,20),(25,24),-0.0785124 # DEPENDENCYPART_SIBL
(25,20),(25,26),0.0127721 # DEPENDENCYPART_SIBL
(25,20),(25,27),0.0127734 # DEPENDENCYPART_SIBL
(25,20),(25,28),-0.0699033 # DEPENDENCYPART_SIBL
(25,21),(25,22),-0.563221 # DEPENDENCYPART_SIBL
(25,21),(25,23),-0.563221 # DEPENDENCYPART_SIBL
(25,21),(25,24),-1.19892 # DEPENDENCYPART_SIBL
(25,21),(25,26),0.000489565 # DEPENDENCYPART_SIBL
(25,21),(25,27),0.000490241 # DEPENDENCYPART_SIBL
(25,21),(25,28),-0.116215 # DEPENDENCYPART_SIBL
(25,22),(25,23),0.0108336 # DEPENDENCYPART_SIBL
(25,22),(25,24),-0.07014 # DEPENDENCYPART_SIBL
(25,22),(25,26),0.0127721 # DEPENDENCYPART_SIBL
(25,22),(25,27),0.0127734 # DEPENDENCYPART_SIBL
(25,22),(25,28),-0.0699033 # DEPENDENCYPART_SIBL
(25,23),(25,24),-0.07014 # DEPENDENCYPART_SIBL
(25,23),(25,26),0.0127721 # DEPENDENCYPART_SIBL
(25,23),(25,27),0.0127734 # DEPENDENCYPART_SIBL
(25,23),(25,28),-0.0699033 # DEPENDENCYPART_SIBL
(25,24),(25,26),0.000489565 # DEPENDENCYPART_SIBL
(25,24),(25,27),0.000490241 # DEPENDENCYPART_SIBL
(25,24),(25,28),-0.116215 # DEPENDENCYPART_SIBL
(25,26),(25,27),-0.00121166 # DEPENDENCYPART_SIBL
(25,26),(25,28),-0.0253089 # DEPENDENCYPART_SIBL
(25,27),(25,28),-0.0253089 # DEPENDENCYPART_SIBL
(26,16),(26,18),-0.158988 # DEPENDENCYPART_SIBL
(26,16),(26,19),-0.284278 # DEPENDENCYPART_SIBL
(26,16),(26,20),-0.46013 # DEPENDENCYPART_SIBL
(26,16),(26,22),-0.45969 # DEPENDENCYPART_SIBL
(26,16),(26,23),-0.45969 # DEPENDENCYPART_SIBL
(26,16),(26,24),-0.81712 # DEPENDENCYPART_SIBL
(26,16),(26,25),-0.81712 # DEPENDENCYPART_SIBL
(26,16),(26,27),-0.0275963 # DEPENDENCYPART_SIBL
(26,18),(26,19),-0.044443 # DEPENDENCYPART_SIBL
(26,18),(26,20),0.106969 # DEPENDENCYPART_SIBL
(26,18),(26,22),0.107312 # DEPENDENCYPART_SIBL
(26,18),(26,23),0.107312 # DEPENDENCYPART_SIBL
(26,18),(26,24),-0.0168394 # DEPENDENCYPART_SIBL
(26,18),(26,25),-0.0168394 # DEPENDENCYPART_SIBL
(26,18),(26,27),0.0390378 # DEPENDENCYPART_SIBL
(26,19),(26,20),-0.00662501 # DEPENDENCYPART_SIBL
(26,19),(26,22),-0.00309362 # DEPENDENCYPART_SIBL
(26,19),(26,23),-0.00309362 # DEPENDENCYPART_SIBL
(26,19),(26,24),-0.244905 # DEPENDENCYPART_SIBL
(26,19),(26,25),-0.244905 # DEPENDENCYPART_SIBL
(26,19),(26,27),0.0422688 # DEPENDENCYPART_SIBL
(26,20),(26,22),-0.0283256 # DEPENDENCYPART_SIBL
(26,20),(26,23),-0.0283256 # DEPENDENCYPART_SIBL
(26,20),(26,24),-0.00954333 # DEPENDENCYPART_SIBL
(26,20),(26,25),-0.00954333 # DEPENDENCYPART_SIBL
(26,20),(26,27),-0.0161079 # DEPENDENCYPART_SIBL
(26,22),(26,23),-0.0276786 # DEPENDENCYPART_SIBL
(26,22),(26,24),-0.00645317 # DEPENDENCYPART_SIBL
(26,22),(26,25),-0.00645317 # DEPENDENCYPART_SIBL
(26,22),(26,27),-0.0161079 # DEPENDENCYPART_SIBL
(26,23),(26,24),-0.00645317 # DEPENDENCYPART_SIBL
(26,23),(26,25),-0.00645317 # DEPENDENCYPART_SIBL
(26,23),(26,27),-0.0161079 # DEPENDENCYPART_SIBL
(26,24),(26,25),-0.861154 # DEPENDENCYPART_SIBL
(26,24),(26,27),0.0335489 # DEPENDENCYPART_SIBL
(26,25),(26,27),0.0335489 # DEPENDENCYPART_SIBL
(27,20),(27,21),0.0239005 # DEPENDENCYPART_SIBL
(27,20),(27,22),-0.00766186 # DEPENDENCYPART_SIBL
(27,20),(27,23),-0.00766186 # DEPENDENCYPART_SIBL
(27,20),(27,24),0.0239005 # DEPENDENCYPART_SIBL
(27,20),(27,25),0.0239005 # DEPENDENCYPART_SIBL
(27,20),(27,26),-0.0091656 # DEPENDENCYPART_SIBL
(27,20),(27,28),-0.0536802 # DEPENDENCYPART_SIBL
(27,21),(27,22),-0.331033 # DEPENDENCYPART_SIBL
(27,21),(27,23),-0.331033 # DEPENDENCYPART_SIBL
(27,21),(27,24),-0.847465 # DEPENDENCYPART_SIBL
(27,21),(27,25),-0.847465 # DEPENDENCYPART_SIBL
(27,21),(27,26),-0.331034 # DEPENDENCYPART_SIBL
(27,21),(27,28),-0.0470434 # DEPENDENCYPART_SIBL
(27,22),(27,23),-0.0070149 # DEPENDENCYPART_SIBL
(27,22),(27,24),0.0269906 # DEPENDENCYPART_SIBL
(27,22),(27,25),0.0269906 # DEPENDENCYPART_SIBL
(27,22),(27,26),-0.00851865 # DEPENDENCYPART_SIBL
(27,22),(27,28),-0.0536802 # DEPENDENCYPART_SIBL
(27,23),(27,24),0.0269906 # DEPENDENCYPART_SIBL
(27,23),(27,25),0.0269906 # DEPENDENCYPART_SIBL
(27,23),(27,26),-0.00851865 # DEPENDENCYPART_SIBL
(27,23),(27,28),-0.0536802 # DEPENDENCYPART_SIBL
(27,24),(27,25),-0.847465 # DEPENDENCYPART_SIBL
(27,24),(27,26),-0.331034 # DEPENDENCYPART_SIBL
(27,24),(27,28),-0.0470434 # DEPENDENCYPART_SIBL
(27,25),(27,26),-0.331034 # DEPENDENCYPART_SIBL
(27,25),(27,28),-0.0470434 # DEPENDENCYPART_SIBL
(27,26),(27,28),-0.0536802 # DEPENDENCYPART_SIBL
(28,18),(28,20),0.113308 # DEPENDENCYPART_SIBL
(28,18),(28,21),-0.171739 # DEPENDENCYPART_SIBL
(28,18),(28,22),0.114706 # DEPENDENCYPART_SIBL
(28,18),(28,23),0.114706 # DEPENDENCYPART_SIBL
(28,18),(28,24),-0.171739 # DEPENDENCYPART_SIBL
(28,18),(28,25),-0.171739 # DEPENDENCYPART_SIBL
(28,18),(28,26),0.113158 # DEPENDENCYPART_SIBL
(28,18),(28,27),0.114706 # DEPENDENCYPART_SIBL
(28,18),(28,29),-0.0243546 # DEPENDENCYPART_SIBL
(28,20),(28,21),-0.0785124 # DEPENDENCYPART_SIBL
(28,20),(28,22),0.00734831 # DEPENDENCYPART_SIBL
(28,20),(28,23),0.00734831 # DEPENDENCYPART_SIBL
(28,20),(28,24),-0.0785124 # DEPENDENCYPART_SIBL
(28,20),(28,25),-0.0785124 # DEPENDENCYPART_SIBL
(28,20),(28,26),0.00276732 # DEPENDENCYPART_SIBL
(28,20),(28,27),0.00734831 # DEPENDENCYPART_SIBL
(28,20),(28,29),0.00662862 # DEPENDENCYPART_SIBL
(28,21),(28,22),-0.563221 # DEPENDENCYPART_SIBL
(28,21),(28,23),-0.563221 # DEPENDENCYPART_SIBL
(28,21),(28,24),-1.19892 # DEPENDENCYPART_SIBL
(28,21),(28,25),-1.19892 # DEPENDENCYPART_SIBL
(28,21),(28,26),-0.56477 # DEPENDENCYPART_SIBL
(28,21),(28,27),-0.563221 # DEPENDENCYPART_SIBL
(28,21),(28,29),-0.0433137 # DEPENDENCYPART_SIBL
(28,22),(28,23),0.0108336 # DEPENDENCYPART_SIBL
(28,22),(28,24),-0.07014 # DEPENDENCYPART_SIBL
(28,22),(28,25),-0.07014 # DEPENDENCYPART_SIBL
(28,22),(28,26),0.00625263 # DEPENDENCYPART_SIBL
(28,22),(28,27),0.0108336 # DEPENDENCYPART_SIBL
(28,22),(28,29),0.00662862 # DEPENDENCYPART_SIBL
(28,23),(28,24),-0.07014 # DEPENDENCYPART_SIBL
(28,23),(28,25),-0.07014 # DEPENDENCYPART_SIBL
(28,23),(28,26),0.00625263 # DEPENDENCYPART_SIBL
(28,23),(28,27),0.0108336 # DEPENDENCYPART_SIBL
(28,23),(28,29),0.00662862 # DEPENDENCYPART_SIBL
(28,24),(28,25),-1.19892 # DEPENDENCYPART_SIBL
(28,24),(28,26),-0.56477 # DEPENDENCYPART_SIBL
(28,24),(28,27),-0.563221 # DEPENDENCYPART_SIBL
(28,24),(28,29),-0.0433137 # DEPENDENCYPART_SIBL
(28,25),(28,26),-0.56477 # DEPENDENCYPART_SIBL
(28,25),(28,27),-0.563221 # DEPENDENCYPART_SIBL
(28,25),(28,29),-0.0433137 # DEPENDENCYPART_SIBL
(28,26),(28,27),0.0104138 # DEPENDENCYPART_SIBL
(28,26),(28,29),0.00662717 # DEPENDENCYPART_SIBL
(28,27),(28,29),0.00662862 # DEPENDENCYPART_SIBL
(29,2),(29,5),-0.0816394 # DEPENDENCYPART_SIBL
(29,2),(29,6),0.0317593 # DEPENDENCYPART_SIBL
(29,2),(29,7),-0.0706418 # DEPENDENCYPART_SIBL
(29,2),(29,8),-0.157828 # DEPENDENCYPART_SIBL
(29,2),(29,9),-0.0706418 # DEPENDENCYPART_SIBL
(29,2),(29,10),-0.0706418 # DEPENDENCYPART_SIBL
(29,2),(29,12),0.0317593 # DEPENDENCYPART_SIBL
(29,2),(29,13),-0.0528747 # DEPENDENCYPART_SIBL
(29,2),(29,14),0.0317593 # DEPENDENCYPART_SIBL
(29,2),(29,15),-0.0706418 # DEPENDENCYPART_SIBL
(29,2),(29,16),-0.0532037 # DEPENDENCYPART_SIBL
(29,2),(29,17),0.0317593 # DEPENDENCYPART_SIBL
(29,2),(29,18),0.0175142 # DEPENDENCYPART_SIBL
(29,2),(29,19),-0.157828 # DEPENDENCYPART_SIBL
(29,2),(29,20),-0.0722324 # DEPENDENCYPART_SIBL
(29,2),(29,21),0.0317593 # DEPENDENCYPART_SIBL
(29,2),(29,22),-0.0706418 # DEPENDENCYPART_SIBL
(29,2),(29,23),-0.0706418 # DEPENDENCYPART_SIBL
(29,2),(29,24),0.0317593 # DEPENDENCYPART_SIBL
(29,2),(29,25),0.0317593 # DEPENDENCYPART_SIBL
(29,2),(29,26),-0.0751595 # DEPENDENCYPART_SIBL
(29,2),(29,27),-0.0706418 # DEPENDENCYPART_SIBL
(29,2),(29,28),0.0317593 # DEPENDENCYPART_SIBL
(29,5),(29,6),0.0149718 # DEPENDENCYPART_SIBL
(29,5),(29,7),-0.074728 # DEPENDENCYPART_SIBL
(29,5),(29,8),-0.161513 # DEPENDENCYPART_SIBL
(29,5),(29,9),-0.074728 # DEPENDENCYPART_SIBL
(29,5),(29,10),-0.074728 # DEPENDENCYPART_SIBL
(29,5),(29,12),0.0149718 # DEPENDENCYPART_SIBL
(29,5),(29,13),-0.0569609 # DEPENDENCYPART_SIBL
(29,5),(29,14),0.0149718 # DEPENDENCYPART_SIBL
(29,5),(29,15),-0.074728 # DEPENDENCYPART_SIBL
(29,5),(29,16),-0.0638409 # DEPENDENCYPART_SIBL
(29,5),(29,17),0.0149718 # DEPENDENCYPART_SIBL
(29,5),(29,18),0.0138287 # DEPENDENCYPART_SIBL
(29,5),(29,19),-0.161513 # DEPENDENCYPART_SIBL
(29,5),(29,20),-0.0763185 # DEPENDENCYPART_SIBL
(29,5),(29,21),0.0149718 # DEPENDENCYPART_SIBL
(29,5),(29,22),-0.074728 # DEPENDENCYPART_SIBL
(29,5),(29,23),-0.074728 # DEPENDENCYPART_SIBL
(29,5),(29,24),0.0149718 # DEPENDENCYPART_SIBL
(29,5),(29,25),0.0149718 # DEPENDENCYPART_SIBL
(29,5),(29,26),-0.0792457 # DEPENDENCYPART_SIBL
(29,5),(29,27),-0.074728 # DEPENDENCYPART_SIBL
(29,5),(29,28),0.0149718 # DEPENDENCYPART_SIBL
(29,6),(29,7),-0.553839 # DEPENDENCYPART_SIBL
(29,6),(29,8),-0.444497 # DEPENDENCYPART_SIBL
(29,6),(29,9),-0.553839 # DEPENDENCYPART_SIBL
(29,6),(29,10),-0.553839 # DEPENDENCYPART_SIBL
(29,6),(29,12),-1.03137 # DEPENDENCYPART_SIBL
(29,6),(29,13),-0.553674 # DEPENDENCYPART_SIBL
(29,6),(29,14),-1.03137 # DEPENDENCYPART_SIBL
(29,6),(29,15),-0.553839 # DEPENDENCYPART_SIBL
(29,6),(29,16),-0.943691 # DEPENDENCYPART_SIBL
(29,6),(29,17),-1.03137 # DEPENDENCYPART_SIBL
(29,6),(29,18),-0.353132 # DEPENDENCYPART_SIBL
(29,6),(29,19),-0.444497 # DEPENDENCYPART_SIBL
(29,6),(29,20),-0.555506 # DEPENDENCYPART_SIBL
(29,6),(29,21),-1.03137 # DEPENDENCYPART_SIBL
(29,6),(29,22),-0.553839 # DEPENDENCYPART_SIBL
(29,6),(29,23),-0.553839 # DEPENDENCYPART_SIBL
(29,6),(29,24),-1.03137 # DEPENDENCYPART_SIBL
(29,6),(29,25),-1.03137 # DEPENDENCYPART_SIBL
(29,6),(29,26),-0.555351 # DEPENDENCYPART_SIBL
(29,6),(29,27),-0.553839 # DEPENDENCYPART_SIBL
(29,6),(29,28),-1.03137 # DEPENDENCYPART_SIBL
(29,7),(29,8),-0.157828 # DEPENDENCYPART_SIBL
(29,7),(29,9),-0.0706418 # DEPENDENCYPART_SIBL
(29,7),(29,10),-0.0706418 # DEPENDENCYPART_SIBL
(29,7),(29,12),0.0317593 # DEPENDENCYPART_SIBL
(29,7),(29,13),-0.0528747 # DEPENDENCYPART_SIBL
(29,7),(29,14),0.0317593 # DEPENDENCYPART_SIBL
(29,7),(29,15),-0.0706418 # DEPENDENCYPART_SIBL
(29,7),(29,16),-0.0532037 # DEPENDENCYPART_SIBL
(29,7),(29,17),0.0317593 # DEPENDENCYPART_SIBL
