# _root_ Dışişleri_Bakanlığı , Türkiye'nin devlet _ olarak dava sürecine müdahil _ olmama kararını , Yunan mevzuatına _ dayanarak aldı .
#goldHeads=18,0,12,5,6,11,8,11,11,11,12,18,0,15,17,17,18,19,0,
#predictedHeads=18,0,5,5,6,10,8,10,10,11,12,18,0,15,16,17,18,19,0,
(10,6),(10,13),-0.0686473 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0131076 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0131076 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0850605 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0687991 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0254693 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.088818 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.00251495 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0816145 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0119061 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0119061 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0376713 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0119061 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0119061 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0702503 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.00312055 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.00626206 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.050918 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0757647 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0126242 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0126242 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0374736 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0126242 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0126242 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0700526 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.00292285 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.00645976 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0507203 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.00317052 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.00317052 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0801922 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.00317052 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.00317052 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0781796 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.022759 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0100726 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.0977768 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.00121166 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0726346 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.00121166 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.00121166 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0253089 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.0133232 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.00565643 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0049745 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0726346 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.00121166 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.00121166 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0253089 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.0133232 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.00565643 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.0049745 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0728687 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0728687 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0683883 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0501895 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.0540694 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.0341533 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.00121166 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0253089 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.0133232 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.00565643 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.0049745 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0253089 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.0133232 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.00565643 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.0049745 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0566717 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.0518925 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.101043 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.0105475 # DEPENDENCYPART_SIBL
(10,17),(10,19),-0.0334094 # DEPENDENCYPART_SIBL
(10,18),(10,19),-0.0648523 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.0656379 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.0231137 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.0321448 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.149205 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.00786269 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.00861055 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.0899315 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0269906 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0209518 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.000525481 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0043258 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.00131707 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.00648618 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.00649124 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0212658 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.228157 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0422724 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0307028 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.144423 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.00642063 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.00716849 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.0980156 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0132421 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0237083 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.152125 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.0136403 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.0143881 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0869047 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.00655693 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0213576 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.116004 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.116048 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0198614 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0202963 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0260873 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.00905738 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0896513 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.019456 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0211252 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0898047 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0246691 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0209518 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.00609869 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0947404 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0257743 # DEPENDENCYPART_SIBL
(12,2),(12,3),-0.000525481 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.0043258 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.228157 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.00131707 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.00648618 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.00649124 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.0212658 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.228157 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.00649166 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.0185161 # DEPENDENCYPART_SIBL
(12,2),(12,14),0.0422724 # DEPENDENCYPART_SIBL
(12,2),(12,15),0.0422724 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.000475033 # DEPENDENCYPART_SIBL
(12,3),(12,4),-0.0307028 # DEPENDENCYPART_SIBL
(12,3),(12,5),0.0132421 # DEPENDENCYPART_SIBL
(12,3),(12,6),0.144423 # DEPENDENCYPART_SIBL
(12,3),(12,7),-0.00642063 # DEPENDENCYPART_SIBL
(12,3),(12,8),-0.00716849 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.0980156 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.0132421 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.00557284 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.0336235 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.0237083 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.0237083 # DEPENDENCYPART_SIBL
(12,3),(12,18),-0.00913462 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.00655693 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.152125 # DEPENDENCYPART_SIBL
(12,4),(12,7),-0.0136403 # DEPENDENCYPART_SIBL
(12,4),(12,8),-0.0143881 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.0869047 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.00655693 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0127925 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.0318912 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.0213576 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.0213576 # DEPENDENCYPART_SIBL
(12,4),(12,18),-0.00740225 # DEPENDENCYPART_SIBL
(12,5),(12,6),-0.172128 # DEPENDENCYPART_SIBL
(12,5),(12,7),-0.331039 # DEPENDENCYPART_SIBL
(12,5),(12,8),-0.331529 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.346606 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.847465 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.331033 # DEPENDENCYPART_SIBL
(12,5),(12,13),-0.082585 # DEPENDENCYPART_SIBL
(12,5),(12,14),0.0257743 # DEPENDENCYPART_SIBL
(12,5),(12,15),0.0257743 # DEPENDENCYPART_SIBL
(12,5),(12,18),-0.00243398 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.116004 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.116048 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.0198614 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0202963 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.116048 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0602737 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.0260873 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.0260873 # DEPENDENCYPART_SIBL
(12,6),(12,18),-0.00947493 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.00905738 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.0896513 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.019456 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.00746173 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0314854 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0211252 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0211252 # DEPENDENCYPART_SIBL
(12,7),(12,18),-0.00699646 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.0898047 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0246691 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.00954893 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0314854 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.0209518 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0209518 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.00699646 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.00609869 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.0884398 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0470347 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0947404 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0947404 # DEPENDENCYPART_SIBL
(12,9),(12,18),0.045727 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.331033 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.082585 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0257743 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0257743 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.00243398 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0314854 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0209518 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0209518 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.00699646 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.057548 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.057548 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.0409097 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0253263 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.0125971 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.0125971 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.147229 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.408986 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.409482 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.380117 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.788511 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.408986 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.408986 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.0668854 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0668854 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.166193 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.140208 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.0812621 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.0370874 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.0370488 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.112115 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.00932391 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.0370488 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.0370488 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0191921 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0191921 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.0760737 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.063254 # DEPENDENCYPART_SIBL
(13,6),(13,19),-0.038967 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.0865317 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.109038 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.0634264 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.0849361 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0849361 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.00245318 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.00245318 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.0586021 # DEPENDENCYPART_SIBL
(13,7),(13,18),-0.0344767 # DEPENDENCYPART_SIBL
(13,7),(13,19),0.0249933 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.109164 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.0584945 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.0873045 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.0873045 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.00262664 # DEPENDENCYPART_SIBL
(13,8),(13,15),0.00262664 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0586021 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.0344767 # DEPENDENCYPART_SIBL
(13,8),(13,19),0.0249933 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.0291322 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.128899 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.128899 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0236983 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0236983 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0423426 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.0191154 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.00818398 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.408986 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.408986 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0668854 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0668854 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.166193 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.140208 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.0812621 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0847705 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.00262664 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.00262664 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0586021 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0344767 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.0249933 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.00262664 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.00262664 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0586021 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.0344767 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.0249933 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0337201 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0374247 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0323118 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.0173388 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0374247 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0323118 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0173388 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0286604 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.0619313 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.0431921 # DEPENDENCYPART_SIBL
(14,9),(14,10),0.00609868 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.0884397 # DEPENDENCYPART_SIBL
(14,9),(14,12),0.0884397 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.0307256 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.09474 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.00620944 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.331033 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.331033 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.227738 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0257742 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0470434 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.0070149 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0656379 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0209519 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0536802 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0656379 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0209519 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0536802 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0422723 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0569933 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.0226956 # DEPENDENCYPART_SIBL
(15,9),(15,10),0.00609869 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.0884398 # DEPENDENCYPART_SIBL
(15,9),(15,12),0.0884398 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.0307256 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.0884398 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.00620933 # DEPENDENCYPART_SIBL
(15,9),(15,17),0.0146101 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.331033 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.331033 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.227738 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.331033 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0470434 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.00780753 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0070149 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0656379 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.0174768 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0536802 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.00464821 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0656379 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0174768 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0536802 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.00464821 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.00649166 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0569933 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.147236 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0536802 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.00464821 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0162903 # DEPENDENCYPART_SIBL
(16,1),(16,6),0.133728 # DEPENDENCYPART_SIBL
(16,1),(16,7),0.00773104 # DEPENDENCYPART_SIBL
(16,1),(16,8),0.00332425 # DEPENDENCYPART_SIBL
(16,1),(16,10),-0.07014 # DEPENDENCYPART_SIBL
(16,1),(16,11),0.0108336 # DEPENDENCYPART_SIBL
(16,1),(16,12),0.0108336 # DEPENDENCYPART_SIBL
(16,1),(16,13),-0.081844 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.036546 # DEPENDENCYPART_SIBL
(16,1),(16,15),0.0108336 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.00277362 # DEPENDENCYPART_SIBL
(16,1),(16,18),0.00660898 # DEPENDENCYPART_SIBL
(16,6),(16,7),0.0989698 # DEPENDENCYPART_SIBL
(16,6),(16,8),0.0963686 # DEPENDENCYPART_SIBL
(16,6),(16,10),-0.163395 # DEPENDENCYPART_SIBL
(16,6),(16,11),0.100438 # DEPENDENCYPART_SIBL
(16,6),(16,12),0.100438 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.114236 # DEPENDENCYPART_SIBL
(16,6),(16,14),0.0819787 # DEPENDENCYPART_SIBL
(16,6),(16,15),0.100438 # DEPENDENCYPART_SIBL
(16,6),(16,17),-0.0687991 # DEPENDENCYPART_SIBL
(16,6),(16,18),-0.0254693 # DEPENDENCYPART_SIBL
(16,7),(16,8),0.00251495 # DEPENDENCYPART_SIBL
(16,7),(16,10),-0.0779602 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.0100243 # DEPENDENCYPART_SIBL
(16,7),(16,12),0.0100243 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.0822805 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.0373553 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.0100243 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.00312055 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.00626206 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.081556 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.00150234 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.00150234 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.0877499 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.0488819 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.00150234 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.00292285 # DEPENDENCYPART_SIBL
(16,8),(16,18),0.00645976 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.563221 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.563221 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.459699 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.58168 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.563221 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0189307 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.043763 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.0108336 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.081844 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.036546 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.0108336 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.00277362 # DEPENDENCYPART_SIBL
(16,11),(16,18),0.00660898 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.081844 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.036546 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0108336 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.00277362 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.00660898 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.00594774 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0125111 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.136123 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.0162644 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.0197537 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.00277362 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.00660898 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.00277362 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.00660898 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0105475 # DEPENDENCYPART_SIBL
(17,1),(17,3),0.0495078 # DEPENDENCYPART_SIBL
(17,1),(17,4),0.0507149 # DEPENDENCYPART_SIBL
(17,1),(17,7),0.0527125 # DEPENDENCYPART_SIBL
(17,1),(17,8),0.0527245 # DEPENDENCYPART_SIBL
(17,1),(17,11),0.0543201 # DEPENDENCYPART_SIBL
(17,1),(17,12),0.0543201 # DEPENDENCYPART_SIBL
(17,1),(17,13),-0.00397838 # DEPENDENCYPART_SIBL
(17,1),(17,14),0.0438582 # DEPENDENCYPART_SIBL
(17,1),(17,15),0.0543201 # DEPENDENCYPART_SIBL
(17,1),(17,16),0.154808 # DEPENDENCYPART_SIBL
(17,3),(17,4),0.0492041 # DEPENDENCYPART_SIBL
