# _root_ Bütün delilleri , dosyayı _ inceleme hakkına _ sahibiz hukuki _ olarak , fakat bu haktan _ mahrum_edildik .
#goldHeads=2,3,4,5,6,7,9,9,14,11,12,9,0,18,16,18,18,19,0,
#predictedHeads=2,5,0,5,6,7,9,9,10,11,12,18,0,19,16,18,18,19,0,
(9,11),(9,16),-0.0793073 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0598273 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.0487399 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.00129099 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.0160135 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.00500651 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0310266 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0123033 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.0487399 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0077401 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.0335843 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0133821 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.181338 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.201231 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.106128 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.0573792 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.293942 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.288368 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.764621 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.41983 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.00990126 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0453404 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0141761 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.182944 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.199263 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.106128 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.0573922 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.181566 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.199953 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.106128 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0572614 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.185458 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0300596 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0222911 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0661676 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0102393 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.0587402 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0385355 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.07014 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.0743327 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.0206347 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.210289 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.150983 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0841319 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0133185 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0373243 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.0361488 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.0127734 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.0699033 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.00662862 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.0505711 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.0607674 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.0675427 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.0138446 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.212329 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.155606 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.0817381 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0133444 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0373502 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0361747 # DEPENDENCYPART_SIBL
(11,4),(11,16),0.0127087 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0699292 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.00660272 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.050597 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.548276 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.550115 # DEPENDENCYPART_SIBL
(11,5),(11,8),-1.11514 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.647001 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.525061 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0247886 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.118712 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.106958 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.000490241 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.116215 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0433137 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.119174 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0170663 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.215439 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.147312 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0764297 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0133185 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0373243 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0361488 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.0127734 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.0699033 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.00662862 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.0505711 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.210884 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.150497 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.083903 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0135972 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.037603 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0367232 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0122331 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.070182 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.00634994 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.0508498 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.504241 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.430316 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0720753 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0883332 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.152788 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.000642045 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.10071 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0176964 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0993489 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0106126 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0339682 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0677031 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.00968137 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0139057 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0854085 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0189887 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.0703965 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0297464 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0801922 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0340879 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.00317052 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.0781796 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0100539 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0977768 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.00106579 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0323335 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.020834 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0223155 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0105506 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.0334196 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0543208 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0728687 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0683883 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0540562 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.0341533 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0653304 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0647962 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.0485467 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.152839 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.0253089 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.00562024 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.0049745 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.0518793 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.101043 # DEPENDENCYPART_SIBL
(11,18),(11,19),-0.0648523 # DEPENDENCYPART_SIBL
(12,2),(12,4),0.00162506 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.0204221 # DEPENDENCYPART_SIBL
(12,2),(12,7),6.018e-05 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.00240443 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.183993 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.0591163 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.182757 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.0171039 # DEPENDENCYPART_SIBL
(12,4),(12,7),-0.00325808 # DEPENDENCYPART_SIBL
(12,4),(12,8),-0.00564441 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.181968 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0574499 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.180811 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.000703003 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.00395836 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.183201 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0535047 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.181175 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0025874 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.183887 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.0591163 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.182547 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.0741881 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0945333 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.357322 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.00758544 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0640236 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0441086 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.0805078 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.0506642 # DEPENDENCYPART_SIBL
(13,1),(13,6),-0.128418 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.127176 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.17922 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0013798 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.116936 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.0506642 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.0370438 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0163986 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.0216209 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.0479645 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.0210126 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.00818521 # DEPENDENCYPART_SIBL
(13,3),(13,5),-0.103363 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.0370901 # DEPENDENCYPART_SIBL
(13,3),(13,7),0.0367168 # DEPENDENCYPART_SIBL
(13,3),(13,8),-0.154863 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.0885901 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.0373224 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.103363 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.0233166 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.0588839 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0279063 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.111055 # DEPENDENCYPART_SIBL
(13,3),(13,18),-0.0740256 # DEPENDENCYPART_SIBL
(13,3),(13,19),-0.0445988 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.411573 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.406104 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.741527 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.455969 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.380117 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.788511 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.147229 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.183942 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.0668854 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.166193 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.138055 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.0812621 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.0843052 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.175017 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.0317264 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.113057 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.0577564 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.00525631 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0293857 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.00262664 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.0586021 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.033615 # DEPENDENCYPART_SIBL
(13,6),(13,19),0.0249933 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.173646 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.0324139 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.107445 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.0563833 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.00525696 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0295335 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.00249583 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.0586021 # DEPENDENCYPART_SIBL
(13,7),(13,18),-0.033615 # DEPENDENCYPART_SIBL
(13,7),(13,19),0.0249933 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.221142 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.277663 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.572202 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.0821728 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.128649 # DEPENDENCYPART_SIBL
(13,8),(13,16),0.000270415 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0612375 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.0317015 # DEPENDENCYPART_SIBL
(13,8),(13,19),0.0088063 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.209899 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.272482 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0597995 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0846783 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0645292 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.163558 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.139969 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.0650751 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.0490471 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.0343489 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0206865 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.0236983 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0423426 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.0182542 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.00818398 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.147229 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.183942 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0668854 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.166193 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.138055 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0812621 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0318188 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0191921 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0760737 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.0623851 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.038967 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0143328 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0302632 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0248336 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.109219 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0374247 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.032302 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.0173388 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.0286604 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.0619313 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.0431921 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.053365 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0563988 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.00365547 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0361977 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.00659203 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0138916 # DEPENDENCYPART_SIBL
(16,1),(16,10),0.0822676 # DEPENDENCYPART_SIBL
(16,1),(16,11),-0.00206978 # DEPENDENCYPART_SIBL
(16,1),(16,12),0.0504276 # DEPENDENCYPART_SIBL
(16,1),(16,13),-0.0284392 # DEPENDENCYPART_SIBL
(16,1),(16,14),0.0144825 # DEPENDENCYPART_SIBL
(16,1),(16,15),0.165001 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.0143298 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.0133275 # DEPENDENCYPART_SIBL
(16,10),(16,12),0.0496935 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.030237 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.0127591 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.146146 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.00620933 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.172128 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.227738 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.142228 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.184799 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0470434 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.0435989 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.0350159 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.0132173 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0413341 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.0388865 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0299327 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0569933 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.0312124 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0234867 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0476615 # DEPENDENCYPART_SIBL
(17,2),(17,6),0.0743327 # DEPENDENCYPART_SIBL
(17,2),(17,7),0.0206347 # DEPENDENCYPART_SIBL
(17,2),(17,8),-0.210289 # DEPENDENCYPART_SIBL
(17,2),(17,9),0.150983 # DEPENDENCYPART_SIBL
(17,2),(17,10),0.0841319 # DEPENDENCYPART_SIBL
(17,2),(17,11),-0.07014 # DEPENDENCYPART_SIBL
(17,2),(17,12),0.133728 # DEPENDENCYPART_SIBL
(17,2),(17,13),-0.081844 # DEPENDENCYPART_SIBL
(17,2),(17,14),-0.00930953 # DEPENDENCYPART_SIBL
(17,2),(17,15),-0.0956394 # DEPENDENCYPART_SIBL
(17,2),(17,16),0.0108336 # DEPENDENCYPART_SIBL
(17,2),(17,18),0.00662862 # DEPENDENCYPART_SIBL
(17,6),(17,7),0.0170663 # DEPENDENCYPART_SIBL
(17,6),(17,8),-0.215439 # DEPENDENCYPART_SIBL
(17,6),(17,9),0.147312 # DEPENDENCYPART_SIBL
(17,6),(17,10),0.0764297 # DEPENDENCYPART_SIBL
(17,6),(17,11),-0.0753916 # DEPENDENCYPART_SIBL
(17,6),(17,12),0.131639 # DEPENDENCYPART_SIBL
(17,6),(17,13),-0.0854244 # DEPENDENCYPART_SIBL
(17,6),(17,14),-0.0113981 # DEPENDENCYPART_SIBL
(17,6),(17,15),-0.097728 # DEPENDENCYPART_SIBL
(17,6),(17,16),0.00726522 # DEPENDENCYPART_SIBL
(17,6),(17,18),0.00662862 # DEPENDENCYPART_SIBL
(17,7),(17,8),-0.210884 # DEPENDENCYPART_SIBL
(17,7),(17,9),0.150497 # DEPENDENCYPART_SIBL
(17,7),(17,10),0.083903 # DEPENDENCYPART_SIBL
(17,7),(17,11),-0.0708354 # DEPENDENCYPART_SIBL
(17,7),(17,12),0.133499 # DEPENDENCYPART_SIBL
(17,7),(17,13),-0.0820729 # DEPENDENCYPART_SIBL
(17,7),(17,14),-0.00953847 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.0958684 # DEPENDENCYPART_SIBL
(17,7),(17,16),0.010449 # DEPENDENCYPART_SIBL
(17,7),(17,18),0.00634994 # DEPENDENCYPART_SIBL
(17,8),(17,9),-0.504241 # DEPENDENCYPART_SIBL
(17,8),(17,10),-0.430316 # DEPENDENCYPART_SIBL
(17,8),(17,11),-1.07945 # DEPENDENCYPART_SIBL
(17,8),(17,12),-0.307745 # DEPENDENCYPART_SIBL
(17,8),(17,13),-0.425743 # DEPENDENCYPART_SIBL
(17,8),(17,14),-0.356843 # DEPENDENCYPART_SIBL
(17,8),(17,15),-0.474389 # DEPENDENCYPART_SIBL
(17,8),(17,16),-0.636019 # DEPENDENCYPART_SIBL
(17,8),(17,18),-0.0176964 # DEPENDENCYPART_SIBL
(17,9),(17,10),-0.0106126 # DEPENDENCYPART_SIBL
(17,9),(17,11),-0.189601 # DEPENDENCYPART_SIBL
(17,9),(17,12),0.0497966 # DEPENDENCYPART_SIBL
(17,9),(17,13),-0.1158 # DEPENDENCYPART_SIBL
(17,9),(17,14),0.0133054 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.0172898 # DEPENDENCYPART_SIBL
(17,9),(17,16),0.0836311 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.0189887 # DEPENDENCYPART_SIBL
(17,10),(17,11),-0.00794182 # DEPENDENCYPART_SIBL
(17,10),(17,12),0.0967706 # DEPENDENCYPART_SIBL
(17,10),(17,13),-0.107532 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.0183559 # DEPENDENCYPART_SIBL
(17,10),(17,15),0.0441789 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.0447493 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.0100539 # DEPENDENCYPART_SIBL
(17,11),(17,12),-0.391676 # DEPENDENCYPART_SIBL
(17,11),(17,13),-0.459699 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.334228 # DEPENDENCYPART_SIBL
(17,11),(17,15),-0.396039 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.563221 # DEPENDENCYPART_SIBL
(17,11),(17,18),-0.0433137 # DEPENDENCYPART_SIBL
(17,12),(17,13),-0.114236 # DEPENDENCYPART_SIBL
(17,12),(17,14),-0.0309727 # DEPENDENCYPART_SIBL
(17,12),(17,15),-0.10335 # DEPENDENCYPART_SIBL
(17,12),(17,16),0.100438 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.025435 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.0626523 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.118564 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.0125111 # DEPENDENCYPART_SIBL
(17,13),(17,18),-0.0162046 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.0336551 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.0799632 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.0384011 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.029967 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0481483 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.00662862 # DEPENDENCYPART_SIBL
(18,1),(18,2),-0.0497509 # DEPENDENCYPART_SIBL
(18,1),(18,3),-0.172536 # DEPENDENCYPART_SIBL
(18,1),(18,4),-0.0365279 # DEPENDENCYPART_SIBL
(18,1),(18,5),-0.013804 # DEPENDENCYPART_SIBL
(18,1),(18,6),-0.0309082 # DEPENDENCYPART_SIBL
(18,1),(18,7),-0.0424081 # DEPENDENCYPART_SIBL
(18,1),(18,8),-0.0494176 # DEPENDENCYPART_SIBL
(18,1),(18,9),-0.0141373 # DEPENDENCYPART_SIBL
(18,1),(18,10),-0.000783864 # DEPENDENCYPART_SIBL
(18,1),(18,11),-0.013804 # DEPENDENCYPART_SIBL
(18,1),(18,12),0.000106638 # DEPENDENCYPART_SIBL
(18,1),(18,13),-0.172536 # DEPENDENCYPART_SIBL
(18,1),(18,14),-0.0527571 # DEPENDENCYPART_SIBL
(18,1),(18,15),0.0109823 # DEPENDENCYPART_SIBL
(18,1),(18,16),-0.0497509 # DEPENDENCYPART_SIBL
(18,1),(18,17),-0.013804 # DEPENDENCYPART_SIBL
(18,1),(18,19),-0.108967 # DEPENDENCYPART_SIBL
(18,2),(18,3),-0.157828 # DEPENDENCYPART_SIBL
(18,2),(18,4),-0.0516836 # DEPENDENCYPART_SIBL
(18,2),(18,5),0.0317593 # DEPENDENCYPART_SIBL
(18,2),(18,6),-0.00714199 # DEPENDENCYPART_SIBL
(18,2),(18,7),-0.0608408 # DEPENDENCYPART_SIBL
(18,2),(18,8),-0.0532037 # DEPENDENCYPART_SIBL
(18,2),(18,9),0.0143212 # DEPENDENCYPART_SIBL
(18,2),(18,10),-0.0271415 # DEPENDENCYPART_SIBL
(18,2),(18,11),0.0317593 # DEPENDENCYPART_SIBL
(18,2),(18,12),0.0633486 # DEPENDENCYPART_SIBL
