# _root_ " Bankalar öyle bir izlenim yarattı ki sanki _ _ verilen hizmetler hava , su gibi _ _ ücretsiz _ olabilir " _ diyen Demiray , bundan_sonra _ _ verilen hizmetlerden ücret _ alınacağını _ bildirdi .
#goldHeads=0,6,5,5,6,7,8,20,10,11,12,20,16,0,16,18,18,19,20,21,22,23,24,25,35,0,30,29,30,31,33,33,34,35,36,37,0,
#predictedHeads=0,6,5,5,6,10,6,10,10,11,12,13,21,0,16,20,18,19,21,21,22,23,24,25,36,0,28,29,30,31,33,34,34,36,36,37,0,
(29,5),(29,25),0.000841443 # DEPENDENCYPART_SIBL
(29,5),(29,26),-0.0843795 # DEPENDENCYPART_SIBL
(29,5),(29,27),0.157464 # DEPENDENCYPART_SIBL
(29,5),(29,28),-0.0751505 # DEPENDENCYPART_SIBL
(29,5),(29,31),0.0127734 # DEPENDENCYPART_SIBL
(29,5),(29,32),0.0127734 # DEPENDENCYPART_SIBL
(29,5),(29,34),0.0127734 # DEPENDENCYPART_SIBL
(29,12),(29,13),0.00605919 # DEPENDENCYPART_SIBL
(29,12),(29,15),0.0312069 # DEPENDENCYPART_SIBL
(29,12),(29,16),0.240852 # DEPENDENCYPART_SIBL
(29,12),(29,17),-0.210289 # DEPENDENCYPART_SIBL
(29,12),(29,18),-0.136991 # DEPENDENCYPART_SIBL
(29,12),(29,19),0.0108336 # DEPENDENCYPART_SIBL
(29,12),(29,20),-0.07014 # DEPENDENCYPART_SIBL
(29,12),(29,21),0.148479 # DEPENDENCYPART_SIBL
(29,12),(29,22),-0.049686 # DEPENDENCYPART_SIBL
(29,12),(29,23),-0.07014 # DEPENDENCYPART_SIBL
(29,12),(29,24),0.083339 # DEPENDENCYPART_SIBL
(29,12),(29,25),0.00349784 # DEPENDENCYPART_SIBL
(29,12),(29,26),-0.081844 # DEPENDENCYPART_SIBL
(29,12),(29,27),0.16 # DEPENDENCYPART_SIBL
(29,12),(29,28),-0.07014 # DEPENDENCYPART_SIBL
(29,12),(29,31),0.0127734 # DEPENDENCYPART_SIBL
(29,12),(29,32),0.0127734 # DEPENDENCYPART_SIBL
(29,12),(29,34),0.0127734 # DEPENDENCYPART_SIBL
(29,13),(29,15),0.0169229 # DEPENDENCYPART_SIBL
(29,13),(29,16),0.23777 # DEPENDENCYPART_SIBL
(29,13),(29,17),-0.228957 # DEPENDENCYPART_SIBL
(29,13),(29,18),-0.143056 # DEPENDENCYPART_SIBL
(29,13),(29,19),-0.00345031 # DEPENDENCYPART_SIBL
(29,13),(29,20),-0.0834123 # DEPENDENCYPART_SIBL
(29,13),(29,21),0.13959 # DEPENDENCYPART_SIBL
(29,13),(29,22),-0.0527679 # DEPENDENCYPART_SIBL
(29,13),(29,23),-0.0834123 # DEPENDENCYPART_SIBL
(29,13),(29,24),0.0816577 # DEPENDENCYPART_SIBL
(29,13),(29,25),-0.0107861 # DEPENDENCYPART_SIBL
(29,13),(29,26),-0.0849259 # DEPENDENCYPART_SIBL
(29,13),(29,27),0.156918 # DEPENDENCYPART_SIBL
(29,13),(29,28),-0.0834123 # DEPENDENCYPART_SIBL
(29,13),(29,31),0.0127734 # DEPENDENCYPART_SIBL
(29,13),(29,32),0.0127734 # DEPENDENCYPART_SIBL
(29,13),(29,34),0.0127734 # DEPENDENCYPART_SIBL
(29,15),(29,16),0.231534 # DEPENDENCYPART_SIBL
(29,15),(29,17),-0.247869 # DEPENDENCYPART_SIBL
(29,15),(29,18),-0.162097 # DEPENDENCYPART_SIBL
(29,15),(29,19),-0.0156784 # DEPENDENCYPART_SIBL
(29,15),(29,20),-0.0917164 # DEPENDENCYPART_SIBL
(29,15),(29,21),0.13797 # DEPENDENCYPART_SIBL
(29,15),(29,22),-0.0590038 # DEPENDENCYPART_SIBL
(29,15),(29,23),-0.0917164 # DEPENDENCYPART_SIBL
(29,15),(29,24),0.0693004 # DEPENDENCYPART_SIBL
(29,15),(29,25),-0.0230142 # DEPENDENCYPART_SIBL
(29,15),(29,26),-0.0911618 # DEPENDENCYPART_SIBL
(29,15),(29,27),0.150682 # DEPENDENCYPART_SIBL
(29,15),(29,28),-0.0917164 # DEPENDENCYPART_SIBL
(29,15),(29,31),0.0130944 # DEPENDENCYPART_SIBL
(29,15),(29,32),0.0130944 # DEPENDENCYPART_SIBL
(29,15),(29,34),0.0130944 # DEPENDENCYPART_SIBL
(29,16),(29,17),-0.186776 # DEPENDENCYPART_SIBL
(29,16),(29,18),-0.303991 # DEPENDENCYPART_SIBL
(29,16),(29,19),0.0377465 # DEPENDENCYPART_SIBL
(29,16),(29,20),-0.224581 # DEPENDENCYPART_SIBL
(29,16),(29,21),-0.000628811 # DEPENDENCYPART_SIBL
(29,16),(29,22),-0.114381 # DEPENDENCYPART_SIBL
(29,16),(29,23),-0.224581 # DEPENDENCYPART_SIBL
(29,16),(29,24),-0.0802603 # DEPENDENCYPART_SIBL
(29,16),(29,25),0.0352996 # DEPENDENCYPART_SIBL
(29,16),(29,26),-0.182163 # DEPENDENCYPART_SIBL
(29,16),(29,27),-0.0188859 # DEPENDENCYPART_SIBL
(29,16),(29,28),-0.224581 # DEPENDENCYPART_SIBL
(29,16),(29,31),-0.0272701 # DEPENDENCYPART_SIBL
(29,16),(29,32),-0.0272701 # DEPENDENCYPART_SIBL
(29,16),(29,34),-0.0272701 # DEPENDENCYPART_SIBL
(29,17),(29,18),-1.00553 # DEPENDENCYPART_SIBL
(29,17),(29,19),-0.636019 # DEPENDENCYPART_SIBL
(29,17),(29,20),-1.07945 # DEPENDENCYPART_SIBL
(29,17),(29,21),-0.506745 # DEPENDENCYPART_SIBL
(29,17),(29,22),-0.393408 # DEPENDENCYPART_SIBL
(29,17),(29,23),-1.07945 # DEPENDENCYPART_SIBL
(29,17),(29,24),-0.431109 # DEPENDENCYPART_SIBL
(29,17),(29,25),-0.643355 # DEPENDENCYPART_SIBL
(29,17),(29,26),-0.425743 # DEPENDENCYPART_SIBL
(29,17),(29,27),-0.219679 # DEPENDENCYPART_SIBL
(29,17),(29,28),-1.07945 # DEPENDENCYPART_SIBL
(29,17),(29,31),-0.000642045 # DEPENDENCYPART_SIBL
(29,17),(29,32),-0.000642045 # DEPENDENCYPART_SIBL
(29,17),(29,34),-0.000642045 # DEPENDENCYPART_SIBL
(29,18),(29,19),-0.602103 # DEPENDENCYPART_SIBL
(29,18),(29,20),-1.01726 # DEPENDENCYPART_SIBL
(29,18),(29,21),-0.557372 # DEPENDENCYPART_SIBL
(29,18),(29,22),-0.431541 # DEPENDENCYPART_SIBL
(29,18),(29,23),-1.01726 # DEPENDENCYPART_SIBL
(29,18),(29,24),-0.448064 # DEPENDENCYPART_SIBL
(29,18),(29,25),-0.604551 # DEPENDENCYPART_SIBL
(29,18),(29,26),-0.451431 # DEPENDENCYPART_SIBL
(29,18),(29,27),-0.318124 # DEPENDENCYPART_SIBL
(29,18),(29,28),-1.01726 # DEPENDENCYPART_SIBL
(29,18),(29,31),-0.0102449 # DEPENDENCYPART_SIBL
(29,18),(29,32),-0.0102455 # DEPENDENCYPART_SIBL
(29,18),(29,34),-0.0102449 # DEPENDENCYPART_SIBL
(29,19),(29,20),-0.07014 # DEPENDENCYPART_SIBL
(29,19),(29,21),0.148479 # DEPENDENCYPART_SIBL
(29,19),(29,22),-0.049686 # DEPENDENCYPART_SIBL
(29,19),(29,23),-0.07014 # DEPENDENCYPART_SIBL
(29,19),(29,24),0.083339 # DEPENDENCYPART_SIBL
(29,19),(29,25),0.00349784 # DEPENDENCYPART_SIBL
(29,19),(29,26),-0.081844 # DEPENDENCYPART_SIBL
(29,19),(29,27),0.16 # DEPENDENCYPART_SIBL
(29,19),(29,28),-0.07014 # DEPENDENCYPART_SIBL
(29,19),(29,31),0.0127734 # DEPENDENCYPART_SIBL
(29,19),(29,32),0.0127734 # DEPENDENCYPART_SIBL
(29,19),(29,34),0.0127734 # DEPENDENCYPART_SIBL
(29,20),(29,21),-0.649624 # DEPENDENCYPART_SIBL
(29,20),(29,22),-0.448573 # DEPENDENCYPART_SIBL
(29,20),(29,23),-1.19892 # DEPENDENCYPART_SIBL
(29,20),(29,24),-0.526369 # DEPENDENCYPART_SIBL
(29,20),(29,25),-0.565668 # DEPENDENCYPART_SIBL
(29,20),(29,26),-0.459699 # DEPENDENCYPART_SIBL
(29,20),(29,27),-0.275008 # DEPENDENCYPART_SIBL
(29,20),(29,28),-1.19892 # DEPENDENCYPART_SIBL
(29,20),(29,31),0.000490241 # DEPENDENCYPART_SIBL
(29,20),(29,32),0.000490241 # DEPENDENCYPART_SIBL
(29,20),(29,34),0.000490241 # DEPENDENCYPART_SIBL
(29,21),(29,22),-0.105134 # DEPENDENCYPART_SIBL
(29,21),(29,23),-0.189916 # DEPENDENCYPART_SIBL
(29,21),(29,24),-0.0122038 # DEPENDENCYPART_SIBL
(29,21),(29,25),0.0781894 # DEPENDENCYPART_SIBL
(29,21),(29,26),-0.116083 # DEPENDENCYPART_SIBL
(29,21),(29,27),0.104387 # DEPENDENCYPART_SIBL
(29,21),(29,28),-0.189916 # DEPENDENCYPART_SIBL
(29,21),(29,31),0.0130346 # DEPENDENCYPART_SIBL
(29,21),(29,32),0.0130346 # DEPENDENCYPART_SIBL
(29,21),(29,34),0.0130346 # DEPENDENCYPART_SIBL
(29,22),(29,23),-0.443674 # DEPENDENCYPART_SIBL
(29,22),(29,24),-0.0538718 # DEPENDENCYPART_SIBL
(29,22),(29,25),-0.128507 # DEPENDENCYPART_SIBL
(29,22),(29,26),-0.178637 # DEPENDENCYPART_SIBL
(29,22),(29,27),0.00794747 # DEPENDENCYPART_SIBL
(29,22),(29,28),-0.443674 # DEPENDENCYPART_SIBL
(29,22),(29,31),0.00159033 # DEPENDENCYPART_SIBL
(29,22),(29,32),0.00159033 # DEPENDENCYPART_SIBL
(29,22),(29,34),0.00159033 # DEPENDENCYPART_SIBL
(29,23),(29,24),-0.526369 # DEPENDENCYPART_SIBL
(29,23),(29,25),-0.565668 # DEPENDENCYPART_SIBL
(29,23),(29,26),-0.459699 # DEPENDENCYPART_SIBL
(29,23),(29,27),-0.275008 # DEPENDENCYPART_SIBL
(29,23),(29,28),-1.19892 # DEPENDENCYPART_SIBL
(29,23),(29,31),0.000490241 # DEPENDENCYPART_SIBL
(29,23),(29,32),0.000490241 # DEPENDENCYPART_SIBL
(29,23),(29,34),0.000490241 # DEPENDENCYPART_SIBL
(29,24),(29,25),0.0543007 # DEPENDENCYPART_SIBL
(29,24),(29,26),-0.102217 # DEPENDENCYPART_SIBL
(29,24),(29,27),0.0668693 # DEPENDENCYPART_SIBL
(29,24),(29,28),-0.0100036 # DEPENDENCYPART_SIBL
(29,24),(29,31),0.00314577 # DEPENDENCYPART_SIBL
(29,24),(29,32),0.00314522 # DEPENDENCYPART_SIBL
(29,24),(29,34),0.00314577 # DEPENDENCYPART_SIBL
(29,25),(29,26),-0.110812 # DEPENDENCYPART_SIBL
(29,25),(29,27),0.125132 # DEPENDENCYPART_SIBL
(29,25),(29,28),-0.114486 # DEPENDENCYPART_SIBL
(29,25),(29,31),0.0127699 # DEPENDENCYPART_SIBL
(29,25),(29,32),0.0127699 # DEPENDENCYPART_SIBL
(29,25),(29,34),0.0127699 # DEPENDENCYPART_SIBL
(29,26),(29,27),0.144671 # DEPENDENCYPART_SIBL
(29,26),(29,28),-0.428719 # DEPENDENCYPART_SIBL
(29,26),(29,31),0.0108194 # DEPENDENCYPART_SIBL
(29,26),(29,32),0.0108194 # DEPENDENCYPART_SIBL
(29,26),(29,34),0.0108194 # DEPENDENCYPART_SIBL
(29,27),(29,28),-0.13812 # DEPENDENCYPART_SIBL
(29,27),(29,31),0.0310241 # DEPENDENCYPART_SIBL
(29,27),(29,32),0.0310241 # DEPENDENCYPART_SIBL
(29,27),(29,34),0.0310241 # DEPENDENCYPART_SIBL
(29,28),(29,31),0.000490241 # DEPENDENCYPART_SIBL
(29,28),(29,32),0.000490241 # DEPENDENCYPART_SIBL
(29,28),(29,34),0.000490241 # DEPENDENCYPART_SIBL
(29,31),(29,32),-0.00121166 # DEPENDENCYPART_SIBL
(29,31),(29,34),-0.00121166 # DEPENDENCYPART_SIBL
(29,32),(29,34),-0.00121166 # DEPENDENCYPART_SIBL
(30,16),(30,22),-0.0269442 # DEPENDENCYPART_SIBL
(30,16),(30,25),0.114539 # DEPENDENCYPART_SIBL
(30,16),(30,26),-0.0570036 # DEPENDENCYPART_SIBL
(30,16),(30,27),0.0326158 # DEPENDENCYPART_SIBL
(30,16),(30,28),-0.106967 # DEPENDENCYPART_SIBL
(30,16),(30,29),-0.106967 # DEPENDENCYPART_SIBL
(30,22),(30,25),0.00817177 # DEPENDENCYPART_SIBL
(30,22),(30,26),-0.00983243 # DEPENDENCYPART_SIBL
(30,22),(30,27),0.0675688 # DEPENDENCYPART_SIBL
(30,22),(30,28),-0.153514 # DEPENDENCYPART_SIBL
(30,22),(30,29),-0.153514 # DEPENDENCYPART_SIBL
(30,25),(30,26),-0.0222371 # DEPENDENCYPART_SIBL
(30,25),(30,27),0.171017 # DEPENDENCYPART_SIBL
(30,25),(30,28),-0.00267081 # DEPENDENCYPART_SIBL
(30,25),(30,29),-0.00267081 # DEPENDENCYPART_SIBL
(30,26),(30,27),0.0873764 # DEPENDENCYPART_SIBL
(30,26),(30,28),-0.183497 # DEPENDENCYPART_SIBL
(30,26),(30,29),-0.183497 # DEPENDENCYPART_SIBL
(30,27),(30,28),0.00700349 # DEPENDENCYPART_SIBL
(30,27),(30,29),0.00700349 # DEPENDENCYPART_SIBL
(30,28),(30,29),-0.876553 # DEPENDENCYPART_SIBL
(31,18),(31,24),-0.325766 # DEPENDENCYPART_SIBL
(31,18),(31,26),-0.238976 # DEPENDENCYPART_SIBL
(31,18),(31,27),-0.200151 # DEPENDENCYPART_SIBL
(31,18),(31,28),-0.823996 # DEPENDENCYPART_SIBL
(31,18),(31,29),-0.823996 # DEPENDENCYPART_SIBL
(31,18),(31,30),-0.328906 # DEPENDENCYPART_SIBL
(31,18),(31,32),0.0793586 # DEPENDENCYPART_SIBL
(31,18),(31,33),-0.0259798 # DEPENDENCYPART_SIBL
(31,24),(31,26),-0.0419061 # DEPENDENCYPART_SIBL
(31,24),(31,27),0.0147428 # DEPENDENCYPART_SIBL
(31,24),(31,28),-0.0363211 # DEPENDENCYPART_SIBL
(31,24),(31,29),-0.0363211 # DEPENDENCYPART_SIBL
(31,24),(31,30),0.0713404 # DEPENDENCYPART_SIBL
(31,24),(31,32),0.0947098 # DEPENDENCYPART_SIBL
(31,24),(31,33),-0.00621861 # DEPENDENCYPART_SIBL
(31,26),(31,27),0.0579736 # DEPENDENCYPART_SIBL
(31,26),(31,28),-0.228157 # DEPENDENCYPART_SIBL
(31,26),(31,29),-0.228157 # DEPENDENCYPART_SIBL
(31,26),(31,30),0.0175828 # DEPENDENCYPART_SIBL
(31,26),(31,32),0.0422704 # DEPENDENCYPART_SIBL
(31,26),(31,33),-0.0569933 # DEPENDENCYPART_SIBL
(31,27),(31,28),0.0262354 # DEPENDENCYPART_SIBL
(31,27),(31,29),0.0262354 # DEPENDENCYPART_SIBL
(31,27),(31,30),0.0249718 # DEPENDENCYPART_SIBL
(31,27),(31,32),0.0368596 # DEPENDENCYPART_SIBL
(31,27),(31,33),-0.018229 # DEPENDENCYPART_SIBL
(31,28),(31,29),-0.847465 # DEPENDENCYPART_SIBL
(31,28),(31,30),-0.349035 # DEPENDENCYPART_SIBL
(31,28),(31,32),0.0257722 # DEPENDENCYPART_SIBL
(31,28),(31,33),-0.0470434 # DEPENDENCYPART_SIBL
(31,29),(31,30),-0.349035 # DEPENDENCYPART_SIBL
(31,29),(31,32),0.0257722 # DEPENDENCYPART_SIBL
(31,29),(31,33),-0.0470434 # DEPENDENCYPART_SIBL
(31,30),(31,32),0.0947334 # DEPENDENCYPART_SIBL
(31,30),(31,33),-0.00621067 # DEPENDENCYPART_SIBL
(31,32),(31,33),-0.0226956 # DEPENDENCYPART_SIBL
(32,18),(32,24),-0.325762 # DEPENDENCYPART_SIBL
(32,18),(32,26),-0.238975 # DEPENDENCYPART_SIBL
(32,18),(32,27),-0.20015 # DEPENDENCYPART_SIBL
(32,18),(32,28),-0.823994 # DEPENDENCYPART_SIBL
(32,18),(32,29),-0.823994 # DEPENDENCYPART_SIBL
(32,18),(32,30),-0.3289 # DEPENDENCYPART_SIBL
(32,18),(32,31),-0.343049 # DEPENDENCYPART_SIBL
(32,18),(32,33),-0.0262542 # DEPENDENCYPART_SIBL
(32,18),(32,35),-0.0262542 # DEPENDENCYPART_SIBL
(32,24),(32,26),-0.0419043 # DEPENDENCYPART_SIBL
(32,24),(32,27),0.0147446 # DEPENDENCYPART_SIBL
(32,24),(32,28),-0.0363193 # DEPENDENCYPART_SIBL
(32,24),(32,29),-0.0363193 # DEPENDENCYPART_SIBL
(32,24),(32,30),0.0713466 # DEPENDENCYPART_SIBL
(32,24),(32,31),0.0730006 # DEPENDENCYPART_SIBL
(32,24),(32,33),-0.00649308 # DEPENDENCYPART_SIBL
(32,24),(32,35),-0.00649308 # DEPENDENCYPART_SIBL
(32,26),(32,27),0.0579736 # DEPENDENCYPART_SIBL
(32,26),(32,28),-0.228157 # DEPENDENCYPART_SIBL
(32,26),(32,29),-0.228157 # DEPENDENCYPART_SIBL
(32,26),(32,30),0.0175851 # DEPENDENCYPART_SIBL
(32,26),(32,31),0.00649166 # DEPENDENCYPART_SIBL
(32,26),(32,33),-0.0569933 # DEPENDENCYPART_SIBL
(32,26),(32,35),-0.0569933 # DEPENDENCYPART_SIBL
(32,27),(32,28),0.0262354 # DEPENDENCYPART_SIBL
(32,27),(32,29),0.0262354 # DEPENDENCYPART_SIBL
(32,27),(32,30),0.0249741 # DEPENDENCYPART_SIBL
(32,27),(32,31),0.148228 # DEPENDENCYPART_SIBL
(32,27),(32,33),-0.018229 # DEPENDENCYPART_SIBL
(32,27),(32,35),-0.018229 # DEPENDENCYPART_SIBL
(32,28),(32,29),-0.847465 # DEPENDENCYPART_SIBL
(32,28),(32,30),-0.349033 # DEPENDENCYPART_SIBL
(32,28),(32,31),-0.331033 # DEPENDENCYPART_SIBL
(32,28),(32,33),-0.0470434 # DEPENDENCYPART_SIBL
(32,28),(32,35),-0.0470434 # DEPENDENCYPART_SIBL
(32,29),(32,30),-0.349033 # DEPENDENCYPART_SIBL
(32,29),(32,31),-0.331033 # DEPENDENCYPART_SIBL
(32,29),(32,33),-0.0470434 # DEPENDENCYPART_SIBL
(32,29),(32,35),-0.0470434 # DEPENDENCYPART_SIBL
(32,30),(32,31),0.0889487 # DEPENDENCYPART_SIBL
(32,30),(32,33),-0.00648507 # DEPENDENCYPART_SIBL
(32,30),(32,35),-0.00648507 # DEPENDENCYPART_SIBL
(32,31),(32,33),-0.0536802 # DEPENDENCYPART_SIBL
(32,31),(32,35),-0.0536802 # DEPENDENCYPART_SIBL
(32,33),(32,35),-0.035505 # DEPENDENCYPART_SIBL
(33,19),(33,22),-0.049686 # DEPENDENCYPART_SIBL
(33,19),(33,24),0.083339 # DEPENDENCYPART_SIBL
(33,19),(33,25),0.00349784 # DEPENDENCYPART_SIBL
(33,19),(33,26),-0.081844 # DEPENDENCYPART_SIBL
(33,19),(33,27),0.16 # DEPENDENCYPART_SIBL
(33,19),(33,28),-0.07014 # DEPENDENCYPART_SIBL
(33,19),(33,29),-0.07014 # DEPENDENCYPART_SIBL
(33,19),(33,30),0.0841313 # DEPENDENCYPART_SIBL
(33,19),(33,31),0.0108336 # DEPENDENCYPART_SIBL
(33,19),(33,32),0.000755016 # DEPENDENCYPART_SIBL
(33,19),(33,34),0.0127734 # DEPENDENCYPART_SIBL
(33,19),(33,35),-0.0699033 # DEPENDENCYPART_SIBL
(33,22),(33,24),-0.0538718 # DEPENDENCYPART_SIBL
(33,22),(33,25),-0.128507 # DEPENDENCYPART_SIBL
(33,22),(33,26),-0.178637 # DEPENDENCYPART_SIBL
(33,22),(33,27),0.00794747 # DEPENDENCYPART_SIBL
(33,22),(33,28),-0.443674 # DEPENDENCYPART_SIBL
(33,22),(33,29),-0.443674 # DEPENDENCYPART_SIBL
(33,22),(33,30),-0.0518099 # DEPENDENCYPART_SIBL
(33,22),(33,31),-0.12606 # DEPENDENCYPART_SIBL
(33,22),(33,32),-0.132347 # DEPENDENCYPART_SIBL
(33,22),(33,34),0.00159033 # DEPENDENCYPART_SIBL
(33,22),(33,35),-0.095495 # DEPENDENCYPART_SIBL
(33,24),(33,25),0.0543007 # DEPENDENCYPART_SIBL
(33,24),(33,26),-0.102217 # DEPENDENCYPART_SIBL
(33,24),(33,27),0.0668693 # DEPENDENCYPART_SIBL
(33,24),(33,28),-0.0100036 # DEPENDENCYPART_SIBL
(33,24),(33,29),-0.0100036 # DEPENDENCYPART_SIBL
(33,24),(33,30),0.0676151 # DEPENDENCYPART_SIBL
(33,24),(33,31),0.0567483 # DEPENDENCYPART_SIBL
(33,24),(33,32),0.0477023 # DEPENDENCYPART_SIBL
(33,24),(33,34),0.00314577 # DEPENDENCYPART_SIBL
(33,24),(33,35),-0.0781878 # DEPENDENCYPART_SIBL
(33,25),(33,26),-0.110812 # DEPENDENCYPART_SIBL
(33,25),(33,27),0.125132 # DEPENDENCYPART_SIBL
(33,25),(33,28),-0.114486 # DEPENDENCYPART_SIBL
(33,25),(33,29),-0.114486 # DEPENDENCYPART_SIBL
(33,25),(33,30),0.0524154 # DEPENDENCYPART_SIBL
(33,25),(33,31),-0.0471774 # DEPENDENCYPART_SIBL
(33,25),(33,32),-0.057256 # DEPENDENCYPART_SIBL
(33,25),(33,34),0.0127699 # DEPENDENCYPART_SIBL
(33,25),(33,35),-0.0699047 # DEPENDENCYPART_SIBL
(33,26),(33,27),0.144671 # DEPENDENCYPART_SIBL
(33,26),(33,28),-0.428719 # DEPENDENCYPART_SIBL
(33,26),(33,29),-0.428719 # DEPENDENCYPART_SIBL
(33,26),(33,30),0.0256249 # DEPENDENCYPART_SIBL
(33,26),(33,31),0.0125111 # DEPENDENCYPART_SIBL
(33,26),(33,32),0.00622444 # DEPENDENCYPART_SIBL
(33,26),(33,34),0.0108194 # DEPENDENCYPART_SIBL
(33,26),(33,35),-0.120576 # DEPENDENCYPART_SIBL
(33,27),(33,28),-0.13812 # DEPENDENCYPART_SIBL
(33,27),(33,29),-0.13812 # DEPENDENCYPART_SIBL
(33,27),(33,30),-0.0348569 # DEPENDENCYPART_SIBL
(33,27),(33,31),0.0676308 # DEPENDENCYPART_SIBL
(33,27),(33,32),0.0613442 # DEPENDENCYPART_SIBL
(33,27),(33,34),0.0310241 # DEPENDENCYPART_SIBL
(33,27),(33,35),-0.0482604 # DEPENDENCYPART_SIBL
(33,28),(33,29),-1.19892 # DEPENDENCYPART_SIBL
(33,28),(33,30),-0.525061 # DEPENDENCYPART_SIBL
(33,28),(33,31),-0.563221 # DEPENDENCYPART_SIBL
(33,28),(33,32),-0.569508 # DEPENDENCYPART_SIBL
(33,28),(33,34),0.000490241 # DEPENDENCYPART_SIBL
(33,28),(33,35),-0.116215 # DEPENDENCYPART_SIBL
(33,29),(33,30),-0.525061 # DEPENDENCYPART_SIBL
(33,29),(33,31),-0.563221 # DEPENDENCYPART_SIBL
(33,29),(33,32),-0.569508 # DEPENDENCYPART_SIBL
(33,29),(33,34),0.000490241 # DEPENDENCYPART_SIBL
(33,29),(33,35),-0.116215 # DEPENDENCYPART_SIBL
(33,30),(33,31),0.0447438 # DEPENDENCYPART_SIBL
(33,30),(33,32),0.0356973 # DEPENDENCYPART_SIBL
(33,30),(33,34),0.00317012 # DEPENDENCYPART_SIBL
(33,30),(33,35),-0.0781796 # DEPENDENCYPART_SIBL
(33,31),(33,32),-0.0237776 # DEPENDENCYPART_SIBL
(33,31),(33,34),0.0127734 # DEPENDENCYPART_SIBL
(33,31),(33,35),-0.0699033 # DEPENDENCYPART_SIBL
(33,32),(33,34),0.0127734 # DEPENDENCYPART_SIBL
(33,32),(33,35),-0.0699033 # DEPENDENCYPART_SIBL
(33,34),(33,35),-0.0253089 # DEPENDENCYPART_SIBL
(34,17),(34,26),-0.274376 # DEPENDENCYPART_SIBL
(34,17),(34,31),-0.439026 # DEPENDENCYPART_SIBL
(34,17),(34,32),-0.430771 # DEPENDENCYPART_SIBL
(34,17),(34,33),-0.783676 # DEPENDENCYPART_SIBL
(34,26),(34,31),0.00649166 # DEPENDENCYPART_SIBL
(34,26),(34,32),0.0100594 # DEPENDENCYPART_SIBL
(34,26),(34,33),-0.228157 # DEPENDENCYPART_SIBL
(34,31),(34,32),0.0167013 # DEPENDENCYPART_SIBL
(34,31),(34,33),0.0434452 # DEPENDENCYPART_SIBL
(34,32),(34,33),0.0322715 # DEPENDENCYPART_SIBL
(35,19),(35,25),0.00349784 # DEPENDENCYPART_SIBL
(35,19),(35,27),0.16 # DEPENDENCYPART_SIBL
(35,19),(35,28),-0.07014 # DEPENDENCYPART_SIBL
(35,19),(35,29),-0.07014 # DEPENDENCYPART_SIBL
(35,19),(35,30),0.0841313 # DEPENDENCYPART_SIBL
(35,19),(35,31),0.0108336 # DEPENDENCYPART_SIBL
(35,19),(35,32),0.000755016 # DEPENDENCYPART_SIBL
(35,19),(35,33),-0.07014 # DEPENDENCYPART_SIBL
(35,19),(35,34),0.0108336 # DEPENDENCYPART_SIBL
(35,19),(35,36),0.00661663 # DEPENDENCYPART_SIBL
(35,25),(35,27),0.125132 # DEPENDENCYPART_SIBL
(35,25),(35,28),-0.114486 # DEPENDENCYPART_SIBL
(35,25),(35,29),-0.114486 # DEPENDENCYPART_SIBL
(35,25),(35,30),0.0524154 # DEPENDENCYPART_SIBL
(35,25),(35,31),-0.0471774 # DEPENDENCYPART_SIBL
(35,25),(35,32),-0.057256 # DEPENDENCYPART_SIBL
(35,25),(35,33),-0.114486 # DEPENDENCYPART_SIBL
(35,25),(35,34),-0.0471774 # DEPENDENCYPART_SIBL
(35,25),(35,36),0.00661523 # DEPENDENCYPART_SIBL
(35,27),(35,28),-0.13812 # DEPENDENCYPART_SIBL
(35,27),(35,29),-0.13812 # DEPENDENCYPART_SIBL
(35,27),(35,30),-0.0348569 # DEPENDENCYPART_SIBL
(35,27),(35,31),0.0676308 # DEPENDENCYPART_SIBL
(35,27),(35,32),0.0613442 # DEPENDENCYPART_SIBL
(35,27),(35,33),-0.13812 # DEPENDENCYPART_SIBL
(35,27),(35,34),0.0676308 # DEPENDENCYPART_SIBL
(35,27),(35,36),0.00488955 # DEPENDENCYPART_SIBL
(35,28),(35,29),-1.19892 # DEPENDENCYPART_SIBL
(35,28),(35,30),-0.525061 # DEPENDENCYPART_SIBL
(35,28),(35,31),-0.563221 # DEPENDENCYPART_SIBL
(35,28),(35,32),-0.569508 # DEPENDENCYPART_SIBL
(35,28),(35,33),-1.19892 # DEPENDENCYPART_SIBL
(35,28),(35,34),-0.563221 # DEPENDENCYPART_SIBL
(35,28),(35,36),-0.0433185 # DEPENDENCYPART_SIBL
(35,29),(35,30),-0.525061 # DEPENDENCYPART_SIBL
(35,29),(35,31),-0.563221 # DEPENDENCYPART_SIBL
(35,29),(35,32),-0.569508 # DEPENDENCYPART_SIBL
(35,29),(35,33),-1.19892 # DEPENDENCYPART_SIBL
(35,29),(35,34),-0.563221 # DEPENDENCYPART_SIBL
(35,29),(35,36),-0.0433185 # DEPENDENCYPART_SIBL
(35,30),(35,31),0.0447438 # DEPENDENCYPART_SIBL
(35,30),(35,32),0.0356973 # DEPENDENCYPART_SIBL
(35,30),(35,33),-0.00794353 # DEPENDENCYPART_SIBL
(35,30),(35,34),0.0447438 # DEPENDENCYPART_SIBL
(35,30),(35,36),-0.0100587 # DEPENDENCYPART_SIBL
