# _root_ Bilimsel_Devrim boyunca alanını din aleyhine gittikçe _ _ genişleterek , dinin _ eskisine göre çok daha dar bir alana _ _ hapsedilmesine _ yol_açan bilimin kendisi de , bugün kendi alanına _ hapsedilmiştir .
#goldHeads=2,8,8,5,8,8,8,9,21,0,21,13,14,21,16,17,19,19,21,21,22,23,24,25,26,33,26,0,32,31,33,33,34,0,
#predictedHeads=2,8,8,5,8,8,8,9,23,0,13,13,14,19,16,17,19,19,21,21,22,23,24,25,26,28,26,0,33,31,33,33,34,0,
(23,18),(23,20),-0.131362 # DEPENDENCYPART_SIBL
(23,18),(23,21),-0.131362 # DEPENDENCYPART_SIBL
(23,18),(23,22),0.0292827 # DEPENDENCYPART_SIBL
(23,18),(23,25),0.0135536 # DEPENDENCYPART_SIBL
(23,18),(23,26),0.0441838 # DEPENDENCYPART_SIBL
(23,18),(23,27),0.084015 # DEPENDENCYPART_SIBL
(23,18),(23,28),-0.0991103 # DEPENDENCYPART_SIBL
(23,18),(23,29),0.0542042 # DEPENDENCYPART_SIBL
(23,18),(23,30),0.0436079 # DEPENDENCYPART_SIBL
(23,18),(23,31),0.0135646 # DEPENDENCYPART_SIBL
(23,18),(23,32),-0.0814966 # DEPENDENCYPART_SIBL
(23,18),(23,33),-0.0264468 # DEPENDENCYPART_SIBL
(23,19),(23,20),-0.0684902 # DEPENDENCYPART_SIBL
(23,19),(23,21),-0.0684902 # DEPENDENCYPART_SIBL
(23,19),(23,22),0.033688 # DEPENDENCYPART_SIBL
(23,19),(23,25),0.0127639 # DEPENDENCYPART_SIBL
(23,19),(23,26),0.012036 # DEPENDENCYPART_SIBL
(23,19),(23,27),0.172008 # DEPENDENCYPART_SIBL
(23,19),(23,28),-0.0373428 # DEPENDENCYPART_SIBL
(23,19),(23,29),0.0687841 # DEPENDENCYPART_SIBL
(23,19),(23,30),0.013565 # DEPENDENCYPART_SIBL
(23,19),(23,31),0.0127639 # DEPENDENCYPART_SIBL
(23,19),(23,32),-0.0699316 # DEPENDENCYPART_SIBL
(23,19),(23,33),0.00660042 # DEPENDENCYPART_SIBL
(23,20),(23,21),-1.19892 # DEPENDENCYPART_SIBL
(23,20),(23,22),-0.563221 # DEPENDENCYPART_SIBL
(23,20),(23,25),0.000489869 # DEPENDENCYPART_SIBL
(23,20),(23,26),0.0763319 # DEPENDENCYPART_SIBL
(23,20),(23,27),-0.0404195 # DEPENDENCYPART_SIBL
(23,20),(23,28),-0.118712 # DEPENDENCYPART_SIBL
(23,20),(23,29),0.0532017 # DEPENDENCYPART_SIBL
(23,20),(23,30),0.0755694 # DEPENDENCYPART_SIBL
(23,20),(23,31),0.000490241 # DEPENDENCYPART_SIBL
(23,20),(23,32),-0.116215 # DEPENDENCYPART_SIBL
(23,20),(23,33),-0.0433137 # DEPENDENCYPART_SIBL
(23,21),(23,22),-0.563221 # DEPENDENCYPART_SIBL
(23,21),(23,25),0.000489869 # DEPENDENCYPART_SIBL
(23,21),(23,26),0.0763319 # DEPENDENCYPART_SIBL
(23,21),(23,27),-0.0404195 # DEPENDENCYPART_SIBL
(23,21),(23,28),-0.118712 # DEPENDENCYPART_SIBL
(23,21),(23,29),0.0532017 # DEPENDENCYPART_SIBL
(23,21),(23,30),0.0755694 # DEPENDENCYPART_SIBL
(23,21),(23,31),0.000490241 # DEPENDENCYPART_SIBL
(23,21),(23,32),-0.116215 # DEPENDENCYPART_SIBL
(23,21),(23,33),-0.0433137 # DEPENDENCYPART_SIBL
(23,22),(23,25),0.0127734 # DEPENDENCYPART_SIBL
(23,22),(23,26),0.0120423 # DEPENDENCYPART_SIBL
(23,22),(23,27),0.172014 # DEPENDENCYPART_SIBL
(23,22),(23,28),-0.0373243 # DEPENDENCYPART_SIBL
(23,22),(23,29),0.0687936 # DEPENDENCYPART_SIBL
(23,22),(23,30),0.0135713 # DEPENDENCYPART_SIBL
(23,22),(23,31),0.0127734 # DEPENDENCYPART_SIBL
(23,22),(23,32),-0.0699033 # DEPENDENCYPART_SIBL
(23,22),(23,33),0.00662862 # DEPENDENCYPART_SIBL
(23,25),(23,26),0.0294766 # DEPENDENCYPART_SIBL
(23,25),(23,27),-0.0297754 # DEPENDENCYPART_SIBL
(23,25),(23,28),0.0726346 # DEPENDENCYPART_SIBL
(23,25),(23,29),-0.00121166 # DEPENDENCYPART_SIBL
(23,25),(23,30),0.0294766 # DEPENDENCYPART_SIBL
(23,25),(23,31),-0.00121166 # DEPENDENCYPART_SIBL
(23,25),(23,32),-0.0253089 # DEPENDENCYPART_SIBL
(23,25),(23,33),-0.00562024 # DEPENDENCYPART_SIBL
(23,26),(23,27),-0.0276699 # DEPENDENCYPART_SIBL
(23,26),(23,28),0.00792522 # DEPENDENCYPART_SIBL
(23,26),(23,29),0.0359133 # DEPENDENCYPART_SIBL
(23,26),(23,30),0.0396376 # DEPENDENCYPART_SIBL
(23,26),(23,31),0.0359133 # DEPENDENCYPART_SIBL
(23,26),(23,32),-0.0256667 # DEPENDENCYPART_SIBL
(23,26),(23,33),-0.0145439 # DEPENDENCYPART_SIBL
(23,27),(23,28),-0.116673 # DEPENDENCYPART_SIBL
(23,27),(23,29),-0.104301 # DEPENDENCYPART_SIBL
(23,27),(23,30),-0.0658468 # DEPENDENCYPART_SIBL
(23,27),(23,31),-0.104301 # DEPENDENCYPART_SIBL
(23,27),(23,32),-0.0858612 # DEPENDENCYPART_SIBL
(23,27),(23,33),-0.0678284 # DEPENDENCYPART_SIBL
(23,28),(23,29),-0.0728687 # DEPENDENCYPART_SIBL
(23,28),(23,30),-0.0247079 # DEPENDENCYPART_SIBL
(23,28),(23,31),-0.0728687 # DEPENDENCYPART_SIBL
(23,28),(23,32),-0.0683883 # DEPENDENCYPART_SIBL
(23,28),(23,33),-0.0540562 # DEPENDENCYPART_SIBL
(23,29),(23,30),0.0476919 # DEPENDENCYPART_SIBL
(23,29),(23,31),0.00485998 # DEPENDENCYPART_SIBL
(23,29),(23,32),-0.0192373 # DEPENDENCYPART_SIBL
(23,29),(23,33),0.000451401 # DEPENDENCYPART_SIBL
(23,30),(23,31),0.0359127 # DEPENDENCYPART_SIBL
(23,30),(23,32),-0.0256669 # DEPENDENCYPART_SIBL
(23,30),(23,33),-0.0145441 # DEPENDENCYPART_SIBL
(23,31),(23,32),-0.0253089 # DEPENDENCYPART_SIBL
(23,31),(23,33),-0.00562024 # DEPENDENCYPART_SIBL
(23,32),(23,33),-0.0518793 # DEPENDENCYPART_SIBL
(24,2),(24,14),0.0654368 # DEPENDENCYPART_SIBL
(24,2),(24,19),0.154767 # DEPENDENCYPART_SIBL
(24,2),(24,22),0.15549 # DEPENDENCYPART_SIBL
(24,2),(24,23),-0.00287597 # DEPENDENCYPART_SIBL
(24,14),(24,19),0.162706 # DEPENDENCYPART_SIBL
(24,14),(24,22),0.163429 # DEPENDENCYPART_SIBL
(24,14),(24,23),-0.0124712 # DEPENDENCYPART_SIBL
(24,19),(24,22),0.0187657 # DEPENDENCYPART_SIBL
(24,19),(24,23),-0.00154363 # DEPENDENCYPART_SIBL
(24,22),(24,23),0.00495798 # DEPENDENCYPART_SIBL
(25,11),(25,12),-0.0773601 # DEPENDENCYPART_SIBL
(25,11),(25,14),0.0860301 # DEPENDENCYPART_SIBL
(25,11),(25,16),0.133127 # DEPENDENCYPART_SIBL
(25,11),(25,17),0.0875631 # DEPENDENCYPART_SIBL
(25,11),(25,18),0.0940882 # DEPENDENCYPART_SIBL
(25,11),(25,19),-0.00581564 # DEPENDENCYPART_SIBL
(25,11),(25,20),0.00991954 # DEPENDENCYPART_SIBL
(25,11),(25,21),0.00991954 # DEPENDENCYPART_SIBL
(25,11),(25,22),-0.00989272 # DEPENDENCYPART_SIBL
(25,11),(25,23),0.00991954 # DEPENDENCYPART_SIBL
(25,11),(25,24),0.0914939 # DEPENDENCYPART_SIBL
(25,11),(25,27),0.0622869 # DEPENDENCYPART_SIBL
(25,11),(25,28),-0.0314855 # DEPENDENCYPART_SIBL
(25,11),(25,29),-0.0182722 # DEPENDENCYPART_SIBL
(25,11),(25,31),-0.0209709 # DEPENDENCYPART_SIBL
(25,11),(25,33),-0.00699372 # DEPENDENCYPART_SIBL
(25,12),(25,14),-0.221592 # DEPENDENCYPART_SIBL
(25,12),(25,16),-0.194272 # DEPENDENCYPART_SIBL
(25,12),(25,17),-0.326389 # DEPENDENCYPART_SIBL
(25,12),(25,18),0.00212842 # DEPENDENCYPART_SIBL
(25,12),(25,19),-0.35645 # DEPENDENCYPART_SIBL
(25,12),(25,20),-0.826854 # DEPENDENCYPART_SIBL
(25,12),(25,21),-0.826854 # DEPENDENCYPART_SIBL
(25,12),(25,22),-0.351533 # DEPENDENCYPART_SIBL
(25,12),(25,23),-0.826854 # DEPENDENCYPART_SIBL
(25,12),(25,24),-0.326298 # DEPENDENCYPART_SIBL
(25,12),(25,27),-0.176478 # DEPENDENCYPART_SIBL
(25,12),(25,28),-0.0910478 # DEPENDENCYPART_SIBL
(25,12),(25,29),0.0914336 # DEPENDENCYPART_SIBL
(25,12),(25,31),0.0793233 # DEPENDENCYPART_SIBL
(25,12),(25,33),0.0315274 # DEPENDENCYPART_SIBL
(25,14),(25,16),0.0432491 # DEPENDENCYPART_SIBL
(25,14),(25,17),0.00974452 # DEPENDENCYPART_SIBL
(25,14),(25,18),0.147783 # DEPENDENCYPART_SIBL
(25,14),(25,19),0.144765 # DEPENDENCYPART_SIBL
(25,14),(25,20),-0.0119068 # DEPENDENCYPART_SIBL
(25,14),(25,21),-0.0119068 # DEPENDENCYPART_SIBL
(25,14),(25,22),0.146829 # DEPENDENCYPART_SIBL
(25,14),(25,23),-0.0119068 # DEPENDENCYPART_SIBL
(25,14),(25,24),0.00977195 # DEPENDENCYPART_SIBL
(25,14),(25,27),-0.00330274 # DEPENDENCYPART_SIBL
(25,14),(25,28),-0.0459214 # DEPENDENCYPART_SIBL
(25,14),(25,29),0.0281925 # DEPENDENCYPART_SIBL
(25,14),(25,31),0.0281936 # DEPENDENCYPART_SIBL
(25,14),(25,33),0.00735379 # DEPENDENCYPART_SIBL
(25,16),(25,17),-0.0140385 # DEPENDENCYPART_SIBL
(25,16),(25,18),0.0406133 # DEPENDENCYPART_SIBL
(25,16),(25,19),0.0698553 # DEPENDENCYPART_SIBL
(25,16),(25,20),-0.0183432 # DEPENDENCYPART_SIBL
(25,16),(25,21),-0.0183432 # DEPENDENCYPART_SIBL
(25,16),(25,22),0.0721967 # DEPENDENCYPART_SIBL
(25,16),(25,23),-0.0183432 # DEPENDENCYPART_SIBL
(25,16),(25,24),-0.0140111 # DEPENDENCYPART_SIBL
(25,16),(25,27),-9.34335e-05 # DEPENDENCYPART_SIBL
(25,16),(25,28),-0.0612978 # DEPENDENCYPART_SIBL
(25,16),(25,29),0.0413728 # DEPENDENCYPART_SIBL
(25,16),(25,31),0.0357282 # DEPENDENCYPART_SIBL
(25,16),(25,33),-0.00715708 # DEPENDENCYPART_SIBL
(25,17),(25,18),0.304558 # DEPENDENCYPART_SIBL
(25,17),(25,19),0.0632598 # DEPENDENCYPART_SIBL
(25,17),(25,20),-0.0194069 # DEPENDENCYPART_SIBL
(25,17),(25,21),-0.0194069 # DEPENDENCYPART_SIBL
(25,17),(25,22),0.068176 # DEPENDENCYPART_SIBL
(25,17),(25,23),-0.0194069 # DEPENDENCYPART_SIBL
(25,17),(25,24),0.0892522 # DEPENDENCYPART_SIBL
(25,17),(25,27),0.0409032 # DEPENDENCYPART_SIBL
(25,17),(25,28),-0.0472549 # DEPENDENCYPART_SIBL
(25,17),(25,29),0.100545 # DEPENDENCYPART_SIBL
(25,17),(25,31),0.0944916 # DEPENDENCYPART_SIBL
(25,17),(25,33),0.0455093 # DEPENDENCYPART_SIBL
(25,18),(25,19),0.140898 # DEPENDENCYPART_SIBL
(25,18),(25,20),-0.0691945 # DEPENDENCYPART_SIBL
(25,18),(25,21),-0.0691945 # DEPENDENCYPART_SIBL
(25,18),(25,22),0.14704 # DEPENDENCYPART_SIBL
(25,18),(25,23),-0.0691945 # DEPENDENCYPART_SIBL
(25,18),(25,24),0.0663191 # DEPENDENCYPART_SIBL
(25,18),(25,27),0.0412948 # DEPENDENCYPART_SIBL
(25,18),(25,28),-0.0739834 # DEPENDENCYPART_SIBL
(25,18),(25,29),0.0816445 # DEPENDENCYPART_SIBL
(25,18),(25,31),0.0816456 # DEPENDENCYPART_SIBL
(25,18),(25,33),0.0434723 # DEPENDENCYPART_SIBL
(25,19),(25,20),0.0196266 # DEPENDENCYPART_SIBL
(25,19),(25,21),0.0196266 # DEPENDENCYPART_SIBL
(25,19),(25,22),-0.00533172 # DEPENDENCYPART_SIBL
(25,19),(25,23),0.0196266 # DEPENDENCYPART_SIBL
(25,19),(25,24),0.0866666 # DEPENDENCYPART_SIBL
(25,19),(25,27),0.0622862 # DEPENDENCYPART_SIBL
(25,19),(25,28),-0.0314992 # DEPENDENCYPART_SIBL
(25,19),(25,29),-0.0182762 # DEPENDENCYPART_SIBL
(25,19),(25,31),-0.0209749 # DEPENDENCYPART_SIBL
(25,19),(25,33),-0.00701013 # DEPENDENCYPART_SIBL
(25,20),(25,21),-0.847465 # DEPENDENCYPART_SIBL
(25,20),(25,22),-0.333899 # DEPENDENCYPART_SIBL
(25,20),(25,23),-0.847465 # DEPENDENCYPART_SIBL
(25,20),(25,24),-0.346606 # DEPENDENCYPART_SIBL
(25,20),(25,27),-0.223299 # DEPENDENCYPART_SIBL
(25,20),(25,28),-0.082585 # DEPENDENCYPART_SIBL
(25,20),(25,29),0.0317901 # DEPENDENCYPART_SIBL
(25,20),(25,31),0.0257552 # DEPENDENCYPART_SIBL
(25,20),(25,33),-0.00200102 # DEPENDENCYPART_SIBL
(25,21),(25,22),-0.333899 # DEPENDENCYPART_SIBL
(25,21),(25,23),-0.847465 # DEPENDENCYPART_SIBL
(25,21),(25,24),-0.346606 # DEPENDENCYPART_SIBL
(25,21),(25,27),-0.223299 # DEPENDENCYPART_SIBL
(25,21),(25,28),-0.082585 # DEPENDENCYPART_SIBL
(25,21),(25,29),0.0317901 # DEPENDENCYPART_SIBL
(25,21),(25,31),0.0257552 # DEPENDENCYPART_SIBL
(25,21),(25,33),-0.00200102 # DEPENDENCYPART_SIBL
(25,22),(25,23),0.02699 # DEPENDENCYPART_SIBL
(25,22),(25,24),0.0915228 # DEPENDENCYPART_SIBL
(25,22),(25,27),0.062287 # DEPENDENCYPART_SIBL
(25,22),(25,28),-0.0314854 # DEPENDENCYPART_SIBL
(25,22),(25,29),-0.0182722 # DEPENDENCYPART_SIBL
(25,22),(25,31),-0.0209709 # DEPENDENCYPART_SIBL
(25,22),(25,33),-0.00699361 # DEPENDENCYPART_SIBL
(25,23),(25,24),-0.346606 # DEPENDENCYPART_SIBL
(25,23),(25,27),-0.223299 # DEPENDENCYPART_SIBL
(25,23),(25,28),-0.082585 # DEPENDENCYPART_SIBL
(25,23),(25,29),0.0317901 # DEPENDENCYPART_SIBL
(25,23),(25,31),0.0257552 # DEPENDENCYPART_SIBL
(25,23),(25,33),-0.00200102 # DEPENDENCYPART_SIBL
(25,24),(25,27),0.0411109 # DEPENDENCYPART_SIBL
(25,24),(25,28),-0.0470472 # DEPENDENCYPART_SIBL
(25,24),(25,29),0.100753 # DEPENDENCYPART_SIBL
(25,24),(25,31),0.0946993 # DEPENDENCYPART_SIBL
(25,24),(25,33),0.045717 # DEPENDENCYPART_SIBL
(25,27),(25,28),-0.119276 # DEPENDENCYPART_SIBL
(25,27),(25,29),-0.0744335 # DEPENDENCYPART_SIBL
(25,27),(25,31),-0.0744335 # DEPENDENCYPART_SIBL
(25,27),(25,33),-0.0639498 # DEPENDENCYPART_SIBL
(25,28),(25,29),-0.057548 # DEPENDENCYPART_SIBL
(25,28),(25,31),-0.057548 # DEPENDENCYPART_SIBL
(25,28),(25,33),-0.0409097 # DEPENDENCYPART_SIBL
(25,29),(25,31),-0.0253263 # DEPENDENCYPART_SIBL
(25,29),(25,33),-0.0125873 # DEPENDENCYPART_SIBL
(25,31),(25,33),-0.0125873 # DEPENDENCYPART_SIBL
(26,24),(26,25),0.0353352 # DEPENDENCYPART_SIBL
(26,24),(26,27),0.00212466 # DEPENDENCYPART_SIBL
(26,25),(26,27),-0.00504372 # DEPENDENCYPART_SIBL
(27,20),(27,21),-0.54847 # DEPENDENCYPART_SIBL
(27,20),(27,23),-0.54847 # DEPENDENCYPART_SIBL
(27,20),(27,25),-0.265872 # DEPENDENCYPART_SIBL
(27,20),(27,29),0.00138529 # DEPENDENCYPART_SIBL
(27,21),(27,23),-0.54847 # DEPENDENCYPART_SIBL
(27,21),(27,25),-0.265872 # DEPENDENCYPART_SIBL
(27,21),(27,29),0.00138529 # DEPENDENCYPART_SIBL
(27,23),(27,25),-0.265872 # DEPENDENCYPART_SIBL
(27,23),(27,29),0.00138529 # DEPENDENCYPART_SIBL
(27,25),(27,29),-0.00994369 # DEPENDENCYPART_SIBL
(28,7),(28,8),-0.788511 # DEPENDENCYPART_SIBL
(28,7),(28,12),-0.712658 # DEPENDENCYPART_SIBL
(28,7),(28,17),-0.38014 # DEPENDENCYPART_SIBL
(28,7),(28,18),-0.200916 # DEPENDENCYPART_SIBL
(28,7),(28,19),-0.409141 # DEPENDENCYPART_SIBL
(28,7),(28,20),-0.788511 # DEPENDENCYPART_SIBL
(28,7),(28,21),-0.788511 # DEPENDENCYPART_SIBL
(28,7),(28,22),-0.408986 # DEPENDENCYPART_SIBL
(28,7),(28,23),-0.788511 # DEPENDENCYPART_SIBL
(28,7),(28,24),-0.380117 # DEPENDENCYPART_SIBL
(28,7),(28,25),-0.408989 # DEPENDENCYPART_SIBL
(28,7),(28,26),-0.196211 # DEPENDENCYPART_SIBL
(28,7),(28,27),-0.0521554 # DEPENDENCYPART_SIBL
(28,7),(28,29),-0.0608512 # DEPENDENCYPART_SIBL
(28,7),(28,31),-0.0668854 # DEPENDENCYPART_SIBL
(28,7),(28,32),-0.166193 # DEPENDENCYPART_SIBL
(28,7),(28,33),-0.138055 # DEPENDENCYPART_SIBL
(28,7),(28,34),-0.0812621 # DEPENDENCYPART_SIBL
(28,8),(28,12),-0.712658 # DEPENDENCYPART_SIBL
(28,8),(28,17),-0.38014 # DEPENDENCYPART_SIBL
(28,8),(28,18),-0.200916 # DEPENDENCYPART_SIBL
(28,8),(28,19),-0.409141 # DEPENDENCYPART_SIBL
(28,8),(28,20),-0.788511 # DEPENDENCYPART_SIBL
(28,8),(28,21),-0.788511 # DEPENDENCYPART_SIBL
(28,8),(28,22),-0.408986 # DEPENDENCYPART_SIBL
(28,8),(28,23),-0.788511 # DEPENDENCYPART_SIBL
(28,8),(28,24),-0.380117 # DEPENDENCYPART_SIBL
(28,8),(28,25),-0.408989 # DEPENDENCYPART_SIBL
(28,8),(28,26),-0.196211 # DEPENDENCYPART_SIBL
(28,8),(28,27),-0.0521554 # DEPENDENCYPART_SIBL
(28,8),(28,29),-0.0608512 # DEPENDENCYPART_SIBL
(28,8),(28,31),-0.0668854 # DEPENDENCYPART_SIBL
(28,8),(28,32),-0.166193 # DEPENDENCYPART_SIBL
(28,8),(28,33),-0.138055 # DEPENDENCYPART_SIBL
(28,8),(28,34),-0.0812621 # DEPENDENCYPART_SIBL
(28,12),(28,17),-0.284956 # DEPENDENCYPART_SIBL
(28,12),(28,18),-0.0506715 # DEPENDENCYPART_SIBL
(28,12),(28,19),-0.352883 # DEPENDENCYPART_SIBL
(28,12),(28,20),-0.565076 # DEPENDENCYPART_SIBL
(28,12),(28,21),-0.565076 # DEPENDENCYPART_SIBL
(28,12),(28,22),-0.351056 # DEPENDENCYPART_SIBL
(28,12),(28,23),-0.565076 # DEPENDENCYPART_SIBL
(28,12),(28,24),-0.284901 # DEPENDENCYPART_SIBL
(28,12),(28,25),-0.358375 # DEPENDENCYPART_SIBL
(28,12),(28,26),-0.108313 # DEPENDENCYPART_SIBL
(28,12),(28,27),-0.0536538 # DEPENDENCYPART_SIBL
(28,12),(28,29),0.0334528 # DEPENDENCYPART_SIBL
(28,12),(28,31),0.0213421 # DEPENDENCYPART_SIBL
(28,12),(28,32),-0.044978 # DEPENDENCYPART_SIBL
(28,12),(28,33),-0.0163406 # DEPENDENCYPART_SIBL
(28,12),(28,34),-0.024371 # DEPENDENCYPART_SIBL
(28,17),(28,18),0.0328788 # DEPENDENCYPART_SIBL
(28,17),(28,19),-0.135766 # DEPENDENCYPART_SIBL
(28,17),(28,20),-0.0492091 # DEPENDENCYPART_SIBL
(28,17),(28,21),-0.0492091 # DEPENDENCYPART_SIBL
(28,17),(28,22),-0.133939 # DEPENDENCYPART_SIBL
(28,17),(28,23),-0.0492091 # DEPENDENCYPART_SIBL
(28,17),(28,24),-0.114706 # DEPENDENCYPART_SIBL
(28,17),(28,25),-0.141258 # DEPENDENCYPART_SIBL
(28,17),(28,26),-0.0596741 # DEPENDENCYPART_SIBL
(28,17),(28,27),-0.0211364 # DEPENDENCYPART_SIBL
(28,17),(28,29),0.0297524 # DEPENDENCYPART_SIBL
(28,17),(28,31),0.0236983 # DEPENDENCYPART_SIBL
(28,17),(28,32),-0.0423426 # DEPENDENCYPART_SIBL
(28,17),(28,33),-0.0182542 # DEPENDENCYPART_SIBL
(28,17),(28,34),-0.00818398 # DEPENDENCYPART_SIBL
(28,18),(28,19),0.0161912 # DEPENDENCYPART_SIBL
(28,18),(28,20),-0.00474098 # DEPENDENCYPART_SIBL
(28,18),(28,21),-0.00474098 # DEPENDENCYPART_SIBL
(28,18),(28,22),0.0182491 # DEPENDENCYPART_SIBL
(28,18),(28,23),-0.00474098 # DEPENDENCYPART_SIBL
(28,18),(28,24),0.0339392 # DEPENDENCYPART_SIBL
(28,18),(28,25),0.01651 # DEPENDENCYPART_SIBL
(28,18),(28,26),-0.000219698 # DEPENDENCYPART_SIBL
(28,18),(28,27),0.0302622 # DEPENDENCYPART_SIBL
(28,18),(28,29),-0.00206278 # DEPENDENCYPART_SIBL
(28,18),(28,31),-0.00206105 # DEPENDENCYPART_SIBL
(28,18),(28,32),-0.0561971 # DEPENDENCYPART_SIBL
(28,18),(28,33),-0.0415705 # DEPENDENCYPART_SIBL
(28,18),(28,34),-0.0334553 # DEPENDENCYPART_SIBL
(28,19),(28,20),-0.059628 # DEPENDENCYPART_SIBL
(28,19),(28,21),-0.059628 # DEPENDENCYPART_SIBL
(28,19),(28,22),-0.0779907 # DEPENDENCYPART_SIBL
(28,19),(28,23),-0.059628 # DEPENDENCYPART_SIBL
(28,19),(28,24),-0.109195 # DEPENDENCYPART_SIBL
(28,19),(28,25),-0.0795122 # DEPENDENCYPART_SIBL
(28,19),(28,26),-0.101844 # DEPENDENCYPART_SIBL
(28,19),(28,27),-0.0428428 # DEPENDENCYPART_SIBL
(28,19),(28,29),0.00528898 # DEPENDENCYPART_SIBL
(28,19),(28,31),0.00259267 # DEPENDENCYPART_SIBL
(28,19),(28,32),-0.0586579 # DEPENDENCYPART_SIBL
(28,19),(28,33),-0.0336708 # DEPENDENCYPART_SIBL
(28,19),(28,34),0.0249193 # DEPENDENCYPART_SIBL
(28,20),(28,21),-0.788511 # DEPENDENCYPART_SIBL
(28,20),(28,22),-0.408986 # DEPENDENCYPART_SIBL
(28,20),(28,23),-0.788511 # DEPENDENCYPART_SIBL
(28,20),(28,24),-0.380117 # DEPENDENCYPART_SIBL
(28,20),(28,25),-0.408989 # DEPENDENCYPART_SIBL
(28,20),(28,26),-0.196211 # DEPENDENCYPART_SIBL
(28,20),(28,27),-0.0521554 # DEPENDENCYPART_SIBL
(28,20),(28,29),-0.0608512 # DEPENDENCYPART_SIBL
(28,20),(28,31),-0.0668854 # DEPENDENCYPART_SIBL
(28,20),(28,32),-0.166193 # DEPENDENCYPART_SIBL
(28,20),(28,33),-0.138055 # DEPENDENCYPART_SIBL
(28,20),(28,34),-0.0812621 # DEPENDENCYPART_SIBL
(28,21),(28,22),-0.408986 # DEPENDENCYPART_SIBL
(28,21),(28,23),-0.788511 # DEPENDENCYPART_SIBL
(28,21),(28,24),-0.380117 # DEPENDENCYPART_SIBL
(28,21),(28,25),-0.408989 # DEPENDENCYPART_SIBL
(28,21),(28,26),-0.196211 # DEPENDENCYPART_SIBL
(28,21),(28,27),-0.0521554 # DEPENDENCYPART_SIBL
(28,21),(28,29),-0.0608512 # DEPENDENCYPART_SIBL
(28,21),(28,31),-0.0668854 # DEPENDENCYPART_SIBL
(28,21),(28,32),-0.166193 # DEPENDENCYPART_SIBL
(28,21),(28,33),-0.138055 # DEPENDENCYPART_SIBL
(28,21),(28,34),-0.0812621 # DEPENDENCYPART_SIBL
(28,22),(28,23),-0.056173 # DEPENDENCYPART_SIBL
(28,22),(28,24),-0.107445 # DEPENDENCYPART_SIBL
(28,22),(28,25),-0.086292 # DEPENDENCYPART_SIBL
(28,22),(28,26),-0.101844 # DEPENDENCYPART_SIBL
(28,22),(28,27),-0.0428428 # DEPENDENCYPART_SIBL
(28,22),(28,29),0.00532295 # DEPENDENCYPART_SIBL
(28,22),(28,31),0.00262664 # DEPENDENCYPART_SIBL
(28,22),(28,32),-0.0586021 # DEPENDENCYPART_SIBL
(28,22),(28,33),-0.033615 # DEPENDENCYPART_SIBL
(28,22),(28,34),0.0249933 # DEPENDENCYPART_SIBL
(28,23),(28,24),-0.380117 # DEPENDENCYPART_SIBL
(28,23),(28,25),-0.408989 # DEPENDENCYPART_SIBL
(28,23),(28,26),-0.196211 # DEPENDENCYPART_SIBL
(28,23),(28,27),-0.0521554 # DEPENDENCYPART_SIBL
(28,23),(28,29),-0.0608512 # DEPENDENCYPART_SIBL
(28,23),(28,31),-0.0668854 # DEPENDENCYPART_SIBL
(28,23),(28,32),-0.166193 # DEPENDENCYPART_SIBL
(28,23),(28,33),-0.138055 # DEPENDENCYPART_SIBL
(28,23),(28,34),-0.0812621 # DEPENDENCYPART_SIBL
(28,24),(28,25),-0.136201 # DEPENDENCYPART_SIBL
(28,24),(28,26),-0.0596512 # DEPENDENCYPART_SIBL
(28,24),(28,27),-0.0211135 # DEPENDENCYPART_SIBL
(28,24),(28,29),0.0297524 # DEPENDENCYPART_SIBL
(28,24),(28,31),0.0236983 # DEPENDENCYPART_SIBL
(28,24),(28,32),-0.0423426 # DEPENDENCYPART_SIBL
(28,24),(28,33),-0.0182542 # DEPENDENCYPART_SIBL
(28,24),(28,34),-0.00818398 # DEPENDENCYPART_SIBL
(28,25),(28,26),-0.101846 # DEPENDENCYPART_SIBL
(28,25),(28,27),-0.0428449 # DEPENDENCYPART_SIBL
(28,25),(28,29),0.00530111 # DEPENDENCYPART_SIBL
(28,25),(28,31),0.00260483 # DEPENDENCYPART_SIBL
(28,25),(28,32),-0.0586025 # DEPENDENCYPART_SIBL
(28,25),(28,33),-0.0336154 # DEPENDENCYPART_SIBL
(28,25),(28,34),0.0249929 # DEPENDENCYPART_SIBL
(28,26),(28,27),-0.000109058 # DEPENDENCYPART_SIBL
(28,26),(28,29),-0.0205262 # DEPENDENCYPART_SIBL
(28,26),(28,31),-0.0268626 # DEPENDENCYPART_SIBL
(28,26),(28,32),-0.0436108 # DEPENDENCYPART_SIBL
(28,26),(28,33),-0.0320943 # DEPENDENCYPART_SIBL
(28,26),(28,34),-0.0231763 # DEPENDENCYPART_SIBL
(28,27),(28,29),0.0114861 # DEPENDENCYPART_SIBL
(28,27),(28,31),0.0115084 # DEPENDENCYPART_SIBL
(28,27),(28,32),-0.0259675 # DEPENDENCYPART_SIBL
(28,27),(28,33),-0.0176654 # DEPENDENCYPART_SIBL
(28,27),(28,34),-0.0121558 # DEPENDENCYPART_SIBL
(28,29),(28,31),-0.0337201 # DEPENDENCYPART_SIBL
(28,29),(28,32),-0.0374247 # DEPENDENCYPART_SIBL
