# _root_ Her _ iki olgu da , bilim için yeni bir başlangıçtan çok , bir dönemin _ _ kapanışına işaret_etmektedir .
#goldHeads=3,3,4,19,4,0,8,19,10,11,12,19,0,15,18,17,18,19,20,0,
#predictedHeads=3,3,4,19,4,0,8,19,11,11,12,19,0,15,17,17,18,19,20,0,
(11,8),(11,15),0.0512495 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.021893 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.00860278 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.348092 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0297055 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0512233 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0108604 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.0888162 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0107854 # DEPENDENCYPART_SIBL
(11,9),(11,19),0.0412116 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.000278757 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0739834 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0107783 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0816647 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.00425294 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.0434723 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0200089 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0283823 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0113341 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0363005 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.0288087 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0337618 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.057548 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0486369 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.0409097 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0111905 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0194515 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.0142738 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0226956 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.0125873 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.0294243 # DEPENDENCYPART_SIBL
(12,3),(12,4),-0.137657 # DEPENDENCYPART_SIBL
(12,3),(12,5),-0.0816409 # DEPENDENCYPART_SIBL
(12,3),(12,6),-0.121747 # DEPENDENCYPART_SIBL
(12,3),(12,7),-0.163836 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.10647 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.135957 # DEPENDENCYPART_SIBL
(12,3),(12,15),0.00574734 # DEPENDENCYPART_SIBL
(12,4),(12,5),-0.0920133 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.130808 # DEPENDENCYPART_SIBL
(12,4),(12,7),-0.215724 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.112673 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.187844 # DEPENDENCYPART_SIBL
(12,4),(12,15),0.000354044 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.0434203 # DEPENDENCYPART_SIBL
(12,5),(12,7),-0.0257578 # DEPENDENCYPART_SIBL
(12,5),(12,9),0.0240629 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.0276033 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.0238382 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.025142 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.0310959 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.0243339 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.026988 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.116682 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.201622 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.000346264 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0467845 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0156828 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.000354049 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.00758193 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.0673998 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.00757575 # DEPENDENCYPART_SIBL
(13,1),(13,9),-0.0325334 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.0830981 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.0715671 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.0254289 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.0078047 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.0522999 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.0522999 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.0401431 # DEPENDENCYPART_SIBL
(13,1),(13,20),-0.023737 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.0378982 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.112975 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.0529716 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.0622017 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.0370901 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.0694123 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0279063 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.111055 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.111055 # DEPENDENCYPART_SIBL
(13,6),(13,19),-0.0740256 # DEPENDENCYPART_SIBL
(13,6),(13,20),-0.0445988 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.0272783 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.134006 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.0730089 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.102139 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.0175332 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.00261316 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.058606 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.058606 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.0336179 # DEPENDENCYPART_SIBL
(13,7),(13,20),0.0249899 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.104616 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0456256 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.0413399 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.0258006 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.00441615 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0623394 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0623394 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0508289 # DEPENDENCYPART_SIBL
(13,8),(13,20),-0.0216039 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0280806 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.0930759 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0933727 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0221872 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0426126 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.0426126 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.0184797 # DEPENDENCYPART_SIBL
(13,9),(13,20),-0.00823748 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.0182491 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.010564 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.00206105 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0561971 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0561971 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.0415705 # DEPENDENCYPART_SIBL
(13,10),(13,20),-0.0334553 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0181375 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.00262664 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0586021 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0586021 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.033615 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.0249933 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.020909 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0588339 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0588339 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.048184 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.0208762 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0374247 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0374247 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.032302 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.0173388 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0301275 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.0286604 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.0619313 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.0286604 # DEPENDENCYPART_SIBL
(13,17),(13,20),-0.0619313 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.0431921 # DEPENDENCYPART_SIBL
(15,1),(15,4),-0.0204952 # DEPENDENCYPART_SIBL
(15,1),(15,5),-0.0692056 # DEPENDENCYPART_SIBL
(15,1),(15,8),-0.0310663 # DEPENDENCYPART_SIBL
(15,1),(15,9),-0.0102426 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.0881253 # DEPENDENCYPART_SIBL
(15,1),(15,11),-0.0204952 # DEPENDENCYPART_SIBL
(15,1),(15,12),-0.0663119 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.0514014 # DEPENDENCYPART_SIBL
(15,1),(15,14),-0.0881253 # DEPENDENCYPART_SIBL
(15,1),(15,16),-0.0416283 # DEPENDENCYPART_SIBL
(15,1),(15,17),-0.0416283 # DEPENDENCYPART_SIBL
(15,4),(15,5),-0.0524472 # DEPENDENCYPART_SIBL
(15,4),(15,8),0.14868 # DEPENDENCYPART_SIBL
(15,4),(15,9),0.034286 # DEPENDENCYPART_SIBL
(15,4),(15,10),0.0943035 # DEPENDENCYPART_SIBL
(15,4),(15,11),-0.0104137 # DEPENDENCYPART_SIBL
(15,4),(15,12),0.143229 # DEPENDENCYPART_SIBL
(15,4),(15,13),-0.0656379 # DEPENDENCYPART_SIBL
(15,4),(15,14),0.0943035 # DEPENDENCYPART_SIBL
(15,4),(15,16),-0.0536802 # DEPENDENCYPART_SIBL
(15,4),(15,17),-0.0536802 # DEPENDENCYPART_SIBL
(15,5),(15,8),0.0606791 # DEPENDENCYPART_SIBL
(15,5),(15,9),0.0265187 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.0357093 # DEPENDENCYPART_SIBL
(15,5),(15,11),-0.0005426 # DEPENDENCYPART_SIBL
(15,5),(15,12),0.0231638 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.026165 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.0357093 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0234248 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.0234248 # DEPENDENCYPART_SIBL
(15,8),(15,9),0.0528016 # DEPENDENCYPART_SIBL
(15,8),(15,10),0.250595 # DEPENDENCYPART_SIBL
(15,8),(15,11),0.244216 # DEPENDENCYPART_SIBL
(15,8),(15,12),0.0577729 # DEPENDENCYPART_SIBL
(15,8),(15,13),0.00411231 # DEPENDENCYPART_SIBL
(15,8),(15,14),0.250595 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.021893 # DEPENDENCYPART_SIBL
(15,8),(15,17),-0.021893 # DEPENDENCYPART_SIBL
(15,9),(15,10),0.348092 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.206111 # DEPENDENCYPART_SIBL
(15,9),(15,12),0.0372716 # DEPENDENCYPART_SIBL
(15,9),(15,13),0.0126597 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.348092 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0107854 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0107854 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.150332 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.0527389 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.030321 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.135241 # DEPENDENCYPART_SIBL
(15,10),(15,16),0.00425294 # DEPENDENCYPART_SIBL
(15,10),(15,17),0.00425294 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.143229 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0656379 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0943036 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0536802 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.0536802 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0761583 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.0498285 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0206586 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0206586 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0803326 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0569933 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0569933 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.00425294 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.00425294 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.035505 # DEPENDENCYPART_SIBL
(16,3),(16,4),0.0173226 # DEPENDENCYPART_SIBL
(16,3),(16,8),0.189044 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.00834546 # DEPENDENCYPART_SIBL
(16,3),(16,11),0.0224208 # DEPENDENCYPART_SIBL
(16,3),(16,12),0.142376 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.0962812 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.00834546 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.0224208 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.0711064 # DEPENDENCYPART_SIBL
(16,3),(16,18),0.0175996 # DEPENDENCYPART_SIBL
(16,3),(16,19),0.00542947 # DEPENDENCYPART_SIBL
(16,4),(16,8),0.198449 # DEPENDENCYPART_SIBL
(16,4),(16,10),0.00766547 # DEPENDENCYPART_SIBL
(16,4),(16,11),0.000637257 # DEPENDENCYPART_SIBL
(16,4),(16,12),0.151781 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.0852427 # DEPENDENCYPART_SIBL
(16,4),(16,14),0.00766547 # DEPENDENCYPART_SIBL
(16,4),(16,15),0.000637257 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.0699033 # DEPENDENCYPART_SIBL
(16,4),(16,18),0.0127734 # DEPENDENCYPART_SIBL
(16,4),(16,19),0.00662862 # DEPENDENCYPART_SIBL
(16,8),(16,10),0.109091 # DEPENDENCYPART_SIBL
(16,8),(16,11),0.0907603 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.00661189 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.166956 # DEPENDENCYPART_SIBL
(16,8),(16,14),0.109091 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.0907603 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.0497608 # DEPENDENCYPART_SIBL
(16,8),(16,18),0.0520917 # DEPENDENCYPART_SIBL
(16,8),(16,19),0.004828 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.0292827 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.054834 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.134497 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.141692 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.0292827 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0814966 # DEPENDENCYPART_SIBL
(16,10),(16,18),0.0135646 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.0264468 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.15518 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.081844 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.0110643 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.0108336 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0699033 # DEPENDENCYPART_SIBL
(16,11),(16,18),0.0127734 # DEPENDENCYPART_SIBL
(16,11),(16,19),0.00662862 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.171811 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.00997925 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0534711 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0675251 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.0030534 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.0142013 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.110549 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0125111 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.120576 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.0108194 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.0162046 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.0292827 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0814966 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0135646 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0264468 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0699033 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0127734 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.00662862 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0540475 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0518793 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.00562024 # DEPENDENCYPART_SIBL
(17,3),(17,4),0.0173226 # DEPENDENCYPART_SIBL
(17,3),(17,7),-0.0394884 # DEPENDENCYPART_SIBL
(17,3),(17,8),0.189044 # DEPENDENCYPART_SIBL
(17,3),(17,9),0.0208624 # DEPENDENCYPART_SIBL
(17,3),(17,10),-0.00834546 # DEPENDENCYPART_SIBL
(17,3),(17,11),0.0224208 # DEPENDENCYPART_SIBL
(17,3),(17,12),0.142376 # DEPENDENCYPART_SIBL
(17,3),(17,13),-0.0962812 # DEPENDENCYPART_SIBL
(17,3),(17,14),-0.00834546 # DEPENDENCYPART_SIBL
(17,3),(17,15),0.0224208 # DEPENDENCYPART_SIBL
(17,3),(17,16),-0.0862601 # DEPENDENCYPART_SIBL
(17,3),(17,18),0.0175996 # DEPENDENCYPART_SIBL
(17,3),(17,19),0.00542947 # DEPENDENCYPART_SIBL
(17,4),(17,7),-0.0612719 # DEPENDENCYPART_SIBL
(17,4),(17,8),0.198449 # DEPENDENCYPART_SIBL
(17,4),(17,9),0.040836 # DEPENDENCYPART_SIBL
(17,4),(17,10),0.00766547 # DEPENDENCYPART_SIBL
(17,4),(17,11),0.000637257 # DEPENDENCYPART_SIBL
(17,4),(17,12),0.151781 # DEPENDENCYPART_SIBL
(17,4),(17,13),-0.0852427 # DEPENDENCYPART_SIBL
(17,4),(17,14),0.00766547 # DEPENDENCYPART_SIBL
(17,4),(17,15),0.000637257 # DEPENDENCYPART_SIBL
(17,4),(17,16),-0.0735388 # DEPENDENCYPART_SIBL
(17,4),(17,18),0.0127734 # DEPENDENCYPART_SIBL
(17,4),(17,19),0.00662862 # DEPENDENCYPART_SIBL
(17,7),(17,8),0.199741 # DEPENDENCYPART_SIBL
(17,7),(17,9),0.0457878 # DEPENDENCYPART_SIBL
(17,7),(17,10),0.0332333 # DEPENDENCYPART_SIBL
(17,7),(17,11),-0.0170133 # DEPENDENCYPART_SIBL
(17,7),(17,12),0.15225 # DEPENDENCYPART_SIBL
(17,7),(17,13),-0.0839495 # DEPENDENCYPART_SIBL
(17,7),(17,14),0.0332333 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.0170133 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.0713152 # DEPENDENCYPART_SIBL
(17,7),(17,18),0.0116724 # DEPENDENCYPART_SIBL
(17,7),(17,19),0.00554337 # DEPENDENCYPART_SIBL
(17,8),(17,9),-0.0887223 # DEPENDENCYPART_SIBL
(17,8),(17,10),0.109091 # DEPENDENCYPART_SIBL
(17,8),(17,11),0.0907603 # DEPENDENCYPART_SIBL
(17,8),(17,12),-0.00661189 # DEPENDENCYPART_SIBL
(17,8),(17,13),-0.166956 # DEPENDENCYPART_SIBL
(17,8),(17,14),0.109091 # DEPENDENCYPART_SIBL
(17,8),(17,15),0.0907603 # DEPENDENCYPART_SIBL
(17,8),(17,16),-0.132522 # DEPENDENCYPART_SIBL
(17,8),(17,18),0.0520917 # DEPENDENCYPART_SIBL
(17,8),(17,19),0.004828 # DEPENDENCYPART_SIBL
(17,9),(17,10),0.113356 # DEPENDENCYPART_SIBL
(17,9),(17,11),0.0682938 # DEPENDENCYPART_SIBL
(17,9),(17,12),-0.00634063 # DEPENDENCYPART_SIBL
(17,9),(17,13),-0.125083 # DEPENDENCYPART_SIBL
(17,9),(17,14),0.113356 # DEPENDENCYPART_SIBL
(17,9),(17,15),0.0682938 # DEPENDENCYPART_SIBL
(17,9),(17,16),0.0137995 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.000835932 # DEPENDENCYPART_SIBL
(17,9),(17,19),-0.0115677 # DEPENDENCYPART_SIBL
(17,10),(17,11),0.0292827 # DEPENDENCYPART_SIBL
(17,10),(17,12),-0.054834 # DEPENDENCYPART_SIBL
(17,10),(17,13),-0.134497 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.141692 # DEPENDENCYPART_SIBL
(17,10),(17,15),0.0292827 # DEPENDENCYPART_SIBL
(17,10),(17,16),-0.131362 # DEPENDENCYPART_SIBL
(17,10),(17,18),0.0135646 # DEPENDENCYPART_SIBL
(17,10),(17,19),-0.0264468 # DEPENDENCYPART_SIBL
(17,11),(17,12),0.15518 # DEPENDENCYPART_SIBL
(17,11),(17,13),-0.081844 # DEPENDENCYPART_SIBL
(17,11),(17,14),0.0110643 # DEPENDENCYPART_SIBL
(17,11),(17,15),0.0108336 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.07014 # DEPENDENCYPART_SIBL
(17,11),(17,18),0.0127734 # DEPENDENCYPART_SIBL
(17,11),(17,19),0.00662862 # DEPENDENCYPART_SIBL
(17,12),(17,13),-0.171811 # DEPENDENCYPART_SIBL
(17,12),(17,14),0.00997925 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.0534711 # DEPENDENCYPART_SIBL
(17,12),(17,16),-0.123456 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.0030534 # DEPENDENCYPART_SIBL
(17,12),(17,19),-0.0142013 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.110549 # DEPENDENCYPART_SIBL
(17,13),(17,15),0.0125111 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.428719 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.0108194 # DEPENDENCYPART_SIBL
(17,13),(17,19),-0.0162046 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.0292827 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.131362 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.0135646 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.0264468 # DEPENDENCYPART_SIBL
(17,15),(17,16),-0.07014 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.0127734 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.00662862 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.000490241 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.0433137 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.00562024 # DEPENDENCYPART_SIBL
(18,3),(18,4),0.0647291 # DEPENDENCYPART_SIBL
(18,3),(18,5),-0.0318065 # DEPENDENCYPART_SIBL
(18,3),(18,6),-0.0476198 # DEPENDENCYPART_SIBL
(18,3),(18,7),0.0357548 # DEPENDENCYPART_SIBL
(18,3),(18,9),0.0520791 # DEPENDENCYPART_SIBL
(18,3),(18,11),0.0664285 # DEPENDENCYPART_SIBL
(18,3),(18,12),0.163859 # DEPENDENCYPART_SIBL
(18,3),(18,13),-0.0476198 # DEPENDENCYPART_SIBL
(18,3),(18,14),0.104043 # DEPENDENCYPART_SIBL
(18,3),(18,15),0.0664285 # DEPENDENCYPART_SIBL
(18,3),(18,16),0.0382918 # DEPENDENCYPART_SIBL
(18,3),(18,17),0.0382918 # DEPENDENCYPART_SIBL
(18,4),(18,5),-0.0524472 # DEPENDENCYPART_SIBL
(18,4),(18,6),-0.0656379 # DEPENDENCYPART_SIBL
(18,4),(18,7),-0.0410874 # DEPENDENCYPART_SIBL
(18,4),(18,9),0.034286 # DEPENDENCYPART_SIBL
(18,4),(18,11),-0.0104137 # DEPENDENCYPART_SIBL
(18,4),(18,12),0.143229 # DEPENDENCYPART_SIBL
(18,4),(18,13),-0.0656379 # DEPENDENCYPART_SIBL
(18,4),(18,14),0.0943035 # DEPENDENCYPART_SIBL
(18,4),(18,15),-0.0104137 # DEPENDENCYPART_SIBL
(18,4),(18,16),0.0269906 # DEPENDENCYPART_SIBL
(18,4),(18,17),0.0269906 # DEPENDENCYPART_SIBL
(18,5),(18,6),0.026165 # DEPENDENCYPART_SIBL
(18,5),(18,7),0.0164333 # DEPENDENCYPART_SIBL
(18,5),(18,9),0.0265187 # DEPENDENCYPART_SIBL
(18,5),(18,11),-0.0005426 # DEPENDENCYPART_SIBL
(18,5),(18,12),0.0231638 # DEPENDENCYPART_SIBL
(18,5),(18,13),0.026165 # DEPENDENCYPART_SIBL
(18,5),(18,14),-0.0357093 # DEPENDENCYPART_SIBL
(18,5),(18,15),-0.0005426 # DEPENDENCYPART_SIBL
(18,5),(18,16),-0.185853 # DEPENDENCYPART_SIBL
(18,5),(18,17),-0.185853 # DEPENDENCYPART_SIBL
(18,6),(18,7),0.0150305 # DEPENDENCYPART_SIBL
(18,6),(18,9),-0.0248237 # DEPENDENCYPART_SIBL
(18,6),(18,11),0.00649166 # DEPENDENCYPART_SIBL
(18,6),(18,12),0.0551689 # DEPENDENCYPART_SIBL
(18,6),(18,13),-0.0839136 # DEPENDENCYPART_SIBL
(18,6),(18,14),-0.0803326 # DEPENDENCYPART_SIBL
(18,6),(18,15),0.00649166 # DEPENDENCYPART_SIBL
(18,6),(18,16),-0.228157 # DEPENDENCYPART_SIBL
(18,6),(18,17),-0.228157 # DEPENDENCYPART_SIBL
(18,7),(18,9),0.0044526 # DEPENDENCYPART_SIBL
(18,7),(18,11),-0.0511804 # DEPENDENCYPART_SIBL
(18,7),(18,12),0.123063 # DEPENDENCYPART_SIBL
(18,7),(18,13),-0.0853911 # DEPENDENCYPART_SIBL
(18,7),(18,14),0.0798264 # DEPENDENCYPART_SIBL
(18,7),(18,15),-0.0511804 # DEPENDENCYPART_SIBL
(18,7),(18,16),0.00446074 # DEPENDENCYPART_SIBL
(18,7),(18,17),0.00446074 # DEPENDENCYPART_SIBL
(18,9),(18,11),0.206111 # DEPENDENCYPART_SIBL
(18,9),(18,12),0.0372716 # DEPENDENCYPART_SIBL
(18,9),(18,13),0.0126597 # DEPENDENCYPART_SIBL
(18,9),(18,14),0.348092 # DEPENDENCYPART_SIBL
(18,9),(18,15),0.206111 # DEPENDENCYPART_SIBL
