# _root_ Hem _ eminim ki , benim de benden daha büyük bir kardeşim olsaydı , o da _ aynılarını yapardı .
#goldHeads=20,3,13,2,19,13,6,10,10,12,12,13,19,0,19,15,18,19,20,0,
#predictedHeads=3,3,4,19,0,12,6,13,10,12,12,13,14,19,19,15,18,19,20,0,
(13,3),(13,12),-0.00197428 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.0888179 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.00227508 # DEPENDENCYPART_SIBL
(13,3),(13,16),0.0300943 # DEPENDENCYPART_SIBL
(13,3),(13,18),0.00188454 # DEPENDENCYPART_SIBL
(13,3),(13,19),-0.0336745 # DEPENDENCYPART_SIBL
(13,3),(13,20),-0.0913253 # DEPENDENCYPART_SIBL
(13,4),(13,5),-0.118305 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.0464752 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.147782 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.0223439 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.112909 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.0686208 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.0697365 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.0164762 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.0931637 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0503449 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0142547 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.0472701 # DEPENDENCYPART_SIBL
(13,4),(13,19),-0.02804 # DEPENDENCYPART_SIBL
(13,4),(13,20),-0.115103 # DEPENDENCYPART_SIBL
(13,5),(13,6),0.0250789 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.0995396 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.054526 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.0150277 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.0213449 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.0241868 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.0186299 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.0899436 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0348209 # DEPENDENCYPART_SIBL
(13,5),(13,16),0.00453107 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.00827072 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.0186727 # DEPENDENCYPART_SIBL
(13,5),(13,20),-0.0680033 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.10649 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.0253878 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.0846672 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.0405529 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.0215034 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.0934022 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.10791 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0687186 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.088955 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.062679 # DEPENDENCYPART_SIBL
(13,6),(13,19),-0.0123809 # DEPENDENCYPART_SIBL
(13,6),(13,20),-0.123461 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.0107042 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.0341944 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.0176667 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.0541785 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0376869 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0997605 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.060496 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.00652917 # DEPENDENCYPART_SIBL
(13,7),(13,18),-0.0573337 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.0346605 # DEPENDENCYPART_SIBL
(13,7),(13,20),-0.121592 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.0613855 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.0172612 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.0224486 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.0513791 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.105106 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0592691 # DEPENDENCYPART_SIBL
(13,8),(13,16),0.10146 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.0562698 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.00890869 # DEPENDENCYPART_SIBL
(13,8),(13,20),-0.120511 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.0685469 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.0513186 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0927584 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0851417 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0696035 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.00972315 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.0330532 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.0341062 # DEPENDENCYPART_SIBL
(13,9),(13,20),-0.105163 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.134538 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.0643391 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0857601 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0119761 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0179252 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.00305813 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.0086301 # DEPENDENCYPART_SIBL
(13,10),(13,20),-0.103024 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0132889 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0932746 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0172689 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.00227885 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.00539094 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0153487 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.100779 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0647261 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0220902 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.000606012 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.00183869 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0071139 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.071472 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0260909 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0548521 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0957602 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.0497678 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.0276293 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0203571 # DEPENDENCYPART_SIBL
(13,15),(13,18),0.0102792 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0117663 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.0197013 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0982802 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.0579006 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.151381 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.0123033 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.00773257 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.0599024 # DEPENDENCYPART_SIBL
(14,1),(14,2),-0.0837834 # DEPENDENCYPART_SIBL
(14,1),(14,3),0.171164 # DEPENDENCYPART_SIBL
(14,1),(14,4),-0.0622993 # DEPENDENCYPART_SIBL
(14,1),(14,5),0.0728253 # DEPENDENCYPART_SIBL
(14,1),(14,6),0.0321005 # DEPENDENCYPART_SIBL
(14,1),(14,7),-0.0435674 # DEPENDENCYPART_SIBL
(14,1),(14,8),0.0302965 # DEPENDENCYPART_SIBL
(14,1),(14,9),-0.0129761 # DEPENDENCYPART_SIBL
(14,1),(14,10),0.0300301 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.0592726 # DEPENDENCYPART_SIBL
(14,1),(14,12),-0.00755539 # DEPENDENCYPART_SIBL
(14,1),(14,13),0.171328 # DEPENDENCYPART_SIBL
(14,1),(14,18),0.0999645 # DEPENDENCYPART_SIBL
(14,1),(14,19),0.032033 # DEPENDENCYPART_SIBL
(14,1),(14,20),0.0381807 # DEPENDENCYPART_SIBL
(14,2),(14,3),-0.250641 # DEPENDENCYPART_SIBL
(14,2),(14,4),-0.0814586 # DEPENDENCYPART_SIBL
(14,2),(14,5),-0.10971 # DEPENDENCYPART_SIBL
(14,2),(14,6),-0.0986282 # DEPENDENCYPART_SIBL
(14,2),(14,7),-0.0536538 # DEPENDENCYPART_SIBL
(14,2),(14,8),-0.108613 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.115552 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.289673 # DEPENDENCYPART_SIBL
(14,2),(14,11),-0.0506715 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.339542 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.250477 # DEPENDENCYPART_SIBL
(14,2),(14,18),0.0213421 # DEPENDENCYPART_SIBL
(14,2),(14,19),-0.0163406 # DEPENDENCYPART_SIBL
(14,2),(14,20),-0.024371 # DEPENDENCYPART_SIBL
(14,3),(14,4),-0.0587792 # DEPENDENCYPART_SIBL
(14,3),(14,5),-0.128951 # DEPENDENCYPART_SIBL
(14,3),(14,6),-0.143058 # DEPENDENCYPART_SIBL
(14,3),(14,7),-0.0196713 # DEPENDENCYPART_SIBL
(14,3),(14,8),-0.15057 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.0577368 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.211129 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.119589 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.154833 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.202414 # DEPENDENCYPART_SIBL
(14,3),(14,18),-0.0651609 # DEPENDENCYPART_SIBL
(14,3),(14,19),-0.139973 # DEPENDENCYPART_SIBL
(14,3),(14,20),-0.0650831 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.0471549 # DEPENDENCYPART_SIBL
(14,4),(14,6),0.0142769 # DEPENDENCYPART_SIBL
(14,4),(14,7),-0.044947 # DEPENDENCYPART_SIBL
(14,4),(14,8),0.0124729 # DEPENDENCYPART_SIBL
(14,4),(14,9),-0.0254238 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.0267137 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.0555353 # DEPENDENCYPART_SIBL
(14,4),(14,12),0.0136662 # DEPENDENCYPART_SIBL
(14,4),(14,13),0.132375 # DEPENDENCYPART_SIBL
(14,4),(14,18),0.00918916 # DEPENDENCYPART_SIBL
(14,4),(14,19),-0.0223013 # DEPENDENCYPART_SIBL
(14,4),(14,20),-0.0177964 # DEPENDENCYPART_SIBL
(14,5),(14,6),0.0899403 # DEPENDENCYPART_SIBL
(14,5),(14,7),0.00540892 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.0646431 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.00738497 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.0692566 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.0622017 # DEPENDENCYPART_SIBL
(14,5),(14,12),0.0486036 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.0885901 # DEPENDENCYPART_SIBL
(14,5),(14,18),-0.0279063 # DEPENDENCYPART_SIBL
(14,5),(14,19),-0.0740256 # DEPENDENCYPART_SIBL
(14,5),(14,20),-0.0445988 # DEPENDENCYPART_SIBL
(14,6),(14,7),-0.012841 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.0498732 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.0689115 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.0764234 # DEPENDENCYPART_SIBL
(14,6),(14,11),-0.0331696 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.0691641 # DEPENDENCYPART_SIBL
(14,6),(14,13),0.00586066 # DEPENDENCYPART_SIBL
(14,6),(14,18),-0.0300142 # DEPENDENCYPART_SIBL
(14,6),(14,19),-0.0330372 # DEPENDENCYPART_SIBL
(14,6),(14,20),-0.0242072 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.000831217 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.0182668 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.0348051 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.0815398 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.0429131 # DEPENDENCYPART_SIBL
(14,7),(14,13),0.10569 # DEPENDENCYPART_SIBL
(14,7),(14,18),0.0115084 # DEPENDENCYPART_SIBL
(14,7),(14,19),-0.0176654 # DEPENDENCYPART_SIBL
(14,7),(14,20),-0.0121558 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.0577596 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.0731083 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.0451901 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.0549046 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.0225818 # DEPENDENCYPART_SIBL
(14,8),(14,18),-0.0268718 # DEPENDENCYPART_SIBL
(14,8),(14,19),-0.0320944 # DEPENDENCYPART_SIBL
(14,8),(14,20),-0.0231763 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.140471 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.0740723 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0444121 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.0305435 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.0114169 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.0626873 # DEPENDENCYPART_SIBL
(14,9),(14,20),-0.0398539 # DEPENDENCYPART_SIBL
(14,10),(14,11),0.0147857 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.131339 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.00754159 # DEPENDENCYPART_SIBL
(14,10),(14,18),0.0208452 # DEPENDENCYPART_SIBL
(14,10),(14,19),-0.0192553 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.00935752 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.0297625 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.00840351 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.00206105 # DEPENDENCYPART_SIBL
(14,11),(14,19),-0.0415705 # DEPENDENCYPART_SIBL
(14,11),(14,20),-0.0334553 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0325191 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.00262664 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.033615 # DEPENDENCYPART_SIBL
(14,12),(14,20),0.0249933 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0645292 # DEPENDENCYPART_SIBL
(14,13),(14,19),-0.139969 # DEPENDENCYPART_SIBL
(14,13),(14,20),-0.0650751 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.032302 # DEPENDENCYPART_SIBL
(14,18),(14,20),-0.0173388 # DEPENDENCYPART_SIBL
(14,19),(14,20),-0.0431921 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.0115828 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0482085 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.104296 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.0364108 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.0298082 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.0168406 # DEPENDENCYPART_SIBL
(17,8),(17,11),0.0493567 # DEPENDENCYPART_SIBL
(17,8),(17,12),0.214492 # DEPENDENCYPART_SIBL
(17,8),(17,13),0.158605 # DEPENDENCYPART_SIBL
(17,8),(17,14),0.0636505 # DEPENDENCYPART_SIBL
(17,8),(17,15),0.0888622 # DEPENDENCYPART_SIBL
(17,8),(17,16),0.0314097 # DEPENDENCYPART_SIBL
(17,11),(17,12),0.0878714 # DEPENDENCYPART_SIBL
(17,11),(17,13),-0.00894894 # DEPENDENCYPART_SIBL
(17,11),(17,14),0.0275383 # DEPENDENCYPART_SIBL
(17,11),(17,15),0.0627633 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.0432023 # DEPENDENCYPART_SIBL
(17,12),(17,13),0.336247 # DEPENDENCYPART_SIBL
(17,12),(17,14),0.0591603 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.109673 # DEPENDENCYPART_SIBL
(17,12),(17,16),-0.0246204 # DEPENDENCYPART_SIBL
(17,13),(17,14),0.00504023 # DEPENDENCYPART_SIBL
(17,13),(17,15),0.105107 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.0199942 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.0481601 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.148338 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.0549146 # DEPENDENCYPART_SIBL
(18,3),(18,4),0.0560917 # DEPENDENCYPART_SIBL
(18,3),(18,5),-0.0190833 # DEPENDENCYPART_SIBL
(18,3),(18,6),0.131416 # DEPENDENCYPART_SIBL
(18,3),(18,7),0.0536914 # DEPENDENCYPART_SIBL
(18,3),(18,8),0.126027 # DEPENDENCYPART_SIBL
(18,3),(18,9),0.11466 # DEPENDENCYPART_SIBL
(18,3),(18,11),0.162573 # DEPENDENCYPART_SIBL
(18,3),(18,12),0.107856 # DEPENDENCYPART_SIBL
(18,3),(18,13),0.115051 # DEPENDENCYPART_SIBL
(18,3),(18,14),-0.0190833 # DEPENDENCYPART_SIBL
(18,3),(18,15),0.112905 # DEPENDENCYPART_SIBL
(18,3),(18,16),0.0577559 # DEPENDENCYPART_SIBL
(18,3),(18,17),-0.0809067 # DEPENDENCYPART_SIBL
(18,4),(18,5),0.0182078 # DEPENDENCYPART_SIBL
(18,4),(18,6),-0.00302555 # DEPENDENCYPART_SIBL
(18,4),(18,7),-0.109665 # DEPENDENCYPART_SIBL
(18,4),(18,8),-0.000657473 # DEPENDENCYPART_SIBL
(18,4),(18,9),-0.0176332 # DEPENDENCYPART_SIBL
(18,4),(18,11),-0.0321536 # DEPENDENCYPART_SIBL
(18,4),(18,12),0.0329416 # DEPENDENCYPART_SIBL
(18,4),(18,13),0.0516434 # DEPENDENCYPART_SIBL
(18,4),(18,14),0.0182078 # DEPENDENCYPART_SIBL
(18,4),(18,15),-0.00404096 # DEPENDENCYPART_SIBL
(18,4),(18,16),-0.105392 # DEPENDENCYPART_SIBL
(18,4),(18,17),-0.259431 # DEPENDENCYPART_SIBL
(18,5),(18,6),0.132474 # DEPENDENCYPART_SIBL
(18,5),(18,7),-0.0707074 # DEPENDENCYPART_SIBL
(18,5),(18,8),0.109916 # DEPENDENCYPART_SIBL
(18,5),(18,9),0.0536735 # DEPENDENCYPART_SIBL
(18,5),(18,11),-0.0803326 # DEPENDENCYPART_SIBL
(18,5),(18,12),0.00548416 # DEPENDENCYPART_SIBL
(18,5),(18,13),0.0974612 # DEPENDENCYPART_SIBL
(18,5),(18,14),-0.0839136 # DEPENDENCYPART_SIBL
(18,5),(18,15),0.177721 # DEPENDENCYPART_SIBL
(18,5),(18,16),-0.0659634 # DEPENDENCYPART_SIBL
(18,5),(18,17),-0.304353 # DEPENDENCYPART_SIBL
(18,6),(18,7),-0.0389814 # DEPENDENCYPART_SIBL
(18,6),(18,8),0.0232542 # DEPENDENCYPART_SIBL
(18,6),(18,9),0.00447688 # DEPENDENCYPART_SIBL
(18,6),(18,11),0.0934697 # DEPENDENCYPART_SIBL
(18,6),(18,12),0.0334058 # DEPENDENCYPART_SIBL
(18,6),(18,13),0.0714324 # DEPENDENCYPART_SIBL
(18,6),(18,14),-0.0408131 # DEPENDENCYPART_SIBL
(18,6),(18,15),0.00959382 # DEPENDENCYPART_SIBL
(18,6),(18,16),-0.0366845 # DEPENDENCYPART_SIBL
(18,6),(18,17),-0.0610913 # DEPENDENCYPART_SIBL
(18,7),(18,8),-0.00428314 # DEPENDENCYPART_SIBL
(18,7),(18,9),0.000721799 # DEPENDENCYPART_SIBL
(18,7),(18,11),-0.0538321 # DEPENDENCYPART_SIBL
(18,7),(18,12),-0.012261 # DEPENDENCYPART_SIBL
(18,7),(18,13),0.0387875 # DEPENDENCYPART_SIBL
(18,7),(18,14),0.0134223 # DEPENDENCYPART_SIBL
(18,7),(18,15),-0.00537315 # DEPENDENCYPART_SIBL
(18,7),(18,16),-0.1126 # DEPENDENCYPART_SIBL
(18,7),(18,17),-0.243153 # DEPENDENCYPART_SIBL
(18,8),(18,9),0.0182162 # DEPENDENCYPART_SIBL
(18,8),(18,11),0.0596866 # DEPENDENCYPART_SIBL
(18,8),(18,12),0.0418445 # DEPENDENCYPART_SIBL
(18,8),(18,13),0.0892384 # DEPENDENCYPART_SIBL
(18,8),(18,14),-0.0235628 # DEPENDENCYPART_SIBL
(18,8),(18,15),0.0165135 # DEPENDENCYPART_SIBL
(18,8),(18,16),-0.0335892 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.0306534 # DEPENDENCYPART_SIBL
(18,9),(18,11),0.0408157 # DEPENDENCYPART_SIBL
(18,9),(18,12),0.0740547 # DEPENDENCYPART_SIBL
(18,9),(18,13),0.0717883 # DEPENDENCYPART_SIBL
(18,9),(18,14),-0.0702865 # DEPENDENCYPART_SIBL
(18,9),(18,15),0.0461898 # DEPENDENCYPART_SIBL
(18,9),(18,16),-0.0875569 # DEPENDENCYPART_SIBL
(18,9),(18,17),-0.104142 # DEPENDENCYPART_SIBL
(18,11),(18,12),0.149325 # DEPENDENCYPART_SIBL
(18,11),(18,13),-0.00731757 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.030321 # DEPENDENCYPART_SIBL
(18,11),(18,15),0.0170299 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.0478045 # DEPENDENCYPART_SIBL
(18,11),(18,17),0.00486962 # DEPENDENCYPART_SIBL
(18,12),(18,13),0.184194 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.0687587 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.00491511 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.0555679 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.0782897 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.0190006 # DEPENDENCYPART_SIBL
(18,13),(18,15),0.113856 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.0578459 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.0799732 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.177721 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.0659634 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.304353 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.0404714 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.0289025 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.211469 # DEPENDENCYPART_SIBL
(19,1),(19,2),-0.0735436 # DEPENDENCYPART_SIBL
(19,1),(19,3),0.0443629 # DEPENDENCYPART_SIBL
(19,1),(19,4),-0.105074 # DEPENDENCYPART_SIBL
(19,1),(19,5),-0.0674589 # DEPENDENCYPART_SIBL
(19,1),(19,6),0.00148453 # DEPENDENCYPART_SIBL
(19,1),(19,7),-0.116729 # DEPENDENCYPART_SIBL
(19,1),(19,8),0.0256159 # DEPENDENCYPART_SIBL
(19,1),(19,9),-0.0621214 # DEPENDENCYPART_SIBL
(19,1),(19,10),-0.00385824 # DEPENDENCYPART_SIBL
(19,1),(19,11),-0.0456694 # DEPENDENCYPART_SIBL
(19,1),(19,12),-0.00877494 # DEPENDENCYPART_SIBL
(19,1),(19,13),0.0464894 # DEPENDENCYPART_SIBL
(19,1),(19,14),-0.0674589 # DEPENDENCYPART_SIBL
(19,1),(19,15),0.0111328 # DEPENDENCYPART_SIBL
(19,1),(19,16),-0.120501 # DEPENDENCYPART_SIBL
(19,1),(19,17),-0.0735436 # DEPENDENCYPART_SIBL
(19,1),(19,18),-0.00597698 # DEPENDENCYPART_SIBL
(19,1),(19,20),-0.110834 # DEPENDENCYPART_SIBL
(19,2),(19,3),-0.576977 # DEPENDENCYPART_SIBL
(19,2),(19,4),-0.353853 # DEPENDENCYPART_SIBL
(19,2),(19,5),-0.44274 # DEPENDENCYPART_SIBL
(19,2),(19,6),-0.31242 # DEPENDENCYPART_SIBL
(19,2),(19,7),-0.362061 # DEPENDENCYPART_SIBL
(19,2),(19,8),-0.297859 # DEPENDENCYPART_SIBL
(19,2),(19,9),-0.377703 # DEPENDENCYPART_SIBL
(19,2),(19,10),-0.435622 # DEPENDENCYPART_SIBL
(19,2),(19,11),-0.183771 # DEPENDENCYPART_SIBL
(19,2),(19,12),-0.612235 # DEPENDENCYPART_SIBL
(19,2),(19,13),-0.57485 # DEPENDENCYPART_SIBL
(19,2),(19,14),-0.44274 # DEPENDENCYPART_SIBL
(19,2),(19,15),-0.313568 # DEPENDENCYPART_SIBL
(19,2),(19,16),-0.363461 # DEPENDENCYPART_SIBL
(19,2),(19,17),-0.782812 # DEPENDENCYPART_SIBL
(19,2),(19,18),-0.609437 # DEPENDENCYPART_SIBL
(19,2),(19,20),-0.134127 # DEPENDENCYPART_SIBL
(19,3),(19,4),-0.057829 # DEPENDENCYPART_SIBL
(19,3),(19,5),-0.173474 # DEPENDENCYPART_SIBL
(19,3),(19,6),-0.0184642 # DEPENDENCYPART_SIBL
(19,3),(19,7),-0.0614833 # DEPENDENCYPART_SIBL
(19,3),(19,8),-0.00524843 # DEPENDENCYPART_SIBL
(19,3),(19,9),-0.0073292 # DEPENDENCYPART_SIBL
(19,3),(19,10),-0.0698468 # DEPENDENCYPART_SIBL
(19,3),(19,11),0.013502 # DEPENDENCYPART_SIBL
(19,3),(19,12),-0.0132361 # DEPENDENCYPART_SIBL
(19,3),(19,13),-0.08093 # DEPENDENCYPART_SIBL
(19,3),(19,14),-0.173474 # DEPENDENCYPART_SIBL
(19,3),(19,15),-0.0312778 # DEPENDENCYPART_SIBL
(19,3),(19,16),-0.0607028 # DEPENDENCYPART_SIBL
(19,3),(19,17),-0.107619 # DEPENDENCYPART_SIBL
(19,3),(19,18),-0.0209441 # DEPENDENCYPART_SIBL
(19,3),(19,20),-0.0913253 # DEPENDENCYPART_SIBL
(19,4),(19,5),-0.125808 # DEPENDENCYPART_SIBL
(19,4),(19,6),-0.0539782 # DEPENDENCYPART_SIBL
(19,4),(19,7),-0.155285 # DEPENDENCYPART_SIBL
(19,4),(19,8),-0.0298469 # DEPENDENCYPART_SIBL
(19,4),(19,9),-0.120412 # DEPENDENCYPART_SIBL
(19,4),(19,10),-0.0761238 # DEPENDENCYPART_SIBL
(19,4),(19,11),-0.0772395 # DEPENDENCYPART_SIBL
(19,4),(19,12),-0.0406349 # DEPENDENCYPART_SIBL
(19,4),(19,13),-0.0656153 # DEPENDENCYPART_SIBL
(19,4),(19,14),-0.125808 # DEPENDENCYPART_SIBL
(19,4),(19,15),-0.0457536 # DEPENDENCYPART_SIBL
(19,4),(19,16),-0.159434 # DEPENDENCYPART_SIBL
(19,4),(19,17),-0.173271 # DEPENDENCYPART_SIBL
