# _root_ ATO Başkanı Sinan_Aygün , Maliye Bakanı Kemal_Yazıcıoğlu ziyaretinden sonra da Bakan'ın " Vergi_Barışı_Projesi " konusunda , ocak ayının ilk haftasında _ mükelleflere müjde _ _ verebileceklerini _ söylediğini _ bildirdi .
#goldHeads=2,3,30,0,6,7,8,9,27,9,13,0,15,0,24,0,18,20,20,24,22,24,24,25,26,27,28,30,30,31,0,
#predictedHeads=2,3,30,0,6,7,8,9,25,9,13,0,15,0,25,0,18,20,20,25,22,24,25,25,26,27,28,30,30,31,0,
(27,2),(27,9),0.138652 # DEPENDENCYPART_SIBL
(27,2),(27,11),-0.0362083 # DEPENDENCYPART_SIBL
(27,2),(27,13),-0.0362083 # DEPENDENCYPART_SIBL
(27,2),(27,15),-0.0712994 # DEPENDENCYPART_SIBL
(27,2),(27,17),-0.0414719 # DEPENDENCYPART_SIBL
(27,2),(27,18),-0.0371445 # DEPENDENCYPART_SIBL
(27,2),(27,20),-0.0362083 # DEPENDENCYPART_SIBL
(27,2),(27,21),-0.174754 # DEPENDENCYPART_SIBL
(27,2),(27,22),-0.0362083 # DEPENDENCYPART_SIBL
(27,2),(27,23),-0.0362083 # DEPENDENCYPART_SIBL
(27,2),(27,24),-0.11464 # DEPENDENCYPART_SIBL
(27,2),(27,25),-0.11464 # DEPENDENCYPART_SIBL
(27,2),(27,26),-0.0362083 # DEPENDENCYPART_SIBL
(27,2),(27,28),0.0118913 # DEPENDENCYPART_SIBL
(27,2),(27,29),-0.0702253 # DEPENDENCYPART_SIBL
(27,3),(27,5),0.0177611 # DEPENDENCYPART_SIBL
(27,3),(27,6),0.0165998 # DEPENDENCYPART_SIBL
(27,3),(27,7),0.0177611 # DEPENDENCYPART_SIBL
(27,3),(27,8),0.0177611 # DEPENDENCYPART_SIBL
(27,3),(27,9),0.155757 # DEPENDENCYPART_SIBL
(27,3),(27,11),0.0177611 # DEPENDENCYPART_SIBL
(27,3),(27,13),0.0177611 # DEPENDENCYPART_SIBL
(27,3),(27,15),-0.01733 # DEPENDENCYPART_SIBL
(27,3),(27,17),0.0124975 # DEPENDENCYPART_SIBL
(27,3),(27,18),0.0168249 # DEPENDENCYPART_SIBL
(27,3),(27,20),0.0177611 # DEPENDENCYPART_SIBL
(27,3),(27,21),-0.135378 # DEPENDENCYPART_SIBL
(27,3),(27,22),0.0177611 # DEPENDENCYPART_SIBL
(27,3),(27,23),0.0177611 # DEPENDENCYPART_SIBL
(27,3),(27,24),-0.069571 # DEPENDENCYPART_SIBL
(27,3),(27,25),-0.069571 # DEPENDENCYPART_SIBL
(27,3),(27,26),0.0177611 # DEPENDENCYPART_SIBL
(27,3),(27,28),0.0127208 # DEPENDENCYPART_SIBL
(27,3),(27,29),-0.0699033 # DEPENDENCYPART_SIBL
(27,5),(27,6),-0.00074217 # DEPENDENCYPART_SIBL
(27,5),(27,7),0.000419126 # DEPENDENCYPART_SIBL
(27,5),(27,8),0.000419126 # DEPENDENCYPART_SIBL
(27,5),(27,9),0.148857 # DEPENDENCYPART_SIBL
(27,5),(27,11),0.000419126 # DEPENDENCYPART_SIBL
(27,5),(27,13),0.000419126 # DEPENDENCYPART_SIBL
(27,5),(27,15),-0.034672 # DEPENDENCYPART_SIBL
(27,5),(27,17),-0.0048445 # DEPENDENCYPART_SIBL
(27,5),(27,18),-0.000517081 # DEPENDENCYPART_SIBL
(27,5),(27,20),0.000419126 # DEPENDENCYPART_SIBL
(27,5),(27,21),-0.142578 # DEPENDENCYPART_SIBL
(27,5),(27,22),0.000419126 # DEPENDENCYPART_SIBL
(27,5),(27,23),0.000419126 # DEPENDENCYPART_SIBL
(27,5),(27,24),-0.0757272 # DEPENDENCYPART_SIBL
(27,5),(27,25),-0.0757272 # DEPENDENCYPART_SIBL
(27,5),(27,26),0.000419126 # DEPENDENCYPART_SIBL
(27,5),(27,28),0.0127208 # DEPENDENCYPART_SIBL
(27,5),(27,29),-0.0699033 # DEPENDENCYPART_SIBL
(27,6),(27,7),-0.00488496 # DEPENDENCYPART_SIBL
(27,6),(27,8),-0.00488496 # DEPENDENCYPART_SIBL
(27,6),(27,9),0.146855 # DEPENDENCYPART_SIBL
(27,6),(27,11),-0.00488496 # DEPENDENCYPART_SIBL
(27,6),(27,13),-0.00488496 # DEPENDENCYPART_SIBL
(27,6),(27,15),-0.0399761 # DEPENDENCYPART_SIBL
(27,6),(27,17),-0.0101486 # DEPENDENCYPART_SIBL
(27,6),(27,18),-0.00582117 # DEPENDENCYPART_SIBL
(27,6),(27,20),-0.00488496 # DEPENDENCYPART_SIBL
(27,6),(27,21),-0.143273 # DEPENDENCYPART_SIBL
(27,6),(27,22),-0.00488496 # DEPENDENCYPART_SIBL
(27,6),(27,23),-0.00488496 # DEPENDENCYPART_SIBL
(27,6),(27,24),-0.0764441 # DEPENDENCYPART_SIBL
(27,6),(27,25),-0.0764441 # DEPENDENCYPART_SIBL
(27,6),(27,26),-0.00488496 # DEPENDENCYPART_SIBL
(27,6),(27,28),0.0122591 # DEPENDENCYPART_SIBL
(27,6),(27,29),-0.070088 # DEPENDENCYPART_SIBL
(27,7),(27,8),0.0108336 # DEPENDENCYPART_SIBL
(27,7),(27,9),0.153099 # DEPENDENCYPART_SIBL
(27,7),(27,11),0.0108336 # DEPENDENCYPART_SIBL
(27,7),(27,13),0.0108336 # DEPENDENCYPART_SIBL
(27,7),(27,15),-0.0242575 # DEPENDENCYPART_SIBL
(27,7),(27,17),0.00557 # DEPENDENCYPART_SIBL
(27,7),(27,18),0.00989741 # DEPENDENCYPART_SIBL
(27,7),(27,20),0.0108336 # DEPENDENCYPART_SIBL
(27,7),(27,21),-0.136991 # DEPENDENCYPART_SIBL
(27,7),(27,22),0.0108336 # DEPENDENCYPART_SIBL
(27,7),(27,23),0.0108336 # DEPENDENCYPART_SIBL
(27,7),(27,24),-0.07014 # DEPENDENCYPART_SIBL
(27,7),(27,25),-0.07014 # DEPENDENCYPART_SIBL
(27,7),(27,26),0.0108336 # DEPENDENCYPART_SIBL
(27,7),(27,28),0.0127208 # DEPENDENCYPART_SIBL
(27,7),(27,29),-0.0699033 # DEPENDENCYPART_SIBL
(27,8),(27,9),0.153099 # DEPENDENCYPART_SIBL
(27,8),(27,11),0.0108336 # DEPENDENCYPART_SIBL
(27,8),(27,13),0.0108336 # DEPENDENCYPART_SIBL
(27,8),(27,15),-0.0242575 # DEPENDENCYPART_SIBL
(27,8),(27,17),0.00557 # DEPENDENCYPART_SIBL
(27,8),(27,18),0.00989741 # DEPENDENCYPART_SIBL
(27,8),(27,20),0.0108336 # DEPENDENCYPART_SIBL
(27,8),(27,21),-0.136991 # DEPENDENCYPART_SIBL
(27,8),(27,22),0.0108336 # DEPENDENCYPART_SIBL
(27,8),(27,23),0.0108336 # DEPENDENCYPART_SIBL
(27,8),(27,24),-0.07014 # DEPENDENCYPART_SIBL
(27,8),(27,25),-0.07014 # DEPENDENCYPART_SIBL
(27,8),(27,26),0.0108336 # DEPENDENCYPART_SIBL
(27,8),(27,28),0.0127208 # DEPENDENCYPART_SIBL
(27,8),(27,29),-0.0699033 # DEPENDENCYPART_SIBL
(27,9),(27,11),0.163389 # DEPENDENCYPART_SIBL
(27,9),(27,13),0.163389 # DEPENDENCYPART_SIBL
(27,9),(27,15),0.140227 # DEPENDENCYPART_SIBL
(27,9),(27,17),0.165195 # DEPENDENCYPART_SIBL
(27,9),(27,18),0.163147 # DEPENDENCYPART_SIBL
(27,9),(27,20),0.163389 # DEPENDENCYPART_SIBL
(27,9),(27,21),-0.163448 # DEPENDENCYPART_SIBL
(27,9),(27,22),0.163389 # DEPENDENCYPART_SIBL
(27,9),(27,23),0.163389 # DEPENDENCYPART_SIBL
(27,9),(27,24),-0.0815785 # DEPENDENCYPART_SIBL
(27,9),(27,25),-0.0815785 # DEPENDENCYPART_SIBL
(27,9),(27,26),0.163389 # DEPENDENCYPART_SIBL
(27,9),(27,28),0.0416329 # DEPENDENCYPART_SIBL
(27,9),(27,29),-0.0315249 # DEPENDENCYPART_SIBL
(27,11),(27,13),0.0108336 # DEPENDENCYPART_SIBL
(27,11),(27,15),-0.0242575 # DEPENDENCYPART_SIBL
(27,11),(27,17),0.00557 # DEPENDENCYPART_SIBL
(27,11),(27,18),0.00989741 # DEPENDENCYPART_SIBL
(27,11),(27,20),0.0108336 # DEPENDENCYPART_SIBL
(27,11),(27,21),-0.136991 # DEPENDENCYPART_SIBL
(27,11),(27,22),0.0108336 # DEPENDENCYPART_SIBL
(27,11),(27,23),0.0108336 # DEPENDENCYPART_SIBL
(27,11),(27,24),-0.07014 # DEPENDENCYPART_SIBL
(27,11),(27,25),-0.07014 # DEPENDENCYPART_SIBL
(27,11),(27,26),0.0108336 # DEPENDENCYPART_SIBL
(27,11),(27,28),0.0127208 # DEPENDENCYPART_SIBL
(27,11),(27,29),-0.0699033 # DEPENDENCYPART_SIBL
(27,13),(27,15),-0.0242575 # DEPENDENCYPART_SIBL
(27,13),(27,17),0.00557 # DEPENDENCYPART_SIBL
(27,13),(27,18),0.00989741 # DEPENDENCYPART_SIBL
(27,13),(27,20),0.0108336 # DEPENDENCYPART_SIBL
(27,13),(27,21),-0.136991 # DEPENDENCYPART_SIBL
(27,13),(27,22),0.0108336 # DEPENDENCYPART_SIBL
(27,13),(27,23),0.0108336 # DEPENDENCYPART_SIBL
(27,13),(27,24),-0.07014 # DEPENDENCYPART_SIBL
(27,13),(27,25),-0.07014 # DEPENDENCYPART_SIBL
(27,13),(27,26),0.0108336 # DEPENDENCYPART_SIBL
(27,13),(27,28),0.0127208 # DEPENDENCYPART_SIBL
(27,13),(27,29),-0.0699033 # DEPENDENCYPART_SIBL
(27,15),(27,17),0.0639788 # DEPENDENCYPART_SIBL
(27,15),(27,18),0.0683062 # DEPENDENCYPART_SIBL
(27,15),(27,20),0.0692424 # DEPENDENCYPART_SIBL
(27,15),(27,21),-0.11197 # DEPENDENCYPART_SIBL
(27,15),(27,22),0.0692424 # DEPENDENCYPART_SIBL
(27,15),(27,23),0.0692424 # DEPENDENCYPART_SIBL
(27,15),(27,24),-0.0591991 # DEPENDENCYPART_SIBL
(27,15),(27,25),-0.0591991 # DEPENDENCYPART_SIBL
(27,15),(27,26),0.0692424 # DEPENDENCYPART_SIBL
(27,15),(27,28),0.0113171 # DEPENDENCYPART_SIBL
(27,15),(27,29),-0.0703868 # DEPENDENCYPART_SIBL
(27,17),(27,18),0.00648717 # DEPENDENCYPART_SIBL
(27,17),(27,20),0.00742337 # DEPENDENCYPART_SIBL
(27,17),(27,21),-0.143617 # DEPENDENCYPART_SIBL
(27,17),(27,22),0.00742337 # DEPENDENCYPART_SIBL
(27,17),(27,23),0.00742337 # DEPENDENCYPART_SIBL
(27,17),(27,24),-0.0809534 # DEPENDENCYPART_SIBL
(27,17),(27,25),-0.0809534 # DEPENDENCYPART_SIBL
(27,17),(27,26),0.00742337 # DEPENDENCYPART_SIBL
(27,17),(27,28),0.00777997 # DEPENDENCYPART_SIBL
(27,17),(27,29),-0.0699347 # DEPENDENCYPART_SIBL
(27,18),(27,20),0.00736583 # DEPENDENCYPART_SIBL
(27,18),(27,21),-0.138759 # DEPENDENCYPART_SIBL
(27,18),(27,22),0.00736583 # DEPENDENCYPART_SIBL
(27,18),(27,23),0.00736583 # DEPENDENCYPART_SIBL
(27,18),(27,24),-0.071672 # DEPENDENCYPART_SIBL
(27,18),(27,25),-0.071672 # DEPENDENCYPART_SIBL
(27,18),(27,26),0.00736583 # DEPENDENCYPART_SIBL
(27,18),(27,28),0.0127208 # DEPENDENCYPART_SIBL
(27,18),(27,29),-0.0699033 # DEPENDENCYPART_SIBL
(27,20),(27,21),-0.136991 # DEPENDENCYPART_SIBL
(27,20),(27,22),0.0108336 # DEPENDENCYPART_SIBL
(27,20),(27,23),0.0108336 # DEPENDENCYPART_SIBL
(27,20),(27,24),-0.07014 # DEPENDENCYPART_SIBL
(27,20),(27,25),-0.07014 # DEPENDENCYPART_SIBL
(27,20),(27,26),0.0108336 # DEPENDENCYPART_SIBL
(27,20),(27,28),0.0127208 # DEPENDENCYPART_SIBL
(27,20),(27,29),-0.0699033 # DEPENDENCYPART_SIBL
(27,21),(27,22),-0.602103 # DEPENDENCYPART_SIBL
(27,21),(27,23),-0.602103 # DEPENDENCYPART_SIBL
(27,21),(27,24),-1.01726 # DEPENDENCYPART_SIBL
(27,21),(27,25),-1.01726 # DEPENDENCYPART_SIBL
(27,21),(27,26),-0.602103 # DEPENDENCYPART_SIBL
(27,21),(27,28),-0.0102753 # DEPENDENCYPART_SIBL
(27,21),(27,29),-0.108986 # DEPENDENCYPART_SIBL
(27,22),(27,23),0.0108336 # DEPENDENCYPART_SIBL
(27,22),(27,24),-0.07014 # DEPENDENCYPART_SIBL
(27,22),(27,25),-0.07014 # DEPENDENCYPART_SIBL
(27,22),(27,26),0.0108336 # DEPENDENCYPART_SIBL
(27,22),(27,28),0.0127208 # DEPENDENCYPART_SIBL
(27,22),(27,29),-0.0699033 # DEPENDENCYPART_SIBL
(27,23),(27,24),-0.07014 # DEPENDENCYPART_SIBL
(27,23),(27,25),-0.07014 # DEPENDENCYPART_SIBL
(27,23),(27,26),0.0108336 # DEPENDENCYPART_SIBL
(27,23),(27,28),0.0127208 # DEPENDENCYPART_SIBL
(27,23),(27,29),-0.0699033 # DEPENDENCYPART_SIBL
(27,24),(27,25),-1.19892 # DEPENDENCYPART_SIBL
(27,24),(27,26),-0.563221 # DEPENDENCYPART_SIBL
(27,24),(27,28),0.000459917 # DEPENDENCYPART_SIBL
(27,24),(27,29),-0.116215 # DEPENDENCYPART_SIBL
(27,25),(27,26),-0.563221 # DEPENDENCYPART_SIBL
(27,25),(27,28),0.000459917 # DEPENDENCYPART_SIBL
(27,25),(27,29),-0.116215 # DEPENDENCYPART_SIBL
(27,26),(27,28),0.0127208 # DEPENDENCYPART_SIBL
(27,26),(27,29),-0.0699033 # DEPENDENCYPART_SIBL
(27,28),(27,29),-0.0253089 # DEPENDENCYPART_SIBL
(28,5),(28,6),-0.0198261 # DEPENDENCYPART_SIBL
(28,5),(28,8),-0.0195938 # DEPENDENCYPART_SIBL
(28,5),(28,12),-0.0697317 # DEPENDENCYPART_SIBL
(28,5),(28,13),-0.0195938 # DEPENDENCYPART_SIBL
(28,5),(28,14),-0.0697317 # DEPENDENCYPART_SIBL
(28,5),(28,15),-0.0117319 # DEPENDENCYPART_SIBL
(28,5),(28,16),-0.0711598 # DEPENDENCYPART_SIBL
(28,5),(28,17),-0.0425086 # DEPENDENCYPART_SIBL
(28,5),(28,18),-0.0176502 # DEPENDENCYPART_SIBL
(28,5),(28,20),-0.0195938 # DEPENDENCYPART_SIBL
(28,5),(28,22),-0.0195938 # DEPENDENCYPART_SIBL
(28,5),(28,23),-0.0195938 # DEPENDENCYPART_SIBL
(28,5),(28,27),0.00998598 # DEPENDENCYPART_SIBL
(28,5),(28,29),-0.0536802 # DEPENDENCYPART_SIBL
(28,6),(28,8),-0.015231 # DEPENDENCYPART_SIBL
(28,6),(28,12),-0.0673369 # DEPENDENCYPART_SIBL
(28,6),(28,13),-0.015231 # DEPENDENCYPART_SIBL
(28,6),(28,14),-0.0673369 # DEPENDENCYPART_SIBL
(28,6),(28,15),-0.0073691 # DEPENDENCYPART_SIBL
(28,6),(28,16),-0.068765 # DEPENDENCYPART_SIBL
(28,6),(28,17),-0.0381458 # DEPENDENCYPART_SIBL
(28,6),(28,18),-0.0132874 # DEPENDENCYPART_SIBL
(28,6),(28,20),-0.015231 # DEPENDENCYPART_SIBL
(28,6),(28,22),-0.015231 # DEPENDENCYPART_SIBL
(28,6),(28,23),-0.015231 # DEPENDENCYPART_SIBL
(28,6),(28,27),0.0130232 # DEPENDENCYPART_SIBL
(28,6),(28,29),-0.0536802 # DEPENDENCYPART_SIBL
(28,8),(28,12),-0.0662605 # DEPENDENCYPART_SIBL
(28,8),(28,13),-0.0107224 # DEPENDENCYPART_SIBL
(28,8),(28,14),-0.0662605 # DEPENDENCYPART_SIBL
(28,8),(28,15),-0.00286049 # DEPENDENCYPART_SIBL
(28,8),(28,16),-0.0676886 # DEPENDENCYPART_SIBL
(28,8),(28,17),-0.0336372 # DEPENDENCYPART_SIBL
(28,8),(28,18),-0.00877883 # DEPENDENCYPART_SIBL
(28,8),(28,20),-0.0107224 # DEPENDENCYPART_SIBL
(28,8),(28,22),-0.0107224 # DEPENDENCYPART_SIBL
(28,8),(28,23),-0.0107224 # DEPENDENCYPART_SIBL
(28,8),(28,27),0.0141294 # DEPENDENCYPART_SIBL
(28,8),(28,29),-0.0536802 # DEPENDENCYPART_SIBL
(28,12),(28,13),-0.0168055 # DEPENDENCYPART_SIBL
(28,12),(28,14),-0.0684265 # DEPENDENCYPART_SIBL
(28,12),(28,15),-0.0137946 # DEPENDENCYPART_SIBL
(28,12),(28,16),-0.0266758 # DEPENDENCYPART_SIBL
(28,12),(28,17),-0.0274449 # DEPENDENCYPART_SIBL
(28,12),(28,18),-0.00735184 # DEPENDENCYPART_SIBL
(28,12),(28,20),-0.0168055 # DEPENDENCYPART_SIBL
(28,12),(28,22),-0.0168055 # DEPENDENCYPART_SIBL
(28,12),(28,23),-0.0168055 # DEPENDENCYPART_SIBL
(28,12),(28,27),-0.166785 # DEPENDENCYPART_SIBL
(28,12),(28,29),-0.0373927 # DEPENDENCYPART_SIBL
(28,13),(28,14),-0.0662605 # DEPENDENCYPART_SIBL
(28,13),(28,15),-0.00286049 # DEPENDENCYPART_SIBL
(28,13),(28,16),-0.0676886 # DEPENDENCYPART_SIBL
(28,13),(28,17),-0.0336372 # DEPENDENCYPART_SIBL
(28,13),(28,18),-0.00877883 # DEPENDENCYPART_SIBL
(28,13),(28,20),-0.0107224 # DEPENDENCYPART_SIBL
(28,13),(28,22),-0.0107224 # DEPENDENCYPART_SIBL
(28,13),(28,23),-0.0107224 # DEPENDENCYPART_SIBL
(28,13),(28,27),0.0141294 # DEPENDENCYPART_SIBL
(28,13),(28,29),-0.0536802 # DEPENDENCYPART_SIBL
(28,14),(28,15),-0.0137946 # DEPENDENCYPART_SIBL
(28,14),(28,16),-0.0266758 # DEPENDENCYPART_SIBL
(28,14),(28,17),-0.0274449 # DEPENDENCYPART_SIBL
(28,14),(28,18),-0.00735184 # DEPENDENCYPART_SIBL
(28,14),(28,20),-0.0168055 # DEPENDENCYPART_SIBL
(28,14),(28,22),-0.0168055 # DEPENDENCYPART_SIBL
(28,14),(28,23),-0.0168055 # DEPENDENCYPART_SIBL
(28,14),(28,27),-0.166785 # DEPENDENCYPART_SIBL
(28,14),(28,29),-0.0373927 # DEPENDENCYPART_SIBL
(28,15),(28,16),-0.0343597 # DEPENDENCYPART_SIBL
(28,15),(28,17),0.02811 # DEPENDENCYPART_SIBL
(28,15),(28,18),0.0529684 # DEPENDENCYPART_SIBL
(28,15),(28,20),0.0510248 # DEPENDENCYPART_SIBL
(28,15),(28,22),0.0510248 # DEPENDENCYPART_SIBL
(28,15),(28,23),0.0510248 # DEPENDENCYPART_SIBL
(28,15),(28,27),0.0928692 # DEPENDENCYPART_SIBL
(28,15),(28,29),-0.0545613 # DEPENDENCYPART_SIBL
(28,16),(28,17),-0.0088173 # DEPENDENCYPART_SIBL
(28,16),(28,18),0.0178884 # DEPENDENCYPART_SIBL
(28,16),(28,20),0.00183027 # DEPENDENCYPART_SIBL
(28,16),(28,22),0.00183027 # DEPENDENCYPART_SIBL
(28,16),(28,23),0.00183027 # DEPENDENCYPART_SIBL
(28,16),(28,27),-0.244234 # DEPENDENCYPART_SIBL
(28,16),(28,29),-0.0569933 # DEPENDENCYPART_SIBL
(28,17),(28,18),-0.0139552 # DEPENDENCYPART_SIBL
(28,17),(28,20),-0.0158988 # DEPENDENCYPART_SIBL
(28,17),(28,22),-0.0158988 # DEPENDENCYPART_SIBL
(28,17),(28,23),-0.0158988 # DEPENDENCYPART_SIBL
(28,17),(28,27),-0.00655425 # DEPENDENCYPART_SIBL
(28,17),(28,29),-0.0585839 # DEPENDENCYPART_SIBL
(28,18),(28,20),-0.0141902 # DEPENDENCYPART_SIBL
(28,18),(28,22),-0.0141902 # DEPENDENCYPART_SIBL
(28,18),(28,23),-0.0141902 # DEPENDENCYPART_SIBL
(28,18),(28,27),0.012595 # DEPENDENCYPART_SIBL
(28,18),(28,29),-0.0536802 # DEPENDENCYPART_SIBL
(28,20),(28,22),-0.0107224 # DEPENDENCYPART_SIBL
(28,20),(28,23),-0.0107224 # DEPENDENCYPART_SIBL
(28,20),(28,27),0.0141294 # DEPENDENCYPART_SIBL
(28,20),(28,29),-0.0536802 # DEPENDENCYPART_SIBL
(28,22),(28,23),-0.0107224 # DEPENDENCYPART_SIBL
(28,22),(28,27),0.0141294 # DEPENDENCYPART_SIBL
(28,22),(28,29),-0.0536802 # DEPENDENCYPART_SIBL
(28,23),(28,27),0.0141294 # DEPENDENCYPART_SIBL
(28,23),(28,29),-0.0536802 # DEPENDENCYPART_SIBL
(28,27),(28,29),-0.0470434 # DEPENDENCYPART_SIBL
(29,9),(29,20),0.163389 # DEPENDENCYPART_SIBL
(29,9),(29,22),0.163389 # DEPENDENCYPART_SIBL
(29,9),(29,23),0.163389 # DEPENDENCYPART_SIBL
(29,9),(29,24),-0.0815785 # DEPENDENCYPART_SIBL
(29,9),(29,25),-0.0815785 # DEPENDENCYPART_SIBL
(29,9),(29,26),0.163389 # DEPENDENCYPART_SIBL
(29,9),(29,27),-0.0815785 # DEPENDENCYPART_SIBL
(29,9),(29,28),0.155751 # DEPENDENCYPART_SIBL
(29,9),(29,30),0.0218438 # DEPENDENCYPART_SIBL
(29,20),(29,22),0.0108336 # DEPENDENCYPART_SIBL
(29,20),(29,23),0.0108336 # DEPENDENCYPART_SIBL
(29,20),(29,24),-0.07014 # DEPENDENCYPART_SIBL
(29,20),(29,25),-0.07014 # DEPENDENCYPART_SIBL
(29,20),(29,26),0.0108336 # DEPENDENCYPART_SIBL
(29,20),(29,27),-0.07014 # DEPENDENCYPART_SIBL
(29,20),(29,28),-0.0050084 # DEPENDENCYPART_SIBL
(29,20),(29,30),0.00661663 # DEPENDENCYPART_SIBL
(29,22),(29,23),0.0108336 # DEPENDENCYPART_SIBL
(29,22),(29,24),-0.07014 # DEPENDENCYPART_SIBL
(29,22),(29,25),-0.07014 # DEPENDENCYPART_SIBL
(29,22),(29,26),0.0108336 # DEPENDENCYPART_SIBL
(29,22),(29,27),-0.07014 # DEPENDENCYPART_SIBL
(29,22),(29,28),-0.0050084 # DEPENDENCYPART_SIBL
(29,22),(29,30),0.00661663 # DEPENDENCYPART_SIBL
(29,23),(29,24),-0.07014 # DEPENDENCYPART_SIBL
(29,23),(29,25),-0.07014 # DEPENDENCYPART_SIBL
(29,23),(29,26),0.0108336 # DEPENDENCYPART_SIBL
(29,23),(29,27),-0.07014 # DEPENDENCYPART_SIBL
(29,23),(29,28),-0.0050084 # DEPENDENCYPART_SIBL
(29,23),(29,30),0.00661663 # DEPENDENCYPART_SIBL
(29,24),(29,25),-1.19892 # DEPENDENCYPART_SIBL
(29,24),(29,26),-0.563221 # DEPENDENCYPART_SIBL
(29,24),(29,27),-1.19892 # DEPENDENCYPART_SIBL
(29,24),(29,28),-0.57126 # DEPENDENCYPART_SIBL
(29,24),(29,30),-0.0433185 # DEPENDENCYPART_SIBL
(29,25),(29,26),-0.563221 # DEPENDENCYPART_SIBL
(29,25),(29,27),-1.19892 # DEPENDENCYPART_SIBL
(29,25),(29,28),-0.57126 # DEPENDENCYPART_SIBL
(29,25),(29,30),-0.0433185 # DEPENDENCYPART_SIBL
(29,26),(29,27),-0.07014 # DEPENDENCYPART_SIBL
(29,26),(29,28),-0.0050084 # DEPENDENCYPART_SIBL
(29,26),(29,30),0.00661663 # DEPENDENCYPART_SIBL
(29,27),(29,28),-0.57126 # DEPENDENCYPART_SIBL
(29,27),(29,30),-0.0433185 # DEPENDENCYPART_SIBL
(29,28),(29,30),0.00661663 # DEPENDENCYPART_SIBL
(30,1),(30,2),-0.0664361 # DEPENDENCYPART_SIBL
(30,1),(30,3),-0.0734578 # DEPENDENCYPART_SIBL
(30,1),(30,4),-0.160476 # DEPENDENCYPART_SIBL
(30,1),(30,5),-0.0733296 # DEPENDENCYPART_SIBL
(30,1),(30,6),-0.0740263 # DEPENDENCYPART_SIBL
(30,1),(30,7),-0.0733296 # DEPENDENCYPART_SIBL
(30,1),(30,8),-0.0733296 # DEPENDENCYPART_SIBL
(30,1),(30,9),0.0120165 # DEPENDENCYPART_SIBL
(30,1),(30,10),-0.128074 # DEPENDENCYPART_SIBL
(30,1),(30,11),-0.0733296 # DEPENDENCYPART_SIBL
(30,1),(30,12),-0.115575 # DEPENDENCYPART_SIBL
(30,1),(30,13),-0.0733296 # DEPENDENCYPART_SIBL
(30,1),(30,14),-0.115575 # DEPENDENCYPART_SIBL
(30,1),(30,15),-0.102194 # DEPENDENCYPART_SIBL
(30,1),(30,16),-0.160476 # DEPENDENCYPART_SIBL
(30,1),(30,17),-0.0785853 # DEPENDENCYPART_SIBL
(30,1),(30,18),-0.0737825 # DEPENDENCYPART_SIBL
(30,1),(30,19),-0.0503072 # DEPENDENCYPART_SIBL
(30,1),(30,20),-0.0733296 # DEPENDENCYPART_SIBL
(30,1),(30,21),-0.0234169 # DEPENDENCYPART_SIBL
(30,1),(30,22),-0.0733296 # DEPENDENCYPART_SIBL
(30,1),(30,23),-0.0733296 # DEPENDENCYPART_SIBL
(30,1),(30,24),0.007583 # DEPENDENCYPART_SIBL
(30,1),(30,25),0.007583 # DEPENDENCYPART_SIBL
(30,1),(30,26),-0.0733296 # DEPENDENCYPART_SIBL
(30,1),(30,27),0.007583 # DEPENDENCYPART_SIBL
(30,1),(30,28),-0.0891716 # DEPENDENCYPART_SIBL
(30,1),(30,29),0.007583 # DEPENDENCYPART_SIBL
(30,2),(30,3),-0.113037 # DEPENDENCYPART_SIBL
(30,2),(30,4),-0.172394 # DEPENDENCYPART_SIBL
(30,2),(30,5),-0.112781 # DEPENDENCYPART_SIBL
(30,2),(30,6),-0.113478 # DEPENDENCYPART_SIBL
(30,2),(30,7),-0.112781 # DEPENDENCYPART_SIBL
(30,2),(30,8),-0.112781 # DEPENDENCYPART_SIBL
(30,2),(30,9),0.00146839 # DEPENDENCYPART_SIBL
(30,2),(30,10),-0.138622 # DEPENDENCYPART_SIBL
(30,2),(30,11),-0.112781 # DEPENDENCYPART_SIBL
(30,2),(30,12),-0.127121 # DEPENDENCYPART_SIBL
(30,2),(30,13),-0.112781 # DEPENDENCYPART_SIBL
(30,2),(30,14),-0.127121 # DEPENDENCYPART_SIBL
(30,2),(30,15),-0.141646 # DEPENDENCYPART_SIBL
(30,2),(30,16),-0.172394 # DEPENDENCYPART_SIBL
(30,2),(30,17),-0.118037 # DEPENDENCYPART_SIBL
(30,2),(30,18),-0.113234 # DEPENDENCYPART_SIBL
(30,2),(30,19),-0.062116 # DEPENDENCYPART_SIBL
(30,2),(30,20),-0.112781 # DEPENDENCYPART_SIBL
(30,2),(30,21),-0.0572776 # DEPENDENCYPART_SIBL
(30,2),(30,22),-0.112781 # DEPENDENCYPART_SIBL
(30,2),(30,23),-0.112781 # DEPENDENCYPART_SIBL
(30,2),(30,24),-0.0330177 # DEPENDENCYPART_SIBL
(30,2),(30,25),-0.0330177 # DEPENDENCYPART_SIBL
(30,2),(30,26),-0.112781 # DEPENDENCYPART_SIBL
(30,2),(30,27),-0.0330177 # DEPENDENCYPART_SIBL
(30,2),(30,28),-0.128623 # DEPENDENCYPART_SIBL
(30,2),(30,29),-0.0330177 # DEPENDENCYPART_SIBL
(30,3),(30,4),-0.157819 # DEPENDENCYPART_SIBL
