# _root_ Cadı onu _ ziyarete_geldiğinde , aşağıdan " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye seslenirmiş .
#goldHeads=3,3,4,21,0,21,0,9,10,13,0,13,18,16,16,17,13,20,0,21,22,0,
#predictedHeads=3,3,4,5,0,7,0,16,0,16,0,13,16,16,16,17,21,0,0,21,22,0,
(12,9),(12,22),-0.0642176 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0661819 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.00662862 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0127734 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0982638 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.0127734 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.00941732 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.023584 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.0229525 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.0230729 # DEPENDENCYPART_SIBL
(12,10),(12,21),0.00662862 # DEPENDENCYPART_SIBL
(12,10),(12,22),-0.0505711 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0588872 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0534234 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.133275 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0534234 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0550247 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.0901633 # DEPENDENCYPART_SIBL
(12,11),(12,19),-0.0875831 # DEPENDENCYPART_SIBL
(12,11),(12,20),-0.0598821 # DEPENDENCYPART_SIBL
(12,11),(12,21),-0.0588872 # DEPENDENCYPART_SIBL
(12,11),(12,22),-0.135294 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.024303 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0383598 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.024303 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.024303 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.0487804 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.0487898 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.0394316 # DEPENDENCYPART_SIBL
(12,13),(12,21),-0.0308301 # DEPENDENCYPART_SIBL
(12,13),(12,22),-0.0648523 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0227517 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.00121166 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.00121166 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.0215093 # DEPENDENCYPART_SIBL
(12,14),(12,19),0.0375491 # DEPENDENCYPART_SIBL
(12,14),(12,20),0.00817693 # DEPENDENCYPART_SIBL
(12,14),(12,21),-0.00562024 # DEPENDENCYPART_SIBL
(12,14),(12,22),-0.0049745 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0562402 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.0562402 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.0688071 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.0688165 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.0557502 # DEPENDENCYPART_SIBL
(12,15),(12,21),-0.051175 # DEPENDENCYPART_SIBL
(12,15),(12,22),-0.0859242 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.00121166 # DEPENDENCYPART_SIBL
(12,16),(12,18),0.0215093 # DEPENDENCYPART_SIBL
(12,16),(12,19),0.0375491 # DEPENDENCYPART_SIBL
(12,16),(12,20),0.00817693 # DEPENDENCYPART_SIBL
(12,16),(12,21),-0.00562024 # DEPENDENCYPART_SIBL
(12,16),(12,22),-0.0049745 # DEPENDENCYPART_SIBL
(12,17),(12,18),0.0198107 # DEPENDENCYPART_SIBL
(12,17),(12,19),0.0358505 # DEPENDENCYPART_SIBL
(12,17),(12,20),0.00682344 # DEPENDENCYPART_SIBL
(12,17),(12,21),-0.00933562 # DEPENDENCYPART_SIBL
(12,17),(12,22),-0.0066731 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.0201552 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.0448241 # DEPENDENCYPART_SIBL
(12,18),(12,21),-0.0404676 # DEPENDENCYPART_SIBL
(12,18),(12,22),-0.100557 # DEPENDENCYPART_SIBL
(12,19),(12,20),-0.0448061 # DEPENDENCYPART_SIBL
(12,19),(12,21),-0.0411032 # DEPENDENCYPART_SIBL
(12,19),(12,22),0.107982 # DEPENDENCYPART_SIBL
(12,20),(12,21),-0.0219227 # DEPENDENCYPART_SIBL
(12,20),(12,22),-0.0363448 # DEPENDENCYPART_SIBL
(12,21),(12,22),-0.0648523 # DEPENDENCYPART_SIBL
(13,1),(13,2),0.0189302 # DEPENDENCYPART_SIBL
(13,1),(13,3),0.0313194 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.0754799 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.158267 # DEPENDENCYPART_SIBL
(13,1),(13,6),-0.0754799 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.113367 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.0754799 # DEPENDENCYPART_SIBL
(13,1),(13,9),-0.158267 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.0754799 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.131056 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0313194 # DEPENDENCYPART_SIBL
(13,1),(13,14),0.000445337 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.103886 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.000445337 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.00291077 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.046568 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.0453965 # DEPENDENCYPART_SIBL
(13,1),(13,20),0.0528731 # DEPENDENCYPART_SIBL
(13,1),(13,21),-0.0074157 # DEPENDENCYPART_SIBL
(13,1),(13,22),-0.0717738 # DEPENDENCYPART_SIBL
(13,2),(13,3),0.0486867 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.0486966 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.200534 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.0486966 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.145567 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.0486966 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.200534 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.0486966 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.128261 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.0486867 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0518687 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0557222 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0518687 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.053108 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.091058 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.0896161 # DEPENDENCYPART_SIBL
(13,2),(13,20),-0.025037 # DEPENDENCYPART_SIBL
(13,2),(13,21),-0.00639493 # DEPENDENCYPART_SIBL
(13,2),(13,22),-0.117803 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.553839 # DEPENDENCYPART_SIBL
(13,3),(13,5),-0.444497 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.553839 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.423741 # DEPENDENCYPART_SIBL
(13,3),(13,8),-0.553839 # DEPENDENCYPART_SIBL
(13,3),(13,9),-0.444497 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.553839 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.418045 # DEPENDENCYPART_SIBL
(13,3),(13,12),-1.03137 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.00336382 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.0575514 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.00335948 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.00459883 # DEPENDENCYPART_SIBL
(13,3),(13,18),-0.0997897 # DEPENDENCYPART_SIBL
(13,3),(13,19),-0.0969435 # DEPENDENCYPART_SIBL
(13,3),(13,20),-0.0532198 # DEPENDENCYPART_SIBL
(13,3),(13,21),-0.0410904 # DEPENDENCYPART_SIBL
(13,3),(13,22),-0.123219 # DEPENDENCYPART_SIBL
(13,4),(13,5),-0.157828 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.0706418 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.112927 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.0706418 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.157828 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.0706418 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.130616 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.0317593 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.00183869 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.103584 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.00183869 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.00151742 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.0462662 # DEPENDENCYPART_SIBL
(13,4),(13,19),-0.0450947 # DEPENDENCYPART_SIBL
(13,4),(13,20),0.0531748 # DEPENDENCYPART_SIBL
(13,4),(13,21),-0.0071139 # DEPENDENCYPART_SIBL
(13,4),(13,22),-0.071472 # DEPENDENCYPART_SIBL
(13,5),(13,6),0.0214278 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.227745 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.0214278 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.241759 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.0214278 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.180149 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.13294 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.00827072 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.134413 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.00827072 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.0102339 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.00719234 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.00290864 # DEPENDENCYPART_SIBL
(13,5),(13,20),-0.00402826 # DEPENDENCYPART_SIBL
(13,5),(13,21),-0.0186727 # DEPENDENCYPART_SIBL
(13,5),(13,22),-0.0680033 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.112927 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.0706418 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.157828 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.0706418 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.130616 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.0317593 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.00183869 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.103584 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.00183869 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.00151742 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.0462662 # DEPENDENCYPART_SIBL
(13,6),(13,19),-0.0450947 # DEPENDENCYPART_SIBL
(13,6),(13,20),0.0531748 # DEPENDENCYPART_SIBL
(13,6),(13,21),-0.0071139 # DEPENDENCYPART_SIBL
(13,6),(13,22),-0.071472 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.133544 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.214662 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.133544 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.1886 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.209357 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.00153205 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.0956634 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.00153205 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.00313333 # DEPENDENCYPART_SIBL
(13,7),(13,18),-0.0453109 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.0424607 # DEPENDENCYPART_SIBL
(13,7),(13,20),-0.00393329 # DEPENDENCYPART_SIBL
(13,7),(13,21),-0.0186157 # DEPENDENCYPART_SIBL
(13,7),(13,22),-0.0880956 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.157828 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.0706418 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.130616 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0317593 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.00183869 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.103584 # DEPENDENCYPART_SIBL
(13,8),(13,16),0.00183869 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.00151742 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.0462662 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0450947 # DEPENDENCYPART_SIBL
(13,8),(13,20),0.0531748 # DEPENDENCYPART_SIBL
(13,8),(13,21),-0.0071139 # DEPENDENCYPART_SIBL
(13,8),(13,22),-0.071472 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0214278 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.180149 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.13294 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.00827072 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.134413 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.00827072 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.0102339 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.00719234 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.00290864 # DEPENDENCYPART_SIBL
(13,9),(13,20),-0.00402826 # DEPENDENCYPART_SIBL
(13,9),(13,21),-0.0186727 # DEPENDENCYPART_SIBL
(13,9),(13,22),-0.0680033 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.130616 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0317593 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.00183869 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.103584 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.00183869 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.00151742 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.0462662 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.0450947 # DEPENDENCYPART_SIBL
(13,10),(13,20),0.0531748 # DEPENDENCYPART_SIBL
(13,10),(13,21),-0.0071139 # DEPENDENCYPART_SIBL
(13,10),(13,22),-0.071472 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.145336 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0534565 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.130753 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0534565 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0550578 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0932611 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0904109 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.0390246 # DEPENDENCYPART_SIBL
(13,11),(13,21),-0.0565243 # DEPENDENCYPART_SIBL
(13,11),(13,22),-0.13604 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.00336382 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0575514 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.00335948 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.00459883 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.0997897 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0969435 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.0532198 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.0410904 # DEPENDENCYPART_SIBL
(13,12),(13,22),-0.123219 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0295629 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0572542 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0572542 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.0172613 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.033301 # DEPENDENCYPART_SIBL
(13,14),(13,20),0.000551155 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.0123033 # DEPENDENCYPART_SIBL
(13,14),(13,22),-0.00773257 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0842997 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0842997 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0655354 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0655448 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.0539275 # DEPENDENCYPART_SIBL
(13,15),(13,21),-0.0494219 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.0819075 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0572542 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.0172613 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.033301 # DEPENDENCYPART_SIBL
(13,16),(13,20),0.000551155 # DEPENDENCYPART_SIBL
(13,16),(13,21),-0.0123033 # DEPENDENCYPART_SIBL
(13,16),(13,22),-0.00773257 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.0155627 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.0316024 # DEPENDENCYPART_SIBL
(13,17),(13,20),-0.000802338 # DEPENDENCYPART_SIBL
(13,17),(13,21),-0.0160187 # DEPENDENCYPART_SIBL
(13,17),(13,22),-0.00943116 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.0158248 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.0418495 # DEPENDENCYPART_SIBL
(13,18),(13,21),-0.0375653 # DEPENDENCYPART_SIBL
(13,18),(13,22),-0.0954817 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.0418316 # DEPENDENCYPART_SIBL
(13,19),(13,21),-0.0382009 # DEPENDENCYPART_SIBL
(13,19),(13,22),0.113058 # DEPENDENCYPART_SIBL
(13,20),(13,21),-0.0200956 # DEPENDENCYPART_SIBL
(13,20),(13,22),-0.0323942 # DEPENDENCYPART_SIBL
(13,21),(13,22),-0.0599024 # DEPENDENCYPART_SIBL
(14,2),(14,4),0.0299501 # DEPENDENCYPART_SIBL
(14,2),(14,10),0.0299501 # DEPENDENCYPART_SIBL
(14,2),(14,11),-0.0157583 # DEPENDENCYPART_SIBL
(14,2),(14,12),0.00211819 # DEPENDENCYPART_SIBL
(14,2),(14,13),0.104407 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.0267145 # DEPENDENCYPART_SIBL
(14,2),(14,16),0.00466126 # DEPENDENCYPART_SIBL
(14,2),(14,20),-0.0336528 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.0070149 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.0612677 # DEPENDENCYPART_SIBL
(14,4),(14,12),0.0269906 # DEPENDENCYPART_SIBL
(14,4),(14,13),0.187315 # DEPENDENCYPART_SIBL
(14,4),(14,15),-0.0429459 # DEPENDENCYPART_SIBL
(14,4),(14,16),-0.0209545 # DEPENDENCYPART_SIBL
(14,4),(14,20),-0.0101744 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.0612677 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.0269906 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.187315 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.0429459 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0209545 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.0101744 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.130953 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.108748 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0132882 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.021907 # DEPENDENCYPART_SIBL
(14,11),(14,20),-0.0100556 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.359898 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0478537 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0257661 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.0470542 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0407937 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0411421 # DEPENDENCYPART_SIBL
(14,13),(14,20),-0.00806988 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.032239 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.0289017 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.000768753 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.0526121 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.0969413 # DEPENDENCYPART_SIBL
(15,10),(15,13),0.33672 # DEPENDENCYPART_SIBL
(15,10),(15,14),0.0892977 # DEPENDENCYPART_SIBL
(15,10),(15,17),0.0672685 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.397984 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.00856841 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0616974 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.0086648 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.425317 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.300661 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0414907 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.149992 # DEPENDENCYPART_SIBL
(15,13),(15,17),-8.76564e-05 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0669025 # DEPENDENCYPART_SIBL
(16,1),(16,2),0.0651516 # DEPENDENCYPART_SIBL
(16,1),(16,5),-0.0510024 # DEPENDENCYPART_SIBL
(16,1),(16,6),0.000137881 # DEPENDENCYPART_SIBL
(16,1),(16,7),-0.0495743 # DEPENDENCYPART_SIBL
(16,1),(16,8),0.000137881 # DEPENDENCYPART_SIBL
(16,1),(16,9),-0.0510024 # DEPENDENCYPART_SIBL
(16,1),(16,10),0.000137881 # DEPENDENCYPART_SIBL
(16,1),(16,11),-0.0466322 # DEPENDENCYPART_SIBL
(16,1),(16,12),0.0634249 # DEPENDENCYPART_SIBL
(16,1),(16,13),0.201951 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.0165117 # DEPENDENCYPART_SIBL
(16,1),(16,15),0.0033776 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.0227999 # DEPENDENCYPART_SIBL
(16,2),(16,5),-0.0240966 # DEPENDENCYPART_SIBL
(16,2),(16,6),0.0298156 # DEPENDENCYPART_SIBL
(16,2),(16,7),-0.0335341 # DEPENDENCYPART_SIBL
(16,2),(16,8),0.0298156 # DEPENDENCYPART_SIBL
(16,2),(16,9),-0.0240966 # DEPENDENCYPART_SIBL
(16,2),(16,10),0.0298156 # DEPENDENCYPART_SIBL
(16,2),(16,11),-0.0157583 # DEPENDENCYPART_SIBL
(16,2),(16,12),0.0129337 # DEPENDENCYPART_SIBL
(16,2),(16,13),0.104407 # DEPENDENCYPART_SIBL
(16,2),(16,14),0.0241034 # DEPENDENCYPART_SIBL
(16,2),(16,15),0.0011708 # DEPENDENCYPART_SIBL
(16,2),(16,17),0.00466397 # DEPENDENCYPART_SIBL
(16,5),(16,6),0.00635719 # DEPENDENCYPART_SIBL
(16,5),(16,7),-0.121176 # DEPENDENCYPART_SIBL
(16,5),(16,8),0.00635719 # DEPENDENCYPART_SIBL
(16,5),(16,9),-0.0839136 # DEPENDENCYPART_SIBL
(16,5),(16,10),0.00635719 # DEPENDENCYPART_SIBL
(16,5),(16,11),-0.0870083 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.217342 # DEPENDENCYPART_SIBL
(16,5),(16,13),0.0974612 # DEPENDENCYPART_SIBL
(16,5),(16,14),0.000708968 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.282722 # DEPENDENCYPART_SIBL
(16,5),(16,17),0.0419105 # DEPENDENCYPART_SIBL
(16,6),(16,7),-0.0532316 # DEPENDENCYPART_SIBL
(16,6),(16,8),0.00382888 # DEPENDENCYPART_SIBL
(16,6),(16,9),-0.0546597 # DEPENDENCYPART_SIBL
(16,6),(16,10),0.00382888 # DEPENDENCYPART_SIBL
(16,6),(16,11),-0.0502895 # DEPENDENCYPART_SIBL
(16,6),(16,12),0.0597676 # DEPENDENCYPART_SIBL
(16,6),(16,13),0.198293 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.0128207 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.0142247 # DEPENDENCYPART_SIBL
(16,6),(16,17),-0.0220101 # DEPENDENCYPART_SIBL
(16,7),(16,8),-0.0139871 # DEPENDENCYPART_SIBL
(16,7),(16,9),-0.0249673 # DEPENDENCYPART_SIBL
(16,7),(16,10),-0.0139871 # DEPENDENCYPART_SIBL
(16,7),(16,11),-0.0406383 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.143309 # DEPENDENCYPART_SIBL
(16,7),(16,13),0.0819152 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.0195629 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.182533 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.0315404 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.0546597 # DEPENDENCYPART_SIBL
(16,8),(16,10),0.00382888 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.0502895 # DEPENDENCYPART_SIBL
(16,8),(16,12),0.0597676 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.198293 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.0128207 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.0142247 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.0220101 # DEPENDENCYPART_SIBL
(16,9),(16,10),0.00635719 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.0870083 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.217342 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.0974612 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.000708968 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.282722 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.0419105 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.0502895 # DEPENDENCYPART_SIBL
(16,10),(16,12),0.0597676 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.198293 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.0128207 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.0142247 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0220101 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.120138 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.108748 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.0390256 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.180629 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.0217287 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.359902 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.336676 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.812545 # DEPENDENCYPART_SIBL
