# _root_ Ertesi gün hava _ kararırken , alçak bir sesle " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye seslenirmiş .
#goldHeads=2,4,4,5,24,0,9,9,24,0,12,13,16,0,16,23,19,19,20,16,0,0,24,25,0,
#predictedHeads=2,4,4,5,24,0,9,9,16,0,19,0,19,0,16,21,19,19,20,24,0,0,24,25,0,
(19,10),(19,11),-0.0139871 # DEPENDENCYPART_SIBL
(19,10),(19,12),-0.0249673 # DEPENDENCYPART_SIBL
(19,10),(19,13),-0.0139871 # DEPENDENCYPART_SIBL
(19,10),(19,14),-0.0406383 # DEPENDENCYPART_SIBL
(19,10),(19,15),-0.143309 # DEPENDENCYPART_SIBL
(19,10),(19,16),0.0819152 # DEPENDENCYPART_SIBL
(19,10),(19,17),-0.0195629 # DEPENDENCYPART_SIBL
(19,10),(19,18),-0.182533 # DEPENDENCYPART_SIBL
(19,10),(19,20),0.0315404 # DEPENDENCYPART_SIBL
(19,11),(19,12),-0.0546597 # DEPENDENCYPART_SIBL
(19,11),(19,13),0.00382888 # DEPENDENCYPART_SIBL
(19,11),(19,14),-0.0502895 # DEPENDENCYPART_SIBL
(19,11),(19,15),0.0597676 # DEPENDENCYPART_SIBL
(19,11),(19,16),0.198293 # DEPENDENCYPART_SIBL
(19,11),(19,17),-0.0128207 # DEPENDENCYPART_SIBL
(19,11),(19,18),-0.0142247 # DEPENDENCYPART_SIBL
(19,11),(19,20),-0.0220101 # DEPENDENCYPART_SIBL
(19,12),(19,13),0.00635719 # DEPENDENCYPART_SIBL
(19,12),(19,14),-0.0870083 # DEPENDENCYPART_SIBL
(19,12),(19,15),-0.217342 # DEPENDENCYPART_SIBL
(19,12),(19,16),0.0974612 # DEPENDENCYPART_SIBL
(19,12),(19,17),0.000708968 # DEPENDENCYPART_SIBL
(19,12),(19,18),-0.282722 # DEPENDENCYPART_SIBL
(19,12),(19,20),0.0419105 # DEPENDENCYPART_SIBL
(19,13),(19,14),-0.0502895 # DEPENDENCYPART_SIBL
(19,13),(19,15),0.0597676 # DEPENDENCYPART_SIBL
(19,13),(19,16),0.198293 # DEPENDENCYPART_SIBL
(19,13),(19,17),-0.0128207 # DEPENDENCYPART_SIBL
(19,13),(19,18),-0.0142247 # DEPENDENCYPART_SIBL
(19,13),(19,20),-0.0220101 # DEPENDENCYPART_SIBL
(19,14),(19,15),-0.120138 # DEPENDENCYPART_SIBL
(19,14),(19,16),0.108748 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.0390256 # DEPENDENCYPART_SIBL
(19,14),(19,18),-0.180629 # DEPENDENCYPART_SIBL
(19,14),(19,20),0.0217287 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.359902 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.336676 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.812545 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.0257743 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.0953402 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.0583422 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.0411503 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.0235407 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0234911 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.0793644 # DEPENDENCYPART_SIBL
(20,1),(20,6),-0.0333799 # DEPENDENCYPART_SIBL
(20,1),(20,7),0.0784639 # DEPENDENCYPART_SIBL
(20,1),(20,8),0.302431 # DEPENDENCYPART_SIBL
(20,1),(20,9),0.0803379 # DEPENDENCYPART_SIBL
(20,1),(20,10),-0.0440131 # DEPENDENCYPART_SIBL
(20,1),(20,11),0.083246 # DEPENDENCYPART_SIBL
(20,1),(20,12),-0.0333799 # DEPENDENCYPART_SIBL
(20,1),(20,13),0.083246 # DEPENDENCYPART_SIBL
(20,1),(20,14),-0.0176997 # DEPENDENCYPART_SIBL
(20,1),(20,15),-0.0176381 # DEPENDENCYPART_SIBL
(20,1),(20,16),0.14613 # DEPENDENCYPART_SIBL
(20,1),(20,17),0.0777343 # DEPENDENCYPART_SIBL
(20,1),(20,18),-0.0743539 # DEPENDENCYPART_SIBL
(20,1),(20,19),0.0951266 # DEPENDENCYPART_SIBL
(20,1),(20,21),-0.0315745 # DEPENDENCYPART_SIBL
(20,1),(20,22),-0.0311316 # DEPENDENCYPART_SIBL
(20,1),(20,23),-0.0017251 # DEPENDENCYPART_SIBL
(20,1),(20,24),0.0459565 # DEPENDENCYPART_SIBL
(20,6),(20,7),0.0117844 # DEPENDENCYPART_SIBL
(20,6),(20,8),-0.081402 # DEPENDENCYPART_SIBL
(20,6),(20,9),0.00542227 # DEPENDENCYPART_SIBL
(20,6),(20,10),-0.122246 # DEPENDENCYPART_SIBL
(20,6),(20,11),0.00542227 # DEPENDENCYPART_SIBL
(20,6),(20,12),-0.084983 # DEPENDENCYPART_SIBL
(20,6),(20,13),0.00542227 # DEPENDENCYPART_SIBL
(20,6),(20,14),-0.0880777 # DEPENDENCYPART_SIBL
(20,6),(20,15),-0.231464 # DEPENDENCYPART_SIBL
(20,6),(20,16),0.0941547 # DEPENDENCYPART_SIBL
(20,6),(20,17),-0.000225952 # DEPENDENCYPART_SIBL
(20,6),(20,18),-0.305422 # DEPENDENCYPART_SIBL
(20,6),(20,19),0.0173029 # DEPENDENCYPART_SIBL
(20,6),(20,21),-0.0268142 # DEPENDENCYPART_SIBL
(20,6),(20,22),-0.0252184 # DEPENDENCYPART_SIBL
(20,6),(20,23),-0.00583852 # DEPENDENCYPART_SIBL
(20,6),(20,24),-0.000834112 # DEPENDENCYPART_SIBL
(20,7),(20,8),0.305756 # DEPENDENCYPART_SIBL
(20,7),(20,9),0.0926344 # DEPENDENCYPART_SIBL
(20,7),(20,10),-0.0415904 # DEPENDENCYPART_SIBL
(20,7),(20,11),0.0955425 # DEPENDENCYPART_SIBL
(20,7),(20,12),-0.0309572 # DEPENDENCYPART_SIBL
(20,7),(20,13),0.0955425 # DEPENDENCYPART_SIBL
(20,7),(20,14),-0.015277 # DEPENDENCYPART_SIBL
(20,7),(20,15),-0.00805899 # DEPENDENCYPART_SIBL
(20,7),(20,16),0.148441 # DEPENDENCYPART_SIBL
(20,7),(20,17),0.0900309 # DEPENDENCYPART_SIBL
(20,7),(20,18),-0.0635776 # DEPENDENCYPART_SIBL
(20,7),(20,19),0.107423 # DEPENDENCYPART_SIBL
(20,7),(20,21),-0.0318015 # DEPENDENCYPART_SIBL
(20,7),(20,22),-0.0313586 # DEPENDENCYPART_SIBL
(20,7),(20,23),-0.00195214 # DEPENDENCYPART_SIBL
(20,7),(20,24),0.0457294 # DEPENDENCYPART_SIBL
(20,8),(20,9),0.149654 # DEPENDENCYPART_SIBL
(20,8),(20,10),-0.0407254 # DEPENDENCYPART_SIBL
(20,8),(20,11),0.150332 # DEPENDENCYPART_SIBL
(20,8),(20,12),-0.030321 # DEPENDENCYPART_SIBL
(20,8),(20,13),0.150332 # DEPENDENCYPART_SIBL
(20,8),(20,14),-0.0275955 # DEPENDENCYPART_SIBL
(20,8),(20,15),-0.0701486 # DEPENDENCYPART_SIBL
(20,8),(20,16),-0.00848523 # DEPENDENCYPART_SIBL
(20,8),(20,17),0.144829 # DEPENDENCYPART_SIBL
(20,8),(20,18),0.00486962 # DEPENDENCYPART_SIBL
(20,8),(20,19),0.189015 # DEPENDENCYPART_SIBL
(20,8),(20,21),-0.0328306 # DEPENDENCYPART_SIBL
(20,8),(20,22),-0.0326879 # DEPENDENCYPART_SIBL
(20,8),(20,23),0.0136704 # DEPENDENCYPART_SIBL
(20,8),(20,24),0.0434723 # DEPENDENCYPART_SIBL
(20,9),(20,10),-0.0648428 # DEPENDENCYPART_SIBL
(20,9),(20,11),-0.00764787 # DEPENDENCYPART_SIBL
(20,9),(20,12),-0.0662709 # DEPENDENCYPART_SIBL
(20,9),(20,13),-0.00764787 # DEPENDENCYPART_SIBL
(20,9),(20,14),-0.0619007 # DEPENDENCYPART_SIBL
(20,9),(20,15),0.024557 # DEPENDENCYPART_SIBL
(20,9),(20,16),0.184882 # DEPENDENCYPART_SIBL
(20,9),(20,17),-0.0242975 # DEPENDENCYPART_SIBL
(20,9),(20,18),-0.0694334 # DEPENDENCYPART_SIBL
(20,9),(20,19),-0.00111191 # DEPENDENCYPART_SIBL
(20,9),(20,21),-0.018561 # DEPENDENCYPART_SIBL
(20,9),(20,22),-0.0188957 # DEPENDENCYPART_SIBL
(20,9),(20,23),-0.0101744 # DEPENDENCYPART_SIBL
(20,9),(20,24),-0.00699361 # DEPENDENCYPART_SIBL
(20,10),(20,11),-0.0143874 # DEPENDENCYPART_SIBL
(20,10),(20,12),-0.025502 # DEPENDENCYPART_SIBL
(20,10),(20,13),-0.0143874 # DEPENDENCYPART_SIBL
(20,10),(20,14),-0.041173 # DEPENDENCYPART_SIBL
(20,10),(20,15),-0.156362 # DEPENDENCYPART_SIBL
(20,10),(20,16),0.0796782 # DEPENDENCYPART_SIBL
(20,10),(20,17),-0.0199632 # DEPENDENCYPART_SIBL
(20,10),(20,18),-0.204698 # DEPENDENCYPART_SIBL
(20,10),(20,19),-0.00250673 # DEPENDENCYPART_SIBL
(20,10),(20,21),-0.0321676 # DEPENDENCYPART_SIBL
(20,10),(20,22),-0.0312993 # DEPENDENCYPART_SIBL
(20,10),(20,23),-0.00960955 # DEPENDENCYPART_SIBL
(20,10),(20,24),0.00342299 # DEPENDENCYPART_SIBL
(20,11),(20,12),-0.0662709 # DEPENDENCYPART_SIBL
(20,11),(20,13),-0.00764787 # DEPENDENCYPART_SIBL
(20,11),(20,14),-0.0619007 # DEPENDENCYPART_SIBL
(20,11),(20,15),0.024557 # DEPENDENCYPART_SIBL
(20,11),(20,16),0.184882 # DEPENDENCYPART_SIBL
(20,11),(20,17),-0.0242975 # DEPENDENCYPART_SIBL
(20,11),(20,18),-0.0694334 # DEPENDENCYPART_SIBL
(20,11),(20,19),-0.00111191 # DEPENDENCYPART_SIBL
(20,11),(20,21),-0.018561 # DEPENDENCYPART_SIBL
(20,11),(20,22),-0.0188957 # DEPENDENCYPART_SIBL
(20,11),(20,23),-0.0101744 # DEPENDENCYPART_SIBL
(20,11),(20,24),-0.00699361 # DEPENDENCYPART_SIBL
(20,12),(20,13),0.00542227 # DEPENDENCYPART_SIBL
(20,12),(20,14),-0.0880777 # DEPENDENCYPART_SIBL
(20,12),(20,15),-0.231464 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.0941547 # DEPENDENCYPART_SIBL
(20,12),(20,17),-0.000225952 # DEPENDENCYPART_SIBL
(20,12),(20,18),-0.305422 # DEPENDENCYPART_SIBL
(20,12),(20,19),0.0173029 # DEPENDENCYPART_SIBL
(20,12),(20,21),-0.0268142 # DEPENDENCYPART_SIBL
(20,12),(20,22),-0.0252184 # DEPENDENCYPART_SIBL
(20,12),(20,23),-0.00583852 # DEPENDENCYPART_SIBL
(20,12),(20,24),-0.000834112 # DEPENDENCYPART_SIBL
(20,13),(20,14),-0.0619007 # DEPENDENCYPART_SIBL
(20,13),(20,15),0.024557 # DEPENDENCYPART_SIBL
(20,13),(20,16),0.184882 # DEPENDENCYPART_SIBL
(20,13),(20,17),-0.0242975 # DEPENDENCYPART_SIBL
(20,13),(20,18),-0.0694334 # DEPENDENCYPART_SIBL
(20,13),(20,19),-0.00111191 # DEPENDENCYPART_SIBL
(20,13),(20,21),-0.018561 # DEPENDENCYPART_SIBL
(20,13),(20,22),-0.0188957 # DEPENDENCYPART_SIBL
(20,13),(20,23),-0.0101744 # DEPENDENCYPART_SIBL
(20,13),(20,24),-0.00699361 # DEPENDENCYPART_SIBL
(20,14),(20,15),-0.13319 # DEPENDENCYPART_SIBL
(20,14),(20,16),0.106511 # DEPENDENCYPART_SIBL
(20,14),(20,17),0.0386254 # DEPENDENCYPART_SIBL
(20,14),(20,18),-0.202794 # DEPENDENCYPART_SIBL
(20,14),(20,19),0.0560818 # DEPENDENCYPART_SIBL
(20,14),(20,21),-0.0393532 # DEPENDENCYPART_SIBL
(20,14),(20,22),-0.0384849 # DEPENDENCYPART_SIBL
(20,14),(20,23),-0.0102498 # DEPENDENCYPART_SIBL
(20,14),(20,24),0.00137395 # DEPENDENCYPART_SIBL
(20,15),(20,16),-0.361066 # DEPENDENCYPART_SIBL
(20,15),(20,17),-0.336537 # DEPENDENCYPART_SIBL
(20,15),(20,18),-0.834172 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.319153 # DEPENDENCYPART_SIBL
(20,15),(20,21),-0.0569777 # DEPENDENCYPART_SIBL
(20,15),(20,22),-0.0561143 # DEPENDENCYPART_SIBL
(20,15),(20,23),-0.0473818 # DEPENDENCYPART_SIBL
(20,15),(20,24),-0.0023314 # DEPENDENCYPART_SIBL
(20,16),(20,17),0.0954746 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.0799732 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.112859 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.0171724 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.0163263 # DEPENDENCYPART_SIBL
(20,16),(20,23),-0.00839754 # DEPENDENCYPART_SIBL
(20,16),(20,24),0.0118582 # DEPENDENCYPART_SIBL
(20,17),(20,18),-0.0787495 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.00893905 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.0193566 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.0196913 # DEPENDENCYPART_SIBL
(20,17),(20,23),-0.01097 # DEPENDENCYPART_SIBL
(20,17),(20,24),-0.00781733 # DEPENDENCYPART_SIBL
(20,18),(20,19),-0.331169 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.0716068 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.0711465 # DEPENDENCYPART_SIBL
(20,18),(20,23),-0.0409364 # DEPENDENCYPART_SIBL
(20,18),(20,24),0.0315399 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.018561 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0188957 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0101744 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.00699361 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.00627983 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.0295806 # DEPENDENCYPART_SIBL
(20,21),(20,24),-0.0336141 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.0295846 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.0342717 # DEPENDENCYPART_SIBL
(20,23),(20,24),-0.0263773 # DEPENDENCYPART_SIBL
(21,1),(21,4),0.0643363 # DEPENDENCYPART_SIBL
(21,1),(21,5),0.0360811 # DEPENDENCYPART_SIBL
(21,1),(21,14),-0.0321548 # DEPENDENCYPART_SIBL
(21,1),(21,15),0.0643363 # DEPENDENCYPART_SIBL
(21,1),(21,16),0.10886 # DEPENDENCYPART_SIBL
(21,1),(21,17),-0.0715911 # DEPENDENCYPART_SIBL
(21,1),(21,18),-0.088161 # DEPENDENCYPART_SIBL
(21,1),(21,19),-0.071587 # DEPENDENCYPART_SIBL
(21,1),(21,20),-0.071587 # DEPENDENCYPART_SIBL
(21,1),(21,22),-0.00837748 # DEPENDENCYPART_SIBL
(21,1),(21,23),0.0326052 # DEPENDENCYPART_SIBL
(21,1),(21,24),-0.00505726 # DEPENDENCYPART_SIBL
(21,1),(21,25),0.000262589 # DEPENDENCYPART_SIBL
(21,4),(21,5),-0.101953 # DEPENDENCYPART_SIBL
(21,4),(21,14),-0.156363 # DEPENDENCYPART_SIBL
(21,4),(21,15),-0.720912 # DEPENDENCYPART_SIBL
(21,4),(21,16),-0.395675 # DEPENDENCYPART_SIBL
(21,4),(21,17),-0.375104 # DEPENDENCYPART_SIBL
(21,4),(21,18),-0.639628 # DEPENDENCYPART_SIBL
(21,4),(21,19),-0.375104 # DEPENDENCYPART_SIBL
(21,4),(21,20),-0.375104 # DEPENDENCYPART_SIBL
(21,4),(21,22),-0.0456976 # DEPENDENCYPART_SIBL
(21,4),(21,23),-0.0396755 # DEPENDENCYPART_SIBL
(21,4),(21,24),-0.073568 # DEPENDENCYPART_SIBL
(21,4),(21,25),-0.0269424 # DEPENDENCYPART_SIBL
(21,5),(21,14),-0.0368456 # DEPENDENCYPART_SIBL
(21,5),(21,15),0.0156225 # DEPENDENCYPART_SIBL
(21,5),(21,16),0.0958418 # DEPENDENCYPART_SIBL
(21,5),(21,17),-0.026002 # DEPENDENCYPART_SIBL
(21,5),(21,18),-0.173214 # DEPENDENCYPART_SIBL
(21,5),(21,19),-0.026002 # DEPENDENCYPART_SIBL
(21,5),(21,20),-0.026002 # DEPENDENCYPART_SIBL
(21,5),(21,22),-0.0292144 # DEPENDENCYPART_SIBL
(21,5),(21,23),-0.0157524 # DEPENDENCYPART_SIBL
(21,5),(21,24),-0.0464653 # DEPENDENCYPART_SIBL
(21,5),(21,25),-0.0263632 # DEPENDENCYPART_SIBL
(21,14),(21,15),0.0498624 # DEPENDENCYPART_SIBL
(21,14),(21,16),0.183454 # DEPENDENCYPART_SIBL
(21,14),(21,17),0.0287825 # DEPENDENCYPART_SIBL
(21,14),(21,18),-0.147671 # DEPENDENCYPART_SIBL
(21,14),(21,19),0.0288189 # DEPENDENCYPART_SIBL
(21,14),(21,20),0.0288189 # DEPENDENCYPART_SIBL
(21,14),(21,22),-0.0261421 # DEPENDENCYPART_SIBL
(21,14),(21,23),-0.00786432 # DEPENDENCYPART_SIBL
(21,14),(21,24),-0.0429537 # DEPENDENCYPART_SIBL
(21,14),(21,25),-0.0272474 # DEPENDENCYPART_SIBL
(21,15),(21,16),-0.395675 # DEPENDENCYPART_SIBL
(21,15),(21,17),-0.375104 # DEPENDENCYPART_SIBL
(21,15),(21,18),-0.639628 # DEPENDENCYPART_SIBL
(21,15),(21,19),-0.375104 # DEPENDENCYPART_SIBL
(21,15),(21,20),-0.375104 # DEPENDENCYPART_SIBL
(21,15),(21,22),-0.0456976 # DEPENDENCYPART_SIBL
(21,15),(21,23),-0.0396755 # DEPENDENCYPART_SIBL
(21,15),(21,24),-0.073568 # DEPENDENCYPART_SIBL
(21,15),(21,25),-0.0269424 # DEPENDENCYPART_SIBL
(21,16),(21,17),-0.165265 # DEPENDENCYPART_SIBL
(21,16),(21,18),-0.221147 # DEPENDENCYPART_SIBL
(21,16),(21,19),-0.165265 # DEPENDENCYPART_SIBL
(21,16),(21,20),-0.165265 # DEPENDENCYPART_SIBL
(21,16),(21,22),-0.0331343 # DEPENDENCYPART_SIBL
(21,16),(21,23),-0.0272764 # DEPENDENCYPART_SIBL
(21,16),(21,24),-0.076495 # DEPENDENCYPART_SIBL
(21,16),(21,25),-0.0118044 # DEPENDENCYPART_SIBL
(21,17),(21,18),-0.152243 # DEPENDENCYPART_SIBL
(21,17),(21,19),-0.0859983 # DEPENDENCYPART_SIBL
(21,17),(21,20),-0.0796134 # DEPENDENCYPART_SIBL
(21,17),(21,22),0.0117575 # DEPENDENCYPART_SIBL
(21,17),(21,23),0.0252364 # DEPENDENCYPART_SIBL
(21,17),(21,24),-0.0253545 # DEPENDENCYPART_SIBL
(21,17),(21,25),0.0359188 # DEPENDENCYPART_SIBL
(21,18),(21,19),-0.279833 # DEPENDENCYPART_SIBL
(21,18),(21,20),-0.279833 # DEPENDENCYPART_SIBL
(21,18),(21,22),-0.0209408 # DEPENDENCYPART_SIBL
(21,18),(21,23),0.0202062 # DEPENDENCYPART_SIBL
(21,18),(21,24),-0.00213028 # DEPENDENCYPART_SIBL
(21,18),(21,25),-0.0148755 # DEPENDENCYPART_SIBL
(21,19),(21,20),-0.0827383 # DEPENDENCYPART_SIBL
(21,19),(21,22),0.0117593 # DEPENDENCYPART_SIBL
(21,19),(21,23),0.0252381 # DEPENDENCYPART_SIBL
(21,19),(21,24),-0.0253387 # DEPENDENCYPART_SIBL
(21,19),(21,25),0.0359206 # DEPENDENCYPART_SIBL
(21,20),(21,22),0.0117593 # DEPENDENCYPART_SIBL
(21,20),(21,23),0.0252381 # DEPENDENCYPART_SIBL
(21,20),(21,24),-0.0253387 # DEPENDENCYPART_SIBL
(21,20),(21,25),0.0359206 # DEPENDENCYPART_SIBL
(21,22),(21,23),-0.0213019 # DEPENDENCYPART_SIBL
(21,22),(21,24),-0.0286179 # DEPENDENCYPART_SIBL
(21,22),(21,25),0.139784 # DEPENDENCYPART_SIBL
(21,23),(21,24),-0.0241113 # DEPENDENCYPART_SIBL
(21,23),(21,25),-0.0249159 # DEPENDENCYPART_SIBL
(21,24),(21,25),-0.0410553 # DEPENDENCYPART_SIBL
(22,4),(22,5),-0.130621 # DEPENDENCYPART_SIBL
(22,4),(22,8),-0.178942 # DEPENDENCYPART_SIBL
(22,4),(22,15),-0.770197 # DEPENDENCYPART_SIBL
(22,4),(22,16),-0.445235 # DEPENDENCYPART_SIBL
(22,4),(22,17),-0.371674 # DEPENDENCYPART_SIBL
(22,4),(22,18),-0.648166 # DEPENDENCYPART_SIBL
(22,4),(22,19),-0.371674 # DEPENDENCYPART_SIBL
(22,4),(22,20),-0.371674 # DEPENDENCYPART_SIBL
(22,4),(22,21),-0.170632 # DEPENDENCYPART_SIBL
(22,4),(22,23),-0.0381478 # DEPENDENCYPART_SIBL
(22,4),(22,24),-0.0715478 # DEPENDENCYPART_SIBL
(22,4),(22,25),-0.0252162 # DEPENDENCYPART_SIBL
(22,5),(22,8),-0.0535615 # DEPENDENCYPART_SIBL
(22,5),(22,15),-0.0048464 # DEPENDENCYPART_SIBL
(22,5),(22,16),0.0750993 # DEPENDENCYPART_SIBL
(22,5),(22,17),-0.00870428 # DEPENDENCYPART_SIBL
(22,5),(22,18),-0.167004 # DEPENDENCYPART_SIBL
(22,5),(22,19),-0.00870428 # DEPENDENCYPART_SIBL
(22,5),(22,20),-0.00870428 # DEPENDENCYPART_SIBL
(22,5),(22,21),-0.0344078 # DEPENDENCYPART_SIBL
(22,5),(22,23),-0.0113551 # DEPENDENCYPART_SIBL
(22,5),(22,24),-0.0415778 # DEPENDENCYPART_SIBL
(22,5),(22,25),-0.0212947 # DEPENDENCYPART_SIBL
(22,8),(22,15),0.0122114 # DEPENDENCYPART_SIBL
(22,8),(22,16),0.000354638 # DEPENDENCYPART_SIBL
(22,8),(22,17),0.0417826 # DEPENDENCYPART_SIBL
(22,8),(22,18),0.0709815 # DEPENDENCYPART_SIBL
(22,8),(22,19),0.0551835 # DEPENDENCYPART_SIBL
(22,8),(22,20),0.0417826 # DEPENDENCYPART_SIBL
(22,8),(22,21),0.0203339 # DEPENDENCYPART_SIBL
(22,8),(22,23),0.00153378 # DEPENDENCYPART_SIBL
(22,8),(22,24),-0.0233445 # DEPENDENCYPART_SIBL
(22,8),(22,25),-0.017871 # DEPENDENCYPART_SIBL
(22,15),(22,16),-0.445235 # DEPENDENCYPART_SIBL
(22,15),(22,17),-0.371674 # DEPENDENCYPART_SIBL
(22,15),(22,18),-0.648166 # DEPENDENCYPART_SIBL
(22,15),(22,19),-0.371674 # DEPENDENCYPART_SIBL
(22,15),(22,20),-0.371674 # DEPENDENCYPART_SIBL
(22,15),(22,21),-0.170632 # DEPENDENCYPART_SIBL
(22,15),(22,23),-0.0381478 # DEPENDENCYPART_SIBL
(22,15),(22,24),-0.0715478 # DEPENDENCYPART_SIBL
(22,15),(22,25),-0.0252162 # DEPENDENCYPART_SIBL
(22,16),(22,17),-0.161018 # DEPENDENCYPART_SIBL
(22,16),(22,18),-0.228866 # DEPENDENCYPART_SIBL
(22,16),(22,19),-0.161018 # DEPENDENCYPART_SIBL
(22,16),(22,20),-0.161018 # DEPENDENCYPART_SIBL
(22,16),(22,21),-0.148855 # DEPENDENCYPART_SIBL
(22,16),(22,23),-0.0257441 # DEPENDENCYPART_SIBL
(22,16),(22,24),-0.0744701 # DEPENDENCYPART_SIBL
(22,16),(22,25),-0.0100687 # DEPENDENCYPART_SIBL
(22,17),(22,18),-0.137092 # DEPENDENCYPART_SIBL
(22,17),(22,19),-0.0592696 # DEPENDENCYPART_SIBL
(22,17),(22,20),-0.0528847 # DEPENDENCYPART_SIBL
(22,17),(22,21),-0.0656866 # DEPENDENCYPART_SIBL
(22,17),(22,23),0.0279144 # DEPENDENCYPART_SIBL
(22,17),(22,24),-0.0215394 # DEPENDENCYPART_SIBL
(22,17),(22,25),0.0405742 # DEPENDENCYPART_SIBL
(22,18),(22,19),-0.289766 # DEPENDENCYPART_SIBL
(22,18),(22,20),-0.289766 # DEPENDENCYPART_SIBL
(22,18),(22,21),-0.0776611 # DEPENDENCYPART_SIBL
(22,18),(22,23),0.02063 # DEPENDENCYPART_SIBL
(22,18),(22,24),-0.00129793 # DEPENDENCYPART_SIBL
(22,18),(22,25),-0.0138665 # DEPENDENCYPART_SIBL
(22,19),(22,20),-0.0560096 # DEPENDENCYPART_SIBL
(22,19),(22,21),-0.0656836 # DEPENDENCYPART_SIBL
(22,19),(22,23),0.0279161 # DEPENDENCYPART_SIBL
(22,19),(22,24),-0.0215236 # DEPENDENCYPART_SIBL
(22,19),(22,25),0.040576 # DEPENDENCYPART_SIBL
(22,20),(22,21),-0.0656836 # DEPENDENCYPART_SIBL
(22,20),(22,23),0.0279161 # DEPENDENCYPART_SIBL
(22,20),(22,24),-0.0215236 # DEPENDENCYPART_SIBL
(22,20),(22,25),0.040576 # DEPENDENCYPART_SIBL
(22,21),(22,23),-0.00754363 # DEPENDENCYPART_SIBL
(22,21),(22,24),-0.0421363 # DEPENDENCYPART_SIBL
(22,21),(22,25),-0.0262544 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.0241112 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.0249159 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.0410554 # DEPENDENCYPART_SIBL
(23,17),(23,19),-0.231726 # DEPENDENCYPART_SIBL
(23,17),(23,20),-0.225341 # DEPENDENCYPART_SIBL
(23,17),(23,21),-0.190582 # DEPENDENCYPART_SIBL
(23,17),(23,22),-0.179672 # DEPENDENCYPART_SIBL
(23,19),(23,20),-0.228468 # DEPENDENCYPART_SIBL
(23,19),(23,21),-0.19058 # DEPENDENCYPART_SIBL
(23,19),(23,22),-0.179671 # DEPENDENCYPART_SIBL
(23,20),(23,21),-0.19058 # DEPENDENCYPART_SIBL
(23,20),(23,22),-0.179671 # DEPENDENCYPART_SIBL
(23,21),(23,22),-0.163998 # DEPENDENCYPART_SIBL
(24,2),(24,3),-0.0300635 # DEPENDENCYPART_SIBL
(24,2),(24,5),0.0431174 # DEPENDENCYPART_SIBL
(24,2),(24,6),-0.160337 # DEPENDENCYPART_SIBL
(24,2),(24,9),-0.029456 # DEPENDENCYPART_SIBL
(24,2),(24,10),-0.124752 # DEPENDENCYPART_SIBL
(24,2),(24,11),-0.026209 # DEPENDENCYPART_SIBL
(24,2),(24,12),-0.160337 # DEPENDENCYPART_SIBL
(24,2),(24,13),-0.026209 # DEPENDENCYPART_SIBL
(24,2),(24,14),-0.131908 # DEPENDENCYPART_SIBL
(24,2),(24,15),-0.00398347 # DEPENDENCYPART_SIBL
(24,2),(24,16),0.000101182 # DEPENDENCYPART_SIBL
(24,2),(24,17),-0.0331519 # DEPENDENCYPART_SIBL
(24,2),(24,18),-0.0357266 # DEPENDENCYPART_SIBL
(24,2),(24,19),-0.0350639 # DEPENDENCYPART_SIBL
(24,2),(24,20),-0.0185275 # DEPENDENCYPART_SIBL
(24,2),(24,21),-0.131908 # DEPENDENCYPART_SIBL
(24,2),(24,22),-0.124752 # DEPENDENCYPART_SIBL
(24,2),(24,23),-0.101005 # DEPENDENCYPART_SIBL
