# _root_ On_altı yaşında av tezkeresi _ _ alabilen _ gençler , tüm yıl boyunca _ _ avlanabiliyor , askere gitmiyor ve vergi vermiyorlar .
#goldHeads=2,6,4,6,6,7,9,9,16,0,12,13,16,15,16,17,19,19,20,22,22,23,0,
#predictedHeads=2,22,4,6,6,7,9,9,16,0,12,13,16,15,16,17,19,19,20,22,22,23,0,
(12,11),(12,18),0.0276586 # DEPENDENCYPART_SIBL
(12,11),(12,22),0.00457333 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.011531 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.00403928 # DEPENDENCYPART_SIBL
(12,13),(12,22),-0.0263771 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.0343011 # DEPENDENCYPART_SIBL
(12,14),(12,22),-0.0171491 # DEPENDENCYPART_SIBL
(12,18),(12,22),-0.0125874 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.127351 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.189018 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.00636315 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0226562 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0529445 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.00431431 # DEPENDENCYPART_SIBL
(14,7),(14,9),0.206674 # DEPENDENCYPART_SIBL
(14,7),(14,10),0.0342633 # DEPENDENCYPART_SIBL
(14,7),(14,11),0.225862 # DEPENDENCYPART_SIBL
(14,7),(14,12),0.189472 # DEPENDENCYPART_SIBL
(14,7),(14,13),0.135149 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.0145906 # DEPENDENCYPART_SIBL
(14,7),(14,17),-0.0431186 # DEPENDENCYPART_SIBL
(14,7),(14,18),0.0914148 # DEPENDENCYPART_SIBL
(14,7),(14,22),0.0429986 # DEPENDENCYPART_SIBL
(14,9),(14,10),0.0103456 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.0736798 # DEPENDENCYPART_SIBL
(14,9),(14,12),0.0637105 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.263592 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0475089 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.00408365 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.010017 # DEPENDENCYPART_SIBL
(14,9),(14,22),0.00674892 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.0764507 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.00970413 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.10971 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.0600756 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0175658 # DEPENDENCYPART_SIBL
(14,10),(14,18),0.0613626 # DEPENDENCYPART_SIBL
(14,10),(14,22),0.00202237 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.129918 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.105704 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0471787 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0882708 # DEPENDENCYPART_SIBL
(14,11),(14,18),0.0207961 # DEPENDENCYPART_SIBL
(14,11),(14,22),-0.00750279 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.28532 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0476304 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.00415453 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.00751371 # DEPENDENCYPART_SIBL
(14,12),(14,22),0.00662739 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0207021 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.031024 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.0471743 # DEPENDENCYPART_SIBL
(14,13),(14,22),0.0139516 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.0559408 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.00700758 # DEPENDENCYPART_SIBL
(14,15),(14,22),-0.0325637 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.0346564 # DEPENDENCYPART_SIBL
(14,17),(14,22),-0.0451981 # DEPENDENCYPART_SIBL
(14,18),(14,22),-0.00590426 # DEPENDENCYPART_SIBL
(15,2),(15,3),0.0431735 # DEPENDENCYPART_SIBL
(15,2),(15,4),0.0431735 # DEPENDENCYPART_SIBL
(15,2),(15,5),-0.0610456 # DEPENDENCYPART_SIBL
(15,2),(15,6),-0.0610456 # DEPENDENCYPART_SIBL
(15,2),(15,7),0.0977884 # DEPENDENCYPART_SIBL
(15,2),(15,8),-0.125352 # DEPENDENCYPART_SIBL
(15,2),(15,9),0.0431735 # DEPENDENCYPART_SIBL
(15,2),(15,10),-0.0676604 # DEPENDENCYPART_SIBL
(15,2),(15,11),0.0149652 # DEPENDENCYPART_SIBL
(15,2),(15,12),0.0479416 # DEPENDENCYPART_SIBL
(15,2),(15,13),0.169686 # DEPENDENCYPART_SIBL
(15,2),(15,14),-0.180494 # DEPENDENCYPART_SIBL
(15,2),(15,17),-0.037325 # DEPENDENCYPART_SIBL
(15,2),(15,18),0.0127734 # DEPENDENCYPART_SIBL
(15,2),(15,19),0.00662862 # DEPENDENCYPART_SIBL
(15,2),(15,21),0.0127734 # DEPENDENCYPART_SIBL
(15,2),(15,22),0.00662862 # DEPENDENCYPART_SIBL
(15,2),(15,23),-0.0505714 # DEPENDENCYPART_SIBL
(15,3),(15,4),0.0108336 # DEPENDENCYPART_SIBL
(15,3),(15,5),-0.07014 # DEPENDENCYPART_SIBL
(15,3),(15,6),-0.07014 # DEPENDENCYPART_SIBL
(15,3),(15,7),0.0836049 # DEPENDENCYPART_SIBL
(15,3),(15,8),-0.136991 # DEPENDENCYPART_SIBL
(15,3),(15,9),0.0108336 # DEPENDENCYPART_SIBL
(15,3),(15,10),-0.081844 # DEPENDENCYPART_SIBL
(15,3),(15,11),-0.00375083 # DEPENDENCYPART_SIBL
(15,3),(15,12),0.0156017 # DEPENDENCYPART_SIBL
(15,3),(15,13),0.155503 # DEPENDENCYPART_SIBL
(15,3),(15,14),-0.210289 # DEPENDENCYPART_SIBL
(15,3),(15,17),-0.0373243 # DEPENDENCYPART_SIBL
(15,3),(15,18),0.0127734 # DEPENDENCYPART_SIBL
(15,3),(15,19),0.00662862 # DEPENDENCYPART_SIBL
(15,3),(15,21),0.0127734 # DEPENDENCYPART_SIBL
(15,3),(15,22),0.00662862 # DEPENDENCYPART_SIBL
(15,3),(15,23),-0.0505711 # DEPENDENCYPART_SIBL
(15,4),(15,5),-0.07014 # DEPENDENCYPART_SIBL
(15,4),(15,6),-0.07014 # DEPENDENCYPART_SIBL
(15,4),(15,7),0.0836049 # DEPENDENCYPART_SIBL
(15,4),(15,8),-0.136991 # DEPENDENCYPART_SIBL
(15,4),(15,9),0.0108336 # DEPENDENCYPART_SIBL
(15,4),(15,10),-0.081844 # DEPENDENCYPART_SIBL
(15,4),(15,11),-0.00375083 # DEPENDENCYPART_SIBL
(15,4),(15,12),0.0156017 # DEPENDENCYPART_SIBL
(15,4),(15,13),0.155503 # DEPENDENCYPART_SIBL
(15,4),(15,14),-0.210289 # DEPENDENCYPART_SIBL
(15,4),(15,17),-0.0373243 # DEPENDENCYPART_SIBL
(15,4),(15,18),0.0127734 # DEPENDENCYPART_SIBL
(15,4),(15,19),0.00662862 # DEPENDENCYPART_SIBL
(15,4),(15,21),0.0127734 # DEPENDENCYPART_SIBL
(15,4),(15,22),0.00662862 # DEPENDENCYPART_SIBL
(15,4),(15,23),-0.0505711 # DEPENDENCYPART_SIBL
(15,5),(15,6),-1.19892 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.525168 # DEPENDENCYPART_SIBL
(15,5),(15,8),-1.07697 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.563221 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.459699 # DEPENDENCYPART_SIBL
(15,5),(15,11),-0.346048 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.560396 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.280869 # DEPENDENCYPART_SIBL
(15,5),(15,14),-1.11514 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.118712 # DEPENDENCYPART_SIBL
(15,5),(15,18),0.000490241 # DEPENDENCYPART_SIBL
(15,5),(15,19),-0.0433137 # DEPENDENCYPART_SIBL
(15,5),(15,21),0.000490241 # DEPENDENCYPART_SIBL
(15,5),(15,22),-0.0433137 # DEPENDENCYPART_SIBL
(15,5),(15,23),-0.119174 # DEPENDENCYPART_SIBL
(15,6),(15,7),-0.525168 # DEPENDENCYPART_SIBL
(15,6),(15,8),-1.07697 # DEPENDENCYPART_SIBL
(15,6),(15,9),-0.563221 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.459699 # DEPENDENCYPART_SIBL
(15,6),(15,11),-0.346048 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.560396 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.280869 # DEPENDENCYPART_SIBL
(15,6),(15,14),-1.11514 # DEPENDENCYPART_SIBL
(15,6),(15,17),-0.118712 # DEPENDENCYPART_SIBL
(15,6),(15,18),0.000490241 # DEPENDENCYPART_SIBL
(15,6),(15,19),-0.0433137 # DEPENDENCYPART_SIBL
(15,6),(15,21),0.000490241 # DEPENDENCYPART_SIBL
(15,6),(15,22),-0.0433137 # DEPENDENCYPART_SIBL
(15,6),(15,23),-0.119174 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.0245351 # DEPENDENCYPART_SIBL
(15,7),(15,9),0.0597474 # DEPENDENCYPART_SIBL
(15,7),(15,10),-0.108624 # DEPENDENCYPART_SIBL
(15,7),(15,11),0.100573 # DEPENDENCYPART_SIBL
(15,7),(15,12),0.0603601 # DEPENDENCYPART_SIBL
(15,7),(15,13),0.0565063 # DEPENDENCYPART_SIBL
(15,7),(15,14),-0.0296249 # DEPENDENCYPART_SIBL
(15,7),(15,17),-0.0801922 # DEPENDENCYPART_SIBL
(15,7),(15,18),0.00317052 # DEPENDENCYPART_SIBL
(15,7),(15,19),-0.0100539 # DEPENDENCYPART_SIBL
(15,7),(15,21),0.00316956 # DEPENDENCYPART_SIBL
(15,7),(15,22),-0.0100539 # DEPENDENCYPART_SIBL
(15,7),(15,23),-0.0977768 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.602103 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.451431 # DEPENDENCYPART_SIBL
(15,8),(15,11),-0.275995 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.601491 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.322044 # DEPENDENCYPART_SIBL
(15,8),(15,14),-1.06256 # DEPENDENCYPART_SIBL
(15,8),(15,17),-0.131201 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.0102449 # DEPENDENCYPART_SIBL
(15,8),(15,19),-0.0343789 # DEPENDENCYPART_SIBL
(15,8),(15,21),-0.0102459 # DEPENDENCYPART_SIBL
(15,8),(15,22),-0.0343789 # DEPENDENCYPART_SIBL
(15,8),(15,23),-0.146555 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.081844 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.00375083 # DEPENDENCYPART_SIBL
(15,9),(15,12),0.0156017 # DEPENDENCYPART_SIBL
(15,9),(15,13),0.155503 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.210289 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0373243 # DEPENDENCYPART_SIBL
(15,9),(15,18),0.0127734 # DEPENDENCYPART_SIBL
(15,9),(15,19),0.00662862 # DEPENDENCYPART_SIBL
(15,9),(15,21),0.0127734 # DEPENDENCYPART_SIBL
(15,9),(15,22),0.00662862 # DEPENDENCYPART_SIBL
(15,9),(15,23),-0.0505711 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.0838197 # DEPENDENCYPART_SIBL
(15,10),(15,12),0.0351252 # DEPENDENCYPART_SIBL
(15,10),(15,13),0.128931 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.430132 # DEPENDENCYPART_SIBL
(15,10),(15,17),0.0908939 # DEPENDENCYPART_SIBL
(15,10),(15,18),0.0108194 # DEPENDENCYPART_SIBL
(15,10),(15,19),-0.0162046 # DEPENDENCYPART_SIBL
(15,10),(15,21),0.0108194 # DEPENDENCYPART_SIBL
(15,10),(15,22),-0.0162046 # DEPENDENCYPART_SIBL
(15,10),(15,23),-0.0642176 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.0257283 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.0330663 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.0345819 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.0862211 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.0194303 # DEPENDENCYPART_SIBL
(15,11),(15,19),-0.0275711 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.0194303 # DEPENDENCYPART_SIBL
(15,11),(15,22),-0.0275711 # DEPENDENCYPART_SIBL
(15,11),(15,23),-0.0992221 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.197963 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.139572 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0348007 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.0204499 # DEPENDENCYPART_SIBL
(15,12),(15,19),0.00905473 # DEPENDENCYPART_SIBL
(15,12),(15,21),0.0204499 # DEPENDENCYPART_SIBL
(15,12),(15,22),0.00905473 # DEPENDENCYPART_SIBL
(15,12),(15,23),-0.0480474 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0199484 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.04795 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.0286446 # DEPENDENCYPART_SIBL
(15,13),(15,19),0.00440453 # DEPENDENCYPART_SIBL
(15,13),(15,21),0.0286446 # DEPENDENCYPART_SIBL
(15,13),(15,22),0.00440453 # DEPENDENCYPART_SIBL
(15,13),(15,23),-0.060398 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0883332 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.000642045 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0176964 # DEPENDENCYPART_SIBL
(15,14),(15,21),-0.000642045 # DEPENDENCYPART_SIBL
(15,14),(15,22),-0.0176964 # DEPENDENCYPART_SIBL
(15,14),(15,23),-0.0993489 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.0728687 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.0540562 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.0728687 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.0540562 # DEPENDENCYPART_SIBL
(15,17),(15,23),-0.0341533 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.00562024 # DEPENDENCYPART_SIBL
(15,18),(15,21),-0.00121166 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.00562024 # DEPENDENCYPART_SIBL
(15,18),(15,23),-0.0049745 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.024303 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.0308301 # DEPENDENCYPART_SIBL
(15,19),(15,23),-0.0648523 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.00562024 # DEPENDENCYPART_SIBL
(15,21),(15,23),-0.0049745 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.0648523 # DEPENDENCYPART_SIBL
(16,2),(16,3),-0.038302 # DEPENDENCYPART_SIBL
(16,2),(16,4),-0.038302 # DEPENDENCYPART_SIBL
(16,2),(16,5),0.0408537 # DEPENDENCYPART_SIBL
(16,2),(16,6),0.0408537 # DEPENDENCYPART_SIBL
(16,2),(16,7),-0.0132799 # DEPENDENCYPART_SIBL
(16,2),(16,8),0.00193559 # DEPENDENCYPART_SIBL
(16,2),(16,9),-0.038302 # DEPENDENCYPART_SIBL
(16,2),(16,10),-0.143644 # DEPENDENCYPART_SIBL
(16,2),(16,11),-0.0182089 # DEPENDENCYPART_SIBL
(16,2),(16,12),-0.0389401 # DEPENDENCYPART_SIBL
(16,2),(16,13),0.0289826 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.0234084 # DEPENDENCYPART_SIBL
(16,2),(16,15),0.0408537 # DEPENDENCYPART_SIBL
(16,2),(16,17),-0.0647267 # DEPENDENCYPART_SIBL
(16,2),(16,18),0.00183869 # DEPENDENCYPART_SIBL
(16,2),(16,19),-0.0071139 # DEPENDENCYPART_SIBL
(16,2),(16,20),-0.14124 # DEPENDENCYPART_SIBL
(16,2),(16,21),0.00183869 # DEPENDENCYPART_SIBL
(16,2),(16,22),-0.0071139 # DEPENDENCYPART_SIBL
(16,2),(16,23),-0.0714723 # DEPENDENCYPART_SIBL
(16,3),(16,4),-0.0706418 # DEPENDENCYPART_SIBL
(16,3),(16,5),0.0317593 # DEPENDENCYPART_SIBL
(16,3),(16,6),0.0317593 # DEPENDENCYPART_SIBL
(16,3),(16,7),-0.0274635 # DEPENDENCYPART_SIBL
(16,3),(16,8),-0.00970339 # DEPENDENCYPART_SIBL
(16,3),(16,9),-0.0706418 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.157828 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.036925 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.0712799 # DEPENDENCYPART_SIBL
(16,3),(16,13),0.0147991 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.0532037 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.0317593 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.0647261 # DEPENDENCYPART_SIBL
(16,3),(16,18),0.00183869 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.0071139 # DEPENDENCYPART_SIBL
(16,3),(16,20),-0.145403 # DEPENDENCYPART_SIBL
(16,3),(16,21),0.00183869 # DEPENDENCYPART_SIBL
(16,3),(16,22),-0.0071139 # DEPENDENCYPART_SIBL
(16,3),(16,23),-0.071472 # DEPENDENCYPART_SIBL
(16,4),(16,5),0.0317593 # DEPENDENCYPART_SIBL
(16,4),(16,6),0.0317593 # DEPENDENCYPART_SIBL
(16,4),(16,7),-0.0274635 # DEPENDENCYPART_SIBL
(16,4),(16,8),-0.00970339 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.0706418 # DEPENDENCYPART_SIBL
(16,4),(16,10),-0.157828 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.036925 # DEPENDENCYPART_SIBL
(16,4),(16,12),-0.0712799 # DEPENDENCYPART_SIBL
(16,4),(16,13),0.0147991 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.0532037 # DEPENDENCYPART_SIBL
(16,4),(16,15),0.0317593 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.0647261 # DEPENDENCYPART_SIBL
(16,4),(16,18),0.00183869 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.0071139 # DEPENDENCYPART_SIBL
(16,4),(16,20),-0.14124 # DEPENDENCYPART_SIBL
(16,4),(16,21),0.00183869 # DEPENDENCYPART_SIBL
(16,4),(16,22),-0.0071139 # DEPENDENCYPART_SIBL
(16,4),(16,23),-0.071472 # DEPENDENCYPART_SIBL
(16,5),(16,6),-1.03137 # DEPENDENCYPART_SIBL
(16,5),(16,7),-0.50039 # DEPENDENCYPART_SIBL
(16,5),(16,8),-0.890237 # DEPENDENCYPART_SIBL
(16,5),(16,9),-0.553839 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.444497 # DEPENDENCYPART_SIBL
(16,5),(16,11),-0.309389 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.551823 # DEPENDENCYPART_SIBL
(16,5),(16,13),-0.314828 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.943691 # DEPENDENCYPART_SIBL
(16,5),(16,15),-1.03137 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.122943 # DEPENDENCYPART_SIBL
(16,5),(16,18),-0.00335948 # DEPENDENCYPART_SIBL
(16,5),(16,19),-0.0410904 # DEPENDENCYPART_SIBL
(16,5),(16,20),-0.201657 # DEPENDENCYPART_SIBL
(16,5),(16,21),-0.00335948 # DEPENDENCYPART_SIBL
(16,5),(16,22),-0.0410904 # DEPENDENCYPART_SIBL
(16,5),(16,23),-0.123219 # DEPENDENCYPART_SIBL
(16,6),(16,7),-0.50039 # DEPENDENCYPART_SIBL
(16,6),(16,8),-0.890237 # DEPENDENCYPART_SIBL
(16,6),(16,9),-0.553839 # DEPENDENCYPART_SIBL
(16,6),(16,10),-0.444497 # DEPENDENCYPART_SIBL
(16,6),(16,11),-0.309389 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.551823 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.314828 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.943691 # DEPENDENCYPART_SIBL
(16,6),(16,15),-1.03137 # DEPENDENCYPART_SIBL
(16,6),(16,17),-0.122943 # DEPENDENCYPART_SIBL
(16,6),(16,18),-0.00335948 # DEPENDENCYPART_SIBL
(16,6),(16,19),-0.0410904 # DEPENDENCYPART_SIBL
(16,6),(16,20),-0.201657 # DEPENDENCYPART_SIBL
(16,6),(16,21),-0.00335948 # DEPENDENCYPART_SIBL
(16,6),(16,22),-0.0410904 # DEPENDENCYPART_SIBL
(16,6),(16,23),-0.123219 # DEPENDENCYPART_SIBL
(16,7),(16,8),0.0198151 # DEPENDENCYPART_SIBL
(16,7),(16,9),-0.0320695 # DEPENDENCYPART_SIBL
(16,7),(16,10),-0.169161 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.0754969 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.0322669 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.0511928 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.0143547 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.00603678 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.0841084 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.00649604 # DEPENDENCYPART_SIBL
(16,7),(16,19),-0.00732302 # DEPENDENCYPART_SIBL
(16,7),(16,20),-0.116548 # DEPENDENCYPART_SIBL
(16,7),(16,21),0.00649508 # DEPENDENCYPART_SIBL
(16,7),(16,22),-0.00732302 # DEPENDENCYPART_SIBL
(16,7),(16,23),-0.10161 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.598176 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.44274 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.229096 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.598373 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.358851 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.951543 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.928218 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.118857 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.000617533 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.015361 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.229088 # DEPENDENCYPART_SIBL
(16,8),(16,21),-0.000618491 # DEPENDENCYPART_SIBL
(16,8),(16,22),-0.015361 # DEPENDENCYPART_SIBL
(16,8),(16,23),-0.134127 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.157828 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.036925 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.0712799 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.0147991 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.0532037 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.0317593 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.0647261 # DEPENDENCYPART_SIBL
(16,9),(16,18),0.00183869 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.0071139 # DEPENDENCYPART_SIBL
(16,9),(16,20),-0.14124 # DEPENDENCYPART_SIBL
(16,9),(16,21),0.00183869 # DEPENDENCYPART_SIBL
(16,9),(16,22),-0.0071139 # DEPENDENCYPART_SIBL
(16,9),(16,23),-0.071472 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.0161033 # DEPENDENCYPART_SIBL
(16,10),(16,12),0.0433062 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.0687867 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.217742 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.13294 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.0899436 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.00827072 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.0186727 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.0639353 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.00827072 # DEPENDENCYPART_SIBL
(16,10),(16,22),-0.0186727 # DEPENDENCYPART_SIBL
(16,10),(16,23),-0.0680033 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.0244958 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.0660849 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.0593707 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.0252189 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0794716 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0119986 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.015495 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.0622219 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.0119986 # DEPENDENCYPART_SIBL
(16,11),(16,22),-0.015495 # DEPENDENCYPART_SIBL
(16,11),(16,23),-0.0919905 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.0415933 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.00908326 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0575346 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0621945 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.00952731 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.0046761 # DEPENDENCYPART_SIBL
(16,12),(16,20),-0.134599 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.00952731 # DEPENDENCYPART_SIBL
(16,12),(16,22),-0.0046761 # DEPENDENCYPART_SIBL
(16,12),(16,23),-0.0689404 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.0892704 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0284882 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0597956 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.017425 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.00107206 # DEPENDENCYPART_SIBL
(16,13),(16,20),-0.0559722 # DEPENDENCYPART_SIBL
(16,13),(16,21),0.017425 # DEPENDENCYPART_SIBL
(16,13),(16,22),0.00107206 # DEPENDENCYPART_SIBL
(16,13),(16,23),-0.0716757 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.886065 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0994745 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.00527488 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0151519 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.25378 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.00527488 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.0151519 # DEPENDENCYPART_SIBL
(16,14),(16,23),-0.103989 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.122943 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.00335948 # DEPENDENCYPART_SIBL
