# _root_ Uykusunu bir _ türlü _ _ alamayan eşeğin gönlünü _ almak için _ çeşitli _ komiklikler yapar , ona şeker verir , sağrısını sıvazlarmış .
#goldHeads=6,4,4,6,6,7,8,9,10,11,12,17,14,16,16,17,18,21,21,21,22,24,24,25,0,
#predictedHeads=17,4,4,6,6,7,8,9,10,11,12,17,14,15,16,17,18,21,21,21,22,24,24,25,0,
(18,15),(18,23),0.000270415 # DEPENDENCYPART_SIBL
(18,15),(18,24),-0.0317015 # DEPENDENCYPART_SIBL
(18,15),(18,25),0.0088063 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.0324221 # DEPENDENCYPART_SIBL
(18,16),(18,20),0.00146681 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0337022 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.00274273 # DEPENDENCYPART_SIBL
(18,16),(18,23),0.00262664 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.033615 # DEPENDENCYPART_SIBL
(18,16),(18,25),0.0249933 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.0648691 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.140344 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0958535 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.0648691 # DEPENDENCYPART_SIBL
(18,17),(18,24),-0.140309 # DEPENDENCYPART_SIBL
(18,17),(18,25),-0.0667745 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.032302 # DEPENDENCYPART_SIBL
(18,20),(18,22),0.00702889 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.0337201 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.032302 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.0173388 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.0411706 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.00969202 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.0255374 # DEPENDENCYPART_SIBL
(18,21),(18,25),-0.0431921 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.0319635 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.0343298 # DEPENDENCYPART_SIBL
(18,22),(18,25),0.00711234 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.032302 # DEPENDENCYPART_SIBL
(18,23),(18,25),-0.0173388 # DEPENDENCYPART_SIBL
(18,24),(18,25),-0.0431921 # DEPENDENCYPART_SIBL
(20,7),(20,12),0.0252653 # DEPENDENCYPART_SIBL
(20,7),(20,14),0.106278 # DEPENDENCYPART_SIBL
(20,7),(20,15),-0.0772471 # DEPENDENCYPART_SIBL
(20,7),(20,16),0.0865212 # DEPENDENCYPART_SIBL
(20,7),(20,17),0.148225 # DEPENDENCYPART_SIBL
(20,7),(20,18),-0.0324524 # DEPENDENCYPART_SIBL
(20,7),(20,19),0.10059 # DEPENDENCYPART_SIBL
(20,7),(20,21),0.0456204 # DEPENDENCYPART_SIBL
(20,7),(20,22),-0.0471429 # DEPENDENCYPART_SIBL
(20,7),(20,23),0.0946323 # DEPENDENCYPART_SIBL
(20,7),(20,24),0.0456204 # DEPENDENCYPART_SIBL
(20,12),(20,14),0.0830983 # DEPENDENCYPART_SIBL
(20,12),(20,15),0.151355 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.24399 # DEPENDENCYPART_SIBL
(20,12),(20,17),0.199653 # DEPENDENCYPART_SIBL
(20,12),(20,18),0.00411231 # DEPENDENCYPART_SIBL
(20,12),(20,19),0.142931 # DEPENDENCYPART_SIBL
(20,12),(20,21),0.00860072 # DEPENDENCYPART_SIBL
(20,12),(20,22),-0.0441127 # DEPENDENCYPART_SIBL
(20,12),(20,23),0.0512485 # DEPENDENCYPART_SIBL
(20,12),(20,24),0.00860072 # DEPENDENCYPART_SIBL
(20,14),(20,15),-0.0875982 # DEPENDENCYPART_SIBL
(20,14),(20,16),0.0762648 # DEPENDENCYPART_SIBL
(20,14),(20,17),0.143931 # DEPENDENCYPART_SIBL
(20,14),(20,18),-0.0366523 # DEPENDENCYPART_SIBL
(20,14),(20,19),0.0963897 # DEPENDENCYPART_SIBL
(20,14),(20,21),0.0451525 # DEPENDENCYPART_SIBL
(20,14),(20,22),-0.0476976 # DEPENDENCYPART_SIBL
(20,14),(20,23),0.099914 # DEPENDENCYPART_SIBL
(20,14),(20,24),0.0451525 # DEPENDENCYPART_SIBL
(20,15),(20,16),-0.441253 # DEPENDENCYPART_SIBL
(20,15),(20,17),-0.289975 # DEPENDENCYPART_SIBL
(20,15),(20,18),-0.276151 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.160628 # DEPENDENCYPART_SIBL
(20,15),(20,21),-0.0212027 # DEPENDENCYPART_SIBL
(20,15),(20,22),-0.0754872 # DEPENDENCYPART_SIBL
(20,15),(20,23),-0.0363288 # DEPENDENCYPART_SIBL
(20,15),(20,24),-0.0211852 # DEPENDENCYPART_SIBL
(20,16),(20,17),0.185123 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.0674135 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.0691408 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.0070131 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.0314866 # DEPENDENCYPART_SIBL
(20,16),(20,23),-0.0209528 # DEPENDENCYPART_SIBL
(20,16),(20,24),-0.00699567 # DEPENDENCYPART_SIBL
(20,17),(20,18),-0.0190006 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.141776 # DEPENDENCYPART_SIBL
(20,17),(20,21),0.0121865 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.0389254 # DEPENDENCYPART_SIBL
(20,17),(20,23),0.0411493 # DEPENDENCYPART_SIBL
(20,17),(20,24),0.0121865 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.0753924 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.00046041 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.0185281 # DEPENDENCYPART_SIBL
(20,18),(20,23),0.0422609 # DEPENDENCYPART_SIBL
(20,18),(20,24),-0.00046041 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.00454492 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0641229 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.000925811 # DEPENDENCYPART_SIBL
(20,19),(20,24),0.00454492 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.0315776 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.0232926 # DEPENDENCYPART_SIBL
(20,21),(20,24),-0.0248625 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.057548 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.0409097 # DEPENDENCYPART_SIBL
(20,23),(20,24),-0.0125873 # DEPENDENCYPART_SIBL
(21,1),(21,5),0.0189725 # DEPENDENCYPART_SIBL
(21,1),(21,6),0.0189725 # DEPENDENCYPART_SIBL
(21,1),(21,8),-0.0869556 # DEPENDENCYPART_SIBL
(21,1),(21,9),-0.0869556 # DEPENDENCYPART_SIBL
(21,1),(21,10),0.0189725 # DEPENDENCYPART_SIBL
(21,1),(21,11),-0.109471 # DEPENDENCYPART_SIBL
(21,1),(21,12),0.0359034 # DEPENDENCYPART_SIBL
(21,1),(21,13),-0.0699486 # DEPENDENCYPART_SIBL
(21,1),(21,14),-0.0291789 # DEPENDENCYPART_SIBL
(21,1),(21,15),-0.0699486 # DEPENDENCYPART_SIBL
(21,1),(21,16),-0.0869556 # DEPENDENCYPART_SIBL
(21,1),(21,17),0.00154926 # DEPENDENCYPART_SIBL
(21,1),(21,18),-0.168622 # DEPENDENCYPART_SIBL
(21,1),(21,19),0.0144087 # DEPENDENCYPART_SIBL
(21,1),(21,20),-0.075253 # DEPENDENCYPART_SIBL
(21,1),(21,22),-0.0689981 # DEPENDENCYPART_SIBL
(21,1),(21,23),-0.0151577 # DEPENDENCYPART_SIBL
(21,1),(21,24),-0.0113692 # DEPENDENCYPART_SIBL
(21,1),(21,25),-0.075744 # DEPENDENCYPART_SIBL
(21,5),(21,6),-1.02535 # DEPENDENCYPART_SIBL
(21,5),(21,8),-0.546144 # DEPENDENCYPART_SIBL
(21,5),(21,9),-0.546144 # DEPENDENCYPART_SIBL
(21,5),(21,10),-1.02535 # DEPENDENCYPART_SIBL
(21,5),(21,11),-0.55618 # DEPENDENCYPART_SIBL
(21,5),(21,12),-0.324035 # DEPENDENCYPART_SIBL
(21,5),(21,13),-0.936246 # DEPENDENCYPART_SIBL
(21,5),(21,14),-0.493325 # DEPENDENCYPART_SIBL
(21,5),(21,15),-0.936246 # DEPENDENCYPART_SIBL
(21,5),(21,16),-0.546144 # DEPENDENCYPART_SIBL
(21,5),(21,17),-0.631034 # DEPENDENCYPART_SIBL
(21,5),(21,18),-0.437085 # DEPENDENCYPART_SIBL
(21,5),(21,19),-0.268446 # DEPENDENCYPART_SIBL
(21,5),(21,20),-0.541655 # DEPENDENCYPART_SIBL
(21,5),(21,22),-0.1235 # DEPENDENCYPART_SIBL
(21,5),(21,23),-0.0128187 # DEPENDENCYPART_SIBL
(21,5),(21,24),-0.0416302 # DEPENDENCYPART_SIBL
(21,5),(21,25),-0.123776 # DEPENDENCYPART_SIBL
(21,6),(21,8),-0.546144 # DEPENDENCYPART_SIBL
(21,6),(21,9),-0.546144 # DEPENDENCYPART_SIBL
(21,6),(21,10),-1.02535 # DEPENDENCYPART_SIBL
(21,6),(21,11),-0.55618 # DEPENDENCYPART_SIBL
(21,6),(21,12),-0.324035 # DEPENDENCYPART_SIBL
(21,6),(21,13),-0.936246 # DEPENDENCYPART_SIBL
(21,6),(21,14),-0.493325 # DEPENDENCYPART_SIBL
(21,6),(21,15),-0.936246 # DEPENDENCYPART_SIBL
(21,6),(21,16),-0.546144 # DEPENDENCYPART_SIBL
(21,6),(21,17),-0.631034 # DEPENDENCYPART_SIBL
(21,6),(21,18),-0.437085 # DEPENDENCYPART_SIBL
(21,6),(21,19),-0.268446 # DEPENDENCYPART_SIBL
(21,6),(21,20),-0.541655 # DEPENDENCYPART_SIBL
(21,6),(21,22),-0.1235 # DEPENDENCYPART_SIBL
(21,6),(21,23),-0.0128187 # DEPENDENCYPART_SIBL
(21,6),(21,24),-0.0416302 # DEPENDENCYPART_SIBL
(21,6),(21,25),-0.123776 # DEPENDENCYPART_SIBL
(21,8),(21,9),-0.0869556 # DEPENDENCYPART_SIBL
(21,8),(21,10),0.0189725 # DEPENDENCYPART_SIBL
(21,8),(21,11),-0.109471 # DEPENDENCYPART_SIBL
(21,8),(21,12),0.0359034 # DEPENDENCYPART_SIBL
(21,8),(21,13),-0.0699486 # DEPENDENCYPART_SIBL
(21,8),(21,14),-0.0291789 # DEPENDENCYPART_SIBL
(21,8),(21,15),-0.0699486 # DEPENDENCYPART_SIBL
(21,8),(21,16),-0.0869556 # DEPENDENCYPART_SIBL
(21,8),(21,17),0.00154926 # DEPENDENCYPART_SIBL
(21,8),(21,18),-0.168622 # DEPENDENCYPART_SIBL
(21,8),(21,19),0.0144087 # DEPENDENCYPART_SIBL
(21,8),(21,20),-0.075253 # DEPENDENCYPART_SIBL
(21,8),(21,22),-0.0689981 # DEPENDENCYPART_SIBL
(21,8),(21,23),-0.0151577 # DEPENDENCYPART_SIBL
(21,8),(21,24),-0.0113692 # DEPENDENCYPART_SIBL
(21,8),(21,25),-0.075744 # DEPENDENCYPART_SIBL
(21,9),(21,10),0.0189725 # DEPENDENCYPART_SIBL
(21,9),(21,11),-0.109471 # DEPENDENCYPART_SIBL
(21,9),(21,12),0.0359034 # DEPENDENCYPART_SIBL
(21,9),(21,13),-0.0699486 # DEPENDENCYPART_SIBL
(21,9),(21,14),-0.0291789 # DEPENDENCYPART_SIBL
(21,9),(21,15),-0.0699486 # DEPENDENCYPART_SIBL
(21,9),(21,16),-0.0869556 # DEPENDENCYPART_SIBL
(21,9),(21,17),0.00154926 # DEPENDENCYPART_SIBL
(21,9),(21,18),-0.168622 # DEPENDENCYPART_SIBL
(21,9),(21,19),0.0144087 # DEPENDENCYPART_SIBL
(21,9),(21,20),-0.075253 # DEPENDENCYPART_SIBL
(21,9),(21,22),-0.0689981 # DEPENDENCYPART_SIBL
(21,9),(21,23),-0.0151577 # DEPENDENCYPART_SIBL
(21,9),(21,24),-0.0113692 # DEPENDENCYPART_SIBL
(21,9),(21,25),-0.075744 # DEPENDENCYPART_SIBL
(21,10),(21,11),-0.55618 # DEPENDENCYPART_SIBL
(21,10),(21,12),-0.324035 # DEPENDENCYPART_SIBL
(21,10),(21,13),-0.936246 # DEPENDENCYPART_SIBL
(21,10),(21,14),-0.493325 # DEPENDENCYPART_SIBL
(21,10),(21,15),-0.936246 # DEPENDENCYPART_SIBL
(21,10),(21,16),-0.546144 # DEPENDENCYPART_SIBL
(21,10),(21,17),-0.631034 # DEPENDENCYPART_SIBL
(21,10),(21,18),-0.437085 # DEPENDENCYPART_SIBL
(21,10),(21,19),-0.268446 # DEPENDENCYPART_SIBL
(21,10),(21,20),-0.541655 # DEPENDENCYPART_SIBL
(21,10),(21,22),-0.1235 # DEPENDENCYPART_SIBL
(21,10),(21,23),-0.0128187 # DEPENDENCYPART_SIBL
(21,10),(21,24),-0.0416302 # DEPENDENCYPART_SIBL
(21,10),(21,25),-0.123776 # DEPENDENCYPART_SIBL
(21,11),(21,12),0.031883 # DEPENDENCYPART_SIBL
(21,11),(21,13),-0.0773791 # DEPENDENCYPART_SIBL
(21,11),(21,14),-0.0320821 # DEPENDENCYPART_SIBL
(21,11),(21,15),-0.0773791 # DEPENDENCYPART_SIBL
(21,11),(21,16),-0.0903328 # DEPENDENCYPART_SIBL
(21,11),(21,17),-0.000284909 # DEPENDENCYPART_SIBL
(21,11),(21,18),-0.169328 # DEPENDENCYPART_SIBL
(21,11),(21,19),0.0137029 # DEPENDENCYPART_SIBL
(21,11),(21,20),-0.0786302 # DEPENDENCYPART_SIBL
(21,11),(21,22),-0.0691954 # DEPENDENCYPART_SIBL
(21,11),(21,23),-0.0153576 # DEPENDENCYPART_SIBL
(21,11),(21,24),-0.0115665 # DEPENDENCYPART_SIBL
(21,11),(21,25),-0.0759413 # DEPENDENCYPART_SIBL
(21,12),(21,13),0.0473175 # DEPENDENCYPART_SIBL
(21,12),(21,14),-0.134937 # DEPENDENCYPART_SIBL
(21,12),(21,15),0.0473175 # DEPENDENCYPART_SIBL
(21,12),(21,16),0.0290946 # DEPENDENCYPART_SIBL
(21,12),(21,17),-0.0250241 # DEPENDENCYPART_SIBL
(21,12),(21,18),-0.215567 # DEPENDENCYPART_SIBL
(21,12),(21,19),0.0476198 # DEPENDENCYPART_SIBL
(21,12),(21,20),0.0335836 # DEPENDENCYPART_SIBL
(21,12),(21,22),-0.0677923 # DEPENDENCYPART_SIBL
(21,12),(21,23),0.0164005 # DEPENDENCYPART_SIBL
(21,12),(21,24),-0.00844129 # DEPENDENCYPART_SIBL
(21,12),(21,25),-0.0777329 # DEPENDENCYPART_SIBL
(21,13),(21,14),-0.462734 # DEPENDENCYPART_SIBL
(21,13),(21,15),-0.974329 # DEPENDENCYPART_SIBL
(21,13),(21,16),-0.637245 # DEPENDENCYPART_SIBL
(21,13),(21,17),-0.562184 # DEPENDENCYPART_SIBL
(21,13),(21,18),-0.442747 # DEPENDENCYPART_SIBL
(21,13),(21,19),-0.288926 # DEPENDENCYPART_SIBL
(21,13),(21,20),-0.625542 # DEPENDENCYPART_SIBL
(21,13),(21,22),-0.103847 # DEPENDENCYPART_SIBL
(21,13),(21,23),-0.0223717 # DEPENDENCYPART_SIBL
(21,13),(21,24),-0.0195076 # DEPENDENCYPART_SIBL
(21,13),(21,25),-0.108362 # DEPENDENCYPART_SIBL
(21,14),(21,15),-0.0500931 # DEPENDENCYPART_SIBL
(21,14),(21,16),-0.0505191 # DEPENDENCYPART_SIBL
(21,14),(21,17),-0.0123162 # DEPENDENCYPART_SIBL
(21,14),(21,18),-0.168616 # DEPENDENCYPART_SIBL
(21,14),(21,19),0.00568496 # DEPENDENCYPART_SIBL
(21,14),(21,20),-0.0473417 # DEPENDENCYPART_SIBL
(21,14),(21,22),-0.0842121 # DEPENDENCYPART_SIBL
(21,14),(21,23),0.00334068 # DEPENDENCYPART_SIBL
(21,14),(21,24),-0.00732312 # DEPENDENCYPART_SIBL
(21,14),(21,25),-0.1018 # DEPENDENCYPART_SIBL
(21,15),(21,16),-0.637245 # DEPENDENCYPART_SIBL
(21,15),(21,17),-0.562184 # DEPENDENCYPART_SIBL
(21,15),(21,18),-0.442747 # DEPENDENCYPART_SIBL
(21,15),(21,19),-0.288926 # DEPENDENCYPART_SIBL
(21,15),(21,20),-0.625542 # DEPENDENCYPART_SIBL
(21,15),(21,22),-0.103847 # DEPENDENCYPART_SIBL
(21,15),(21,23),-0.0223717 # DEPENDENCYPART_SIBL
(21,15),(21,24),-0.0195076 # DEPENDENCYPART_SIBL
(21,15),(21,25),-0.108362 # DEPENDENCYPART_SIBL
(21,16),(21,17),0.00154926 # DEPENDENCYPART_SIBL
(21,16),(21,18),-0.168622 # DEPENDENCYPART_SIBL
(21,16),(21,19),0.0144087 # DEPENDENCYPART_SIBL
(21,16),(21,20),-0.075253 # DEPENDENCYPART_SIBL
(21,16),(21,22),-0.0689981 # DEPENDENCYPART_SIBL
(21,16),(21,23),-0.0151577 # DEPENDENCYPART_SIBL
(21,16),(21,24),-0.0113692 # DEPENDENCYPART_SIBL
(21,16),(21,25),-0.075744 # DEPENDENCYPART_SIBL
(21,17),(21,18),-0.16296 # DEPENDENCYPART_SIBL
(21,17),(21,19),0.0348883 # DEPENDENCYPART_SIBL
(21,17),(21,20),0.00863354 # DEPENDENCYPART_SIBL
(21,17),(21,22),-0.0889911 # DEPENDENCYPART_SIBL
(21,17),(21,23),-0.00560473 # DEPENDENCYPART_SIBL
(21,17),(21,24),-0.0334918 # DEPENDENCYPART_SIBL
(21,17),(21,25),-0.0918375 # DEPENDENCYPART_SIBL
(21,18),(21,19),-0.0302467 # DEPENDENCYPART_SIBL
(21,18),(21,20),0.0115993 # DEPENDENCYPART_SIBL
(21,18),(21,22),0.0832983 # DEPENDENCYPART_SIBL
(21,18),(21,23),-0.0265486 # DEPENDENCYPART_SIBL
(21,18),(21,24),-0.0252813 # DEPENDENCYPART_SIBL
(21,18),(21,25),-0.0746487 # DEPENDENCYPART_SIBL
(21,19),(21,20),-0.0371466 # DEPENDENCYPART_SIBL
(21,19),(21,22),-0.106541 # DEPENDENCYPART_SIBL
(21,19),(21,23),-0.0752342 # DEPENDENCYPART_SIBL
(21,19),(21,24),-0.010344 # DEPENDENCYPART_SIBL
(21,19),(21,25),-0.121946 # DEPENDENCYPART_SIBL
(21,20),(21,22),-0.0694282 # DEPENDENCYPART_SIBL
(21,20),(21,23),-0.0164461 # DEPENDENCYPART_SIBL
(21,20),(21,24),-0.0117993 # DEPENDENCYPART_SIBL
(21,20),(21,25),-0.0761741 # DEPENDENCYPART_SIBL
(21,22),(21,23),-0.0957644 # DEPENDENCYPART_SIBL
(21,22),(21,24),-0.049772 # DEPENDENCYPART_SIBL
(21,22),(21,25),-0.0276484 # DEPENDENCYPART_SIBL
(21,23),(21,24),-0.012739 # DEPENDENCYPART_SIBL
(21,23),(21,25),-0.00818572 # DEPENDENCYPART_SIBL
(21,24),(21,25),-0.0599132 # DEPENDENCYPART_SIBL
(22,16),(22,17),0.0324221 # DEPENDENCYPART_SIBL
(22,16),(22,18),-0.0818131 # DEPENDENCYPART_SIBL
(22,16),(22,19),-0.073421 # DEPENDENCYPART_SIBL
(22,16),(22,20),-0.0833823 # DEPENDENCYPART_SIBL
(22,16),(22,21),0.0292436 # DEPENDENCYPART_SIBL
(22,16),(22,23),0.00262664 # DEPENDENCYPART_SIBL
(22,16),(22,24),-0.033615 # DEPENDENCYPART_SIBL
(22,16),(22,25),0.0249933 # DEPENDENCYPART_SIBL
(22,17),(22,18),-0.128918 # DEPENDENCYPART_SIBL
(22,17),(22,19),-0.136205 # DEPENDENCYPART_SIBL
(22,17),(22,20),-0.18748 # DEPENDENCYPART_SIBL
(22,17),(22,21),-0.203983 # DEPENDENCYPART_SIBL
(22,17),(22,23),-0.0648691 # DEPENDENCYPART_SIBL
(22,17),(22,24),-0.140309 # DEPENDENCYPART_SIBL
(22,17),(22,25),-0.0667745 # DEPENDENCYPART_SIBL
(22,18),(22,19),0.0308529 # DEPENDENCYPART_SIBL
(22,18),(22,20),0.0364214 # DEPENDENCYPART_SIBL
(22,18),(22,21),0.0858019 # DEPENDENCYPART_SIBL
(22,18),(22,23),-0.0279063 # DEPENDENCYPART_SIBL
(22,18),(22,24),-0.0740256 # DEPENDENCYPART_SIBL
(22,18),(22,25),-0.0445988 # DEPENDENCYPART_SIBL
(22,19),(22,20),-0.0693109 # DEPENDENCYPART_SIBL
(22,19),(22,21),0.00592655 # DEPENDENCYPART_SIBL
(22,19),(22,23),-0.0304989 # DEPENDENCYPART_SIBL
(22,19),(22,24),-0.0321062 # DEPENDENCYPART_SIBL
(22,19),(22,25),-0.0231763 # DEPENDENCYPART_SIBL
(22,20),(22,21),0.0245992 # DEPENDENCYPART_SIBL
(22,20),(22,23),0.00219754 # DEPENDENCYPART_SIBL
(22,20),(22,24),-0.033615 # DEPENDENCYPART_SIBL
(22,20),(22,25),0.0249933 # DEPENDENCYPART_SIBL
(22,21),(22,23),-0.0645374 # DEPENDENCYPART_SIBL
(22,21),(22,24),-0.139977 # DEPENDENCYPART_SIBL
(22,21),(22,25),-0.0651012 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.032302 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.0173388 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.0431921 # DEPENDENCYPART_SIBL
(23,7),(23,14),0.108493 # DEPENDENCYPART_SIBL
(23,7),(23,16),0.088962 # DEPENDENCYPART_SIBL
(23,7),(23,17),0.150441 # DEPENDENCYPART_SIBL
(23,7),(23,18),-0.030237 # DEPENDENCYPART_SIBL
(23,7),(23,19),0.102805 # DEPENDENCYPART_SIBL
(23,7),(23,20),0.0831929 # DEPENDENCYPART_SIBL
(23,7),(23,21),0.150434 # DEPENDENCYPART_SIBL
(23,7),(23,22),-0.030237 # DEPENDENCYPART_SIBL
(23,7),(23,25),-0.0405361 # DEPENDENCYPART_SIBL
(23,14),(23,16),0.0787057 # DEPENDENCYPART_SIBL
(23,14),(23,17),0.146146 # DEPENDENCYPART_SIBL
(23,14),(23,18),-0.0344369 # DEPENDENCYPART_SIBL
(23,14),(23,19),0.0986051 # DEPENDENCYPART_SIBL
(23,14),(23,20),0.0729365 # DEPENDENCYPART_SIBL
(23,14),(23,21),0.14614 # DEPENDENCYPART_SIBL
(23,14),(23,22),-0.0344369 # DEPENDENCYPART_SIBL
(23,14),(23,25),-0.0411778 # DEPENDENCYPART_SIBL
(23,16),(23,17),0.186899 # DEPENDENCYPART_SIBL
(23,16),(23,18),-0.0656379 # DEPENDENCYPART_SIBL
(23,16),(23,19),0.0709164 # DEPENDENCYPART_SIBL
(23,16),(23,20),-0.00787984 # DEPENDENCYPART_SIBL
(23,16),(23,21),0.186117 # DEPENDENCYPART_SIBL
(23,16),(23,22),-0.0656379 # DEPENDENCYPART_SIBL
(23,16),(23,25),-0.0217351 # DEPENDENCYPART_SIBL
(23,17),(23,18),-0.0190006 # DEPENDENCYPART_SIBL
(23,17),(23,19),0.141776 # DEPENDENCYPART_SIBL
(23,17),(23,20),0.097832 # DEPENDENCYPART_SIBL
(23,17),(23,21),0.115194 # DEPENDENCYPART_SIBL
(23,17),(23,22),-0.0190006 # DEPENDENCYPART_SIBL
(23,17),(23,25),-0.0203685 # DEPENDENCYPART_SIBL
(23,18),(23,19),0.0753924 # DEPENDENCYPART_SIBL
(23,18),(23,20),0.00334498 # DEPENDENCYPART_SIBL
(23,18),(23,21),0.0963407 # DEPENDENCYPART_SIBL
(23,18),(23,22),-0.0839136 # DEPENDENCYPART_SIBL
(23,18),(23,25),-0.0556606 # DEPENDENCYPART_SIBL
(23,19),(23,20),0.0324514 # DEPENDENCYPART_SIBL
(23,19),(23,21),0.0730751 # DEPENDENCYPART_SIBL
(23,19),(23,22),-0.0347079 # DEPENDENCYPART_SIBL
(23,19),(23,25),-0.0557039 # DEPENDENCYPART_SIBL
(23,20),(23,21),0.181568 # DEPENDENCYPART_SIBL
(23,20),(23,22),-0.0656379 # DEPENDENCYPART_SIBL
(23,20),(23,25),-0.0217351 # DEPENDENCYPART_SIBL
(23,21),(23,22),-0.0190006 # DEPENDENCYPART_SIBL
(23,21),(23,25),-0.0197038 # DEPENDENCYPART_SIBL
(23,22),(23,25),-0.0556606 # DEPENDENCYPART_SIBL
(24,5),(24,6),-1.03137 # DEPENDENCYPART_SIBL
(24,5),(24,8),-0.553839 # DEPENDENCYPART_SIBL
(24,5),(24,9),-0.553839 # DEPENDENCYPART_SIBL
(24,5),(24,11),-0.563874 # DEPENDENCYPART_SIBL
(24,5),(24,12),-0.331447 # DEPENDENCYPART_SIBL
(24,5),(24,13),-0.943691 # DEPENDENCYPART_SIBL
(24,5),(24,14),-0.500736 # DEPENDENCYPART_SIBL
(24,5),(24,15),-0.943691 # DEPENDENCYPART_SIBL
(24,5),(24,16),-0.553839 # DEPENDENCYPART_SIBL
(24,5),(24,17),-0.637296 # DEPENDENCYPART_SIBL
(24,5),(24,18),-0.444497 # DEPENDENCYPART_SIBL
(24,5),(24,19),-0.27824 # DEPENDENCYPART_SIBL
(24,5),(24,20),-0.54935 # DEPENDENCYPART_SIBL
(24,5),(24,21),-0.642858 # DEPENDENCYPART_SIBL
(24,5),(24,22),-0.444497 # DEPENDENCYPART_SIBL
(24,5),(24,23),-0.553839 # DEPENDENCYPART_SIBL
(24,5),(24,25),-0.123219 # DEPENDENCYPART_SIBL
(24,6),(24,8),-0.553839 # DEPENDENCYPART_SIBL
(24,6),(24,9),-0.553839 # DEPENDENCYPART_SIBL
(24,6),(24,11),-0.563874 # DEPENDENCYPART_SIBL
(24,6),(24,12),-0.331447 # DEPENDENCYPART_SIBL
(24,6),(24,13),-0.943691 # DEPENDENCYPART_SIBL
(24,6),(24,14),-0.500736 # DEPENDENCYPART_SIBL
(24,6),(24,15),-0.943691 # DEPENDENCYPART_SIBL
(24,6),(24,16),-0.553839 # DEPENDENCYPART_SIBL
(24,6),(24,17),-0.637296 # DEPENDENCYPART_SIBL
(24,6),(24,18),-0.444497 # DEPENDENCYPART_SIBL
(24,6),(24,19),-0.27824 # DEPENDENCYPART_SIBL
(24,6),(24,20),-0.54935 # DEPENDENCYPART_SIBL
(24,6),(24,21),-0.642858 # DEPENDENCYPART_SIBL
(24,6),(24,22),-0.444497 # DEPENDENCYPART_SIBL
(24,6),(24,23),-0.553839 # DEPENDENCYPART_SIBL
(24,6),(24,25),-0.123219 # DEPENDENCYPART_SIBL
(24,8),(24,9),-0.0706418 # DEPENDENCYPART_SIBL
(24,8),(24,11),-0.0931573 # DEPENDENCYPART_SIBL
(24,8),(24,12),0.0466983 # DEPENDENCYPART_SIBL
(24,8),(24,13),-0.0532037 # DEPENDENCYPART_SIBL
(24,8),(24,14),-0.0183841 # DEPENDENCYPART_SIBL
(24,8),(24,15),-0.0532037 # DEPENDENCYPART_SIBL
(24,8),(24,16),-0.0706418 # DEPENDENCYPART_SIBL
(24,8),(24,17),0.013905 # DEPENDENCYPART_SIBL
(24,8),(24,18),-0.157828 # DEPENDENCYPART_SIBL
(24,8),(24,19),0.0288725 # DEPENDENCYPART_SIBL
(24,8),(24,20),-0.0589392 # DEPENDENCYPART_SIBL
(24,8),(24,21),0.0110029 # DEPENDENCYPART_SIBL
(24,8),(24,22),-0.157828 # DEPENDENCYPART_SIBL
