# _root_ Prens Rapunzel'e _ evlenme teklif_etmiş , Rapunzel de kabul_etmiş , yüzü _ hafifçe _ kızararak .
#goldHeads=5,5,4,5,6,9,9,7,16,0,14,13,14,15,9,0,
#predictedHeads=5,3,4,5,6,9,9,7,16,14,14,13,14,15,9,0,
(9,6),(9,13),0.132382 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.117494 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.132382 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0680033 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.091231 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0647261 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.00183869 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.103584 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0226325 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0760747 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0226325 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.071472 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0997605 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0573337 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0940353 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0571994 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0775909 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0571994 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.121592 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0957602 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0513166 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0437099 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0632698 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0437099 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0276293 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0295629 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0113068 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0310266 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.0113068 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.00773257 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0531391 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0610311 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0531391 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0819075 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0160023 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.00516514 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0257081 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0513618 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0957621 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.0257081 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.408986 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.455969 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.159751 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.408986 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0521554 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.455969 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0668854 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0309956 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.166193 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0812621 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0325191 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0818131 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0847705 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0428428 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0325191 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.00262664 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0336454 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0586021 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.0249933 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.128918 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.186812 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0196151 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.202308 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0645292 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0047651 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.163558 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0650751 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0370901 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.00540892 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0885901 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0279063 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0917764 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.111055 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0445988 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0428428 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0325191 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.00262664 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0336454 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0586021 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0249933 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.10569 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0115084 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0675318 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0259675 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0121558 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0645292 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0047651 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.163558 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0650751 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0144066 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0374247 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0173388 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.00495457 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.00714506 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0619313 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.194955 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0579981 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.0351014 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.194955 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0579981 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0429459 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.00464821 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0536802 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0190006 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0537855 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.1152 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0190006 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0407964 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0529413 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0272739 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0707074 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0974612 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0839136 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.036629 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.147235 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0569933 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0387875 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0134223 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.00178262 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0091797 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0281914 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0190006 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0407964 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0529413 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0272739 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.036629 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.147235 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0569933 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0172296 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0357053 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0329604 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.152024 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.0952111 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.078023 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.0579721 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.141263 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.0465111 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0688041 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.0571855 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.00358873 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.00504023 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.156572 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0650965 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0579721 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.141263 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0839613 # DEPENDENCYPART_SIBL
(13,1),(13,2),0.0436947 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.0436947 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0436947 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.00628701 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.0404604 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0410653 # DEPENDENCYPART_SIBL
(13,2),(13,4),0.0504899 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.0504899 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.00628663 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.0472556 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.0436582 # DEPENDENCYPART_SIBL
(13,4),(13,7),0.0504899 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.00628663 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.0472556 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.0436582 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.00628663 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.0472556 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.0436582 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.121373 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.0921581 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0550794 # DEPENDENCYPART_SIBL
(14,1),(14,2),0.00543856 # DEPENDENCYPART_SIBL
(14,1),(14,4),0.00543856 # DEPENDENCYPART_SIBL
(14,1),(14,5),0.173762 # DEPENDENCYPART_SIBL
(14,1),(14,6),-0.0738342 # DEPENDENCYPART_SIBL
(14,1),(14,7),0.00543856 # DEPENDENCYPART_SIBL
(14,1),(14,8),-0.0508808 # DEPENDENCYPART_SIBL
(14,1),(14,9),0.173762 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.0738342 # DEPENDENCYPART_SIBL
(14,1),(14,11),0.00853116 # DEPENDENCYPART_SIBL
(14,1),(14,12),-0.125752 # DEPENDENCYPART_SIBL
(14,1),(14,13),0.148456 # DEPENDENCYPART_SIBL
(14,1),(14,15),-0.00312377 # DEPENDENCYPART_SIBL
(14,1),(14,16),-0.0505711 # DEPENDENCYPART_SIBL
(14,2),(14,4),0.0108336 # DEPENDENCYPART_SIBL
(14,2),(14,5),0.150983 # DEPENDENCYPART_SIBL
(14,2),(14,6),-0.081844 # DEPENDENCYPART_SIBL
(14,2),(14,7),0.0108336 # DEPENDENCYPART_SIBL
(14,2),(14,8),-0.0588906 # DEPENDENCYPART_SIBL
(14,2),(14,9),0.150983 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.081844 # DEPENDENCYPART_SIBL
(14,2),(14,11),0.0139262 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.136991 # DEPENDENCYPART_SIBL
(14,2),(14,13),0.13418 # DEPENDENCYPART_SIBL
(14,2),(14,15),-0.00277362 # DEPENDENCYPART_SIBL
(14,2),(14,16),-0.0505711 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.150983 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.081844 # DEPENDENCYPART_SIBL
(14,4),(14,7),0.0108336 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.0588906 # DEPENDENCYPART_SIBL
(14,4),(14,9),0.150983 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.081844 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.0139262 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.136991 # DEPENDENCYPART_SIBL
(14,4),(14,13),0.13418 # DEPENDENCYPART_SIBL
(14,4),(14,15),-0.00277362 # DEPENDENCYPART_SIBL
(14,4),(14,16),-0.0505711 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.1158 # DEPENDENCYPART_SIBL
(14,5),(14,7),0.0836311 # DEPENDENCYPART_SIBL
(14,5),(14,8),-0.0321006 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.00822211 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.1158 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.0939342 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.208436 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.0726744 # DEPENDENCYPART_SIBL
(14,5),(14,15),0.0386384 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.0703965 # DEPENDENCYPART_SIBL
(14,6),(14,7),0.0125111 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.143233 # DEPENDENCYPART_SIBL
(14,6),(14,9),0.0139238 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.227892 # DEPENDENCYPART_SIBL
(14,6),(14,11),0.0571853 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.416392 # DEPENDENCYPART_SIBL
(14,6),(14,13),0.0506143 # DEPENDENCYPART_SIBL
(14,6),(14,15),0.136123 # DEPENDENCYPART_SIBL
(14,6),(14,16),-0.0642176 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.0588906 # DEPENDENCYPART_SIBL
(14,7),(14,9),0.150983 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.081844 # DEPENDENCYPART_SIBL
(14,7),(14,11),0.0139262 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.136991 # DEPENDENCYPART_SIBL
(14,7),(14,13),0.13418 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.00277362 # DEPENDENCYPART_SIBL
(14,7),(14,16),-0.0505711 # DEPENDENCYPART_SIBL
(14,8),(14,9),0.0353859 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.0177826 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.0343641 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.255842 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.0589519 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.0788029 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.1295 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.1158 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.0939342 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.208436 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.0726744 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.0386384 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0703965 # DEPENDENCYPART_SIBL
(14,10),(14,11),0.0571853 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.416392 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.0506143 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.136123 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0642176 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.0847185 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.156249 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.00277388 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0505712 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.307841 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0803281 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.146555 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0682958 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0896684 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.0334094 # DEPENDENCYPART_SIBL
(15,1),(15,2),0.0479737 # DEPENDENCYPART_SIBL
(15,1),(15,4),0.0479737 # DEPENDENCYPART_SIBL
(15,1),(15,7),0.0479737 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.00355012 # DEPENDENCYPART_SIBL
(15,1),(15,11),0.0447393 # DEPENDENCYPART_SIBL
(15,1),(15,12),0.0575879 # DEPENDENCYPART_SIBL
(15,1),(15,13),0.101228 # DEPENDENCYPART_SIBL
(15,1),(15,14),0.163163 # DEPENDENCYPART_SIBL
(15,2),(15,4),0.0547689 # DEPENDENCYPART_SIBL
(15,2),(15,7),0.0547689 # DEPENDENCYPART_SIBL
(15,2),(15,10),-0.00354974 # DEPENDENCYPART_SIBL
(15,2),(15,11),0.0515345 # DEPENDENCYPART_SIBL
(15,2),(15,12),0.0601808 # DEPENDENCYPART_SIBL
(15,2),(15,13),0.0979395 # DEPENDENCYPART_SIBL
(15,2),(15,14),0.156911 # DEPENDENCYPART_SIBL
(15,4),(15,7),0.0547689 # DEPENDENCYPART_SIBL
(15,4),(15,10),-0.00354974 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.0515345 # DEPENDENCYPART_SIBL
(15,4),(15,12),0.0601808 # DEPENDENCYPART_SIBL
(15,4),(15,13),0.0979395 # DEPENDENCYPART_SIBL
(15,4),(15,14),0.156911 # DEPENDENCYPART_SIBL
(15,7),(15,10),-0.00354974 # DEPENDENCYPART_SIBL
(15,7),(15,11),0.0515345 # DEPENDENCYPART_SIBL
(15,7),(15,12),0.0601808 # DEPENDENCYPART_SIBL
(15,7),(15,13),0.0979395 # DEPENDENCYPART_SIBL
(15,7),(15,14),0.156911 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.122915 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.0838341 # DEPENDENCYPART_SIBL
(15,10),(15,13),0.0540299 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.148475 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.0716019 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.0979395 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.160898 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0672166 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.547763 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0259252 # DEPENDENCYPART_SIBL
(16,1),(16,2),-0.0326875 # DEPENDENCYPART_SIBL
(16,1),(16,3),-0.0449847 # DEPENDENCYPART_SIBL
(16,1),(16,5),0.0459406 # DEPENDENCYPART_SIBL
(16,1),(16,6),-0.065657 # DEPENDENCYPART_SIBL
(16,1),(16,7),-0.0326875 # DEPENDENCYPART_SIBL
(16,1),(16,8),0.0243335 # DEPENDENCYPART_SIBL
(16,1),(16,9),0.0459406 # DEPENDENCYPART_SIBL
(16,1),(16,10),-0.065657 # DEPENDENCYPART_SIBL
(16,1),(16,11),-0.0359218 # DEPENDENCYPART_SIBL
(16,1),(16,12),-0.105085 # DEPENDENCYPART_SIBL
(16,1),(16,13),0.016069 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.0449847 # DEPENDENCYPART_SIBL
(16,1),(16,15),0.00846885 # DEPENDENCYPART_SIBL
(16,2),(16,3),-0.0512373 # DEPENDENCYPART_SIBL
(16,2),(16,5),0.0428143 # DEPENDENCYPART_SIBL
(16,2),(16,6),-0.065657 # DEPENDENCYPART_SIBL
(16,2),(16,7),-0.0258927 # DEPENDENCYPART_SIBL
(16,2),(16,8),0.0243335 # DEPENDENCYPART_SIBL
(16,2),(16,9),0.0428143 # DEPENDENCYPART_SIBL
(16,2),(16,10),-0.065657 # DEPENDENCYPART_SIBL
(16,2),(16,11),-0.0291271 # DEPENDENCYPART_SIBL
(16,2),(16,12),-0.102492 # DEPENDENCYPART_SIBL
(16,2),(16,13),0.0127799 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.0512373 # DEPENDENCYPART_SIBL
(16,2),(16,15),0.00517975 # DEPENDENCYPART_SIBL
(16,3),(16,5),-0.696399 # DEPENDENCYPART_SIBL
(16,3),(16,6),-0.25053 # DEPENDENCYPART_SIBL
(16,3),(16,7),-0.472193 # DEPENDENCYPART_SIBL
(16,3),(16,8),-0.0477317 # DEPENDENCYPART_SIBL
(16,3),(16,9),-0.696399 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.25053 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.472193 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.68705 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.229785 # DEPENDENCYPART_SIBL
(16,3),(16,14),-1.03143 # DEPENDENCYPART_SIBL
(16,3),(16,15),-0.227635 # DEPENDENCYPART_SIBL
(16,5),(16,6),-0.220022 # DEPENDENCYPART_SIBL
(16,5),(16,7),-0.252873 # DEPENDENCYPART_SIBL
(16,5),(16,8),-0.0155256 # DEPENDENCYPART_SIBL
(16,5),(16,9),-0.437848 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.220022 # DEPENDENCYPART_SIBL
(16,5),(16,11),-0.252873 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.257189 # DEPENDENCYPART_SIBL
(16,5),(16,13),-0.142134 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.510511 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.14137 # DEPENDENCYPART_SIBL
(16,6),(16,7),0.0773112 # DEPENDENCYPART_SIBL
(16,6),(16,8),0.0248876 # DEPENDENCYPART_SIBL
(16,6),(16,9),0.025689 # DEPENDENCYPART_SIBL
(16,6),(16,10),-0.0750983 # DEPENDENCYPART_SIBL
(16,6),(16,11),0.0905901 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.18609 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.0131226 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.168714 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.0158889 # DEPENDENCYPART_SIBL
(16,7),(16,8),0.0243335 # DEPENDENCYPART_SIBL
(16,7),(16,9),0.0428143 # DEPENDENCYPART_SIBL
(16,7),(16,10),-0.065657 # DEPENDENCYPART_SIBL
(16,7),(16,11),-0.0291271 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.102492 # DEPENDENCYPART_SIBL
(16,7),(16,13),0.0127799 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.0512373 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.00517975 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.0577336 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.0840586 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.139704 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.194589 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.114448 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.195392 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.113024 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.220022 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.252873 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.257189 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.142134 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.510511 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.14137 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.0905901 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.18609 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.0131226 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.168714 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.0158889 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.0910712 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.0127799 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.0472509 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.00517975 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.102062 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.620223 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.0992149 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.116111 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.105025 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.227635 # DEPENDENCYPART_SIBL
(0,5),(5,1),-0.0978008 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),-0.610424 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),-1.24728 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),-0.279468 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),-0.175771 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),-0.330285 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),-0.343327 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),-0.595934 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),-0.43133 # DEPENDENCYPART_GRANDPAR
(0,5),(5,11),-0.593371 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),-0.597918 # DEPENDENCYPART_GRANDPAR
(0,5),(5,14),-2.62536 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),-0.562042 # DEPENDENCYPART_GRANDPAR
(0,5),(5,16),0.0728111 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),-0.621068 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),-1.13422 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),-2.08841 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),-0.803263 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),-1.13743 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),-0.382413 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),-0.586759 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),-0.434122 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),-0.649223 # DEPENDENCYPART_GRANDPAR
(0,6),(6,14),-2.87 # DEPENDENCYPART_GRANDPAR
(0,8),(8,3),-1.28838 # DEPENDENCYPART_GRANDPAR
(0,8),(8,5),-0.5746 # DEPENDENCYPART_GRANDPAR
(0,8),(8,7),-0.662564 # DEPENDENCYPART_GRANDPAR
(0,9),(9,1),-0.0978008 # DEPENDENCYPART_GRANDPAR
