# _root_ Bu , dedikodu _ _ denen haz dünyasından ırak _ yaşayan bir püriten olsun , _ gidip zaman_zaman ona içimizi_dökelim .
#goldHeads=14,0,4,5,6,8,8,9,10,11,13,13,14,15,20,17,20,20,20,21,0,
#predictedHeads=14,0,5,5,6,7,8,10,10,11,13,13,14,15,20,17,20,20,20,21,0,
(10,4),(10,18),0.000487991 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.0433137 # DEPENDENCYPART_SIBL
(10,4),(10,21),-0.119174 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.525061 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.563221 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.56325 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.525061 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.000490241 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0434785 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.118712 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.116215 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0189457 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.000487991 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0433137 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.119174 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0438676 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0438393 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0670411 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.00317052 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0100541 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0801922 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0781796 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0227711 # DEPENDENCYPART_SIBL
(10,6),(10,18),0.00316596 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.0100539 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.0977768 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0107485 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0841319 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0127734 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.00662836 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0373243 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0699033 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.00280372 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.0111177 # DEPENDENCYPART_SIBL
(10,7),(10,20),0.00662862 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0505711 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.102193 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0127734 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.00662836 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0373243 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0699033 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.00280372 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.0111177 # DEPENDENCYPART_SIBL
(10,8),(10,20),0.00662862 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.0505711 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.00317052 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0100541 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0801922 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0781796 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0227711 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.00316596 # DEPENDENCYPART_SIBL
(10,9),(10,20),-0.0100539 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.0977768 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.00562082 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0726346 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0253089 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.0133227 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.00121166 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.00562024 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.0049745 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0324768 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.042066 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0359796 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.0243032 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.0308308 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.0648525 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0683883 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0501896 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.0728687 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.0540562 # DEPENDENCYPART_SIBL
(10,15),(10,21),-0.0341533 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0566718 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.0540475 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.0518793 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.101043 # DEPENDENCYPART_SIBL
(10,17),(10,18),0.0208482 # DEPENDENCYPART_SIBL
(10,17),(10,20),-0.0105396 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.0334117 # DEPENDENCYPART_SIBL
(10,18),(10,20),-0.00562024 # DEPENDENCYPART_SIBL
(10,18),(10,21),-0.0049745 # DEPENDENCYPART_SIBL
(10,20),(10,21),-0.0648523 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.042967 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.042967 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0429668 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0628263 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.205926 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0388568 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.0388282 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.0974011 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0665151 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.0388282 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0974011 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0665151 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0967664 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0746138 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0146914 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.0517963 # DEPENDENCYPART_SIBL
(13,1),(13,3),0.0127293 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.0818059 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0127293 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.0127293 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0818059 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.121486 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.0740875 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0526378 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.00583891 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.0724216 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.0385538 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.0191831 # DEPENDENCYPART_SIBL
(13,1),(13,20),-0.00550986 # DEPENDENCYPART_SIBL
(13,2),(13,3),0.00649166 # DEPENDENCYPART_SIBL
(13,2),(13,6),0.0212658 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.00649166 # DEPENDENCYPART_SIBL
(13,2),(13,8),0.00649164 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.0212658 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.228157 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.000964383 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.0803326 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.00143341 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0185161 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0569933 # DEPENDENCYPART_SIBL
(13,2),(13,18),0.0406291 # DEPENDENCYPART_SIBL
(13,2),(13,20),-0.000445715 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.0915241 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.0070149 # DEPENDENCYPART_SIBL
(13,3),(13,8),-0.00704334 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.0915241 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.0269906 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.0793274 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.0943036 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.00732266 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.0314854 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0536802 # DEPENDENCYPART_SIBL
(13,3),(13,18),-0.0258898 # DEPENDENCYPART_SIBL
(13,3),(13,20),-0.00699361 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.0844188 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.0844188 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.0921433 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.0161074 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.0934231 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.296643 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.0454004 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0470347 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.00620933 # DEPENDENCYPART_SIBL
(13,6),(13,18),0.0930947 # DEPENDENCYPART_SIBL
(13,6),(13,20),0.0457294 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.00704334 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.0915241 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.0269906 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.0793274 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.0943036 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.00732266 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.0314854 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.0536802 # DEPENDENCYPART_SIBL
(13,7),(13,18),-0.0258898 # DEPENDENCYPART_SIBL
(13,7),(13,20),-0.00699361 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.0914961 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0361013 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.0792993 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0943036 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.00732266 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0314854 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0536802 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.0258898 # DEPENDENCYPART_SIBL
(13,8),(13,20),-0.00699361 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.0133275 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.0964726 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.306476 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0454004 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.0470347 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.00620933 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.0930947 # DEPENDENCYPART_SIBL
(13,9),(13,20),0.0457294 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.354699 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.138428 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.00265914 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.082585 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0470434 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.0241309 # DEPENDENCYPART_SIBL
(13,10),(13,20),-0.00200102 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.289865 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0471238 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0449152 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.00448587 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.0952039 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.0474529 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0431433 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0739834 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.00425294 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.0800213 # DEPENDENCYPART_SIBL
(13,12),(13,20),0.0434723 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0315776 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0304977 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0232926 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.0248628 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0486369 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.057548 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.0409097 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0322674 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.0294243 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.0125873 # DEPENDENCYPART_SIBL
(14,1),(14,2),-0.228553 # DEPENDENCYPART_SIBL
(14,1),(14,3),-0.065846 # DEPENDENCYPART_SIBL
(14,1),(14,4),0.0154137 # DEPENDENCYPART_SIBL
(14,1),(14,5),0.0154137 # DEPENDENCYPART_SIBL
(14,1),(14,6),-0.0272917 # DEPENDENCYPART_SIBL
(14,1),(14,7),-0.065846 # DEPENDENCYPART_SIBL
(14,1),(14,8),-0.0658744 # DEPENDENCYPART_SIBL
(14,1),(14,9),-0.0272917 # DEPENDENCYPART_SIBL
(14,1),(14,10),0.0154137 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.0276574 # DEPENDENCYPART_SIBL
(14,1),(14,12),0.0167679 # DEPENDENCYPART_SIBL
(14,1),(14,13),-0.065846 # DEPENDENCYPART_SIBL
(14,1),(14,15),-0.118333 # DEPENDENCYPART_SIBL
(14,1),(14,16),-0.0755969 # DEPENDENCYPART_SIBL
(14,1),(14,17),-0.146729 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.0616812 # DEPENDENCYPART_SIBL
(14,1),(14,20),-0.0243798 # DEPENDENCYPART_SIBL
(14,1),(14,21),-0.133434 # DEPENDENCYPART_SIBL
(14,2),(14,3),0.0166528 # DEPENDENCYPART_SIBL
(14,2),(14,4),-0.128082 # DEPENDENCYPART_SIBL
(14,2),(14,5),-0.128082 # DEPENDENCYPART_SIBL
(14,2),(14,6),0.0301022 # DEPENDENCYPART_SIBL
(14,2),(14,7),0.0166528 # DEPENDENCYPART_SIBL
(14,2),(14,8),0.0166244 # DEPENDENCYPART_SIBL
(14,2),(14,9),0.0301022 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.128082 # DEPENDENCYPART_SIBL
(14,2),(14,11),0.0224806 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.0174342 # DEPENDENCYPART_SIBL
(14,2),(14,13),0.0166528 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.0746848 # DEPENDENCYPART_SIBL
(14,2),(14,16),-0.136072 # DEPENDENCYPART_SIBL
(14,2),(14,17),0.0870731 # DEPENDENCYPART_SIBL
(14,2),(14,18),-0.00276817 # DEPENDENCYPART_SIBL
(14,2),(14,20),-0.037251 # DEPENDENCYPART_SIBL
(14,2),(14,21),-0.0832621 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.0339531 # DEPENDENCYPART_SIBL
(14,3),(14,5),0.0339531 # DEPENDENCYPART_SIBL
(14,3),(14,6),-0.0310286 # DEPENDENCYPART_SIBL
(14,3),(14,7),-0.0574715 # DEPENDENCYPART_SIBL
(14,3),(14,8),-0.0575567 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.0310286 # DEPENDENCYPART_SIBL
(14,3),(14,10),0.0339531 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.0336413 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.00800363 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.0574715 # DEPENDENCYPART_SIBL
(14,3),(14,15),-0.0449242 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.0574753 # DEPENDENCYPART_SIBL
(14,3),(14,17),0.0250515 # DEPENDENCYPART_SIBL
(14,3),(14,18),0.0612369 # DEPENDENCYPART_SIBL
(14,3),(14,20),0.0114854 # DEPENDENCYPART_SIBL
(14,3),(14,21),-0.0516701 # DEPENDENCYPART_SIBL
(14,4),(14,5),-1.03662 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.510137 # DEPENDENCYPART_SIBL
(14,4),(14,7),-0.559433 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.559462 # DEPENDENCYPART_SIBL
(14,4),(14,9),-0.510137 # DEPENDENCYPART_SIBL
(14,4),(14,10),-1.03662 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.51069 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.316343 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.559433 # DEPENDENCYPART_SIBL
(14,4),(14,15),-0.120686 # DEPENDENCYPART_SIBL
(14,4),(14,16),-0.106068 # DEPENDENCYPART_SIBL
(14,4),(14,17),-0.00395725 # DEPENDENCYPART_SIBL
(14,4),(14,18),0.0219443 # DEPENDENCYPART_SIBL
(14,4),(14,20),-0.0400343 # DEPENDENCYPART_SIBL
(14,4),(14,21),-0.120961 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.510137 # DEPENDENCYPART_SIBL
(14,5),(14,7),-0.559433 # DEPENDENCYPART_SIBL
(14,5),(14,8),-0.559462 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.510137 # DEPENDENCYPART_SIBL
(14,5),(14,10),-1.03662 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.51069 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.316343 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.559433 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.120686 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.106068 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.00395725 # DEPENDENCYPART_SIBL
(14,5),(14,18),0.0219443 # DEPENDENCYPART_SIBL
(14,5),(14,20),-0.0400343 # DEPENDENCYPART_SIBL
(14,5),(14,21),-0.120961 # DEPENDENCYPART_SIBL
(14,6),(14,7),-0.0611931 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.0612214 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.00588882 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.0176678 # DEPENDENCYPART_SIBL
(14,6),(14,11),-0.00175549 # DEPENDENCYPART_SIBL
(14,6),(14,12),0.136911 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.0611931 # DEPENDENCYPART_SIBL
(14,6),(14,15),-0.0837041 # DEPENDENCYPART_SIBL
(14,6),(14,16),-0.0707236 # DEPENDENCYPART_SIBL
(14,6),(14,17),-0.0374972 # DEPENDENCYPART_SIBL
(14,6),(14,18),0.0281935 # DEPENDENCYPART_SIBL
(14,6),(14,20),-0.00824836 # DEPENDENCYPART_SIBL
(14,6),(14,21),-0.101205 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.0575567 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.0310286 # DEPENDENCYPART_SIBL
(14,7),(14,10),0.0339531 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.0336413 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.00800363 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.0574715 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.0449242 # DEPENDENCYPART_SIBL
(14,7),(14,16),-0.0574753 # DEPENDENCYPART_SIBL
(14,7),(14,17),0.0250515 # DEPENDENCYPART_SIBL
(14,7),(14,18),0.0612369 # DEPENDENCYPART_SIBL
(14,7),(14,20),0.0114854 # DEPENDENCYPART_SIBL
(14,7),(14,21),-0.0516701 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.0222845 # DEPENDENCYPART_SIBL
(14,8),(14,10),0.0613801 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.0248973 # DEPENDENCYPART_SIBL
(14,8),(14,12),0.000796577 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.0409347 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.0449242 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.0574753 # DEPENDENCYPART_SIBL
(14,8),(14,17),0.0250515 # DEPENDENCYPART_SIBL
(14,8),(14,18),0.0612369 # DEPENDENCYPART_SIBL
(14,8),(14,20),0.0114854 # DEPENDENCYPART_SIBL
(14,8),(14,21),-0.0516701 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.0176678 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.00162065 # DEPENDENCYPART_SIBL
(14,9),(14,12),0.140437 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.0603114 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0837041 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0707236 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0374972 # DEPENDENCYPART_SIBL
(14,9),(14,18),0.0281935 # DEPENDENCYPART_SIBL
(14,9),(14,20),-0.00824836 # DEPENDENCYPART_SIBL
(14,9),(14,21),-0.101205 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.51069 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.316343 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.559433 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.120686 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.106068 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.00395725 # DEPENDENCYPART_SIBL
(14,10),(14,18),0.0219443 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.0400343 # DEPENDENCYPART_SIBL
(14,10),(14,21),-0.120961 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.134954 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0603466 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0837041 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0709273 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0375009 # DEPENDENCYPART_SIBL
(14,11),(14,18),0.0281883 # DEPENDENCYPART_SIBL
(14,11),(14,20),-0.00845207 # DEPENDENCYPART_SIBL
(14,11),(14,21),-0.101205 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0127197 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0932746 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0662649 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0295084 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.0261542 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.0165504 # DEPENDENCYPART_SIBL
(14,12),(14,21),-0.100779 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0449242 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0574753 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.0250515 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.0612369 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.0114854 # DEPENDENCYPART_SIBL
(14,13),(14,21),-0.0516701 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.0632698 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.04371 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.0957611 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.0497678 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.0276293 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.051362 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.0793082 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.0487399 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.0957621 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.00128659 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.0050034 # DEPENDENCYPART_SIBL
(14,17),(14,21),-0.0257112 # DEPENDENCYPART_SIBL
(14,18),(14,20),-0.0123033 # DEPENDENCYPART_SIBL
(14,18),(14,21),-0.0077326 # DEPENDENCYPART_SIBL
(14,20),(14,21),-0.0599024 # DEPENDENCYPART_SIBL
(15,4),(15,5),-0.788511 # DEPENDENCYPART_SIBL
(15,4),(15,6),-0.380117 # DEPENDENCYPART_SIBL
(15,4),(15,8),-0.408986 # DEPENDENCYPART_SIBL
(15,4),(15,9),-0.380117 # DEPENDENCYPART_SIBL
(15,4),(15,10),-0.788511 # DEPENDENCYPART_SIBL
(15,4),(15,11),-0.38043 # DEPENDENCYPART_SIBL
(15,4),(15,12),-0.200916 # DEPENDENCYPART_SIBL
(15,4),(15,13),-0.408986 # DEPENDENCYPART_SIBL
(15,4),(15,14),-0.436449 # DEPENDENCYPART_SIBL
(15,4),(15,16),-0.166193 # DEPENDENCYPART_SIBL
(15,4),(15,17),-0.0309968 # DEPENDENCYPART_SIBL
(15,4),(15,18),-0.0669013 # DEPENDENCYPART_SIBL
(15,4),(15,20),-0.138055 # DEPENDENCYPART_SIBL
(15,4),(15,21),-0.0812621 # DEPENDENCYPART_SIBL
(15,5),(15,6),-0.380117 # DEPENDENCYPART_SIBL
(15,5),(15,8),-0.408986 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.380117 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.788511 # DEPENDENCYPART_SIBL
(15,5),(15,11),-0.38043 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.200916 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.408986 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.436449 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.166193 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.0309968 # DEPENDENCYPART_SIBL
(15,5),(15,18),-0.0669013 # DEPENDENCYPART_SIBL
(15,5),(15,20),-0.138055 # DEPENDENCYPART_SIBL
(15,5),(15,21),-0.0812621 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.129764 # DEPENDENCYPART_SIBL
(15,6),(15,9),-0.114818 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.0490471 # DEPENDENCYPART_SIBL
(15,6),(15,11),-0.110444 # DEPENDENCYPART_SIBL
(15,6),(15,12),0.0271617 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.129764 # DEPENDENCYPART_SIBL
(15,6),(15,14),0.0621645 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.0423426 # DEPENDENCYPART_SIBL
(15,6),(15,17),0.0640723 # DEPENDENCYPART_SIBL
(15,6),(15,18),0.0236755 # DEPENDENCYPART_SIBL
(15,6),(15,20),-0.0182542 # DEPENDENCYPART_SIBL
(15,6),(15,21),-0.00818398 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.107473 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.0470623 # DEPENDENCYPART_SIBL
