# _root_ Ana'nın _ orada_olmadığını _ söyledikten sonra ben , buna ne inanırmış , ne de inanmazmış gibi bir tavır takındım .
#goldHeads=2,3,4,5,6,19,15,0,15,11,18,0,15,13,16,18,18,19,20,0,
#predictedHeads=3,3,4,5,6,11,11,0,11,11,12,19,15,13,16,19,18,19,20,0,
(11,5),(11,7),-0.0216375 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.157828 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0179066 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0243812 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0647261 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0502055 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0261804 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0071139 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.0384124 # DEPENDENCYPART_SIBL
(11,5),(11,18),0.00183869 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0071139 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.071472 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0103357 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.185453 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0180236 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.100414 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.049517 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.0482122 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.00618935 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.0212265 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.0428965 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.0342179 # DEPENDENCYPART_SIBL
(11,6),(11,19),0.0212265 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.0604704 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.166642 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0434567 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0243553 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.118691 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.111064 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.028894 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0207796 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0583692 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.048782 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.0207796 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.131491 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.031066 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0218531 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0899436 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.140493 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.000229933 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0186727 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.00267761 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.00827072 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0186727 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.0680033 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.00202407 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.101934 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0748897 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0400842 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.00578125 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.033467 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0532761 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.00578125 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.11734 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0657599 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0412601 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0187541 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0232272 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0194453 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.0808825 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0232272 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.0865659 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0397204 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0617427 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0497678 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0600044 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0957602 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.0497678 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.0276293 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0438083 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.00463008 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0493798 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.00717717 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.00463008 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.0292055 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0644024 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0949214 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.128781 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.0644024 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.176155 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0462333 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0500265 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.0279786 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.0599024 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.0140631 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.0247646 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.0371218 # DEPENDENCYPART_SIBL
(11,18),(11,19),-0.0123033 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.00773257 # DEPENDENCYPART_SIBL
(11,19),(11,20),-0.0599024 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.788511 # DEPENDENCYPART_SIBL
(12,2),(12,6),-0.152491 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.208198 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.159751 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.161706 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.455969 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.0531161 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.138055 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.0665685 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.0668854 # DEPENDENCYPART_SIBL
(12,2),(12,19),-0.138055 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.152491 # DEPENDENCYPART_SIBL
(12,4),(12,7),-0.208198 # DEPENDENCYPART_SIBL
(12,4),(12,8),-0.159751 # DEPENDENCYPART_SIBL
(12,4),(12,10),-0.161706 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.455969 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.0531161 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.138055 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.0665685 # DEPENDENCYPART_SIBL
(12,4),(12,18),-0.0668854 # DEPENDENCYPART_SIBL
(12,4),(12,19),-0.138055 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.017455 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.050478 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.000973111 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.0626043 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.0194336 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.0439219 # DEPENDENCYPART_SIBL
(12,6),(12,16),0.01868 # DEPENDENCYPART_SIBL
(12,6),(12,18),-0.0115979 # DEPENDENCYPART_SIBL
(12,6),(12,19),-0.0439219 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0468074 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0598174 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.00584652 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0185851 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0340463 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.00248251 # DEPENDENCYPART_SIBL
(12,7),(12,18),-0.0192864 # DEPENDENCYPART_SIBL
(12,7),(12,19),-0.0340463 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0505721 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.0885901 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.0846501 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0740256 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.00396219 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.0279063 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.0740256 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.094444 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0280594 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0673492 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0128532 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.0102324 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.0673492 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0214526 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.139969 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.052199 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.0645292 # DEPENDENCYPART_SIBL
(12,11),(12,19),-0.139969 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.00729709 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0153551 # DEPENDENCYPART_SIBL
(12,13),(12,18),0.0575186 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.00729709 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0223938 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.00969202 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.0255374 # DEPENDENCYPART_SIBL
(12,16),(12,18),0.00988872 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.0253306 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.032302 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.0130396 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.034617 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.100543 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.00561655 # DEPENDENCYPART_SIBL
(15,1),(15,2),0.0317593 # DEPENDENCYPART_SIBL
(15,1),(15,3),-0.0706418 # DEPENDENCYPART_SIBL
(15,1),(15,4),0.0317593 # DEPENDENCYPART_SIBL
(15,1),(15,5),-0.0706418 # DEPENDENCYPART_SIBL
(15,1),(15,6),0.0177786 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.0216375 # DEPENDENCYPART_SIBL
(15,1),(15,8),-0.157828 # DEPENDENCYPART_SIBL
(15,1),(15,9),-0.0179066 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.0243812 # DEPENDENCYPART_SIBL
(15,1),(15,11),0.0143212 # DEPENDENCYPART_SIBL
(15,1),(15,12),-0.157828 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.0243812 # DEPENDENCYPART_SIBL
(15,1),(15,14),-0.091231 # DEPENDENCYPART_SIBL
(15,1),(15,16),0.0384124 # DEPENDENCYPART_SIBL
(15,1),(15,18),0.00183869 # DEPENDENCYPART_SIBL
(15,1),(15,19),-0.0071139 # DEPENDENCYPART_SIBL
(15,1),(15,20),-0.071472 # DEPENDENCYPART_SIBL
(15,2),(15,3),-0.553839 # DEPENDENCYPART_SIBL
(15,2),(15,4),-1.03137 # DEPENDENCYPART_SIBL
(15,2),(15,5),-0.553839 # DEPENDENCYPART_SIBL
(15,2),(15,6),-0.300789 # DEPENDENCYPART_SIBL
(15,2),(15,7),-0.346991 # DEPENDENCYPART_SIBL
(15,2),(15,8),-0.444497 # DEPENDENCYPART_SIBL
(15,2),(15,9),-0.307938 # DEPENDENCYPART_SIBL
(15,2),(15,10),-0.345977 # DEPENDENCYPART_SIBL
(15,2),(15,11),-0.641515 # DEPENDENCYPART_SIBL
(15,2),(15,12),-0.444497 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.345977 # DEPENDENCYPART_SIBL
(15,2),(15,14),-0.335699 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.0630966 # DEPENDENCYPART_SIBL
(15,2),(15,18),-0.00335948 # DEPENDENCYPART_SIBL
(15,2),(15,19),-0.0410904 # DEPENDENCYPART_SIBL
(15,2),(15,20),-0.123219 # DEPENDENCYPART_SIBL
(15,3),(15,4),0.0317593 # DEPENDENCYPART_SIBL
(15,3),(15,5),-0.0706418 # DEPENDENCYPART_SIBL
(15,3),(15,6),0.0177786 # DEPENDENCYPART_SIBL
(15,3),(15,7),-0.0216375 # DEPENDENCYPART_SIBL
(15,3),(15,8),-0.157828 # DEPENDENCYPART_SIBL
(15,3),(15,9),-0.0179066 # DEPENDENCYPART_SIBL
(15,3),(15,10),-0.0243812 # DEPENDENCYPART_SIBL
(15,3),(15,11),0.0143212 # DEPENDENCYPART_SIBL
(15,3),(15,12),-0.157828 # DEPENDENCYPART_SIBL
(15,3),(15,13),-0.0243812 # DEPENDENCYPART_SIBL
(15,3),(15,14),-0.091231 # DEPENDENCYPART_SIBL
(15,3),(15,16),0.0384124 # DEPENDENCYPART_SIBL
(15,3),(15,18),0.00183869 # DEPENDENCYPART_SIBL
(15,3),(15,19),-0.0071139 # DEPENDENCYPART_SIBL
(15,3),(15,20),-0.071472 # DEPENDENCYPART_SIBL
(15,4),(15,5),-0.553839 # DEPENDENCYPART_SIBL
(15,4),(15,6),-0.300789 # DEPENDENCYPART_SIBL
(15,4),(15,7),-0.346991 # DEPENDENCYPART_SIBL
(15,4),(15,8),-0.444497 # DEPENDENCYPART_SIBL
(15,4),(15,9),-0.307938 # DEPENDENCYPART_SIBL
(15,4),(15,10),-0.345977 # DEPENDENCYPART_SIBL
(15,4),(15,11),-0.641515 # DEPENDENCYPART_SIBL
(15,4),(15,12),-0.444497 # DEPENDENCYPART_SIBL
(15,4),(15,13),-0.345977 # DEPENDENCYPART_SIBL
(15,4),(15,14),-0.335699 # DEPENDENCYPART_SIBL
(15,4),(15,16),-0.0630966 # DEPENDENCYPART_SIBL
(15,4),(15,18),-0.00335948 # DEPENDENCYPART_SIBL
(15,4),(15,19),-0.0410904 # DEPENDENCYPART_SIBL
(15,4),(15,20),-0.123219 # DEPENDENCYPART_SIBL
(15,5),(15,6),0.0177786 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.0216375 # DEPENDENCYPART_SIBL
(15,5),(15,8),-0.157828 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.0179066 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.0243812 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.0143212 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.157828 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.0243812 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.091231 # DEPENDENCYPART_SIBL
(15,5),(15,16),0.0384124 # DEPENDENCYPART_SIBL
(15,5),(15,18),0.00183869 # DEPENDENCYPART_SIBL
(15,5),(15,19),-0.0071139 # DEPENDENCYPART_SIBL
(15,5),(15,20),-0.071472 # DEPENDENCYPART_SIBL
(15,6),(15,7),0.0103357 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.185453 # DEPENDENCYPART_SIBL
(15,6),(15,9),0.0180236 # DEPENDENCYPART_SIBL
(15,6),(15,10),0.100414 # DEPENDENCYPART_SIBL
(15,6),(15,11),-0.000985057 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.185453 # DEPENDENCYPART_SIBL
(15,6),(15,13),0.100414 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.0837776 # DEPENDENCYPART_SIBL
(15,6),(15,16),0.0428965 # DEPENDENCYPART_SIBL
(15,6),(15,18),0.0342179 # DEPENDENCYPART_SIBL
(15,6),(15,19),0.0212265 # DEPENDENCYPART_SIBL
(15,6),(15,20),-0.0604704 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.166642 # DEPENDENCYPART_SIBL
(15,7),(15,9),0.0434567 # DEPENDENCYPART_SIBL
(15,7),(15,10),0.0243553 # DEPENDENCYPART_SIBL
(15,7),(15,11),-0.010416 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.166642 # DEPENDENCYPART_SIBL
(15,7),(15,13),0.0243553 # DEPENDENCYPART_SIBL
(15,7),(15,14),-0.0585 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.0583692 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.048782 # DEPENDENCYPART_SIBL
(15,7),(15,19),-0.0207796 # DEPENDENCYPART_SIBL
(15,7),(15,20),-0.131491 # DEPENDENCYPART_SIBL
(15,8),(15,9),0.031066 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.0218531 # DEPENDENCYPART_SIBL
(15,8),(15,11),0.106229 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.241759 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.0218531 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.0995396 # DEPENDENCYPART_SIBL
(15,8),(15,16),0.00267761 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.00827072 # DEPENDENCYPART_SIBL
(15,8),(15,19),-0.0186727 # DEPENDENCYPART_SIBL
(15,8),(15,20),-0.0680033 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.00202407 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.010365 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.213925 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.00202407 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.0927118 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.033467 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.0532761 # DEPENDENCYPART_SIBL
(15,9),(15,19),-0.00578125 # DEPENDENCYPART_SIBL
(15,9),(15,20),-0.11734 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.0892499 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.267602 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.112806 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.204086 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0194453 # DEPENDENCYPART_SIBL
(15,10),(15,18),0.0808825 # DEPENDENCYPART_SIBL
(15,10),(15,19),-0.0232272 # DEPENDENCYPART_SIBL
(15,10),(15,20),-0.0865659 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.170371 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.0230475 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.0583692 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0319046 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.0037541 # DEPENDENCYPART_SIBL
(15,11),(15,19),-0.0330524 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.0907017 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0218531 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0995396 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.00267761 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.00827072 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.0186727 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.0680033 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.204086 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0194453 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.0808825 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.0232272 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.0865659 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0252385 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0573337 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0346605 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.121592 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0140631 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0247646 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.0371218 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.0123033 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.00773257 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.0599024 # DEPENDENCYPART_SIBL
(16,8),(16,10),0.0446958 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.0448589 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.0446958 # DEPENDENCYPART_SIBL
(16,8),(16,14),0.0483596 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.0483955 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.0315093 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.0908984 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.0320489 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.0339143 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.00463908 # DEPENDENCYPART_SIBL
(16,10),(16,18),0.0354566 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.0446958 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.0483596 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0483955 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.0315093 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.0339143 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.00463908 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.0354566 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.028248 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.0232571 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.000461524 # DEPENDENCYPART_SIBL
(18,5),(18,6),0.150013 # DEPENDENCYPART_SIBL
(18,5),(18,7),0.0773169 # DEPENDENCYPART_SIBL
(18,5),(18,8),-0.0656379 # DEPENDENCYPART_SIBL
(18,5),(18,9),0.0619844 # DEPENDENCYPART_SIBL
(18,5),(18,10),0.0954065 # DEPENDENCYPART_SIBL
(18,5),(18,11),0.187315 # DEPENDENCYPART_SIBL
(18,5),(18,12),-0.0656379 # DEPENDENCYPART_SIBL
(18,5),(18,13),0.0954065 # DEPENDENCYPART_SIBL
(18,5),(18,14),-0.0427412 # DEPENDENCYPART_SIBL
(18,5),(18,15),0.187315 # DEPENDENCYPART_SIBL
(18,5),(18,16),0.0886548 # DEPENDENCYPART_SIBL
(18,5),(18,17),0.0907932 # DEPENDENCYPART_SIBL
(18,6),(18,7),0.0995985 # DEPENDENCYPART_SIBL
(18,6),(18,8),-0.0284286 # DEPENDENCYPART_SIBL
(18,6),(18,9),0.0873967 # DEPENDENCYPART_SIBL
(18,6),(18,10),0.0925859 # DEPENDENCYPART_SIBL
(18,6),(18,11),0.158497 # DEPENDENCYPART_SIBL
(18,6),(18,12),-0.0284286 # DEPENDENCYPART_SIBL
(18,6),(18,13),0.0925859 # DEPENDENCYPART_SIBL
(18,6),(18,14),-0.0165377 # DEPENDENCYPART_SIBL
(18,6),(18,15),0.158497 # DEPENDENCYPART_SIBL
(18,6),(18,16),0.0512051 # DEPENDENCYPART_SIBL
(18,6),(18,17),0.151592 # DEPENDENCYPART_SIBL
(18,7),(18,8),0.00441258 # DEPENDENCYPART_SIBL
(18,7),(18,9),0.0465577 # DEPENDENCYPART_SIBL
(18,7),(18,10),0.0289418 # DEPENDENCYPART_SIBL
(18,7),(18,11),0.0658218 # DEPENDENCYPART_SIBL
(18,7),(18,12),0.00441258 # DEPENDENCYPART_SIBL
(18,7),(18,13),0.0289418 # DEPENDENCYPART_SIBL
(18,7),(18,14),-0.027472 # DEPENDENCYPART_SIBL
(18,7),(18,15),0.0658218 # DEPENDENCYPART_SIBL
(18,7),(18,16),-0.0088173 # DEPENDENCYPART_SIBL
(18,7),(18,17),0.120463 # DEPENDENCYPART_SIBL
(18,8),(18,9),0.10883 # DEPENDENCYPART_SIBL
(18,8),(18,10),-0.00790573 # DEPENDENCYPART_SIBL
(18,8),(18,11),0.0974612 # DEPENDENCYPART_SIBL
(18,8),(18,12),-0.0839136 # DEPENDENCYPART_SIBL
(18,8),(18,13),-0.00790573 # DEPENDENCYPART_SIBL
(18,8),(18,14),-0.0707074 # DEPENDENCYPART_SIBL
(18,8),(18,15),0.0974612 # DEPENDENCYPART_SIBL
(18,8),(18,16),-0.0107313 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.0838429 # DEPENDENCYPART_SIBL
(18,9),(18,10),0.0313727 # DEPENDENCYPART_SIBL
(18,9),(18,11),0.0985258 # DEPENDENCYPART_SIBL
(18,9),(18,12),-0.0182249 # DEPENDENCYPART_SIBL
(18,9),(18,13),0.0313727 # DEPENDENCYPART_SIBL
(18,9),(18,14),-0.0305567 # DEPENDENCYPART_SIBL
(18,9),(18,15),0.0985258 # DEPENDENCYPART_SIBL
(18,9),(18,16),-0.00740687 # DEPENDENCYPART_SIBL
(18,9),(18,17),0.0615102 # DEPENDENCYPART_SIBL
(18,10),(18,11),0.132838 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.0465213 # DEPENDENCYPART_SIBL
(18,10),(18,13),0.00887652 # DEPENDENCYPART_SIBL
(18,10),(18,14),-0.0517514 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.132838 # DEPENDENCYPART_SIBL
(18,10),(18,16),0.0624539 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.0753959 # DEPENDENCYPART_SIBL
(18,11),(18,12),-0.0190006 # DEPENDENCYPART_SIBL
(18,11),(18,13),0.102428 # DEPENDENCYPART_SIBL
(18,11),(18,14),0.0537855 # DEPENDENCYPART_SIBL
(18,11),(18,15),0.1152 # DEPENDENCYPART_SIBL
(18,11),(18,16),0.049801 # DEPENDENCYPART_SIBL
(18,11),(18,17),0.159145 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.00790573 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.0707074 # DEPENDENCYPART_SIBL
(18,12),(18,15),0.0974612 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.0107313 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.0838429 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.0517514 # DEPENDENCYPART_SIBL
(18,13),(18,15),0.132838 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.0624539 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.0753959 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.0387875 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.0123761 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.0573425 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.049801 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.159145 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.26432 # DEPENDENCYPART_SIBL
(19,1),(19,2),0.0317593 # DEPENDENCYPART_SIBL
(19,1),(19,3),-0.0706418 # DEPENDENCYPART_SIBL
